# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC1_model
# start_datetime = 2022-04-23 08:20:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-3934ef22d07.json
# init = 2 (Default)
# random
#   seed = 1985721712
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.118833
# Diagonal elements of inverse mass matrix:
# 0.0332818, 0.033391, 0.0244773, 0.0851233, 0.0795946, 0.0938861, 0.0717443, 0.0883418, 0.244234, 0.0625657, 0.0682174, 0.0886361, 0.0774497, 0.0781808, 0.0663948, 0.0602591, 0.0651763, 0.0827584, 0.104251, 0.089586, 0.0736549, 0.0752913, 0.101715, 0.0792031, 0.0728254, 0.0809094, 0.073963, 0.102107, 0.0676258, 0.0883595, 0.0698538, 0.0732904, 0.0810522, 0.0856771, 0.0597821
-3807.77,0.990166,0.118833,5,31,0,3823.88,0.361152,0.497887,1.13772,-0.407212,0.381699,1.84692,0.506023,1.59645,-1.71236,0.741421,0.509887,-0.251348,0.914503,-0.13355,0.333832,0.583781,1.09583,1.55817,1.86457,-0.219755,0.74124,0.178718,1.59403,1.82097,1.16508,1.64844,0.979533,1.65826,0.905917,0.873486,0.444089,-0.272486,0.134659,1.27004,0.815746,0.0345934,0.932155,2.59916,1.0736,2.3142,-1.4503,1.34142,1.078,0.211923,1.53834,0.345944,0.877695,1.16207,1.74463,2.27065,2.61925,0.247868,1.34121,0.701218,2.31145,2.56964,1.82343,2.37335,1.61232,2.38453,1.52857,1.49167,1.00314,0.187875,0.651092,1.94284,1.42598,0.395745,1.29331,2.96032,1.43475,2.67536,-1.08915,1.70257,1.43915,0.573075,1.89949,0.707096,1.23885,1.52322,2.10578,2.6318,2.9804,0.60902,1.70236,1.06237,2.6726,2.93079,2.18458,2.73451,1.97347,2.74568,1.88972,1.85282,1.36429,0.549027,1.01224,2.30399,1.78713,0.402335,0.215294,0.0492512,0.192359,0.0644433,0.748221,0.15413,0.191677,0.360528,0.130166,0.330241,0.224637,0.178988,0.108536,0.0671194,0.0483192,0.352283,0.154157,0.256857,0.0646094,0.0506523,0.101144,0.0609677,0.122016,0.0603312,0.131276,0.135542,0.203544,0.36609,0.266541,0.0907927,0.143425
-3823.47,0.992232,0.118833,5,31,0,3835.93,0.451279,0.401202,1.03447,-0.159053,0.292992,1.18512,0.370854,2.24268,-2.10403,0.515344,0.0370213,-0.248146,1.3566,0.175471,0.89031,0.93071,1.19018,0.739016,1.90861,-0.292057,0.804199,0.157053,2.05259,2.56553,1.02379,1.67277,0.816719,1.72253,0.783405,1.40322,1.15707,0.38358,0.530835,1.38929,0.470267,0.236666,0.704293,1.62718,0.784839,2.72119,-1.77535,0.93431,0.439499,0.144502,1.80457,0.582722,1.3222,1.36399,1.63241,1.16569,2.3756,0.0990773,1.23312,0.563668,2.52455,3.05516,1.46028,2.13163,1.24607,2.1831,1.21161,1.85279,1.59816,0.798004,0.950335,1.83838,0.887679,0.687944,1.15557,2.07846,1.23612,3.17247,-1.32408,1.38559,0.890778,0.59578,2.25585,1.034,1.77348,1.81527,2.08369,1.61697,2.82688,0.550356,1.6844,1.01495,2.97583,3.50644,1.91156,2.58291,1.69735,2.63438,1.66289,2.30407,2.04943,1.24928,1.40161,2.28966,1.33896,0.334491,0.239473,0.111208,0.225113,0.0402151,0.789859,0.200113,0.290949,0.35531,0.0948464,0.262309,0.14511,0.140002,0.110692,0.165623,0.0558889,0.365782,0.156514,0.266013,0.04853,0.0291295,0.128806,0.0702466,0.154811,0.0669581,0.159375,0.0907862,0.11411,0.222824,0.19756,0.0919831,0.207682
-3817.09,0.997878,0.118833,5,31,0,3844.13,0.487781,0.53804,0.928263,-0.470826,0.379395,1.62623,0.713344,1.69391,-2.31178,0.463105,0.467624,-0.311791,0.643112,-0.370299,-0.249033,0.484469,1.45763,1.68054,2.05874,-0.266249,1.2596,0.153637,2.063,1.00555,1.01561,1.98611,0.872303,1.93538,0.775488,0.978785,1.065,-0.272674,0.170398,1.33765,0.610062,0.100989,0.890219,2.04761,1.20021,2.11044,-1.60789,0.967924,0.972118,0.248616,1.13502,0.194305,0.306872,0.987755,1.8911,2.09803,2.44909,0.290891,1.70728,0.680655,2.45304,1.47145,1.48079,2.38168,1.34777,2.33458,1.2579,1.44661,1.52664,0.284927,0.696214,1.77973,1.10434,0.58877,1.378,2.53539,1.68799,2.59822,-1.12011,1.4557,1.4599,0.736397,1.6228,0.682086,0.794652,1.47554,2.37889,2.58581,2.93687,0.778672,2.19506,1.16844,2.94082,1.95923,1.96858,2.86946,1.83555,2.82236,1.74568,1.93439,2.01443,0.772708,1.18399,2.26751,1.59212,0.356917,0.20133,0.0734139,0.15604,0.0692532,0.75401,0.189125,0.188483,0.323792,0.164819,0.335796,0.311171,0.186103,0.084797,0.0700575,0.0503608,0.314606,0.100195,0.237138,0.050172,0.12355,0.122542,0.0536842,0.137579,0.0561276,0.148593,0.126265,0.117697,0.315894,0.234335,0.0938494,0.169086
-3815.49,0.997881,0.118833,5,31,0,3829.27,0.516848,0.514176,0.932936,-0.501618,0.374487,1.63774,0.703175,1.68992,-2.23259,0.46649,0.452706,-0.335421,0.618416,-0.375674,-0.246969,0.547726,1.4566,1.66421,2.02256,-0.322745,1.29068,0.142842,2.03698,1.04104,1.02063,1.96972,0.857062,1.89325,0.753091,1.02244,1.03088,-0.235634,0.139931,1.35547,0.608709,0.0461986,0.863548,2.04209,1.17019,2.09076,-1.56869,0.949381,0.936522,0.20125,1.09112,0.163696,0.28377,1.02517,1.87309,2.06678,2.40109,0.213076,1.7183,0.647439,2.41455,1.4854,1.46636,2.35179,1.31376,2.28045,1.21676,1.46805,1.47592,0.294345,0.644723,1.77874,1.08206,0.563047,1.3804,2.55893,1.68704,2.60761,-1.05184,1.46623,1.45337,0.718098,1.60797,0.680544,0.800618,1.54202,2.38994,2.58362,2.91794,0.729924,2.23515,1.16429,2.9314,2.00225,1.98321,2.86864,1.83061,2.7973,1.73361,1.98489,1.99277,0.811193,1.16157,2.29559,1.59891,0.362843,0.200945,0.0718285,0.156165,0.0686503,0.741128,0.187516,0.189483,0.327812,0.166871,0.33614,0.309893,0.176242,0.0839433,0.0701998,0.0512738,0.325211,0.0966382,0.237889,0.0506231,0.118967,0.120977,0.0537256,0.138166,0.0574701,0.150126,0.120798,0.119964,0.307636,0.238382,0.0914887,0.168134
-3816.92,0.958674,0.118833,5,31,0,3833.78,0.64833,0.564524,0.82986,-0.719401,-0.0689263,1.52326,0.13447,1.83174,-3.12584,0.50069,0.0843335,-0.79106,1.21285,-0.319816,0.631806,0.98977,1.40244,1.39976,2.07108,-0.820614,0.798954,-0.186192,2.24625,2.02967,1.44081,2.50223,1.01054,1.99828,0.526134,1.22836,0.204174,-0.137338,0.223393,1.76862,0.724927,-0.0324785,0.507324,1.82861,0.676115,2.08461,-2.02948,0.980026,0.634509,-0.091945,1.57102,0.299122,1.08883,1.38589,1.72836,1.72613,2.28323,-0.116471,1.22754,0.41001,2.42859,2.24886,1.7602,2.64103,1.40313,2.22282,1.00114,1.58389,0.733959,0.450552,0.749909,2.03223,1.16611,0.615851,1.15565,2.47694,1.32444,2.73294,-1.38115,1.62836,1.28284,0.556385,2.21935,0.947451,1.73716,2.03422,2.37669,2.37446,2.93156,0.531859,1.87587,1.05834,3.07692,2.89719,2.40853,3.28936,2.05146,2.87115,1.64947,2.23222,1.38229,1.09888,1.39824,2.68056,1.81444,0.350726,0.239458,0.0774905,0.21008,0.0610572,0.799176,0.164056,0.217067,0.364384,0.0980263,0.279398,0.149674,0.115656,0.0849679,0.0851411,0.0506155,0.370083,0.132864,0.257627,0.0440692,0.0522924,0.0825247,0.0359381,0.113905,0.0535985,0.161181,0.0968942,0.200642,0.249949,0.198096,0.0641301,0.140102
-3816.5,0.99254,0.118833,5,31,0,3834.81,0.456558,0.623057,0.920022,-0.572415,0.352734,1.65259,0.638768,1.39246,-2.21316,0.671448,0.25922,-0.385271,0.741055,-0.449911,0.248825,0.398358,1.17663,1.25905,2.06909,-0.401102,1.60703,-0.0365195,2.44857,1.61651,0.996005,1.56174,1.00712,1.90757,0.657913,1.37617,1.62415,0.012752,0.106204,1.11587,0.150569,0.096422,0.94758,2.14347,1.21074,1.90415,-1.4131,1.2408,0.861545,0.268599,1.30484,0.209128,0.851981,0.989556,1.70558,1.78141,2.52666,0.254034,2.10156,0.589458,2.87579,2.11028,1.5394,2.05989,1.54963,2.37807,1.22835,1.88916,2.11732,0.634789,0.720767,1.64968,0.761584,0.55298,1.40414,2.60003,1.6673,2.36071,-0.95654,1.69736,1.3181,0.725157,1.7614,0.665687,1.30854,1.44611,2.16214,2.23797,2.98322,0.710592,2.55812,1.04602,3.33235,2.56684,1.99596,2.51645,2.00619,2.83463,1.68491,2.34572,2.57387,1.09135,1.17733,2.10624,1.21814,0.365173,0.19716,0.0691364,0.158785,0.0862182,0.722429,0.15481,0.211134,0.326258,0.146615,0.339463,0.212731,0.1906,0.103202,0.0963919,0.0481897,0.329468,0.071883,0.259991,0.0344779,0.0713032,0.119627,0.0747132,0.118555,0.0554814,0.156446,0.0874067,0.0708389,0.251365,0.235533,0.108492,0.228264
