# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC1_model
# start_datetime = 2022-04-23 08:20:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-3934ef22d07.json
# init = 2 (Default)
# random
#   seed = 1985721712
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.124504
# Diagonal elements of inverse mass matrix:
# 0.0289946, 0.0302973, 0.0284467, 0.092087, 0.0755762, 0.0849279, 0.0704104, 0.0813478, 0.24899, 0.0707637, 0.0844801, 0.095874, 0.068935, 0.0768409, 0.0687185, 0.07518, 0.0730263, 0.0767795, 0.102051, 0.084942, 0.0662284, 0.0727731, 0.0847288, 0.0798307, 0.0720974, 0.0874456, 0.075599, 0.091217, 0.0686414, 0.0784057, 0.057303, 0.0717744, 0.0672868, 0.0950892, 0.0666215
-3811.01,0.988229,0.124504,5,31,0,3826.4,0.271993,0.817839,1.30598,-0.365222,0.180093,0.950553,0.241906,0.867354,-1.70366,0.483127,-0.0692594,-0.521186,1.07488,-0.269095,0.55037,0.516595,0.86145,0.735983,1.89362,-0.265715,0.383143,-0.0546952,1.31519,1.54449,0.960376,1.2595,0.787903,1.19912,0.181924,0.759573,0.950924,-0.317968,0.11436,1.08884,0.165594,0.340867,1.05304,2.05924,1.13376,1.95059,-1.40711,1.44879,0.727387,0.13718,2.22161,0.466406,1.53661,1.4925,1.94288,1.77902,3.29087,0.470821,1.31822,0.746408,2.53545,2.83491,2.07207,2.46272,1.84682,2.38386,1.05543,1.80983,2.05973,0.402579,0.96719,2.23984,1.0341,0.612859,1.32503,2.33123,1.40576,2.22258,-1.13511,1.72078,0.99938,0.409173,2.4936,0.738399,1.8086,1.76449,2.21487,2.05101,3.56286,0.742813,1.59021,1.0184,2.80744,3.10691,2.34406,2.73471,2.11882,2.65585,1.32742,2.08182,2.33172,0.674572,1.23918,2.51183,1.30609,0.351407,0.209983,0.0885689,0.196904,0.0977412,0.756782,0.15177,0.269063,0.399111,0.0763079,0.323354,0.140807,0.146228,0.0984232,0.11395,0.0275755,0.322389,0.169355,0.265339,0.0569234,0.0428233,0.0875389,0.0609558,0.107281,0.0656292,0.209586,0.110877,0.0885299,0.337474,0.224578,0.075033,0.213141
-3816.2,0.863397,0.124504,5,31,0,3831.14,0.940261,0.485933,0.921018,-0.836909,-0.469563,1.39857,0.303513,1.83832,-2.61617,0.317758,-0.350431,-1.06755,0.300627,-0.634137,-0.303888,0.586836,0.950775,1.09368,1.59949,-0.616314,0.736824,-0.353248,1.98727,0.945234,0.658693,1.57759,0.445722,1.93871,0.805065,0.998569,-0.129901,-0.363644,-0.130731,0.968882,0.466055,-0.284875,0.0534573,1.77404,0.765474,2.17906,-1.92361,0.778594,0.16318,-0.497299,0.762816,-0.0981186,0.206046,1.02642,1.36161,1.49324,1.95909,-0.0817036,1.16456,0.160585,2.31625,1.35651,1.0926,1.93892,0.896451,2.27152,1.22741,1.40563,0.366292,0.15101,0.365527,1.37829,0.915178,0.655386,0.993718,2.7143,1.70573,3.11932,-0.983345,1.71885,1.10344,0.442961,1.70308,0.842142,1.14631,1.96668,2.30187,2.4335,2.89935,0.858557,2.10482,1.10085,3.25651,2.29677,2.03286,2.87918,1.83671,3.21178,2.16767,2.34589,1.30655,1.09127,1.30579,2.31855,1.85544,0.341777,0.270178,0.0621348,0.153718,0.0423172,0.727771,0.152019,0.249096,0.391036,0.154064,0.301084,0.241164,0.122746,0.0909678,0.0806538,0.0521858,0.297641,0.108629,0.249581,0.0370937,0.0913907,0.115796,0.0531923,0.137441,0.0387248,0.102691,0.0873928,0.213064,0.251379,0.213193,0.0895981,0.135236
-3815.21,0.987573,0.124504,5,31,0,3830.82,0.723868,0.717504,0.958303,-0.948889,0.514677,0.886493,0.285512,0.636393,-2.80014,0.093858,0.025718,-0.604353,1.05688,-0.731303,0.238159,0.356094,0.885461,0.711621,1.87627,-1.1048,0.334103,-0.424818,1.61202,1.63756,0.716419,1.54323,0.428136,1.37746,-0.024045,0.879237,0.621321,-0.644181,-0.0983489,1.0847,0.183367,-0.191819,1.21072,1.56703,0.991111,1.32736,-1.96587,0.807448,0.742149,0.138351,1.73031,0.016694,0.945732,1.05875,1.56604,1.39945,2.51554,-0.341231,1.03768,0.3104,2.26231,2.28678,1.40405,2.19638,1.12779,2.03753,0.694461,1.56008,1.31292,0.100183,0.623256,1.75698,0.893225,0.532049,1.93459,2.2909,1.71498,2.05123,-1.24201,1.53132,1.46602,0.862219,2.45418,0.740562,1.6696,1.78262,2.28991,2.12332,3.2394,0.382637,1.76154,1.03427,2.98617,3.01065,2.12792,2.92025,1.85166,2.7614,1.41833,2.28395,2.03679,0.824052,1.34712,2.48085,1.61709,0.370039,0.126244,0.0918794,0.152519,0.113928,0.775913,0.177801,0.187549,0.296876,0.0791332,0.322881,0.158477,0.14398,0.0919619,0.106851,0.0377095,0.405491,0.146597,0.262258,0.0480544,0.0469471,0.106413,0.0511615,0.135679,0.059446,0.194924,0.0924612,0.115394,0.304904,0.206341,0.0772118,0.165606
-3813.13,0.955525,0.124504,5,31,0,3831.53,0.467314,0.873458,1.13849,-0.661143,-0.306642,1.22416,-0.115451,1.76377,-2.08986,0.148731,-0.323741,-0.915973,0.257472,-0.528594,-0.32342,0.279286,0.81756,0.917516,1.33111,-0.47126,0.611333,-0.145439,1.48148,1.09808,0.766605,1.33436,0.880569,1.4735,0.874266,0.821996,0.203873,-0.133499,0.357264,0.932532,0.228453,0.120752,0.524349,2.26716,0.742019,2.88149,-1.50583,1.04279,0.504881,-0.16937,1.16659,0.271658,0.505247,1.19142,1.80424,1.91804,2.38891,0.336933,1.56946,0.707877,2.56011,2.12362,1.74623,2.39261,1.87598,2.55103,1.8688,1.80929,1.10557,0.721471,1.2802,1.93514,1.13355,0.588066,0.991664,2.73447,1.20933,3.34881,-1.03852,1.5101,0.972196,0.297945,1.6339,0.738973,0.972561,1.65874,2.27156,2.38536,2.85623,0.804247,2.03677,1.17519,3.02742,2.59093,2.21355,2.85993,2.34329,3.01834,2.33612,2.27661,1.57288,1.18879,1.74752,2.40245,1.60086,0.357079,0.270584,0.0609697,0.229819,0.0339342,0.738564,0.180924,0.274443,0.42606,0.163296,0.323229,0.27437,0.159931,0.093506,0.0842961,0.0543603,0.309118,0.115396,0.235918,0.0462023,0.0697242,0.0985405,0.0541705,0.0876003,0.046604,0.0881755,0.0930788,0.171806,0.233476,0.148361,0.0829858,0.167861
-3812.78,0.987777,0.124504,5,31,0,3833.16,0.499829,0.91242,1.10149,-0.754614,-0.11676,1.00007,-0.200239,1.43356,-2.31537,0.369903,-0.214164,-0.987843,0.156818,-0.366514,-0.0392055,0.369424,0.72099,0.5776,1.33141,-0.419125,0.490521,-0.364989,1.37287,0.989612,0.674279,1.33967,0.812044,1.34642,0.793412,0.605298,0.239651,-0.14462,0.449773,0.990357,0.34282,0.0812198,0.78381,2.01398,0.691858,2.49147,-1.63794,1.31986,0.67652,-0.17568,1.08515,0.508709,0.869235,1.31934,1.70658,1.54864,2.37895,0.450758,1.45272,0.510388,2.42462,2.00247,1.65513,2.38805,1.80688,2.39549,1.78636,1.57915,1.17639,0.753122,1.40784,2.00329,1.29003,0.581049,1.28364,2.51381,1.19169,2.9913,-1.13811,1.81969,1.17635,0.324149,1.58498,1.00854,1.36906,1.81917,2.20641,2.04847,2.87878,0.950587,1.95255,1.01022,2.92445,2.5023,2.15496,2.88788,2.30671,2.89532,2.28618,2.07898,1.67622,1.25295,1.90767,2.50312,1.78986,0.358691,0.216931,0.0748956,0.232957,0.0478206,0.757332,0.139471,0.235709,0.419665,0.170091,0.267266,0.202771,0.139534,0.0991761,0.114207,0.0532124,0.278767,0.124275,0.266938,0.0509583,0.0756973,0.103869,0.0527561,0.0905691,0.0523855,0.0922737,0.111157,0.157596,0.22219,0.129243,0.0756399,0.14309
-3809.16,0.905598,0.124504,5,31,0,3835.02,0.727088,0.481791,1.04797,-0.478267,0.230213,1.43973,0.565305,0.840275,-2.01477,0.438412,0.119886,-0.178772,1.05949,-0.434407,0.096024,0.330809,1.20982,1.26633,2.2595,-0.727579,0.61022,0.0228546,1.68326,1.50276,0.90047,1.33191,0.869364,1.64757,0.797001,0.926618,0.406991,-0.185248,-0.346958,1.18129,0.210133,-0.019418,0.723047,1.99058,1.07421,1.36237,-1.62963,0.941234,0.607428,0.294444,1.5921,0.0265457,0.582421,0.828468,1.74964,1.80886,2.84968,-0.280689,1.12128,0.505742,2.2458,2.05664,1.42546,1.87759,1.39286,2.2084,1.31702,1.45286,0.908305,0.287657,0.11819,1.71975,0.702004,0.70767,1.45014,2.71767,1.8013,2.08946,-0.902539,1.66832,1.33452,1.02153,2.31919,0.753634,1.30951,1.55556,2.47673,2.53595,3.57677,0.4464,1.84837,1.23283,2.97289,2.78373,2.15254,2.60468,2.11995,2.93549,2.04411,2.17995,1.63539,1.01475,0.845278,2.44684,1.42909,0.330114,0.189981,0.0619386,0.141693,0.110125,0.711471,0.158648,0.208413,0.264729,0.0895462,0.32003,0.212569,0.174285,0.0775058,0.0733759,0.0272052,0.390217,0.136064,0.225686,0.0486659,0.0582098,0.104094,0.0688378,0.107173,0.050427,0.114649,0.101566,0.163093,0.266052,0.300424,0.07967,0.19324
