# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC2a_model
# start_datetime = 2022-04-23 08:21:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39346c153d72.json
# init = 2 (Default)
# random
#   seed = 31707639
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2a-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2a-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC2a_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0731111
# Diagonal elements of inverse mass matrix:
# 0.0373846, 0.0452508, 0.0733189, 0.064478, 0.000192091, 0.0299541, 0.0213022, 0.10896, 0.123159, 0.186716, 0.121502, 0.183266, 0.232802, 0.25247, 0.134785, 0.115866, 0.155586, 0.141049, 0.123556, 0.115669, 0.161701, 0.157373, 0.194338, 0.109482, 0.143431, 0.126964, 0.228594, 0.200175, 0.204867, 0.193728, 0.153558, 0.192769, 0.146294, 0.19393, 0.169769, 0.111296, 0.107384, 0.223438, 0.136046
-3812.31,0.997392,0.0731111,6,63,0,3830.74,0.0568542,0.047848,0.445754,0.600807,0.0445092,0.322258,0.8034,-0.856958,0.772335,0.307892,-0.329786,1.08039,-3.30673,-1.2221,-0.53889,-1.29467,0.954472,-1.05716,-0.0567653,0.721078,0.891286,0.818594,1.80726,-0.680592,-0.764894,-1.07301,0.487664,0.954448,0.0870618,0.210552,0.165477,1.40501,-0.552969,0.522888,0.501007,-0.561877,-0.0077477,-0.301185,-0.117285,-0.366222,0.942752,0.569618,0.0573079,1.19024,-2.33436,-0.659579,-0.110686,-0.717883,1.08908,-0.527066,0.276653,0.901572,1.03832,0.979916,1.77421,-0.224529,-0.292257,-0.539795,0.714047,1.08906,0.392203,0.491415,0.455202,1.45104,-0.121997,0.742346,0.724767,-0.129154,0.316033,0.0802863,0.228031,0.833081,1.65245,2.49419,1.40326,2.62522,-0.961146,1.56343,1.50232,0.570438,2.52405,0.907905,1.71162,1.91707,2.01507,2.02344,3.03114,0.874219,1.32075,0.926562,2.81666,2.79109,2.53932,2.4605,1.89017,2.78387,1.47542,2.66692,2.45324,1.0652,1.24169,2.23819,1.48497,0.302994,0.160778,0.0762665,0.197299,0.0675332,0.723351,0.173154,0.18208,0.361136,0.0741892,0.287429,0.152953,0.128189,0.117629,0.116763,0.0460386,0.294377,0.210694,0.283623,0.0564308,0.0578077,0.0731472,0.0786744,0.131225,0.0582021,0.186121,0.0649539,0.0792023,0.256316,0.224142,0.096373,0.184679
-3805.45,0.951661,0.0731111,5,31,0,3829.58,0.252659,0.164154,0.66531,0.513047,0.0393803,0.169598,0.813925,-1.10106,0.818199,0.710201,-0.19085,1.39918,-3.39688,-0.824593,-0.911752,-0.979455,0.61652,-0.880219,-0.227105,0.377565,0.956711,1.18663,1.78932,-0.808844,-0.0848639,-1.11069,0.259109,0.977085,-0.188761,0.392895,-0.0893434,1.45134,0.032915,0.357609,0.481041,-0.58069,-0.00135473,0.243397,0.407981,-0.726579,0.83555,0.747648,0.0142605,1.30843,-2.59521,-0.501559,-0.5725,-0.627604,0.671399,-0.546834,-0.0152486,0.476908,0.948289,1.13542,1.62597,-0.48874,0.100525,-0.734417,0.380493,0.964872,0.0159612,0.489385,0.0968793,1.35088,0.196388,0.460665,0.56113,-0.30304,0.168495,0.367705,0.501664,0.650847,1.77979,2.80447,1.55914,2.93207,-1.0744,1.78161,1.20866,0.828583,2.29504,1.07681,1.60839,1.67702,2.12881,2.31838,3.09209,0.770349,1.88169,0.879291,2.59484,2.8248,2.26969,2.58559,1.72052,2.84644,1.91976,2.51749,2.39416,1.05742,1.28702,2.54082,1.96779,0.342799,0.144329,0.0570829,0.17377,0.0505908,0.745432,0.144104,0.229937,0.303945,0.0915344,0.25411,0.166812,0.15749,0.106328,0.0896119,0.0434346,0.316404,0.132195,0.293325,0.0694712,0.0559989,0.0936647,0.0700715,0.151804,0.0548655,0.127889,0.0746411,0.0836193,0.257802,0.216357,0.0730453,0.122627
-3806.25,0.982345,0.0731111,6,95,0,3822.38,0.145279,0.00188821,0.252639,0.384682,0.0489357,0.0857864,0.74215,-0.93093,0.580222,0.362619,0.260678,1.04404,-3.37513,-1.21992,-0.523386,-1.15205,0.465868,-1.14041,-0.463222,1.0584,2.02534,1.5567,2.22091,-0.846609,0.451742,-0.114137,1.82633,0.981646,-0.0226379,1.15261,0.911279,2.02325,-0.0355247,0.116575,-0.675136,0.00800589,0.536837,0.62558,0.326449,-0.605103,0.516398,0.354904,0.279249,0.860624,-2.41906,-0.819575,-0.302644,-0.769208,0.43153,-0.760572,-0.257994,0.871278,1.58889,1.24109,1.73403,-0.542524,0.421047,0.00107968,1.4412,0.814315,0.0689856,0.941196,0.762092,1.58734,0.0594217,0.172303,-0.415266,0.0917279,0.4842,0.550061,0.32806,0.465205,1.04841,2.36585,1.65403,2.33328,-1.15318,1.37625,1.36575,0.398971,1.90419,0.712084,1.21466,1.74562,2.41452,2.16371,3.01095,0.429457,2.08945,1.365,3.64789,2.58059,2.32461,3.00108,2.23475,2.80446,1.57005,2.18325,1.24208,1.16184,1.26063,2.69614,1.60497,0.385752,0.25953,0.0858139,0.160565,0.088404,0.76009,0.201611,0.203307,0.401559,0.129635,0.329139,0.228877,0.148601,0.0820719,0.103057,0.0469338,0.394256,0.110127,0.203429,0.0253849,0.0703984,0.0891049,0.0473771,0.0966732,0.0570838,0.172209,0.101265,0.224075,0.238333,0.220865,0.0632014,0.167288
-3807.93,0.995627,0.0731111,5,63,0,3823.57,-0.0223777,0.137958,0.455156,0.392613,0.0567524,0.0851894,0.835076,-0.632051,0.639919,0.198273,0.0882938,0.79919,-3.38686,-1.37276,-0.66588,-1.13372,0.452535,-1.0184,-0.40535,0.807151,1.60508,1.54981,2.21668,-0.732995,0.263824,-0.32595,2.23307,0.711179,-0.180679,1.30051,0.855437,1.50632,-0.0878362,0.0607967,-0.433445,-0.194982,0.498448,0.307486,-0.182732,-0.442622,0.619571,0.250762,0.158921,0.752574,-2.7431,-1.06117,-0.470871,-0.861557,0.46309,-0.765254,-0.253309,0.759222,1.42555,1.3794,1.93629,-0.526918,0.305503,-0.187004,1.94997,0.679078,-0.065691,1.17121,0.799545,1.34309,0.0118394,0.135959,-0.27677,-0.0776352,0.501431,0.341964,-0.0674058,0.701936,1.13985,2.42132,1.5917,2.29886,-1.38341,1.38869,1.30242,0.396505,2.00937,0.781029,1.29297,1.66014,2.28635,2.28955,3.25556,0.470874,2.0788,1.29807,4.34754,2.56587,2.38863,3.39853,2.34583,2.6579,1.66004,2.30652,1.53456,1.05267,1.28647,2.67568,1.25187,0.331383,0.242348,0.0815612,0.169145,0.0912177,0.799538,0.199616,0.213758,0.402152,0.118222,0.314098,0.21535,0.159743,0.0922599,0.0919917,0.0371276,0.384409,0.111175,0.21449,0.0127733,0.0713672,0.0840438,0.0323416,0.087398,0.0655038,0.159756,0.0905846,0.177327,0.258713,0.216451,0.0644238,0.222377
-3799.35,0.983766,0.0731111,6,95,0,3822.83,0.320501,-0.180667,-0.109722,0.0233388,0.0542075,0.0722903,0.96839,0.132338,1.09941,0.0765641,0.0955851,0.57024,-1.99864,-0.518103,-0.351116,-0.228277,0.443953,-0.680173,-0.342558,1.13336,1.758,1.73496,1.66226,0.0906138,-0.203948,0.391235,1.44632,0.775171,-0.265407,0.80044,0.390509,1.83366,0.330864,-0.0741418,0.0692115,0.316338,0.96506,0.361439,-0.104615,0.200445,1.13695,0.146434,0.164854,0.624505,-1.86317,-0.429436,-0.267727,-0.148771,0.50221,-0.586382,-0.25944,1.16983,1.77472,1.75241,1.68201,0.16004,-0.125211,0.451158,1.47289,0.822958,-0.184727,0.847428,0.450455,1.84799,0.392696,0.000492093,0.139314,0.378629,1.00684,0.422304,-0.0290176,0.94407,1.2843,2.32292,1.63664,2.20471,-0.887157,1.56096,1.5293,0.703269,2.08241,0.993818,1.32076,1.7184,2.24731,2.41742,3.04538,0.838808,1.67182,1.52003,3.8662,2.7284,2.26279,3.07812,2.03066,2.75423,1.63352,2.17698,1.5521,1.14092,1.45012,2.43628,1.33435,0.280079,0.21682,0.0892427,0.162923,0.0993287,0.708303,0.173509,0.178096,0.331088,0.110818,0.270159,0.210692,0.152077,0.0955818,0.081854,0.0454174,0.301786,0.158182,0.179457,0.0205083,0.061318,0.0942516,0.0440189,0.116022,0.059848,0.163348,0.101837,0.174784,0.242151,0.189984,0.0804479,0.20844
-3795.41,1,0.0731111,5,31,0,3812.9,0.16395,-0.0667805,-0.161487,-0.157977,0.0590554,0.149878,1.15442,-0.282029,1.04364,0.66297,-0.0500635,1.31484,-1.74777,-0.311619,-0.516338,-0.152642,0.395827,-0.668309,-0.163033,1.07332,1.50702,1.55874,1.47358,-0.11714,0.444799,-0.238094,0.0902884,0.646067,-0.11036,0.146144,0.404124,2.03578,0.618489,0.498181,0.528741,0.141115,0.755027,0.520952,0.515115,-0.175701,1.35467,0.915223,0.092084,1.66775,-1.86778,-0.20986,-0.446191,-0.0263346,0.606829,-0.62163,-0.0383297,1.38894,1.88961,1.94932,1.851,0.0146501,0.663363,-0.124982,0.254109,0.89571,0.0224764,0.318589,0.616407,2.50003,0.863873,0.724988,0.760266,0.312784,1.0215,0.751275,0.744537,0.40725,1.28801,2.93189,1.34103,3.03481,-1.04286,1.73136,1.15708,0.674727,1.97388,0.745424,1.32872,1.74372,2.17728,2.38616,2.98183,0.495591,2.26664,0.812301,2.50699,2.6171,2.33442,2.39431,1.98346,3.26014,1.98177,2.74165,2.05878,0.902635,1.25931,2.66219,1.87537,0.399572,0.216189,0.0505996,0.207341,0.0458779,0.739401,0.150413,0.239198,0.337439,0.121972,0.321819,0.209371,0.148841,0.101809,0.0842344,0.0482533,0.378577,0.0939239,0.3074,0.0753694,0.0680463,0.0883125,0.0836078,0.12095,0.0369641,0.12113,0.0605599,0.113168,0.288509,0.221092,0.0652413,0.132922
