# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC2a_model
# start_datetime = 2022-04-23 08:21:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39346c153d72.json
# init = 2 (Default)
# random
#   seed = 31707639
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2a-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2a-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC2a_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0737845
# Diagonal elements of inverse mass matrix:
# 0.0295403, 0.0423286, 0.0718277, 0.0625731, 0.00017344, 0.0361223, 0.0204329, 0.113415, 0.12857, 0.173431, 0.11863, 0.12923, 0.240878, 0.22169, 0.127347, 0.117584, 0.121786, 0.13063, 0.118, 0.127736, 0.151486, 0.118094, 0.169225, 0.108547, 0.125828, 0.118555, 0.198213, 0.147994, 0.174362, 0.181562, 0.129176, 0.175214, 0.121001, 0.161819, 0.134041, 0.105376, 0.111997, 0.217857, 0.114186
-3801.5,0.993556,0.0737845,5,31,0,3826.24,0.189114,0.191999,0.399865,-0.00200817,0.0536004,0.242454,1.04246,-0.480478,0.99716,0.468236,0.136596,0.989219,-2.71817,-0.940245,-0.296058,-0.621255,-0.0198726,-0.918798,-0.895663,0.48706,1.5038,1.19879,1.63544,-0.169388,0.283451,-0.533711,0.806268,0.27145,-0.513288,0.233279,0.511325,1.70726,-0.258898,0.0133604,0.129837,-0.0653146,0.318175,0.1378,0.231959,-0.258425,1.28195,0.730571,0.38485,1.27368,-2.59112,-0.737713,-0.0661747,-0.405179,0.221738,-0.715355,-0.691238,0.750194,1.8101,1.49215,1.94734,0.0658742,0.53794,-0.313918,1.08296,0.52543,-0.292628,0.485638,0.77549,2.0222,-0.0274363,0.256382,0.377804,0.174366,0.574139,0.386105,0.484262,0.727107,1.67788,2.90041,1.85789,2.85391,-1.40772,1.48063,1.72847,0.687553,1.80198,0.864884,0.889001,1.49818,2.52763,2.2276,3.31317,0.897916,2.33258,0.993216,3.4672,2.42727,2.14522,2.70908,2.35573,3.16854,1.43058,2.42623,1.9867,1.14006,1.21162,2.46819,1.8501,0.32583,0.157376,0.0521331,0.134949,0.0544794,0.803407,0.185332,0.150784,0.334578,0.141611,0.29632,0.291316,0.182697,0.0739436,0.0972989,0.035122,0.289479,0.0884603,0.270277,0.03026,0.0811166,0.104779,0.0624396,0.0866115,0.040367,0.193008,0.0811946,0.120606,0.242309,0.229415,0.0781188,0.135861
-3808.2,0.953202,0.0737845,5,31,0,3827.31,0.252588,0.200491,0.162244,-0.10207,0.0618358,0.243002,0.951203,-0.921068,0.762641,-0.121089,-0.120696,1.13876,-2.52989,-1.00383,-0.287821,-0.898413,0.355953,-1.11109,-0.274734,0.965844,0.894522,0.796778,0.971076,-0.375568,-0.169049,-0.532005,0.312849,0.684783,-0.0477144,-0.314455,0.125375,1.72018,0.238651,-0.142337,0.137673,-0.167431,-0.0842748,-0.111436,0.523967,-0.63312,0.968429,0.127822,0.128196,1.32619,-2.16344,-0.711843,-0.030774,-0.611571,0.581586,-0.813871,-0.0183253,1.16172,1.09387,1.0009,1.16669,-0.114239,0.0822028,-0.263043,0.540585,0.89437,0.197616,-0.0561085,0.362259,1.87924,0.470008,0.107611,0.373958,0.0837418,0.16284,0.137004,0.741401,0.41565,1.33701,2.38697,1.58348,2.90515,-0.884586,1.75915,1.79553,0.560871,2.16054,0.765087,1.56063,1.93897,1.83347,1.77094,2.49831,0.762522,1.9085,1.15674,3.04708,2.84434,2.76595,2.26488,1.94122,3.11352,2.06494,2.36676,2.14404,1.1118,0.812974,2.45985,2.07302,0.397558,0.208003,0.0841715,0.170303,0.0518996,0.707772,0.146897,0.142396,0.363346,0.10335,0.317543,0.173556,0.125761,0.137826,0.145425,0.0759769,0.318099,0.129149,0.23926,0.0453437,0.0549745,0.0591923,0.0940738,0.125514,0.0425529,0.112551,0.0857426,0.104889,0.247536,0.307257,0.0787216,0.111747
-3808.28,0.848219,0.0737845,5,63,0,3825.99,0.355035,0.221567,-0.126568,-0.141424,0.0636886,0.253526,1.07461,-0.917719,0.804523,-0.0416289,0.104825,0.952422,-2.73284,-1.37271,-0.58974,-0.772026,0.161606,-1.19589,-0.444421,1.15755,1.09518,0.925077,1.08566,-0.360263,0.0647513,-0.672418,0.380623,0.926982,-0.0355128,-0.161269,0.345193,1.60415,0.326457,-0.338336,0.0477651,-0.0810192,0.00104029,-0.021819,0.52644,-0.732664,1.11807,0.208791,0.366172,1.27701,-2.68322,-1.2216,-0.380215,-0.576101,0.42719,-1.03159,-0.224054,1.49744,1.43042,1.24762,1.42019,-0.133616,0.323109,-0.469062,0.662547,1.24967,0.215364,0.0802248,0.624474,1.97737,0.60434,-0.110053,0.304855,0.166462,0.254644,0.230079,0.819244,0.422501,1.57266,2.32209,1.65152,2.68973,-1.29238,1.3984,1.28726,0.706442,1.83991,0.381134,1.18867,2.37115,2.26714,2.1087,2.57816,0.840753,1.99059,1.06824,3.0306,3.04453,2.64711,2.25721,2.0372,3.3236,2.32126,2.00325,2.20139,1.29873,0.997152,2.691,1.97721,0.395918,0.171837,0.08931,0.160904,0.063582,0.784549,0.19807,0.216316,0.330386,0.137062,0.405853,0.233497,0.0853997,0.0938812,0.108254,0.0705574,0.301376,0.120195,0.255739,0.0460624,0.0454544,0.0661677,0.0947292,0.115352,0.0347704,0.0893777,0.118863,0.0996257,0.214378,0.269502,0.0635063,0.121616
-3807.87,0.99985,0.0737845,5,63,0,3826.49,-0.00194364,0.00684248,0.302185,0.372049,0.0619522,0.0979123,0.853295,-0.313441,1.08624,0.490918,-0.0983457,0.984926,-2.93037,-0.808056,-1.11665,-0.680635,0.548627,-0.795631,-0.508463,0.565269,2.16816,1.96285,2.5318,-0.474857,-0.40047,-0.330753,0.427803,0.310377,-1.0523,0.76378,0.0381526,1.62075,0.163359,0.25852,-0.503638,-0.289792,1.25352,-0.0801524,-0.316273,-0.169546,1.0248,0.516811,0.0139943,0.938345,-2.40256,-0.591598,-0.854916,-0.48287,0.566053,-0.580996,-0.335957,0.580253,1.94799,1.7728,2.25828,-0.307281,-0.243807,-0.184317,0.462955,0.362755,-0.800007,0.749642,0.130468,1.48089,0.237305,0.318506,-0.33184,-0.149366,1.16754,0.0295186,-0.171962,0.889476,1.40235,2.85478,1.54658,2.59484,-1.09632,1.89233,1.04938,0.700056,2.22255,1.0755,1.32054,1.39064,2.69725,2.64278,3.66697,0.626187,1.66049,1.24642,3.04873,2.39096,1.84772,3.14956,1.78696,2.72577,1.85354,2.65647,1.4699,0.908949,1.8539,2.44854,1.23672,0.291218,0.197444,0.0544349,0.17558,0.0694714,0.749569,0.13098,0.259343,0.3318,0.0977441,0.254359,0.210729,0.199305,0.0631357,0.0664352,0.0249172,0.348376,0.159696,0.223321,0.0452723,0.0838646,0.136141,0.0411086,0.143446,0.0614699,0.135457,0.0655912,0.186957,0.287215,0.135415,0.0795451,0.225007
-3807.43,0.980202,0.0737845,6,63,0,3826.36,0.1471,-0.126357,0.280719,0.248539,0.0544632,0.111769,0.842637,-0.239158,1.14901,-0.277842,-0.302197,0.933401,-2.63597,-0.525295,-1.02282,-0.471883,0.296134,-0.851961,-0.471102,1.65747,1.62847,1.5261,1.19949,0.253576,0.147737,-0.208969,0.924395,0.859901,-0.346483,-0.218413,0.415701,2.19004,0.756324,-0.624539,0.616186,0.149737,0.270159,0.347675,0.534156,-0.089754,1.07997,-0.12235,-0.142873,0.898287,-2.1094,-0.330863,-0.750098,-0.285856,0.361303,-0.606124,-0.285198,1.50842,1.48398,1.39772,1.1225,0.325442,0.236258,-0.064316,0.890698,0.836353,-0.18019,-0.0722736,0.462054,1.95718,0.749076,-0.41449,0.63099,0.237943,0.339415,0.404733,0.561869,0.767552,1.33818,2.22645,1.4979,2.64799,-1.02336,1.7791,1.21746,0.680376,2.111,1.14358,1.4645,2.1631,2.06897,2.15039,2.65435,1.10429,2.20381,1.11977,3.45735,2.91283,2.44092,2.33099,2.21176,2.97787,2.10308,1.93431,2.15491,1.10831,0.88735,2.51463,2.09372,0.317009,0.207809,0.0974007,0.182739,0.0661131,0.735627,0.144415,0.228385,0.336177,0.108032,0.241664,0.18778,0.103113,0.112149,0.104295,0.0657215,0.248938,0.0994087,0.246054,0.0305505,0.0515228,0.0801049,0.088589,0.0986998,0.0484355,0.108798,0.126275,0.103873,0.248187,0.291657,0.0748389,0.109709
-3806.11,0.984759,0.0737845,5,63,0,3828.71,0.263272,-0.136267,0.218599,0.0970813,0.0470423,0.35825,0.80155,-0.85516,0.729696,0.588006,-0.292981,0.873999,-3.09081,-0.583425,-0.889549,-0.581723,-0.0849551,-1.82699,-1.13458,0.782216,1.91469,1.57458,1.55334,-0.34415,-0.555286,0.149375,0.359492,0.635788,-0.531014,0.438824,0.245061,2.41252,1.0321,-0.137619,0.145213,-0.3727,1.44579,0.524014,-0.373927,-0.327204,0.943138,0.829566,0.12341,1.0588,-2.11919,-0.109395,-0.354768,-0.10803,0.290154,-1.10617,-0.551171,0.985236,1.89297,1.62035,1.60333,0.082396,-0.0868399,0.477981,0.646401,0.867866,-0.0673848,0.709989,0.554679,2.29201,1.18553,0.247941,0.474646,0.0595121,1.51712,0.778273,0.0585282,0.402408,1.15528,2.99723,1.67952,2.709,-1.18967,1.70219,1.4836,0.715667,1.94035,0.544021,1.09902,1.54311,2.38737,2.2722,3.06536,0.750777,1.75152,1.48985,3.00223,2.80032,2.33549,2.92469,2.20487,3.16275,2.34557,2.4156,1.78285,0.803204,1.98326,2.60148,1.52055,0.400734,0.239525,0.0475513,0.157159,0.0624444,0.766683,0.154179,0.184885,0.328348,0.125609,0.367253,0.249923,0.176084,0.084141,0.0934517,0.0445591,0.320652,0.147855,0.183945,0.0473252,0.0573071,0.0882263,0.0509464,0.0993137,0.0405919,0.0874188,0.0819907,0.143952,0.30934,0.120972,0.0690431,0.17938
