# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC2b_model
# start_datetime = 2022-04-23 08:22:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393458d3d2b.json
# init = 2 (Default)
# random
#   seed = 1316575528
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC2b_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0838657
# Diagonal elements of inverse mass matrix:
# 0.0426858, 0.0351439, 0.0666364, 0.0707509, 0.000205008, 0.0377776, 0.0204891, 0.168002, 0.192923, 0.22654, 0.177915, 0.212736, 0.256884, 0.278564, 0.186932, 0.154253, 0.184917, 0.161042, 0.175352, 0.173145, 0.163312, 0.19362, 0.175035, 0.148585, 0.197143, 0.164473, 0.241042, 0.197605, 0.224927, 0.23655, 0.206346, 0.206215, 0.192092, 0.220878, 0.175516, 0.148535, 0.161166, 0.280226, 0.15731, 0.0074574
304.822,0.941623,0.0838657,5,31,0,-283.639,0.301739,0.0480467,-0.0157565,0.0748545,0.0662157,0.227205,0.806338,-1.13718,1.01826,-0.581379,-0.269707,0.820487,-2.3398,-1.86591,-0.968405,-0.920321,0.403198,-1.60431,-0.751323,0.837139,0.783828,0.863452,1.60735,-0.848022,-0.630399,-0.691278,-0.561378,0.232195,-0.335322,-0.227291,0.597736,1.12505,-0.716511,-0.459655,-0.74251,-0.329468,0.198055,-0.209979,-0.0965261,6.21752,-0.689744,1.04827,-0.241583,0.00973046,0.888795,-1.65946,-1.27735,-0.553657,-0.514884,0.552319,-1.06641,-0.378615,0.902222,0.859236,0.923439,1.52327,-0.456587,-0.281109,-0.330199,-0.225455,0.414433,-0.0431779,0.0439318,0.709182,1.13437,-0.350545,-0.143432,-0.371509,-0.0384572,0.386905,0.0578913,0.149373,0.467478,1.47712,2.18248,1.57299,2.58449,-0.241517,1.40284,1.4069,0.77477,2.24801,0.629285,1.31708,1.78879,1.68538,1.85967,2.9541,0.556621,1.67945,1.22432,2.46347,2.50742,2.71197,2.53421,2.40488,2.49024,1.40014,2.28064,1.57534,1.1138,1.14021,2.65117,1.5802,0.385213,0.185863,0.101334,0.17179,0.0701433,0.560087,0.197366,0.196723,0.315448,0.095521,0.347673,0.211305,0.143221,0.156384,0.134741,0.0495429,0.36433,0.157169,0.227177,0.0784588,0.0753396,0.0622709,0.0734941,0.0828016,0.0765449,0.197794,0.0927395,0.171457,0.247163,0.242281,0.0659167,0.170767
302.166,0.998972,0.0838657,5,31,0,-284.374,0.246814,0.0861624,0.0914014,0.165776,0.0651191,0.211413,0.796933,-1.33155,1.16299,-0.462898,0.492415,1.07939,-2.81213,-2.17649,-1.08159,-0.690098,-0.126884,-1.44325,-0.747582,1.11541,1.06156,0.899207,1.43499,-0.863698,-0.329174,-0.626107,-0.446939,0.289781,-0.593458,0.120834,0.701542,1.0999,-0.747324,-0.250016,-0.818818,-0.170103,0.0215426,-0.417666,-0.300363,6.48742,-0.849739,1.13824,-0.157486,0.603834,1.07162,-2.02967,-1.5231,-0.650539,-0.338549,0.110294,-0.938762,-0.38436,1.10032,1.0574,0.92802,1.35501,-0.476896,-0.0509172,-0.287552,-0.144767,0.442349,-0.261533,0.307709,0.770495,1.08796,-0.384154,0.0121669,-0.44113,0.0758524,0.228581,-0.121439,-0.0279568,0.372872,1.64454,2.24531,2.16009,2.75811,-0.553997,1.19725,1.29643,1.0143,1.79678,0.747728,1.30213,2.05207,1.95442,1.91521,2.78102,0.594704,1.89605,1.32577,2.51851,2.51955,2.46686,2.77563,2.45698,2.50593,1.42008,2.41497,1.55401,1.28956,1.04861,2.4967,1.39806,0.407847,0.161848,0.0957544,0.103392,0.0596305,0.635062,0.231965,0.214767,0.266139,0.142243,0.321316,0.213807,0.113843,0.124072,0.128396,0.0583585,0.355556,0.130556,0.209859,0.0745708,0.0744987,0.0782141,0.0586554,0.0789293,0.0754438,0.194649,0.0820385,0.174508,0.215927,0.259493,0.0760901,0.198125
301.279,0.985119,0.0838657,5,31,0,-280.739,0.31846,0.00804322,-0.0431059,0.070983,0.0633358,-0.109677,0.919842,-0.159908,0.630835,0.320048,-0.633487,0.511761,-3.17768,-0.27139,-0.867816,-1.01256,0.464163,-0.787041,-0.417222,0.396185,1.63482,1.69153,1.69449,-0.237637,-0.0441147,-0.688427,0.698361,0.456864,-0.962053,-0.0833489,-0.231173,1.61611,0.444112,-0.481068,-0.111553,-0.3191,0.844537,-0.498648,0.62409,5.39802,-0.256767,0.470591,0.184716,-0.692385,0.361062,-3.03264,-0.359313,-0.90793,-1.04107,0.317279,-0.833631,-0.493455,0.254751,1.3941,1.44626,1.44899,-0.328265,-0.150256,-0.742921,0.532704,0.310566,-0.994614,-0.186345,-0.32232,1.37689,0.298836,-0.552184,-0.212289,-0.403199,0.667164,-0.568355,0.464387,0.838117,0.868782,2.54228,0.841811,2.02193,-1.6851,2.19229,1.00628,0.180483,1.97815,0.827237,1.16741,1.09532,2.1723,2.3474,2.85651,0.638008,1.76395,0.731978,3.14361,2.35145,1.67963,2.23455,1.33855,2.66178,1.96333,1.80538,1.64179,0.690854,1.38093,1.91645,1.87191,0.301931,0.295508,0.072947,0.301154,0.11692,0.843579,0.100445,0.267708,0.455001,0.121517,0.30423,0.237323,0.250617,0.102266,0.0872728,0.0543457,0.345697,0.146296,0.324761,0.0413439,0.0869507,0.157145,0.0966903,0.207749,0.0652664,0.123107,0.141198,0.162221,0.333843,0.20086,0.128258,0.133321
294.933,0.998952,0.0838657,5,31,0,-285.781,-0.0739534,-0.179121,-0.0810423,0.222368,0.0672227,0.282238,0.820863,-0.908644,1.90356,-0.188721,0.229089,0.841601,-1.81441,-1.95689,-0.774963,0.0878382,-0.0383036,-1.25728,-0.171118,1.2952,1.61973,1.24821,1.34983,-0.276647,-0.247834,0.0798032,-0.571976,0.0555513,-0.425779,0.550628,0.623085,1.32717,-0.32097,-0.349358,-0.422912,0.260028,0.406207,0.0920692,-0.251739,5.72615,-0.463635,1.8448,0.127324,0.470289,0.973077,-1.20714,-1.3241,-0.353901,0.354341,0.250796,-0.749814,0.141773,1.34542,1.61182,1.30684,1.39027,0.0551489,0.0788004,0.347746,-0.187276,0.327838,-0.0672685,0.734228,0.793705,1.37166,0.0187658,-0.00453734,-0.064915,0.495686,0.615679,0.357814,0.0755946,0.229414,1.7984,2.36602,1.83509,2.47232,-0.229781,0.915069,1.41424,1.18184,1.75004,0.749434,1.64102,1.79117,1.96875,1.88151,2.62062,0.656937,1.84694,1.44413,2.32031,2.23042,2.50754,3.04015,2.29295,2.26638,1.32607,2.23416,1.45331,1.20724,0.930068,2.60688,1.30595,0.442897,0.142047,0.0858008,0.137633,0.0778213,0.557194,0.285964,0.195567,0.234722,0.148042,0.320945,0.162326,0.14293,0.122523,0.132215,0.0678228,0.341428,0.136233,0.190907,0.0894547,0.0970517,0.0753311,0.0456447,0.0917083,0.0939458,0.20981,0.0967246,0.189492,0.230189,0.282911,0.068697,0.213165
307.006,0.86193,0.0838657,5,63,0,-276.959,-0.157393,-0.312557,-0.222411,0.243265,0.0700974,0.223064,0.929487,-0.208649,1.52951,-0.452411,-0.268199,0.43852,-2.4293,-0.669082,-1.05966,-0.296711,0.163138,-1.06234,-0.411063,0.948342,1.17693,1.08881,1.21765,-0.55048,-0.0845631,-0.351079,-0.399498,0.137301,-0.311089,-0.0821981,0.847701,1.27943,0.0103754,-0.603563,0.0897466,0.0450819,0.727269,-0.461203,-0.517861,5.86531,0.0291276,1.64472,-0.197446,-0.0262228,0.630663,-2.03494,-0.398839,-0.761876,-0.0527244,0.374699,-0.764368,-0.159014,1.10454,1.31701,1.2351,1.35485,-0.2886,0.144464,-0.103259,-0.148264,0.350684,-0.0660889,0.146662,1.01099,1.41228,0.232708,-0.33794,0.306483,0.264967,0.899051,-0.205618,-0.258281,0.546128,1.39065,2.04193,1.30189,2.09897,-1.21064,1.7304,0.986818,0.604471,1.843,0.703937,1.30929,1.37882,1.48352,1.68714,2.54277,0.163562,1.89316,0.834325,2.3715,2.23957,2.52377,2.45614,2.4793,2.13957,1.39673,1.90144,1.69695,0.814263,1.03853,1.98809,0.929634,0.366763,0.199304,0.11487,0.213848,0.109197,0.770412,0.150536,0.271541,0.353322,0.136696,0.33094,0.212605,0.201198,0.184896,0.156152,0.0729138,0.459201,0.130885,0.302731,0.0853718,0.0962526,0.0742082,0.078991,0.0773224,0.105309,0.198335,0.129946,0.154864,0.306983,0.261434,0.120459,0.282999
299.587,0.9878,0.0838657,5,63,0,-282.856,-0.165245,-0.309272,-0.0421585,0.382966,0.0661019,0.41422,0.826058,-0.218113,1.60818,-0.263066,-0.214971,0.883112,-2.51039,-1.20063,-1.56996,-0.229044,-0.00786474,-0.785895,-0.0956252,0.684679,1.62484,1.24488,1.64246,-0.836306,0.0651568,-0.76786,0.106842,-0.402127,-0.273103,0.499768,0.291038,1.40692,0.0348435,-0.632744,-0.505625,-0.107175,0.622004,0.128602,-0.511222,6.6881,0.234046,1.74267,0.196912,0.236642,1.14372,-1.6595,-0.577568,-0.882658,0.225017,0.407724,-0.234975,0.335228,0.979805,1.75643,1.44257,1.77099,-0.276617,0.468044,-0.220076,0.502478,0.08204,0.188622,0.827057,0.654635,1.57642,0.443003,-0.108463,-0.00345549,0.325687,0.928032,0.520453,-0.00807885,0.842518,1.62402,2.47362,1.65403,2.69331,-0.759995,1.55125,0.931337,0.965692,1.95731,1.31461,1.88482,1.36115,2.0344,1.99653,3.05617,0.274215,2.28204,0.785007,3.04359,2.02824,2.79584,3.16987,2.20422,2.38319,1.66237,2.16824,1.43019,0.966115,1.1825,2.71632,1.2771,0.301005,0.164651,0.0777283,0.160566,0.0633693,0.681353,0.174906,0.282654,0.27574,0.123758,0.211716,0.131837,0.204053,0.115639,0.119567,0.0449519,0.431873,0.0926215,0.313242,0.0454949,0.11627,0.0575494,0.0403156,0.099372,0.0844633,0.159444,0.102639,0.193068,0.275656,0.234603,0.0620174,0.218044
