# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC2b_model
# start_datetime = 2022-04-23 08:22:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393458d3d2b.json
# init = 2 (Default)
# random
#   seed = 1316575528
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC2b_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0955571
# Diagonal elements of inverse mass matrix:
# 0.0331409, 0.0403887, 0.0777214, 0.069206, 0.000172871, 0.0336861, 0.0240127, 0.185516, 0.212431, 0.186521, 0.173095, 0.197848, 0.258906, 0.30448, 0.204216, 0.194059, 0.173293, 0.175345, 0.15174, 0.174113, 0.256457, 0.183315, 0.212435, 0.173706, 0.176136, 0.189445, 0.242057, 0.189229, 0.224351, 0.246285, 0.160816, 0.223924, 0.197523, 0.206941, 0.238895, 0.170895, 0.17117, 0.273736, 0.177046, 0.00632079
297.362,0.978943,0.0955571,5,31,0,-284.571,0.051424,-0.248899,-0.233219,0.578218,0.0668722,0.184515,0.666166,-0.36031,1.00397,0.219769,-0.449376,1.07432,-3.54968,-1.82519,-0.461092,-0.756702,0.2291,-0.786076,-0.449437,0.710512,0.888509,1.65622,1.53598,-0.894845,-0.417076,-0.733358,1.20425,-0.0827725,-1.10086,0.14662,1.19122,1.76288,-0.00424041,-0.701861,-0.686364,-0.828801,0.814745,-0.729262,-0.581291,6.01957,-0.055511,0.853329,0.330918,-0.114844,0.900192,-2.18016,-1.03137,-0.122649,-0.319574,0.337134,-0.339142,-0.114884,0.657834,0.77641,1.28783,1.20773,-0.4116,-0.0933267,-0.304023,0.986749,0.129375,-0.548838,0.282189,0.978067,1.35889,0.18169,-0.283041,-0.272717,-0.367604,0.72727,-0.301294,-0.202721,1.03902,1.21226,2.59955,1.28445,2.43323,-0.796713,1.60122,1.67788,0.908699,1.87018,1.1939,1.41816,1.51488,1.53658,2.29748,2.47329,0.609192,1.7072,1.19174,3.52287,2.06365,2.05416,2.6177,2.51111,2.65403,1.89093,1.9856,1.65,0.752643,1.45486,2.37158,1.06283,0.26134,0.229301,0.0691671,0.216793,0.0806732,0.689271,0.167811,0.157376,0.287266,0.133521,0.232562,0.194951,0.180217,0.177033,0.0913322,0.0777521,0.352243,0.153527,0.232948,0.0286684,0.11268,0.113633,0.0680081,0.075083,0.0657408,0.131139,0.120724,0.16111,0.320246,0.189255,0.0853657,0.256768
305.901,1,0.0955571,5,31,0,-284.399,0.411701,0.0779891,0.00935493,0.127449,0.0534186,0.0319591,0.754007,-1.42881,0.975065,0.0398766,-0.162506,0.46734,-2.90163,-1.11036,-0.83725,-1.07325,0.223284,-1.34774,-0.138857,0.520933,1.92511,0.533122,2.68359,-0.700025,-0.36762,-0.640391,0.317188,0.854412,-0.550937,0.00465646,0.531022,1.09902,-0.344063,0.0638767,-0.256613,-0.207628,0.198233,-0.124886,0.521472,5.43195,-1.04537,0.767165,0.0620263,-0.0905718,0.384336,-2.15589,-0.805259,-0.599333,-0.777275,0.200316,-0.984245,-0.0727403,0.424746,1.48351,0.433937,2.05541,-0.495865,-0.245229,-0.4509,0.271121,0.676191,-0.383451,0.0354701,0.432354,0.860628,-0.227467,0.0801226,-0.161529,-0.124594,0.181428,-0.0622058,0.425153,0.166204,1.39114,2.16955,1.32251,1.90426,-0.737354,1.63495,1.13426,0.541139,1.72024,0.535676,1.44718,1.41325,2.42799,1.449,3.36165,0.590072,1.48837,1.08119,2.59232,2.51662,1.99117,2.19641,1.95227,2.23246,1.46085,2.18765,1.68301,1.07892,1.06175,2.291,1.7314,0.458544,0.199226,0.102518,0.210401,0.129627,0.676417,0.163154,0.243375,0.367923,0.151841,0.369194,0.190436,0.195722,0.0810632,0.190156,0.0335157,0.356618,0.184167,0.253281,0.0696343,0.074701,0.120133,0.100073,0.124306,0.0968731,0.188338,0.100865,0.156697,0.25371,0.256975,0.0918708,0.150409
306.951,0.946011,0.0955571,5,31,0,-289.276,0.120304,-0.0117372,0.39006,0.279571,0.037152,0.311694,0.649111,-0.512697,1.21617,0.498991,-0.467516,0.750569,-3.33537,-1.14532,-0.7075,-0.58556,0.100588,-1.22158,-0.259649,0.596289,0.840179,1.40982,1.91143,-0.671185,-0.331517,-0.815706,0.80398,1.38552,-0.384752,0.421784,0.442463,1.23379,0.319702,0.0178201,-0.267231,0.278031,0.204822,0.556052,0.366997,5.33956,-0.0211041,1.10112,0.635594,0.00822375,0.798896,-1.85333,-0.431744,-0.147553,-0.0684002,0.376986,-0.481251,0.143153,0.698752,0.857063,1.22682,1.55242,-0.12398,0.0965024,-0.21779,0.833566,1.21105,0.0619467,0.585478,0.598901,1.11256,0.519216,0.323261,0.138231,0.492166,0.444646,0.672633,0.549915,0.774678,1.48823,2.38346,1.27312,2.13809,-0.907929,1.21853,1.34025,0.801685,1.71618,0.857946,1.48235,1.34734,1.46708,1.9166,2.74301,0.600327,1.58431,0.800903,2.73004,2.77316,1.99557,2.3705,1.9381,2.0198,1.64997,2.07113,1.38105,1.28916,1.01913,2.29081,1.7405,0.315468,0.184187,0.0844425,0.218724,0.105449,0.712576,0.228195,0.207469,0.309665,0.152364,0.297769,0.185073,0.206306,0.187386,0.128241,0.0604826,0.354269,0.170186,0.309832,0.0612238,0.058792,0.119668,0.0854502,0.125857,0.11714,0.161113,0.111935,0.200841,0.215995,0.265196,0.0918869,0.149249
310.264,0.951254,0.0955571,5,31,0,-285.748,0.134742,0.49117,-0.2673,-0.248774,0.0636203,0.363717,1.06139,-1.19279,0.391785,0.351902,0.761998,1.29205,-2.31788,-1.34822,-0.17159,-1.1089,0.892082,-0.251084,-0.0951578,0.390869,1.13988,0.85486,1.59337,-0.712687,0.606955,-0.615182,0.515893,0.335077,-0.0193369,0.518817,0.466187,1.12753,-0.619841,0.136537,-0.356513,-0.952432,0.186106,-0.474014,0.359097,6.50917,-0.902297,0.779552,0.737221,1.17249,1.73509,-2.09645,-1.06727,0.181594,-0.813258,1.31056,0.0972187,0.262717,0.77858,1.57358,1.27105,2.0549,-0.392721,1.00793,-0.28923,0.911279,0.719363,0.343193,0.914383,0.858522,1.56046,-0.294175,0.508636,-0.0146823,-0.647183,0.561248,-0.139396,0.744858,0.217699,1.19973,2.22332,1.83153,2.52136,-0.764267,1.51599,1.22235,0.433979,2.09684,0.883496,1.04899,1.58489,2.37547,1.97181,2.5867,0.481616,2.04869,1.21249,2.65186,1.88736,2.14739,2.4641,1.6448,2.87132,1.37303,1.99474,1.81801,0.422062,1.23185,2.16878,1.27665,0.445789,0.231524,0.0976757,0.138056,0.074374,0.682279,0.180052,0.227523,0.393177,0.109404,0.292454,0.259418,0.170105,0.0850625,0.122194,0.0699996,0.381871,0.114185,0.229261,0.0658745,0.131546,0.104575,0.0784133,0.161813,0.0535897,0.202131,0.119757,0.139673,0.396023,0.225857,0.102589,0.21812
307.127,0.955675,0.0955571,5,31,0,-290.845,0.366023,-0.0829917,-0.00542581,0.649439,0.0518692,-0.0962429,0.75214,-0.773199,0.38467,0.658436,-0.306077,1.18655,-3.26839,-1.26115,-0.536718,-1.07546,0.39789,-1.0178,-0.0279232,0.402378,0.976014,1.11034,2.42751,-1.1365,-0.0934361,-1.24786,0.890085,1.6244,-0.269198,0.926174,0.707963,1.47166,0.0077753,0.201878,-0.523286,-0.158167,0.53209,-0.581539,0.574761,5.94293,-0.677797,0.193083,0.398993,-0.326456,0.796211,-2.55453,-1.0448,-0.49993,-0.905138,0.203026,-0.861772,-0.117245,0.206402,0.637857,0.738885,1.72959,-0.95105,-0.16652,-1.03481,0.573226,1.12553,-0.298717,0.600369,0.436245,1.01065,-0.0903948,0.0555973,-0.489827,-0.215207,0.303963,-0.533642,0.336058,0.817962,1.11828,2.55251,1.15277,2.37917,-0.844145,1.64395,1.29051,0.69436,1.78599,0.721188,1.46572,1.50469,1.87427,2.11763,3.10507,0.46098,1.62392,0.772167,2.93422,3.01971,2.11415,2.80576,2.01921,2.66202,1.87647,2.20912,1.63694,1.28913,1.49994,2.13897,1.71154,0.306196,0.24633,0.0722577,0.239984,0.0847748,0.699338,0.161929,0.215767,0.333064,0.143565,0.327131,0.187595,0.181727,0.133048,0.107395,0.0428986,0.386753,0.164665,0.316011,0.0504875,0.0465435,0.107729,0.0570137,0.117201,0.0652521,0.132794,0.0989346,0.162882,0.216,0.182434,0.105367,0.152964
301.089,0.969342,0.0955571,5,31,0,-280.753,-0.201964,-0.00665619,0.163003,0.826087,0.0590212,0.0466298,0.774618,-0.46053,0.0121801,0.654219,0.28027,0.724516,-3.3004,-1.482,-0.312382,-1.0982,0.347576,-0.645054,-0.256311,0.291585,1.34377,1.11408,1.6872,-1.14572,0.536814,-0.964135,0.265163,0.473932,-0.0548402,0.485202,0.475399,0.735802,0.832523,0.0571056,-0.812576,-0.432776,0.671624,0.0242686,0.77716,5.5107,-0.310105,0.0560647,0.5534,0.263732,0.607853,-2.50992,-1.10135,-0.195347,-0.804058,0.315868,-0.45304,-0.151914,0.272497,1.08754,0.909616,1.35357,-0.840869,0.462456,-0.700206,0.25203,0.413746,0.00414961,0.422476,0.414883,0.616595,0.691517,0.0908648,-0.582806,-0.288606,0.566882,0.0654286,0.648632,0.956012,0.672948,2.46866,1.41171,1.87387,-1.00714,1.52225,1.30676,0.580101,1.58189,0.812981,1.11411,1.30333,2.05855,2.00176,2.38351,0.30881,1.96456,0.920038,2.40337,2.0339,2.21451,2.39675,1.6809,2.05978,2.48917,2.00612,1.39225,0.978199,1.47979,2.63288,1.67857,0.277677,0.337837,0.078085,0.195964,0.133094,0.732461,0.17913,0.21303,0.358909,0.170528,0.307256,0.247106,0.213605,0.113191,0.119018,0.0844392,0.423405,0.122974,0.28495,0.0829161,0.11569,0.0984549,0.0834207,0.156976,0.113068,0.076621,0.118562,0.199048,0.273249,0.185459,0.0670522,0.157285
