# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC3_model
# start_datetime = 2022-04-23 08:23:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393449fe656b.json
# init = 2 (Default)
# random
#   seed = 763532495
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0821033
# Diagonal elements of inverse mass matrix:
# 0.03236, 0.0421531, 0.070251, 0.0651864, 0.000167519, 0.0315998, 0.0292822, 0.16062, 0.185341, 0.213592, 0.161485, 0.216981, 0.289881, 0.274519, 0.1878, 0.176927, 0.188754, 0.17412, 0.166444, 0.179052, 0.201401, 0.212971, 0.251945, 0.174102, 0.164626, 0.20299, 0.271153, 0.221341, 0.234096, 0.256397, 0.154992, 0.205524, 0.204345, 0.197474, 0.240963, 0.162521, 0.172062, 0.278357, 0.180548, 0.00972992, 1.05406, 0.653989, 0.869018, 0.756762, 0.725676, 0.751738, 0.765754, 0.661773, 0.784747, 0.796476, 0.905607, 1.12817, 0.774051, 0.758529, 0.787979, 0.750172, 0.873693, 0.805552, 0.728525, 0.774894, 0.789688, 0.753668, 1.06938, 1.0438, 1.01723, 0.745286, 0.879228, 0.945704, 0.709999, 0.966258, 0.839472, 0.774943, 0.767233
277.142,0.978592,0.0821033,6,63,0,-238.051,0.219279,0.202198,0.645448,-0.0145007,0.0488477,0.033787,0.595608,-0.580829,0.550278,0.472589,-0.0300338,0.0125275,-2.81002,-1.09009,-1.25828,-0.725258,-0.0969061,-1.99166,-1.6684,1.16713,1.64467,1.76794,1.82632,-0.116731,-0.450793,-0.450405,1.587,1.1949,-1.11586,0.345615,0.0537161,1.28187,0.370505,0.774474,0.178114,0.233203,0.88552,0.980778,-0.0398777,1.72591,0.0190118,-0.181387,-1.40693,-0.243326,0.419771,-0.0354278,-0.850898,-0.891933,-1.80552,-0.390592,-0.618398,-0.52823,-0.294119,-0.879047,-0.359779,-0.456859,-1.81718,-1.11064,-0.547121,-0.359025,-0.11825,0.432715,-0.301123,0.5866,-0.046706,-0.0351529,-0.538676,-0.571093,0.0532149,-0.93705,-0.479937,1.07205,-0.625719,-0.312159,0.361537,0.315265,0.0158987,0.0412485,-1.63988,-0.615476,-0.715655,-0.398182,-0.023931,-1.15246,-0.959926,0.728936,1.01337,1.08678,1.12156,-0.0357391,-0.234708,-0.234478,0.979019,0.745479,-0.63083,0.239638,0.0657807,0.797277,0.254463,0.49507,0.139873,0.172684,0.561209,0.617946,0.0100356,5.59829,5.46935,5.5917,5.66264,5.61384,5.52748,5.52317,5.42806,5.57606,5.55197,5.56149,5.5863,5.52452,5.57933,5.56904,5.42686,5.50025,5.55949,5.57941,5.60501,5.66403,5.58556,5.68062,5.61264,5.61387,5.56039,5.55696,5.62331,5.51843,5.5666,5.7333,5.55119,0.649859,0.78623,2.59403,1.65965,1.78269,-0.499881,1.47004,1.22118,0.661531,1.71751,0.588984,0.781518,1.47119,1.73114,1.80824,2.66761,0.779834,1.70213,1.02063,3.45318,2.78001,1.89218,2.56725,1.80722,1.90584,1.64566,2.77384,1.66717,1.11381,1.20228,2.56756,1.55609,0.343021,0.312979,0.0695234,0.159809,0.143971,0.622431,0.186937,0.227729,0.340396,0.152192,0.356868,0.313993,0.186762,0.150441,0.140851,0.064912,0.314356,0.154188,0.264905,0.0306742,0.0584141,0.130996,0.0712759,0.140974,0.129449,0.161696,0.0587544,0.158802,0.247161,0.231069,0.0712555,0.174209
282.751,0.903689,0.0821033,6,63,0,-240.765,0.212971,-0.0597066,0.221994,0.213087,0.043566,0.204892,0.769619,-0.176528,0.98978,-0.110027,-0.539079,1.27915,-2.84912,0.0133075,-0.755265,-0.580393,0.80684,-1.06482,0.198654,1.20225,1.46533,1.5336,1.40764,-0.601057,0.399835,-0.264499,0.569998,0.061023,-0.249252,0.929835,0.494544,2.16193,0.405212,-0.384663,0.109995,0.250108,0.649074,0.11119,-0.310437,1.83667,0.0815341,-0.875363,0.626271,1.78703,0.306962,0.33328,0.245777,-1.07071,-1.49639,-0.892956,-1.69533,-0.0815314,2.00204,-1.65518,-0.74634,0.112426,-0.427808,-0.296782,-0.276261,-0.369946,0.254343,-1.27051,-0.689505,1.32758,-0.586068,0.383336,1.17258,-1.21994,0.169484,-0.903167,-0.58451,0.706498,-2.72297,0.0690322,0.966645,0.120213,-0.209994,1.18935,-1.98784,0.215133,-0.376374,-0.24179,0.825851,-0.614613,0.357779,1.13017,1.33263,1.38518,1.28824,-0.257693,0.512612,0.00132846,0.643573,0.251856,0.0130626,0.92051,0.585502,1.86875,0.516751,-0.0911526,0.289546,0.397379,0.704431,0.290465,-0.0340265,5.84333,6.60439,7.25998,6.43467,6.44849,6.40265,5.751,5.55482,5.83495,5.46545,6.23404,7.38837,5.48336,5.90512,6.33341,6.0605,6.12559,6.13585,6.08916,6.40712,5.65807,5.93255,6.99304,5.9828,6.47486,6.90522,5.68145,6.36295,5.8301,5.98356,6.64774,5.02617,0.909378,1.32776,2.0513,1.15474,2.64121,-0.968091,2.0575,1.24975,0.685688,2.27772,0.837252,1.80964,1.80345,1.95515,2.12259,2.56584,0.509916,2.13874,1.10307,2.74893,1.96512,2.16198,2.89517,2.03737,2.8398,1.75228,1.83994,1.65885,1.24389,1.29161,2.11497,1.24357,0.287127,0.209529,0.113921,0.239625,0.0665326,0.724739,0.113297,0.222743,0.334993,0.0929854,0.302114,0.140681,0.141432,0.123993,0.106921,0.0713696,0.375213,0.105388,0.249165,0.0601472,0.122914,0.103217,0.052393,0.115335,0.0552112,0.14776,0.137059,0.159916,0.223759,0.215581,0.10765,0.223814
285.064,0.925714,0.0821033,6,63,0,-251.495,0.227316,-0.224837,0.257394,0.267436,0.0476902,0.112085,0.758669,-0.604071,0.924115,1.07448,-0.189676,1.19651,-2.27819,-0.967338,-0.641397,-0.615749,0.496698,-1.24084,-0.819741,1.59864,1.58264,1.16352,1.64886,-0.28634,0.280466,-0.243938,0.919311,1.09884,-0.769463,0.615709,-0.493295,1.94208,0.782099,-0.516666,0.707684,-0.103204,0.751288,0.693209,-0.741137,1.85102,0.177874,0.294261,-0.344452,1.02119,-0.0281321,2.3438,-1.69117,-0.603372,-0.103353,0.3454,0.534017,0.572679,0.325819,-0.461344,-1.02303,-1.20242,-0.0224227,-0.139051,0.0702737,-0.0446566,1.51838,1.31325,-1.11742,2.03272,0.983787,-0.895573,0.313228,-1.28238,-0.925832,0.874277,0.335861,-0.015625,-1.7512,-0.346205,0.813182,0.927256,-0.0318162,1.01984,-1.61631,-0.621805,-0.374523,-0.355065,0.488915,-0.829306,-0.509827,1.32492,1.31279,0.994809,1.36302,-0.105152,0.324866,-0.0729836,0.809538,0.945739,-0.471683,0.579204,-0.262163,1.58548,0.705439,-0.279894,0.648983,0.0337871,0.682064,0.638001,-0.450193,6.7084,5.98796,7.63439,6.33453,9.6593,4.71243,5.71844,6.25034,6.7697,7.00068,7.04899,6.74617,5.86474,5.30712,5.14045,6.34097,6.21078,6.44639,6.31594,8.34031,8.04148,5.21876,9.13934,7.58377,5.42881,6.73107,5.06786,5.39967,7.43747,6.75823,6.34864,4.66239,0.428603,1.0634,3.20584,1.62679,2.77383,-0.631377,1.24988,1.57023,0.515124,2.2429,0.924684,1.24416,1.93607,1.84914,1.73109,2.92625,0.628483,2.26962,0.987966,3.27888,2.98587,2.04535,2.90548,1.49183,2.50336,1.92108,1.99869,2.01931,0.831827,1.20171,2.55879,1.11304,0.39446,0.256661,0.0389466,0.16427,0.0587547,0.652802,0.222721,0.172184,0.373993,0.0959633,0.284004,0.223712,0.12608,0.135973,0.150448,0.0508711,0.347855,0.0936708,0.271314,0.0363029,0.0480683,0.114523,0.0518835,0.183648,0.0756228,0.127742,0.119341,0.117191,0.303259,0.231172,0.071838,0.247305
286.617,0.977777,0.0821033,6,63,0,-240.787,0.0692765,0.140061,-0.092909,-0.00988544,0.0613662,0.0883825,0.899493,-0.578177,0.648872,0.393974,0.067333,0.720501,-2.66409,-1.19013,-0.38969,-0.290044,0.390773,-0.645842,-0.076768,0.31096,1.61691,1.1185,2.20016,-0.506381,-0.147005,-0.470798,0.626286,0.288079,0.31191,-0.0104041,1.18026,1.49826,-0.106755,0.34832,0.120368,0.493723,0.335503,-0.0188971,0.857714,1.70397,0.231835,-0.577751,-0.0831685,0.340543,1.36565,-2.47681,0.354708,1.13719,-0.326013,-0.322013,-1.58967,0.382719,-0.187211,-0.194105,-0.232586,-0.150911,-1.28721,0.0429581,0.9235,-0.83023,-1.8554,-1.34345,2.03954,-1.06763,-0.848471,0.203286,-0.109657,1.73542,0.315234,-1.67533,-0.183151,0.536463,1.77348,-0.431683,0.672038,0.442759,0.148948,0.736468,-2.30795,-0.98213,-0.262141,-0.17251,0.43988,-0.492547,0.0193303,0.368089,1.54278,1.09446,2.06741,-0.367104,-0.0438474,-0.335097,0.651722,0.347507,0.368944,0.0790241,1.15002,1.43605,-0.00764269,0.401693,0.196652,0.532483,0.390165,0.0713847,0.85989,4.80676,5.39075,5.94717,7.54264,3.0949,5.96673,7.15353,5.09563,5.10036,3.8016,6.0056,5.26227,5.25387,5.20721,5.30675,4.07775,5.5507,6.80777,4.53347,3.57448,4.02492,8.81807,4.2907,4.51434,5.7609,5.35774,8.21774,5.91238,3.72686,5.26723,6.22352,8.29059,0.45507,0.883762,2.30711,1.21553,1.92579,-1.18779,1.31605,1.17264,0.836975,1.6292,0.69677,1.20865,0.992493,2.12271,1.73199,3.01127,0.363149,1.39094,0.919853,2.76153,1.90502,2.54012,2.00474,2.33933,2.50691,1.42417,2.26604,1.80533,1.40476,0.889424,2.24789,1.80374,0.388156,0.292399,0.0905362,0.228723,0.127218,0.766346,0.211477,0.236378,0.302172,0.16394,0.332529,0.22994,0.27042,0.106909,0.150333,0.0469195,0.410198,0.199258,0.284988,0.0594385,0.129541,0.0730929,0.118706,0.0879174,0.0753755,0.194009,0.0939748,0.141204,0.197061,0.291229,0.0955312,0.141396
285.785,0.967918,0.0821033,6,63,0,-251.768,0.443312,-0.321672,0.178217,0.555437,0.0295659,0.0839907,0.724021,-0.639494,0.754031,0.634834,0.183148,0.934498,-2.82497,-0.474119,-0.775509,-0.926301,0.433111,-1.04909,-0.596282,1.5013,1.73968,1.32075,1.27584,-0.268562,0.662439,-0.385683,0.60617,1.37754,-0.636687,1.07888,-0.111982,1.71546,0.797234,-0.108078,0.568127,-0.760201,0.602994,0.425326,-0.26067,1.77692,0.190567,0.729325,-0.428479,0.741861,0.621801,0.699633,-2.32228,-0.349006,0.65114,-0.163772,0.883943,1.13839,0.180711,0.579012,0.289951,-0.569592,0.39163,-0.0258577,-0.0601944,-0.786101,1.08388,1.29305,-0.758306,2.1085,2.14919,-0.816123,0.732367,-1.18935,-1.05618,1.13463,1.03972,-0.621613,-0.635682,-0.379016,0.629925,0.543624,0.216593,0.760587,-1.96134,-0.259281,-0.477494,-0.58667,0.397572,-0.675569,-0.34773,1.17096,1.34355,1.04024,1.00772,-0.110454,0.56361,-0.195251,0.522871,1.08136,-0.376984,0.86512,0.00291318,1.32602,0.661204,0.00574011,0.495327,-0.46641,0.520571,0.391936,-0.10474,6.79306,5.44807,6.80931,6.65529,6.75473,3.79759,5.53121,6.6926,5.72995,6.9962,7.3438,6.11873,6.60124,6.24744,5.30352,6.36967,5.88254,5.84417,5.08915,7.26791,7.56347,5.11618,8.83505,8.90384,5.06012,6.797,4.71272,4.83385,7.33854,7.20701,5.2512,5.23714,0.595103,1.27882,2.45572,1.74433,2.34745,-0.841262,1.39485,1.22764,0.446581,1.98444,0.911298,1.23914,2.06559,2.16984,2.07523,2.47633,0.882087,2.26874,0.956263,2.55323,2.84562,1.68294,2.80678,1.58978,2.38884,1.91804,1.91783,1.85747,0.540946,1.36161,2.15499,1.36386,0.355465,0.217751,0.0790216,0.148764,0.0872684,0.698731,0.198634,0.226595,0.390174,0.120846,0.286734,0.224586,0.112486,0.102491,0.111528,0.0775345,0.292746,0.0937451,0.277627,0.07221,0.0549081,0.156707,0.056959,0.169415,0.0840278,0.128081,0.128103,0.134998,0.367968,0.203979,0.103865,0.203613
282.988,0.918907,0.0821033,6,63,0,-247.674,0.146644,0.284866,0.340054,0.0189698,0.0410183,0.446094,0.715892,-1.08794,0.477468,0.248957,-0.357429,0.54604,-3.28927,-1.0909,-0.823064,-0.965886,0.349586,-1.24002,-0.3196,-0.316227,1.28752,1.06788,1.86327,-1.30423,-0.147376,-0.614597,0.774759,0.251604,0.583002,0.161517,0.842353,1.56395,-0.284073,0.0833746,-0.674733,0.207201,-0.21767,0.412878,0.157773,1.56763,0.225289,-1.26291,0.0291116,-0.018254,0.73976,-1.82174,0.628856,0.67846,-0.754036,0.931931,-1.18199,0.414424,0.958314,-0.857468,-0.35553,-0.869964,-1.03062,-0.13676,1.08421,0.235992,-0.490359,-1.04382,2.09589,-1.11387,-1.32535,-0.218461,0.350466,1.71846,1.42133,-1.35483,-0.778259,1.47255,0.535285,-0.332757,0.78791,0.624321,0.190214,0.837,-1.90867,-0.334873,-0.143131,-0.245376,0.69636,-0.441623,0.217295,0.21971,1.36782,1.21058,1.77999,-0.487591,0.340589,0.00610915,1.00074,0.626216,0.863461,0.561723,1.04913,1.56571,0.242728,0.505782,-0.0369417,0.594428,0.290266,0.74167,0.559043,3.60785,4.82682,4.77559,5.6649,3.18105,5.52511,5.5872,4.0461,5.91554,3.67422,5.26454,5.9508,3.95291,4.42616,3.9418,3.80168,4.64977,6.122,5.05711,4.29373,3.79039,7.68915,3.73104,3.55745,4.56497,5.18923,7.06235,6.60508,3.5339,4.02408,6.68173,5.40986,0.593883,1.26335,2.18576,1.21842,1.94724,-0.842485,1.53519,1.13118,0.7633,1.8066,0.668619,1.32754,0.947936,2.08937,1.88171,2.72616,0.288332,1.6149,1.17886,2.72625,1.98257,2.63,2.16418,2.15937,2.61541,1.52382,2.06722,1.35248,1.49163,0.93155,2.44807,1.50521,0.355744,0.220398,0.101036,0.228215,0.124854,0.698988,0.177236,0.243943,0.31793,0.141049,0.338806,0.209567,0.2793,0.110135,0.132192,0.0614472,0.428412,0.165909,0.235257,0.0614418,0.121045,0.0672327,0.103013,0.103459,0.0681533,0.1789,0.112323,0.205465,0.183677,0.28261,0.0795798,0.181649
