# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC3_model
# start_datetime = 2022-04-23 08:23:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393449fe656b.json
# init = 2 (Default)
# random
#   seed = 763532495
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0829075
# Diagonal elements of inverse mass matrix:
# 0.0351976, 0.0414578, 0.0798108, 0.0807241, 0.000198178, 0.031422, 0.0297048, 0.196327, 0.226165, 0.266716, 0.195394, 0.231662, 0.320052, 0.311056, 0.21551, 0.173326, 0.227575, 0.173629, 0.17755, 0.195412, 0.214856, 0.226642, 0.282717, 0.154354, 0.226863, 0.193564, 0.357158, 0.254821, 0.271242, 0.285269, 0.179154, 0.261995, 0.218222, 0.265976, 0.2394, 0.209346, 0.182289, 0.330906, 0.189493, 0.0108044, 1.2601, 0.78093, 0.790055, 0.869886, 0.912281, 0.842172, 0.704957, 0.805788, 0.755354, 0.908067, 0.835877, 0.780066, 0.780529, 0.748748, 0.689501, 0.839888, 0.834936, 0.644165, 0.772961, 0.753919, 0.993417, 0.83224, 1.07068, 1.02854, 0.795474, 0.879625, 0.748889, 1.10501, 0.854995, 0.754687, 0.784899, 0.85866, 0.849849
279.814,0.988498,0.0829075,6,95,0,-254.054,0.355394,-0.268825,0.184956,0.503391,0.045919,0.0239304,0.66072,-0.675767,0.637598,-0.152573,-0.290391,0.570376,-3.08628,-0.351508,-0.852461,-0.237086,-0.666757,-0.641146,-0.550038,0.596254,1.78482,0.770167,1.30227,-0.202812,0.0638177,0.134747,0.486053,0.452875,-1.52451,-0.104581,-0.222276,1.77257,0.147498,-0.517935,-0.11837,-0.802053,0.526383,-0.723626,0.0956681,1.73675,0.158225,1.43893,0.594048,-0.90927,-0.172433,-0.218303,-0.821132,-1.06503,-0.970407,-0.389977,-0.0594279,0.300044,-0.401195,-0.51051,-0.00587114,0.298409,-2.33138,1.30507,1.16769,-2.0045,-0.14546,0.802656,1.52296,-0.293718,-0.231711,0.117289,0.295164,-1.09028,0.291756,-0.897368,1.03155,-0.704928,-0.0965606,-0.422562,0.445204,-0.0768778,-0.167937,0.400789,-2.01524,-0.208318,-0.539307,-0.132717,-0.416609,-0.399688,-0.33949,0.417887,1.2032,0.532795,0.884363,-0.110071,0.066096,0.112961,0.345075,0.323154,-0.983345,-0.045168,-0.122932,1.19511,0.121386,-0.318279,-0.0542793,-0.506001,0.371722,-0.454183,0.0871402,7.1308,6.23852,4.91789,5.52601,5.48605,4.98696,4.79817,4.87055,5.33904,5.62571,5.95496,5.32957,5.23818,5.67358,5.95342,3.92697,6.98137,6.83125,4.13541,5.54965,6.44787,7.22625,5.42098,5.47442,5.78523,5.95036,4.77904,5.94715,4.92716,6.68567,5.0795,5.59275,0.648953,1.01161,2.24196,1.55395,2.21451,-0.7369,1.91933,1.45809,1.03064,1.39712,1.41404,1.47423,1.33813,2.04512,1.59155,2.51441,0.934418,2.0635,1.45999,2.84758,2.41239,1.56508,2.31958,1.69079,2.40438,1.62006,2.00055,1.59604,0.59329,1.20476,1.74329,1.71719,0.343226,0.266665,0.0960456,0.174517,0.0984547,0.676317,0.127936,0.188759,0.262961,0.198274,0.195598,0.1863,0.207817,0.114547,0.169166,0.0748541,0.282029,0.112696,0.188469,0.0548063,0.0822326,0.172918,0.0895139,0.155672,0.0828395,0.165197,0.119145,0.168536,0.35588,0.23063,0.148896,0.152234
279.332,0.996091,0.0829075,6,63,0,-243.852,0.128151,0.193354,0.545495,-0.0523995,0.0456339,0.481731,0.663049,-0.814148,0.585922,-0.24065,-0.678037,0.539399,-4.01032,-1.45191,-1.58163,-0.763035,-0.37071,-1.32632,-1.34409,0.637726,1.12227,1.70386,2.37777,-0.739332,-0.739427,-0.313935,0.535393,0.804666,-1.01153,0.0332261,0.765249,1.70272,-0.158343,-0.813741,-0.229252,0.478768,0.083169,-0.558268,-0.781241,1.81861,0.10937,-1.51657,-0.566176,1.93232,1.36177,0.133983,-0.550737,1.48601,0.756696,0.671908,0.616992,0.570336,0.405053,0.611565,-0.556419,-0.519858,1.16138,-1.23753,-0.258397,0.53051,1.1834,0.129856,0.0502729,1.46357,0.375897,-2.09801,0.267847,0.590717,-0.396407,0.631665,-0.0648002,0.940374,-0.225729,-0.0580883,0.870226,0.322169,0.0321594,0.839379,-2.17731,-0.480955,-0.566968,-0.0241984,0.235933,-0.397687,-0.409464,0.904574,1.22585,1.61147,2.05831,-0.00848216,-0.00854496,0.273577,0.836723,1.01526,-0.188964,0.503762,0.989128,1.61072,0.376742,-0.0578186,0.329726,0.799177,0.536876,0.111573,-0.0362696,5.22127,5.7932,7.61368,7.1531,6.25426,5.80299,7.25096,6.69505,6.63325,6.59353,6.55997,6.44245,6.58962,5.79939,5.82263,6.99803,5.38307,5.99153,6.53146,7.0149,6.25143,6.19726,7.23319,6.42194,4.89957,6.3465,6.57461,5.90178,6.60412,6.11975,6.83091,6.01298,0.729932,1.15627,2.31246,1.42921,2.3277,-1.2234,1.35665,1.10388,0.855089,1.72425,1.09063,1.07885,1.48675,1.7857,2.17269,3.36409,0.641653,1.66231,1.3354,3.00955,2.77738,2.0295,2.53969,2.47745,2.53564,1.56548,1.93247,1.64537,1.56722,1.02445,1.8203,1.26951,0.32521,0.239345,0.0900964,0.193222,0.088855,0.772662,0.204786,0.249013,0.298366,0.151325,0.2515,0.253723,0.18441,0.1436,0.10223,0.0334368,0.344873,0.159452,0.208267,0.0469964,0.0585586,0.116141,0.0731225,0.0774546,0.0733971,0.172862,0.126477,0.161735,0.172613,0.264161,0.139398,0.219341
286.683,0.999124,0.0829075,6,63,0,-253.797,0.355719,-0.536676,0.11636,0.752254,0.0347843,0.0684151,0.739231,-0.477638,0.961059,0.340144,0.168485,0.43004,-2.00322,-0.418627,-0.921419,-0.559517,0.333926,-1.59683,-0.417715,0.681878,1.55336,1.03294,0.0910451,-0.400416,0.0345376,-0.654324,0.0646474,0.0043973,-0.381588,0.0521847,-0.288398,1.74735,0.45568,0.0703066,-0.37636,-0.907526,0.979826,0.324343,0.0631357,1.70148,0.287398,0.778472,0.167906,-0.0679106,-0.0312537,0.166103,-1.39974,-0.28308,-0.902222,-0.216223,-1.66831,1.49764,0.122601,-0.744191,-0.28363,-1.6432,-2.99324,0.98431,0.384031,-1.52775,-1.0342,0.39545,2.20882,0.182416,0.856747,0.912696,0.261612,1.36501,-0.784274,-1.05067,0.431582,0.863469,-0.00243914,-0.28467,0.77886,0.31986,0.192964,0.386314,-1.41243,-0.241047,-0.612727,-0.345197,0.315264,-1.11201,-0.240373,0.57248,1.21671,0.831999,0.135719,-0.227585,0.0939464,-0.415282,0.116204,0.0716657,-0.213667,0.106992,-0.144778,1.36011,0.405268,0.120388,-0.209802,-0.602456,0.792733,0.308179,0.115087,6.85658,5.75307,5.37608,5.43302,5.75008,3.66635,5.0537,4.22991,5.15174,3.394,8.43084,5.67864,4.42645,5.0529,3.41858,2.31921,7.27443,6.12174,3.5339,4.07248,6.14187,10.3428,5.77711,7.01257,7.12624,5.91011,8.11552,4.37575,4.05324,6.20598,7.02613,5.4782,0.622232,1.30313,2.46518,1.88609,2.149,-0.320175,1.46589,1.2891,0.631273,2.07795,0.650682,1.52232,1.40494,1.94969,1.88409,1.75927,0.739139,1.99577,0.700326,2.40066,2.04306,2.10557,2.28709,1.61791,2.37136,1.65296,2.26571,1.16996,0.359898,1.56487,2.21139,1.73864,0.349274,0.213638,0.0783356,0.131691,0.104424,0.579367,0.187568,0.216005,0.347222,0.111258,0.342836,0.17912,0.197033,0.124587,0.13192,0.146881,0.323193,0.119647,0.33174,0.0831224,0.114755,0.108556,0.0921975,0.165493,0.0853827,0.16071,0.0940033,0.236861,0.410984,0.172949,0.0987324,0.149486
282.483,0.992049,0.0829075,6,63,0,-252.076,0.262305,0.0646969,0.588904,-0.0525464,0.0289268,0.322068,0.615624,-0.427819,1.16018,-0.152062,-0.539997,0.466384,-3.13512,-0.0320744,-0.858204,0.194592,-0.10817,-1.03163,-0.869109,0.883104,1.62852,2.11491,2.09535,-0.193662,-0.426759,0.382562,2.00557,1.2655,-0.0389968,1.10593,1.01455,1.88007,0.78782,-0.158734,0.867899,1.15526,0.376601,0.474966,-0.0567914,1.56011,0.425887,-1.06861,-0.684362,1.31991,1.66986,0.543917,-0.344654,1.29989,0.0702917,-0.413121,-0.626173,1.19463,0.64759,0.671552,-0.845701,-0.601816,0.489838,-0.352118,1.10056,0.866285,2.25062,0.390282,1.30237,2.14512,0.898941,-0.0939106,0.907056,1.26578,0.350674,0.909206,-0.0271318,0.220423,-0.711451,0.0586928,1.03631,0.228455,-0.0103669,0.609185,-1.60799,0.302322,-0.206263,0.441864,0.255476,-0.313026,-0.212976,0.865728,1.32463,1.62406,1.61202,0.202846,0.059345,0.557583,1.55674,1.10114,0.298061,1.00291,0.946648,1.47948,0.807069,0.224348,0.856367,1.03327,0.553913,0.614468,0.287106,3.01923,3.55603,8.34981,9.69178,5.99996,4.10959,8.27891,4.90395,3.99148,3.64526,7.91596,6.27081,6.33513,3.31989,3.68327,5.86335,4.09654,7.60512,6.88293,12.4114,5.61994,8.28766,11.8661,6.97933,4.57273,7.00349,8.15952,5.52594,7.00991,4.70465,5.22775,3.51524,0.657011,1.31643,1.97092,1.35605,2.03345,-0.89953,1.56596,1.33371,1.09804,1.67974,1.11124,1.21129,1.34054,1.77831,2.10551,2.92058,0.727712,1.59932,1.32946,3.41491,2.69897,2.18516,2.77429,2.37091,2.16458,1.66239,1.96681,1.79512,1.62491,0.969757,1.82132,1.59567,0.341411,0.211413,0.122291,0.204884,0.115735,0.710853,0.172793,0.208546,0.250108,0.15713,0.24764,0.229473,0.207421,0.144512,0.108562,0.0511458,0.325697,0.168077,0.209248,0.0318327,0.0630344,0.101091,0.0587292,0.0854177,0.102976,0.159442,0.122732,0.142446,0.164529,0.274929,0.139275,0.168588
288.151,0.998784,0.0829075,6,63,0,-248.356,0.253688,-0.31995,-0.233255,0.38564,0.0558611,0.082225,0.756521,-0.65407,0.830709,0.159005,-0.178523,0.500832,-2.99331,-0.551072,-0.745494,-0.79123,0.578111,-0.566417,-0.287896,0.74423,1.65833,1.17945,0.689638,-0.699496,-0.0173855,-0.955715,0.131718,0.635434,0.0483123,0.272372,0.411564,1.43387,0.563325,-0.396773,-0.0672478,-0.502088,1.30561,0.864334,0.631512,1.86134,0.414848,-1.36078,-0.129398,2.09563,1.48303,0.349698,-2.06577,0.371254,-0.384104,-1.19952,-0.0810785,1.14933,0.679175,-0.433663,-0.0909531,-1.44685,-1.75404,-0.217412,1.4146,-1.13747,-1.68464,-0.943695,1.41305,-0.23038,-0.932435,-0.312078,-0.0512197,1.17144,-1.10106,-0.0812608,0.416904,1.95488,0.417102,-0.412593,0.710673,0.202516,-0.0528311,0.461115,-2.18228,-0.334672,-0.481757,-0.516357,0.519578,-0.346281,-0.135574,0.645251,1.33679,0.974504,0.60395,-0.446959,0.0690725,-0.640794,0.181872,0.562944,0.118774,0.28828,0.393582,1.16698,0.508392,-0.217942,0.0313506,-0.297615,1.06995,0.736112,0.559977,3.65767,6.09617,15.3437,11.9004,7.43659,2.73016,7.50339,5.48489,3.91073,6.2196,10.3619,8.52579,5.37327,6.19418,3.52937,3.10707,5.8776,11.5674,4.0127,3.19783,4.34859,11.5599,5.84607,4.36895,5.65125,6.29712,10.4574,4.07378,6.21913,7.64685,14.4735,7.64747,0.493224,1.00202,2.37957,1.39803,2.02369,-1.02547,1.85595,1.30427,0.501182,2.08216,1.2163,1.42701,1.36619,1.9633,1.8615,1.94309,0.424274,1.8551,0.60019,2.58237,2.46069,2.57513,2.52119,1.95616,2.24038,1.93349,1.95911,1.64056,0.641261,1.68467,3.00862,1.89911,0.379134,0.268545,0.0847441,0.198129,0.116738,0.736036,0.135176,0.213448,0.377263,0.110843,0.228588,0.193566,0.203236,0.123111,0.134528,0.125309,0.395494,0.135276,0.3543,0.0702818,0.0786603,0.0707562,0.0743858,0.123883,0.0961828,0.126365,0.123563,0.162389,0.344962,0.156477,0.047038,0.130209
290.731,0.96849,0.0829075,5,31,0,-260.002,0.236588,0.032621,0.147353,0.185733,0.0535176,0.147107,0.871063,-0.735185,0.384031,0.683606,0.0269065,1.03645,-2.55241,-1.08598,-1.05827,-0.605197,0.3857,-1.4094,-0.472201,0.7828,1.84819,0.84497,1.60684,-0.52728,-0.0346423,-0.47511,0.289246,-0.0247025,-0.664179,0.471741,-0.068008,1.45127,-0.0315639,0.302484,0.198694,0.292509,0.622139,-0.417933,-0.179428,1.93436,0.312244,-0.741964,-1.42392,0.38402,1.69385,-0.18778,-0.414228,1.06856,-1.73546,-0.634498,0.335254,1.12918,-0.487185,-1.33026,1.18423,-1.21153,-2.27748,-0.47705,-0.104069,-1.28717,0.722872,-1.07257,-0.906593,0.789081,0.011475,-1.57731,0.864209,0.437867,0.561785,0.804039,-0.824861,1.02749,-0.363715,-0.493285,0.481623,0.742571,0.170545,1.04992,-2.0762,-0.79885,-0.774711,-0.380057,0.483076,-1.08057,-0.264209,0.828975,1.757,0.883129,1.54677,-0.312186,0.116932,-0.266743,0.399059,0.12559,-0.431434,0.558023,0.0878682,1.41126,0.119613,0.41059,0.320182,0.401901,0.68903,-0.216939,-0.00918567,5.48869,4.436,7.80115,11.743,6.52558,6.08011,9.66019,4.02481,5.67599,7.68326,9.84479,5.94317,4.56765,10.0155,4.74016,3.39816,5.96201,6.6984,4.62952,8.67179,4.95037,5.21368,8.85294,6.94448,4.22855,9.06307,7.93342,8.24641,8.89438,5.34844,9.53711,6.17677,0.553209,0.939423,2.86066,1.5929,2.57932,-0.818449,1.47855,0.968755,0.773472,2.01247,0.448828,1.26519,1.65747,2.53591,1.7539,2.86209,0.619408,1.8604,1.10086,2.73122,1.97609,1.95424,2.72963,1.61726,2.61831,1.64608,2.52868,2.00552,1.44502,1.40992,1.9929,1.30614,0.36512,0.281017,0.0541329,0.168976,0.0704815,0.693907,0.185647,0.275129,0.315729,0.1179,0.389639,0.220082,0.160102,0.0733791,0.147556,0.0540595,0.349916,0.134657,0.249579,0.0611562,0.121736,0.124091,0.0612475,0.165583,0.0679696,0.161639,0.073872,0.118625,0.190769,0.196246,0.119951,0.213134
