# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a1_model
# start_datetime = 2022-04-23 08:25:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39343b9c67b1.json
# init = 2 (Default)
# random
#   seed = 2147190557
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0670812
# Diagonal elements of inverse mass matrix:
# 0.0360749, 0.0631587, 0.0856806, 0.0725453, 0.000396129, 0.000516929, 0.0363, 0.0245764, 0.118314, 0.176889, 0.211994, 0.121347, 0.147767, 0.266495, 0.368354, 0.158602, 0.10708, 0.133944, 0.139643, 0.122392, 0.116399, 0.160905, 0.126352, 0.20361, 0.09494, 0.142512, 0.120229, 0.258511, 0.186924, 0.250205, 0.244673, 0.130955, 0.184011, 0.158563, 0.189094, 0.193578, 0.106958, 0.115405, 0.421899, 0.143597
-3803.91,0.950878,0.0670812,6,63,0,3822.26,0.382462,0.167562,0.43751,0.203061,0.0430627,0.036455,0.00488631,0.79304,-0.845341,0.243698,0.487702,0.313783,1.41712,-2.66716,-0.294085,-0.56345,-0.496233,0.3953,-1.14912,-0.287247,0.839731,1.41054,1.96458,2.43713,-0.703249,0.388768,-0.445577,0.789315,0.558497,0.23957,1.13022,0.187729,1.87685,0.233504,-0.274836,0.446715,0.0861249,0.157814,1.15949,0.23267,-0.665503,0.198148,0.391654,0.253729,1.12872,-2.11028,-0.228334,-0.441952,-0.388646,0.318375,-0.906414,-0.222912,0.670826,1.1235,1.56288,1.93762,-0.552818,0.313195,-0.348474,0.630844,0.447797,0.194875,0.901197,0.153763,1.49331,0.190064,-0.21307,0.359149,0.0731867,0.130039,0.924407,0.189402,0.503269,0.965915,2.46866,1.77093,2.73204,-0.810117,1.7789,1.33362,0.853035,1.9217,0.696908,1.38041,1.67358,2.11,2.54437,3.3687,0.502645,2.08877,1.03903,2.88011,2.30949,2.4872,3.02127,1.75708,2.77144,1.67827,1.86394,1.94807,1.22464,1.057,2.82305,1.62047,0.376773,0.275696,0.0780843,0.145427,0.0611088,0.692134,0.144439,0.208561,0.298797,0.127672,0.332498,0.200943,0.157948,0.108129,0.0728054,0.0332883,0.376919,0.110193,0.261338,0.0531458,0.0903397,0.0767605,0.0464741,0.147156,0.058887,0.157324,0.134244,0.124764,0.22712,0.257884,0.0560913,0.16514
-3808.44,0.928657,0.0670812,7,255,0,3825.39,0.52506,-0.0027429,0.0544583,-0.0816846,0.0592373,0.0416365,0.277436,0.907103,-0.588954,0.622439,-0.416397,-1.01512,0.906223,-3.13667,-0.772193,-1.15792,-0.309282,-0.0237611,-1.72188,-0.941649,1.56326,1.5575,1.27032,1.5461,-0.285443,-0.876584,-0.376666,-0.49508,0.37891,-0.451538,0.238873,0.167165,1.56685,0.224304,-0.557903,0.0147498,-0.311766,0.471322,0.815776,-0.471965,-0.256806,0.842052,-0.10028,-0.643378,1.09947,-2.56785,-0.423023,-0.772914,-0.00311445,0.255882,-1.28449,-0.576737,1.69548,1.69025,1.42974,1.6799,0.0185096,-0.517716,-0.0642394,-0.171653,0.621146,-0.132156,0.494118,0.429071,1.69873,0.480903,-0.22864,0.290815,-0.00536819,0.704973,1.01743,-0.150685,0.641587,1.28244,2.43675,1.12357,2.9849,-1.50267,1.43301,1.34946,0.978552,2.14131,0.600935,1.30869,2.42765,2.38046,2.2045,3.32838,0.834291,1.60466,1.08397,2.60233,2.86199,2.70106,3.09039,2.31449,2.72204,1.75417,2.30839,1.68913,0.893309,1.35393,2.833,1.49779,0.344888,0.217135,0.0804126,0.24535,0.0481129,0.817973,0.19263,0.205959,0.273179,0.105146,0.35413,0.212707,0.081088,0.0846748,0.0993468,0.0346104,0.302738,0.167332,0.252755,0.0689886,0.0540647,0.0629106,0.0435054,0.0899296,0.0616855,0.147523,0.0904301,0.15589,0.290428,0.205229,0.0555665,0.182755
-3806.07,0.999266,0.0670812,6,63,0,3831.96,0.0827322,-0.0910884,0.121886,0.555883,0.0742268,0.0729997,0.0127067,0.754319,-0.879979,0.808178,0.163283,0.291281,0.498584,-3.48205,-1.5042,-1.39653,-1.31447,0.113827,-1.24695,-0.700552,0.159506,1.69875,1.61198,1.58471,-0.99131,0.1219,-0.786143,0.948099,0.603302,-1.48468,-0.12762,-0.113021,1.93157,-0.141157,-0.556351,-0.443693,-0.270921,0.419007,-0.354503,0.0803335,-0.651078,0.62233,0.135874,0.232426,0.388798,-2.61387,-1.12194,-1.04072,-0.97882,0.0985687,-0.927894,-0.515733,0.133025,1.29411,1.22865,1.20808,-0.735057,0.104658,-0.580296,0.727875,0.467788,-1.10721,-0.0835592,-0.072547,1.46973,-0.0937704,-0.40696,-0.32198,-0.191654,0.328771,-0.254702,0.0733037,0.691464,1.16188,2.87914,2.01075,2.31557,-0.971482,1.8996,1.18296,0.509722,2.02534,0.998882,1.41104,1.19455,2.27165,2.39455,2.83795,0.483447,2.32834,1.20025,3.76805,2.83993,2.00719,2.73394,1.85423,3.03127,1.91048,2.33631,1.90597,1.1603,1.24586,2.73305,1.70317,0.333707,0.238327,0.0531942,0.118079,0.0898413,0.725415,0.130154,0.23452,0.375259,0.116567,0.269161,0.19607,0.232446,0.0934982,0.0835894,0.0553076,0.381439,0.0888028,0.231432,0.0225755,0.0552044,0.11845,0.0610002,0.135377,0.046033,0.128927,0.08816,0.129434,0.238613,0.223417,0.0610511,0.154051
-3804.81,0.902263,0.0670812,6,63,0,3826.71,0.306633,0.200709,-0.175797,0.0125478,0.0483077,0.0510747,0.358758,1.15643,-0.795307,0.235241,0.550908,-0.161098,1.49447,-2.32735,-0.99903,-0.183279,-0.643078,0.836129,-0.412004,-0.0289731,0.999128,0.887904,1.04187,1.93591,-0.549746,0.0238379,-0.529465,0.254467,0.800364,0.661662,0.920493,0.733047,1.22348,-0.292853,0.418739,-0.163023,-0.617094,0.338528,-0.0652515,0.25482,-0.56096,0.630798,0.995846,0.17246,2.08701,-2.33266,-0.796553,0.146809,-0.384918,1.32568,-0.117697,0.325253,1.51418,1.38556,1.56361,2.59751,-0.276985,0.386325,-0.253532,0.653032,1.28433,1.12393,1.42325,1.20648,1.77363,0.0200932,0.843002,0.170233,-0.354869,0.750243,0.283299,0.653441,0.538337,1.16827,2.52436,1.07297,3.08414,-1.04635,1.47746,1.33717,0.816528,2.32281,0.879431,1.32238,2.38499,2.22948,2.41636,3.4014,0.671772,1.57668,1.15221,2.37477,2.5713,2.89398,3.00007,2.20361,3.02615,1.56869,2.37151,1.86169,0.723689,1.51544,2.41983,1.45734,0.368574,0.237167,0.0741681,0.254838,0.0437662,0.740073,0.185811,0.207976,0.306501,0.0892512,0.293296,0.210423,0.0843248,0.097134,0.0819334,0.0322516,0.3381,0.171266,0.240085,0.0851166,0.0710086,0.0524521,0.0474229,0.0994272,0.0462584,0.172403,0.0853709,0.134506,0.326581,0.180134,0.0816731,0.188875
-3796.4,0.999239,0.0670812,5,31,0,3819.43,0.259841,0.0607798,-0.290628,0.191278,0.0568027,0.0559422,0.153338,1.09956,-0.436636,0.594719,0.567245,0.509754,1.07449,-2.25533,-0.689227,-0.209723,-1.08844,0.726439,-0.697123,0.123068,0.585175,1.06095,0.760565,1.48708,-0.433415,0.522375,-0.493871,1.21373,1.3687,-0.270378,0.641674,0.599845,1.48791,0.185252,0.388597,-0.160908,-0.0453593,0.494919,0.131725,0.420855,-0.326769,0.807267,0.777057,0.713843,1.33481,-2.32653,-0.604508,-0.0772647,-1.04347,0.952101,-0.61319,0.288658,0.796772,1.31991,0.989624,1.78847,-0.323228,0.72772,-0.389703,1.48791,1.6583,-0.143959,0.858897,0.812903,1.78939,0.357033,0.580624,-0.0235902,0.103463,0.697531,0.298177,0.616093,0.80582,1.32449,2.56126,1.75961,2.49418,-0.97541,1.81475,1.30932,0.201004,2.11148,0.546184,1.44803,1.69827,2.17279,1.92613,2.72064,0.682823,2.11431,1.07854,3.49932,3.15849,1.92426,2.6999,1.97228,3.0898,1.98996,2.36483,1.77403,1.22977,1.48609,2.63533,1.54826,0.308782,0.210072,0.0716736,0.146839,0.076267,0.726197,0.140065,0.212601,0.449918,0.107987,0.36675,0.190305,0.154692,0.10222,0.12718,0.0617665,0.335632,0.107714,0.253782,0.0293315,0.040758,0.127387,0.062979,0.122144,0.0435299,0.120261,0.0858944,0.145042,0.226221,0.184509,0.066899,0.175338
-3797.05,0.976477,0.0670812,5,31,0,3815.53,0.00935858,-0.127128,-0.100509,0.586573,0.054719,0.0525594,0.0392707,1.13555,-0.63276,0.585188,0.698132,0.16509,1.39636,-2.43329,-0.725516,-0.188898,-0.100302,0.613642,-0.0681632,0.00778721,0.673062,1.33188,1.70616,2.09202,-0.274682,0.386102,-0.194049,0.744859,0.915649,0.478392,0.816559,0.492191,1.44227,0.156444,0.334886,0.300784,-0.193555,0.275649,0.332497,0.556052,-0.679261,0.703781,0.832035,0.226739,1.6249,-2.72385,-0.784589,-0.175232,-0.0746273,0.736092,-0.038132,0.0481134,0.803566,1.55169,1.9767,2.41487,-0.272645,0.477709,-0.181082,0.885096,1.07904,0.582509,0.966515,0.598179,1.67705,0.21692,0.41955,0.380826,-0.180521,0.352284,0.416838,0.670695,0.356558,1.16145,2.67106,1.35441,2.86202,-1.46685,1.4601,1.28076,1.06631,1.9732,1.19898,1.28523,1.64447,2.32471,2.91395,3.4331,0.688705,1.9337,1.17009,2.94299,2.64446,2.69513,2.86026,1.83529,2.87054,1.73234,2.25857,2.06049,0.868433,1.09026,2.6637,1.68893,0.411793,0.238405,0.064703,0.20515,0.0540634,0.812578,0.188452,0.217421,0.256105,0.122045,0.231656,0.216662,0.161857,0.0890972,0.0514683,0.0312768,0.334321,0.126342,0.236838,0.0500687,0.0663311,0.0632616,0.0541536,0.137609,0.0536291,0.150288,0.0946126,0.112996,0.29558,0.251569,0.0651499,0.155916
