# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a1_model
# start_datetime = 2022-04-23 08:25:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39343b9c67b1.json
# init = 2 (Default)
# random
#   seed = 2147190557
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0808331
# Diagonal elements of inverse mass matrix:
# 0.0323119, 0.0641706, 0.0788127, 0.0625882, 0.000306432, 0.000411665, 0.0374237, 0.0226807, 0.117051, 0.172941, 0.186798, 0.123376, 0.168616, 0.257319, 0.330805, 0.135109, 0.112796, 0.134729, 0.134074, 0.113101, 0.118292, 0.146299, 0.131166, 0.18855, 0.104348, 0.13046, 0.129075, 0.241635, 0.161987, 0.226139, 0.199678, 0.144517, 0.181303, 0.148889, 0.180055, 0.186248, 0.130816, 0.0997555, 0.376538, 0.128448
-3797.44,0.989682,0.0808331,6,95,0,3820.62,0.147296,0.450285,0.0317332,0.333662,0.0678319,0.0252618,0.206502,0.902569,-0.914635,0.195215,0.502873,0.450658,1.27438,-2.90569,-0.17103,-0.426455,-0.988976,0.687356,-0.819546,0.142126,0.493876,1.33175,1.6901,1.90424,-0.794046,0.399562,-0.328609,0.695532,0.891744,0.268947,0.214744,0.767999,1.41511,0.286052,0.462636,-0.342124,-0.12443,0.172063,0.47484,0.371829,-0.619019,0.382697,0.660379,0.613252,1.35672,-2.41608,0.0521353,-0.178403,-0.686117,0.826889,-0.533195,0.334781,0.65226,1.4085,1.73193,1.92521,-0.51018,0.567134,-0.0900905,0.834268,1.01136,0.449245,0.400323,0.899674,1.48373,0.464684,0.624063,-0.102289,0.0941953,0.361801,0.635078,0.542103,0.629556,1.35339,2.63707,1.70813,2.58727,-1.10523,1.88173,1.32347,0.612982,2.05743,0.697347,1.56532,1.74551,2.53077,2.69535,2.88443,0.579311,2.069,1.31006,3.08229,2.6489,2.7651,2.44485,2.13022,2.8081,1.91735,2.60076,1.4029,1.29624,1.39677,2.24555,1.50132,0.347611,0.205316,0.0667903,0.153406,0.0699625,0.751239,0.13219,0.210242,0.351379,0.113304,0.332401,0.172884,0.148615,0.0737293,0.0632481,0.0529287,0.359091,0.112146,0.212477,0.0438438,0.0660571,0.0592397,0.0798161,0.106194,0.0568883,0.128157,0.0690898,0.197356,0.214798,0.198329,0.0957336,0.182229
-3804.44,0.956782,0.0808331,5,31,0,3817.44,0.238601,0.486813,0.360368,0.227664,0.0617498,0.0363606,-0.177867,0.821683,-0.615119,0.705944,0.672062,0.492637,1.77147,-2.89953,-0.913083,-0.440469,-0.683633,0.699371,-0.257449,-0.213841,0.507247,1.35095,1.55213,2.5311,-0.62074,0.315383,-0.759463,1.2742,1.53985,-0.50254,1.28062,1.21125,1.7689,0.186098,0.116376,0.720102,-0.165648,0.508698,0.790551,0.6537,-0.6833,0.402195,0.374354,0.226924,1.27772,-2.56036,-0.928131,-0.539793,-0.739596,0.396794,-0.389408,-0.353577,0.238929,0.932182,1.09749,1.90189,-0.687918,0.0812773,-0.801905,0.869119,1.0874,-0.590795,0.8744,0.817395,1.2756,-0.0249539,-0.0822434,0.413828,-0.313978,0.240121,0.471715,0.359266,0.712398,1.39793,2.53452,1.58434,2.75863,-1.06114,1.30386,1.18813,0.728823,1.87771,1.09151,1.12734,1.4305,2.14608,2.15775,3.13581,0.517691,1.8092,0.811957,3.27628,2.93882,1.87812,3.09632,2.29831,2.78038,1.67284,2.07792,2.19555,1.03142,1.35059,2.45776,1.59319,0.329069,0.198145,0.0734733,0.170181,0.0596009,0.742907,0.213516,0.233594,0.325453,0.132652,0.251334,0.244652,0.193021,0.104698,0.103609,0.0416539,0.373392,0.140735,0.307474,0.0363938,0.0502677,0.132605,0.0432595,0.0912627,0.0583935,0.158046,0.111261,0.100151,0.262809,0.205774,0.0788729,0.168936
-3812.64,0.896268,0.0808331,5,63,0,3829.94,0.124536,0.518764,-0.262566,-0.3453,0.0704757,0.0233876,0.595767,0.796413,-1.03997,0.298787,0.564378,0.36673,0.836314,-2.84233,0.0585977,-0.37117,-0.76323,0.929099,-0.902919,-0.402048,0.762065,1.44818,1.88817,2.99784,-0.180618,0.375426,-0.174089,0.534072,0.392697,0.526647,0.691235,0.0955585,1.5236,0.283435,0.465674,0.262757,-0.202736,0.587972,1.10581,0.830213,-0.232478,0.833725,1.04525,0.887836,1.26182,-1.6679,0.642435,0.300163,-0.012079,1.33571,-0.123329,0.275571,1.20269,1.74912,2.09953,2.98329,0.451921,0.894762,0.45712,1.02111,0.908516,1.0152,1.14628,0.671871,1.80918,0.821498,0.966636,0.80503,0.434306,1.06404,1.47645,1.25696,0.368239,1.17718,2.72509,1.6515,2.16643,-1.0183,1.78107,1.48668,0.635414,2.24033,0.781283,1.18018,1.64732,2.2329,2.38888,3.60599,0.880792,2.08128,1.19816,2.98286,2.23598,3.04742,2.8966,1.57648,2.48006,1.6059,2.64648,1.6328,0.981421,1.45296,2.36835,1.87967,0.408966,0.23556,0.061509,0.160907,0.102806,0.734641,0.144171,0.184421,0.346284,0.0961872,0.314043,0.235019,0.161472,0.096835,0.0840249,0.0264422,0.293014,0.11093,0.231802,0.0482064,0.0965655,0.0453291,0.0523221,0.171294,0.0772679,0.167158,0.0662063,0.163447,0.27261,0.189547,0.085618,0.132427
-3809.42,0.996423,0.0808331,5,63,0,3834.44,0.111008,0.143437,-0.0369127,0.0205949,0.0577337,0.044257,0.417971,0.825446,-0.761915,0.140514,0.410904,0.156102,0.803227,-3.13311,-0.633699,-0.22506,-0.654443,0.573569,-1.18452,-0.22399,0.771194,1.69187,1.97845,2.62212,0.146218,0.324758,-0.0232398,0.622956,0.44029,-0.650093,0.743749,0.383085,1.40039,0.358935,0.258065,-0.425709,0.0711195,0.547526,0.522398,0.632646,-0.210948,0.533957,0.75715,0.546824,1.08099,-2.16824,-0.105113,0.232197,-0.122236,0.891421,-0.559788,0.233079,1.05455,1.81452,2.05107,2.58239,0.538666,0.686041,0.398788,0.932187,0.781407,-0.118645,1.0319,0.734187,1.57392,0.714252,0.63099,0.0665711,0.476676,0.869924,0.849182,0.940186,0.563486,0.821565,2.59605,1.63518,2.28482,-1.22913,1.68723,1.66696,0.740711,2.09525,0.644038,1.43691,1.63466,2.36767,2.62604,3.55528,1.19,2.1208,1.43876,3.00202,2.33164,2.00892,2.92853,1.93801,2.48112,1.87959,2.46989,1.35727,1.23629,1.35906,2.53552,1.91308,0.362741,0.305432,0.0693932,0.163122,0.0923882,0.773667,0.15614,0.15883,0.322849,0.10956,0.344334,0.192025,0.163192,0.0856716,0.0674812,0.0277796,0.233258,0.107091,0.191737,0.0473347,0.0885366,0.11827,0.0507613,0.125866,0.0771923,0.132436,0.0779964,0.204685,0.225083,0.204394,0.0734056,0.128636
-3804.21,0.980974,0.0808331,5,31,0,3829.58,0.243037,0.226084,-0.139396,-0.0742912,0.0680007,0.0370643,0.258059,0.743767,-0.654421,0.921365,0.279742,0.00628269,1.27249,-2.98517,-0.0782003,-0.537817,-1.08771,0.89551,-1.26116,-0.289633,0.858571,1.89842,1.58191,2.28237,-0.208292,-0.00713339,-0.320687,1.2081,0.184424,-0.912219,0.927905,0.314353,2.18272,0.514984,0.384935,0.587461,0.0155971,1.17168,0.851052,0.274552,-0.228678,0.943339,0.466121,0.262732,1.2045,-1.96221,0.199896,-0.141951,-0.55094,0.924109,-0.679949,0.0426397,0.896636,1.67004,1.43463,1.95561,0.103138,0.252753,0.0195425,1.1566,0.395228,-0.420419,0.948204,0.491864,1.88149,0.641087,0.54436,0.694993,0.269659,1.12951,0.891043,0.462261,0.593669,1.35798,2.59247,1.50507,2.58284,-1.01107,1.87472,1.50839,0.345535,2.30245,0.698391,1.42098,1.54347,2.30706,2.04066,3.06194,0.796849,1.9031,1.06428,3.55495,2.18157,2.04593,3.14255,1.8702,2.81503,1.78533,2.67071,1.93875,1.06865,1.69833,2.43147,1.5686,0.355794,0.204569,0.0696247,0.181671,0.0702512,0.73323,0.132996,0.181177,0.414466,0.0909204,0.332169,0.194508,0.176031,0.0905396,0.114999,0.0447046,0.3107,0.129759,0.256493,0.0277885,0.101418,0.114464,0.0413858,0.133518,0.0565173,0.143646,0.0647241,0.125785,0.255661,0.154684,0.0808043,0.172416
-3808.24,0.723204,0.0808331,5,63,0,3830.25,0.254195,0.398994,-0.022505,-0.216929,0.0722966,0.038679,0.244381,0.70506,-0.925641,0.931147,0.0742191,0.313265,1.36044,-2.80134,-0.727598,-0.433196,-0.862239,1.33903,-1.47199,-0.430235,1.07765,1.42297,1.76762,2.37919,-0.139636,-0.0224519,-0.114647,0.84662,0.566678,-0.667152,0.696777,0.354541,1.864,0.795959,-0.154257,0.54502,0.135092,1.00179,0.43516,0.740594,-0.408251,0.900895,0.29671,0.465251,1.20357,-1.73073,-0.268619,-0.061048,-0.363549,1.18848,-0.793456,-0.0589603,1.00419,1.24766,1.49066,1.92185,0.145929,0.228551,0.163548,0.841299,0.643923,-0.226001,0.735651,0.494354,1.55862,0.80558,0.135621,0.628653,0.339629,0.950702,0.551195,0.766544,0.488437,1.37211,2.52361,1.7523,2.63521,-0.713681,1.51769,1.65978,0.610497,2.62012,0.638181,1.37268,1.69806,1.95095,2.08579,3.0643,0.869064,1.94937,1.29231,3.35739,2.50934,2.36238,3.03485,1.92599,2.57134,2.02977,2.36252,1.94826,1.19509,1.56035,2.12704,1.90899,0.380262,0.202278,0.0742195,0.147758,0.0669065,0.671214,0.179803,0.159792,0.351946,0.067855,0.345658,0.202188,0.154718,0.124449,0.110486,0.044604,0.295449,0.124622,0.215462,0.0336541,0.075206,0.0860865,0.0458762,0.127195,0.0710058,0.116113,0.0860757,0.124743,0.23235,0.173597,0.106496,0.129094
