# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a2_model
# start_datetime = 2022-04-23 08:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39343766363f.json
# init = 2 (Default)
# random
#   seed = 1629577986
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.073339
# Diagonal elements of inverse mass matrix:
# 0.0303891, 0.035336, 0.0774114, 0.0935835, 0.0847761, 0.0894626, 0.0889103, 0.093931, 0.0618025, 0.0565741, 0.0736927, 0.0758884, 0.000183069, 0.0338686, 0.0189738, 0.140618, 0.151511, 0.183583, 0.104535, 0.143632, 0.244239, 0.264054, 0.109611, 0.182702, 0.119997, 0.0971389, 0.0983369, 0.140548, 0.174297, 0.154704, 0.152009, 0.137369, 0.109877, 0.152221, 0.18229, 0.141376, 0.176464, 0.155207, 0.137329, 0.212931, 0.239933, 0.14104, 0.181091, 0.14492, 0.182588, 0.237387, 0.0960838
-3800.2,0.919362,0.073339,6,63,0,3828.63,0.0883917,-0.0948303,0.242172,-0.193798,0.456383,-0.271291,0.255769,-0.330703,0.327827,0.480999,-0.166498,0.466468,0.0525971,0.270688,1.16413,-0.482187,0.488507,0.0651572,-0.209399,0.616715,-2.18204,-0.52483,-0.741202,0.0293971,0.24346,-1.00276,-0.309699,0.306827,1.0195,0.972283,1.17473,0.0442444,0.22223,-0.43707,0.371368,0.740726,-0.445414,0.194947,-0.0572927,1.25628,-0.0882555,-0.424837,0.119768,0.0376989,0.686939,0.337125,-0.137308,-0.290641,0.839374,0.346539,0.02692,0.988625,-2.26949,-0.340283,-0.592168,0.30491,0.554107,-0.896652,-0.0898423,0.627875,1.45752,1.40255,1.63822,0.322194,0.529392,-0.238118,0.703009,1.13299,-0.247832,0.497631,0.203992,1.73316,0.167947,-0.223877,0.410113,0.314574,1.07037,0.663146,0.110844,0.601006,1.15245,2.50564,1.50226,2.56915,-1.00612,1.91427,1.19875,0.807427,2.13464,0.683877,1.49069,1.32056,2.23935,2.1805,3.00836,1.28468,2.32031,0.969111,3.07249,3.0291,2.17425,2.70933,1.78452,2.93578,1.67651,1.93522,2.0959,1.21602,1.16518,2.75275,1.48098,0.354114,0.240041,0.075464,0.182089,0.0711502,0.73226,0.128502,0.231698,0.308439,0.105776,0.335396,0.183819,0.210724,0.0962719,0.101515,0.0470494,0.216754,0.0894548,0.275058,0.0442562,0.0461283,0.102087,0.0624253,0.143746,0.0504131,0.157558,0.126174,0.109496,0.228638,0.237727,0.0599313,0.185279
-3795.79,0.885469,0.073339,5,31,0,3820.67,0.287377,-0.143194,-0.012817,0.106171,0.242482,-0.0357453,-0.0635058,0.165175,0.317862,0.0185137,-0.0267258,0.203844,0.0509674,0.384863,1.19087,-0.673145,0.409718,0.239536,-0.25155,0.267531,-1.65744,-0.644897,-0.665593,-0.49432,-0.0146268,-0.798321,-0.285195,0.618391,1.19254,0.909246,1.49826,-0.663671,-0.468692,-0.341434,0.242221,0.10714,-0.309374,0.0661107,0.170773,1.33924,0.125432,-0.143744,-0.0971047,-0.566114,0.502125,0.0398635,-0.0377266,-0.416767,0.872785,0.67012,0.0852986,0.703458,-1.58894,-0.383127,-0.407774,-0.203809,0.367444,-0.565835,0.0452315,1.12129,1.80502,1.46766,2.1691,-0.405485,-0.173289,-0.0217412,0.673317,0.512453,0.0164376,0.463592,0.588231,1.97973,0.534236,0.213682,0.269223,-0.289306,0.98283,0.432335,0.339935,0.593373,1.32228,2.76678,1.51938,2.23947,-0.661945,1.49992,1.33211,0.563678,1.90346,0.970181,1.58125,1.94482,2.26098,2.39148,3.50125,0.237896,1.5666,1.2942,2.97384,2.35427,2.36793,2.61122,2.12425,2.84342,1.89646,2.31034,1.60642,0.735629,1.3623,2.62541,1.67208,0.355861,0.210439,0.0591461,0.179553,0.0962613,0.659697,0.182438,0.20881,0.362697,0.129717,0.274844,0.170619,0.125119,0.0944068,0.0838249,0.0292768,0.440805,0.172702,0.215142,0.0486216,0.0867267,0.0856509,0.0684199,0.106762,0.0550223,0.130509,0.0902702,0.167086,0.323961,0.203866,0.0675211,0.158147
-3797.68,0.9736,0.073339,6,63,0,3816.65,0.0435483,0.0599046,0.336026,0.0626812,0.530029,-0.407479,-0.189701,0.420539,0.450438,0.205406,0.319573,-0.132225,0.05389,0.246112,1.20655,-0.815431,0.491284,0.308968,0.0886096,0.861988,-2.32676,-0.476378,-0.575956,-0.462316,-0.0697219,-0.806832,-0.383913,0.102214,1.02765,1.01743,1.0953,0.0773375,0.000604815,-0.540306,0.476372,0.582186,-0.382623,0.122349,0.223652,1.51479,0.381966,0.0605928,0.103636,-0.0924884,0.178206,0.0925526,-0.0302029,-0.737746,0.838871,0.618897,0.353024,1.28614,-2.56124,-0.328662,-0.448808,-0.311695,0.161989,-0.727371,-0.217098,0.369438,1.48602,1.47369,1.56765,0.339424,0.246842,-0.405794,0.820879,0.948549,-0.215542,0.393732,0.515959,2.07378,0.706973,0.31922,0.371154,0.13452,0.461126,0.357782,0.209671,0.414183,1.39801,2.7182,1.75176,2.79266,-1.44394,1.81771,1.27327,0.81715,1.6685,0.779142,1.28942,1.29859,2.12347,2.43609,2.8586,1.1241,1.96891,1.06947,3.13574,2.7784,2.15321,2.54693,2.02247,3.14235,1.75815,2.41852,1.91854,1.28026,1.1506,2.6695,1.50062,0.39791,0.198132,0.0619079,0.147826,0.0577223,0.809064,0.139709,0.218699,0.306369,0.158624,0.314505,0.215952,0.214403,0.106836,0.0804614,0.0542383,0.245252,0.122505,0.255503,0.0416568,0.0585025,0.104032,0.0726333,0.116864,0.0413939,0.147022,0.0817711,0.128024,0.217506,0.24038,0.0647973,0.182333
-3797.24,0.988326,0.073339,5,31,0,3816.34,0.0510378,0.0546334,0.318749,0.0456992,0.418435,-0.367755,-0.197551,0.490461,0.422412,0.188616,0.285763,-0.18168,0.0552928,0.222464,1.12337,-0.719433,0.576668,0.304557,0.127165,0.851553,-2.22306,-0.454431,-0.481373,-0.472292,-0.0145341,-0.84955,-0.427106,0.10213,1.00741,0.881289,1.17618,0.00832715,-0.150499,-0.525279,0.579066,0.547909,-0.224747,0.144422,0.236976,1.62238,0.375699,-0.025199,0.0819016,-0.0572822,0.220515,0.232908,-0.117765,-0.585723,0.870274,0.564593,0.365317,1.17907,-2.27485,-0.288029,-0.318294,-0.308093,0.206137,-0.731892,-0.257333,0.337193,1.35415,1.21248,1.54374,0.231818,0.0533985,-0.367617,0.872967,0.837966,-0.0300089,0.384703,0.488675,2.045,0.644512,0.194156,0.31447,0.158115,0.470183,0.484105,0.0901705,0.555368,1.40314,2.70556,1.78748,2.71182,-1.15109,1.891,1.43563,0.806935,1.73889,0.800856,1.27542,1.25053,1.98498,2.16229,2.85532,1.01536,1.80732,1.10523,3.23511,2.70247,2.38742,2.58096,2.02142,3.11817,1.67632,2.33513,1.87963,1.29356,1.13534,2.81812,1.40175,0.36462,0.197318,0.0626459,0.143382,0.0622795,0.75971,0.13113,0.192224,0.308544,0.149455,0.309842,0.218332,0.222609,0.120789,0.103189,0.0544069,0.265933,0.140963,0.248761,0.0378657,0.0628277,0.0841367,0.0703736,0.116972,0.0423639,0.157583,0.0882553,0.132431,0.215251,0.243177,0.0563529,0.197539
-3798.01,0.946603,0.073339,5,31,0,3818.95,0.0693896,0.0731032,0.513176,0.148198,0.473649,-0.43857,-0.299749,0.394842,0.550224,0.0307205,0.198831,-0.0547058,0.050585,0.193802,1.19585,-0.648461,0.504932,0.483495,0.241574,0.800116,-2.10156,-0.291708,-0.574526,-0.617668,0.163653,-0.952464,-0.385479,0.3964,1.08819,0.91166,1.29544,-0.0843273,-0.235279,-0.47486,0.664185,0.400005,-0.00483813,0.072435,0.329613,1.32859,0.177327,-0.00101252,-0.0142695,-0.00282326,0.409423,0.27458,-0.0657356,-0.581662,0.797626,0.77199,0.482689,1.15062,-2.31935,-0.155038,-0.493246,-0.544838,0.389507,-0.945204,-0.267174,0.667838,1.49512,1.28401,1.74296,0.092959,-0.0875566,-0.374061,0.98807,0.672149,0.188016,0.280424,0.587971,1.7826,0.405859,0.192591,0.176738,0.190426,0.683412,0.52216,0.115192,0.673895,1.49675,2.9523,2.00539,2.7745,-1.38726,1.74447,1.33297,0.460496,2.01338,0.67867,1.3567,1.71224,1.97825,2.35382,3.1645,0.710218,1.73866,1.18501,3.37072,2.59953,2.62125,2.51132,2.21185,2.67041,1.50797,2.3729,1.51226,1.43843,1.27399,2.85911,1.53673,0.337625,0.182911,0.0496279,0.118638,0.0587179,0.800154,0.148746,0.208669,0.386868,0.117805,0.336558,0.204777,0.152873,0.121505,0.0867623,0.0405239,0.329551,0.149483,0.234153,0.0332232,0.0691684,0.0677832,0.0750685,0.0986918,0.0647422,0.181239,0.0852626,0.180604,0.191789,0.218574,0.0542121,0.177012
-3806.78,0.96329,0.073339,6,63,0,3824.41,0.375904,-0.0657412,-0.108934,-0.477748,-0.427838,0.35501,0.35768,-0.423425,0.146097,-0.124181,-0.289125,0.136539,0.0283873,0.172482,0.978349,-0.108406,1.05867,1.34781,0.74354,1.43572,-2.13581,0.166313,0.0447887,-0.0871037,1.10064,-0.397491,0.00635139,1.0731,1.56618,1.42934,2.19866,0.0359943,0.525047,-0.0980559,1.62618,1.60851,0.784348,0.921254,1.03163,1.85921,0.980376,0.805182,0.670191,0.28377,0.844505,0.627731,0.610351,0.0664237,1.20823,1.49111,0.899924,1.57712,-1.91709,0.335194,0.216301,0.0872644,1.24929,-0.216403,0.178696,1.22235,1.70475,1.57087,2.32354,0.207697,0.686162,0.0765494,1.76345,1.74617,0.939849,1.07379,1.18177,1.99144,1.13163,0.960231,0.828164,0.450108,0.998704,0.786622,0.769619,0.829184,1.65873,2.75922,1.79899,2.53296,-1.30539,1.48058,1.2857,0.471577,2.20514,0.739443,1.13454,1.87949,2.05529,2.27904,3.16583,0.659255,1.75556,1.00963,3.14511,2.87234,2.34989,2.37028,2.13762,2.56908,2.14372,2.22834,1.66809,1.21966,1.16497,2.20221,1.61192,0.303818,0.159932,0.0595682,0.141973,0.0735794,0.786742,0.185339,0.216582,0.384243,0.09929,0.323126,0.243324,0.132448,0.113518,0.092874,0.040472,0.340907,0.147348,0.267052,0.0412845,0.053538,0.0870744,0.085467,0.105494,0.0711551,0.10492,0.0972345,0.158679,0.227996,0.237764,0.0995525,0.166323
