# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a2_model
# start_datetime = 2022-04-23 08:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39343766363f.json
# init = 2 (Default)
# random
#   seed = 1629577986
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a2-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a2-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0920786
# Diagonal elements of inverse mass matrix:
# 0.0338955, 0.0353465, 0.0696198, 0.0871116, 0.0844753, 0.0877679, 0.0820458, 0.0949346, 0.0651192, 0.0648075, 0.0727818, 0.0751528, 0.000199811, 0.0339031, 0.0181905, 0.162591, 0.160063, 0.159391, 0.117231, 0.13771, 0.212408, 0.220776, 0.127296, 0.180093, 0.116311, 0.1258, 0.104226, 0.160416, 0.193316, 0.163605, 0.155247, 0.120927, 0.125634, 0.154835, 0.185037, 0.136495, 0.201077, 0.168894, 0.126899, 0.209678, 0.204252, 0.18065, 0.1488, 0.125239, 0.182572, 0.250028, 0.104266
-3803.61,0.948714,0.0920786,5,31,0,3820.25,0.128465,-0.0893641,-0.148965,-0.575418,-0.0195508,-0.33805,0.226416,-0.0738843,0.327013,0.0622287,-0.169515,0.265323,0.0538136,0.48757,0.898808,-0.654715,0.977138,0.247278,0.0966182,0.99026,-3.09895,-0.741491,-0.853879,-0.623708,0.324705,-1.13497,-0.15326,0.392365,1.55641,0.867871,1.70053,-0.703455,-0.209358,-0.429212,0.397066,0.896978,-0.560658,0.872585,0.651442,1.39826,-0.0694924,0.10112,-0.31916,-0.338559,1.06777,-0.300396,-0.131878,-0.100893,1.36583,0.709825,0.574411,1.37762,-2.29779,-0.178889,-0.279904,-0.0730239,0.779418,-0.532554,0.349819,0.840231,1.88648,1.26762,2.01602,-0.144702,0.299397,0.10179,0.844456,1.29378,-0.0163548,1.27186,1.07309,1.74434,0.425109,0.578457,0.200706,0.18327,1.44729,0.217571,0.369037,0.84934,1.72411,2.55265,1.71766,2.6285,-1.38939,1.74427,1.18623,0.488309,2.0303,0.718324,1.6007,1.58598,2.30287,2.09796,3.05164,0.454665,1.76553,1.37491,2.90254,2.86754,2.09554,3.1685,2.32397,2.59123,1.80259,2.42129,1.54115,1.14274,1.59043,2.39018,1.40466,0.299571,0.151342,0.0722484,0.152173,0.0673264,0.800495,0.148771,0.233934,0.380292,0.116059,0.327762,0.167884,0.16995,0.0908859,0.109295,0.0451467,0.388252,0.146099,0.201828,0.0520282,0.0537816,0.109531,0.0403686,0.0891571,0.069705,0.141536,0.0815639,0.176368,0.241818,0.169324,0.0839248,0.197078
-3801.92,0.696214,0.0920786,5,63,0,3832.14,0.292782,0.263852,0.239594,0.0595894,0.268317,0.0431875,-0.206321,0.52977,0.225954,-0.141817,0.102003,0.364961,0.0561584,-0.127759,0.918104,-0.781134,0.773336,0.679902,0.456482,1.29635,-2.3124,-0.788953,-0.294875,-0.265411,0.711779,-0.352663,-0.274601,0.970353,1.62166,1.86204,2.08709,-0.114125,0.52178,-0.592273,1.12489,0.785722,0.148435,0.344086,0.286757,1.92328,-0.0481694,0.141043,0.256003,-0.301845,0.162328,0.143518,0.812941,-0.844921,0.582243,0.496461,0.291339,1.06242,-2.25078,-0.8521,-0.398485,-0.371434,0.525729,-0.45154,-0.379871,0.763126,1.3611,1.58178,1.7884,-0.232538,0.35129,-0.671527,0.905009,0.593615,0.00852031,0.188148,0.135514,1.63801,-0.171983,0.00173369,0.107278,-0.404884,0.0212749,0.00400539,0.618605,0.578528,1.38795,2.62378,1.68859,2.572,-0.993187,1.49522,1.33572,1.04038,2.0353,1.05803,1.1297,1.93013,2.13598,2.71407,3.07334,0.64721,2.0855,1.08887,3.25696,2.44014,2.41663,2.37162,1.64509,2.86217,1.88227,2.12905,1.80959,0.991302,0.947472,2.54934,1.90354,0.359271,0.199735,0.0676238,0.155961,0.0709626,0.729717,0.183139,0.208215,0.261077,0.115546,0.257686,0.244216,0.126736,0.105648,0.062148,0.0442203,0.343619,0.110515,0.251831,0.0370777,0.0801627,0.0819136,0.0853625,0.161774,0.0540559,0.132129,0.106305,0.140687,0.270655,0.279393,0.0724706,0.129708
-3804.73,0.975158,0.0920786,5,63,0,3827.49,0.169362,0.1873,0.253746,0.30455,0.0580673,0.49489,-0.134343,0.174067,0.296718,0.258138,0.0193304,0.136329,0.0518231,0.0552036,1.00012,-0.635714,0.86601,1.26404,0.064582,0.950509,-2.43795,-0.204953,-0.684522,-0.503014,0.810129,-0.758609,0.0224878,1.02739,1.45835,0.912959,2.03144,-0.720657,0.382488,-0.48382,0.949625,0.624294,0.179653,0.82173,0.436556,2.13499,0.330967,0.555371,-0.307192,-0.293176,0.731767,0.0236159,0.140509,-0.58059,0.921321,1.3194,0.119794,1.00583,-2.38305,-0.149775,-0.629403,-0.447873,0.865433,-0.703499,0.0776942,1.08273,1.51373,0.968275,2.0869,-0.665542,0.437739,-0.428676,1.00495,0.679575,0.234879,0.877035,0.491813,2.19046,0.386212,0.610644,-0.252026,-0.238008,0.787061,0.0788224,0.19573,0.659255,1.59111,3.26932,1.39601,2.3857,-0.990623,2.24342,0.957755,0.61823,2.2453,0.676366,1.45756,2.0927,2.45588,1.96556,3.25947,0.386918,2.0249,1.12211,3.16216,2.37038,2.44391,2.87878,1.87168,3.54719,1.9224,2.56056,1.55176,0.982483,1.41278,2.37814,1.3683,0.340907,0.169228,0.0366388,0.19845,0.08427,0.729211,0.0959186,0.277328,0.350184,0.0957558,0.337073,0.188841,0.109809,0.0790095,0.122866,0.036988,0.404459,0.116614,0.245621,0.0406149,0.0854596,0.0798848,0.0532127,0.133348,0.0279989,0.127594,0.0717201,0.174832,0.272399,0.195797,0.0848552,0.202894
-3808.3,0.992419,0.0920786,5,31,0,3827.68,0.31698,0.161074,0.326952,-0.262069,-0.230336,0.0207667,-0.173842,-0.0160244,0.0360695,0.403857,-0.537821,0.226372,0.0524659,-0.186935,1.11547,-0.34775,0.68539,0.119478,0.299665,1.36769,-2.50788,-1.11783,-0.150115,0.203895,0.682613,-0.345283,-0.082954,0.654698,1.14617,2.04771,1.71896,-0.0684985,0.132504,-0.0345898,0.700042,1.05369,-0.182631,0.467718,0.352351,0.909634,-0.0075518,-0.0791393,0.326881,0.198709,1.08936,0.812641,0.588429,-0.574839,0.577595,-0.0536612,0.147331,1.33867,-2.98439,-1.43384,-0.354384,0.0405028,0.574497,-0.572087,-0.279468,0.543359,1.09158,2.09722,1.73051,-0.263343,-0.0391316,-0.225519,0.593938,0.988416,-0.390654,0.334789,0.206101,0.827731,-0.195359,-0.275213,0.17769,0.0347175,1.0282,0.719539,0.469437,0.530522,1.10583,2.16397,1.6829,2.97918,-1.31524,1.24602,1.49598,0.676905,2.215,1.06842,1.36104,1.41944,2.3024,2.97029,3.16115,1.06604,1.81124,1.19464,3.02143,2.94372,2.08931,2.60488,1.84661,2.45828,1.56418,1.94242,2.26379,1.12344,1.22269,2.9098,1.90008,0.370395,0.248649,0.103033,0.156711,0.0483754,0.788389,0.22339,0.183025,0.336952,0.0984114,0.255704,0.204072,0.194749,0.0909244,0.0487863,0.0406541,0.256157,0.140489,0.232431,0.046467,0.0500343,0.110141,0.0688247,0.136272,0.0788354,0.173048,0.125383,0.0941669,0.245375,0.227464,0.0516711,0.1301
-3799.06,0.964886,0.0920786,5,31,0,3827.65,-0.0889702,0.188875,0.193461,-0.222598,-0.071,0.0160095,-0.257725,0.248173,0.0041266,-0.314415,-0.300197,0.162403,0.0612817,0.225095,0.980676,-0.482958,1.28997,0.832001,0.23904,1.00788,-2.33831,-0.540188,-0.344515,-0.198057,0.666453,-0.746156,-0.284117,0.957001,1.62964,1.28034,2.03568,-0.358528,0.276841,-0.294272,0.630703,1.05339,0.292412,0.327103,0.473453,1.9367,0.191696,0.361296,0.320342,-0.335557,1.0367,0.370048,0.438944,-0.24853,1.49014,1.04102,0.459516,1.2135,-2.06803,-0.304654,-0.112762,0.0308657,0.878669,-0.506642,-0.0535313,1.1636,1.82325,1.48069,2.22144,-0.126504,0.496587,-0.0634904,0.84361,1.25813,0.511857,0.545877,0.689399,2.12437,0.413087,0.579409,0.539247,-0.103977,1.24176,0.587993,0.655557,0.546149,1.61072,2.98291,1.60475,2.4813,-1.36303,1.58096,1.40016,0.643784,2.14647,0.761154,1.21426,1.69039,1.99298,2.00371,3.24411,0.181533,2.00951,1.09888,3.03063,2.89361,2.76016,2.54905,1.9572,2.78435,1.90782,2.5213,1.73125,0.671186,1.3384,2.64955,1.67823,0.366758,0.166489,0.0482038,0.167319,0.0771796,0.796251,0.170659,0.197791,0.344392,0.104662,0.318396,0.228947,0.155725,0.119942,0.118814,0.0375392,0.454741,0.118208,0.24995,0.0460611,0.0524702,0.0595154,0.0724901,0.123771,0.0581757,0.129226,0.0743781,0.150428,0.338231,0.207773,0.0660166,0.15733
-3800.53,0.970348,0.0920786,5,31,0,3821.52,0.26157,-0.0193537,0.199763,0.0362507,0.151136,0.223993,-0.22014,-0.332079,0.194755,0.0668237,-0.0317338,-0.167438,0.0446375,0.107303,0.862571,-0.758986,0.690922,0.641609,0.158192,1.74298,-2.52886,-0.541511,-0.451116,-0.234942,0.50406,-0.635233,-0.15098,0.631986,2.12313,1.35648,1.65362,-0.0949707,0.381738,-0.107605,1.39515,0.941766,-0.41512,0.739585,0.493047,2.04413,0.519919,-0.0818753,0.697982,-0.0279653,0.49593,0.822164,0.288898,-0.547377,0.703273,0.660737,0.243755,1.61075,-2.07402,-0.359789,-0.281817,-0.0953509,0.542091,-0.440631,-0.022928,0.652436,1.93865,1.27736,1.53367,0.0253842,0.43658,0.0144866,1.31072,0.919644,-0.250768,0.745248,0.532592,1.87051,0.555771,0.03668,0.709363,0.0831812,0.535078,0.816479,0.356498,0.378911,1.13855,2.61405,1.61678,3.07305,-1.09545,1.46523,1.35904,0.693723,2.00439,1.02167,1.43938,1.40251,2.51382,2.07873,2.81742,0.739132,2.07743,1.2086,3.44259,2.64977,1.92574,2.7432,1.99489,2.80278,1.5226,1.99,2.04537,1.01147,0.969718,2.73312,1.64025,0.40639,0.242587,0.0682395,0.165649,0.0442328,0.749406,0.187669,0.204397,0.333205,0.118742,0.264702,0.191642,0.197419,0.074895,0.111181,0.05639,0.323194,0.11131,0.229949,0.0309907,0.0660031,0.127223,0.0604718,0.11974,0.0571742,0.179079,0.120257,0.114521,0.266693,0.274937,0.0610469,0.162431
