# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a3_model
# start_datetime = 2022-04-23 08:28:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39342b4a2c9c.json
# init = 2 (Default)
# random
#   seed = 486147179
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0662281
# Diagonal elements of inverse mass matrix:
# 0.0369756, 0.0606263, 0.0819718, 0.0772716, 0.0931353, 0.0929747, 0.0862313, 0.0908842, 0.0508677, 0.068489, 0.0701, 0.0877495, 0.000365544, 0.000422756, 0.0345039, 0.0201452, 0.155859, 0.189576, 0.196645, 0.124525, 0.14219, 0.29447, 0.35985, 0.143312, 0.208627, 0.146775, 0.134417, 0.131268, 0.139841, 0.212989, 0.144053, 0.201254, 0.14038, 0.132924, 0.156218, 0.256734, 0.143184, 0.252969, 0.210048, 0.127733, 0.216834, 0.259085, 0.196626, 0.214735, 0.133737, 0.19238, 0.389842, 0.107676
-3811.03,0.986758,0.0662281,7,127,0,3841.42,0.125435,0.221828,-0.298558,0.114544,0.275635,-0.0729545,0.107093,0.157911,0.136168,0.355268,0.274652,0.502587,0.0751487,0.0347182,0.199566,0.708592,-1.12654,1.02928,0.364143,0.22537,1.57253,-2.66982,-0.742911,-0.57872,-1.18399,0.654833,-0.514847,-0.223064,1.4028,1.50983,1.95621,2.48093,-0.846115,0.2417,-0.498982,0.719061,1.36396,-0.644538,0.0405328,1.04118,2.28886,-0.258796,-0.247367,0.383685,0.0873952,0.717409,0.769714,0.659859,-0.598692,0.928906,0.457594,0.359261,1.31384,-1.69225,-0.326855,-0.210511,-0.639402,0.663575,-0.16525,0.0415046,1.19358,1.26942,1.58572,1.95753,-0.399984,0.370832,-0.154009,0.709086,1.16606,-0.257149,0.228287,0.937337,1.82143,0.0161849,0.0242836,0.471441,0.261493,0.707915,0.744978,0.667136,0.286076,1.43177,2.54723,1.47196,2.57684,-0.468608,1.57553,1.35308,0.453286,1.92657,1.09775,1.3045,1.91273,2.19969,2.26319,2.91994,0.580966,1.93443,0.939068,3.09931,2.87995,2.20823,2.39307,2.20033,3.02946,1.56838,2.11392,1.96901,1.12334,1.4923,2.29804,1.62954,0.428965,0.192822,0.072613,0.186645,0.0706438,0.615054,0.171429,0.205367,0.38858,0.12713,0.250162,0.213408,0.128674,0.0997781,0.0942178,0.0511768,0.35871,0.126262,0.281089,0.0431356,0.0531537,0.0990141,0.0837028,0.0997204,0.0461127,0.172448,0.107752,0.122496,0.245392,0.183577,0.0912851,0.163893
-3811.36,0.926432,0.0662281,6,63,0,3830.27,0.27522,0.108965,0.685326,-0.123034,-0.386854,0.0164693,-0.151706,-0.030295,0.420326,-0.433841,0.0055348,-0.381218,0.0311458,0.0582931,0.232323,0.97864,-1.4876,0.121762,0.659574,-0.201325,0.648256,-1.98192,-0.316546,-0.205666,-0.714583,0.603998,-0.568989,-0.231582,0.324088,1.22407,1.05052,1.48365,-0.539213,-0.0136627,-1.04912,1.18232,0.585714,0.214252,0.321881,0.437881,1.84863,0.716572,0.578337,0.337766,-0.643135,0.832372,-0.0459276,0.0750549,-1.2235,0.351484,0.877808,0.0352979,0.866732,-1.70726,-0.0774619,0.0310498,-0.466997,0.823419,-0.324513,0.00568696,0.549488,1.43025,1.26041,1.68428,-0.295373,0.218952,-0.794389,1.38939,0.805525,0.441998,0.547328,0.66085,2.04146,0.933589,0.798306,0.562874,-0.397075,1.04692,0.187376,0.305774,0.231783,1.16554,2.7595,1.51209,2.40582,-0.882358,1.8644,1.69472,0.690081,2.36251,1.21457,1.54477,1.75846,1.7399,2.49015,3.09878,0.162887,1.88262,1.01065,3.39566,2.53149,2.47942,2.46016,2.19994,2.81746,2.10634,2.68,1.85225,1.04695,1.72264,2.8782,1.72028,0.442312,0.237662,0.0595525,0.180629,0.0827301,0.707311,0.134191,0.155156,0.334015,0.0860769,0.228893,0.175842,0.146983,0.149326,0.0765519,0.0431576,0.459368,0.132088,0.266852,0.0324314,0.0736801,0.0773138,0.0786984,0.0997562,0.0563879,0.108482,0.0641641,0.135609,0.259811,0.151532,0.053242,0.151835
-3809.15,0.996185,0.0662281,6,63,0,3835.73,0.279097,0.126061,0.465339,0.201495,0.502488,-0.0279342,0.404564,-0.283586,0.308278,-0.186133,0.0874723,0.113189,0.0336203,0.0356965,0.214684,0.758061,-0.74894,0.234091,0.702689,0.170035,1.3989,-3.13759,-0.0919945,-0.779621,-0.0390991,0.330675,-1.15839,-0.399537,0.356555,1.93543,1.04572,2.07745,-0.0953388,0.417919,-0.240379,0.874057,1.38711,-0.0396152,1.34461,0.42116,1.97625,0.303153,0.0133417,0.404968,-0.518671,0.415726,0.736422,0.119891,-0.353058,0.392139,0.747364,0.34358,1.27514,-2.1638,0.144946,-0.376317,0.185044,0.465355,-0.663447,-0.0881894,0.484974,1.68186,1.0074,1.78952,0.142411,0.531492,0.0324618,0.877272,1.2662,0.184653,1.23398,0.533948,1.7128,0.444492,0.224797,0.521674,-0.178501,0.529829,0.772936,0.305568,0.764084,1.11662,2.47787,1.63702,2.63582,-1.40914,1.5887,1.11885,1.15277,1.82604,0.697235,1.27249,1.44413,2.12611,1.95884,3.01572,0.663358,2.02665,1.36378,2.74226,2.8286,2.08326,2.99811,1.89463,2.44263,1.6813,1.9553,1.55974,0.925617,1.19462,2.62113,1.53177,0.31776,0.246639,0.0774242,0.162871,0.0668685,0.80363,0.169567,0.246225,0.239983,0.138711,0.332426,0.218831,0.190906,0.106585,0.123593,0.0467207,0.339986,0.116433,0.203626,0.0605254,0.0557981,0.110735,0.0475114,0.130717,0.0799794,0.156923,0.123976,0.173684,0.283815,0.232434,0.0677908,0.177735
-3811.14,0.997126,0.0662281,6,63,0,3834.83,0.163827,0.229849,0.528352,0.351835,0.435458,-0.22073,0.480724,-0.446316,0.234709,-0.146897,-0.264208,0.125601,0.0422453,0.0389233,0.221022,0.760638,-1.03388,0.851316,0.691244,0.144414,1.35853,-2.8313,0.156161,-0.896503,-0.290647,0.0297031,-1.25006,-0.587852,0.751484,1.91394,1.17739,1.51263,0.100562,0.493644,-0.506237,0.894037,1.75979,-0.0140481,0.98623,0.507313,2.18186,0.655178,-0.00286476,-0.0882,-0.638405,0.935594,0.364261,0.0567095,-0.56539,0.868565,0.746809,0.330869,1.25437,-1.93258,0.339804,-0.460892,-5.54575e-05,0.243615,-0.729823,-0.226121,0.792629,1.67683,1.11659,1.37158,0.297513,0.596506,-0.164041,0.901061,1.55959,0.210336,0.971186,0.606903,1.88063,0.719375,0.218843,0.153934,-0.264573,0.93267,0.498093,0.264157,0.511291,1.51709,2.60808,1.64295,2.65095,-1.1016,1.93011,1.10466,0.655554,1.64019,0.666751,1.17045,1.68591,2.17729,1.96962,2.59918,0.859325,2.16206,1.14618,2.93131,3.20963,2.28283,2.8747,2.00348,2.69247,2.02538,2.08012,1.29234,0.788358,1.24523,2.33213,1.49175,0.374891,0.179891,0.0686202,0.162064,0.0659306,0.75056,0.126738,0.248867,0.341739,0.162439,0.339225,0.236773,0.156315,0.101808,0.122429,0.0691915,0.29748,0.103209,0.241188,0.0506271,0.0388048,0.0925546,0.0534184,0.118838,0.0634189,0.116564,0.111045,0.215457,0.312521,0.223527,0.0884967,0.183659
-3822.03,0.996055,0.0662281,6,63,0,3838.83,0.267177,0.0332969,-0.287043,-0.498182,-0.506167,0.279856,-0.430482,0.350234,0.234424,0.522506,0.198112,0.17215,0.0798756,0.0381627,0.108562,0.63944,-0.651161,0.548599,-0.122463,-0.41654,0.925791,-4.27408,-0.854637,-1.18929,-0.463498,1.03774,-0.989056,-0.5615,0.916262,1.7273,2.17504,2.83517,-1.44629,-0.500718,-0.507364,0.21445,-0.198245,-1.14929,-0.218745,0.164904,1.98427,1.17961,-0.412605,1.01623,0.0426237,0.173026,0.693395,0.216934,-0.307817,0.459358,0.0302537,-0.157791,0.700549,-2.62445,-0.437927,-0.651917,-0.187817,0.772132,-0.523881,-0.250484,0.694456,1.21307,1.49937,1.92148,-0.816253,-0.211617,-0.215867,0.24569,-0.018204,-0.626338,-0.0313125,0.214008,1.37738,0.86285,-0.155275,0.75838,0.135817,0.219201,0.551946,0.247278,0.649787,0.997172,2.61369,1.38726,2.40535,-1.22898,1.6855,1.37239,0.809801,2.47693,1.18092,1.45432,1.4954,2.26794,2.327,3.30678,0.34508,1.81269,0.970713,3.14863,2.16585,2.35647,2.632,1.91881,2.73756,2.09992,2.42816,2.45858,1.08998,0.90693,2.33479,1.63258,0.343037,0.269498,0.0682627,0.199845,0.0827655,0.773641,0.156368,0.202234,0.307933,0.0774911,0.234887,0.189338,0.183113,0.0938131,0.0889113,0.0353393,0.414576,0.140314,0.274738,0.0411455,0.102859,0.0865526,0.0671073,0.127994,0.0607933,0.109104,0.0810505,0.0788135,0.251622,0.287628,0.0882821,0.163478
-3817.29,0.998472,0.0662281,6,63,0,3847.02,0.0564494,0.526732,0.378502,0.483841,0.630662,-0.128631,0.431262,-0.389696,-0.394024,-0.263921,0.231119,-0.0626491,0.0786578,0.0535453,0.254768,0.89006,-0.495659,0.671799,0.0977955,-0.214406,1.3299,-2.80351,-0.98647,-0.584711,-1.06952,0.0698319,-1.39504,-0.905451,0.585962,1.7261,2.06165,1.73896,-0.343514,-0.125969,-0.275332,-0.248398,1.0856,-0.835465,-0.0302356,0.0120149,1.78709,-0.52061,-1.10962,0.415599,0.228495,-0.563372,0.142243,0.188682,-0.186399,0.852709,0.341812,0.0639339,1.43846,-2.24053,-0.62325,-0.265661,-0.697165,0.316923,-0.9869,-0.551138,0.77631,1.7911,2.08976,1.80255,-0.0509799,0.142648,0.00970587,0.0336791,1.22102,-0.488846,0.227856,0.265462,1.84539,-0.208606,-0.732857,0.624676,0.458142,-0.246667,0.381373,0.422706,0.637908,1.08802,2.85685,1.55642,3.08826,-1.11729,1.5627,1.69877,0.859374,1.96672,0.662901,1.09866,1.32294,2.47779,2.50852,3.13772,0.669347,2.10708,1.15528,2.86335,3.34277,2.41948,2.82155,1.91526,2.96043,1.40177,1.78218,2.1672,1.22802,0.808943,2.1569,1.75788,0.34572,0.251992,0.0543284,0.174161,0.0435941,0.753486,0.173259,0.154626,0.29747,0.122741,0.340088,0.249991,0.21033,0.0774303,0.075263,0.041578,0.338643,0.108411,0.239525,0.0539955,0.0341329,0.0816993,0.0561706,0.128391,0.0492458,0.197535,0.144034,0.102735,0.226528,0.308116,0.103688,0.147057
