# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b1_model
# start_datetime = 2022-04-23 08:29:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-3934fe92810.json
# init = 2 (Default)
# random
#   seed = 1602453411
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0923552
# Diagonal elements of inverse mass matrix:
# 0.0376331, 0.0559228, 0.0758171, 0.0655382, 0.000286688, 0.000351013, 0.0368213, 0.0204016, 0.160775, 0.202784, 0.228145, 0.186385, 0.203082, 0.275344, 0.417964, 0.165588, 0.192526, 0.179364, 0.167049, 0.191991, 0.159226, 0.180836, 0.167842, 0.184481, 0.156914, 0.19108, 0.204725, 0.236549, 0.194815, 0.261287, 0.215551, 0.16853, 0.204378, 0.221258, 0.23544, 0.2292, 0.154702, 0.19059, 0.439774, 0.19214, 0.00741242
305.138,0.99575,0.0923552,5,31,0,-286.375,-0.107693,-0.0779191,-0.0321873,0.448541,0.0650032,0.0631114,-0.072597,1.07584,-0.593509,0.870396,-0.0826709,0.0971267,0.596217,-2.01402,-0.227192,-0.313134,-0.434887,0.986488,0.090209,0.0710817,1.03387,1.35082,1.13387,1.66517,-0.104976,0.513069,-0.595414,0.0586177,0.437947,-0.0619759,-0.11535,0.635102,1.71374,0.665382,0.527673,0.334249,0.102791,0.381441,0.148023,0.11665,6.1947,-0.711116,0.863806,-0.161537,0.0318953,0.568834,-2.23935,-0.317018,-0.409478,-0.540464,0.988702,0.0244531,0.00387517,1.03968,1.38067,1.14726,1.71885,-0.185534,0.47938,-0.713165,-0.00953404,0.398562,-0.139273,-0.196694,0.610669,1.77111,0.643245,0.495093,0.287,0.0379891,0.337771,0.0866519,0.0528995,0.239212,1.11991,1.91996,1.26835,1.9353,-1.02987,2.08487,1.217,0.536086,2.35517,1.39092,1.37034,1.74695,2.01544,1.94449,2.82531,0.657356,2.10586,0.615831,2.33198,2.15505,2.26724,1.94981,1.97713,2.91077,2.1656,2.57659,2.00271,0.996368,0.920165,2.45898,1.15935,0.440481,0.246028,0.127866,0.219539,0.126165,0.736891,0.110576,0.228465,0.369098,0.0866559,0.199261,0.202565,0.148432,0.117591,0.125156,0.0559719,0.341334,0.108529,0.35073,0.0885089,0.103861,0.0938724,0.124574,0.121625,0.0516236,0.102882,0.0706601,0.118918,0.269656,0.284924,0.0787847,0.238785
313.244,0.999603,0.0923552,5,31,0,-290.442,0.0542059,-0.0361454,-0.168846,0.464034,0.062798,0.0530674,-0.0818052,0.997073,-0.646763,0.557464,0.489825,0.287127,0.865626,-2.14784,-0.839884,-0.242298,-0.445841,0.727915,-0.0854391,-0.293921,0.983699,1.45997,1.14793,1.84904,0.083158,0.0735711,-0.481781,0.3025,0.558514,0.509787,0.155251,0.41237,1.86439,0.432992,0.209867,0.389815,0.123328,0.239646,0.0765409,0.625981,6.26521,-0.726675,0.474027,0.406587,0.204481,0.781287,-2.22336,-0.919231,-0.323394,-0.526342,0.643979,-0.166994,-0.374866,0.899015,1.37389,1.06277,1.76183,0.00110937,-0.00844943,-0.562177,0.21981,0.475074,0.42649,0.0729911,0.329358,1.77712,0.34992,0.127448,0.306869,0.0411614,0.15714,-0.00548835,0.542344,0.335995,0.952955,2.39966,1.38118,2.08359,-0.945312,1.36399,1.2301,0.642463,1.94628,1.13531,0.927433,1.75377,2.17122,1.98304,2.81293,0.966359,1.54504,0.818898,2.46408,2.15416,2.73356,2.12887,1.63166,2.999,1.89206,2.12053,2.01008,1.10757,0.906385,2.24023,1.59345,0.416783,0.278291,0.0831983,0.200819,0.110702,0.720171,0.203593,0.226164,0.34469,0.12496,0.243183,0.283446,0.147572,0.102365,0.120995,0.0566293,0.275607,0.175803,0.305998,0.078415,0.103943,0.061022,0.106323,0.163603,0.0474713,0.131009,0.107118,0.118148,0.248325,0.28774,0.0961958,0.168899
306.611,0.965661,0.0923552,5,31,0,-287.208,-0.277909,0.753436,-0.00369719,0.406277,0.103024,0.00965749,0.133241,0.935102,0.0532651,0.145037,-0.405224,0.270469,1.06404,-2.17818,-0.0892213,-0.59145,-0.606916,0.37365,-0.548988,0.36837,0.54066,1.45151,1.23263,1.50782,-0.671953,0.0210397,-0.111345,0.334186,1.33054,-1.08557,0.341313,0.338618,1.15664,0.318618,-0.578727,0.0839566,-0.133109,0.367036,1.19635,0.116967,6.10488,0.183049,0.268865,-0.245685,0.386157,1.12822,-1.90358,0.0498098,-0.419825,-0.434288,0.482642,-0.380119,0.477704,0.638814,1.49055,1.28587,1.54321,-0.495103,0.152915,0.0291221,0.445739,1.37743,-0.881877,0.452404,0.449883,1.21481,0.431181,-0.407928,0.211749,0.00877049,0.476457,1.25195,0.242617,1.2371,1.21668,2.13497,1.42749,2.37561,-0.875778,1.32598,1.23966,0.639078,1.73003,0.867267,1.72509,1.56341,2.49631,1.96063,2.3785,0.357983,1.8124,1.14112,3.23849,3.24296,2.0139,2.93608,1.69727,2.29784,1.53322,1.97273,1.30384,0.984971,1.36876,2.19409,1.0779,0.224941,0.228521,0.105744,0.19349,0.0850517,0.705947,0.209825,0.224495,0.345455,0.150584,0.295823,0.151217,0.173158,0.0761172,0.123399,0.0848273,0.411448,0.140348,0.242115,0.0377426,0.0375806,0.117751,0.0503984,0.154822,0.0913023,0.177522,0.122096,0.21352,0.271906,0.20282,0.100282,0.253903
300.966,0.972465,0.0923552,5,31,0,-289.143,0.63272,-0.184438,-0.170991,-0.134981,0.0355575,0.0384828,0.213294,0.792085,-1.05999,0.903234,0.834106,-0.0158856,0.790139,-2.00313,-1.28016,-0.524523,-0.394751,0.466933,-1.04575,-0.819894,0.971972,1.18416,1.43621,1.87492,0.0538104,0.0328441,-0.174962,0.19505,0.140326,-0.116613,-0.0156571,0.386786,1.84287,0.463631,0.171448,0.363533,-0.0410915,0.882827,0.499738,0.67247,5.83281,-0.626304,0.928732,0.873977,0.200712,0.839151,-1.37335,-0.800703,-0.202172,-0.0993818,0.583145,-0.615029,-0.436131,0.983178,1.15125,1.35089,1.69839,0.255917,0.23931,0.0747099,0.36779,0.324445,0.120927,0.200893,0.519662,1.673,0.580529,0.349096,0.501243,0.180746,0.912568,0.609129,0.745947,0.094147,1.22587,2.68965,1.55414,2.26369,-0.483088,0.804852,1.3646,0.698035,2.00769,0.809513,0.988411,1.57193,1.67929,2.04165,2.9807,0.943869,1.80608,1.02606,2.3257,1.96233,2.11439,2.05213,1.9442,2.5089,1.65685,2.16477,1.70254,0.920255,1.42753,2.25561,2.02826,0.476481,0.226905,0.0635867,0.174489,0.0941748,0.618477,0.308989,0.203494,0.332248,0.118398,0.307994,0.271226,0.171941,0.157189,0.114898,0.0483054,0.280119,0.141112,0.263849,0.0890171,0.123215,0.107706,0.113838,0.125187,0.0752364,0.160185,0.102959,0.154133,0.284906,0.193484,0.0948669,0.116268
298.774,0.997594,0.0923552,5,31,0,-282.437,0.0432184,0.374725,-0.122956,-0.470584,0.0614554,0.0454444,0.446187,0.812898,-0.34327,1.21974,0.298943,-0.137246,1.72296,-3.17697,0.470569,-0.490006,-0.701017,-0.0125312,-0.584882,0.0720764,0.746076,1.62505,1.67121,1.52741,-0.118699,0.440393,0.233376,1.36048,1.08233,0.0372077,0.605465,0.400305,1.80561,0.891345,0.437713,-0.14674,-0.230786,0.599342,0.501306,0.00866684,6.05379,0.167144,1.43771,0.689197,0.33462,1.84678,-2.13636,0.828712,0.047862,-0.123668,0.436,-0.0292624,0.504778,1.05267,1.76719,1.80471,1.68781,0.349697,0.804181,0.635898,1.55212,1.32601,0.476433,0.938369,0.771594,1.91396,1.17076,0.802003,0.326902,0.258581,0.933391,0.853698,0.453232,0.647224,1.41791,2.27067,1.11717,2.75224,-1.50677,2.35401,1.19914,0.447301,1.34146,0.876198,1.41024,1.3058,2.02004,1.97422,2.34745,0.648544,1.95546,1.38864,3.37941,2.6002,2.36518,2.58129,1.67705,2.53037,2.04048,2.38347,1.3136,0.699942,1.08918,2.17223,1.11287,0.343615,0.19499,0.0935816,0.246537,0.0599601,0.818582,0.0867474,0.231628,0.390003,0.20727,0.293966,0.196197,0.21319,0.117114,0.121936,0.0872684,0.343318,0.123959,0.199624,0.0329453,0.0691254,0.0858667,0.0703521,0.157486,0.0737561,0.115018,0.0844417,0.211886,0.331825,0.251773,0.102273,0.247336
300.705,0.981627,0.0923552,5,31,0,-275.404,0.322769,-0.122725,0.617863,0.359536,0.0201431,0.0361268,0.0936715,0.662958,-0.850642,0.0269422,0.860744,-0.191487,0.324351,-2.74433,-0.812966,-0.641208,-0.263621,1.01086,-1.39053,-0.7128,1.01735,1.49998,1.8119,2.06549,-0.858291,0.126393,-0.981022,0.691306,0.698764,0.010385,1.04151,0.11249,1.71794,-0.20887,0.137282,0.630877,-0.08157,0.431304,1.03113,0.361205,5.06189,-0.470269,0.111533,0.664309,-0.0332761,0.308703,-1.7257,-0.445291,-0.331423,-0.081098,0.763829,-0.828189,-0.378885,0.768131,1.0881,1.29489,1.46301,-0.47534,0.177465,-0.556705,0.551979,0.556923,0.100556,0.78415,0.168248,1.23259,-0.0448006,0.184684,0.511917,0.039594,0.379608,0.777265,0.333135,0.475953,0.66036,2.3898,1.43036,1.81262,-0.624405,1.33185,1.25307,0.937378,2.26775,0.675728,1.12503,1.58464,1.85368,2.18979,2.88635,0.428218,1.76196,0.606278,2.35804,2.1817,1.92676,2.52979,1.67217,2.2872,1.2329,1.91018,1.90434,0.998497,1.12598,2.57111,1.75648,0.383208,0.340659,0.0839537,0.193043,0.140322,0.65122,0.208854,0.22217,0.28143,0.0938296,0.337215,0.245079,0.170139,0.135441,0.100671,0.0528324,0.394552,0.146546,0.352909,0.0864285,0.101406,0.127109,0.0737963,0.158136,0.0921889,0.225674,0.128961,0.129618,0.269237,0.244904,0.0710208,0.147232
