# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b1_model
# start_datetime = 2022-04-23 08:29:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-3934fe92810.json
# init = 2 (Default)
# random
#   seed = 1602453411
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0849715
# Diagonal elements of inverse mass matrix:
# 0.0328892, 0.0661484, 0.080883, 0.0735004, 0.00028357, 0.000386152, 0.0377046, 0.0269636, 0.189001, 0.249274, 0.218909, 0.169524, 0.227536, 0.293495, 0.394735, 0.182199, 0.165162, 0.162263, 0.173814, 0.149609, 0.181235, 0.198952, 0.173886, 0.231582, 0.159431, 0.154027, 0.186593, 0.210546, 0.194284, 0.265151, 0.196152, 0.179738, 0.210747, 0.211217, 0.226941, 0.207193, 0.184306, 0.173292, 0.469816, 0.186502, 0.0081326
300.855,0.96928,0.0849715,5,31,0,-287.102,0.29442,0.333718,-0.366931,0.524509,0.0746508,0.0118341,0.00176163,0.861909,-0.796796,0.350931,0.168948,0.642404,0.896373,-3.36327,-0.236515,-0.0781649,-0.400026,0.655262,-0.615744,0.525406,-5.449e-05,0.851223,1.06191,2.26596,-0.699883,-0.0801368,-0.62811,0.932781,1.49738,-0.898655,0.230436,0.623769,1.32238,0.0968627,0.819846,0.329571,-0.581808,0.272966,1.67567,1.00556,6.2623,-0.685004,0.304232,0.14738,0.555455,0.774353,-2.89707,-0.202093,-0.0656094,-0.343024,0.566538,-0.528954,0.454614,0.00171467,0.735439,0.917035,1.95481,-0.601473,-0.0673089,-0.539612,0.805734,1.29236,-0.772797,0.200376,0.539394,1.14153,0.0852484,0.708394,0.285822,-0.499704,0.237034,1.44604,0.868467,0.627058,1.48612,2.21167,1.64928,2.01748,-1.56641,1.38215,1.47612,0.992706,1.80966,0.714173,1.69774,1.22621,1.98833,2.03843,2.89934,0.606463,1.47442,0.843454,3.16862,2.98339,1.66474,2.33931,1.78252,2.48909,1.48658,2.77268,1.70541,0.777876,1.43212,2.87477,1.81299,0.348178,0.184505,0.0987078,0.161206,0.11738,0.827271,0.200663,0.186014,0.270378,0.140679,0.328677,0.154761,0.226845,0.120434,0.115227,0.0521864,0.352867,0.186272,0.300808,0.0403637,0.0481817,0.159126,0.087919,0.143992,0.0766264,0.184436,0.0588185,0.15376,0.314778,0.192769,0.0534147,0.140277
305.759,0.950911,0.0849715,5,31,0,-279.987,0.437809,0.302045,0.0263087,-0.110766,0.0533813,0.0332142,0.11858,0.907145,-0.810304,0.377253,0.690227,-0.0835626,1.57659,-2.51431,-0.417195,-0.696619,-1.20379,0.676421,-0.569456,-0.521892,0.932209,1.29744,1.31042,1.71621,-0.612078,0.81256,-0.134035,0.315871,1.06276,0.443752,0.755469,0.769517,1.5195,0.50306,-0.539709,-0.00763049,-0.0905384,0.0194567,0.64345,0.0323793,5.57923,-0.616483,0.460802,0.744716,0.0427765,1.54877,-2.16226,-0.259876,-0.513355,-0.973433,0.732192,-0.397999,-0.354852,0.964229,1.29555,1.30732,1.67543,-0.436664,0.85569,-0.00300906,0.40512,1.08266,0.521127,0.8039,0.816644,1.49699,0.574928,-0.371014,0.111658,0.0364484,0.13623,0.702283,0.147953,0.404426,1.11636,2.67474,1.27885,2.8916,-1.0345,1.52496,1.043,0.113905,2.07502,0.944832,0.987979,1.81587,2.15039,2.08815,2.80473,0.444995,2.41205,1.21719,2.54867,2.74578,2.71806,2.78731,2.15947,2.61754,1.87916,1.55901,1.49993,1.02615,0.916241,2.32387,1.27726,0.400249,0.246688,0.0644803,0.217747,0.0525702,0.737788,0.178732,0.260571,0.471555,0.111548,0.279925,0.271311,0.13993,0.104295,0.110254,0.057069,0.390551,0.0822587,0.228432,0.0725158,0.0603256,0.0619161,0.058014,0.103449,0.0680182,0.132485,0.173789,0.182436,0.263832,0.285724,0.0891656,0.218017
311.738,0.999348,0.0849715,5,63,0,-293.562,0.240788,0.142522,-0.145047,0.351415,0.0612804,0.025703,0.0342208,0.718815,-0.818116,0.652613,0.531518,0.251286,1.0946,-2.7543,-0.00110265,-0.71202,-0.680229,0.672245,-0.572828,-0.628923,0.971429,0.939947,1.72771,1.62742,-0.428011,0.937579,0.0679025,0.631537,1.38914,-0.0696184,0.545147,0.866028,1.50243,0.495187,-0.131656,0.308807,0.0303455,0.25868,0.472169,0.24947,5.67955,-0.553853,0.503328,0.416284,0.214849,0.821036,-1.94561,0.0334282,-0.47759,-0.454738,0.517441,-0.377536,-0.417858,0.732498,0.709869,1.27612,1.20404,-0.27344,0.708166,0.0830301,0.488179,1.03275,-0.0158219,0.42608,0.656734,1.11419,0.390168,-0.0604157,0.256196,0.0560336,0.220164,0.373623,0.213543,0.476092,1.25054,2.39476,1.39668,2.12543,-0.825129,1.65454,1.07193,0.626613,1.82183,0.926858,0.886536,1.64245,1.6113,2.16269,2.26331,0.670738,2.25768,1.26719,2.71178,2.70483,2.26906,2.46584,1.96113,2.22124,1.64408,1.91806,1.57985,1.07125,1.07626,1.90767,1.27282,0.383175,0.222607,0.083573,0.198343,0.10665,0.695324,0.160496,0.255037,0.348279,0.139214,0.283563,0.291825,0.162132,0.166408,0.103151,0.0942076,0.338332,0.0946889,0.219738,0.0622819,0.062689,0.0937181,0.0782879,0.123345,0.0978591,0.161911,0.128078,0.170817,0.255165,0.254215,0.129242,0.218776
311.465,0.994619,0.0849715,6,95,0,-290.684,0.444725,0.288001,0.443052,-0.00510941,0.0494766,0.020965,0.304444,0.858791,-0.875735,-0.0667274,-0.322075,-0.526846,0.494745,-2.62604,-0.138476,-1.02082,-0.773459,-0.10217,-1.60395,-0.359349,0.305426,1.46128,0.970228,1.31612,-0.667691,-1.14221,-0.666835,0.270078,-0.190055,-0.853221,-0.0743286,-0.552399,1.82451,0.131407,-0.304169,-0.00177988,-0.400702,0.375291,0.331849,-0.150309,6.22256,-0.447629,0.247139,0.0278491,-0.148006,0.729327,-1.95078,0.185522,-0.572227,-0.359795,0.216701,-1.07301,-0.00416158,0.566741,1.55938,1.13767,1.43472,-0.268963,-0.676479,-0.268227,0.536385,0.141227,-0.428294,0.240611,-0.169951,1.87132,0.417295,0.0432264,0.302916,-0.0396748,0.62674,0.589433,0.17536,0.535836,0.999989,2.26643,1.44737,2.42366,-0.908252,1.65118,1.32001,0.6656,1.91103,0.621319,1.69017,1.43163,2.43802,1.92433,2.93115,0.603136,1.21576,0.841027,2.97287,2.13242,2.05766,2.52866,1.52438,2.91768,1.57457,2.2818,1.5082,0.914032,1.44474,1.91013,1.67179,0.369157,0.268944,0.0939421,0.190406,0.0813862,0.712642,0.160949,0.210816,0.339483,0.128865,0.349482,0.155753,0.192845,0.0803192,0.12738,0.0506352,0.353626,0.228683,0.301318,0.0486668,0.105985,0.11328,0.073873,0.178817,0.0512866,0.171567,0.0926413,0.181205,0.286175,0.190813,0.128966,0.158186
309.751,0.838271,0.0849715,5,31,0,-288.469,0.474396,0.3063,0.463987,-0.0239401,0.0464785,0.0232578,0.274736,0.858013,-0.78154,-0.137946,-0.196695,-0.69791,0.557018,-2.45325,-0.111398,-0.860331,-0.799106,-0.093171,-1.24512,-0.261935,0.243621,1.30717,0.976733,1.3476,-0.707834,-1.02744,-0.366718,0.266856,-0.396277,-0.885877,0.000860924,-0.449508,1.92927,0.135259,-0.366387,-0.0815865,-0.47095,0.344356,0.357321,-0.104214,6.1516,-0.395835,0.156376,0.105969,-0.324079,0.752664,-1.83018,0.179155,-0.463439,-0.410907,0.194794,-0.79359,0.0499925,0.483765,1.3963,1.11278,1.431,-0.332595,-0.606823,-0.0399131,0.503702,-0.065275,-0.485358,0.275475,-0.110948,1.93008,0.39079,-0.0396289,0.204734,-0.129345,0.570198,0.581321,0.185319,0.643593,0.939969,2.2783,1.24403,2.41373,-0.724096,1.75351,1.38354,0.675036,1.85586,0.86748,1.71106,1.39324,2.31944,1.94002,2.90615,0.586471,1.24016,1.13906,2.86195,1.87467,1.91937,2.49429,1.55012,3.03928,1.62371,2.1327,1.49161,0.878434,1.42788,2.00055,1.66048,0.344435,0.280907,0.092936,0.223735,0.0821314,0.673508,0.147605,0.20044,0.33737,0.135186,0.295779,0.153026,0.198891,0.0895254,0.125646,0.0518502,0.357445,0.224408,0.242493,0.0540669,0.133003,0.127932,0.0762597,0.175069,0.0456827,0.164693,0.105959,0.183681,0.293502,0.193429,0.119145,0.159698
300.375,0.998987,0.0849715,5,31,0,-286.524,0.67969,0.156997,0.121133,-0.203889,0.0404895,0.0249033,0.400649,0.730925,-0.8564,0.304968,0.377963,-0.40506,0.40587,-3.3708,-0.732447,-1.26223,-1.03404,-0.499092,-1.64756,0.276942,-0.163285,0.949172,1.21503,1.35626,-1.1177,-0.528181,-0.58165,0.19175,-0.0371925,-0.261293,1.07827,-0.386932,1.44854,-0.162695,-1.00559,0.414246,-0.427747,-0.163423,0.589881,-0.261106,5.96456,-0.225316,0.623558,0.676911,0.10458,0.69731,-2.06316,-0.134716,-0.521947,-0.355156,0.0358498,-0.803597,0.603073,0.281299,1.09442,1.28875,1.39197,-0.416305,0.0145879,-0.0244939,0.540804,0.373464,0.209663,1.18878,0.11783,1.45942,0.281731,-0.334364,0.703432,0.0879973,0.281198,0.831807,0.2098,0.695174,1.27011,2.6602,1.56151,2.23522,-1.05657,1.35855,1.17792,0.615141,1.57376,0.734308,2.14098,1.08325,1.8904,2.06153,2.76792,0.416527,1.71445,1.04542,2.68605,2.15431,2.3954,3.21256,1.65574,2.45462,1.41824,1.64893,1.90654,0.992265,1.03064,2.23258,1.58575,0.332883,0.219238,0.065363,0.173431,0.0966324,0.742035,0.204476,0.235427,0.350887,0.171682,0.32425,0.105177,0.252891,0.131199,0.112893,0.0590825,0.397348,0.152587,0.260106,0.0638014,0.103929,0.0835241,0.0386957,0.160335,0.0791014,0.194938,0.161254,0.12937,0.270465,0.26296,0.0968629,0.169983
