# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b2_model
# start_datetime = 2022-04-23 08:30:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39345f19602b.json
# init = 2 (Default)
# random
#   seed = 31388396
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0871107
# Diagonal elements of inverse mass matrix:
# 0.0316911, 0.0351228, 0.0726849, 0.102709, 0.0942832, 0.0892705, 0.0933777, 0.0939721, 0.0511926, 0.0641119, 0.0725661, 0.075796, 0.000175858, 0.0360365, 0.0231569, 0.198609, 0.235109, 0.222003, 0.187346, 0.181761, 0.287835, 0.312231, 0.212984, 0.256293, 0.188151, 0.213434, 0.191767, 0.200824, 0.247964, 0.203336, 0.199909, 0.199649, 0.197089, 0.192127, 0.270905, 0.199365, 0.246579, 0.214387, 0.203866, 0.272031, 0.304771, 0.228947, 0.250338, 0.195808, 0.241675, 0.284421, 0.179305, 0.00845655
301.707,0.983921,0.0871107,5,31,0,-285.441,0.4617,0.153303,0.337735,0.41958,-0.272604,0.0781402,0.177663,0.427254,-0.211105,-0.0426211,-0.133503,-0.0815824,0.0561669,0.00201004,0.872237,-0.691779,0.778282,-0.0222798,-0.127782,0.919381,-2.91723,-0.338857,-1.44162,-0.782114,-0.121474,-0.78413,-0.872126,1.50301,1.65515,0.834082,1.44082,-0.373426,-0.522375,-0.450365,0.417789,0.379112,-0.86854,-0.3263,0.00104224,1.79937,-0.0231368,-0.312345,-0.0295155,0.116181,0.0506003,0.398139,0.0734943,5.49059,-0.601385,0.680856,-0.0174232,-0.109446,0.803928,-2.54251,-0.293554,-1.25542,-0.680178,-0.103944,-0.681937,-0.758691,1.31299,1.44569,0.729527,1.25875,-0.323706,-0.453624,-0.390815,0.366421,0.332685,-0.755562,-0.2826,0.00291912,1.57149,-0.0181708,-0.270429,-0.0237345,0.103348,0.0461455,0.349281,0.0661145,0.433781,1.09819,2.48545,1.66326,2.68897,-1.12739,2.20194,0.854285,0.544923,1.78109,1.2031,1.12635,2.10501,2.36851,1.52491,2.91912,0.73065,1.65608,0.981353,3.09396,2.55472,2.02815,2.27644,1.88796,2.94364,1.6441,2.23245,1.83808,1.12267,0.800791,2.55412,1.72648,0.393224,0.25008,0.0768844,0.159325,0.0636276,0.755357,0.0995768,0.298535,0.367043,0.144168,0.230924,0.244836,0.108611,0.0856059,0.178739,0.0512166,0.325052,0.160289,0.272623,0.043357,0.0721097,0.116279,0.093093,0.131478,0.050038,0.161908,0.0968745,0.137279,0.245516,0.309856,0.0721503,0.151038
298.853,0.937891,0.0871107,5,31,0,-280.807,0.195937,0.00839526,0.40966,-0.490173,-0.185978,-0.0804178,-0.252001,-0.203311,0.235545,0.0667188,0.00908694,0.447616,0.0491028,-0.0812626,0.828135,-0.250167,1.01535,-0.123914,-0.701818,0.190904,-2.12883,-0.979586,-0.429788,-0.291741,0.74675,-1.48524,-0.372042,0.0900229,1.50285,1.92905,1.33984,-0.128598,-0.0294103,-0.225847,0.0528707,0.339888,-0.475727,0.853296,0.0587281,1.80284,0.338166,0.0216161,0.179395,-0.333041,1.33077,0.0379716,-0.358831,5.79122,-0.288435,0.759583,-0.18388,-0.662463,0.0768318,-1.84422,-0.892492,-0.437185,-0.322864,0.537147,-1.31124,-0.389364,-0.00671144,1.1633,1.51626,1.02831,-0.187759,-0.105618,-0.268295,-0.0374785,0.20021,-0.475229,0.625381,-0.0326277,1.41173,0.198784,-0.0633615,0.0673008,-0.357065,1.02079,-0.0498169,-0.378423,0.692309,1.2002,2.03389,0.916972,1.75447,-0.836615,1.04879,1.43687,0.529628,2.21479,0.366402,1.28828,0.776609,1.7297,2.34579,2.50954,0.523929,1.76843,1.00707,2.3767,2.17247,1.98806,2.89226,1.64501,2.37095,1.83309,2.15441,1.46758,0.622811,1.4793,2.00757,1.10281,0.33352,0.23144,0.11569,0.285575,0.147484,0.697752,0.259457,0.192031,0.370604,0.0984304,0.409411,0.216145,0.315051,0.150626,0.0874012,0.0751922,0.371934,0.145737,0.267554,0.0849664,0.10225,0.120463,0.0525377,0.161784,0.0854145,0.13787,0.10392,0.18731,0.349142,0.185533,0.11841,0.249214
301.245,0.982102,0.0871107,5,31,0,-270.295,0.158919,-0.231474,0.413792,-0.105219,-0.168357,-0.35659,-0.3458,-0.177754,0.443176,0.0640662,0.0799445,0.2191,0.0345574,0.140049,0.796759,-0.823025,0.757153,0.893,-0.452051,0.703481,-2.04554,-0.333208,-0.369362,-0.215492,0.28694,-1.26849,-0.525596,1.09975,1.49441,1.55747,1.28518,1.07286,-0.140142,-0.336997,0.34746,0.7022,-0.799745,0.442746,0.466911,1.75056,0.505857,-0.08956,0.562699,-0.108081,0.715886,0.0610428,-0.484622,5.16471,-0.515704,0.743317,0.851555,-0.220127,0.700554,-1.48976,-0.125437,-0.154244,-0.031646,0.368671,-0.870632,-0.278725,1.01628,1.33074,1.38098,1.16403,0.994861,0.0283894,-0.128456,0.416891,0.699533,-0.497156,0.492811,0.512064,1.53482,0.543096,0.0686911,0.588384,0.0539345,0.710438,0.188685,-0.246078,0.214766,1.09366,2.79125,1.27032,2.26012,-0.980235,1.02074,1.54355,0.404708,1.92824,0.688934,1.28084,1.63643,1.50931,2.1154,2.58537,1.33291,1.72618,0.809358,2.49482,2.46644,1.61533,2.46706,2.07163,1.98986,1.37246,2.00839,1.37835,0.808322,0.902223,1.77907,1.17526,0.446514,0.25093,0.0577988,0.219202,0.0944801,0.727155,0.264883,0.17602,0.400182,0.126946,0.33427,0.217407,0.162952,0.181041,0.107609,0.0700861,0.208678,0.151076,0.308027,0.0762223,0.0782444,0.16585,0.0781995,0.111885,0.120272,0.202222,0.118325,0.201274,0.308248,0.288594,0.144418,0.235906
304.199,0.998792,0.0871107,5,31,0,-278.576,0.0596179,0.00139914,0.38549,0.164422,0.00909109,0.344904,0.330331,0.348986,0.223357,-0.0797776,0.101567,0.249546,0.0500022,0.127487,0.808121,-0.632736,0.870939,0.891072,-0.283872,0.519047,-2.43614,-0.0869962,-0.387235,-0.126353,-0.304135,-0.803833,-0.345883,0.362092,2,1.44288,1.72272,-0.282045,0.146567,0.212592,0.851652,0.533134,0.0813067,0.780091,0.731949,2.02492,0.212858,-0.750797,0.563874,-0.0821194,0.539436,0.230058,0.555917,6.10059,-0.38384,0.831311,0.847582,-0.101916,0.54694,-1.84121,0.0571839,-0.185445,0.0253789,-0.11829,-0.522107,-0.152028,0.420102,1.74373,1.29351,1.51965,-0.100439,0.245931,0.299287,0.815725,0.558324,0.193193,0.757895,0.718991,1.76386,0.299502,-0.479248,0.583166,0.061125,0.563417,0.313402,0.576736,0.45068,1.11581,2.94139,1.34187,2.09073,-1.10994,1.73862,1.55835,0.838114,1.4255,1.02168,1.39176,1.05444,2.02511,1.97737,2.86343,0.330605,1.98973,1.43382,3.10954,2.40212,2.53701,2.90171,2.26278,2.44526,1.61016,1.61456,1.71443,0.895501,0.975942,2.24737,1.92051,0.389199,0.24679,0.050145,0.207203,0.110001,0.752117,0.149488,0.173884,0.301932,0.193801,0.2647,0.199127,0.258373,0.116592,0.121599,0.0539912,0.418093,0.120286,0.192504,0.0427153,0.0830109,0.0733038,0.0520692,0.094253,0.0797861,0.166567,0.165956,0.15259,0.289976,0.273698,0.0955768,0.127804
297.627,0.97702,0.0871107,5,31,0,-276.539,-0.10135,0.13395,0.667374,0.258669,0.157166,-0.127738,-0.0519663,-0.274145,0.232261,0.0238946,0.310933,0.22799,0.0550317,0.124731,0.72621,-0.469598,0.617086,-0.437891,0.139042,1.23248,-2.49546,-0.831843,-1.19969,-0.812235,1.19348,-1.12046,-0.543698,1.61555,1.36018,1.56402,1.48764,0.18399,-0.0816641,-0.916742,0.128141,0.749587,-0.858908,-0.13335,-0.371445,1.76794,-0.142666,0.952987,-0.0462907,-0.0186381,0.524111,0.468171,-0.520593,5.51782,-0.216295,0.572865,-0.19327,0.225704,1.01977,-1.6875,-0.479362,-0.746495,-0.465122,0.991445,-0.688957,-0.270108,1.29796,1.11251,1.26054,1.20507,0.258346,0.0654256,-0.541016,0.217788,0.669088,-0.499016,0.0278911,-0.145016,1.40862,0.0211253,0.816799,0.0911141,0.111196,0.505346,0.464721,-0.253328,0.665651,0.849462,2.05767,1.76124,2.66537,-0.805325,1.45995,1.11923,0.605559,2.63704,0.956638,1.37549,1.94363,1.51093,1.9151,2.63054,0.789568,1.93115,0.67112,2.68886,2.64487,2.02709,2.33387,1.50058,2.2473,1.38717,3.06774,1.41123,0.979301,1.11732,2.49969,1.17214,0.339471,0.299546,0.113279,0.146636,0.0650482,0.691112,0.188476,0.246155,0.353073,0.0667923,0.277552,0.201735,0.12525,0.180802,0.128408,0.0671988,0.312261,0.126624,0.338246,0.063634,0.0663057,0.116388,0.0883567,0.182339,0.0955828,0.199861,0.0444576,0.19604,0.273031,0.246509,0.0758796,0.236468
291.685,0.908107,0.0871107,6,63,0,-266.887,0.5989,-0.124472,-0.457462,-0.0532996,0.536502,-0.466378,0.496476,0.67816,0.094936,-0.248286,-0.440802,-0.262424,0.0620644,0.0947665,0.787461,-0.87552,0.545235,-0.466961,-0.191726,0.61256,-2.74382,-1.08377,-1.44153,-0.637552,0.197518,-1.31406,-0.662889,1.34673,1.57231,0.912707,1.80716,-0.128835,-0.295516,-1.30624,-0.0626284,0.413472,-1.22885,-0.803688,0.0990855,1.89371,1.11709,0.106952,-0.229685,-0.421179,1.18688,-0.31655,-0.481757,5.92531,-0.594671,0.524117,-0.272947,-0.0562106,0.577133,-2.06588,-0.758659,-1.04038,-0.40728,0.250304,-0.940008,-0.427232,1.15527,1.3329,0.813487,1.51784,-0.00668638,-0.137941,-0.933844,0.0454491,0.42036,-0.872906,-0.538106,0.172792,1.58599,0.974431,0.178987,-0.0861015,-0.236895,1.02939,-0.154504,-0.284598,0.646495,1.08258,2.03846,1.44836,2.20584,-0.908962,1.56677,0.836581,0.422277,1.87901,0.688694,1.20147,2.16318,1.92052,1.92634,2.89828,0.797139,1.73902,0.679709,2.60512,2.42145,1.74883,1.83537,1.80149,2.67013,2.42325,2.4904,1.56948,1.01713,1.37958,2.50567,1.09585,0.34378,0.253019,0.115223,0.190254,0.0992277,0.712788,0.172678,0.302255,0.395972,0.132503,0.334324,0.231214,0.103106,0.127803,0.127157,0.0522387,0.310638,0.149438,0.336326,0.0688098,0.0815517,0.148195,0.1376,0.141669,0.0647593,0.081417,0.0765341,0.172291,0.265586,0.201077,0.0754618,0.250519
