# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b2_model
# start_datetime = 2022-04-23 08:30:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39345f19602b.json
# init = 2 (Default)
# random
#   seed = 31388396
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0931858
# Diagonal elements of inverse mass matrix:
# 0.0286132, 0.0312314, 0.0695002, 0.089935, 0.0872716, 0.090989, 0.0892873, 0.0910014, 0.0540283, 0.0669921, 0.0843011, 0.0769157, 0.000193012, 0.0290799, 0.024863, 0.206125, 0.241405, 0.222691, 0.149481, 0.187348, 0.322151, 0.381207, 0.18069, 0.301581, 0.187632, 0.157915, 0.186236, 0.189965, 0.247872, 0.221127, 0.225818, 0.220932, 0.171764, 0.200684, 0.258766, 0.204519, 0.238608, 0.237988, 0.177205, 0.274564, 0.296041, 0.226148, 0.256275, 0.194453, 0.279669, 0.322316, 0.191846, 0.00739168
297.629,0.924696,0.0931858,5,63,0,-270.688,-0.0125793,-0.0979165,0.427809,-0.0339144,-0.316638,0.0411407,0.11486,-0.149309,0.274614,0.0256102,-0.0481524,0.057442,0.0330497,0.380081,0.68608,-0.46036,1.10512,0.722858,0.0464671,0.528332,-2.73646,0.346929,-1.32401,0.379796,0.662222,-1.83425,-0.375194,0.868485,1.91634,1.1598,1.04002,-0.594063,0.135668,-0.0297325,0.5633,0.38757,-0.327381,0.370392,0.0315726,2.77756,0.985928,-0.798946,0.665073,-0.774925,0.97633,1.27562,-0.473104,5.51264,0.0642366,1.13828,0.87602,0.411961,0.742559,-1.49735,0.618102,-0.528297,0.640651,0.834418,-0.878365,0.122668,0.975931,1.69485,1.1758,1.09362,-0.0274943,0.47316,0.359682,0.76655,0.645985,0.155471,0.634199,0.401742,2.28571,1.05651,-0.16806,0.836374,-0.15158,1.04992,1.25526,0.0554933,0.583322,1.29382,2.47774,1.58404,1.98073,-1.08664,1.64833,0.842078,0.90307,2.07259,0.359811,1.36084,1.37462,1.79968,1.64126,2.19959,0.200096,1.84353,1.07707,2.50047,2.08246,1.92244,2.26897,1.63992,2.65494,1.66093,1.43366,1.51317,0.377623,1.06143,2.5436,1.16147,0.358168,0.215207,0.0774333,0.170224,0.121241,0.747748,0.161335,0.301097,0.28842,0.111789,0.411005,0.204103,0.201874,0.14189,0.162293,0.0997871,0.450142,0.136634,0.254062,0.0758251,0.110813,0.127589,0.0937255,0.162476,0.0656851,0.159638,0.192529,0.180469,0.4067,0.257036,0.0728579,0.2384
296.781,0.96497,0.0931858,5,31,0,-273.635,0.0584923,-0.179894,0.642293,0.23411,0.0963192,0.0216309,0.469054,-0.499284,0.286402,0.313932,-0.331452,-0.00370292,0.0290573,0.39786,0.659587,-0.646995,0.682118,0.257078,-0.0728602,0.609723,-3.01691,-0.676279,-0.764446,0.0925727,0.534763,-1.37317,-0.438901,0.767142,1.39125,1.24885,1.2235,-0.0412358,-0.133035,0.195865,0.438995,0.101601,0.0231926,0.0682354,-0.0334043,2.717,1.02164,-0.561515,0.778641,-0.201058,1.32501,1.57562,-0.919821,6.35389,-0.0288893,0.847776,0.567426,0.349803,0.800025,-1.59205,-0.0482045,-0.106358,0.45892,0.750583,-0.507862,0.108367,0.903857,1.31551,1.22158,1.20486,0.370662,0.310112,0.527051,0.687415,0.464875,0.413158,0.442867,0.375827,2.18996,1.07172,0.0274923,0.911442,0.265245,1.27182,1.43712,-0.208841,0.439979,0.997014,2.4032,1.80783,2.31617,-0.963936,1.11651,1.52602,0.368049,2.26673,1.00828,1.62451,1.27818,1.66662,1.68693,2.60478,0.852317,1.94249,1.17026,2.63942,2.15536,2.39422,2.3077,1.89197,2.77353,1.52129,1.86327,1.77512,0.752702,0.973271,2.62269,1.19108,0.391746,0.269529,0.0829289,0.1409,0.0897925,0.723909,0.246659,0.178577,0.409013,0.0939162,0.267316,0.164583,0.21786,0.158875,0.156181,0.0688315,0.298947,0.125375,0.236808,0.0666441,0.103831,0.0836145,0.0904872,0.13102,0.0587716,0.179271,0.134323,0.144907,0.320233,0.274229,0.0676921,0.233067
296.051,0.852053,0.0931858,6,63,0,-262.544,0.179621,0.0809957,0.141109,-0.161665,-0.156491,-0.152323,-0.50436,0.472298,0.23675,0.166599,-0.0276243,0.11907,0.0586569,0.00974258,0.608656,-0.635058,0.785792,0.677229,-0.285382,1.51766,-3.36977,-0.98495,-0.859388,-0.892798,0.32436,-0.62773,-0.615661,1.04179,2.42266,1.8698,2.39333,-0.903899,0.120865,-1.21575,0.990401,1.64847,-0.648986,0.951529,0.75174,1.17938,0.124149,0.578708,-0.266938,-0.264749,0.837888,-0.478889,1.22514,5.60944,-0.376789,0.48802,0.421942,-0.163957,0.933476,-2.04129,-0.589753,-0.513329,-0.533664,0.207166,-0.372329,-0.364983,0.643831,1.48431,1.14781,1.46645,-0.540421,0.0833076,-0.730229,0.612556,1.01309,-0.385266,0.588896,0.467293,0.727578,0.0853069,0.361977,-0.152731,-0.151398,0.519728,-0.281736,0.755431,0.772899,0.992482,2.59906,1.25062,2.46537,-0.734098,1.83889,1.25319,0.468964,1.73906,1.15956,1.16691,1.54913,2.27056,2.08387,2.76372,0.402275,1.84983,0.771401,3.0243,2.89693,2.08514,2.82467,1.99919,1.98309,1.64104,2.5391,1.62232,0.989921,1.04194,2.12353,2.0527,0.315852,0.270422,0.0691989,0.222592,0.0783219,0.675704,0.137182,0.222148,0.384861,0.149432,0.238746,0.237414,0.175212,0.0935905,0.110675,0.0593165,0.400766,0.135893,0.316176,0.04634,0.0523056,0.11055,0.0560054,0.119288,0.12099,0.162323,0.0731625,0.164885,0.270928,0.260775,0.10683,0.11378
290.258,0.985036,0.0931858,5,31,0,-269.348,0.122415,0.294674,0.301108,-0.154959,0.137487,-0.199979,0.430809,-0.700963,-0.0172745,0.0734257,-0.498987,-0.346814,0.0474425,0.369819,0.60415,-1.65873,0.424801,-0.663247,0.423569,1.50025,-3.82606,-1.51712,-0.994228,-0.531005,0.367708,-0.99297,-0.512931,0.625165,0.862885,1.02358,1.5726,-0.706256,0.644173,-0.722353,0.31621,0.398036,-0.152942,-0.163109,0.497237,2.01489,0.203984,-0.681635,0.0283777,-0.920388,1.06614,0.240418,0.0696612,6.36187,-0.632305,0.626462,-0.0308819,0.625718,1.27619,-1.9417,-0.54675,-0.230844,0.0490117,0.591969,-0.230084,0.0599316,0.747512,0.891131,0.988214,1.31991,-0.0568658,0.758996,-0.0665909,0.560857,0.610292,0.277418,0.271276,0.670224,1.58711,0.493056,-0.0419914,0.386963,-0.186234,1.01393,0.515067,0.411904,0.315196,1.0521,1.66979,1.70963,2.45499,-0.739098,1.58263,1.13773,0.609686,1.77077,0.948715,1.23873,1.46972,1.69212,1.65637,2.30893,0.815406,2.12757,1.16557,2.45129,2.07375,2.2153,2.01939,1.84902,2.76764,1.52278,1.65868,1.96403,0.73082,1.15447,2.37944,1.40093,0.421847,0.258823,0.158453,0.153211,0.0790741,0.676799,0.170423,0.242738,0.352131,0.145447,0.279143,0.224657,0.186985,0.155497,0.160249,0.0903857,0.30674,0.106446,0.237657,0.0793439,0.111675,0.0983851,0.117183,0.135988,0.0590979,0.179053,0.15994,0.123032,0.325015,0.239674,0.0847541,0.197668
290.906,0.996678,0.0931858,6,127,0,-261.417,0.238642,0.142761,0.180967,-0.199094,-0.125519,-0.183313,-0.259823,0.346323,-0.0454116,0.379557,0.563808,-0.506832,0.0521636,0.00079059,0.687568,-0.322395,0.855543,1.37055,-0.508649,0.404107,-2.59331,-1.08113,-0.587093,-0.907852,0.36275,-1.19844,-0.453844,0.657041,1.59691,1.81985,1.93055,-0.99451,-0.513558,-0.685537,0.96101,1.1081,-0.682042,0.910367,0.419979,0.783462,1.37441,0.442716,-0.836932,-0.00916377,-0.202666,-0.245954,0.557323,5.58073,-0.220878,0.589035,0.943135,-0.34894,0.278642,-1.78229,-0.742562,-0.402876,-0.623419,0.250206,-0.823218,-0.311258,0.452551,1.09877,1.25206,1.32817,-0.683002,-0.352315,-0.470563,0.66155,0.762687,-0.46816,0.62673,0.289554,0.539474,0.945789,0.305188,-0.574657,-0.00551012,-0.138556,-0.16832,0.383988,0.701422,0.937535,2.94439,0.97419,1.7061,-0.238656,1.80447,1.23324,1.01243,1.67766,0.604239,1.1162,1.14899,2.18522,1.95149,2.54698,0.525519,1.2838,0.764719,2.87146,2.50313,1.79391,2.68015,1.71701,2.04323,1.86877,2.30644,1.38382,0.902039,1.06031,1.84012,1.60279,0.331497,0.281399,0.0500022,0.274046,0.15367,0.559382,0.141308,0.225616,0.266505,0.157405,0.353374,0.246717,0.240674,0.101085,0.124391,0.0726299,0.371563,0.216905,0.317623,0.0535825,0.0756393,0.142593,0.0641549,0.152256,0.114738,0.133685,0.0905906,0.200396,0.288632,0.257249,0.137038,0.167592
297.72,0.999876,0.0931858,6,63,0,-270.924,0.233383,0.0513758,0.190368,-0.266136,-0.184728,-0.113705,-0.234916,-0.561099,0.0855189,-0.0235042,0.359822,0.294888,0.0513259,-0.0873643,0.634855,-0.790227,0.924418,-0.000389777,0.501297,1.90456,-3.11635,-0.316357,-0.464937,-1.27439,0.819418,-0.169755,-0.00252918,0.909584,1.91012,1.32547,2.06863,0.11953,0.675911,-0.156959,0.788518,0.857883,0.336184,0.339703,0.628811,2.70438,0.211878,-0.102081,0.750521,-0.273038,0.676627,0.906927,0.632337,6.23775,-0.589044,0.499507,-0.0876117,0.230886,1.12176,-2.06579,-0.288205,-0.382532,-0.896417,0.432847,-0.195134,-0.0889699,0.490089,1.12528,0.754114,1.22591,-0.01148,0.341741,-0.18701,0.41323,0.457267,0.126064,0.128298,0.311839,1.62952,0.0471474,-0.152171,0.389107,-0.260704,0.342196,0.488402,0.314078,0.35032,0.874285,1.9796,1.63086,2.62438,-1.03457,1.72263,1.3254,0.419902,1.93547,1.30749,1.41366,1.21796,1.69899,1.51561,2.52324,0.703822,2.04967,1.06031,2.68575,2.26785,2.44991,2.24684,1.81447,2.61384,1.65516,1.91504,1.83005,0.673351,1.24083,2.53482,1.6114,0.413305,0.294363,0.121361,0.163712,0.0675855,0.737802,0.151533,0.209921,0.39654,0.126146,0.212907,0.195658,0.228296,0.154597,0.180109,0.0742452,0.330965,0.114086,0.25725,0.0638197,0.0938209,0.0794454,0.0956227,0.140099,0.068253,0.160413,0.128416,0.138232,0.337747,0.224292,0.0734531,0.166394
