# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b3_model
# start_datetime = 2022-04-23 08:31:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39345a644f3e.json
# init = 2 (Default)
# random
#   seed = 1095874083
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0925204
# Diagonal elements of inverse mass matrix:
# 0.0306526, 0.0580717, 0.0853468, 0.0886938, 0.0940884, 0.0926755, 0.100646, 0.0854216, 0.0567314, 0.0530347, 0.071474, 0.0833104, 0.000309255, 0.000417536, 0.0288197, 0.0250451, 0.185239, 0.26714, 0.202422, 0.164119, 0.158582, 0.267176, 0.418771, 0.15757, 0.272335, 0.165718, 0.171742, 0.157982, 0.22138, 0.27101, 0.226912, 0.223914, 0.186694, 0.188212, 0.244146, 0.246836, 0.180927, 0.227187, 0.193152, 0.186009, 0.224607, 0.290872, 0.213827, 0.245172, 0.21425, 0.220615, 0.570741, 0.15457, 0.00783538
297.373,0.968469,0.0925204,5,63,0,-276.71,0.0312879,0.000580222,0.500973,0.0454824,0.128401,-0.319893,-0.43031,0.330143,0.64447,0.176394,0.0685162,0.0494739,0.050663,0.0425817,0.0394166,0.712939,-0.470519,0.266097,0.524498,-0.22271,1.22904,-1.90267,0.258247,-0.907127,-0.170595,0.216972,-1.13866,-0.0269922,0.46669,2.13115,0.999074,1.64281,0.163073,0.298817,-0.938644,0.352309,0.800338,-1.25834,0.492183,-0.0325582,2.36035,1.02243,-0.747796,0.360364,-1.08238,1.1616,-0.509092,-0.0196888,6.61451,-0.296035,0.229128,0.413351,-0.119362,0.915649,-1.31707,0.223531,-0.607309,-0.0822072,0.194104,-0.77238,0.0201729,0.372138,1.5588,0.751695,1.21064,0.155678,0.252455,-0.629779,0.290592,0.610008,-0.857699,0.390313,0.0162046,1.7222,0.768348,-0.493716,0.296334,-0.732257,0.867565,-0.323535,0.0253797,0.848753,0.905516,2.61692,1.42559,2.56193,-0.47008,1.87962,1.24162,0.57179,1.84038,0.873898,1.66645,1.34653,2.0226,1.76847,2.65426,0.747087,2.10138,0.770499,2.69681,2.56026,1.59919,2.64455,1.66248,2.52666,1.70135,1.70985,1.48397,0.412471,1.18083,1.7578,1.46901,0.299694,0.287918,0.0680573,0.193787,0.0716293,0.615403,0.132432,0.224154,0.360824,0.137006,0.294444,0.158898,0.206438,0.116851,0.145733,0.0657266,0.321456,0.108962,0.316371,0.0631616,0.07174,0.168095,0.066326,0.159429,0.0740102,0.15429,0.153183,0.184829,0.39832,0.234903,0.147066,0.187094
293.293,0.663384,0.0925204,6,63,0,-263.188,-0.216112,0.293865,0.575512,0.310354,-0.209961,-0.4118,-0.43339,-0.00548397,0.74334,0.0734333,0.25973,0.0425851,0.0748354,0.0483085,0.0985437,0.76593,-0.870583,0.821937,0.287787,-0.483968,0.900631,-2.51895,-0.961603,-1.30124,-0.48166,-0.0583333,-1.61847,-0.0554449,0.504374,1.5024,1.29444,2.15776,-0.0601621,-0.284385,-0.818887,-0.130639,1.09578,-0.589234,0.563246,0.754878,1.6944,1.34574,-0.175357,0.515136,-0.743578,0.511067,0.532107,-0.540767,6.32822,-0.568262,0.72809,0.318969,-0.272142,0.788364,-1.8308,-0.637977,-0.898118,-0.270375,0.0538645,-1.1411,0.0560768,0.484859,1.24928,1.08999,1.75124,0.0524638,-0.119275,-0.528667,-0.00151675,0.937834,-0.352769,0.529951,0.676728,1.39633,1.12928,-0.0357678,0.493102,-0.470985,0.489986,0.506101,-0.315646,0.809972,1.57493,2.86027,1.2963,2.50647,-0.954541,1.18144,1.11933,0.720866,1.77198,0.577016,1.77419,1.63443,1.71606,2.18666,3.17001,0.593324,1.89818,1.13942,2.83912,3.10496,2.56271,3.14609,2.39484,2.24958,2.22636,2.50553,1.75077,0.876884,1.05427,2.8206,1.10312,0.307897,0.171515,0.054153,0.214789,0.0754055,0.722028,0.234792,0.246135,0.327202,0.145297,0.35962,0.145022,0.163224,0.152379,0.100955,0.0403101,0.355872,0.130315,0.242427,0.0552462,0.0429032,0.0715774,0.0412458,0.0835671,0.0953853,0.0974084,0.0754713,0.14795,0.293824,0.258405,0.0562209,0.249155
294.168,0.99942,0.0925204,5,63,0,-267.561,0.287812,-0.0938666,0.0528883,-0.241728,0.170339,-0.111784,-0.176977,0.446121,0.188846,0.34429,0.255585,-0.625393,0.054847,0.0463102,-0.0235293,0.655372,0.162021,1.09527,-0.0955447,-0.282469,1.18104,-3.45498,-0.516616,-1.0569,-1.23053,0.409971,-1.01097,-1.22037,1.60187,2.33154,1.94444,1.71791,-0.288794,-0.122184,-0.179447,0.669128,0.230811,-1.5515,0.160878,-0.240422,1.97595,1.4269,0.401617,0.0257841,0.342839,1.18677,0.0983151,0.880903,5.39362,0.0826547,0.694278,-0.0861466,-0.208651,0.750489,-2.28783,-0.362105,-0.716193,-0.829984,0.245154,-0.686089,-0.823329,1.02629,1.5045,1.2508,1.10234,-0.212797,-0.103605,-0.141134,0.414999,0.127738,-1.04034,0.0819059,-0.181095,1.27146,0.911618,0.239679,-0.00663114,0.201158,0.754243,0.0409036,0.55379,0.966633,1.06884,2.15639,1.32087,2.38971,-1.05508,1.74245,1.14242,0.213355,1.88437,0.953131,0.815892,1.73634,2.31237,2.03949,2.52217,0.756637,1.755,1.02071,2.87692,2.09604,1.47643,2.37929,1.45812,2.44981,1.403,2.48222,1.59821,1.09484,1.44003,1.98412,1.97362,0.275552,0.255623,0.103736,0.210673,0.0839608,0.741749,0.149002,0.241877,0.446863,0.131887,0.278256,0.306636,0.149778,0.0901035,0.115118,0.0743184,0.319377,0.147417,0.26489,0.0533062,0.109482,0.185967,0.0847657,0.188754,0.0794525,0.197341,0.0771143,0.168231,0.250709,0.19154,0.12088,0.122
299.591,0.994508,0.0925204,6,63,0,-277.764,0.15322,0.450727,0.118487,0.259656,-0.171873,0.112651,0.195393,-0.468132,0.290388,-0.212023,-0.345066,0.652065,0.0766044,0.0146132,0.348867,0.75752,-1.12333,0.140299,-0.232825,-0.202392,0.56588,-2.26733,0.544817,-0.813457,0.0532725,0.164751,-1.35953,-0.165417,0.20661,1.55292,1.28068,1.85508,-0.144445,-0.527732,-0.0460813,-0.392492,0.728624,-0.577864,-0.255661,0.404333,2.28417,-0.876462,-1.11244,1.23795,-0.578564,0.266457,0.44037,-0.565178,6.7384,-0.502082,0.455146,0.172497,0.195551,0.777533,-1.36868,0.761577,-0.267344,0.389222,0.473669,-0.681008,0.22356,0.505378,1.52523,1.31901,1.75413,0.239447,-0.0509009,0.313959,0.0515461,0.900814,-0.0888774,0.155198,0.655157,2.07917,-0.315071,-0.493826,1.28664,-0.0894071,0.550713,0.682456,-0.0792674,0.592491,1.38897,2.53093,1.55812,2.29332,-0.756875,1.68984,1.55486,0.877566,1.98945,0.834775,1.73934,1.48716,2.04433,2.16017,2.96349,0.693714,1.7713,1.49621,2.7164,2.87622,2.65258,2.59023,2.17094,2.71517,1.24941,1.86461,2.00759,0.958594,0.860056,1.90447,1.1301,0.356064,0.199572,0.0737183,0.173916,0.0916781,0.680675,0.155796,0.174386,0.293682,0.120315,0.302636,0.149396,0.184348,0.114627,0.103385,0.0491027,0.333207,0.145381,0.182991,0.0620128,0.0533415,0.0658304,0.0697696,0.102391,0.0620841,0.222802,0.134167,0.118409,0.27716,0.297328,0.129603,0.244143
294.079,0.900306,0.0925204,6,63,0,-268.779,0.291845,0.034997,0.199028,-0.441864,0.415416,-0.290566,-0.228804,0.48479,0.0151654,0.561754,0.524063,-0.71313,0.0621938,0.030517,0.14007,0.826088,-0.726837,0.782985,-0.349364,-1.01961,0.896155,-3.58098,-0.946855,-1.26718,-0.0691938,-0.381989,-1.44625,-1.11354,0.903156,0.366497,1.52522,1.16935,-1.15373,-0.657577,0.153473,-0.56457,0.280188,-1.16046,-0.371483,-0.299666,1.44725,1.66906,-0.404534,-0.213039,0.250465,-0.155145,0.457988,-0.0651639,5.71428,-0.460361,0.786884,-0.148535,-0.702219,0.880372,-2.81813,-0.642115,-0.906728,0.0829097,-0.175486,-1.05466,-0.779808,0.886156,0.442829,1.40003,1.10606,-0.813009,-0.403146,0.266852,-0.326314,0.37153,-0.818573,-0.166808,-0.10748,1.33563,1.51886,-0.194111,-0.0359186,0.346976,0.0119066,0.518408,0.0862387,0.2204,1.13196,2.36047,0.998271,2.70525,-1.47173,1.28713,1.16692,1.3336,1.64939,0.770217,1.04507,1.44063,1.51759,1.97297,2.68216,0.34487,1.67051,1.13071,2.43147,2.56957,2.0014,2.40439,1.7174,2.65453,1.74417,2.3149,1.55402,1.02412,1.01364,1.85548,1.66234,0.445122,0.2438,0.0862369,0.269282,0.0626643,0.81332,0.21634,0.237411,0.208564,0.161191,0.316432,0.260173,0.191448,0.179816,0.12207,0.0640344,0.414627,0.158357,0.244029,0.0808042,0.0711227,0.119056,0.0828382,0.152207,0.0657105,0.148784,0.0898966,0.174507,0.264226,0.266268,0.135231,0.159448
291.768,0.994848,0.0925204,5,63,0,-270.921,0.368431,0.110471,0.238984,-0.332853,0.354039,-0.268732,-0.361091,0.476037,-0.00318455,0.468968,0.555423,-0.73986,0.0662446,0.0386261,0.10671,0.821743,-0.842994,1.11349,-0.316518,-1.0494,0.642427,-3.54222,-0.935324,-1.24467,-0.368296,-0.614382,-1.29417,-1.05926,0.767332,0.397975,1.34541,1.02666,-1.0552,-0.859508,0.169979,-0.713372,0.339462,-0.737958,-0.487363,-0.0495362,1.70131,1.43568,-0.565613,-0.134356,0.255658,-0.253255,0.621541,0.176563,5.7241,-0.586014,1.02172,-0.153386,-0.755626,0.634619,-2.80409,-0.661885,-0.916086,-0.195935,-0.398154,-0.956764,-0.76373,0.737259,0.433743,1.21229,0.950361,-0.76039,-0.599585,0.246389,-0.479498,0.38566,-0.499702,-0.293777,0.0660038,1.50475,1.28647,-0.358079,-0.00369624,0.316795,-0.1014,0.617456,0.251799,0.324269,1.50711,2.53196,1.06854,2.59127,-1.27666,1.60895,1.30555,1.35021,1.5585,0.999891,1.19293,1.47972,1.62305,1.95533,2.64204,0.518159,1.62205,1.38843,2.47083,2.73978,2.51687,2.45781,2.02266,3.00306,1.802,2.32727,1.83084,1.21566,1.12051,2.32995,1.94348,0.419636,0.181367,0.0736479,0.255681,0.0697021,0.78188,0.166734,0.213233,0.205836,0.173862,0.268963,0.232736,0.18547,0.164785,0.123973,0.0664815,0.373283,0.164923,0.199659,0.0779289,0.0606663,0.0746842,0.0788691,0.116844,0.0472876,0.141607,0.0888898,0.138139,0.2287,0.245916,0.0886725,0.125266
