# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b3_model
# start_datetime = 2022-04-23 08:31:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39345a644f3e.json
# init = 2 (Default)
# random
#   seed = 1095874083
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0800917
# Diagonal elements of inverse mass matrix:
# 0.0358276, 0.0516715, 0.0798117, 0.0995194, 0.0937567, 0.0902695, 0.102312, 0.101023, 0.0618177, 0.0581112, 0.0714234, 0.0741326, 0.000316913, 0.000383751, 0.0343401, 0.0254447, 0.215961, 0.248083, 0.223452, 0.153988, 0.163439, 0.315398, 0.428834, 0.223884, 0.215576, 0.188403, 0.18254, 0.167459, 0.204527, 0.25909, 0.218664, 0.233146, 0.189413, 0.192257, 0.215788, 0.30398, 0.189031, 0.306171, 0.268209, 0.172117, 0.258833, 0.279497, 0.240271, 0.253639, 0.216021, 0.238367, 0.481882, 0.169642, 0.00718675
298.021,0.929386,0.0800917,6,63,0,-279.2,0.331707,0.057718,-0.0409955,0.219161,0.200686,-0.248617,-0.560214,-0.394775,-0.319137,-0.655707,-0.323109,-0.407539,0.0562997,0.0668886,0.00905308,0.86467,-0.780363,1.45401,0.686692,-0.246611,0.920252,-1.53569,-0.942015,-0.221225,-0.37998,0.118031,-0.38864,-0.294244,0.98319,2.40717,1.80339,1.5914,0.441944,0.00772363,-0.301711,0.866971,0.686191,-0.574304,1.19315,0.353379,2.63106,0.521251,-0.60952,0.53155,-0.00760611,0.776848,-0.531244,0.120178,5.80915,-0.665704,1.2663,0.602815,-0.204184,0.804767,-1.31881,-0.805479,-0.182233,-0.319504,0.111111,-0.326992,-0.245371,0.859188,2.09046,1.56839,1.38509,0.391189,0.0157315,-0.251827,0.758697,0.602382,-0.48753,1.04073,0.314609,2.28405,0.459763,-0.517981,0.468669,0.0024763,0.68077,-0.450298,0.112967,0.145416,1.34164,2.69492,1.15602,2.27757,-0.581679,1.20751,1.51577,0.621421,1.58392,1.14581,1.22743,1.3958,2.23056,2.15201,2.63269,0.718047,1.71373,0.960624,3.076,2.41298,1.88607,3.18913,1.78741,2.95927,1.7815,1.57412,1.73992,0.807632,1.07864,1.80752,1.36057,0.46371,0.20724,0.0632741,0.239391,0.0929976,0.641454,0.230142,0.180085,0.349458,0.170242,0.241255,0.226631,0.198484,0.0970392,0.104144,0.0670638,0.327823,0.15268,0.276753,0.0441083,0.082188,0.131693,0.0395767,0.14339,0.0493004,0.144118,0.17163,0.149323,0.308395,0.253764,0.140938,0.204147
293.885,0.954731,0.0800917,6,63,0,-270.913,-0.229086,0.155976,-0.452142,-0.18648,-0.22611,0.21872,0.577719,0.386389,0.420247,0.142214,0.539886,0.453469,0.0948099,0.0703583,-0.0769304,0.794971,-0.068848,0.940822,0.276731,0.976175,1.28475,-1.93668,-1.60047,-0.045716,-0.302422,1.23824,-0.858256,-0.0748909,0.606209,2.29432,1.49573,2.00331,0.369227,0.179973,-0.645448,0.323134,0.755403,-0.37573,0.361431,0.74072,1.64804,0.0249839,0.636802,0.365472,0.446179,0.39355,-0.0077477,0.873598,5.96432,-0.131663,0.670995,0.143063,0.6991,0.944412,-1.61654,-1.34926,-0.113273,-0.317347,0.907433,-0.759219,-0.136466,0.404988,1.74699,1.11213,1.51564,0.216594,0.0661425,-0.590043,0.179952,0.523592,-0.375625,0.210396,0.51192,1.23321,-0.0570689,0.429308,0.213609,0.277769,0.23593,-0.0830896,0.617555,1.00308,1.0318,2.43787,1.76138,2.19632,-0.491822,1.1257,1.51787,1.07775,2.15934,0.492684,1.11544,1.2395,2.2519,1.96328,2.38831,0.894984,1.69729,0.966851,2.854,2.34435,2.39324,2.60002,1.76382,2.301,1.73606,2.72412,1.8985,1.3964,1.04667,2.53238,1.49022,0.268336,0.262736,0.0803298,0.146617,0.100082,0.620536,0.244956,0.179775,0.253932,0.103462,0.379261,0.246859,0.224524,0.0951853,0.123113,0.0840687,0.290082,0.15482,0.275509,0.0544748,0.0875155,0.0836899,0.0691372,0.146312,0.0910404,0.149814,0.061565,0.130278,0.198389,0.259864,0.0736189,0.183889
299.642,0.891755,0.0800917,6,63,0,-269.004,-0.383074,-0.164732,-0.37079,-0.0166505,0.00228037,0.292866,0.275749,-0.343358,0.361572,0.291526,0.287122,-0.0883923,0.0780103,0.0682668,0.0520897,0.903629,-0.61678,1.819,0.101954,1.12722,0.969282,-2.10545,-0.402582,-0.582245,-0.139069,1.39614,-0.501482,0.524009,1.5772,1.66568,1.60209,2.05425,0.146406,0.625855,-0.0716615,0.600666,1.22527,-0.992911,0.256651,0.780746,2.05358,0.877927,0.125419,0.0975999,0.207446,1.13299,-0.0567174,0.691609,5.62254,-0.50525,1.69579,0.144218,1.07068,0.92796,-1.85046,-0.311695,-0.474044,-0.0735767,1.31368,-0.401063,0.525599,1.47729,1.55725,1.49978,1.90837,0.184387,0.617631,-0.0126656,0.594869,1.15928,-0.845133,0.284007,0.757594,1.90776,0.84541,0.165422,0.140284,0.239543,1.0759,0.000838258,0.677047,0.0450173,1.49512,2.12595,2.03828,2.05158,-1.08299,1.73866,0.961618,0.538775,2.4373,0.722557,1.64922,1.77435,1.69613,1.92185,2.71995,0.56779,2.05329,0.947202,2.88864,2.75096,1.52665,2.34375,1.88121,2.59279,1.56862,2.14716,1.45673,0.806832,1.16481,2.1239,1.48863,0.488748,0.183154,0.1066,0.115242,0.113893,0.747059,0.149483,0.276554,0.368473,0.0803721,0.32683,0.161214,0.145003,0.154971,0.127656,0.0618064,0.361747,0.11372,0.279448,0.0527178,0.0600323,0.178484,0.0875638,0.132249,0.0696041,0.172413,0.104597,0.188968,0.308566,0.237795,0.106796,0.184128
306.906,0.998703,0.0800917,5,31,0,-279.226,-0.295474,0.0274597,-0.136619,-0.00416763,-0.132646,0.0334202,0.198795,-0.21039,0.477083,0.392863,0.241799,-0.0464856,0.0767647,0.058184,-0.0437008,0.775898,-0.289838,1.3156,0.618043,0.738332,1.20567,-2.68427,-0.338913,-0.279702,-0.22843,1.24596,-0.958685,0.10937,1.34905,1.94506,1.9211,1.96098,0.396051,0.226667,-0.0953034,0.481691,1.27065,-0.579021,0.917757,0.9814,1.88382,0.964602,0.00926861,0.20753,-0.214504,1.15369,0.65111,0.775452,5.72874,-0.268586,0.977073,0.435838,0.52917,0.891775,-2.12642,-0.306662,-0.260721,-0.220939,0.923037,-0.787542,0.041159,1.00303,1.46547,1.44687,1.47782,0.263594,0.13217,-0.117647,0.330042,0.942192,-0.492962,0.668385,0.717766,1.41795,0.704732,-0.0365093,0.117322,-0.210134,0.851445,0.461494,0.55797,0.582914,1.18855,2.5101,1.60549,2.12162,-1.12877,1.79885,1.27619,0.511644,2.15289,0.442308,1.27101,1.61848,1.94183,2.11105,2.40061,0.907885,1.66908,1.08296,2.71136,2.63263,1.96512,2.81941,1.94762,2.35978,1.5549,2.03775,1.57997,0.638528,1.11477,2.58122,1.48076,0.358262,0.233519,0.0751533,0.167216,0.107013,0.755612,0.141991,0.2182,0.374808,0.104062,0.391191,0.219085,0.165415,0.125447,0.108027,0.0831259,0.287433,0.158547,0.252947,0.0623062,0.0670677,0.122914,0.0562842,0.124814,0.0862912,0.17438,0.115296,0.170799,0.345579,0.246982,0.0703569,0.185312
301.887,0.994009,0.0800917,5,31,0,-283.31,0.104555,-0.189818,-0.484975,-0.224736,0.0871191,-0.173015,-0.441179,0.0581332,0.5894,0.308417,0.375994,0.0667056,0.0782833,0.0790973,-0.257468,0.825211,-0.437094,1.06152,0.377217,0.0349778,1.32828,-2.11966,-1.57712,-0.697781,-0.622984,0.240166,0.0649269,0.454325,0.491361,1.70851,1.30079,2.3656,-0.493593,0.449711,-0.530877,0.341428,0.834316,-0.564463,0.387068,0.307274,2.24304,0.552946,0.221776,-0.242135,0.262918,0.835751,-0.748037,0.843072,6.3178,-0.618162,0.618507,0.0538153,-0.228604,0.83864,-2.00664,-1.55892,-0.833284,-0.771561,-0.0592807,-0.20389,0.117446,0.148008,1.15241,0.815956,1.69465,-0.664786,0.113638,-0.695554,0.0242821,0.431019,-0.723269,0.0619444,-0.00390225,1.59351,0.198829,-0.0744558,-0.457281,-0.0405053,0.432203,-0.874756,0.438244,0.739413,1.10601,2.44256,1.14246,2.36627,-0.59731,1.33691,1.00748,0.530803,1.46835,1.32374,1.64507,1.21208,1.83352,2.0245,2.90914,0.299376,1.9544,1.13661,2.72616,2.42835,2.05689,2.52897,1.52373,2.90739,1.75539,2.31429,1.58809,1.33668,1.12794,2.30468,1.65274,0.323132,0.248615,0.0799844,0.24187,0.0857814,0.645041,0.208019,0.267474,0.37033,0.187194,0.210197,0.161776,0.229334,0.137819,0.116655,0.0517035,0.42571,0.124075,0.242944,0.0614473,0.0810366,0.113358,0.073852,0.178914,0.0517893,0.147368,0.0899465,0.169652,0.208056,0.244542,0.090736,0.160739
310.221,0.965078,0.0800917,5,31,0,-280.267,0.278575,0.130538,-0.174646,-0.121264,0.0996054,-0.560208,0.419139,-0.0657819,0.173886,0.0719977,-0.142007,0.147668,0.0631277,0.0467069,-0.0141393,0.775877,-0.447765,1.01623,0.252777,0.365758,1.38501,-2.91296,-0.563611,-0.214206,-0.294313,1.07285,-0.698428,-0.0616996,1.26446,1.32233,1.57962,1.43104,-0.203617,-0.0216115,-0.249571,0.777664,1.04941,-0.149907,0.393602,0.535521,1.10583,0.194387,-0.24163,0.117084,-0.377601,0.816707,0.404794,0.645954,5.75514,-0.36155,0.774333,0.181984,0.269643,1.06045,-2.27424,-0.451432,-0.180337,-0.24249,0.818264,-0.556033,-0.0620105,0.966924,1.01183,1.21145,1.09617,-0.172121,-0.0309071,-0.207775,0.589232,0.800077,-0.130449,0.291247,0.401359,0.84385,0.136681,-0.201615,0.0767034,-0.307111,0.619525,0.299931,0.487041,0.746663,1.36877,2.24134,1.50834,2.42541,-1.09233,1.62915,1.43713,0.643244,2.18322,0.80892,1.30294,1.87257,1.78462,2.11885,2.20861,0.709318,1.58656,1.18068,2.9011,2.5438,2.24455,2.41373,1.76631,1.99029,1.63229,1.85774,1.63002,0.787614,1.11362,2.3795,1.59948,0.321549,0.202819,0.0960989,0.181185,0.0812557,0.74882,0.163947,0.191991,0.344514,0.101268,0.308121,0.21367,0.133244,0.143734,0.107278,0.0989798,0.32975,0.169869,0.23493,0.0520992,0.0728444,0.0958208,0.0821315,0.146002,0.120226,0.163516,0.134966,0.163827,0.312681,0.247197,0.0847496,0.168054
