# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6a_model
# start_datetime = 2022-04-23 08:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393421872adf.json
# init = 2 (Default)
# random
#   seed = 495963001
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6a-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6a-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6a_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0914911
# Diagonal elements of inverse mass matrix:
# 0.0338698, 0.0587489, 0.0927948, 0.0672123, 0.000266985, 0.000387199, 0.0351109, 0.0305534, 0.189622, 0.296487, 0.274393, 0.168264, 0.238213, 0.327808, 0.412449, 0.206076, 0.185494, 0.211656, 0.163464, 0.187486, 0.22976, 0.256489, 0.220716, 0.271969, 0.177487, 0.19872, 0.18541, 0.314471, 0.233789, 0.288802, 0.310002, 0.195234, 0.260375, 0.183288, 0.240168, 0.221413, 0.158436, 0.189875, 0.433088, 0.201405, 0.00998247, 0.886147, 0.849504, 0.654832, 0.801093, 0.881074, 0.801668, 0.675603, 0.88743, 0.668479, 0.759067, 0.755896, 0.827875, 0.811901, 0.809991, 0.80027, 0.692815, 0.81385, 0.943296, 0.784155, 0.72772, 1.02459, 0.703025, 0.945938, 0.930004, 0.812754, 0.881274, 0.79188, 0.872339, 0.762132, 0.652978, 0.772347, 0.820218, 0.730573
268.017,0.882242,0.0914911,6,63,0,-240.046,0.0227269,-0.198454,0.570866,0.805154,0.044893,0.0405053,-0.166098,0.512129,-0.50296,1.03884,0.240057,-0.18562,-0.249304,-2.85287,-0.699195,-1.62401,-0.441032,1.87094,-1.04064,-0.721346,1.51517,2.25345,0.407204,1.22367,-0.419645,-1.00848,0.559446,0.789469,0.678498,-0.419156,0.141362,0.430406,2.02137,-0.408718,0.240499,-0.0913445,0.341809,1.37747,0.763121,0.687572,1.5932,0.274715,-0.422568,-2.03114,-0.901977,0.481306,-1.10281,-2.55183,0.92515,1.71147,1.43265,0.582564,2.91879,0.463145,1.57332,-0.60127,-1.98384,-0.299697,1.07659,-0.162417,0.176361,0.497935,0.301549,0.862306,0.63835,1.38932,-0.32388,-0.136505,1.34377,-1.53837,0.753737,0.215193,1.07875,-0.159192,-0.423678,0.365921,-0.0431575,-0.261159,-0.293774,-1.62714,-0.524176,-0.997798,-0.391963,0.792064,-0.69904,-0.53552,0.609865,0.987959,0.0424435,0.460578,-0.38101,-0.682568,0.120411,0.238212,0.181381,-0.38076,-0.0937022,0.0543259,0.869105,-0.375414,-0.0429313,-0.212878,0.00895241,0.539347,0.224719,0.186028,4.38029,2.81572,3.83977,5.61489,3.63366,2.44043,6.343,7.87241,7.29194,5.77327,10.9686,5.58694,7.57925,4.17044,2.85254,4.53066,6.61246,4.70479,5.16367,5.64059,5.34435,6.23443,5.86243,7.20565,4.50066,4.7384,7.11605,3.22388,6.05123,5.21905,6.61638,4.70896,0.633918,0.977959,2.22617,1.42456,1.48173,-0.39043,1.46504,0.957282,0.746644,2.56757,1.07647,1.23999,1.52936,1.84303,1.0708,2.05651,0.643422,1.27251,1.42104,2.68712,2.22625,2.11304,2.22052,1.82983,2.04822,1.05698,2.2264,1.35129,1.08705,1.38125,2.25887,1.78196,0.346623,0.273297,0.0974245,0.193947,0.185166,0.596386,0.187698,0.277423,0.321553,0.0712548,0.254175,0.224438,0.178087,0.136693,0.255251,0.113396,0.344473,0.218827,0.194499,0.0637379,0.0974181,0.107836,0.0979227,0.138258,0.114233,0.257887,0.0974047,0.20566,0.252173,0.200808,0.0945871,0.144061
286.661,0.911798,0.0914911,5,31,0,-235.892,0.085353,0.0586702,0.191044,0.159761,0.0577592,0.0431659,0.106556,0.762356,-0.607204,1.1203,-0.425142,0.131889,1.10191,-2.16393,-0.355396,-0.504318,-0.251728,0.00300485,-1.45448,-0.807562,1.93538,1.21005,1.65278,1.69159,-0.5781,0.200176,-1.31221,0.0588599,0.873748,0.0647048,-0.1155,0.643726,1.30774,0.794813,0.0518611,-0.171634,0.351213,0.988578,0.38266,-0.393003,1.67746,0.442707,0.904099,1.47772,-0.143765,1.88422,-0.293743,-0.595838,1.36993,-0.905858,-1.40305,-0.239504,0.501696,0.623317,-0.567945,-0.598707,-0.641747,-1.19788,-1.06907,0.913139,-1.6683,-0.0649827,0.539943,1.89639,-0.672038,-0.628319,-1.53737,-0.123251,1.29499,-0.583656,0.397371,0.524511,0.382738,0.715272,-0.35635,0.960624,-0.217554,0.207102,0.946601,-1.54313,-0.164382,-0.277915,-0.0853507,0.108846,-1.00227,-0.509095,1.582,1.02904,1.36656,1.39615,-0.334162,0.259161,-0.893819,0.151428,0.772663,0.155884,0.0185034,0.597304,1.10352,0.712486,0.146092,-0.0242904,0.374305,0.860204,0.398279,-0.193052,7.98614,10.295,5.02192,12.3248,4.69931,4.11104,9.81521,3.58382,2.87577,4.81351,6.68297,7.05265,4.16212,4.10582,4.02833,3.1492,3.33401,8.01817,2.55714,5.20016,6.79709,12.3914,3.97467,4.05235,2.70974,5.06773,9.49493,4.13327,6.38133,6.75081,6.34012,7.34568,0.4274,1.26955,1.90746,1.58125,2.43627,-0.591767,1.61218,1.44279,0.784731,1.59851,0.487393,0.980572,2.18602,1.59696,1.99354,2.65478,0.349111,1.97986,0.148927,2.50748,2.60888,2.5697,2.20128,2.08697,2.01677,1.8817,2.27111,1.27139,1.15199,1.37688,2.10642,1.06558,0.394747,0.219334,0.129266,0.170618,0.0804486,0.643771,0.166286,0.191114,0.313301,0.16819,0.380508,0.272778,0.101013,0.168406,0.119883,0.0656949,0.413598,0.121333,0.462837,0.0753353,0.0685688,0.0711143,0.0996356,0.11037,0.117453,0.132194,0.093544,0.21902,0.240125,0.201511,0.108474,0.256245
289.877,0.884945,0.0914911,5,31,0,-255.59,0.0406712,0.614372,0.255185,0.201205,0.0725974,0.00240226,0.141352,0.843903,-0.317067,0.0972828,0.694342,-0.00329475,0.299493,-2.45312,-0.196699,-1.20503,-0.714669,0.62557,-0.66908,-0.0816649,0.418461,1.40505,0.376671,1.43744,-0.00145657,-0.0505358,0.98843,0.669252,0.874864,-0.341114,0.825045,0.380248,1.77925,0.655744,-0.200867,0.946238,-0.27624,0.126375,1.83499,0.671939,1.59126,0.545813,-1.29678,-1.58513,0.990836,0.778381,-0.632513,-0.532353,0.125635,0.449597,1.36602,-0.0212758,2.12484,0.23182,-0.209758,-0.539594,-1.56643,0.0980816,1.39191,0.809469,0.657343,1.67838,0.485619,1.08411,1.53352,2.11681,0.222688,1.3353,0.732247,-0.0435421,-0.247122,0.111023,0.590171,-0.22068,-0.126222,0.223449,0.72731,0.138572,0.394095,-1.92884,-0.024643,-0.875573,-0.46176,0.669273,-0.423287,0.0724348,0.494493,1.32708,0.459226,1.35442,0.140123,0.0987048,0.975491,0.706137,0.879653,-0.146515,0.837611,0.462244,1.64287,0.694737,-0.0281604,0.939885,-0.091768,0.248,1.6899,0.708404,2.41926,2.06696,8.43234,7.50908,3.47651,3.67186,5.25845,6.27554,10.3487,4.85326,15.6587,5.57222,4.3788,3.65737,2.08816,5.17996,10.4959,7.63759,7.02904,12.2723,6.40014,8.87275,11.3394,15.5903,5.54452,10.1766,7.32236,4.79463,4.2904,5.21668,6.776,4.35277,0.81028,1.13353,2.81746,1.28496,1.68568,-1.03563,0.967112,0.7064,0.479548,1.96086,0.868296,1.36402,1.34733,2.25157,1.10286,2.35561,0.923699,1.68068,1.92641,3.08668,2.60682,2.30663,3.00036,1.75383,2.58658,1.62112,2.06199,1.84173,0.781254,1.08545,2.41475,1.7096,0.307831,0.243511,0.0563877,0.216707,0.156345,0.738006,0.275457,0.330395,0.382359,0.123374,0.295609,0.203588,0.206308,0.0952139,0.249205,0.0866209,0.284205,0.157006,0.127149,0.04366,0.0687008,0.0905757,0.0474095,0.147565,0.0700072,0.165051,0.112846,0.136846,0.31405,0.252476,0.0820547,0.153216
288.297,0.976976,0.0914911,5,31,0,-252.52,0.36798,0.36558,0.196896,0.286411,0.0470208,0.00993996,0.181295,0.748639,-1.01106,0.601111,0.309527,0.475686,1.20472,-2.5002,-0.0740606,0.177229,-0.527009,0.398121,-0.811216,-0.378771,0.694755,0.398239,1.74617,2.34066,-1.12241,-0.115674,-1.40691,0.947332,1.48932,0.0685485,0.682173,1.02533,1.04205,0.229288,1.21524,-0.0971708,-0.045631,-0.0509359,1.32113,-0.229704,1.57323,0.634705,1.0389,1.31627,0.402878,1.74542,-0.555613,-0.632968,1.40272,-0.486547,-0.263041,-0.0117902,1.10918,0.780076,0.281897,-0.274836,-0.608167,0.283127,-1.07156,-0.459715,-1.26562,0.43702,0.716184,0.814236,0.408005,0.556292,-0.425112,-0.558985,2.441,-0.0378809,0.292991,-0.223783,1.07376,0.0457474,-0.575624,0.63131,0.413019,0.537412,1.0832,-1.69046,0.12585,0.313975,-0.213244,0.479344,-0.426013,-0.102268,0.701416,0.479432,1.48855,1.9336,-0.658987,0.094697,-0.871977,0.890504,1.29626,0.232613,0.691996,0.9489,0.961417,0.352949,1.09107,0.108549,0.147134,0.143162,1.17034,0.00932925,9.32435,11.1192,6.2273,14.6006,3.38916,3.22678,11.7464,3.54103,4.08075,4.78626,9.74966,7.91177,5.76702,4.05031,3.27798,5.77152,2.44271,3.60186,2.15963,6.36371,7.59735,8.08518,6.24759,6.86417,3.68184,3.38192,22.7042,4.70765,5.80777,4.1837,9.53297,4.96428,0.585718,1.68331,2.17171,1.68483,2.32466,-0.520832,1.51581,1.74352,0.967977,1.72081,0.815452,1.1392,1.77893,1.59107,2.45008,2.98698,0.394336,1.52424,0.349005,2.83728,2.81985,2.22641,2.49771,2.19036,2.15258,1.58486,2.84977,1.3514,1.2707,1.1945,2.39297,1.06271,0.357618,0.156657,0.10232,0.156456,0.089101,0.627342,0.180079,0.148866,0.275284,0.151767,0.30673,0.242468,0.144436,0.169233,0.0794324,0.0480173,0.402674,0.178837,0.413624,0.0553425,0.056261,0.0974037,0.0760188,0.100619,0.104091,0.170108,0.0546934,0.205642,0.219137,0.232455,0.0837101,0.256792
277.247,0.992416,0.0914911,6,63,0,-246.96,-0.289726,0.283002,-0.772569,0.599612,0.118826,0.0173169,0.074014,0.635707,-0.388199,-0.495978,0.00345825,0.390007,0.792072,-2.75448,-0.276141,-1.22035,-0.861634,0.647992,-0.666507,0.283753,0.911432,2.76521,0.391433,1.64033,0.195351,0.61735,0.427826,-0.433051,-0.105891,-1.0977,0.144395,0.754644,2.23617,1.34589,-1.75833,0.784577,-0.302454,0.663231,1.51542,1.63326,1.56769,0.46866,-1.00517,-0.616777,1.59555,0.296186,-0.410591,-0.923601,0.645004,0.687477,0.0308843,-0.274014,2.04725,0.365672,-0.979591,-0.769899,-1.77683,-1.1249,0.163662,1.311,0.324938,0.661049,-1.44136,1.61348,1.40655,0.412954,0.315719,1.05548,1.05569,0.426967,-0.376716,1.04315,0.345884,0.698584,-0.172767,-0.241283,0.0762124,0.321944,0.57754,-1.67703,-0.101531,-0.701771,-0.473733,0.485947,-0.349689,0.254398,0.653417,1.83188,0.322851,1.11678,0.1982,0.466468,0.345986,-0.201279,0.0066981,-0.623798,0.165807,0.553746,1.49556,0.929602,-1.04377,0.572775,-0.118258,0.495634,1.03738,1.11229,2.99398,3.59171,10.1296,5.50963,3.9561,3.11065,6.48813,6.61857,4.86546,4.2176,12.5178,5.692,3.03009,3.34299,2.08539,2.83061,5.17784,8.86489,5.58437,6.5371,2.44044,10.215,9.27088,5.81954,5.56029,7.8644,7.8652,5.85788,4.01941,7.8191,5.63946,6.65311,0.635404,0.376401,2.65815,1.35914,1.85239,-0.823958,1.10493,1.04838,0.369072,1.76079,0.925157,1.52924,1.3582,2.55346,0.947483,1.91632,0.903506,2.21662,1.25806,2.85596,1.9945,2.55227,2.86657,1.82859,2.35568,1.879,1.53817,1.55951,0.660671,1.16091,2.10468,1.91183,0.346286,0.406995,0.0654887,0.20438,0.135593,0.695076,0.248817,0.259536,0.408765,0.146691,0.283908,0.178104,0.204532,0.0721941,0.279391,0.128272,0.288331,0.0982681,0.221308,0.0543741,0.119782,0.0722745,0.0538313,0.138406,0.0866151,0.132503,0.176802,0.173717,0.340589,0.238501,0.108643,0.128775
282.817,0.962662,0.0914911,6,63,0,-234.548,0.447322,0.138343,0.40597,0.056031,0.055023,0.0480258,-0.0426459,0.646108,-0.186542,0.377255,-0.512373,-0.332063,0.680621,-2.99644,-0.922188,-1.18394,-1.11404,-0.20664,-2.016,-0.537187,1.51777,0.960545,2.51783,1.68081,-0.630263,-0.799294,-1.17309,0.600298,1.53931,-0.405069,-0.120593,0.279264,1.17787,-0.0976131,0.135356,-0.0736574,0.201159,0.76672,0.937481,-0.69019,1.81713,0.38833,-0.744088,1.02239,0.334101,0.651956,0.487794,-1.3846,0.549639,-0.335786,1.07692,-0.540833,0.766601,-0.328924,-0.25238,-2.84813,0.275578,0.398619,-0.694261,-0.0362001,0.311211,0.441377,0.119281,0.657455,-0.265206,0.944638,-1.04899,-1.24309,2.27063,-0.972301,-0.131948,-0.453334,0.258235,-0.668605,-0.163172,0.201101,-0.373695,-0.257195,0.397109,-1.97867,-0.638479,-0.8076,-0.762439,-0.176157,-1.3452,-0.389727,0.937999,0.57797,1.58415,1.04334,-0.449864,-0.559076,-0.800589,0.345212,0.951916,-0.304365,-0.120562,0.137789,0.718383,-0.105715,0.0448086,-0.0902366,0.0873243,0.452738,0.563068,-0.488583,4.60975,9.15363,7.0067,7.9272,7.43762,3.59464,7.6184,5.40179,9.34952,4.98835,8.28809,5.4162,5.57961,2.03625,6.84926,7.18447,4.69982,6.06824,6.9447,7.30476,6.44591,7.94414,5.55189,8.88138,4.09502,3.7977,14.863,4.21881,5.84675,5.16075,6.80329,4.74688,1.01893,0.854919,2.15993,1.56113,2.32548,-0.616379,1.64822,1.34086,0.515714,1.75222,0.583175,1.53865,1.91132,1.51994,2.55785,2.75162,0.602832,1.58939,0.669667,3.09893,3.21043,2.50438,2.46809,2.06616,2.04456,1.50147,2.57843,1.65388,1.25513,1.32763,2.74218,1.2197,0.265236,0.298402,0.103407,0.173484,0.0890345,0.649395,0.16135,0.207368,0.373855,0.147768,0.358202,0.176732,0.128833,0.17947,0.0719012,0.0599951,0.353696,0.16947,0.338572,0.0431515,0.0387752,0.075552,0.078126,0.11243,0.114603,0.182206,0.0705394,0.160585,0.221813,0.209552,0.06053,0.22799
