# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6a_model
# start_datetime = 2022-04-23 08:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393421872adf.json
# init = 2 (Default)
# random
#   seed = 495963001
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6a-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6a-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6a_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0767418
# Diagonal elements of inverse mass matrix:
# 0.0356732, 0.0527557, 0.075252, 0.0693559, 0.000331533, 0.000381231, 0.0350162, 0.0281588, 0.219833, 0.274845, 0.295596, 0.191099, 0.197131, 0.266209, 0.425489, 0.216787, 0.176415, 0.211297, 0.191404, 0.22589, 0.225417, 0.232824, 0.232701, 0.250709, 0.18282, 0.193098, 0.187118, 0.342546, 0.259259, 0.291656, 0.275623, 0.201845, 0.29974, 0.239835, 0.260992, 0.219298, 0.206103, 0.195208, 0.427751, 0.197679, 0.0100339, 0.708244, 0.630221, 0.79144, 0.752049, 0.897543, 0.683152, 0.784896, 0.952929, 0.601701, 0.79762, 0.663918, 0.912437, 0.754113, 0.590777, 0.822021, 0.721904, 0.907476, 0.659689, 0.809093, 0.711366, 1.04763, 0.91756, 1.01999, 0.892221, 0.977111, 0.77169, 0.822785, 1.02065, 0.8905, 0.710814, 0.757558, 0.921426, 0.810692
291.673,0.67136,0.0767418,6,63,0,-263.548,0.218165,0.0321053,0.0642206,0.446655,0.0599659,0.0432641,0.00467547,0.83296,-0.577253,0.567213,0.0455743,0.0545408,1.16699,-3.22202,-0.791895,-1.30476,-0.679485,-0.696145,-0.659063,-0.854919,0.559753,0.855539,1.21559,1.36011,-0.192646,-0.522687,-0.520987,1.22385,-0.0827761,-0.602115,0.862462,0.464813,0.550066,0.295247,0.090993,-0.103057,-0.386869,0.576177,0.241144,-0.294694,1.76037,0.366441,-0.0919364,-0.0333357,-0.272807,1.36434,-0.324886,-0.0881602,1.27344,1.13193,0.695204,-1.05825,1.03097,-0.0686449,-0.772265,-0.789275,-0.128429,-0.726872,0.0769917,-0.486842,-0.560892,1.11944,0.42004,0.892382,1.77624,0.629628,-2.47019,0.92089,0.797223,0.696818,0.327635,2.03116,-0.705948,-0.826608,-0.476153,0.477141,0.042637,0.0501058,0.976729,-2.67914,-0.654941,-1.08214,-0.561308,-0.575185,-0.544297,-0.707438,0.470927,0.717305,1.01721,1.13759,-0.155791,-0.430702,-0.429286,1.02409,-0.0642737,-0.496862,0.723071,0.391846,0.462858,0.250605,0.0804689,-0.0811672,-0.317571,0.484607,0.205538,-0.240793,5.62198,5.74401,5.26145,9.58621,5.16199,5.62977,9.27215,8.8036,7.50167,3.94555,8.48384,5.67017,4.38147,4.35424,5.54731,4.45496,5.98099,4.86455,4.73433,8.76339,6.78215,8.06375,11.148,7.32355,2.35183,8.14843,7.78742,7.5061,6.55634,12.2396,4.48925,4.29508,0.699489,1.17688,2.27247,1.50038,2.54694,-1.3332,1.51578,0.727935,0.700863,0.995022,1.02591,0.86277,1.46964,1.67663,2.04813,2.46794,0.925583,1.37937,1.00594,3.49379,1.86573,2.0328,3.01287,1.96205,1.76829,1.81397,2.3103,1.61033,0.854754,1.39624,2.31917,1.08955,0.331925,0.235614,0.0934288,0.182369,0.0726326,0.79137,0.180085,0.325648,0.331621,0.269921,0.263878,0.296761,0.186997,0.157543,0.114241,0.0781367,0.283822,0.20111,0.267775,0.0294894,0.134037,0.115802,0.0468478,0.123245,0.145755,0.14016,0.0902734,0.166543,0.298437,0.198413,0.0895479,0.251703
289.614,0.999851,0.0767418,6,63,0,-255.637,0.163119,0.0498686,0.0163314,0.599044,0.0656762,0.0205774,0.129832,0.650889,-0.487175,0.740021,0.00604335,0.24621,0.772453,-2.8961,0.178714,-0.418559,-0.667471,0.415523,-1.55414,-0.257327,0.497046,1.63831,1.11301,1.83982,-1.01782,-0.0682923,0.15773,0.627887,0.613849,-0.834056,0.49635,-0.328009,0.107333,-0.203691,-0.206613,0.074162,-0.567043,0.340111,0.216095,0.0927873,1.72555,0.449241,-1.06292,0.659317,0.577401,2.55362,0.654704,-1.11543,0.301262,-0.823934,1.18836,-0.623902,0.329127,1.49017,-0.15886,0.445523,-0.374069,0.543862,0.0912933,0.843812,-1.02079,1.60449,-0.914759,1.35062,0.976508,0.261295,-1.66353,-1.66174,1.42618,-1.4458,-1.04938,-0.46419,0.273077,1.03794,-0.187265,0.611504,0.133765,0.290087,0.632613,-1.75521,0.246155,-0.142604,-0.304618,0.400291,-0.881743,-0.0376594,0.453354,1.19619,0.854281,1.32735,-0.532658,0.0853812,0.232497,0.538517,0.529379,-0.413046,0.452901,-0.0836654,0.199693,-0.00274807,-0.00465005,0.178103,-0.23925,0.351207,0.270486,0.190226,3.48351,7.55147,7.27863,17.6854,7.53584,3.4023,6.42945,3.87833,9.57742,4.24299,6.51044,10.9681,5.22881,6.85993,4.74695,7.16978,5.85071,8.20403,3.55008,11.5462,3.72327,10.3017,8.70796,6.31504,2.65972,2.66187,10.6573,2.93304,3.50477,4.5586,6.34855,8.95161,0.855488,1.42791,2.43171,1.73425,2.20812,-0.634439,1.76219,1.69561,0.779291,1.9758,0.693768,1.53785,1.40779,2.13606,1.81211,2.64016,0.456917,1.9236,1.39871,3.09917,2.49895,2.21328,2.81653,1.49185,1.30418,1.22263,2.2933,1.46263,0.79835,1.26363,1.74447,1.50303,0.298283,0.193425,0.080786,0.150045,0.0990233,0.653495,0.146516,0.155039,0.314473,0.121767,0.333195,0.176848,0.196583,0.105641,0.140383,0.0665983,0.387717,0.127461,0.19802,0.0431414,0.075932,0.0985639,0.0564376,0.183645,0.213462,0.227475,0.0916794,0.188065,0.310379,0.22035,0.148746,0.181974
283.885,0.965592,0.0767418,6,63,0,-260.278,0.264035,0.0759019,0.102865,0.171947,0.0414837,0.044478,0.345594,0.819568,-1.04946,0.029208,0.268637,0.123673,0.461365,-2.83912,-0.839819,-0.887386,-1.03531,0.149484,-0.692897,-0.951927,0.495106,0.973414,1.32026,1.14279,-0.370473,0.332226,-0.936146,0.58141,0.612642,0.518019,0.529951,0.730587,2.02194,-0.162311,0.359379,-0.423132,-0.29162,0.171302,-0.182864,0.0739564,1.79555,0.141321,0.468418,-0.94783,1.08326,-1.64394,-1.61153,-0.356166,0.177396,0.574267,-0.679748,-0.15471,1.82796,-0.846035,-0.667487,-2.03333,-2.09427,-1.1281,-0.0308954,-0.620028,-0.357171,-0.263118,1.53334,-0.0746933,0.321225,0.94218,0.427634,2.93446,-0.0211789,0.747509,1.05233,1.07311,1.32634,-1.05455,-0.514512,0.369532,0.56576,0.446953,0.723714,-1.98126,-0.342694,-0.381678,-0.502914,0.468107,-0.222281,-0.434574,0.751368,1.14337,1.42764,1.28219,0.0419666,0.617876,-0.421641,0.822099,0.847696,0.770146,0.779925,0.94436,2.00271,0.21257,0.64013,-0.00119122,0.106592,0.485988,0.195725,0.406207,6.43496,5.26773,7.01911,4.77419,4.7961,5.72712,6.17567,6.53194,5.47113,5.89252,7.79808,5.34405,5.48061,4.51857,4.47981,5.13522,5.99653,5.5175,5.72631,5.80293,7.48006,5.95953,6.30248,6.88054,6.39797,9.11799,6.00477,6.69383,6.98849,7.00905,7.26441,5.18887,0.49328,0.888067,2.22732,1.56923,1.92896,-0.802087,1.68809,0.989498,0.593834,1.67335,0.98296,0.770667,1.5721,1.92877,2.26671,2.32149,0.942503,1.98905,0.853019,2.6496,2.30184,2.63913,2.48297,2.1496,3.14394,1.61674,2.30169,1.53249,1.10654,1.21646,2.14935,1.44551,0.379121,0.291509,0.0973236,0.172327,0.126866,0.690421,0.156027,0.271011,0.355756,0.157978,0.272305,0.316335,0.171918,0.126886,0.0939181,0.0893586,0.280395,0.120357,0.2988,0.0660139,0.0909707,0.0666623,0.0770606,0.104368,0.0413308,0.165655,0.0909829,0.177629,0.248516,0.228561,0.104392,0.190693
280.277,0.976373,0.0767418,6,63,0,-250.399,0.132054,0.0924329,0.255731,0.159978,0.0459753,0.0443301,0.332658,0.764889,-0.695622,0.909606,0.46797,-0.00801191,0.65179,-2.96215,-0.433138,-1.2416,-1.01958,-0.0658991,-0.948233,-0.456621,0.420683,0.735913,1.05857,1.70897,-0.275718,0.225295,-0.783861,0.33986,0.0935032,-0.385162,1.21236,0.813521,2.48841,0.102277,0.307089,-0.388773,-0.0778199,0.32356,0.298704,0.420302,1.78028,0.0861431,0.757602,0.0356317,0.830419,-2.29539,-1.5833,0.331498,0.330015,-0.140962,-0.460964,0.551487,1.64535,-0.488099,0.105006,-1.2094,-1.38045,-0.722238,0.3256,-0.507373,-0.269268,-0.883069,0.565224,1.39072,0.725867,0.0273878,-0.736238,2.89582,0.225008,1.11998,0.655472,1.58612,1.18111,-1.64402,-0.199416,1.02841,0.690602,0.326529,0.831205,-1.93306,0.00135514,-0.617026,-0.447208,0.282252,-0.392635,-0.0166069,0.654434,0.895549,1.14235,1.63983,0.121764,0.504984,-0.266909,0.592613,0.404177,0.0380516,1.25998,0.954911,2.23601,0.410888,0.567547,0.0352898,0.273134,0.580145,0.561133,0.654142,6.3315,5.94972,6.37134,4.86732,5.17523,6.10331,6.10253,5.8599,5.70057,6.22008,6.83469,5.68726,5.98539,5.34464,5.26646,5.5737,6.10021,5.67783,5.79549,5.49701,6.22744,6.6864,6.31422,5.9455,5.56698,7.61203,6.04758,6.53227,6.27604,6.79991,6.56675,5.14824,0.680779,1.42097,2.50509,1.54334,2.13996,-0.8835,1.90114,0.875634,0.521647,1.59101,0.916123,1.29215,1.34617,1.55409,1.84657,2.76468,0.891013,1.99764,0.879267,2.591,1.98879,2.08241,3.12044,2.26367,3.2492,1.68528,2.38203,1.4379,1.14378,1.18162,2.3768,1.779,0.336087,0.19451,0.0755022,0.176051,0.105273,0.707547,0.129979,0.294083,0.372467,0.169242,0.285749,0.215489,0.206498,0.174496,0.136276,0.0592627,0.290901,0.119451,0.29333,0.0697199,0.120385,0.110818,0.0422718,0.0941769,0.0373557,0.156398,0.084553,0.191871,0.241627,0.23476,0.0849593,0.144427
285.918,0.996883,0.0767418,6,63,0,-244.946,0.178506,0.274563,0.304397,-0.205943,0.0443102,0.0557513,0.206037,0.709138,-0.436833,0.478183,0.477475,-0.172253,1.29544,-2.5836,-1.30699,-0.735221,-0.7929,1.21391,-0.306854,-0.40457,0.622066,1.52107,1.06688,2.08714,-0.712203,-0.494465,-0.760533,1.19055,0.92462,0.216939,0.834703,0.311019,2.06721,0.240292,1.17978,-0.649918,0.104102,0.687981,-0.0411819,-0.0983017,1.59422,0.30886,-0.612028,0.376471,0.081669,1.30131,-1.23775,-0.311023,-0.339547,-0.897615,1.33788,-0.00892496,-0.0407271,-0.171627,0.00518928,-1.38029,-1.09304,-0.124763,0.738783,-0.547082,0.0264552,0.133233,0.0199136,0.32477,-0.454351,-0.258847,-0.732307,1.3278,1.5253,-0.512259,0.920656,2.7985,1.48157,0.701704,-0.103737,0.545135,0.544633,0.0838861,1.12468,-1.62609,-0.720798,-0.315336,-0.356238,1.06687,-0.0115649,-0.0808588,0.647168,1.28468,0.962602,1.6861,-0.299013,-0.144606,-0.333285,1.0503,0.86172,0.359877,0.797957,0.426593,1.67197,0.376437,1.04267,-0.254844,0.27986,0.69391,0.176834,0.136328,4.07628,5.53169,5.05027,7.36059,3.35995,4.47343,4.43419,3.73213,7.44418,4.91092,4.86291,4.67023,4.93237,3.21524,3.51353,4.73832,6.18667,4.15888,4.96487,5.13134,4.95485,5.44406,4.27971,4.5461,3.92763,7.42104,7.88783,4.20385,6.54414,11.688,7.78201,6.11623,0.780709,0.816317,2.221,1.18422,2.31364,-0.542283,1.44593,1.05086,0.639711,2.25582,1.17739,1.1081,1.27551,1.89037,1.55213,2.69782,0.407735,1.22159,0.885668,2.9039,2.31654,2.25779,2.51863,1.61555,2.72367,1.74846,2.71903,1.27025,1.13594,1.20602,2.1696,1.14804,0.314167,0.306546,0.0978806,0.234294,0.0899999,0.632343,0.190629,0.25906,0.345312,0.0948486,0.235522,0.248226,0.218315,0.131202,0.174779,0.0631022,0.399455,0.227657,0.292005,0.0519609,0.0897627,0.0946793,0.0745622,0.16582,0.0615909,0.148242,0.0618597,0.219215,0.243067,0.230406,0.102514,0.240847
293.363,0.985231,0.0767418,6,63,0,-253.917,0.131153,0.114077,0.315011,0.453105,0.0691744,0.0441974,0.122414,0.867789,-0.653287,0.790975,-0.0951554,-0.237691,0.0339672,-2.67552,-0.832399,-0.774373,-0.826052,-0.555775,-1.23935,-0.674081,0.420656,1.15785,1.33337,0.920063,-0.444687,0.238689,-0.723789,-0.307905,-0.0375955,-1.03616,-0.421526,-0.085072,1.55468,-0.29907,-0.693461,-0.250318,-0.948503,0.0216503,-0.309033,0.268199,1.86446,0.262426,1.00915,-0.1445,0.456844,-0.0466015,-0.22093,-1.07692,1.33322,0.235835,-1.23166,-1.29095,2.28638,0.288643,0.788688,0.952993,0.601504,-0.235306,-0.826539,1.07816,-0.211082,1.12073,-1.01828,0.626162,0.111555,1.66448,-0.154873,-0.866225,-0.00293328,-0.0247571,-1.97513,-1.53609,-0.472701,-0.558135,-0.444501,0.808813,0.0398395,-0.0838514,0.151891,-2.19937,-0.599932,-0.549578,-0.594424,-0.359881,-0.95308,-0.462545,0.487455,1.12718,1.2795,0.920834,-0.26348,0.329546,-0.505681,-0.144782,0.0897893,-0.776756,-0.243381,0.0485898,1.47155,-0.137115,-0.479363,-0.0948085,-0.700686,0.141202,-0.145761,0.355155,8.40888,6.21235,7.2743,6.37402,6.08899,4.86393,9.15528,6.8644,4.67038,4.59827,11.7572,6.96019,7.93618,8.28586,7.55576,6.06606,5.19426,8.56255,6.10475,8.65874,4.93936,7.60481,6.64414,9.98678,6.19546,5.14044,6.44748,6.41066,3.84254,4.31178,5.69968,5.57332,0.750002,1.51714,2.65709,1.63413,2.00822,-0.837899,1.61111,1.58345,0.688473,1.49645,0.903251,1.39379,1.49142,2.1007,2.28836,2.50047,0.815124,2.46257,0.954006,2.74916,2.36117,2.18637,2.44304,1.90492,2.79864,1.44927,2.13789,1.61828,0.48203,1.0548,1.97197,1.93479,0.320821,0.179883,0.0655535,0.163265,0.118342,0.698022,0.166434,0.170307,0.334373,0.182956,0.288383,0.198804,0.183709,0.109029,0.0920913,0.0758255,0.3068,0.0785239,0.27808,0.0601339,0.0861823,0.100982,0.0799488,0.129553,0.0573976,0.190114,0.105469,0.165443,0.381773,0.258304,0.122177,0.126222
