# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6b_model
# start_datetime = 2022-04-23 08:33:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393418f46c6a.json
# init = 2 (Default)
# random
#   seed = 1704718254
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6b-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6b-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6b_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.088235
# Diagonal elements of inverse mass matrix:
# 0.0301019, 0.0316257, 0.0776828, 0.0744386, 0.0832568, 0.0948613, 0.10837, 0.0777799, 0.0573547, 0.0587973, 0.0747982, 0.0794965, 0.000175879, 0.0356274, 0.0301954, 0.196496, 0.231472, 0.235808, 0.153511, 0.217508, 0.351174, 0.304684, 0.173625, 0.26542, 0.23635, 0.175565, 0.192654, 0.193413, 0.312156, 0.246799, 0.266869, 0.199075, 0.181716, 0.244672, 0.30859, 0.226493, 0.254571, 0.236101, 0.200692, 0.275225, 0.350383, 0.254279, 0.273149, 0.209044, 0.237381, 0.354328, 0.201735, 0.0117142, 1.37585, 0.683744, 0.680597, 0.930245, 0.801875, 0.836878, 0.638258, 0.845165, 0.671461, 0.688673, 0.761961, 0.897673, 0.819223, 0.817006, 0.890994, 0.723807, 0.77418, 0.698866, 0.780173, 0.643373, 0.876133, 0.695871, 0.959698, 0.771715, 0.745678, 0.637902, 0.778588, 0.854011, 0.796404, 0.710925, 0.716198, 0.880332, 0.698065
295.021,0.992218,0.088235,6,63,0,-254.573,0.124846,0.321487,0.29238,0.0657565,0.0324593,-0.334338,0.218228,-0.0878547,-0.155023,-0.226234,-0.168094,-0.0637804,0.049795,0.00608273,0.823121,-0.387527,1.01855,0.765504,0.669072,1.71354,-2.20208,-0.275089,-0.8397,-0.190835,0.418287,-0.476397,-0.0549146,1.03534,0.944093,1.84461,2.4577,0.144102,0.342308,-0.312184,1.20117,0.962863,0.518034,0.570495,0.710278,2.10279,0.245963,0.139158,-0.388133,-0.04333,1.09655,1.16489,0.358351,1.57975,0.48956,0.0399146,-0.588749,-0.906153,0.539738,0.539712,-0.483164,1.66036,-0.683122,0.978353,-0.459387,0.68983,0.36806,-0.147948,-1.0614,-0.112555,0.641729,1.63372,-0.722469,-1.07155,-0.307837,-0.349598,1.63565,-0.0860116,0.112442,0.77917,0.839201,0.768052,-1.40761,-0.753845,1.14008,1.69876,-0.395955,-0.312899,0.844473,0.636185,0.55681,1.41653,-1.80649,-0.220348,-0.685092,-0.150997,0.350384,-0.38605,-0.0391186,0.858293,0.783185,1.52442,2.02907,0.124696,0.287843,-0.250883,0.994792,0.798635,0.432488,0.475669,0.590727,1.73693,0.20854,0.120627,-0.313398,-0.0295831,0.908673,0.964926,0.301049,4.9495,3.6383,3.11469,6.32165,6.32157,3.83131,10.9418,3.47403,7.83584,3.87617,6.80365,5.81205,4.5146,2.88674,4.5935,6.64531,10.8,3.40775,2.87243,4.17469,4.09021,10.8102,4.65358,5.12839,7.10783,7.31981,7.06924,2.43668,3.35581,8.48145,11.1495,3.99843,0.554325,1.16395,2.38194,1.65523,2.61454,-0.838983,1.72095,0.712099,0.802745,1.54839,0.811961,1.15889,1.48758,1.33022,2.09278,3.0279,0.74361,1.68503,0.915111,2.93973,2.29542,2.42722,2.27122,1.78874,2.68233,1.59855,1.86638,1.04694,0.804422,1.41976,2.78923,1.29988,0.364862,0.23795,0.0845602,0.160403,0.0682082,0.698251,0.151749,0.329135,0.309439,0.175318,0.307473,0.238869,0.184285,0.209123,0.109801,0.0461814,0.322215,0.15643,0.285955,0.0502242,0.0915033,0.0811205,0.0935347,0.143228,0.0640241,0.168184,0.133961,0.259814,0.30908,0.194698,0.0579088,0.214185
291.537,0.980693,0.088235,5,31,0,-259.704,-0.165532,0.048934,0.41162,0.451288,-0.235253,-0.0705089,0.207905,-0.158496,0.434475,0.350525,0.269549,0.527969,0.0573048,-0.131426,0.908272,-0.0654041,1.35696,0.0206083,0.580582,1.92207,-2.28224,-0.648808,-0.446938,-0.146154,0.576602,-0.461227,0.080879,1.44232,1.82521,1.33148,1.96132,0.04046,-0.176045,-0.088074,0.764588,0.432543,0.250829,0.602323,0.561499,2.30028,0.555773,0.353451,0.289356,0.330406,1.0817,-0.0510166,0.219526,1.64684,0.413548,-0.444043,0.443635,-0.0432298,0.52136,1.04197,0.327813,0.959272,0.122896,1.25431,-0.446457,1.74658,0.251886,-0.569274,-0.74213,-0.327122,1.30048,0.578186,-0.363108,-0.969686,1.93692,0.231387,1.47359,0.339037,-0.406066,1.34845,0.883017,1.85991,-0.0156901,0.704268,1.73992,-0.140964,0.578871,-0.190831,1.10106,-0.112708,0.395901,1.61433,-2.20432,-0.72072,-0.537367,-0.264174,0.392285,-0.550346,-0.057966,1.1786,1.52636,1.07792,1.64999,-0.0946774,-0.291323,-0.211421,0.563028,0.261441,0.0963948,0.415647,0.378568,1.95785,0.373367,0.189604,0.131388,0.168673,0.851056,-0.177763,0.0679629,4.31981,6.23581,5.0986,6.4395,7.98647,5.94417,7.71795,5.46119,8.71951,4.3155,10.6882,5.76042,4.10178,3.81881,4.53381,8.88758,6.59263,4.46684,3.47583,11.5635,5.7118,9.54716,5.97182,4.38819,9.06566,7.47836,11.201,5.157,6.94549,10.6588,4.89664,6.59449,0.761686,1.42323,1.97653,1.74018,3.07322,-1.11075,1.46586,1.15074,0.638025,1.85118,0.908544,1.40092,1.896,2.1084,1.83577,2.87966,0.647482,1.39679,1.08492,2.88149,2.06416,2.47216,2.56219,1.83746,2.99833,1.93259,2.27885,1.68256,1.11613,1.28808,2.01439,1.29763,0.31828,0.194156,0.121689,0.14929,0.0442254,0.752269,0.187573,0.240354,0.345693,0.135735,0.287298,0.19767,0.130562,0.108283,0.137552,0.0531682,0.343557,0.198327,0.252575,0.0530762,0.112629,0.077833,0.0716116,0.137352,0.0475013,0.126464,0.0928902,0.156757,0.246729,0.216179,0.1177,0.214564
274.411,0.933944,0.088235,6,63,0,-244.353,0.555809,-0.00396922,-0.0357579,-0.374774,0.168978,0.419743,0.106455,0.127949,-0.123877,-0.161116,-0.518649,-0.103059,0.0394829,0.455547,0.617415,-0.953996,-0.0274945,1.03754,-0.533136,0.0470452,-2.50667,-0.942659,-1.34917,-0.332372,-0.275557,-1.81163,-1.25183,0.0899421,1.63024,0.633948,0.588447,-0.483966,0.114527,-0.469234,0.0158295,0.549206,0.479736,1.03688,0.716313,1.03026,0.985584,0.0552143,0.0798188,-0.543483,0.384125,0.519793,0.0944656,1.91082,0.465049,0.086256,-0.286192,1.30074,0.988559,-2.22496,-1.97738,-0.424931,-0.215397,-1.06694,0.481511,0.539342,1.07786,-0.772921,0.047842,-0.0748661,-1.07385,0.233094,0.824079,-0.576362,0.0744005,0.630838,-0.20412,0.153137,0.803174,-1.84614,-0.215057,-0.401386,-0.375331,-1.2241,-1.34229,0.587434,-0.858837,-0.133464,0.438572,1.09614,0.126381,0.484594,-1.09211,-0.126464,-0.377451,0.250336,0.285415,-0.66298,-0.317348,0.511079,1.46208,0.846956,0.818863,0.15674,0.526258,0.165835,0.465321,0.794636,0.751743,1.09573,0.89781,1.09165,1.06406,0.489638,0.504829,0.119993,0.692712,0.776475,0.513872,7.03528,5.91641,12.3757,10.7033,2.40154,2.69459,5.54674,6.11444,4.11501,8.45493,8.68541,11.1572,4.71796,6.91071,6.52739,4.10183,7.53247,9.91512,5.16956,6.99659,9.06295,6.14659,7.25753,9.8192,2.86416,6.11541,5.60781,5.67617,3.82499,3.62043,8.88184,4.53317,0.728464,0.866187,2.92301,1.43998,1.87716,-0.109143,1.60633,1.17304,0.796458,1.67798,0.729582,1.07521,1.21555,2.08936,1.59228,2.05349,0.90342,2.07675,1.26466,2.45013,2.4241,2.77603,2.96209,2.29037,2.03478,2.30236,2.31651,1.80372,0.982331,0.923517,2.50874,1.7485,0.325532,0.296048,0.0510276,0.191549,0.132716,0.527259,0.167098,0.236305,0.310784,0.157364,0.325286,0.254413,0.22872,0.110136,0.169063,0.1137,0.288348,0.111377,0.220173,0.0794293,0.0813537,0.0586332,0.0491683,0.0919235,0.115599,0.0909277,0.0897646,0.141398,0.27243,0.284242,0.075248,0.148236
280.15,0.91412,0.088235,6,63,0,-246.072,0.458649,-0.0723028,0.0177961,-0.395657,0.0937752,0.276938,0.0985273,0.330154,-0.0855381,-0.177225,-0.391206,-0.186443,0.0406597,0.325548,0.608623,-0.857387,-0.00949131,0.869551,-0.394279,0.100665,-2.15588,-0.604307,-1.64615,-0.133924,0.0287693,-1.8719,-1.1116,0.185952,1.68902,0.5142,0.849719,-0.455345,-0.149397,-0.307453,0.230182,0.514251,0.218829,0.676885,0.433737,0.968991,0.81897,-0.0105157,0.248933,-0.360009,0.188058,0.531389,-0.0221743,1.93116,0.390385,-0.18238,-0.468122,1.33334,1.24561,-2.24682,-2.04426,-0.745111,-0.988705,-1.1769,0.247442,0.427354,0.868284,-0.897405,-0.0592245,-0.688122,-1.25467,0.128556,0.916032,-0.866986,-0.391937,0.299822,-0.203495,0.299757,0.603728,-2.24287,-0.0555596,-0.0320372,-0.404344,-1.16706,-1.73583,0.636957,-0.860266,-0.196278,0.319771,0.854776,0.0855805,0.386814,-0.98657,-0.0422474,-0.676338,0.244038,0.343057,-0.813736,-0.350997,0.438722,1.35353,0.638501,0.842706,0.048414,0.234621,0.138425,0.465642,0.638533,0.458732,0.737516,0.58953,0.915297,0.823991,0.319147,0.477054,0.106438,0.440004,0.648963,0.312052,6.42351,5.74549,11.6078,11.217,2.86921,3.10531,5.15663,4.68885,4.35671,7.59705,8.14981,9.68064,4.85898,6.73988,5.27263,4.22643,7.25252,9.86277,4.91703,5.91893,7.754,6.37078,7.7538,8.73073,2.87364,6.74953,6.8118,5.89033,4.37348,3.50265,8.84472,4.92994,0.545452,0.614244,2.74377,1.446,1.82855,-0.167663,1.54297,0.928037,0.761419,1.78479,0.628001,1.09074,1.02653,1.80027,1.29187,2.1218,0.634569,1.839,1.12411,2.51727,2.32423,2.55102,2.66717,2.03127,1.68732,1.83449,2.20814,1.62248,0.855638,0.642068,2.31633,1.59115,0.36692,0.351092,0.0604395,0.190618,0.138411,0.541818,0.176104,0.283323,0.318338,0.143712,0.347964,0.251479,0.263758,0.141818,0.215536,0.106996,0.346475,0.13717,0.245249,0.0746561,0.0891363,0.0723578,0.0649387,0.115959,0.156129,0.137704,0.0990219,0.164863,0.298251,0.344779,0.0897792,0.169222
279.746,0.993162,0.088235,5,31,0,-234.472,0.286934,-0.0637453,0.541996,-0.640536,0.332548,0.193409,-0.192642,-0.0306526,0.241766,0.111071,0.0993068,-0.0523453,0.0351979,0.298213,0.656694,-0.992313,0.673605,-0.457886,-0.866877,0.0981402,-2.67518,-0.266087,-1.34334,-1.09322,-0.672203,-1.42859,-0.42579,0.23545,2.03146,1.49322,0.398876,-0.472164,-0.160767,0.1788,-0.584965,1.14726,-0.794229,1.03965,0.209641,1.59058,0.275548,-0.0901688,0.512473,-0.731651,1.17815,-0.378386,-0.621942,1.76097,0.430448,-0.612501,-1.34429,-0.487069,-0.0802486,0.393523,-0.87163,0.710287,-0.267727,0.245735,-2.34409,1.61907,-0.0878048,-0.527989,-1.48141,-0.957608,-1.54546,-0.469631,0.632457,-0.170656,-1.62099,0.921549,2.40028,2.12419,1.21687,-1.07929,0.798541,1.67483,-0.381656,-0.90354,0.634344,-0.739985,1.15615,-0.353433,0.740566,-0.00247754,-0.27106,0.362661,-1.45856,0.123475,-0.583951,-0.419699,-0.143218,-0.639932,0.0185992,0.452832,1.63226,1.2788,0.560153,-0.0118542,0.192638,0.41563,-0.0859302,1.05161,-0.223353,0.980944,0.435883,1.34274,0.479164,0.239,0.634752,-0.182258,1.0719,0.0497294,-0.110213,4.4697,3.26194,4.71766,5.62054,6.89201,3.99794,7.89881,5.18478,6.46722,2.12116,11.6802,5.60229,4.63529,3.07498,3.85268,2.99136,4.7532,7.63857,5.40602,2.89567,8.65079,16.349,14.5171,9.82341,3.65609,8.20465,11.964,4.93665,3.9434,7.64478,4.23103,9.56998,0.493113,1.19994,2.05038,1.32423,2.02835,-0.596433,1.64888,1.22252,0.354784,1.52247,1.02575,1.68428,1.16627,2.17212,2.0494,2.08505,0.64897,1.99911,1.47336,2.10772,2.92848,2.0055,3.069,2.10157,2.16418,1.35167,2.29186,1.77956,0.670875,1.57358,1.69807,1.41468,0.37916,0.231487,0.114014,0.210116,0.116259,0.64484,0.161261,0.227492,0.412223,0.179099,0.263908,0.156529,0.23753,0.102282,0.114113,0.110559,0.343222,0.119296,0.186432,0.108349,0.0507634,0.118627,0.0444041,0.108945,0.103014,0.205597,0.0917993,0.144357,0.338301,0.171706,0.154717,0.195497
286.269,0.997555,0.088235,6,63,0,-236.927,0.273751,0.370818,0.550502,-0.106404,-0.19223,0.167282,0.268322,0.291041,-0.230575,-0.0098294,-0.284231,0.257801,0.0558428,0.0385924,0.68327,-0.724023,0.223451,0.0381323,-0.917037,1.00135,-3.22367,-1.66135,-0.981444,-0.278594,-0.0733079,-0.950936,0.134331,0.575805,1.03527,1.81547,1.2137,-0.859388,-0.742751,-0.31826,0.277362,-0.141131,0.0519896,-0.121625,-0.170906,1.78252,-0.790934,-0.510723,-0.770756,-0.0324091,0.380954,0.480555,-0.0491165,1.59749,0.325532,-0.0104688,0.219594,0.855679,0.698837,-0.844612,-1.10417,0.0913212,-0.135585,-0.136218,0.924908,0.157821,0.764372,-0.25752,0.0474618,0.0276069,-0.90127,-0.113971,0.410813,-0.676007,0.827006,-0.557694,1.164,0.345436,0.113764,0.226185,-2.06972,0.559068,-0.108062,1.61027,0.426494,1.65899,-0.361415,-0.456111,0.19127,0.064647,-0.587991,0.722785,-2.16404,-1.09656,-0.631998,-0.151762,-0.0114967,-0.611153,0.130377,0.432023,0.745958,1.27905,0.867876,-0.548602,-0.468907,-0.178865,0.228106,-0.057838,0.0741153,-0.0445104,-0.0781827,1.25654,-0.501829,-0.310369,-0.488042,0.0164483,0.298887,0.366941,0.00503261,4.92379,5.30671,6.52759,6.20268,3.75294,3.44886,5.08968,4.72728,4.72631,6.67637,5.20106,6.33642,4.54331,5.01753,4.9852,3.68436,4.76066,5.64754,3.96468,6.46695,4.12036,7.21676,5.52862,5.127,5.31811,2.51866,5.92678,4.76983,8.34515,5.67644,8.47856,4.39222,0.604645,0.637754,2.36872,0.990122,2.41258,-0.691102,1.46933,1.28117,0.967023,1.6783,1.07865,1.82018,1.22471,1.74824,1.99986,2.3343,0.531811,1.44426,1.21695,2.75555,1.96702,2.6574,2.3154,1.61162,2.70557,1.53073,1.9937,1.42526,1.03889,0.919842,2.49659,1.47146,0.353282,0.345755,0.0855895,0.270888,0.0822182,0.666212,0.187045,0.217351,0.275474,0.15732,0.253762,0.139413,0.227109,0.148269,0.119218,0.0883215,0.370094,0.190886,0.228474,0.0597741,0.12271,0.0655344,0.0898553,0.166364,0.0626457,0.177887,0.119866,0.193839,0.261365,0.28499,0.0760974,0.186721
