# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6b_model
# start_datetime = 2022-04-23 08:33:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393418f46c6a.json
# init = 2 (Default)
# random
#   seed = 1704718254
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6b-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6b-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6b_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0856052
# Diagonal elements of inverse mass matrix:
# 0.0314538, 0.0330554, 0.0673245, 0.0862278, 0.109551, 0.0876211, 0.0868419, 0.0935381, 0.0664203, 0.0627695, 0.0799487, 0.086845, 0.000181928, 0.0338555, 0.0274374, 0.209879, 0.240692, 0.241842, 0.189939, 0.223678, 0.323133, 0.31063, 0.224148, 0.297862, 0.172591, 0.18192, 0.182966, 0.247967, 0.308093, 0.248881, 0.248156, 0.222025, 0.198568, 0.244088, 0.32492, 0.241895, 0.2706, 0.243565, 0.180574, 0.293836, 0.302689, 0.219776, 0.266578, 0.188972, 0.280727, 0.289885, 0.16821, 0.0115959, 0.805866, 0.788072, 0.753866, 0.820228, 0.915964, 0.845663, 0.794126, 0.742855, 0.723359, 0.990497, 0.832156, 0.929193, 0.677899, 0.823687, 0.755542, 0.767221, 0.886511, 0.821381, 0.855272, 0.751862, 0.898081, 0.835595, 1.12911, 1.06305, 0.940307, 0.773149, 0.733533, 0.873207, 0.801802, 0.855592, 0.853971, 0.878207, 0.708504
271.361,0.978877,0.0856052,5,31,0,-233.989,-0.383536,0.07345,0.00963498,0.209175,0.0485797,-0.0490799,-0.202951,-0.014576,-0.0905597,0.656119,0.146679,0.115993,0.0674568,0.192549,0.741716,0.239964,1.6272,0.907722,0.51964,-0.0988941,-3.66719,-0.96127,-0.467369,-0.718831,1.29983,-0.253681,-0.304642,1.92864,1.70257,1.77072,2.07445,-0.853012,0.216732,-0.216251,0.696221,0.892151,0.115716,0.753751,0.220082,1.36813,-0.167991,-0.312132,-0.747147,0.73543,1.47375,-0.0750462,0.459116,1.7079,0.317296,0.618867,-0.955928,0.686246,1.44655,-2.50502,0.00868054,-0.313412,1.40792,0.0539644,0.249476,1.73462,-0.561245,-0.540343,0.721623,-0.17374,-1.11495,1.08749,1.46811,-0.491621,-0.823749,0.307609,1.21742,0.941448,-0.341598,-2.1243,-0.687409,0.830331,0.251407,0.633345,-1.75534,0.913767,-1.21477,0.370534,1.39947,0.865821,0.577975,0.119198,-2.52746,-0.52044,-0.154106,-0.340619,1.15665,0.00439041,-0.0334084,1.62305,1.45537,1.50592,1.7312,-0.440143,0.353303,0.0321528,0.708948,0.854272,0.278378,0.751618,0.355788,1.20731,0.0679476,-0.0389641,-0.361621,0.73803,1.28565,0.136886,0.533083,6.71444,4.07383,6.85953,8.73102,2.49194,5.53256,4.99507,8.62465,5.61262,5.97183,9.56667,4.61732,4.64805,6.93696,5.22141,3.87337,7.79088,8.79093,4.72046,4.24832,6.083,8.11877,7.43809,4.9506,2.81191,4.43613,7.18041,5.97549,6.74535,3.16114,7.37304,3.75261,0.718349,1.00526,2.64609,1.48131,1.15744,-1.16947,2.12556,1.15397,0.379348,2.1949,1.04264,1.00484,1.69219,2.21258,1.61722,2.49962,0.501728,1.66138,0.784708,2.75905,2.29726,2.39593,2.59935,1.39403,2.50418,1.22563,1.74131,1.53476,1.07825,1.45584,1.93713,1.3015,0.327757,0.267909,0.0662303,0.18523,0.239132,0.763049,0.106637,0.239765,0.406284,0.100209,0.260641,0.267991,0.155488,0.0986261,0.165589,0.0758848,0.377135,0.159577,0.313306,0.0595778,0.0913502,0.0834833,0.0691805,0.198764,0.0755659,0.226947,0.149147,0.177298,0.253836,0.189104,0.125964,0.213912
280.177,0.929777,0.0856052,6,63,0,-236.879,0.658634,0.117008,0.0701872,-0.205484,-0.0323682,0.0497969,0.208597,0.0214728,0.250565,-0.499186,-0.453374,-0.268941,0.0527685,-0.0956355,0.879955,-0.934198,0.507624,-0.104989,-0.640591,1.26806,-2.11982,-0.0660303,-0.875872,-0.641175,-0.135284,-0.857297,-0.114502,1.17117,1.22623,0.628886,1.73581,-0.249042,-0.232649,-1.05718,0.799117,0.407628,-0.397557,-0.227012,0.240884,2.00535,-0.0221229,-0.0807745,0.663719,-0.786596,1.0026,-0.297809,0.252953,1.70889,0.311046,-0.926054,0.658044,0.286434,0.322286,2.52605,-1.62847,0.996879,-1.45627,0.763657,-1.36874,-0.0153937,1.39612,-0.578837,-1.67962,-0.294369,-0.321219,-0.76493,-0.217638,-0.252237,0.909559,-0.0909865,0.244764,0.591442,2.06619,1.28119,1.1277,1.06453,-1.1433,-0.489007,1.91457,0.505889,1.55513,-0.917687,0.351051,-0.188021,-0.659327,1.0202,-1.96098,-0.153739,-0.866363,-0.65984,-0.214679,-0.850018,-0.196392,0.934943,0.983392,0.457756,1.4318,-0.314781,-0.300356,-1.02591,0.607551,0.263059,-0.445468,-0.295395,0.116332,1.66898,-0.115103,-0.166713,0.488407,-0.787804,0.786611,-0.357694,0.126952,4.14061,6.77725,6.03746,6.10516,12.117,3.32796,7.53052,3.51107,7.00358,3.60798,5.49644,8.52624,4.61284,3.27543,5.0396,4.99769,4.35342,5.16133,5.10608,7.32874,5.36871,5.95971,6.63829,10.502,8.2268,7.84326,7.69067,3.87006,4.74355,10.0183,6.46397,8.95854,0.699226,1.38751,2.16762,1.01032,2.79538,-0.89282,1.9271,1.1199,0.35867,1.56051,0.92517,1.5788,2.32668,1.58671,1.86196,2.99591,0.418633,1.68591,0.907616,3.17427,2.35486,2.17402,2.11301,1.89152,2.69445,1.45118,2.18893,1.9767,0.817018,1.36685,2.36975,1.69107,0.331984,0.199806,0.102696,0.266916,0.0575741,0.709472,0.127072,0.24603,0.411282,0.173574,0.283906,0.170966,0.0889375,0.169847,0.134475,0.047611,0.396844,0.156315,0.287488,0.0401457,0.0866804,0.102108,0.107838,0.131071,0.0633016,0.189821,0.100749,0.121671,0.306397,0.203129,0.0855087,0.155636
273.442,0.931642,0.0856052,6,63,0,-232.728,-0.183645,0.0822625,-0.119473,-0.0661104,0.0177023,-0.0484968,-0.210489,0.0434348,0.511435,0.497698,-0.17131,0.109319,0.06133,0.13217,0.789286,-0.507251,0.409448,1.1082,0.991417,0.161864,-2.6122,-1.31828,-0.129111,-0.192965,1.2191,-0.458025,0.0574222,-0.212307,1.43918,1.52843,1.61046,-0.337609,0.704901,-0.109832,0.496857,0.86466,0.999503,1.07682,1.28471,1.79754,-0.282038,0.371332,-0.270885,-0.115184,1.09882,0.520419,0.397461,1.68517,0.387343,0.653661,-0.324484,0.946723,1.86441,-2.88962,-0.755755,-0.466073,1.55775,0.163365,1.20703,1.64511,-0.811653,-0.0142675,0.0364616,-0.278135,-1.61944,1.38959,1.24015,-0.328813,0.119745,0.247993,0.832786,0.0690491,-0.477647,-1.40623,-0.0713132,0.76567,0.492772,0.705832,-1.01775,1.39191,-1.04507,-0.268196,0.455342,1.00685,0.914682,0.259927,-1.9296,-0.908326,0.0302652,-0.0201344,1.09439,-0.229342,0.177493,-0.0354007,1.26809,1.33854,1.40328,-0.1343,0.688539,0.0454813,0.524333,0.814635,0.921064,0.982087,1.14617,1.55094,-0.0904382,0.425257,-0.0816349,0.0412576,0.999455,0.54293,0.44588,6.94734,4.75635,7.78248,11.1043,1.76102,4.02462,4.50252,9.86065,5.74567,8.60808,10.2,3.93842,5.36363,5.47007,4.84252,2.88029,9.23883,8.71925,4.74839,5.64941,5.93713,7.44649,5.53955,4.48238,3.12825,5.24642,7.25539,6.52761,7.08916,3.63624,9.24716,3.59796,0.823695,0.872603,2.6471,1.75764,1.22554,-0.613209,1.58042,1.2412,0.511672,2.06,0.736274,1.14311,0.801254,2.03959,2.20819,2.12358,0.80136,1.89947,1.50535,2.4099,2.14823,2.86796,2.68366,2.11179,2.81309,1.14706,2.0655,1.72398,1.12465,1.02929,2.94867,1.16618,0.30498,0.294713,0.066168,0.147086,0.226962,0.648673,0.170736,0.224227,0.374802,0.113046,0.323819,0.24175,0.309757,0.115108,0.0990175,0.106826,0.309735,0.130168,0.181629,0.082421,0.104497,0.0537603,0.0639443,0.107957,0.056621,0.241027,0.112495,0.151359,0.24515,0.263222,0.0497996,0.237547
277.978,0.999115,0.0856052,6,63,0,-235.878,0.189443,0.374576,0.386919,0.248362,-0.0274032,0.403117,0.175829,0.0112725,-0.419272,-0.137486,-0.495006,-0.356534,0.0454525,0.418892,0.712633,-0.981629,0.794868,0.562134,-0.745353,1.40817,-3.12941,-0.165823,-1.20775,-0.592566,0.130153,-1.08049,-0.731237,1.50961,0.722737,1.37698,1.95282,-1.11597,-0.0167875,-0.959523,0.902885,0.779689,-0.644566,0.289032,-0.355133,1.26919,0.232672,-0.143041,-0.481107,-0.255608,0.296355,0.315357,0.247772,1.60425,0.231965,-1.0246,0.190482,0.369053,0.0746186,1.38696,-0.506899,0.990029,-1.84916,0.710993,-1.59913,-0.0370111,1.63391,-0.51272,-1.18502,-0.276754,-0.270658,-1.11156,0.544935,-0.23983,0.455328,-0.274225,1.54699,0.897321,2.28607,0.155759,0.597898,1.14861,-0.893413,-0.823059,2.12126,0.303947,1.01743,-0.280649,0.985341,0.819487,-0.112271,1.4224,-1.81123,0.300721,-0.441789,-0.00339009,0.511643,-0.351102,-0.102212,1.49469,0.933939,1.40018,1.81054,-0.376385,0.406929,-0.264896,1.06232,0.974524,-0.040447,0.624866,0.165813,1.32336,0.584702,0.316956,0.0760396,0.236738,0.630085,0.643626,0.595463,3.92193,5.19886,5.41873,5.061,6.86187,4.42235,6.25829,3.23916,5.86604,3.43258,4.93163,7.26641,4.41639,3.77867,4.66486,4.67146,3.84361,5.64438,4.70498,5.52827,4.6676,7.12139,6.12514,8.45318,5.15715,5.71415,6.49278,4.04311,4.10963,8.13611,5.33751,6.29819,0.396895,1.16291,2.52911,1.00647,2.63204,-0.702346,2.30546,0.949662,0.689325,1.72128,0.858539,1.10743,1.94527,1.66601,1.7672,2.83837,0.401731,1.79838,0.685363,2.95375,2.45688,1.89643,2.37994,1.37545,2.41905,1.71471,2.02658,1.5421,0.875578,0.907575,2.15986,1.62329,0.402059,0.238139,0.0738428,0.267672,0.0671045,0.668708,0.0906718,0.278953,0.334183,0.151706,0.297645,0.24835,0.12507,0.158957,0.145891,0.0552856,0.400896,0.142048,0.335065,0.0495597,0.0789368,0.130513,0.0847154,0.20174,0.0817319,0.152554,0.116441,0.176231,0.294095,0.287496,0.103413,0.164751
273.372,0.929418,0.0856052,5,63,0,-237.775,0.192738,-0.172682,0.246702,-0.424629,0.301337,-0.519722,-0.111823,0.104827,0.465394,0.240463,0.218827,0.0982339,0.0348007,0.312574,0.565141,-1.40151,0.228071,0.40555,-0.090801,1.46514,-3.12245,-0.86711,-1.23985,-0.584984,0.135935,-1.07935,-0.658908,-0.172141,2.10542,0.51612,1.63868,0.184006,-0.0275871,-0.14767,1.13207,0.612215,-0.406927,1.06502,0.359716,2.50005,0.792227,-0.629214,0.329576,0.410376,0.780096,0.844347,-0.261395,1.7138,0.220981,-1.18041,-0.0160999,-0.0129332,1.21816,0.34443,0.234445,2.52143,1.75785,1.21342,-0.829577,-0.876872,-0.149393,-0.475523,-0.624867,-1.88419,0.329832,1.23505,0.790371,1.59594,0.966792,-0.00827816,-0.971727,-0.0747163,-0.205369,0.815095,0.253864,-0.510683,-0.02544,1.41173,-0.782101,0.938727,0.910478,-0.479477,0.441466,0.541767,0.261258,1.14059,-1.45205,-0.177466,-0.388117,-0.0180249,0.389396,-0.297413,-0.0598025,0.21529,1.50243,0.604254,1.23866,0.416563,0.296983,0.22912,0.952352,0.658561,0.0826026,0.914459,0.515864,1.72545,0.760294,-0.0430212,0.498831,0.544494,0.753438,0.789749,0.164848,4.27572,5.5303,5.53417,7.26444,5.98893,5.84513,9.68898,8.18457,7.25682,4.62039,4.57235,5.36978,4.9964,4.8342,3.65988,5.96964,7.2916,6.60916,7.89692,6.87191,5.53987,4.47751,5.45913,5.30377,6.64537,5.87026,4.95774,5.5189,7.58191,4.66912,6.82943,6.78693,0.373652,0.911787,2.29867,1.56575,2.51468,-0.66978,1.25115,1.12518,0.658138,1.76349,1.07668,1.31429,0.950032,1.95663,1.43327,2.47355,1.01679,1.81028,1.29105,2.84846,2.24146,2.01351,2.70616,1.88996,2.45805,1.56839,1.71388,1.56248,1.41547,1.17499,2.48284,1.39974,0.407659,0.286634,0.0912332,0.172823,0.0748353,0.661454,0.222502,0.245051,0.341158,0.146354,0.254134,0.211769,0.278878,0.123833,0.192589,0.0777333,0.265653,0.140604,0.215675,0.0547611,0.0960886,0.117792,0.0626107,0.131249,0.0788517,0.172446,0.152661,0.173291,0.195373,0.235955,0.0770701,0.197857
270.127,0.814334,0.0856052,5,63,0,-232.341,0.181484,0.0819928,-0.165402,0.0476741,-0.0132055,0.088704,0.0877057,0.115683,0.350643,0.00530186,0.0450887,-0.152373,0.0577346,0.298167,0.565649,-1.4172,0.539985,1.1557,0.834135,0.494985,-3.18389,-0.332274,-0.92238,-0.580795,0.341806,-1.32319,-0.653195,1.12785,1.39052,1.10322,2.01848,-0.966476,0.204617,-1.8032,0.632164,1.1725,-0.909077,0.360617,0.943287,1.75253,0.463086,0.196858,0.207368,-1.26399,0.717517,-1.1927,0.300974,1.65225,0.0482961,0.0325693,-0.930338,0.305863,0.112814,0.437447,1.4135,-1.43357,-0.948914,-0.112217,0.269535,3.19484,0.0296815,0.89278,0.691771,-0.52178,-0.592067,-0.470635,-0.412185,0.0429987,0.621403,-0.19294,1.04004,0.89908,-1.21088,0.529533,0.440744,1.20054,-0.459335,-2.22008,0.533322,0.0819165,0.09559,-0.503472,0.603609,0.951889,0.769995,0.578155,-1.5028,0.110217,-0.223575,-0.0303584,0.491509,-0.45029,-0.0713114,0.936134,1.08471,0.9222,1.43992,-0.248518,0.413909,-0.721808,0.65575,0.961388,-0.216051,0.50215,0.831736,1.28948,0.560111,0.40952,0.415465,-0.416806,0.70403,-0.37648,0.468413,5.22691,4.9894,5.29636,5.24721,5.33012,5.5874,4.8696,4.98492,5.19049,5.28707,6.08938,5.22618,5.44863,5.39599,5.08883,5.07158,5.10141,5.11583,5.22954,5.37769,5.17029,5.48752,5.45029,4.92225,5.35388,5.33097,5.53023,5.1042,4.68809,5.35486,5.23938,5.24284,0.752913,1.22491,2.79295,1.86051,1.78413,-0.367875,2.34916,1.21334,1.03594,1.69749,0.755689,1.13467,1.9517,1.70708,1.96726,2.41496,0.527288,1.85083,0.880984,2.72775,2.51378,1.91368,2.40094,2.03772,2.37373,1.82885,2.25058,2.01085,0.831107,1.29716,2.11477,1.44345,0.320187,0.227073,0.0577064,0.134644,0.143793,0.590945,0.0871329,0.22911,0.261934,0.154794,0.319583,0.243301,0.124369,0.153543,0.122684,0.082039,0.37115,0.135776,0.292974,0.0613557,0.0748981,0.128568,0.0831007,0.1153,0.0851978,0.138375,0.0952995,0.118068,0.303411,0.214644,0.10767,0.191011
