# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6c_model
# start_datetime = 2022-04-23 08:34:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39342051697b.json
# init = 2 (Default)
# random
#   seed = 1494280987
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6c-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6c-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6c_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0758643
# Diagonal elements of inverse mass matrix:
# 0.03721, 0.0516898, 0.072294, 0.0849709, 0.0953764, 0.103801, 0.0902363, 0.0844641, 0.0512051, 0.0529818, 0.0652056, 0.0701546, 0.000307814, 0.000363253, 0.0380885, 0.0325859, 0.228775, 0.302662, 0.251992, 0.17742, 0.209456, 0.383669, 0.450018, 0.212515, 0.252724, 0.220138, 0.175522, 0.164667, 0.229223, 0.322357, 0.212846, 0.240801, 0.205023, 0.210128, 0.270159, 0.335469, 0.198358, 0.287263, 0.279946, 0.18618, 0.300557, 0.345277, 0.231556, 0.279405, 0.20983, 0.256765, 0.509271, 0.166452, 0.0123568, 0.963233, 0.849387, 0.724845, 0.897839, 0.889635, 0.669144, 0.88542, 0.784961, 0.694778, 0.592085, 0.828485, 0.905117, 0.694284, 0.682698, 0.727434, 0.810301, 0.865454, 0.739124, 0.877366, 0.712831, 0.90639, 0.871121, 1.09294, 0.833368, 0.752774, 0.898132, 0.892178, 0.840795, 0.684888, 0.696163, 0.641889, 0.751728, 0.723951
284.071,0.990983,0.0758643,6,63,0,-242.811,0.0336853,0.127114,-0.187092,-0.125129,-0.14685,-0.178985,-0.116289,0.0582782,0.397943,0.206382,-0.229381,0.401993,0.078951,0.0472926,0.181647,0.707329,-0.873528,0.988183,-0.120211,-0.18625,1.33568,-2.94482,-0.8961,-1.38205,0.505348,0.297991,-1.07182,-0.522293,0.700478,1.58328,1.56782,1.7186,-0.326523,-0.295668,-0.446449,-0.40939,0.593257,-1.15662,0.153857,0.558921,1.98146,-0.170205,-0.938177,-0.0803519,-0.00684026,1.64156,0.571738,0.0984663,1.68604,0.092576,0.856714,-0.264847,0.672638,0.830103,-0.0903315,-1.20711,-2.1469,0.221639,-0.675687,-0.912279,-0.116008,1.07572,-0.402732,-0.652735,-1.19758,0.738907,1.50181,0.998123,-0.0774306,-0.854602,-0.0840307,1.25013,0.463446,0.56183,0.172561,-1.25085,1.46714,-1.45329,2.16647,-1.64303,1.44542,0.11508,-0.436225,0.880617,0.0966176,0.0499063,1.12641,-1.90131,-0.452191,-0.795918,0.539094,0.392424,-0.576481,-0.187787,0.677115,1.30154,1.29061,1.39726,-0.0493126,-0.027488,-0.13414,-0.107927,0.601275,-0.636465,0.290474,0.576987,1.58319,0.0612557,-0.481953,0.124811,0.176808,1.34277,0.586053,0.251295,5.84363,5.26732,5.74489,5.82925,5.35311,4.82732,4.42508,5.50997,5.07075,4.96089,5.3404,5.96332,5.20052,5.08154,4.83158,5.78024,6.20325,5.92063,5.35951,4.98745,5.35624,6.06039,5.63471,5.68626,5.48499,4.80782,6.18337,4.71855,6.59693,4.63639,6.17095,5.45588,0.653873,1.4505,2.42416,1.35109,2.5855,-0.824546,1.53408,0.978968,1.09645,1.85151,0.882601,1.2713,1.56272,1.96362,2.17973,2.54054,0.723993,1.7474,1.23971,2.53542,2.53406,2.08583,2.69697,2.03607,2.62361,1.57447,1.84559,1.57773,1.25377,1.50428,2.66186,1.39457,0.342117,0.189925,0.0813488,0.205693,0.0700778,0.6952,0.177398,0.273097,0.250405,0.135696,0.292639,0.219036,0.173257,0.123076,0.101586,0.0730647,0.326514,0.148376,0.224486,0.0734121,0.0735045,0.110481,0.0631525,0.115468,0.0676346,0.17158,0.136392,0.171118,0.222048,0.181788,0.0652616,0.198679
283.196,0.981711,0.0758643,6,63,0,-248.586,0.288512,0.449519,0.135982,0.12816,0.086223,-0.021608,0.0306246,-0.0504093,0.0598168,0.0314656,0.295055,-0.259213,0.0552979,0.0540635,0.118411,1.05545,-0.815387,0.229579,0.0166326,0.179867,1.1969,-1.91639,-0.628231,-0.316129,-1.01256,0.364744,-0.230331,-0.13455,0.0618056,0.76774,0.773693,1.00551,-0.361329,0.731705,-0.694778,0.562345,1.19075,0.138465,0.257151,0.406318,1.05929,0.175962,0.865953,-0.399161,-0.28072,-0.0421567,0.0276833,0.417794,1.7745,0.111302,-1.12739,-0.0382572,0.131064,0.213655,-0.113219,-0.0757714,2.64193,-0.400661,0.887194,0.179734,1.14039,-0.297198,0.377306,0.131027,0.288874,-0.714195,-1.31027,-0.718413,-0.607185,1.7862,-0.512358,0.453982,0.339711,0.255539,-0.756631,1.698,-0.659611,0.769692,-2.25413,1.21745,-0.853335,0.0141676,-0.742193,0.360722,0.135966,0.308253,1.38168,-1.90425,-0.544658,-0.215248,-0.950301,0.503382,-0.124692,-0.0236003,0.183645,0.928727,0.935009,1.17968,-0.262955,0.890694,-0.614895,0.711941,1.37519,0.264555,0.389823,0.547262,1.23644,0.304131,1.03239,-0.302885,-0.177876,0.073917,0.14763,0.559374,5.20185,5.87225,5.98397,6.03923,5.82346,5.84778,7.91334,5.6401,6.50937,6.01647,6.69542,5.70542,6.15024,5.98394,6.09,5.44667,5.09704,5.44411,5.51193,7.19441,5.57041,6.20295,6.12456,6.06745,5.42101,7.12412,5.47986,6.42479,4.58875,6.7531,5.36297,5.90662,0.689739,1.19796,1.94525,1.39867,2.58269,-0.323118,2.10238,1.20695,0.824996,1.70439,1.07632,1.17741,1.34513,2.06199,1.99574,2.1595,0.924122,2.31289,1.14142,2.74242,2.90799,2.35033,2.25441,1.74827,2.80221,1.88038,2.84167,1.70301,1.20761,1.35478,2.57543,1.53919,0.334091,0.231839,0.125072,0.198028,0.0702609,0.580084,0.108865,0.230241,0.304704,0.153893,0.254204,0.235519,0.206667,0.112846,0.119651,0.103447,0.284119,0.0900608,0.24206,0.0605163,0.0517602,0.0870396,0.0949701,0.148266,0.0572048,0.132345,0.0551135,0.154072,0.230124,0.205091,0.0707366,0.176653
290.518,0.978128,0.0758643,6,63,0,-242.165,0.149346,0.438701,-0.0603087,-0.101951,-0.204557,0.0788017,0.0631609,0.21471,0.0971369,-0.119858,0.143851,0.360023,0.0665539,0.0196984,0.331726,0.719565,-0.33445,0.515044,0.360817,0.0560376,0.656408,-2.89293,-0.664832,-1.07732,-1.06506,0.481866,-0.778812,-0.170668,1.21601,1.59551,1.7166,1.87209,-0.475166,-0.584972,-0.410683,0.731143,0.617874,0.201585,0.164422,0.506383,2.04559,0.0572264,0.0282323,0.107574,-0.0706841,0.233376,1.40711,0.493233,1.62952,0.195227,0.621397,0.955755,1.30823,0.156079,-0.699499,-0.797321,-1.76426,0.620664,-0.290566,-0.806536,0.318214,0.286852,0.579762,-0.171838,-0.563442,0.293978,0.938959,0.709903,-0.561929,0.409487,0.262274,0.969693,0.244059,1.32343,0.0940669,-0.749924,1.22269,-0.327391,1.97503,0.219577,1.05284,-0.555676,0.0910679,0.702334,0.591358,0.372049,0.804055,-1.74993,-0.146663,-0.443479,-0.434657,0.67846,-0.22868,0.20892,1.20673,1.4798,1.56693,1.67882,-0.0101866,-0.089199,0.0362134,0.857831,0.776327,0.47678,0.450039,0.696102,1.80366,0.372905,0.352041,0.409133,0.280865,0.499655,1.34423,0.68664,5.75937,6.14786,6.5858,5.25924,4.45022,4.36604,3.61498,5.75855,4.82007,4.35819,5.42837,5.39524,5.71275,4.9331,4.57001,5.40275,6.12774,5.85975,4.57137,5.52597,5.36941,6.16462,5.35035,6.60538,5.19595,4.40663,6.47674,4.78555,7.50144,5.32484,6.2655,4.57695,1.03137,1.42596,2.44722,1.36271,1.92783,-0.985597,1.02971,0.94651,0.591759,1.80223,0.895093,1.33269,2.01535,2.10462,2.24416,2.53637,0.567957,1.30079,1.09471,2.97991,2.29942,2.66541,2.37246,1.81987,2.58607,1.73072,2.20791,1.32349,1.17584,1.30804,2.52903,1.5442,0.262818,0.19373,0.0796418,0.2038,0.126991,0.728217,0.26314,0.279587,0.356231,0.141579,0.29006,0.208714,0.1176,0.108649,0.0958547,0.0733473,0.361708,0.214032,0.250733,0.0483417,0.0911708,0.0650453,0.0852972,0.139449,0.0700406,0.150496,0.0990427,0.210238,0.235801,0.212814,0.0738478,0.175926
291.925,0.964067,0.0758643,6,63,0,-249.071,0.145477,0.0849628,0.167066,-0.0941394,0.287214,-0.0872327,-0.119874,-0.0209218,0.394526,-0.0250064,0.203195,0.0305815,0.0701029,0.0611886,-0.186206,0.863687,-0.967223,1.14401,0.272468,0.143563,1.02467,-2.26695,-0.0433,-0.772805,-0.700131,0.208774,-1.16084,-0.453629,0.204715,1.4374,0.953451,1.16786,0.0236083,0.485985,-0.94095,1.02861,0.546623,-0.768029,0.862861,0.145837,1.62425,0.725775,-0.369453,0.338106,-0.10563,0.666488,-0.0826907,0.030044,1.82479,0.156737,-0.895727,-1.16443,-0.748346,-0.138164,0.0524051,-0.815505,0.864694,0.0892145,0.921888,0.765368,-0.0269053,-1.09563,-0.9644,-1.11232,-0.172272,-0.850539,-1.103,0.36059,-0.180659,-0.275098,-0.294902,0.0896482,0.761245,-0.94497,-0.739551,1.01877,0.295359,-0.546111,-1.79767,-0.14851,-0.277165,0.899571,-1.02158,0.801859,0.0491206,-0.0622126,0.698784,-2.14414,-0.223604,-0.853668,-0.7909,-0.00589048,-1.18881,-0.577999,-0.00939626,1.05526,0.637277,0.822459,-0.165816,0.233533,-0.998893,0.702189,0.285905,-0.849542,0.559036,-0.0602486,1.21663,0.440637,-0.505298,0.105811,-0.277438,0.389431,-0.257625,-0.160258,5.3892,5.16694,5.51514,6.06864,6.25264,5.45739,7.1016,6.28882,7.16555,6.9919,6.1754,5.22296,5.3315,5.20931,6.03629,5.4275,5.21693,6.56208,6.02836,5.93978,5.92137,6.28925,6.98738,5.34776,5.52275,7.27519,6.49534,5.69276,4.67873,6.05881,5.93786,7.14053,0.2839,1.43427,2.59189,1.56922,2.47042,-1.02075,2.06969,1.19838,0.44563,1.76574,0.582828,1.19364,1.04109,1.63527,1.71969,2.31368,0.577275,2.28558,0.673724,3.52537,2.47816,2.04374,3.17191,1.71139,2.28615,1.92848,2.03747,1.71725,1.01927,1.12475,2.35743,1.33097,0.429498,0.192434,0.0696623,0.172328,0.0779581,0.735119,0.112078,0.231764,0.3904,0.146072,0.358282,0.232609,0.260939,0.16311,0.151911,0.0899961,0.35956,0.0923243,0.337664,0.028599,0.0774036,0.114687,0.0402367,0.152984,0.0922764,0.126918,0.115325,0.152226,0.26517,0.245132,0.086477,0.209
292.351,0.995807,0.0758643,5,63,0,-255.771,0.236772,0.0648346,0.0133765,-0.0575863,0.103434,0.179045,-0.266721,0.0337041,0.614411,0.0312445,0.208162,-0.22757,0.0741598,0.0511818,-0.191018,0.818476,-0.847028,1.30016,0.243358,0.458422,1.22802,-2.25903,-0.0906849,-0.646541,-0.560954,0.0966731,-1.00295,-0.283969,0.0708275,1.43752,1.27663,1.1995,-0.0936107,-0.259601,-0.619764,0.504823,0.376368,-0.797115,1.08989,0.0501591,1.71398,1.07515,-0.719414,0.743112,-0.180754,0.666583,0.317901,-0.0560706,1.87259,0.41544,-0.635541,-0.815567,-0.620488,0.672852,-0.886428,0.221237,0.773155,-0.267488,0.46804,0.719634,0.612352,-0.8928,-0.461406,-0.42313,-0.56799,-0.99717,-0.0593319,0.333054,-0.769624,-0.381825,-0.344002,0.421658,0.701184,-0.345191,-0.884915,1.53644,0.0902996,-0.481839,-1.29445,0.540281,-0.746326,0.337047,-0.88429,0.873134,0.00816522,0.18419,0.814085,-2.03998,-0.265241,-0.720196,-0.650145,-0.111893,-1.01191,-0.42344,-0.133047,0.985554,0.853876,0.790744,-0.267636,-0.403495,-0.69828,0.222168,0.11703,-0.843437,0.701028,-0.149964,1.21184,0.688964,-0.779841,0.417202,-0.338961,0.354564,0.0691766,-0.23691,4.99564,4.63564,5.02697,8.6031,4.50116,7.13137,8.96917,5.82098,7.90137,8.77194,8.38957,4.48926,5.37042,5.4565,5.13781,4.29877,6.34676,7.47046,4.72497,5.55095,5.63886,7.75058,8.70496,5.63607,4.50399,12.3159,6.75382,5.32503,3.79935,8.1421,4.77092,7.48287,0.600408,1.79483,2.64212,1.85407,2.63228,-0.939307,1.81347,1.39464,0.530667,1.70631,0.806289,1.39476,1.13911,1.63118,2.15488,2.3123,0.515901,1.71134,1.09351,3.15276,2.38019,2.16132,3.40914,1.66823,2.26691,1.78897,1.85412,1.92622,1.13904,1.11699,2.65196,1.28465,0.35425,0.142481,0.0664762,0.135396,0.0670894,0.71896,0.140219,0.198668,0.370361,0.153644,0.308682,0.198649,0.242484,0.163669,0.103876,0.0901091,0.373811,0.15299,0.250958,0.0409825,0.084696,0.103278,0.0320109,0.15866,0.0939004,0.143199,0.13539,0.12717,0.242497,0.24657,0.0658683,0.21676
282.475,0.964398,0.0758643,5,31,0,-257.097,0.325858,0.163952,0.271874,-0.154423,-0.0191471,-0.315795,-0.470014,0.219011,0.323548,-0.248269,0.280753,-0.478702,0.0622504,0.0436909,-0.0907905,0.760796,-0.664022,0.011128,0.163456,0.0108043,0.371821,-2.03898,-0.256537,-0.196746,-0.774088,1.23391,-1.1659,-0.846992,1.25336,2.10015,1.2754,1.26294,0.219474,-0.0964137,-0.422099,0.233268,0.878254,-0.317538,-0.253846,0.569669,1.99331,1.50493,0.495033,0.540121,-0.630931,0.673117,0.328933,0.963571,1.85307,0.258947,-1.94129,0.307465,2.15932,0.0893201,-0.723056,-1.58968,-0.450774,-2.55913,-0.260794,-0.63495,0.617296,-0.0681355,-0.0488652,-1.23728,-0.751907,-1.3316,0.0715794,-0.472286,-0.776985,1.10632,0.686427,0.227518,0.230408,0.689651,-0.90989,-0.0903007,0.950795,-0.00106976,-0.693045,0.63415,0.570159,0.491453,-0.595976,-0.0823244,0.0335657,-0.0825706,0.192089,-1.64204,-0.285963,-0.240474,-0.679713,0.847965,-0.977799,-0.735178,0.862758,1.507,0.879526,0.870045,0.0761845,-0.164142,-0.411921,0.0866788,0.577381,-0.332372,-0.283916,0.342612,1.42571,1.05415,0.285828,0.320131,-0.5708,0.421314,0.159461,0.64229,3.85889,6.90805,11.1587,6.52864,5.2901,4.22673,5.67655,3.28837,5.96279,5.41218,7.48512,6.26781,6.29916,4.63058,5.25073,4.51885,6.49872,5.64502,5.21674,8.4956,7.62032,6.76651,6.77157,7.62668,5.04026,6.23194,8.16025,6.37761,5.33137,7.51786,7.39431,7.24514,0.712347,0.745398,2.52507,1.59968,1.99884,-0.744883,1.45543,1.81527,0.673197,2.65471,0.828948,1.07157,1.97655,2.02505,1.98054,2.42779,0.68578,1.89161,1.15855,2.82718,2.75763,2.47038,2.26984,2.14936,2.29329,1.94497,2.77733,1.56399,0.720582,1.40211,2.3584,2.20004,0.32908,0.321825,0.0741195,0.168027,0.119325,0.678063,0.189167,0.140002,0.337781,0.0656992,0.303868,0.255105,0.121687,0.116598,0.121261,0.0810779,0.334972,0.131061,0.238931,0.0558729,0.0596571,0.0779608,0.0936521,0.104391,0.0916802,0.125103,0.0585616,0.173075,0.327265,0.197482,0.0864005,0.0997473
