# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC6c_model
# start_datetime = 2022-04-23 08:34:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39342051697b.json
# init = 2 (Default)
# random
#   seed = 1494280987
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6c-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC6c-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC6c_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.079808
# Diagonal elements of inverse mass matrix:
# 0.0354515, 0.0598721, 0.0768071, 0.090315, 0.0855354, 0.091047, 0.0924016, 0.0804335, 0.0533738, 0.0533966, 0.0734518, 0.0788024, 0.000317323, 0.000402235, 0.0335209, 0.0281379, 0.222558, 0.271549, 0.288117, 0.189269, 0.227374, 0.281826, 0.469701, 0.206051, 0.291728, 0.239667, 0.169348, 0.174135, 0.224748, 0.270142, 0.24275, 0.2688, 0.2006, 0.215452, 0.246371, 0.302187, 0.273786, 0.294714, 0.268773, 0.201232, 0.27747, 0.298305, 0.244307, 0.27343, 0.202441, 0.297375, 0.517621, 0.184374, 0.0114282, 1.05707, 0.772085, 0.683855, 0.824332, 0.740902, 0.723644, 0.802065, 0.817635, 0.630926, 0.760345, 0.718754, 0.854771, 0.742346, 0.747046, 0.669245, 0.657497, 0.870633, 0.686948, 0.792246, 0.617762, 0.94871, 0.934502, 0.87949, 0.806616, 0.750941, 0.890743, 0.659253, 0.968657, 0.73117, 0.669616, 0.652482, 1.09064, 0.793984
269.59,0.879091,0.079808,6,63,0,-236.335,0.36585,-0.277743,0.652819,0.315021,-0.354957,0.287694,-0.618725,-0.049033,0.479889,-0.128502,0.321264,0.260566,0.0163098,0.0290376,0.317371,0.595262,-0.880458,0.114833,1.09227,-0.806287,-0.00625305,-2.82541,0.333571,-0.886857,-0.840043,0.39028,-1.40756,-1.15562,1.08926,1.69735,0.452109,0.754112,-0.725906,-0.779697,-0.829134,0.840465,0.524862,-0.318757,-0.163399,-1.17844,2.4221,1.41668,-0.324616,1.68149,-0.816305,0.903427,1.16589,-0.10832,1.65497,0.449639,-0.269708,-1.36623,0.850373,2.48748,-1.0241,-0.825818,0.855483,0.680305,-1.05163,0.208035,1.59209,0.553795,0.238111,-0.426697,-1.54642,-0.48367,-0.129547,0.866565,-0.223851,-0.305417,-0.560559,0.940999,-1.18791,-0.0537697,-2.27723,1.1351,1.06549,-1.00022,-1.78194,1.95457,1.23401,0.121141,-0.206732,0.385727,0.967555,-0.162581,0.313649,-1.36449,0.515933,-0.210541,-0.182674,0.54969,-0.520499,-0.370526,0.965766,1.32774,0.586494,0.766265,-0.114733,-0.146753,-0.176181,0.817668,0.629801,0.127627,0.220105,-0.384112,1.75915,1.16066,0.124139,1.31829,-0.168544,0.855146,1.01138,0.252892,4.63531,2.83109,7.67014,16.0137,3.3019,3.60981,7.68778,7.10548,3.26128,5.74606,10.7064,6.71257,5.82429,4.31939,2.61077,4.21014,4.93683,7.72619,4.73188,4.56148,4.06708,7.98915,3.06744,5.10794,1.87957,8.71772,8.44908,3.33755,2.34842,12.6016,9.11419,5.52589,0.656343,0.929388,2.79633,1.45417,1.96302,-0.969737,1.43848,1.50407,0.579851,2.19906,1.12887,1.27884,1.74617,1.43723,1.4916,2.3504,0.148838,1.56786,0.86112,2.71169,2.37703,2.03796,2.06519,1.26526,2.10095,2.0801,1.95292,1.95013,0.723229,1.42364,2.63286,1.83702,0.341562,0.283049,0.0575226,0.189361,0.123141,0.725067,0.191781,0.181819,0.358967,0.0998349,0.244369,0.217747,0.148531,0.191974,0.183682,0.0870342,0.462859,0.172522,0.297105,0.0622873,0.084941,0.115275,0.112526,0.22007,0.109005,0.111046,0.124235,0.124539,0.326682,0.194092,0.0670534,0.137404
262.477,0.866485,0.079808,6,63,0,-225.038,0.15119,0.710434,-0.355798,0.373852,0.514991,-0.267162,-0.107434,0.0529638,-0.0427916,0.310294,-0.304914,-0.083889,0.109686,0.037574,-0.0245083,0.664247,-0.787395,1.06936,0.170396,-0.134735,1.16964,-3.71812,-1.72961,-0.53631,-0.443508,0.914836,0.079127,-0.556044,1.149,0.97163,1.39009,1.76666,-1.27153,-0.414596,-1.12694,0.0299575,0.212681,-1.56614,-0.0141348,0.166747,1.67862,-0.616337,-1.59067,0.650697,0.0833157,0.793286,0.915104,0.913073,1.68729,0.129362,-1.05819,0.72197,0.0256327,-1.72873,0.277156,-0.3215,0.161209,-1.19499,-0.234236,-1.12927,0.845571,-0.249446,-0.103709,-0.904094,0.262184,-1.24025,-1.34857,1.15075,-0.18702,1.3293,-0.307868,1.46448,2.35194,1.87001,0.263466,-1.25565,-0.352391,-0.315673,2.34875,-1.65405,0.97544,-0.678244,-0.547533,0.685812,0.088677,-0.114006,0.75242,-2.49426,-1.1734,-0.380751,-0.319107,0.583169,0.0280515,-0.393859,0.738711,0.620894,0.898857,1.14899,-0.869118,-0.299903,-0.773077,-0.00460915,0.116765,-1.06481,-0.0338973,0.0862527,1.09051,-0.433908,-1.08111,0.407715,0.0308338,0.502429,0.583346,0.581998,4.71335,5.93392,5.42276,4.32174,5.60211,5.18463,5.51871,4.63068,5.24349,4.67021,6.02956,5.23319,5.33278,4.80825,5.59127,4.60364,4.53958,6.27236,5.27562,6.41893,5.19378,6.53215,7.32681,6.88398,5.59219,4.59448,5.16396,5.18854,7.32379,4.36369,6.13171,4.9508,0.74686,1.56689,2.80825,1.17965,2.26545,-0.757655,1.33828,1.57103,0.788311,2.0962,1.54108,1.11917,1.79717,2.0805,1.7502,2.22328,0.531931,1.65187,0.74676,3.15371,2.28791,2.20319,2.79537,1.59928,2.85071,1.12085,1.63847,2.43268,1.25182,1.21138,2.39851,1.65629,0.321506,0.17266,0.0568797,0.235114,0.0940249,0.680844,0.207793,0.17207,0.312531,0.109467,0.176378,0.246165,0.142196,0.111006,0.148022,0.0976795,0.370067,0.160856,0.321528,0.0409453,0.092129,0.0994642,0.0575751,0.168082,0.0546447,0.245854,0.162673,0.0807147,0.222385,0.229457,0.0832866,0.160261
265.353,0.998483,0.079808,6,63,0,-225.856,0.195422,0.137133,0.29147,-0.434183,-0.611679,0.267241,0.144804,-0.216184,0.362126,0.324689,0.0558492,-0.118036,0.0477509,0.00932905,0.2177,0.714624,-1.05923,-0.241766,-0.0343972,0.0641597,0.777922,-2.14668,-0.130606,-1.28909,-0.334995,0.0599234,-2.01193,-0.292952,0.483991,1.64866,1.71133,2.03218,-0.224707,-0.0623047,0.0898616,0.245763,0.963603,-0.114448,0.0715901,0.448426,1.8747,1.04037,0.889657,0.251884,-0.65112,0.796299,1.19397,-0.342399,1.6751,0.161629,0.323734,-0.874762,0.0961641,2.88718,-2.10318,-0.816216,1.12616,1.5985,0.904802,0.79545,0.199698,1.0492,0.0930505,-0.638167,-1.66403,0.49245,1.69046,-0.537589,-0.352791,-1.08949,0.679227,0.765369,-1.86077,-1.29982,-0.953022,2.01524,1.33783,-0.737848,-2.6225,2.14599,-0.270411,1.025,-0.53925,0.0449285,0.193119,0.263551,0.773622,-1.31637,0.124366,-0.703516,-0.0216952,0.260523,-1.22007,0.00835009,0.563572,1.39587,1.44066,1.66994,0.0571198,0.173176,0.281918,0.393328,0.906314,0.135913,0.26886,0.538156,1.5574,0.961171,0.853471,0.397703,-0.247605,0.786754,1.07094,-0.0269861,5.62617,4.63537,5.42298,8.51438,3.80064,4.67944,6.40529,6.91344,6.18017,6.0719,5.5145,6.3261,5.42026,4.81606,4.0802,5.7817,7.01697,4.895,5.04341,4.47725,5.9589,6.04245,3.9525,4.3276,4.57711,7.39515,6.62821,4.73909,3.49464,7.5531,5.11101,6.30141,0.270066,0.751624,2.12155,1.57122,2.17679,-0.518984,1.11081,0.890659,0.500001,1.66369,0.183102,1.41152,1.31904,2.1211,2.15822,2.88211,0.777278,1.76735,1.14721,2.51276,2.59599,2.3031,2.24504,1.94133,2.35727,1.3672,2.7819,1.26736,0.54754,1.21493,2.02645,1.18518,0.432891,0.320468,0.10702,0.172042,0.101854,0.62691,0.247719,0.290974,0.37754,0.159267,0.454352,0.195994,0.210978,0.107062,0.103565,0.053045,0.314907,0.145872,0.241,0.0749682,0.0693969,0.0908666,0.0957779,0.125502,0.0864898,0.203073,0.05831,0.219709,0.366435,0.228831,0.116453,0.234122
273.489,0.995656,0.079808,6,63,0,-227.836,0.29896,0.309508,-0.150444,0.384555,0.784545,-0.110842,-0.0675955,0.138207,0.382021,0.133244,0.244246,0.181966,0.0747268,0.00807959,0.28384,0.719448,-0.869351,-0.163973,-0.380461,-0.590749,1.0885,-2.64951,-0.257834,-0.765552,-0.843399,0.261059,-0.0904082,-0.788629,0.362907,0.958541,0.45349,1.2377,-0.603642,-0.428901,-0.986073,0.338925,0.000494609,-0.966863,-0.14194,-0.248458,2.34781,0.716215,-1.6684,1.40865,-0.0739196,0.14309,0.9104,0.464521,1.77697,0.182105,-0.418894,0.0855916,-0.0376552,-0.995034,1.05178,-0.0989128,-0.280727,-2.08311,-1.0031,-1.28302,-0.177475,-0.488402,-0.707831,-0.402716,-0.0390262,-0.832296,-0.677806,1.29976,-0.398543,1.6981,-0.771924,0.858036,2.05341,1.58474,-0.0615641,0.168627,-1.24259,-0.0985555,1.40242,-0.898765,0.606273,-0.736411,-0.341612,0.165871,0.0101184,-0.141172,1.06696,-1.62234,0.0983424,-0.266934,-0.322941,0.471659,0.218797,-0.283537,0.544933,0.97346,0.610103,1.1743,-0.150448,-0.0247311,-0.425588,0.527679,0.284196,-0.411767,0.181722,0.105088,1.97297,0.79912,-0.916485,1.29729,0.230659,0.386786,0.938825,0.618039,5.47771,6.00478,5.87151,4.93212,7.15996,5.80638,5.61728,4.04558,4.92489,4.68013,5.7239,5.40881,5.19694,5.49387,5.87005,5.08047,5.22543,7.49069,5.49805,8.05426,5.13664,6.91174,8.59262,7.8897,5.846,6.09627,4.71471,5.80676,7.63205,5.01935,6.60201,5.16996,0.764871,1.18348,2.32164,1.1989,2.55649,-0.758968,1.14188,1.5215,0.661926,1.96119,1.70832,1.20599,1.58179,1.79077,1.54844,2.36492,0.616478,1.7637,0.729373,3.13811,2.22208,2.27339,2.56797,1.59462,2.85491,1.76227,1.39504,2.21997,1.30516,1.26438,2.08981,1.80866,0.31759,0.234427,0.0893465,0.231671,0.0719919,0.68113,0.241976,0.179241,0.340307,0.123339,0.153381,0.230411,0.170543,0.142979,0.175312,0.0858874,0.350583,0.146327,0.325332,0.0415624,0.0977848,0.0933509,0.0712285,0.168736,0.0544279,0.146506,0.198605,0.0979713,0.213298,0.220222,0.110091,0.1408
266.625,0.949557,0.079808,6,63,0,-225.719,0.0934298,0.516145,-0.120237,-0.123603,-0.529696,-0.0142227,0.238789,-0.487752,0.0225157,0.115941,-0.180838,0.716686,0.0757579,0.0143274,0.465398,0.557919,-1.32716,0.0880247,-0.167387,0.224734,0.516712,-3.56527,-0.144254,-1.2821,-0.336598,-0.0603192,-1.95558,-0.321499,0.684547,1.38551,1.8226,2.59244,-0.23346,0.168514,-0.257218,-0.0686801,0.838616,-0.928259,0.166942,0.603933,0.568578,0.00856327,0.641884,-0.914032,-0.998257,0.287909,0.146664,-0.0558713,1.64942,0.283391,-0.644125,-0.731531,-0.234131,0.908099,-1.08638,-0.842178,0.968356,1.23626,1.00759,-0.610203,1.67963,1.54299,1.25756,-1.03885,0.0629255,0.105853,1.34121,-0.0982245,-0.524103,-0.995655,1.49306,0.130937,0.0820192,-0.641055,-0.816961,1.14753,2.0125,-0.431264,-2.48761,0.545927,-0.53824,1.15036,-0.275051,0.514509,0.37201,0.590782,0.753681,-1.52373,0.384916,-0.249912,0.277604,0.431745,-0.625655,0.286028,0.84732,1.2384,1.48226,1.91177,0.335147,0.559415,0.321892,0.42708,0.933278,-0.0524947,0.558539,0.802344,0.782619,0.470176,0.823517,-0.0445574,-0.091548,0.626028,0.547225,0.434227,4.33567,4.2296,4.86986,6.73127,3.82495,4.09903,6.8472,7.3873,6.92376,4.37755,8.37633,8.05817,7.43201,3.87682,5.29757,5.36241,7.6103,5.06108,4.48568,3.92457,7.94495,5.40067,5.32631,4.33945,4.12843,7.20385,9.20496,4.60526,2.57139,6.07467,4.46774,7.20962,0.559863,1.19182,2.33996,1.57387,1.88829,-0.582525,1.64279,1.18773,0.93782,1.56635,0.508953,1.42064,1.56271,2.0951,2.03421,2.74334,1.11039,1.99706,1.24277,2.69806,2.52243,2.29424,2.60224,1.93695,1.75394,2.10154,2.79146,1.00238,0.690035,1.10052,1.47513,1.2658,0.363579,0.232933,0.0878675,0.171665,0.13144,0.641648,0.162086,0.233666,0.281341,0.172737,0.375439,0.194562,0.173259,0.109574,0.115658,0.0604636,0.247798,0.119512,0.223954,0.0630881,0.0743004,0.0916011,0.0689943,0.125983,0.147551,0.108947,0.0577873,0.268474,0.334025,0.249643,0.186165,0.219977
271.796,0.976838,0.079808,6,63,0,-222.35,-0.0445386,0.308337,0.0367177,0.245314,-0.366053,0.334788,0.163337,-0.575428,0.118164,0.0683226,-0.192417,0.233528,0.0664055,0.0261093,0.490768,0.565689,-0.972679,-0.539668,-0.0151986,-0.049454,-0.0262262,-3.03439,-0.0337084,-1.03829,-0.33212,0.543174,-1.52583,-0.209239,0.36793,1.32495,1.55808,2.77992,-0.630193,-0.299469,-0.777128,0.597362,0.368815,-1.10727,-0.642787,0.433157,1.45099,0.0473271,0.586522,-0.283465,-1.25963,0.426584,0.928027,0.47933,1.68629,0.218834,-1.28767,-1.58913,-0.0608002,0.685037,-1.90329,-0.209421,0.66021,1.30485,0.881347,-0.301638,1.15424,1.2853,1.24419,-1.23498,-0.573654,-0.940297,1.16337,0.35913,-1.46363,-1.17098,1.34137,0.398393,-0.25402,-0.63178,-0.949118,1.12043,1.42949,-1.09976,-1.55034,1.70336,-0.510836,1.50286,-0.0594663,0.185483,0.48217,0.462792,0.475932,-1.22576,0.471699,-0.0965825,0.302891,0.798035,-0.372377,0.372403,0.698902,1.24028,1.37216,2.06334,0.134274,0.321361,0.0511549,0.828689,0.699403,-0.135602,0.12715,0.7358,1.31158,0.51754,0.822557,0.330415,-0.221793,0.732082,1.01574,0.76192,4.0735,3.81344,5.32804,6.27264,3.56008,5.15754,6.23866,7.18384,6.54798,5.05451,6.95092,7.15318,7.0891,4.12074,4.76241,4.39523,6.96483,5.84086,3.91963,4.17886,7.24149,5.89126,5.10745,4.70222,4.38675,6.8997,7.38248,4.2445,3.84596,7.83846,4.82833,7.50196,0.636714,0.594461,2.3639,1.48125,1.6272,-0.501531,1.71855,1.32031,0.740708,1.9493,0.778889,1.52367,1.25348,1.75607,1.84664,2.94898,0.654056,1.73825,0.903991,2.97604,2.2491,2.07815,2.07528,1.88707,2.03624,1.54814,2.70428,1.2582,0.442528,0.918546,2.15358,1.64756,0.34599,0.355612,0.0859675,0.185239,0.164215,0.622819,0.152058,0.210767,0.322849,0.124629,0.314559,0.178922,0.222099,0.147283,0.136268,0.0497845,0.342076,0.149535,0.288231,0.0485202,0.0954269,0.111238,0.111523,0.131579,0.11545,0.175355,0.062721,0.221283,0.391139,0.285254,0.103997,0.161438
