# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim1_model
# start_datetime = 2022-03-10 13:38:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b384e34e16.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0212294
# Diagonal elements of inverse mass matrix:
# 0.273034, 0.341756, 0.230925, 0.469803, 0.508098, 0.435406, 0.408651, 0.403732, 0.382285, 0.390702, 0.395224, 0.414582, 0.393875, 0.442901, 0.48814, 0.492473, 0.40656, 0.403741, 0.410594, 0.394893, 0.434529, 0.401716, 0.421457, 0.403844, 0.498449, 0.410273, 0.424128, 0.396275, 0.41389, 0.387784, 0.45219, 0.437722, 0.490192, 0.416136, 0.397824, 0.00354857, 0.0104068, 0.0469533, 0.0471289, 0.0482182, 0.0461266, 0.0440473, 0.0401693, 0.0501948, 0.0446277, 0.0475118, 0.0507972, 0.0443685, 0.0449389, 0.0485786, 0.0479661, 0.0480639, 0.0467445, 0.0509323, 0.0417064, 0.0441647, 0.0426214, 0.0494586, 0.0473448, 0.044363, 0.0533929, 0.050218, 0.0481792, 0.0475689, 0.0518036, 0.0476419, 0.049547, 0.0521503, 0.0495751, 0.0387292, 0.0533119, 0.0475508, 0.0443715, 0.0412763, 0.0403093, 0.0434438, 0.0613312, 0.0496408, 0.044748, 0.0448173, 0.0450979, 0.0441182, 0.047144, 0.0458899, 0.0447417, 0.0412728, 0.047295, 0.0513723, 0.0384777, 0.045262, 0.0424228, 0.0508617, 0.0486642, 0.0445342, 0.0481156, 0.046134, 0.0450906, 0.0482808, 0.0491802, 0.0412997, 0.0511155, 0.0504026, 0.040472, 0.0490487, 0.0487753, 0.0532676, 0.0551652, 0.0483701, 0.04699, 0.0423911, 0.0479962, 0.0564665, 0.0584809, 0.0471351, 0.0474422, 0.0473522, 0.0418042, 0.49202, 0.739786, 0.747051, 0.747574, 0.738679, 0.746179, 0.730771, 0.753457, 0.736706, 0.750618, 0.745934, 0.744708, 0.749529, 0.753983, 0.745258, 0.744133, 0.746424, 0.745803, 0.743979, 0.742432, 0.750834, 0.746876, 0.748659, 0.746572, 0.74239, 0.746732, 0.744339, 0.742194, 0.752197, 0.754221, 0.757757, 0.733963, 0.743409
-3839.1,0.928707,0.0212294,8,255,0,3920.43,0.690406,0.237644,0.569337,-0.698029,-0.404984,-0.322165,0.273265,0.387819,0.660938,0.651382,0.346181,0.234331,0.398686,-0.253073,-0.324561,1.38608,0.185554,0.344358,0.940253,0.23692,1.12938,0.270793,-0.17704,0.565793,-0.399172,0.547631,-0.0506606,0.217287,0.698936,0.667464,1.07942,-0.0562802,1.40034,-0.161059,0.480627,-0.0142829,0.436603,0.39877,-0.22047,-0.493679,0.286738,0.144648,0.305724,-0.725801,0.228769,0.563092,-0.152139,0.0875377,0.131665,0.383437,0.479774,0.325452,-0.265097,-0.705313,-0.249104,-0.685652,0.294229,-0.288629,-0.0431752,0.470864,-0.98041,-0.268268,-0.0969939,0.729681,-0.272704,-0.66148,-0.851644,0.111217,-0.333905,0.469376,-0.661481,0.425611,-0.303839,0.154365,-0.639406,0.179345,-1.35352,-0.0491082,0.12219,0.351227,0.0200208,0.343884,0.165324,-0.168821,0.631705,-0.420077,0.218906,-0.107264,-0.340563,-0.202917,0.27251,0.158882,0.335452,-0.197616,0.662878,-0.311231,0.499588,0.888743,0.661899,-0.210373,0.37577,-0.497647,0.107728,-0.0930411,-0.254994,-0.346149,0.484291,-0.483352,-0.0792281,0.436731,-0.345719,0.48111,0.913309,0.157682,0.175512,-0.0655526,-0.514845,0.0614211,0.0359722,0.303403,0.392991,0.895269,1.0921,1.34466,1.36685,0.996222,0.811511,1.13769,0.47057,0.323388,2.11296,0.978213,1.05185,1.5902,0.912962,1.83564,0.848088,0.502889,1.30164,0.296291,1.28574,0.611665,0.993316,1.34482,1.35157,1.76984,0.610738,2.04883,0.627391,1.22338
-3832.89,0.857803,0.0212294,8,255,0,3898.98,0.530222,0.3195,0.44925,-0.224149,-0.575195,-0.0750058,0.263037,0.269677,0.531267,0.626323,0.230347,0.171049,0.36125,0.034146,-0.619103,1.26279,0.271587,0.48518,0.718483,0.319548,0.908559,-0.200499,-0.144124,0.59867,-0.548365,0.267158,-0.0697815,0.280175,0.752212,0.649008,1.23638,-0.202983,1.31359,0.0655314,0.660325,0.0127475,0.374843,0.546961,-0.19343,-0.607031,-0.0982842,0.26887,0.440209,-0.849006,0.466044,0.565422,-0.0879365,0.120296,0.293972,0.406797,0.436358,0.354156,-0.190411,-0.622239,-0.104884,-0.522865,0.403146,-0.299469,-0.109951,0.51,-0.801395,-0.654318,-0.19784,0.660509,-0.0834539,-0.344378,-0.621948,0.19866,-0.0649363,0.344244,-0.698233,0.402861,-0.15659,-0.0225236,-0.698366,0.268739,-1.545,-0.0331065,0.0279921,0.0552173,0.202967,0.342612,0.173923,-0.255919,0.662272,-0.482699,0.221971,-0.0236883,-0.143314,-0.216621,0.331678,0.367859,0.50534,-0.0282275,0.813326,-0.517285,0.597044,0.795244,0.362007,-0.146705,0.353365,-0.498659,0.222172,-0.0764295,-0.246605,-0.254788,0.321236,-0.44933,0.0654273,0.338266,-0.305438,0.759626,0.776034,0.189368,0.0451665,-0.0689177,-0.520326,0.0430441,0.273526,-0.0375856,0.43344,0.787736,0.828167,1.03836,1.13114,0.795131,0.809664,0.899782,0.576812,-0.0487893,1.79103,0.760142,1.04366,1.26725,0.866039,1.41531,0.334135,0.391981,1.14683,-0.0493387,0.868625,0.577323,0.803258,1.28169,1.18027,1.71925,0.350006,1.86911,0.627199,1.23171
-3836.41,0.148821,0.0212294,8,255,0,3907.8,0.39403,0.264668,0.501649,-0.0769698,-0.227368,0.0563934,0.29965,0.403123,0.699639,0.832035,0.388301,0.379174,0.494009,-0.158372,-0.403004,1.39701,0.290605,0.650617,0.770567,0.395451,0.997765,-0.0844745,0.0745834,0.7062,-0.437204,0.747017,0.215286,0.601102,0.77335,0.775169,1.45242,0.061444,1.39081,0.127988,0.807197,-0.0470855,0.48913,0.252761,0.545777,-0.0833329,0.0187905,0.323706,-0.100412,-0.572565,0.60899,0.46656,-0.676144,0.103797,0.14477,0.472353,0.676029,0.244179,0.385451,-0.802827,-0.018433,-0.164761,-0.00265422,-0.115846,0.199502,0.106824,-0.935286,-0.243884,-0.429161,0.701037,-0.1216,-0.171758,-0.267157,-0.122677,-0.648843,-0.285824,-0.594302,0.946583,0.0407142,0.107739,-0.618849,-0.0950856,-1.48133,0.527462,-0.257314,0.524536,0.349974,-0.0885556,1.03105,-0.196056,0.626616,-0.400555,0.105177,-0.0502384,-0.0455571,0.0294093,0.174149,0.296319,0.710402,-0.0277453,0.455248,-0.612957,0.745569,0.863008,0.502327,0.252633,-0.0163349,-0.702994,0.153113,-0.358177,-0.36195,-0.318867,1.02188,-0.715596,-0.0572575,0.605157,-0.510255,0.430618,0.930541,0.950864,0.156266,-0.160441,-0.126976,0.0403173,0.316178,0.115645,0.466414,0.746787,0.819319,1.04617,1.2228,0.688058,0.807856,0.897595,0.184897,-0.0404329,1.83181,0.710412,1.04193,1.21823,0.755397,1.3943,0.294609,0.494714,1.13135,-0.0212316,1.07113,0.584562,0.968673,1.19092,1.16145,1.87372,0.422129,1.75836,0.465349,1.2226
-3847.65,0.955849,0.0212294,8,255,0,3913.57,0.216638,0.39291,0.463405,-0.363128,-0.639019,-0.00676935,0.301066,0.259019,0.774988,0.850205,0.58823,0.389932,0.37273,0.033377,-0.204408,1.22881,0.406445,0.656697,0.896435,0.533429,1.08181,0.248448,-0.0411985,0.635031,-0.661731,0.671249,0.0898341,0.297626,0.814863,0.679487,1.45011,0.0215198,1.3111,0.204576,0.754589,0.0280781,0.538252,0.287229,-0.127508,-0.28281,0.178037,-0.208008,0.335933,-0.72681,0.351216,0.241049,-0.395683,-0.219278,0.104418,0.527707,0.637375,0.351675,-0.372217,-0.606634,0.0708264,-0.357331,0.354922,-0.519709,0.0209016,0.611716,-0.775227,-0.598712,-0.453955,0.576131,-0.245335,-0.160708,-0.712961,-0.0300067,-0.369828,0.469651,-0.762815,0.792907,-0.192301,-0.0686423,-0.337789,0.332471,-1.44078,0.109129,0.119836,-0.0459199,0.256941,0.307664,0.183119,0.259867,0.0937405,-0.416095,-0.311483,0.00780733,0.0593657,-0.259396,0.180133,0.673975,0.411342,-0.546794,0.639172,-0.61023,0.537589,0.900239,0.589362,-0.065331,-0.0696689,-0.310786,-0.430421,-0.0888614,-0.452822,-0.70831,0.605383,-0.663884,-0.311327,0.306562,-0.191564,0.528963,0.794518,-0.119506,0.0658282,0.227956,-0.34749,0.0698597,-0.148113,-0.395445,0.280979,0.604884,0.511766,0.949998,0.958882,0.680583,0.635835,0.607512,0.171559,-0.0179886,1.53392,0.642336,0.825505,1.17479,0.719213,1.32067,0.403334,0.261769,1.02426,-0.412003,0.822073,0.254843,0.500877,1.08276,0.91638,1.61808,0.160035,1.54719,0.395405,1.04019
-3863.79,0.810509,0.0212294,8,255,0,3925.96,-0.780447,0.39731,0.419225,-0.198872,-0.266571,-0.0958481,0.475914,0.292997,0.573677,0.735963,0.214711,0.199827,0.430969,-0.404297,-0.306554,1.15803,0.0430921,0.502854,0.838973,0.392543,0.993037,0.242351,0.0674863,0.717668,-0.233507,0.487639,0.283249,0.449872,0.643459,0.582001,1.0219,0.0718483,1.45737,0.127671,0.821993,-0.0147741,0.447412,0.379772,0.0426591,-0.319233,0.243358,-0.424612,0.335313,-0.543581,0.481946,0.407438,-0.250125,-0.400281,0.264343,0.619464,0.681595,0.00960486,-0.112562,-0.625126,-0.0887385,-0.437574,0.169005,-0.420395,0.268122,0.512338,-0.645548,-0.51752,-0.344581,0.39784,-0.0488784,-0.120907,-0.778209,-0.225128,-0.422324,0.29942,-0.400462,0.920511,-0.174117,-0.190832,-0.331397,0.311071,-1.03298,-0.0820247,-0.0420008,-0.0857946,0.176731,0.468994,0.443666,0.142331,-0.0834775,-0.443362,0.0201809,-0.0264312,0.0184451,-0.249452,0.216995,0.352411,0.493895,-0.762211,0.816391,-0.576093,0.430873,0.771982,0.667137,-7.88002e-06,-0.264091,-0.193844,-0.368708,-0.120375,-0.389925,-0.811326,0.293688,-0.678139,-0.0912341,0.51201,-0.468859,0.83688,0.383457,0.0813903,0.124254,-0.00961733,-0.448101,0.0914872,-1.13533,-1.08226,-0.946601,-0.413043,-0.495038,-0.0643171,-0.0796946,-0.565824,-0.566313,-0.34866,-1.07769,-1.29749,0.405912,-0.637533,-0.207679,0.186789,-0.41765,0.169136,-0.64797,-0.809033,0.0471892,-1.10795,-0.32098,-0.59519,-0.524181,0.00652278,-0.270404,0.407305,-0.748217,0.652959,-0.731422,-0.0604553
-3863.69,0.983984,0.0212294,8,255,0,3938.72,-0.269011,-0.0763097,0.556366,-0.634139,-0.795726,-0.27915,0.247459,0.124507,0.196191,0.468237,-0.38297,-0.125346,0.133986,-0.745667,-0.862353,1.10434,0.0683047,0.144041,0.409549,0.054615,0.78568,-0.286044,-0.435466,-0.00604109,-0.780251,0.21939,-0.33886,-0.0818488,0.441528,0.434298,0.896653,-0.417876,1.24341,-0.255153,0.675964,-0.0335031,0.435071,0.376591,0.167163,-0.211045,0.366301,-0.262649,0.300757,-0.685066,0.347797,0.248113,-0.4523,-0.221997,0.0926987,0.742588,0.700632,0.166507,0.0199623,-0.292611,-0.0764134,-0.299659,0.30729,-0.379978,0.228182,0.34385,-0.702293,-0.81195,0.00631668,0.688279,-0.00968883,0.0144248,-0.426132,0.0334372,-0.658029,0.222832,-0.624594,1.123,-0.0179156,-0.0530395,-0.329244,0.239138,-1.23838,-0.171784,0.239956,0.066537,0.0068711,0.801213,0.485728,0.229479,0.177354,-0.516809,0.0378677,0.0222265,-0.0473982,-0.136243,0.140732,0.28213,0.460536,-0.328821,0.85853,-0.626571,0.468952,0.755686,0.702739,-0.0551147,-0.186171,-0.408696,-0.471128,-0.0362497,-0.345171,-0.785855,0.610983,-0.452714,-0.00624046,0.507867,-0.350881,0.527018,0.623588,0.0126803,0.24239,-0.0643089,-0.478938,0.11175,-0.966264,-1.17177,-0.562373,-0.263652,-0.103794,0.104232,0.093885,-0.512314,-0.460341,-0.128923,-0.924047,-1.03251,0.829894,-0.279832,-0.122521,0.168213,-0.165511,0.495258,-0.574327,-0.87214,-0.0893718,-0.981782,-0.0960593,-0.58875,-0.36373,0.206145,-0.0470419,0.680224,-0.691974,0.896286,-0.681128,0.285021
