# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim1_model
# start_datetime = 2022-03-10 13:38:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b384e34e16.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00818137
# Diagonal elements of inverse mass matrix:
# 0.246957, 0.243893, 0.223594, 0.325692, 0.358709, 0.299225, 0.287221, 0.287668, 0.309106, 0.295311, 0.285237, 0.282831, 0.294225, 0.307498, 0.32609, 0.406149, 0.283736, 0.287755, 0.319145, 0.283916, 0.343789, 0.297871, 0.307341, 0.290385, 0.344965, 0.299145, 0.284828, 0.278658, 0.310387, 0.294758, 0.359956, 0.301742, 0.422142, 0.294504, 0.304466, 0.00379564, 0.0103092, 0.0450175, 0.0449114, 0.0449154, 0.0512647, 0.0412488, 0.0427493, 0.0427893, 0.053702, 0.0405826, 0.0475065, 0.046373, 0.0431737, 0.0458184, 0.0486343, 0.0435126, 0.0455142, 0.0466242, 0.0439588, 0.0495854, 0.0468294, 0.0508956, 0.0540728, 0.045773, 0.0552548, 0.05467, 0.0512164, 0.048818, 0.0456466, 0.0531104, 0.0538068, 0.0507652, 0.0498632, 0.0447659, 0.0483621, 0.0485084, 0.0514829, 0.0501074, 0.0419293, 0.043435, 0.0639626, 0.0428725, 0.0450531, 0.0433945, 0.0557015, 0.0460427, 0.0517052, 0.0474958, 0.0494199, 0.0414514, 0.0459272, 0.0441802, 0.0441918, 0.047798, 0.042124, 0.0480049, 0.0458647, 0.0458285, 0.0463206, 0.0501233, 0.0465601, 0.052273, 0.042032, 0.0468626, 0.0439844, 0.0545529, 0.046218, 0.0409239, 0.0467764, 0.0481946, 0.0471461, 0.0505937, 0.0456171, 0.048912, 0.0434885, 0.0476357, 0.0579769, 0.0459553, 0.0474448, 0.0466126, 0.0469723, 0.850287, 0.49869, 0.506043, 0.508858, 0.510938, 0.495744, 0.504844, 0.502981, 0.502996, 0.508623, 0.506946, 0.502658, 0.501827, 0.505071, 0.504562, 0.508151, 0.508803, 0.50585, 0.509185, 0.507188, 0.510319, 0.50847, 0.505057, 0.500602, 0.500488, 0.504015, 0.498883, 0.50026, 0.513968, 0.499542, 0.508697, 0.50763, 0.514232
-3796.26,0.705367,0.00818137,9,511,0,3863.96,0.829406,-0.707403,0.570789,-1.51635,-1.67101,-1.25726,-0.742828,-0.716701,-0.373384,-0.335784,-0.826625,-0.883686,-0.69183,-1.15624,-1.41814,0.25361,-0.946311,-0.521771,-0.273814,-0.656548,0.0887064,-1.0803,-1.29431,-0.403969,-1.52058,-0.602716,-1.01369,-0.691275,-0.260051,-0.457665,0.0862569,-1.1522,0.161299,-1.01036,-0.499693,0.0405905,0.505586,0.484659,0.248695,-0.225431,0.0491658,0.133314,-0.0772722,-0.530474,0.306727,0.0564927,-0.646809,-0.0459996,-0.0297905,0.677393,0.384593,0.16616,0.053584,-0.701041,-0.0885246,-0.259067,0.328507,-0.309532,0.0536861,-0.0290976,-1.02841,-0.644543,-0.357181,0.931101,-0.0525824,-0.250662,-0.490889,0.259137,-0.807709,0.602837,-0.333579,0.748799,0.0945358,-0.0826909,-0.384908,0.191587,-1.14381,-0.0712667,0.248713,-0.250754,0.18607,0.331584,0.887844,0.0555198,0.766561,-0.620202,0.0105413,-0.113001,-0.162971,-0.120938,0.224046,0.272589,0.797673,-0.242761,0.72077,-0.655367,0.557539,0.929612,0.930423,-0.280382,0.414526,-0.735977,0.468793,-0.679995,-0.576313,-0.544869,0.909449,-0.553616,-0.221281,0.222692,-0.591382,0.691257,1.21008,0.362241,0.236104,0.0466243,-0.612571,0.0139622,-0.687393,-0.841487,-0.452553,0.0620825,0.108263,0.455779,0.481181,0.0186215,-0.0749922,0.161554,-0.349741,-0.579104,1.08808,-0.107066,0.300216,0.562392,0.189411,0.923953,-0.253025,-0.434865,0.448487,-0.716286,0.220672,-0.188085,0.130206,0.572612,0.374761,0.926227,-0.301301,0.966163,-0.168817,0.315877
-3805.55,0.935292,0.00818137,9,511,0,3868.37,0.281568,-0.125483,0.422683,-1.02965,-1.12976,-0.681311,-0.356498,-0.483895,0.0324805,-0.112477,-0.536483,-0.291068,-0.295506,-1.03382,-1.16613,0.805984,-0.264651,-0.301333,0.0775135,-0.413924,0.155381,-0.49531,-0.700489,-0.0253731,-1.25641,-0.102204,-0.493473,-0.414348,0.128667,-0.0697344,0.377903,-0.801818,0.902581,-0.566666,0.155917,-0.035646,0.437286,0.271514,0.300642,-0.0742825,-0.113427,-0.0839411,0.103369,-0.912868,0.373349,0.145085,-0.486849,-0.119353,-0.265153,0.536113,0.388663,0.341886,0.149533,-0.714313,0.454734,-0.27351,0.582328,-0.582282,0.298959,0.250299,-1.04461,-0.642892,-0.392879,0.132635,-0.338096,0.0203513,-0.435912,-0.23945,-0.270731,0.373626,-0.43729,0.578279,-0.00130029,0.190549,-0.4022,0.189067,-1.33932,0.347018,-0.238519,0.362219,0.418383,0.240017,0.599859,-0.065859,-0.138626,-0.691909,0.534264,-0.0329127,0.0147726,-0.489322,0.106545,0.131063,0.192024,-0.30093,0.915608,-0.754602,0.563204,0.997605,0.592979,-0.0534374,0.0249625,-0.529623,-0.211285,-0.382771,-0.0752421,-0.430377,0.83335,-0.936097,-0.217422,0.323976,-0.167929,0.718108,0.803296,-0.176673,0.387774,-0.135918,-0.22532,0.0163895,-0.747532,-0.848432,-0.415426,-0.083135,-0.212689,0.303653,0.163924,-0.250412,-0.0214921,0.0165948,-0.777361,-0.891446,1.08938,0.0157227,-0.0200845,0.357076,-0.119422,0.437716,-0.23252,-0.433033,0.260501,-1.01548,0.171222,-0.226419,-0.112462,0.43794,0.207049,0.673151,-0.503044,1.1338,-0.271777,0.428408
-3816.25,0.851726,0.00818137,9,511,0,3878.97,0.167444,-0.0560188,0.531569,-0.821715,-0.991315,-0.607917,-0.163881,-0.0264022,0.225809,0.28154,-0.33526,-0.30671,-0.319439,-0.766181,-0.835434,0.721066,-0.220669,-0.0290209,0.207547,-0.206643,0.442901,-0.26802,-0.660473,0.0639847,-0.975976,-0.00383446,-0.348146,-0.342905,0.346448,0.102024,0.626591,-0.588203,0.685673,-0.443268,0.18096,0.0540537,0.515516,0.254146,0.144935,-0.277472,0.241429,-0.0611339,0.0829076,-1.31454,0.35623,0.134415,-0.49121,-0.0864573,-0.187878,0.630947,1.23533,0.386447,0.0523425,-1.2235,0.236457,-0.278708,0.295991,-0.0275919,0.36053,0.185616,-1.04184,-0.522839,-0.186259,0.674226,-0.0617213,-0.440903,-0.606504,0.363307,-0.39824,0.433036,-0.459794,0.693315,0.0543705,0.069298,-0.444556,0.396127,-1.39994,0.65708,-0.202649,-0.239159,0.437958,0.346634,0.631646,-0.107841,0.275943,-0.269114,0.179176,-0.0881706,-0.192123,-0.492514,0.0314551,0.00547124,0.889519,-0.420981,0.703202,-0.737754,0.46648,0.969236,0.765204,-0.31567,0.175246,-0.55478,0.134091,-0.411204,-0.327026,-0.643875,0.799319,-0.52483,-0.320824,-0.136868,-0.00290988,0.568704,1.09885,0.711742,-0.400918,-0.319566,-0.26898,0.021682,-0.668219,-0.859725,-0.443223,0.0220649,0.135709,0.381576,0.44689,-0.161913,-0.122126,-0.15862,-0.589077,-0.667277,0.891723,-0.0604172,0.163111,0.369851,-0.0388156,0.646463,-0.100294,-0.51121,0.252307,-0.813593,0.126166,-0.181319,-0.189057,0.491187,0.288732,0.773077,-0.415435,0.8019,-0.274945,0.33215
-3831.79,0.988679,0.00818137,9,511,0,3912.03,0.30835,-0.574181,0.448977,-1.14107,-1.52733,-0.714355,-0.387153,-0.573155,-0.17653,0.0379585,-0.486486,-0.475293,-0.343579,-0.794393,-1.12418,0.756479,-0.448869,-0.485551,-0.00798643,-0.356172,0.384581,-0.785579,-1.18306,0.054096,-1.12514,-0.206509,-0.575035,-0.358683,0.0578731,-0.187654,0.320985,-0.622605,0.811913,-0.440824,0.074411,0.0838473,0.423168,0.410795,0.109452,-0.162509,0.145339,0.122409,0.00342015,-0.802278,0.259113,-0.142257,-0.372359,0.148442,-0.0380005,0.535695,1.17132,0.279258,0.0853866,-0.951179,0.0132804,-0.167825,0.247403,0.114007,0.423164,0.289529,-0.741708,-0.390102,0.0427451,0.674864,-0.16392,-0.383238,-0.41939,0.471272,-0.326238,0.522035,-0.453333,0.681722,0.0117832,0.120833,-0.372371,0.548448,-1.10239,0.740409,-0.141278,-0.203559,0.344654,0.237846,0.611981,-0.0327446,0.301931,-0.47003,0.105993,-0.0151215,-0.271011,-0.444936,0.161431,0.098479,0.634831,-0.30579,0.587134,-0.64943,0.553491,0.932098,0.76321,-0.0247717,0.199405,-0.506437,0.153619,-0.214437,-0.282484,-0.525211,0.652217,-0.437348,-0.24068,-0.0992451,-0.0106597,0.674742,0.946448,0.518895,-0.280646,-0.295916,-0.108334,0.0294367,-0.802591,-1.19599,-0.405512,-0.111999,-0.28443,0.114967,0.346153,-0.200887,-0.183554,-0.0118961,-0.487567,-0.842638,1.10624,-0.135931,-0.202112,0.322793,-0.0704272,0.654915,-0.475837,-0.87615,0.322437,-0.810161,0.149879,-0.266349,-0.0380818,0.342461,0.0988967,0.627544,-0.337994,1.09558,-0.159587,0.430564
-3832.83,0.959361,0.00818137,9,511,0,3918.11,-0.41948,-0.73791,0.471863,-1.4489,-1.39364,-1.32836,-0.790396,-0.742262,-0.394861,-0.558358,-0.934019,-0.780733,-0.70191,-1.33008,-1.55069,0.222697,-0.751672,-0.643751,-0.172054,-0.948155,-0.313064,-0.997113,-1.19304,-0.536674,-1.5925,-0.438545,-1.03141,-0.889691,-0.117513,-0.37274,0.131104,-1.23207,0.338534,-1.24946,-0.404917,0.120871,0.590744,0.175544,0.018587,-0.199053,0.131,-0.138526,-0.180416,-0.615056,0.270261,0.546912,-0.43311,0.246392,-0.0788565,0.466329,0.737922,0.0573156,0.407645,-0.869762,-0.205435,0.0846578,0.310974,0.167667,0.352926,0.424123,-0.775825,-0.794964,-0.0255878,0.662816,-0.0685953,-0.0813659,-0.53338,0.0483109,-0.405679,0.516068,-0.631485,0.952256,0.250233,0.337112,-0.142732,0.100918,-1.15725,0.436637,-0.443252,0.105713,0.156299,0.154037,0.207403,-0.185677,0.385968,-0.571146,0.129219,-0.0452571,0.21221,-0.00984869,0.437193,0.211602,0.83477,-0.213681,0.80487,-0.586934,0.745191,1.01652,0.489218,-0.339228,0.0185008,-0.873962,0.38858,-0.0584116,-0.440926,-0.689425,0.867856,-0.60704,-0.69682,0.022276,-0.454406,0.62258,1.21775,0.335644,0.168263,0.247099,-0.5646,0.027067,-1.84352,-1.80849,-1.68811,-1.28131,-1.13792,-0.858236,-0.972672,-1.34396,-1.19293,-1.08378,-1.76956,-1.99353,-0.201547,-1.20598,-1.07235,-0.580624,-1.39848,-0.699773,-1.43546,-1.61974,-0.95723,-2.03928,-0.846696,-1.46498,-1.28863,-0.520792,-0.787476,-0.283064,-1.65954,-0.0507953,-1.65669,-0.761097
-3838.75,0.997292,0.00818137,9,511,0,3909.99,-0.0911718,-0.718532,0.505917,-1.70649,-1.62902,-1.43107,-0.801228,-0.850895,-0.633164,-0.45404,-0.829001,-0.954777,-0.812559,-1.63145,-1.67437,0.201271,-0.872344,-0.880262,-0.467962,-0.77263,-0.0785236,-0.980753,-1.4678,-0.620501,-1.54715,-0.57536,-1.06054,-0.751423,-0.352731,-0.445427,-0.0987642,-1.63411,0.278819,-1.20843,-0.570869,0.0219921,0.515507,0.345684,0.378153,-0.0333207,-0.100854,0.178773,0.147171,-0.402874,0.625398,0.218156,-0.441085,-0.298934,0.466905,0.169066,0.249663,0.197314,-0.417985,-0.686324,0.362947,-0.995061,0.301378,-0.417603,-0.110083,0.313471,-1.31494,-0.551382,-0.137018,0.229291,-0.216289,-0.346196,-0.817558,0.180425,-0.708963,0.356227,-0.683156,0.859193,-0.372716,0.478027,-0.854145,0.166389,-1.7714,0.149478,0.150035,0.147177,0.342862,-0.0337269,0.928038,0.409729,0.312492,-0.170361,-0.144376,0.333139,-0.0556622,-0.574351,0.309475,0.461825,0.724116,-0.144078,0.945511,-0.621818,0.696031,1.16196,0.386969,0.0247658,-0.0528524,-0.551882,-0.00999087,-0.360152,-1.0465,-0.59336,0.170099,-0.432271,-0.248516,0.582129,-0.330442,0.400598,1.40681,0.603749,-0.260518,-0.108522,-0.283134,0.026884,-1.76837,-1.79301,-1.52592,-0.865976,-0.942456,-0.713065,-0.496224,-0.926943,-1.04315,-0.941301,-1.68296,-1.75753,0.11547,-0.972896,-0.926995,-0.545537,-0.876837,-0.192032,-1.07259,-1.521,-0.723392,-1.62349,-0.667948,-1.12698,-0.854782,-0.496684,-0.497322,-0.165885,-1.6898,0.180452,-1.32117,-0.672945
