# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim2_model
# start_datetime = 2022-03-10 16:16:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b387e3d68bb.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.037607
# Diagonal elements of inverse mass matrix:
# 0.234908, 0.102483, 0.100288, 0.1115, 0.0138713, 0.00643439, 0.238005, 0.60565, 0.307819, 0.293439, 0.271931, 0.348407, 0.302375, 0.385056, 0.378672, 0.291308, 0.300673, 0.333348, 0.278449, 0.294874, 0.45228, 0.269936, 0.299402, 0.340597, 0.28457, 0.355681, 0.279118, 0.312629, 0.291556, 0.316931, 0.299296, 0.290696, 0.281643, 0.333274, 0.27778, 0.355956, 0.300805, 0.542086, 0.297338, 0.285922, 0.00380193, 0.0108333, 0.0472009, 0.0528311, 0.0470659, 0.0525597, 0.0469637, 0.0470749, 0.0532115, 0.049396, 0.0470233, 0.0449789, 0.0545289, 0.0483992, 0.0537895, 0.0514042, 0.0509801, 0.0467354, 0.0475096, 0.051389, 0.0462826, 0.0490179, 0.0501656, 0.0439305, 0.0457028, 0.0574788, 0.0479991, 0.0561579, 0.0484624, 0.0496575, 0.0461566, 0.0532212, 0.0475017, 0.0441759, 0.0405857, 0.0535036, 0.0656501, 0.0533235, 0.0445451, 0.0498625, 0.0469209, 0.0678495, 0.0464542, 0.0499947, 0.0518306, 0.0460593, 0.0455125, 0.0463824, 0.053416, 0.0482829, 0.055749, 0.0518038, 0.0439091, 0.0473292, 0.0496122, 0.0467344, 0.0466688, 0.0498619, 0.0452745, 0.0535405, 0.0511297, 0.0467803, 0.0495337, 0.0515139, 0.0451425, 0.0481689, 0.0594695, 0.0464188, 0.048271, 0.0531526, 0.0462688, 0.05272, 0.0516133, 0.0478249, 0.0529518, 0.0496157, 0.0511686, 0.0496849, 0.0520438, 0.043984, 0.0500011, 0.0496496, 0.883534, 0.654144, 0.648874, 0.656639, 0.64383, 0.64332, 0.661462, 0.648249, 0.653419, 0.65345, 0.652631, 0.656898, 0.645983, 0.643265, 0.644148, 0.656111, 0.644085, 0.652655, 0.6425, 0.646684, 0.65951, 0.649893, 0.645872, 0.653931, 0.652448, 0.648953, 0.645911, 0.647746, 0.647824, 0.656513, 0.652729, 0.650293, 0.655068
-3765.56,0.988501,0.037607,7,127,0,3832.59,-0.237928,0.151244,0.138281,-0.24127,-0.180071,0.0295918,-0.336503,0.448678,-0.80073,-0.525197,-0.391418,-0.120722,0.385915,1.06581,0.0283799,-0.420551,-0.226742,0.0761182,-0.2982,-0.447816,0.501959,-0.295625,-0.333008,0.333147,-0.572721,0.166227,-0.47531,-0.730819,0.00719785,-0.687682,-0.265695,-1.06123,-0.635077,-0.640369,0.459597,0.00323542,-0.941013,0.470333,-0.693941,-0.0220114,0.0163267,0.597492,0.268742,0.113758,-0.303218,0.16755,-0.0198044,-0.0915882,-0.363393,-0.0192272,0.511164,-0.512535,-0.0982817,0.122789,0.721781,0.559844,0.506271,0.00324979,-0.64804,-0.54164,-0.553329,0.59071,-0.763045,0.66206,0.171171,-1.01389,-0.35468,-0.376377,0.408267,-0.185512,-0.182036,-0.74243,-0.778178,-0.224314,0.0816808,-1.00482,1.30057,0.305105,0.686219,-0.347707,0.22278,-1.3175,0.235083,-0.185988,-0.0618625,0.494431,-0.0991949,0.509441,0.0119268,0.00259928,-0.988841,-0.257587,0.00812571,-0.010737,-0.659339,0.409415,0.523089,0.497855,-0.414748,0.524071,-0.545696,0.463237,1.1685,0.808371,-0.287097,0.367186,-0.341732,0.520862,0.0876359,0.176065,-0.365441,0.262769,-0.618514,-0.464498,-0.0835601,-0.208948,0.500589,0.59466,0.81366,0.376135,-0.273174,-0.149645,0.327836,-0.505365,-0.687848,-0.443433,0.0053974,-0.338344,0.885704,-0.146304,0.00272548,0.0492799,0.434739,-0.716228,-0.834508,0.647868,-0.532111,-0.642092,-0.474757,-0.406737,0.35672,-0.841486,-0.795128,-0.2646,-1.43942,-1.04604,-1.63062,-1.51957,-0.849881,-0.558342,-0.169482,-1.36012,0.445193,-1.54701,-0.64701
-3772.05,0.997775,0.037607,7,127,0,3853.91,-0.363682,0.191513,-0.399912,-0.450824,0.0388637,0.195217,-0.00877649,0.449834,-0.19683,-0.439061,0.066903,0.257285,-0.186095,-0.212493,-0.360853,0.719098,0.125546,0.284693,-0.367562,-0.58739,0.826164,-0.136189,0.218085,-0.0684429,0.338794,0.394167,-0.260687,0.0406627,0.513217,-0.595029,-0.342188,-0.402688,-0.180518,0.0197735,-0.373093,0.348452,-0.795396,0.624912,-0.577944,-0.244234,-0.176947,0.579756,0.479304,0.352506,-0.904344,0.49503,0.413568,0.264444,-0.349704,-0.259924,0.474785,-0.646415,-0.0626268,-0.192686,0.502389,0.62779,-0.194395,0.0822049,-0.711289,-0.466631,-0.392212,0.440712,-0.244062,0.0789238,0.301833,-1.02834,-0.5209,-0.295666,0.802505,0.293565,-0.460548,-1.08091,-0.428212,-0.493399,-0.042208,-0.655265,0.797954,-0.0693504,0.223678,-0.275382,0.704149,-1.90826,-0.00939924,-0.108147,-0.271933,0.238784,-0.165768,0.448681,0.347925,-0.118783,-0.720285,0.0786226,-0.103125,-0.0783072,-0.484832,0.382568,0.198127,0.398837,-0.424381,0.471563,-0.796908,0.562961,0.454685,1.01846,-0.407844,0.30122,-0.397326,0.704457,-0.287792,-0.365887,-0.451733,0.320951,-0.858756,-0.517303,0.0603594,-0.23921,0.247486,0.064514,0.401826,0.139301,0.0680685,-0.171236,0.412534,-0.0191712,-0.580436,-0.159917,0.0759211,-0.14657,1.05185,0.0723302,0.449237,0.314427,0.740648,-0.51644,-0.54791,0.899266,-0.167601,-0.49035,0.0721759,-0.301973,0.732469,-0.500693,-0.57419,0.0339182,-1.09613,-0.990617,-1.20262,-1.28978,-0.585363,-0.434649,0.149069,-1.1768,0.747176,-1.23939,-0.444675
-3757.78,0.998217,0.037607,7,127,0,3831.28,-0.35919,0.0165558,-0.270811,-0.439939,-0.137685,0.158961,0.337878,0.534147,-0.117836,-0.178934,-0.0380414,0.564282,0.145365,1.2334,1.01296,-0.226349,0.35353,0.702994,-0.275535,-0.0664647,1.50399,0.564564,0.388066,1.01597,0.405149,0.866333,0.542406,0.0550444,0.0934247,-0.257659,0.334449,-0.0898686,-0.235375,0.357456,0.348104,0.503473,-0.616489,0.938898,-0.371601,0.38204,0.0203729,0.511713,0.510916,0.417232,-0.87329,0.539445,0.460805,0.255394,-0.39443,-0.206644,0.506827,-0.569562,-0.0400077,-0.11768,0.51127,0.595288,-0.189704,0.0893628,-0.725164,-0.46019,-0.418989,0.467155,-0.226825,0.114064,0.260957,-1.08391,-0.503014,-0.203205,0.749418,0.351978,-0.477361,-1.1028,-0.368653,-0.458775,-0.00276425,-0.660785,0.827401,-0.0532282,0.229446,-0.287408,0.760716,-1.95496,0.0394338,-0.0889707,-0.205534,0.260586,-0.129979,0.502671,0.330682,0.000815484,-0.804081,0.15071,0.0372552,-0.0586673,-0.403284,0.444678,0.261638,0.428813,-0.370116,0.455916,-0.762951,0.63123,0.499035,1.04865,-0.363278,0.317398,-0.418486,0.815046,-0.283499,-0.329773,-0.415613,0.389937,-0.800484,-0.506947,0.0678155,-0.237241,0.309413,0.149027,0.450189,0.170373,0.0860587,-0.12093,0.22403,0.011774,-0.0373316,0.166324,0.404304,0.184792,1.42249,0.446413,0.505895,0.632054,0.904844,-0.187465,-0.163069,1.21273,-0.0673681,0.109671,-0.00553668,0.0458823,1.04709,-0.315867,-0.28175,0.262967,-0.697902,-0.536236,-1.13471,-0.839495,-0.453383,-0.0122424,0.208963,-1.10379,1.04403,-1.10752,-0.350539
-3774.61,0.998872,0.037607,7,127,0,3850.78,-1.15843,0.0486511,0.379123,-0.10048,-0.220572,0.206514,0.405008,0.397011,-0.25302,0.318623,0.410042,0.635789,0.727671,1.16052,1.58122,0.502555,0.485579,0.771026,-0.272714,-0.0253457,1.11212,0.812392,0.23996,0.512341,0.517796,0.44063,-0.00854439,-0.248762,0.0248588,-0.0992636,0.858293,0.177666,0.0383645,0.629221,0.359029,0.494423,0.650994,0.711057,0.783681,0.389961,0.0418618,0.475405,0.43795,0.21732,-0.472296,0.367746,-0.00630707,0.212818,-0.340104,0.502872,0.188825,-0.432388,-0.377612,-0.165437,0.643135,0.588661,0.426405,-0.30499,-0.359363,0.0395916,-0.333716,0.513175,-0.540892,0.570731,0.0427075,-0.397895,-0.709836,-0.0654754,0.0436352,0.42781,-0.390042,-0.481847,-0.182014,-0.358548,0.32155,-0.289042,0.917693,-0.106756,0.325526,-0.122974,0.468535,-1.33915,0.142616,-0.412266,0.416831,0.381802,-0.13456,0.52313,0.214819,0.576353,-0.554097,0.364014,-0.155007,0.196221,-0.245072,-0.174888,0.0818898,0.57915,0.235617,0.228126,-0.020338,0.247069,0.844324,0.624023,-0.0242452,0.483603,-0.41356,0.648873,-0.285977,0.210138,-0.151678,0.233653,-0.116676,-0.636196,0.0252194,-0.333697,0.530614,0.561551,0.212922,-0.321768,-0.202996,-0.295907,0.408849,0.0944121,-0.3167,0.0518979,0.332791,-0.0169115,1.06888,0.138659,0.288639,0.440539,0.67478,-0.479223,-0.296528,1.08223,-0.104275,-0.538293,0.212676,-0.190434,0.59558,-0.437029,-0.301655,0.11029,-0.829001,-0.89765,-1.42229,-1.0006,-0.317834,-0.31103,0.117477,-0.988864,0.862731,-1.19073,-0.223108
-3786.62,0.973655,0.037607,7,127,0,3857.12,-0.0951898,0.0173775,0.257204,-0.236106,-0.323229,0.309008,0.646519,0.435046,0.43055,0.522424,0.775479,1.0401,1.44956,0.276186,0.362525,0.275857,0.950635,0.815162,0.664663,-0.260475,1.26703,0.706131,1.16732,1.05722,0.843774,0.562372,1.15881,-0.44277,0.69507,-0.14373,0.0371899,0.350695,0.61366,1.18802,0.335505,1.06722,0.767963,1.11352,-0.257418,0.984438,-0.0537766,0.487897,0.339408,0.113108,-0.461611,0.442635,-0.0621866,0.272702,-0.990839,0.480005,0.0272653,0.094947,-0.240662,-0.14019,0.721196,0.533518,0.187291,-0.158765,-0.340883,0.203928,-1.06558,0.974688,-0.249528,0.538672,0.192849,-0.860656,-0.770493,-0.100914,0.217202,0.19189,-0.484746,-0.920941,-0.430476,-0.383691,-0.0771377,-0.368529,0.996727,-0.435375,-0.185518,-0.219654,0.766741,-1.88001,0.290932,-0.211061,0.420066,0.657828,-0.357254,0.667444,0.0507957,0.470971,-0.605604,0.0262163,0.0279601,-0.223435,-0.105243,0.131663,0.301243,0.286373,-0.28189,-0.147882,-0.0328205,0.344641,0.953892,0.789553,-0.474425,0.0940966,-0.339278,0.982222,-0.210856,0.0387808,-0.0867375,0.267088,-0.127615,-0.748916,-0.0518157,0.0284417,0.683473,0.633913,0.4341,-0.343451,-0.200538,-0.211938,0.392231,1.14839,0.947145,1.01263,1.72224,1.20553,2.2501,1.3476,1.34645,1.71938,1.95621,0.942998,0.78049,1.97831,0.971062,0.808665,1.38461,0.954919,1.86685,0.796321,0.683981,1.23953,0.243603,0.256151,-0.243272,0.0927513,0.925776,0.910461,1.47599,-0.00675969,2.22093,-0.134273,0.972747
-3769.7,0.999787,0.037607,7,127,0,3858.95,0.7082,-0.0082079,0.0594014,-0.565841,-0.101828,0.110085,0.681618,0.249038,0.490631,0.39209,0.792305,1.04736,0.866359,0.827784,0.723807,1.13588,0.747756,0.522238,0.783232,0.665531,0.560272,0.477028,0.383973,0.824796,0.580167,0.722042,0.450794,0.905951,0.954933,0.474723,0.477018,0.668828,0.895892,0.101967,1.16195,0.92057,0.142236,1.02271,0.244934,0.543003,-0.0225518,0.504293,0.109659,0.10431,-0.791839,0.23877,0.356383,0.25746,-0.107268,0.509268,0.521595,-0.482633,0.38675,-0.229346,0.783398,0.342424,0.231606,0.0659857,-0.5288,-0.148557,-0.542932,0.702064,-0.525939,0.529611,0.116259,-0.842044,-0.806917,-0.234095,0.725651,0.249104,-0.702713,-0.653446,-0.410056,-0.405777,0.184248,-0.643142,1.02125,-0.176436,0.12205,-0.373638,0.295285,-1.81333,0.267992,-0.676633,0.266024,0.27925,-0.411386,0.304296,0.109708,0.549479,-0.749449,-0.025955,0.103558,-0.348595,-0.638146,0.172304,0.656047,0.413897,-0.0252954,-0.0217201,-0.280368,0.57033,0.758522,1.06188,-0.154397,0.17097,-0.588596,0.372978,-0.293948,-0.0846703,-0.238465,0.63783,-0.572002,-0.562334,-0.0925112,-0.196592,0.0105125,0.274269,0.675504,0.186268,0.115345,0.415033,0.598122,1.22788,1.03901,1.14718,1.93465,1.4558,2.44649,1.7053,1.76921,2.02695,2.12855,1.26606,1.18225,2.51336,1.08863,0.941304,1.46576,1.18365,2.05416,1.04252,1.13768,1.53125,0.516997,0.525753,0.275118,0.259469,1.19673,1.22285,1.63127,0.321858,2.40542,0.427698,1.17216
