# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim2_model
# start_datetime = 2022-03-10 16:16:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b387e3d68bb.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00857136
# Diagonal elements of inverse mass matrix:
# 0.227583, 0.106181, 0.0952155, 0.0965843, 0.0160012, 0.00705748, 0.233813, 0.287034, 0.370385, 0.326932, 0.301135, 0.287398, 0.275255, 0.308817, 0.283571, 0.300871, 0.276814, 0.274538, 0.293001, 0.327801, 0.331483, 0.286293, 0.295174, 0.293086, 0.291064, 0.299657, 0.306042, 0.359846, 0.282971, 0.367493, 0.33969, 0.319592, 0.310338, 0.282386, 0.30126, 0.295443, 0.321413, 0.355989, 0.340192, 0.291703, 0.00406956, 0.00983228, 0.0462352, 0.049358, 0.0444889, 0.0556622, 0.0473636, 0.0445482, 0.0464734, 0.0511943, 0.0491971, 0.0504085, 0.0478464, 0.0486017, 0.0443299, 0.0497598, 0.0455567, 0.0475426, 0.0484642, 0.0454827, 0.0483106, 0.0494785, 0.0478843, 0.0535118, 0.0482738, 0.0577076, 0.0497343, 0.0468866, 0.0484957, 0.0444459, 0.0529709, 0.0589649, 0.0536793, 0.049011, 0.0492961, 0.0587373, 0.0621962, 0.0464496, 0.0532875, 0.049641, 0.0494963, 0.0673806, 0.0495177, 0.0486909, 0.0464001, 0.0530542, 0.0455527, 0.0503424, 0.0493509, 0.0502608, 0.0493139, 0.0454803, 0.0481151, 0.0486051, 0.0469065, 0.0468056, 0.0446749, 0.0441067, 0.0466924, 0.0499402, 0.0501284, 0.0532129, 0.0583961, 0.0478919, 0.0521424, 0.0489627, 0.0493384, 0.0519266, 0.0452932, 0.0513855, 0.049073, 0.0568118, 0.0504907, 0.0530762, 0.0500997, 0.0508749, 0.052909, 0.0466003, 0.0480747, 0.0408866, 0.048556, 0.0505582, 1.07688, 0.479428, 0.469628, 0.485125, 0.474965, 0.484765, 0.478352, 0.477837, 0.481299, 0.475633, 0.478967, 0.479574, 0.480597, 0.477236, 0.472657, 0.480159, 0.482058, 0.478815, 0.490219, 0.488482, 0.486835, 0.479351, 0.481095, 0.481349, 0.48274, 0.484772, 0.473463, 0.481336, 0.479313, 0.478549, 0.48335, 0.477772, 0.478227
-3698.52,0.994691,0.00857136,9,511,0,3800.04,-0.34887,0.590186,0.804932,0.535227,-0.459496,0.158625,0.442038,0.595694,-0.716427,-0.577532,0.167582,0.569911,0.718649,0.911574,1.016,0.124839,0.427657,0.570164,-0.000791928,-0.17256,1.36419,0.0410651,0.530348,1.11081,0.0344684,0.75081,0.159596,-0.530898,0.312178,-0.42297,-0.264601,0.163141,0.131749,0.601767,0.148326,0.755573,0.040102,1.65229,-0.0938789,0.350041,-0.123671,0.561659,0.605271,0.214188,-0.843036,0.0844987,-0.169149,0.0468096,-0.522691,0.606577,0.30067,-0.359189,0.101697,0.286829,0.946703,0.676234,0.512875,-0.155039,-0.378873,-0.0115298,-0.215896,0.617437,-0.924599,0.194443,-0.21185,-1.42743,-0.955301,-0.106851,0.652315,0.047751,-0.350267,-0.816058,-0.26877,-0.465587,0.349392,-1.08946,0.860088,-0.24797,0.0562327,-0.347627,0.883023,-1.8868,-0.0577865,-0.37493,-0.0735383,0.741568,0.113619,0.371162,0.143244,0.0587896,-0.566976,0.110605,0.339233,0.0312775,-0.456347,0.137796,0.213315,0.687455,-0.203008,0.366578,-0.0833533,0.609836,0.472783,0.336708,-0.282468,0.0323896,-0.673928,0.322122,-0.130861,-0.0529288,-0.281732,0.155281,-0.6253,-0.391622,0.113344,-0.170845,0.345382,0.52649,0.157762,-0.271791,-0.710014,-0.296335,0.0310827,0.952656,0.680859,0.998336,1.47303,1.19974,2.33038,1.29997,1.72817,1.47625,1.66365,0.585335,0.472206,2.17591,0.657783,0.722046,1.19655,0.764619,1.715,0.61355,0.528721,0.988053,-0.0673121,0.370259,-0.397658,0.231021,0.654229,0.625296,1.08966,-0.174545,2.10041,-0.0527157,0.849101
-3701.24,0.645386,0.00857136,9,511,0,3771.55,0.648706,0.480401,0.64783,-0.0452033,-0.0929835,0.167595,-0.196595,0.479662,-0.410069,-0.632327,-0.256198,0.4427,0.00753778,0.826972,0.47477,0.146038,0.122522,0.532208,-0.287777,-0.49156,0.955213,-0.321977,-0.482939,0.248733,-0.446188,0.482506,-0.365172,-0.928208,-0.104991,-1.1981,-0.2911,-0.674997,-0.370336,0.274891,-0.196443,0.518417,-0.55676,1.39694,-0.764515,0.0300903,0.0523833,0.451648,0.162181,0.00226228,-0.455376,0.371859,-0.0283661,-0.0105344,-0.695974,0.170159,0.939654,-0.00298452,0.388834,-0.0704627,0.270842,0.135015,0.281322,-0.152676,-0.296926,-0.00503614,-0.763127,0.218102,-0.674186,0.634139,0.148169,-1.54669,-0.668115,-0.378124,0.508313,0.122473,-0.961036,-0.934788,-0.204829,-0.439408,-0.0978509,-0.954437,1.00587,-0.0183485,0.0378617,-0.50204,0.770948,-1.45012,0.0558359,-0.0154241,-0.0254154,0.309385,-0.185032,0.679456,0.613943,0.168327,-0.947266,0.232047,0.35239,-0.157794,0.0181695,0.262671,0.365263,0.0460392,-0.16715,0.213495,0.0386548,0.363651,0.554802,0.356457,-0.467437,0.0391868,-0.276085,0.457522,-0.298721,-0.103168,-0.246182,0.709557,-0.118058,-0.185567,-0.235708,-0.0412623,0.463139,0.388516,0.626506,-0.116148,0.0962619,-0.0728126,0.028141,1.41577,0.907652,1.36754,1.66389,1.36988,2.72283,1.62066,1.82292,1.80863,2.20714,1.02673,1.09141,2.5513,1.28759,1.17128,1.5486,1.06609,2.10959,1.08671,0.916579,1.51925,0.395912,0.539358,-0.102328,0.40757,0.859407,1.03187,1.65114,0.21445,2.42918,0.0892628,0.970156
-3698.74,0.952476,0.00857136,9,511,0,3772.62,0.762232,-0.074864,0.351592,-0.486935,-0.296128,0.113692,0.234404,0.452375,-0.0744576,-0.125032,0.182744,0.695678,0.638818,1.0239,0.909955,0.205021,0.642629,0.953604,0.256974,0.182728,1.0214,0.18938,0.207442,0.620151,0.0802161,0.511284,-0.0893955,-0.478511,0.218137,-0.453608,0.260632,0.281972,0.235676,0.691157,0.749315,1.31203,0.0703596,1.87627,0.0920006,0.543349,-0.00398698,0.48788,0.199571,-0.127789,-0.378833,0.263366,0.11858,0.432142,-0.625942,0.041913,0.975652,0.213041,-0.0101286,-0.0679004,0.344427,0.295839,0.0963041,-0.0324299,-0.295361,-0.140798,-0.721463,0.362152,-0.612359,0.751739,-0.0800875,-1.21422,-0.701698,-0.33156,0.764213,0.0699366,-0.353652,-1.19621,-0.228778,-0.497539,-0.172372,-1.13361,0.838857,-0.285898,0.132508,-0.335354,0.484973,-1.27183,-0.103401,0.0177483,0.111356,0.418723,0.152063,0.498373,0.677508,0.0540139,-0.905439,0.14326,0.421542,-0.176381,0.400945,0.189661,0.431431,0.274705,0.00872499,0.454192,0.126245,0.693277,0.81697,0.560475,-0.268506,0.381317,-0.128491,0.699449,-0.497418,-0.303632,0.159729,0.83762,0.0359246,-0.0234,0.154281,0.074061,0.689887,0.554231,0.726478,-0.311068,0.153635,-0.0110437,0.0196401,1.57515,1.1784,1.29615,1.82277,1.44826,2.51507,1.62023,1.76019,1.91147,2.26021,1.16774,1.16937,2.38849,1.43725,1.17743,1.55425,1.33046,1.98097,1.02301,1.05331,1.50383,0.622213,0.79925,0.0992053,0.386844,0.885269,1.22871,1.67292,0.123896,2.3726,0.268845,1.06071
-3689.19,0.941801,0.00857136,9,511,0,3777.68,0.288137,-0.00736728,0.536814,-0.267975,-0.271418,0.202301,0.676403,0.494569,0.0929418,0.202169,0.413856,1.12866,1.07067,1.36972,1.38338,0.650585,0.922994,1.18644,0.510963,0.224533,1.27901,0.299084,0.304372,0.754846,0.305107,0.596787,0.116421,-0.4076,0.297023,-0.367767,0.502388,0.542009,0.46453,0.869438,0.586597,1.23773,0.402793,1.78592,0.356958,0.536877,-0.0895498,0.446705,0.396678,0.0308862,-0.401971,0.198302,-0.06717,0.185826,-0.208473,0.182516,0.138189,-0.779192,0.188091,-0.098518,0.623008,0.294031,0.234589,-0.0541751,-0.710018,-0.133434,-0.0449007,0.602062,-0.54738,0.25806,0.0273558,-0.823889,-0.735835,-0.0851066,0.489726,0.0572264,-0.437838,-0.540092,-0.298797,-0.259426,0.616834,-0.929164,0.660244,0.113573,0.444429,-0.160013,0.521662,-1.19832,0.203739,-0.117999,0.330216,0.717351,-0.0365333,0.323653,0.143073,0.0811876,-0.457847,0.151387,0.0196019,-0.168822,-0.199689,-0.353867,0.315782,0.406354,-0.110778,0.156107,-0.502597,0.836805,0.515851,0.407745,0.0229524,-0.152604,-0.0684614,0.679806,-0.147157,-0.369297,-0.0237062,0.816668,-0.0574543,-0.690033,0.053408,-0.479915,0.159405,0.222617,0.365927,-0.0881648,0.0284522,-0.115413,0.0255125,1.53936,1.22269,1.39799,1.8198,1.62456,2.78996,1.64398,1.93743,1.98981,2.31745,1.08397,1.13986,2.53356,1.43777,1.26162,1.49735,1.37185,1.95092,1.0083,1.08697,1.47254,0.663695,0.903906,0.246689,0.532486,0.823702,1.18049,1.80279,0.462066,2.31325,0.50184,0.985026
-3706.41,0.933896,0.00857136,9,511,0,3786.42,0.262314,-0.453501,-0.00740945,-0.738909,-0.273496,0.378766,0.390258,0.568636,-0.324099,0.180973,0.323081,1.57539,1.20622,0.784953,1.91614,0.912193,0.896885,0.908427,0.557865,0.0029172,0.950257,0.19368,0.0108236,0.810107,0.366975,0.866045,0.154529,-0.665627,0.25332,-0.564882,0.516692,0.746089,0.61571,1.30476,0.312874,1.06754,0.0734914,1.5849,0.0394515,0.612304,-0.0651717,0.392491,0.587534,0.101548,-0.51242,0.210586,-0.126926,0.246211,-0.476791,0.216797,-0.100819,-0.713836,0.328797,-0.432303,0.658603,0.346624,0.0252524,0.0100676,-0.61459,0.116389,-0.202009,0.209126,-0.388019,0.170863,0.0181621,-0.981244,-0.650568,-0.176678,0.424262,0.200392,-0.259607,-0.774074,-0.297297,-0.370898,0.40858,-1.18934,0.620756,-0.157727,0.460675,-0.2742,0.571708,-1.55722,0.089234,-0.227235,0.304947,0.470412,-0.118618,0.451202,0.0405492,0.0161833,-0.658957,0.042378,0.19273,-0.162213,-0.484557,-0.184034,0.529341,0.458483,-0.267847,0.45453,-0.568819,0.67516,0.387339,0.576131,-0.00355056,-0.171789,-0.198113,0.611427,-0.437694,-0.422545,-0.220412,0.51026,-0.11558,-0.593216,0.149801,-0.592693,-0.0105497,0.401316,0.387393,-0.112981,0.0681714,-0.0983973,0.0369506,1.23091,1.08231,1.31245,1.7664,1.36617,2.47663,1.74032,2.0655,2.00915,2.10581,0.903133,0.981989,2.0514,1.12079,1.02507,1.09555,1.07746,2.01285,0.713611,0.816329,1.18333,0.2054,0.545691,0.163671,0.343659,0.749828,1.1026,1.75212,0.0483255,2.17649,0.0569197,0.940534
-3722.54,0.959659,0.00857136,9,511,0,3784.3,-0.0515059,-0.170424,0.0465642,-0.403684,-0.327974,0.273965,0.878818,0.495499,0.18347,0.410438,0.74228,1.75409,1.38526,1.55295,1.9466,0.972382,1.16497,1.20674,0.833434,0.539341,1.81927,0.830359,1.16254,1.90561,1.12754,1.60649,0.935931,0.370011,1.17217,0.161171,0.761538,1.01456,1.00934,1.62432,0.986858,1.44081,0.410036,1.94758,0.565164,1.03885,-0.124371,0.585402,0.475503,0.0182203,-0.350621,0.301995,-0.213517,-0.394647,-0.423157,0.0189882,0.373046,-0.954576,0.324295,-0.174127,0.81031,0.487595,0.502588,-0.0662078,-0.573764,0.125748,-0.833042,0.28855,-0.862727,0.40665,-0.124582,-1.18473,-0.471062,-0.182681,0.402512,0.239873,-0.255059,-1.12782,-0.114577,-0.703603,0.0880079,-1.43934,1.18371,-0.616224,0.112653,-0.0656771,0.708712,-1.21159,0.232392,-0.332771,0.00152077,0.458314,-0.084118,0.704916,0.357686,0.313243,-1.1387,0.195256,0.334041,-0.587093,-1.04094,0.158445,0.69507,1.01,0.259955,0.474684,-0.25229,0.479723,0.345322,1.28223,0.0482383,-0.0503524,-0.732157,0.633623,-0.368171,-0.183002,0.0213333,0.557396,-0.382191,-0.397339,0.0525749,-0.531819,0.524448,0.284955,0.107703,-0.221761,-0.0570123,0.0310449,0.0390799,1.39844,1.18502,1.40376,1.95256,1.56909,2.77746,1.75899,2.01398,2.02402,2.11404,1.00576,1.10869,2.36808,1.27023,1.41488,1.79724,1.43738,2.32433,1.09604,1.26457,1.66685,0.460821,0.704812,0.113342,0.629321,1.14703,1.33648,1.75397,0.0242736,2.24133,0.308598,1.1542
