# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim2_re_model
# start_datetime = 2022-03-11 09:25:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpIt8rtp/standata-3d7453fb7387.json
# init = 2 (Default)
# random
#   seed = 552130888
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0200603
# Diagonal elements of inverse mass matrix:
# 0.249084, 0.126821, 0.0959554, 0.103318, 0.0154405, 0.006053, 0.279689, 0.022559, 0.322828, 0.300729, 0.313996, 0.340694, 0.332954, 0.32064, 0.352851, 0.322823, 0.304539, 0.305129, 0.314818, 0.328719, 0.314794, 0.30957, 0.334486, 0.329437, 0.331888, 0.314729, 0.324219, 0.312811, 0.310422, 0.316001, 0.343814, 0.366474, 0.334804, 0.34884, 0.338705, 0.343694, 0.337057, 0.319764, 0.326901, 0.324275, 0.158956, 0.0104006, 0.209622, 0.215192, 0.21092, 0.202762, 0.209484, 0.208492, 0.214386, 0.214338, 0.21158, 0.200187, 0.2069, 0.203392, 0.205139, 0.203817, 0.211375, 0.203136, 0.208772, 0.212914, 0.216057, 0.203733, 0.208745, 0.212176, 0.196957, 0.221406, 0.218989, 0.203535, 0.210852, 0.210191, 0.205681, 0.214082, 0.206286, 0.213899, 0.202783, 0.220995, 0.21979, 0.206283, 0.200608, 0.212468, 0.206142, 0.237189, 0.208179, 0.207204, 0.209652, 0.204902, 0.206289, 0.203833, 0.209282, 0.214683, 0.213445, 0.215612, 0.205526, 0.21223, 0.210342, 0.203672, 0.203619, 0.218991, 0.207824, 0.210239, 0.217176, 0.201028, 0.209851, 0.202213, 0.201331, 0.215511, 0.223228, 0.211651, 0.205146, 0.210429, 0.203259, 0.214074, 0.208047, 0.217895, 0.204177, 0.205862, 0.198681, 0.206993, 0.216143, 0.204628, 0.206812, 0.201558, 0.161844, 0.740766, 0.164123, 0.162127, 0.16157, 0.163562, 0.163919, 0.165703, 0.164029, 0.16331, 0.163754, 0.164854
-3767.8,0.988636,0.0200603,7,127,0,3840.51,0.734116,0.219068,-0.105906,-0.445278,0.0325934,0.303968,-0.496919,0.50667,-1.15809,-1.15072,-1.16307,0.280496,-0.400871,-0.259577,0.240312,-0.141105,-0.674492,-0.340704,-0.824145,-1.45698,0.333194,-0.787552,-1.07647,-0.0882579,-0.51942,0.25038,-0.693446,-1.13435,-0.330146,-1.48609,-0.57092,-1.13886,-0.912445,-0.0535228,-1.29367,-0.451525,-1.2981,0.310892,-1.48214,-0.440264,0.279878,0.480205,0.536389,0.441644,-0.439309,0.461288,0.273063,0.00722494,0.0073141,0.313509,0.749232,0.279179,0.569486,0.0914759,0.824238,0.592078,0.157273,0.300434,-0.351697,0.327542,-0.104031,1.10579,-0.017297,0.345487,0.728528,-0.583458,-0.364047,0.28671,0.901358,0.658777,0.224772,-0.310524,-0.272128,0.424546,-0.0274216,-0.320768,1.43434,0.0539519,0.302922,0.127242,0.747033,-1.11457,0.221424,-0.129184,0.391904,0.507105,0.340402,0.511381,0.30982,0.259378,-0.243032,0.332045,-0.0764746,0.135471,0.268792,0.4452,0.735778,1.06811,-0.102945,0.599492,0.168925,0.784448,1.30197,1.34154,0.156039,0.552143,-0.359815,0.993918,-0.0509859,0.231107,-0.100697,0.773476,-0.162979,-0.282266,-0.0608212,0.210219,0.424976,0.813367,0.98061,0.132068,-0.00548777,-0.0560334,-0.347041,0.0898968,-0.369957,-0.269574,-0.43161,-0.285957,-0.328499,-0.342909,-0.126079,-0.393462,-0.312241,-0.261829,0.639189,0.367827,0.69397,1.18712,0.850886,1.87222,1.19076,1.34823,1.16661,1.49641,0.418316,0.412008,1.56527,0.459135,0.514023,0.882347,0.406035,1.47316,0.2506,0.39506,0.913886,-0.22214,0.0032123,-0.483729,-0.301131,0.244527,0.240168,1.09161,-0.352273,1.52483,-0.552246,0.455099
-3770.86,0.999359,0.0200603,7,127,0,3831.82,0.275259,-0.377107,-0.544777,-1.07121,-0.0255866,0.32617,-0.361749,0.53885,-1.07225,-0.830192,-1.04674,0.366091,-0.210289,0.197734,0.0605376,-0.183392,-0.42463,-0.247195,-0.693538,-1.14394,0.501665,-0.740246,-0.968025,-0.108628,-0.107033,0.0919308,-0.500809,-1.16809,-0.309985,-1.5901,-0.369306,-0.957706,-0.556695,0.226959,-0.762711,-0.286964,-1.29739,0.925524,-1.09539,-0.160193,0.298601,0.48778,0.412583,0.696439,-0.137632,0.672751,0.281783,0.604562,-0.578708,0.859688,0.800826,-0.367979,0.43459,0.0428764,0.776873,0.581194,0.580123,0.294097,0.0353067,-0.154672,-0.50082,0.378255,-0.259752,0.785572,0.359706,-0.816892,-0.00101649,0.468346,0.888858,0.143695,-0.0993866,-0.745041,0.0710346,-0.356374,0.379609,-0.873439,1.20035,0.221409,0.873129,-0.109469,0.894846,-1.00182,0.771519,-0.20053,0.374408,0.523193,0.391583,0.454745,0.224409,0.469608,-0.677961,0.484403,0.395764,0.158461,-0.0595505,0.675799,0.937751,0.65499,0.31237,0.352071,0.0230251,0.971014,1.38619,1.25106,-0.163784,0.588896,0.323953,0.925067,0.0800156,-0.0146293,0.290388,0.910761,0.313615,0.00385831,0.23513,0.272993,0.676464,1.027,0.678746,0.0364766,0.104483,0.215812,-0.413709,0.0681134,-0.402292,-0.327694,-0.385078,-0.37184,-0.324924,-0.371966,-0.345155,-0.455898,-0.29474,-0.410752,-0.142361,-0.246276,-0.163755,0.300793,0.0182678,1.42982,-0.0391607,0.423457,0.470862,0.651424,-0.457684,-0.270336,0.88768,-0.365698,-0.29858,-0.0821416,-0.0451034,0.485243,-0.453474,-0.450693,0.0666485,-1.2291,-0.824423,-1.47641,-1.041,-0.576219,-0.276845,0.191604,-1.4795,1.09773,-1.26499,-0.302692
-3771.95,0.95052,0.0200603,7,127,0,3835.49,-0.570785,-0.339135,-0.359456,-0.683745,-0.198467,0.347478,-0.0185189,0.450883,-1.05986,-0.551569,-0.620674,0.824192,0.366315,0.462596,0.764626,-0.0628044,-0.0981262,0.0132031,-0.0899204,-0.553029,0.874892,-0.220883,-0.249947,0.786441,0.266366,0.465484,0.0745372,-0.894686,0.162195,-0.989863,-0.296238,-0.290141,-0.188222,0.569258,-0.54463,0.0516472,-0.685244,1.01971,-0.710411,0.0344862,0.255668,0.544991,0.491413,0.878917,-0.104214,0.598131,0.231055,0.575129,-0.364207,0.93326,0.965334,-0.152732,0.142667,0.201294,0.704971,1.18114,0.292425,0.143186,0.225194,-0.273866,-0.372992,0.780166,-0.222848,0.538726,0.808464,-0.727681,0.0443955,0.503296,1.0279,0.1963,0.0657543,-0.811537,-0.0204147,-0.255597,0.366301,-0.798581,1.29904,0.0326361,0.633613,-0.156112,0.925636,-1.90235,0.58914,-0.0578185,0.455155,0.580797,0.288891,0.573158,0.442726,0.0409768,-0.995932,0.510455,0.327418,0.0056002,-0.283468,0.868898,0.787325,0.338812,0.105811,0.508723,0.396538,1.02932,0.909656,1.07511,0.113218,0.393054,0.188461,0.995671,0.236512,0.0850365,0.175189,0.947324,-0.0692926,-0.244552,0.0640764,0.106403,0.615569,0.974796,0.618161,-0.227224,-0.143174,0.225684,-0.320237,0.0312614,-0.375426,-0.31232,-0.343629,-0.33284,-0.300562,-0.338745,-0.298894,-0.365882,-0.283603,-0.328751,-0.514464,-0.50728,-0.43914,0.197785,-0.163279,1.1695,-0.128617,0.159375,0.180438,0.316025,-0.562913,-0.444269,0.664369,-0.520351,-0.444514,-0.0303089,-0.275463,0.311563,-0.580494,-0.717302,-0.121101,-1.39445,-1.08958,-1.57673,-1.20797,-0.741368,-0.586635,-0.0469589,-1.54349,0.727257,-1.47163,-0.516498
-3763.31,0.557951,0.0200603,6,95,0,3829.24,-0.512019,-0.288456,-0.452687,-0.744822,-0.250428,0.299239,-0.0384555,0.474624,-1.05094,-0.78324,-0.596616,0.366078,0.104818,0.0685897,0.556944,-0.327442,-0.190408,0.0959944,-0.390795,-0.692303,1.01749,-0.276585,-0.302044,0.453245,0.0252974,0.424511,-0.116471,-0.820358,0.294314,-0.862343,-0.172974,-0.368175,-0.425788,0.577317,-0.384137,0.0619995,-1.05571,0.908438,-0.613877,-0.271405,0.257912,0.53487,0.692443,0.222978,-0.691575,0.924026,-0.0200134,0.406404,0.0717484,0.406989,0.79448,0.14284,0.561251,0.358849,0.901234,0.377704,0.405853,0.545491,-0.415142,0.101529,-0.114685,0.579407,-0.120982,0.816197,0.250235,-0.524972,-0.748024,-0.0328662,0.4293,0.432543,-0.168915,-0.6716,-0.250711,-0.0379682,0.0947339,-0.392873,0.950765,-0.109206,0.744108,0.143113,0.859228,-1.27375,0.615211,-0.0858592,0.509211,0.990884,0.34992,0.791197,0.0714103,0.635474,-0.0818756,0.373198,0.176331,0.292495,-0.301842,0.172244,0.33649,1.12343,-0.0664082,0.92338,0.202941,1.12575,1.1381,1.26081,0.0456568,0.540093,-0.732397,1.09442,-0.509842,-0.0707509,-0.180672,0.786356,-0.408404,-0.475526,0.361294,-0.0452051,0.627916,1.01955,0.838303,0.463136,0.503573,0.334445,-0.316709,0.020285,-0.33355,-0.277674,-0.304939,-0.325324,-0.331004,-0.32968,-0.298318,-0.318297,-0.306622,-0.324428,-0.432716,-0.658107,-0.437519,-0.0766576,-0.354969,0.751388,-0.222487,0.0221554,0.0911229,0.408134,-0.779162,-0.625033,0.682506,-0.7238,-0.756107,-0.507469,-0.588518,0.160949,-0.873126,-0.805087,-0.132494,-1.44219,-0.987098,-1.80468,-1.52559,-0.750307,-0.667851,-0.293134,-2.09095,0.447921,-1.52668,-0.918929
-3771,0.97701,0.0200603,7,127,0,3826.94,0.0513635,-0.217463,-0.629953,-0.826296,-0.0527253,0.168357,-0.0208136,0.617866,-0.708925,-0.650164,-0.319046,0.244517,-0.0603813,0.555478,0.0874909,0.0877796,-0.0347556,0.12091,-0.572469,-0.86752,0.905269,-0.0823794,-0.252124,0.398373,-0.0293864,0.858995,-0.266951,-0.697551,0.0473374,-1.0439,-0.434931,-0.668959,-0.47453,0.250806,-0.342153,0.148378,-0.789328,1.06332,-0.91953,-0.309868,0.344267,0.521263,0.633403,0.270421,-0.63119,1.04005,-0.010262,0.318247,0.0102966,0.452143,1.12846,0.0949556,0.651016,0.271275,0.933943,0.396538,0.353286,0.598117,-0.597004,0.22782,-0.121367,0.577416,-0.137954,0.843743,0.288242,-0.456001,-0.797513,0.013563,0.337445,0.411383,-0.241944,-0.661326,-0.0222489,0.133968,0.127442,-0.350752,1.05456,-0.0337188,0.563009,0.0253815,0.884287,-1.22127,0.663187,-0.0551157,0.405693,0.983154,0.299783,0.8599,0.101724,0.687699,-0.0512289,0.491156,0.133075,0.468537,-0.317676,0.266039,0.469014,1.08463,0.199588,0.942237,0.0507902,1.09539,1.05207,1.12147,-0.000883487,0.522139,-0.825862,1.14711,-0.458665,-0.272473,-0.105085,0.798605,-0.412477,-0.427535,0.275626,0.118719,0.670769,1.05025,0.672652,0.519681,0.521302,0.334681,-0.30171,0.0723121,-0.282033,-0.279023,-0.366495,-0.348631,-0.2274,-0.292386,-0.216536,-0.405583,-0.34145,-0.313921,-0.260265,-0.410675,0.0329486,0.153736,-0.0493969,1.12309,-0.074178,0.374527,0.343017,0.505127,-0.546448,-0.534858,0.669972,-0.341305,-0.407136,-0.0740207,-0.428744,0.638735,-0.696382,-0.75375,-0.207292,-1.33075,-1.0113,-1.37636,-1.11105,-0.539029,-0.490782,-0.0152876,-1.30689,0.77211,-1.41132,-0.745805
-3795.43,0.633925,0.0200603,7,127,0,3848.64,-0.0393654,0.300197,0.368827,-0.040735,-0.152982,0.190116,-0.0660978,0.39383,-0.358845,-0.44213,-0.409256,0.311606,0.0605147,0.3935,0.80427,-0.0549629,0.00134793,0.306368,-0.182832,-0.482645,0.68857,-0.266979,-0.159087,0.167016,-0.0670371,0.548714,-0.202892,-0.615786,-0.0597482,-1.06986,-0.445655,-0.70189,-0.538952,0.181085,-0.108165,0.331899,-0.935149,0.841991,-0.749137,0.181992,0.126648,0.523094,0.36367,0.0939342,-0.965383,0.794881,-0.159903,0.365595,-0.00426904,0.350317,0.832734,-0.265441,0.729159,-0.0478821,0.71406,0.663458,0.0451011,0.277854,-0.573849,-0.00575959,-0.138761,0.399971,-0.216175,0.639518,-0.162851,-0.665893,-1.06861,-0.0571685,0.178893,0.213571,-0.518203,-0.680713,-0.101229,0.0729401,-0.0714434,-0.391907,1.00408,-0.261402,0.536177,0.183975,0.556112,-1.15545,0.417401,-0.414477,-0.0574828,0.836352,0.136925,0.832987,-0.061982,0.440932,-0.377124,0.410016,-0.0161426,0.0101722,-0.600709,0.212508,0.392456,1.07709,0.321943,0.587103,0.0310776,0.918815,1.28599,1.40622,-0.0902819,0.361151,-0.957315,0.890338,-0.672667,-0.516615,-0.20531,1.17511,-0.382759,-0.268667,0.169128,0.231358,0.463535,0.902275,0.714257,0.439953,0.300753,0.235406,-0.259488,0.125208,-0.244343,-0.143914,-0.30516,-0.263648,-0.119899,-0.252009,-0.080654,-0.296487,-0.170334,-0.249357,0.790595,0.398772,0.459709,0.790974,0.536783,1.5897,1.07796,0.92306,0.945107,1.26883,0.337066,0.330226,1.41735,0.393242,0.504267,0.506232,0.484093,1.32112,0.26098,0.334275,0.612938,-0.490667,-0.247991,-0.884425,-0.515806,0.0577446,0.435467,0.831902,-0.86524,1.2703,-0.604435,0.488746
