# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim2_re_model
# start_datetime = 2022-03-11 09:25:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpIt8rtp/standata-3d7453fb7387.json
# init = 2 (Default)
# random
#   seed = 552130888
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2_re-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim2_re-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0152689
# Diagonal elements of inverse mass matrix:
# 0.257561, 0.115979, 0.106491, 0.10985, 0.0144261, 0.00719153, 0.266585, 0.0195712, 0.334475, 0.308929, 0.321269, 0.338591, 0.312925, 0.342699, 0.347572, 0.32751, 0.315096, 0.312518, 0.319317, 0.328938, 0.312811, 0.314014, 0.346932, 0.319506, 0.31823, 0.320132, 0.320123, 0.324563, 0.314473, 0.319035, 0.323964, 0.337111, 0.31265, 0.3246, 0.334151, 0.339788, 0.320891, 0.31487, 0.311012, 0.308245, 0.129444, 0.0109691, 0.179592, 0.170836, 0.172376, 0.18562, 0.181738, 0.175891, 0.173813, 0.178551, 0.178968, 0.177463, 0.172602, 0.18058, 0.180105, 0.183172, 0.171337, 0.172177, 0.168644, 0.178379, 0.175562, 0.175139, 0.180304, 0.181714, 0.179476, 0.178946, 0.174678, 0.178637, 0.183212, 0.174539, 0.168712, 0.185357, 0.181624, 0.170603, 0.170045, 0.195367, 0.186096, 0.176493, 0.173443, 0.16827, 0.177623, 0.198011, 0.181881, 0.176757, 0.183461, 0.170456, 0.17363, 0.175487, 0.167398, 0.17643, 0.170623, 0.169689, 0.185803, 0.164826, 0.180486, 0.174962, 0.180241, 0.170551, 0.178399, 0.182471, 0.177559, 0.173831, 0.178085, 0.181019, 0.165662, 0.176457, 0.182556, 0.175899, 0.183198, 0.185611, 0.16777, 0.172345, 0.181117, 0.174777, 0.17757, 0.172094, 0.176944, 0.173632, 0.178741, 0.167783, 0.174089, 0.175043, 0.127123, 0.672116, 0.128433, 0.12971, 0.128483, 0.128191, 0.12915, 0.129292, 0.131663, 0.128172, 0.130358, 0.12796
-3755.57,0.986652,0.0152689,7,127,0,3812.14,0.0511717,0.401508,0.319355,-0.189828,-0.131965,0.137394,0.559628,0.555032,0.157024,0.0641144,0.31578,1.06506,0.637219,1.44238,1.07451,0.780713,0.765896,0.791033,0.268732,-0.0594603,1.33592,0.688759,0.48124,0.93501,0.471852,1.11179,0.310078,0.044798,0.705196,-0.244402,0.215629,0.151885,0.368111,0.984937,0.734459,1.14432,0.0993245,1.90049,-0.112406,0.586405,0.174881,0.514287,0.890163,0.37033,-0.407413,0.737405,0.0845406,0.296005,-0.252473,0.539399,0.448806,-0.185075,0.499109,-0.0338629,0.722654,0.518093,0.240457,0.291587,-0.385776,0.268368,-0.446222,0.526605,-0.433057,0.235773,0.0737211,-0.781463,-0.435904,0.0873098,0.657399,0.281214,0.022274,-0.690197,-0.280573,-0.227602,-0.0130613,-1.33357,1.3237,0.0186136,0.490393,0.218952,0.840827,-1.71125,0.472948,-0.330051,0.115349,0.560168,0.372798,0.824721,0.470763,0.726593,-0.457156,0.140456,-0.245191,0.313367,-0.559539,0.435241,0.469342,0.810157,0.081615,0.555225,0.263969,0.813104,0.864554,0.927169,-0.0834828,0.388833,-0.923397,0.647425,-0.198578,0.628953,-0.400295,0.962294,0.105691,-0.126273,0.116368,-0.0555674,0.904988,0.630471,0.764599,-0.208232,-0.298219,0.225166,-0.158044,0.0407618,-0.140063,-0.151817,-0.185198,-0.228003,-0.178175,-0.146229,-0.0846632,-0.197402,-0.172389,-0.1045,1.29642,0.963964,1.21324,1.70626,1.24913,2.59551,1.53828,1.79885,1.72787,1.76914,0.918282,0.789607,1.9977,1.2914,1.05998,1.28735,1.00699,1.8112,0.769947,0.870854,1.31859,0.288342,0.289974,-0.101736,0.291914,0.808981,1.02743,1.39966,0.0368619,2.12058,-0.110351,0.728249
-3762.11,0.933439,0.0152689,7,127,0,3825.35,0.210938,0.0664524,0.17536,-0.330746,-0.26688,0.193775,0.442367,0.382398,-0.172384,0.0631366,0.216652,0.740431,0.878222,1.08493,1.07478,0.513351,0.685902,0.821932,0.32029,0.0457176,1.08914,0.371472,0.259279,1.11249,0.250004,0.827487,0.217739,-0.159413,0.60195,-0.337299,0.125408,0.370561,0.308691,0.811479,0.402825,1.02469,-0.111611,1.36807,-0.00749944,0.3921,0.203027,0.515744,0.0955429,0.258781,-0.51054,0.382371,0.20186,0.673628,-0.375049,0.342966,0.794469,-0.109659,0.0155721,0.30478,0.665166,0.527245,0.472385,-0.0309624,-0.198092,-0.227997,-0.202546,0.820132,-0.30718,0.580542,0.510616,-0.956598,-0.680336,0.0365764,0.806083,0.331961,-0.561575,-0.840566,-0.267869,-0.340997,0.320097,-0.350309,1.42823,-0.00121201,0.194975,-0.461534,0.557841,-1.32373,0.292365,-0.0710524,0.25396,0.440579,0.113453,0.83617,-0.0960027,-6.77091e-05,-0.554219,0.565605,0.607495,0.112779,0.142306,0.223098,0.665537,0.661141,0.103925,0.599022,-0.251513,0.468117,1.01019,0.80595,-0.078117,0.299374,0.050377,0.867727,-0.0571488,-0.271022,0.0258137,0.513152,-0.461156,-0.479867,0.176729,-0.0357363,0.365986,1.05579,0.322551,0.50501,0.463471,-0.307758,-0.152275,0.0712283,-0.248249,-0.10779,-0.196245,-0.188711,-0.114763,-0.0755213,-0.1508,-0.193356,-0.0767905,-0.155349,1.24154,1.0767,1.14129,1.39906,1.39356,2.44255,1.3746,1.76612,1.74101,1.90966,0.91174,0.872493,1.89628,1.05901,0.814401,1.37792,0.885123,1.71075,0.700633,0.895876,1.31124,0.208892,0.35228,-0.0658323,0.231113,0.616239,0.819586,1.36533,-0.245497,1.72154,-0.0109076,0.671394
-3771.51,0.995472,0.0152689,7,127,0,3833.68,0.262485,-0.0211447,0.272498,-0.193867,-0.173157,0.209839,0.355501,0.519994,-0.104359,-0.0669465,0.20064,0.849057,0.448699,0.990159,1.17563,0.671314,0.640783,0.795293,0.315693,-0.00381504,0.989708,-0.108837,0.0235128,0.566515,0.192922,0.701433,-0.244005,-0.659676,0.13213,-0.654023,0.0505722,-0.0752455,-0.0553892,0.795179,-0.0526348,0.563317,-0.361291,0.99997,-0.186474,0.181481,0.0729611,0.469386,0.161791,0.386964,-0.589859,0.295226,-0.196921,0.380148,-0.659503,0.25254,0.731982,0.201292,0.412949,0.206424,0.674407,0.443206,0.411937,0.0700701,-0.370319,-0.256718,-0.373374,0.526469,-0.542143,0.578401,0.2779,-0.701178,-0.602529,-0.0295008,0.684386,0.400613,-0.389366,-1.14596,-0.0955719,-0.705977,0.405993,-0.139029,1.43073,0.0274545,0.0255225,-0.459879,0.533284,-1.7806,0.57354,-0.437624,-0.0550289,0.347772,-0.074453,0.518305,0.0544624,-0.0317107,-0.577531,0.387375,-0.0778061,-0.167531,0.383255,0.237809,0.169122,0.922089,0.0787695,0.769868,0.0188391,0.36053,1.18322,0.919313,-0.0801079,0.196824,-0.397737,0.799429,-0.419038,0.00565244,0.0261346,0.834008,-0.32692,-0.118743,0.0335337,0.107954,0.441313,0.996225,0.0847441,0.563529,0.0775125,-0.289067,-0.138962,0.0667493,-0.242052,-0.119166,-0.103056,-0.104428,-0.137075,-0.0378497,-0.133471,-0.19498,-0.152071,-0.169365,1.12673,0.820263,1.11427,1.33775,0.928538,2.26883,1.43153,1.71373,1.63907,1.81474,0.844915,0.846319,1.96597,0.789827,0.920375,1.10719,0.973459,1.72708,0.437766,0.561702,1.0449,0.15293,0.428236,-0.127919,0.124743,0.814855,0.700576,1.26714,-0.133578,1.628,0.125896,0.677272
-3756.85,0.997936,0.0152689,7,127,0,3821.24,0.237289,0.350253,0.35708,-0.09634,-0.229381,0.149432,0.122158,0.479354,-0.40636,-0.426717,0.162198,0.584439,0.451988,0.725867,0.828418,0.412148,0.494802,0.716984,-0.149427,-0.228304,1.04864,-0.0532002,0.192601,0.518838,0.18157,0.810674,-0.208695,-0.583443,0.318478,-0.557756,-0.0210147,0.0763427,0.0390946,0.525288,0.284979,0.868805,-0.150159,1.28193,-0.252392,0.363135,0.123553,0.439363,0.58645,0.345936,-0.255756,0.410894,0.177687,0.235049,-0.211502,0.448432,0.653998,0.289867,-0.114548,0.000523787,0.693701,0.395628,0.107418,0.0763209,-0.320286,-0.467178,-0.00833371,0.294987,-0.572242,0.373585,0.230079,-0.419952,-0.738267,0.546001,0.65969,0.167524,-0.391316,-0.560814,-0.011415,-0.115602,0.0165508,-0.753415,0.691883,-0.103803,0.146184,-0.174296,0.596953,-1.39641,0.399369,-0.421408,0.122539,0.419805,-0.00447449,0.495489,0.42784,0.335895,-0.463145,0.137307,-0.0257687,0.0445195,-0.647156,0.392374,0.376941,0.639655,-0.112593,0.671654,-0.0587069,0.801179,1.0895,1.06182,-0.158525,0.277257,-0.543061,0.825174,-0.159722,0.540974,-0.38802,0.384576,0.0735879,-0.171524,0.126643,0.0718386,0.524588,0.73636,0.206279,-0.0584155,0.0395748,-0.128484,-0.130029,0.0732493,-0.193131,-0.0336888,-0.234021,-0.0561364,-0.111374,-0.0631629,-0.213057,-0.243891,-0.0774318,-0.184612,1.10668,0.759326,1.25469,1.49965,1.22693,2.17339,1.43524,1.80379,1.69944,1.94966,0.69093,0.780082,1.97049,0.765853,0.880724,0.992206,0.972682,1.79794,0.451581,0.534569,1.15622,0.139807,0.400786,-0.0719269,0.199224,0.601403,0.81864,1.33705,-0.0555423,1.7783,-0.0456305,0.812877
-3763.18,0.993654,0.0152689,7,127,0,3826.01,-0.323406,-0.244827,0.0219299,-0.65516,-0.278777,0.0867953,-0.0289579,0.723464,-0.29558,-0.256606,0.0539253,0.31191,0.364227,0.983957,0.531781,0.205762,0.489315,0.641934,-0.0666042,-0.145843,0.781282,-0.252889,0.0154116,0.467701,-0.0342043,0.366817,-0.26196,-0.593461,-0.0292476,-0.76013,-0.240449,-0.268479,-0.268096,0.457945,0.476199,1.01797,-0.156334,1.50564,-0.337232,0.323617,0.0123494,0.445687,0.340461,0.17846,-0.309696,0.204216,0.0968241,0.0839892,-0.292362,0.323055,0.274888,0.00185429,-0.133316,-0.0900949,0.838161,0.541428,0.134101,-0.213089,-0.561416,-0.57229,-0.182376,0.362591,-0.609487,0.0270296,0.00232497,-0.656379,-0.859216,0.188236,0.598832,0.221265,-0.716325,-0.78224,-0.0992789,-0.188185,0.0011636,-0.721679,0.588309,-0.298213,-0.0695753,-0.311669,0.265957,-1.49123,0.192414,-0.687966,0.013572,0.391217,-0.481325,0.327153,0.419491,0.158871,-0.684379,-0.191975,-0.258522,-0.012651,-0.669623,0.240318,0.56522,0.568095,-0.34763,0.732333,-0.214787,0.77703,0.887922,0.859251,-0.223116,0.0581182,-0.680853,0.799819,-0.584553,0.404929,-0.430149,0.188985,-0.0375657,-0.53235,-0.193907,-0.100721,0.596667,0.798376,0.474966,-0.0731306,-0.23214,-0.382224,-0.0432779,0.112245,-0.0326857,0.14818,-0.101995,-0.112701,-0.0144144,0.101201,-0.0255579,-0.142512,0.1194,0.00335084,-0.0234667,-0.287088,-0.185065,0.141912,-0.0710698,1.08163,-0.0130267,0.425153,0.386619,0.573312,-0.422396,-0.487055,0.68818,-0.470928,-0.456568,-0.0756479,-0.191386,0.353219,-0.578152,-0.542979,-0.224571,-1.12582,-0.9725,-1.69336,-1.31817,-0.599416,-0.404349,0.05792,-1.38084,0.674589,-1.42544,-0.46929
-3768.5,0.973054,0.0152689,7,127,0,3828.17,-0.416666,-0.442409,0.0609558,-0.654654,-0.435177,0.190356,0.0661199,0.78097,-0.739156,-0.571412,0.0947071,0.401285,0.460121,0.809464,1.09335,-0.179667,0.288748,0.469856,-0.0977719,-0.209605,0.864618,-0.10281,0.169417,0.534696,-0.07304,0.587827,-0.24727,-0.988994,0.0974718,-0.966962,-0.389858,0.115377,0.16064,0.473806,0.186693,0.702566,-0.117055,1.53175,-0.163983,0.0968656,-0.100398,0.527009,0.341291,0.248472,-0.687892,0.26005,-0.422917,0.232831,-0.355473,0.20106,0.325764,-0.578961,-0.0994104,-0.426944,0.342744,0.399472,0.193799,-0.22286,-0.483434,0.0917575,-0.51323,0.246917,-0.520779,0.462732,0.0281839,-0.793744,-0.677463,-0.515302,0.0884919,-0.0860998,-0.493714,-0.954714,-0.354208,-0.199029,0.319132,-0.678551,0.758478,-0.179378,-0.124861,-0.436511,0.363305,-1.23065,0.268484,-0.669883,0.183119,0.19355,0.103367,0.438082,-0.123054,0.110668,-1.08197,0.355362,0.302656,-0.588897,-0.503842,-0.0701612,0.274693,0.541158,-0.540707,0.2764,-0.331693,0.726855,0.608605,0.523912,-0.455326,-0.0981554,-0.44598,0.260373,-0.159837,0.0795705,-0.101711,0.573783,-0.963448,-0.201802,-0.00615271,0.000354782,0.399655,0.473321,0.685413,-0.321551,-0.614101,-0.0302522,0.0965883,0.0441738,0.035109,0.132422,0.162497,0.0664911,0.0710798,0.00133397,0.116191,0.0736793,0.0444558,0.110093,-0.12183,-0.481311,-0.0858135,0.163866,-0.136571,1.20936,0.27084,0.300493,0.320987,0.555285,-0.570354,-0.549695,0.943916,-0.21854,-0.287856,-0.143718,-0.148637,0.791235,-0.571085,-0.630691,0.0172012,-1.31318,-1.0215,-1.59779,-0.967436,-0.720516,-0.512155,-0.120392,-1.46256,0.855305,-1.29673,-0.574906
