# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim3_model
# start_datetime = 2022-03-14 08:50:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpiCX6tr/standata-4294254c279c.json
# init = 2 (Default)
# random
#   seed = 561085113
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00462451
# Diagonal elements of inverse mass matrix:
# 0.225798, 0.105533, 0.0943859, 0.0932778, 0.0130868, 0.00624371, 0.192711, 0.0944275, 0.26689, 0.268298, 0.261111, 0.258889, 0.267459, 0.270003, 0.286714, 0.246042, 0.243003, 0.251998, 0.252129, 0.271181, 0.270436, 0.252554, 0.252134, 0.260465, 0.238447, 0.254844, 0.229867, 0.320367, 0.22852, 0.287692, 0.269135, 0.294602, 0.251439, 0.25291, 0.253905, 0.282084, 0.274006, 0.313848, 0.295985, 0.23609, 0.00288464, 0.0118897, 0.0438876, 0.0461585, 0.049696, 0.045423, 0.042157, 0.0441598, 0.0487706, 0.0445339, 0.0461385, 0.0457043, 0.0474315, 0.0439416, 0.043987, 0.0497184, 0.0435419, 0.0433265, 0.0475883, 0.0474344, 0.0435848, 0.0398073, 0.0510899, 0.0467307, 0.0394991, 0.044521, 0.0426301, 0.0482827, 0.0493892, 0.0366194, 0.045158, 0.0467302, 0.0461711, 0.0462661, 0.0468827, 0.0489, 0.0499996, 0.0450144, 0.0433465, 0.0417699, 0.0481526, 0.0508576, 0.0462285, 0.0502581, 0.0415657, 0.0440458, 0.0371359, 0.0468529, 0.0440303, 0.05062, 0.0409835, 0.0486937, 0.0432642, 0.0442323, 0.0474212, 0.0387572, 0.0428723, 0.0506676, 0.0485599, 0.047083, 0.0448671, 0.0455849, 0.0494705, 0.0433043, 0.0433129, 0.0463729, 0.0408001, 0.0509392, 0.0438244, 0.0459327, 0.0422139, 0.0460184, 0.0480904, 0.053454, 0.0448001, 0.039244, 0.0461143, 0.047021, 0.0478792, 0.0437497, 0.0405909, 0.0385442, 0.180416, 1.27911, 1.86515, 1.57173, 1.49165, 1.50064, 1.49669, 1.79168, 1.67207, 1.41754, 1.45253, 1.6607, 1.49944, 1.36005, 1.42595, 1.58003, 1.53602, 1.5944, 1.52504, 1.70312, 1.60858, 1.63989, 1.58961, 1.64171, 1.87273, 1.53769, 1.55793, 1.64099, 1.5348, 1.73094, 1.52605, 1.73914, 1.63113, 0.509519, 0.499333, 0.500167, 0.500445, 0.502906, 0.504284, 0.502354, 0.497629, 0.499996, 0.498924, 0.492965, 0.503841, 0.496414, 0.495718, 0.496846, 0.496628, 0.496318, 0.498907, 0.494324, 0.502892, 0.495343, 0.501214, 0.500571, 0.504314, 0.49056, 0.494399, 0.505344, 0.49952, 0.499969, 0.502558, 0.503901, 0.508313
-3871.34,0.976329,0.00462451,10,1023,0,3972.72,-0.415169,0.106829,0.249057,-0.550723,-0.234731,0.177061,0.806826,0.359682,0.560015,0.170516,1.04881,1.08911,0.637673,1.08106,1.5144,1.07269,0.681808,1.21581,0.726186,0.363529,1.4843,0.650892,0.288716,0.835383,0.842025,0.903448,0.643655,0.182514,1.04757,0.574088,0.792815,0.781078,0.826721,0.923154,1.00035,1.32915,0.444288,1.82533,0.314241,0.965215,-0.0311407,0.45134,-0.188062,0.0643918,-0.629445,0.185664,0.3662,-0.246345,-0.911298,-0.0726814,-0.0248314,-0.110727,0.0543944,-0.159794,0.423171,0.120822,0.363906,-0.0930429,-0.271739,0.0617064,-0.291127,0.401326,-0.593438,-0.0153906,-0.078817,-1.11751,-0.513882,-0.0868684,0.384544,0.298123,-0.380205,-0.71494,-0.0324249,-0.272709,-0.240884,-0.787215,0.188917,0.230327,0.242914,0.185528,0.134051,-1.84629,-0.0604039,-0.392694,-0.0558207,0.224083,-0.201231,0.578269,0.336919,0.15882,-0.226509,0.652652,-0.128694,-0.298525,-0.669564,-0.421883,0.531166,0.14374,-0.00260847,0.0166339,-0.166882,0.575372,0.271675,0.199467,0.205902,0.617892,-0.0752172,0.0970183,-0.0434354,0.523052,-0.566196,0.406658,-0.45127,-0.61183,-0.359073,-0.217667,0.703547,0.987737,0.0144093,0.121554,-0.0902355,0.148714,4.00314,1.02129,0.195281,1.03166,0.310118,0.0519802,0.314699,0.00600836,0.322533,0.227129,0.147493,0.180746,0.0124741,0.159978,0.197727,0.232226,0.0432824,0.0230373,0.125316,0.305871,0.565131,0.614972,0.194992,0.0313613,0.102412,0.0178263,0.342955,0.0302996,0.621506,0.744293,0.137243,0.204336,0.289803,0.898123,0.609277,0.746323,0.916034,0.584973,2.08844,1.21863,1.21048,1.2932,1.58417,0.687356,0.569422,1.63624,0.735646,0.450782,0.664578,0.930351,1.22085,1.01083,0.487717,0.992058,0.342764,0.135744,-0.502692,-0.0862883,0.431251,0.556439,1.07968,-0.226586,1.42666,-0.520122,0.795686
-3868.48,0.883497,0.00462451,10,1023,0,3969.57,-0.198563,0.28166,0.590733,-0.0442005,-0.383809,0.0612028,0.697188,0.48577,-0.0853244,0.171109,0.464745,0.514901,0.737317,1.17321,0.927952,0.0527853,0.920249,0.976926,0.389141,0.487792,0.843701,0.532975,0.811839,0.308798,0.358147,0.754751,0.939424,0.122334,0.544168,-0.438605,0.109262,0.3336,0.485637,0.909118,0.901315,1.18097,0.518819,0.967184,0.311956,0.937991,0.0127915,0.361321,0.327953,0.350147,-0.723195,0.0913416,-0.0696539,0.245664,-0.10702,0.247735,0.348437,-0.262147,-0.208527,0.0558296,0.00242165,-0.0709446,0.0810286,-0.522579,-0.719732,0.41181,0.136866,0.491502,0.125529,-0.642823,-0.261607,-0.630928,-0.460492,-0.0333885,0.318054,0.150242,-0.322871,-0.939838,-0.0100916,-0.0842932,-0.221935,-0.614011,0.819831,-0.0388718,-0.196134,-0.395417,0.932011,-1.10367,0.0426735,0.123565,-0.0210813,0.211414,-0.11707,0.583579,0.155925,0.273343,-0.53332,0.29158,0.226389,-0.426823,-0.447407,0.212708,0.335671,0.209404,-0.107493,0.578436,-0.0614258,0.233407,0.670667,0.323918,0.311697,-0.166647,-0.337784,-0.151938,-0.325401,0.0190137,-0.214551,0.0467604,0.162491,-0.262493,0.233659,-0.234302,0.710195,0.865498,0.675875,-0.16783,0.152408,-0.0463744,5.53443,0.174888,0.0679216,0.0207487,0.0825692,0.335336,0.0944195,0.0364051,0.0938921,0.0805444,0.132806,0.0171682,0.0800635,0.194651,0.168072,0.0912496,0.689756,0.174661,0.517315,0.286465,0.152582,0.0324605,0.511461,0.275861,0.0272985,0.123607,0.0406219,0.0448365,0.373574,0.0212413,0.383027,0.269946,0.200629,0.968095,0.753265,0.800317,1.07922,0.64284,1.92832,1.0666,1.14318,1.45732,1.5345,0.729857,0.661651,1.52966,0.918606,0.736855,0.874756,0.903102,1.27528,1.07635,0.694452,0.966639,0.236674,0.260366,-0.612297,0.0993235,0.594486,0.571592,1.13713,-0.196447,1.54022,-0.535418,0.600786
-3843.34,0.98422,0.00462451,10,1023,0,3929.87,0.134839,-0.169842,0.0591385,-0.376234,-0.107017,0.21539,0.670363,0.516758,0.524368,0.627492,0.296236,0.846116,0.807168,1.00128,1.13629,0.993489,0.759351,1.1203,0.739441,0.388333,1.44216,0.164732,0.138648,0.6773,0.827795,1.18192,0.881685,-0.0881625,0.547253,-0.0441517,0.536628,0.0179129,0.193919,0.968036,0.2398,1.14459,-0.0596337,1.14274,-0.0957974,0.808036,-0.0949692,0.423275,-0.165841,0.0845764,-0.745179,0.529403,0.372715,0.0120912,-0.570454,0.158843,0.365872,-0.10898,-0.376896,-0.105061,0.442831,0.317423,0.267801,-0.0626547,-0.197954,-0.0100602,-0.0349799,0.543324,-0.391277,0.0677627,-0.0240976,-0.762036,-0.418581,-0.223083,0.410597,0.308811,-0.400846,-0.354092,-0.0555326,-0.375776,-0.0554449,-0.461051,0.373946,-0.0290757,-0.0607407,-0.10023,0.31918,-0.828487,-0.00156047,-0.143051,-0.441017,0.534283,-0.488276,0.316013,-0.0038521,-0.102661,-0.306096,0.611199,-0.186518,-0.153636,-0.450131,0.0677701,0.353376,-0.0896324,-0.107147,0.243671,-0.351206,0.296168,0.261621,0.321704,-0.0809163,0.205587,-0.425068,-0.025218,0.0711887,0.358712,-0.479929,0.198984,-0.655565,-0.408964,-0.0686325,-0.335881,0.42292,0.591161,0.40243,0.110828,0.0432342,0.0732735,8.09766,0.00940495,0.0893663,0.0402513,0.127898,0.0110123,0.144867,0.0549772,0.0446333,0.0984401,0.0366067,0.0158258,0.0255709,0.173323,0.111162,0.195544,0.0450791,0.0151595,0.274988,0.0353399,0.166537,0.133119,0.0366539,0.0838558,0.0954985,0.0206245,0.157896,0.0365619,0.0726572,0.0244305,0.636943,0.215779,0.134794,1.34341,1.00396,0.932508,1.12005,0.996805,2.17027,1.16405,1.60021,1.57031,1.92752,0.960509,1.00577,2.08603,0.898925,0.874842,1.03393,1.25488,1.75485,1.28533,0.700208,1.18006,0.416347,0.434939,-0.136085,0.126037,0.80092,0.753747,1.5668,-0.0568244,1.69466,-0.0056244,0.847616
-3851.86,0.8771,0.00462451,10,1023,0,3930.37,0.426363,0.0658968,0.108274,-0.337999,-0.221798,0.225624,0.385774,0.32381,0.270992,-0.25895,0.374168,0.640856,0.15295,0.63511,0.816365,0.202369,0.557823,0.441321,-0.16161,0.303305,1.05322,0.293006,0.283929,0.728587,0.436224,0.642564,0.693972,0.281747,0.332935,-0.088117,0.309032,-0.0785563,0.488938,0.203377,0.0862929,0.526557,0.00980356,0.444242,0.109906,0.403208,-0.108526,0.404137,-0.187164,0.0727201,-0.822305,0.345441,0.114495,-0.216264,-0.713926,0.0736031,0.424232,-0.360519,0.119531,-0.150949,0.486686,0.332884,0.4405,-0.458416,-0.00581752,-0.0795676,-0.145999,0.561053,-0.905519,0.247493,-0.298623,-0.927662,-0.474053,-0.651304,0.260044,0.478157,-0.48061,-0.65038,-0.409969,-0.701182,-0.0517394,-0.724034,0.652662,-0.0145132,0.211121,-0.10848,0.274154,-1.50842,-0.272159,-0.278766,-0.517312,0.238734,-0.262254,0.669607,0.168404,-0.364404,-0.353816,0.524688,-0.117427,-0.419092,-0.682709,-0.115201,0.641989,0.184166,-0.177916,0.26331,-0.60907,0.299823,0.516808,0.255595,0.0261842,0.0462896,-0.513544,-0.341523,-0.139782,0.0643562,-0.626688,0.274164,-0.497557,-0.543265,-0.168045,-0.143161,0.489793,0.873089,0.506266,-0.0905831,-0.267573,-0.222529,4.06639,0.285317,0.0576923,0.303093,0.118601,0.268869,0.161271,0.128021,0.294789,0.0872639,0.145605,0.10543,0.679574,0.151279,0.644027,0.066387,0.14284,0.0309807,0.120816,0.106235,0.515165,0.00803663,0.007987,0.27341,0.198186,0.680446,0.615844,0.258195,0.323168,0.0661242,0.547411,0.476914,0.114353,1.69307,1.03202,1.19572,1.2841,0.905045,2.49109,1.44384,1.51616,1.81117,1.83724,0.808305,1.16871,1.96425,1.04452,1.11093,1.09566,1.2365,1.75477,1.33108,0.789777,1.26799,0.717172,0.472085,0.0110259,0.321141,0.762618,0.781065,1.50071,0.177058,1.92801,0.115754,1.00626
-3866.64,0.777022,0.00462451,10,1023,0,3959.76,0.330286,0.261299,0.337893,-0.325146,-0.196421,0.173817,0.106561,0.477109,0.319175,-0.237668,-0.268628,0.564788,-0.115647,0.657078,0.616711,0.213915,0.294268,-0.0408482,-0.0784674,-0.357821,0.776738,-0.680337,0.1053,0.315359,0.0627283,0.525755,0.224223,-0.383161,0.104681,-0.219862,-0.0213345,0.0427392,-0.0328413,0.694741,0.627057,-0.043281,-0.25001,0.597038,0.411232,0.486331,-0.175459,0.405485,0.124624,0.193726,-0.906901,0.7785,0.039175,0.12288,-0.829771,0.200859,0.149279,-0.421151,0.0592823,-0.166518,0.558323,-0.00504994,0.333598,-0.195665,-0.786328,-0.272405,-0.164666,0.23719,-0.490728,-0.2484,-0.0661287,-0.589386,-0.51019,-0.318837,0.154967,0.0422845,-0.656254,-0.766757,-0.420162,-0.452693,-0.0924102,-0.613807,0.52043,-0.359621,0.366409,0.163102,0.296027,-1.30146,-0.0837907,-0.485673,-0.163257,0.471419,-0.253937,0.81126,0.156686,0.014194,-0.651953,0.336487,0.186238,-0.393237,0.0628902,-0.328811,0.603115,0.0363052,-0.217998,0.601643,-0.343252,0.681109,0.900241,0.16354,-0.242778,0.302075,0.015366,0.12917,-0.133779,0.0687035,-0.217822,0.00267166,-0.217872,-0.305921,-0.188004,-0.238712,0.535492,0.87884,0.713384,0.0501804,-0.0644395,-0.254253,3.31402,0.256187,0.542372,0.176021,0.72729,0.0851824,0.260065,0.198055,0.399965,0.0330704,0.499839,0.0842021,0.43955,0.469492,0.396992,0.0443691,0.041052,0.0444513,0.0873578,0.5902,0.342909,0.0252523,0.0186653,0.254132,0.256863,0.22454,0.710255,0.283525,0.937062,0.192948,0.482952,0.515291,0.258957,1.27583,0.84337,0.923947,1.12264,0.758126,2.18095,1.23601,1.35863,1.52631,1.70855,0.753803,0.573259,1.89676,0.732608,0.962441,0.912722,0.982259,1.56707,1.28113,0.858405,1.0551,0.629299,0.11576,-0.360372,0.216006,0.698557,0.75992,1.46149,-0.0781453,1.70658,-0.182101,0.889331
-3865.37,0.873582,0.00462451,9,511,0,3959.2,0.417011,-0.718869,-0.37685,-0.641489,-0.325746,0.128679,0.31156,0.29635,0.397687,0.0926932,0.239289,0.56166,0.125546,0.0717932,0.390927,0.182069,0.684639,0.568207,0.761841,0.269842,0.284159,0.378003,0.661285,0.364735,0.274162,0.497439,0.45562,0.390074,0.226901,-0.110135,-0.235044,0.381576,0.210168,0.481679,0.147395,0.757835,-0.254027,0.964369,0.299392,0.0824059,0.028801,0.425477,-0.126411,0.128252,-0.342284,0.161526,0.162057,-0.516827,-0.707546,-0.163509,0.54724,-0.00907968,-0.00832369,-0.162153,0.186035,0.332962,0.119528,-0.159219,-0.191932,0.0775656,-0.0889091,0.19261,-0.293078,-0.197348,-0.223929,-1.25323,-0.585878,-0.332844,0.524897,0.0656748,-0.349777,-0.705283,-0.319522,-0.772477,0.0635874,-0.695721,0.837429,0.215285,-0.15953,-0.538182,0.298358,-1.05929,0.00032713,-0.292224,0.0300352,0.242547,-0.373641,0.682213,0.0157156,0.532308,-0.124003,0.62343,-0.214079,-0.014567,-0.918937,0.0707943,0.226501,0.719442,0.166999,0.534773,-0.281966,0.310861,0.144543,0.527871,0.179437,-0.0629427,-0.393585,0.083859,-0.236488,0.0459754,-0.412277,0.0612402,-0.461645,-0.688396,-0.260056,-0.255412,0.606306,0.987275,0.18815,-0.403247,-0.00585188,0.524131,2.59858,0.611463,0.290877,0.293587,0.0775473,0.617464,0.558071,0.641763,0.0627403,0.26047,0.372239,0.398297,0.238737,0.948013,0.375855,0.726464,0.583405,0.0147188,0.633776,0.164728,0.762312,0.235715,0.0603462,0.0646955,0.735541,0.72838,0.338673,0.630476,0.123718,0.15775,0.571803,2.04575,0.376291,0.558725,0.101716,0.364252,0.819357,0.262246,1.64355,0.885717,0.878355,1.19876,1.34157,0.372597,0.258355,1.38608,0.37978,0.31985,0.416534,0.507748,0.863872,0.713397,0.167148,0.592824,-0.0551062,-0.17299,-0.73411,-0.491766,0.00736349,0.243753,0.813628,-0.696711,1.22622,-0.746595,0.534893
