# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim3_model
# start_datetime = 2022-03-14 08:50:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpiCX6tr/standata-4294254c279c.json
# init = 2 (Default)
# random
#   seed = 561085113
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim3-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim3-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00310183
# Diagonal elements of inverse mass matrix:
# 0.26668, 0.112268, 0.102592, 0.108928, 0.011562, 0.00696388, 0.215903, 0.0939625, 0.277833, 0.270534, 0.262352, 0.264137, 0.261778, 0.321532, 0.313696, 0.278225, 0.27153, 0.271256, 0.257775, 0.26784, 0.316338, 0.263405, 0.274703, 0.290427, 0.265644, 0.280171, 0.282801, 0.321813, 0.269088, 0.273362, 0.269934, 0.291232, 0.266368, 0.290931, 0.276789, 0.349629, 0.275011, 0.382866, 0.300983, 0.268674, 0.00277749, 0.012356, 0.0383313, 0.051813, 0.046399, 0.0471764, 0.0480196, 0.0446088, 0.0381363, 0.0417971, 0.0434188, 0.0437579, 0.0435222, 0.0379095, 0.0433979, 0.0497082, 0.0446815, 0.0426101, 0.0455006, 0.047164, 0.0421533, 0.0450048, 0.046247, 0.0424167, 0.0408217, 0.0492477, 0.0440053, 0.0450241, 0.0391091, 0.0412255, 0.0439429, 0.0459853, 0.0388466, 0.0486639, 0.0438062, 0.0449316, 0.0446005, 0.0495528, 0.0417269, 0.0462172, 0.0439826, 0.0508764, 0.0481626, 0.0462793, 0.0406622, 0.0472105, 0.0397064, 0.0458209, 0.0455118, 0.0403388, 0.0438174, 0.0458541, 0.042521, 0.0453641, 0.0469472, 0.0467186, 0.0468748, 0.0465671, 0.042097, 0.0471931, 0.0441368, 0.0441047, 0.0486684, 0.0413494, 0.043828, 0.0429292, 0.0478131, 0.0459953, 0.043274, 0.0431093, 0.042932, 0.0435568, 0.0452549, 0.0430108, 0.0401092, 0.0459318, 0.0513067, 0.0464424, 0.0475978, 0.0350929, 0.042414, 0.0425551, 0.192098, 1.62691, 1.598, 1.76217, 1.36416, 1.78376, 1.82361, 1.83337, 1.66802, 1.45483, 1.57708, 1.47255, 1.87628, 1.6473, 1.49128, 1.55841, 1.52165, 1.3714, 1.48114, 1.86392, 2.05417, 1.5014, 1.71776, 1.86461, 1.55301, 1.81055, 1.95386, 1.70144, 1.68598, 1.51791, 1.68284, 1.70257, 1.65264, 0.541813, 0.546135, 0.546275, 0.54913, 0.540412, 0.549174, 0.537745, 0.549328, 0.548329, 0.545995, 0.544316, 0.548723, 0.542307, 0.541025, 0.539332, 0.541527, 0.538243, 0.540807, 0.545043, 0.549773, 0.541779, 0.537066, 0.548406, 0.543459, 0.538082, 0.537728, 0.544943, 0.551085, 0.544781, 0.540563, 0.53383, 0.539637
-3869.43,0.998648,0.00310183,10,1023,0,3968.85,-0.596553,-0.18836,0.28326,-0.719864,-0.210322,0.0338014,0.951094,0.355936,0.941964,0.80877,1.06832,0.820663,0.599637,0.57086,1.29829,1.07461,1.0637,1.69262,0.589824,0.81582,1.47109,1.15701,0.664933,0.820969,0.703028,0.993339,0.835572,0.728969,0.424177,-0.109637,0.882179,0.891477,0.735138,1.26164,1.39571,1.83497,0.582447,1.13529,0.37273,1.19428,-0.0127474,0.467977,0.152625,0.140982,-0.631982,0.488951,-0.150366,-0.196028,-0.455576,-0.00197701,0.10612,-0.0604628,0.128249,0.0884069,0.535328,-0.094663,-0.106366,-0.355868,-0.598997,-0.0681386,0.0213903,0.535672,-0.670171,-0.312174,-0.272157,-0.889893,-0.446246,-0.293867,0.54939,0.240772,-0.569668,-0.913382,-0.212986,-0.461745,0.283656,-1.17373,0.508885,0.0896372,0.105667,-0.254583,0.788915,-1.37132,0.371908,-0.525019,0.0606838,0.430212,-0.490455,0.44282,0.0745496,0.178894,-0.347537,0.455587,-0.348057,-0.480467,-0.238082,-0.130134,0.341274,0.283594,-0.433932,0.35387,-0.320309,0.272399,0.406695,0.187051,0.155339,0.258921,0.130311,-0.308661,-0.111845,-0.0301343,-0.651118,0.358952,-0.107662,-0.52769,-0.0452812,-0.33744,0.733247,0.90039,0.133883,0.00745467,0.0603438,0.173291,2.56658,0.20867,0.0115094,0.613649,0.0605281,0.234055,0.627526,0.438861,0.641088,0.4896,0.00813164,0.135849,0.129951,0.0654487,0.342989,0.132494,0.0255873,0.117731,0.00909418,0.0405816,1.62262,0.303116,0.124198,0.336007,0.679425,0.190773,0.209219,0.3548,0.241656,0.196884,0.786431,0.482784,0.163205,0.607851,0.35665,0.307059,0.293133,0.0506107,1.54093,0.636974,0.494223,0.826381,1.19274,-0.150267,0.0124581,1.26523,0.270989,0.0292233,0.277686,0.43893,0.833691,0.454751,-0.113386,0.582217,-0.460619,-0.584294,-1.10895,-0.814144,-0.216274,0.0208475,0.765276,-0.927715,0.877718,-0.915893,0.122246
-3869.58,0.928645,0.00310183,10,1023,0,3972.78,-0.336393,-0.808491,-0.556272,-0.923216,-0.144231,0.151228,0.807494,0.536594,0.392716,0.719324,0.655524,1.07603,0.586364,1.16526,1.61171,0.913066,1.17306,1.36674,0.726582,0.424232,1.24796,0.440022,0.597346,0.271167,0.746855,0.327393,0.794666,0.121828,0.547629,0.335116,0.35131,0.124861,0.452181,0.900433,0.454766,1.13645,0.325065,1.71732,-0.293938,0.754658,-0.00907919,0.495411,0.279681,0.251983,-0.555211,0.567262,-0.000316721,-0.141309,-0.341866,-0.0993935,0.218697,-0.0785263,-0.00230458,0.288842,0.650545,-0.148849,0.151822,0.00718184,-0.623963,-0.122277,-0.0238169,0.50632,-0.349732,-0.167015,-0.246149,-0.911218,-0.408363,-0.206982,0.341843,0.217924,-0.451468,-0.932562,-0.281199,-0.415683,0.403752,-1.19631,0.598031,0.0879487,0.0403747,-0.218845,0.861123,-1.30027,0.33781,-0.688377,0.267623,0.582877,-0.444667,0.518948,0.0353584,0.179117,-0.166655,0.563171,-0.120484,-0.330126,0.00169415,-0.0223227,0.492842,0.271773,-0.236254,0.271179,-0.112139,0.0950532,0.515464,0.197367,0.0677439,0.224244,0.228378,-0.421528,-0.0799562,0.00858202,-0.500892,0.389508,-0.125915,-0.440559,0.0207618,-0.189198,0.900878,0.900122,0.00304946,0.109455,0.231393,0.176166,4.35364,0.203324,0.129858,0.22076,0.170969,0.105927,0.398976,0.234844,0.259302,0.0195273,0.0468051,0.16522,0.00388884,0.0347644,0.0222086,0.522967,0.632028,0.1374,0.330435,0.0947255,0.984167,0.179779,0.328588,0.0228197,0.0176018,0.0537272,0.116338,0.157639,0.0649153,0.349268,0.203748,0.274355,0.0957284,0.07981,-0.17553,-0.0549316,0.078066,-0.380957,1.30538,0.367731,0.42284,0.600144,0.75357,-0.194468,-0.278303,0.630176,-0.18366,-0.0869125,0.0800204,0.22187,0.423691,-0.0092763,-0.468263,0.163589,-0.609262,-0.68205,-1.25905,-0.71907,-0.274991,-0.308807,0.367336,-0.933149,0.757694,-1.26922,-0.00786069
-3881.94,0.897592,0.00310183,10,1023,0,3965.07,-0.559869,-0.733278,-0.761953,-0.665302,-0.0959057,0.227089,0.562917,0.646492,1.22842,0.512314,0.411583,1.14979,0.828709,1.7315,1.4471,0.96326,0.920752,1.1072,0.501308,0.371991,1.72105,0.64864,0.438178,0.602517,1.09817,0.861841,1.33591,0.568195,0.828492,0.605879,0.197063,-0.114267,-0.107771,1.22383,0.263064,0.791719,0.0124167,1.39274,-0.515537,0.652869,0.0931484,0.51105,0.148893,0.314562,-0.750261,0.53531,-0.14741,0.180307,-0.245508,0.185838,0.392724,-0.0727702,-0.475593,-0.0145577,0.671101,0.120982,0.104078,-0.0112168,-0.336918,-0.243031,0.361388,0.149882,-0.48101,-0.00400244,-0.258521,-0.716981,-0.739643,-0.0209581,0.607392,0.648472,-0.0542024,-1.0474,-0.163611,-0.82528,0.233596,-0.848478,0.858608,0.27837,0.10822,-0.0983057,0.864651,-1.41907,0.0885597,-0.482015,0.292762,0.927104,-0.220924,0.838196,0.216856,0.240582,-0.0516831,0.401879,0.209846,-0.100575,-0.321289,-0.116,0.730883,0.19845,-0.103243,0.843272,-0.00844647,0.501194,0.404811,0.401104,0.162087,-0.242356,-0.301505,-0.293347,-0.23277,-0.212923,-0.0645495,0.369363,-0.131045,-0.668143,0.054813,-0.426816,0.690553,0.910683,0.260389,-0.0803894,-0.0513399,0.261223,4.50611,0.571738,0.121853,0.0972066,0.154929,0.161021,0.415206,0.162332,0.0381126,0.110839,0.136673,0.0637396,0.0637399,0.063431,0.131429,0.131689,0.163248,0.223001,0.227559,0.235585,0.590771,0.0423405,0.470044,0.0925775,0.127627,0.368938,0.484933,0.0545372,0.0711094,0.287002,0.160146,0.0500544,0.0559326,0.0346618,-0.242737,-0.297097,-0.012826,-0.260725,1.05012,0.215662,0.330173,0.324913,0.545904,-0.514631,-0.264065,0.887521,-0.158671,-0.354632,-0.18109,-0.136414,0.405537,-0.0226009,-0.40892,-0.0407552,-0.885718,-0.846852,-1.31145,-0.971169,-0.418702,-0.232156,0.364003,-1.08804,0.720387,-1.39933,-0.0342935
-3845.14,0.982208,0.00310183,10,1023,0,3942.32,-0.846873,-0.0227239,-0.0349036,-0.210486,-0.0685795,0.199027,-0.0879114,0.347898,-0.31041,-0.116395,-0.184145,0.48806,0.0737401,-0.00350487,0.74009,0.265994,0.492178,0.306873,0.0381314,-0.345019,0.742672,-0.0229043,-0.0742987,0.250977,0.300596,0.606323,0.0558622,-0.490308,0.180914,-0.522865,-0.378278,-0.816977,-0.429252,-0.169723,-0.0157621,0.165836,-0.504136,0.400685,-0.782086,0.219092,0.0281413,0.376757,0.00702294,-0.0018584,-0.529412,0.217173,0.0121398,0.156882,-0.410947,-0.0715329,0.231376,-0.222961,-0.167635,-0.11716,0.16068,0.10704,0.050685,-0.0670316,-0.499896,-0.0276354,0.106536,0.203382,-0.399997,-0.0447078,0.08209,-0.790211,-0.885787,-0.18336,0.321042,0.508279,-0.619887,-0.598907,-0.0315469,-0.998554,-0.0347839,-1.05388,0.596018,0.203295,0.263028,-0.322219,0.584536,-0.891766,0.0871071,-0.17768,0.444029,0.396503,-0.0295634,0.424226,0.182431,-0.115885,-0.446437,0.457176,0.193629,-0.0915292,-0.56169,-0.0432143,0.327761,0.112257,-0.110775,0.498406,-0.135573,0.524899,0.0452682,0.392206,0.0600264,-0.460528,-0.0590524,-0.0537456,0.0718195,-0.066127,-0.15882,0.105451,0.0208661,-0.294576,-0.122615,-0.416722,0.567733,0.948672,0.370224,-0.0623166,-0.305168,0.361336,4.86445,0.220822,0.0378864,0.0580735,0.065841,0.118067,0.651487,0.0391509,0.439054,0.104392,0.123075,0.294464,0.02197,0.0987068,0.114496,0.0221432,0.134405,0.0914804,0.0396734,0.571576,0.564726,0.104533,0.162083,0.138625,0.158575,0.322244,0.198399,0.250444,0.0409864,0.0303025,0.287049,0.280254,0.0600942,-0.299966,-0.503913,-0.467374,-0.314965,-0.671484,0.806699,-0.125087,0.0596067,0.186634,0.210636,-0.700127,-0.644611,0.280643,-0.49193,-0.466663,-0.510122,-0.411179,0.172713,-0.174073,-0.891211,-0.337488,-0.907842,-1.14173,-1.74186,-1.5132,-0.961792,-0.591789,-0.143817,-1.26116,0.291064,-1.7638,-0.523158
-3846.21,0.512529,0.00310183,10,1023,0,3930.86,-0.582091,-0.142318,0.157838,-0.238738,-0.234772,0.22507,0.1976,0.277445,-0.149645,-0.127685,0.251924,0.303889,0.216549,0.444522,0.399758,0.165815,0.22315,0.57224,0.396777,-0.0555443,0.581772,0.0957108,0.0390335,0.469495,0.532389,0.357915,0.481368,-0.238977,0.14987,-0.113794,0.202415,-0.144327,-0.0171704,0.494891,-0.105128,0.414174,-0.0233768,0.858157,-0.39686,0.0733543,-0.00760558,0.409356,0.00387688,-0.128689,-0.454108,0.495632,0.115121,-0.0899579,-0.467425,-0.205543,0.518264,-0.33158,0.0221254,0.056544,0.387732,0.216743,0.395742,-0.217305,-0.287404,0.0159271,0.214593,0.613847,-0.337478,-0.221975,0.313014,-1.10333,-0.26003,-0.475507,0.427477,-0.150546,-0.221442,-0.572309,-0.648716,-0.269236,0.29198,-0.440514,0.472004,-0.261715,0.0393889,-0.151515,0.127589,-1.76579,-0.150372,-0.357189,-0.178316,0.535332,-0.377995,0.481563,0.0807291,0.211746,-0.35521,0.56573,0.109217,-0.119316,-0.404898,0.202991,0.342241,0.695397,0.189171,0.478496,-0.793222,0.0799285,0.722073,0.292616,0.122467,-0.0108304,-0.0630735,0.23444,-0.0414077,-0.0146994,-0.266418,0.363474,-0.654605,-0.628023,-0.0270877,-0.180228,0.565094,0.682305,0.0539655,-0.262182,-0.0911396,-0.0677227,7.73606,0.0143471,0.104692,0.139015,0.089556,0.121043,0.166844,0.325586,0.278247,0.0528036,0.133423,0.19453,0.199582,0.0943301,0.0105646,0.00291318,0.0377907,0.273871,0.037869,0.181058,0.283826,0.345508,0.0618436,0.1972,0.0385785,0.0342744,0.346077,0.103434,0.00675952,0.0105743,0.0935785,0.134687,0.0857586,0.289254,-0.188253,-0.0616142,-0.0383672,-0.269925,1.07027,0.205082,0.491875,0.433423,0.730959,-0.146811,-0.196484,0.657971,0.0157762,-0.0748454,0.00570528,0.117996,0.512454,0.201128,-0.432235,0.115748,-0.295787,-0.685042,-1.21704,-0.736309,-0.523974,-0.412811,0.221171,-0.738727,0.567694,-1.07398,-0.189363
-3856.09,0.370666,0.00310183,10,1023,0,3941.04,-0.558976,0.220922,-0.036451,-0.262939,-0.207668,0.140196,0.013786,0.533979,-0.199358,-0.498238,-0.448116,0.305244,0.0080633,0.725462,0.860583,-0.2481,0.527064,0.493259,-0.0731548,-0.230113,0.87481,0.130911,0.340868,0.634725,0.146703,0.850043,0.54807,0.290707,0.473495,-0.248608,-0.256725,-0.361318,-0.138772,0.430577,0.172682,0.780481,-0.405191,0.795283,-0.420995,0.523991,-0.00288855,0.434651,-0.300474,0.256066,-0.628856,0.427839,0.156441,0.048796,-0.750664,0.0399647,0.269955,-0.5079,-0.0787788,-0.114985,0.34656,0.010645,0.627956,-0.318283,-0.329808,-0.413371,-0.126517,0.0982921,-0.403952,-0.161324,0.200518,-1.15269,-0.398195,-0.438515,0.572163,0.0309094,-0.56652,-1.0874,-0.70171,-0.480358,0.166777,-0.360149,0.912509,-0.119981,0.284051,0.00606509,0.195456,-1.48514,-0.0173849,-0.41611,-0.25644,0.36384,-0.113477,0.54051,-0.162371,-0.044238,-0.487224,0.139647,-0.233312,-0.0445938,-0.726549,0.0501445,0.195457,0.603689,0.125914,0.443476,-0.683182,0.441672,0.782929,0.299532,0.315068,0.242083,-0.0476443,-0.227021,0.0413815,0.0832039,-0.475541,0.482006,-0.259211,-0.320618,-0.147839,-0.240498,0.358971,0.381902,0.0658302,-0.359791,0.0625204,-0.0945495,6.30243,0.0518657,0.132908,0.0691379,0.102303,0.232533,0.0955651,0.168349,0.0745272,0.00802812,0.135239,0.129534,0.101322,0.428909,0.06924,0.0125125,0.0299755,0.144465,0.118651,0.0574634,0.161545,0.0359677,0.27079,0.143564,0.116269,0.0122605,0.188397,0.112933,0.0260737,0.0353111,0.537637,0.0578175,0.189851,0.316979,-0.197774,-0.264151,0.0245392,-0.270186,1.14799,0.551576,0.311623,0.760052,0.742375,-0.396369,-0.132773,0.994782,-0.180929,-0.161153,-0.0369477,-0.0655356,0.57403,0.00290624,-0.328848,0.0403569,-0.582599,-0.852696,-1.33321,-0.941839,-0.263716,-0.263718,0.255014,-1.20091,0.539853,-1.23728,-0.0952004
