# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim4_nocor_model
# start_datetime = 2022-03-11 17:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpeIiCdf/standata-46107ef328bb.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim4_nocor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim4_nocor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00100828
# Diagonal elements of inverse mass matrix:
# 0.250481, 0.132638, 0.141132, 0.134509, 0.013189, 0.00993672, 0.0253152, 0.0153476, 0.176527, 0.393628, 0.255356, 0.263461, 0.233843, 0.235258, 0.235561, 0.274685, 0.272698, 0.224804, 0.23792, 0.242695, 0.21677, 0.241935, 0.299254, 0.23586, 0.256852, 0.244301, 0.218596, 0.242078, 0.227665, 0.292356, 0.216911, 0.257677, 0.235951, 0.257641, 0.228038, 0.255654, 0.241812, 0.289033, 0.239586, 0.287365, 0.278085, 0.218484, 0.00284787, 0.0132369, 0.0429261, 0.0423111, 0.0550188, 0.0426929, 0.0412648, 0.0463515, 0.0407832, 0.0429821, 0.0368429, 0.0439672, 0.0463233, 0.0434409, 0.0364659, 0.0396693, 0.0403638, 0.0432443, 0.0457741, 0.0461137, 0.043533, 0.0433886, 0.0459342, 0.044303, 0.0430618, 0.0441709, 0.0457183, 0.0442401, 0.0418052, 0.0401427, 0.0424375, 0.053007, 0.045676, 0.0450126, 0.0398299, 0.0486077, 0.050143, 0.042249, 0.0421893, 0.0437997, 0.0452858, 0.0517035, 0.0414683, 0.0388289, 0.0461853, 0.0437435, 0.0437239, 0.0425357, 0.0380675, 0.0436297, 0.0473553, 0.0479336, 0.0481443, 0.0439643, 0.0429861, 0.0405609, 0.049165, 0.044883, 0.0405975, 0.0414801, 0.042635, 0.0456479, 0.0451209, 0.0421836, 0.0410137, 0.0425146, 0.0479771, 0.0407996, 0.042122, 0.0483917, 0.0452795, 0.0430737, 0.0476857, 0.0454324, 0.0406157, 0.0376528, 0.045738, 0.0513229, 0.0441383, 0.0437482, 0.0485407, 0.0432039, 0.203116, 1.40051, 1.42566, 1.44147, 1.51697, 1.55539, 1.52868, 1.47923, 1.48466, 1.60157, 1.27144, 1.44644, 1.56895, 1.63619, 1.69452, 1.50668, 1.38839, 1.30222, 1.43532, 1.54354, 1.65396, 1.5941, 1.61089, 1.52184, 1.40101, 1.53963, 1.91624, 1.63281, 1.73704, 1.61866, 1.71838, 1.49556, 1.49864, 0.525385, 0.517052, 0.5133, 0.505067, 0.505488, 0.526019, 0.515625, 0.509988, 0.513821, 0.51591, 0.506849, 0.510703, 0.514552, 0.518351, 0.512914, 0.509039, 0.508566, 0.513849, 0.504709, 0.512806, 0.513545, 0.512975, 0.516286, 0.52051, 0.51681, 0.506727, 0.515135, 0.519893, 0.507629, 0.517517, 0.521739, 0.514485
-3874.73,0.598509,0.00100828,12,4095,0,3963.04,0.0637451,-0.411595,-0.348385,-0.715119,-0.190228,0.132363,0.0356741,0.0433057,0.224278,0.549473,-0.00764294,-0.0791926,-0.141462,0.209954,0.351782,0.95389,0.509058,0.292938,0.112986,0.569367,0.589654,-0.139252,0.399394,0.243539,0.311184,0.804193,0.144549,0.781457,-0.468117,-0.297004,0.442324,-0.0465194,0.476647,-0.0477371,-0.386134,0.137638,0.207523,0.8588,-0.451689,1.22068,-0.778629,0.29944,-0.0109627,0.462351,0.182736,0.0874717,-0.89156,0.551545,-0.0347503,-0.316081,-0.794038,0.381957,0.412797,-0.421593,-0.157666,-0.44521,0.456136,0.078741,0.418303,-0.445147,-0.420994,0.107233,-0.998588,0.132624,-0.751239,-0.206021,0.235476,-0.895501,-0.697787,-0.169327,0.445279,0.0261132,-0.677538,-0.990669,-0.650646,-0.67475,-0.374173,-0.733832,0.513662,-0.324391,0.490732,-0.345179,0.250025,-1.05876,0.0900157,-0.0787566,0.153909,0.277206,-0.00528307,0.551118,-0.216577,-0.0695807,-0.320931,0.173763,0.199736,-0.196394,-0.597172,-0.00993459,0.748357,0.305072,-0.345221,0.186265,-0.214267,0.116315,0.773508,0.525946,-0.0470311,0.0233881,-0.277781,0.465202,0.138814,0.109607,-0.509425,0.307349,0.141339,-0.234522,0.310497,-0.570963,0.290954,0.804107,0.402981,0.0338297,-0.258314,0.0306322,3.33091,0.0283626,0.391413,0.0433478,0.126902,0.489829,0.221399,0.402091,0.00807866,0.052488,0.0415503,0.314296,0.0152596,0.453242,0.23964,0.0997526,0.109092,0.0423151,0.142528,0.816028,0.215581,0.173583,0.00361381,0.498557,0.543846,0.310385,0.283641,0.00584232,0.24048,0.925382,0.017212,0.306694,0.0949805,0.454905,-0.271312,-0.0066637,0.32963,-0.303364,1.24666,0.592793,0.635876,0.366295,0.754015,-0.00524978,-0.108634,0.907922,-0.148513,-0.180606,0.206903,-0.000983388,0.631319,0.101477,-0.519935,0.0393037,-0.423762,-0.593269,-1.12298,-0.830137,-0.394351,-0.448864,0.184596,-0.977051,0.605899,-1.25889,-0.228643
-3871.88,0.965296,0.00100828,12,4095,0,3968.23,0.200748,-0.558651,-0.158771,-0.74863,-0.245458,0.109098,-0.00809617,-0.00563451,0.444684,0.334192,0.114284,-0.145798,0.378896,0.799395,0.272692,0.92447,1.07366,0.19123,0.507959,0.58549,0.362753,0.485767,1.02732,0.396259,0.319108,0.795609,0.347755,0.695678,0.536677,0.161102,0.190676,-0.22284,0.29673,0.0211778,-0.112218,0.676831,0.58644,1.1767,0.110114,0.0571529,0.190783,0.701047,-0.0664909,0.457811,0.18228,0.0886007,-0.628849,0.587346,0.0178271,-0.327148,-0.665253,0.367665,0.299757,-0.426947,-0.358146,-0.306808,0.446937,0.134301,0.339172,-0.463693,-0.347272,0.232188,-0.768635,0.299248,-0.579809,-0.236521,0.0847515,-0.752956,-0.507349,-0.269703,0.495276,0.0613366,-0.552438,-1.07377,-0.619114,-0.629074,-0.329213,-0.767906,0.568477,-0.340777,0.607188,-0.00817557,0.236351,-0.954922,0.263901,-0.134393,-0.0350594,0.331556,0.0563618,0.508173,-0.216596,-0.00638361,-0.277423,0.0427143,0.328806,-0.20308,-0.467121,0.149871,1.01683,0.244793,-0.223657,0.26254,-0.295746,0.358958,0.80921,0.481608,0.0417672,0.274594,-0.188544,0.409231,0.145391,0.00363818,-0.321591,0.506695,0.181969,-0.075154,0.378075,-0.207706,0.321504,0.834734,0.16666,0.252679,-0.274184,0.125721,5.70698,0.268985,0.0490514,0.104967,0.2529,0.208304,0.0369117,0.0610149,0.102983,0.00157786,0.185912,0.166896,0.174979,0.0333441,0.74291,0.088671,0.0258145,0.0405517,0.0161641,0.00522709,0.46134,0.356503,0.0252385,0.137202,0.295729,0.323801,0.263795,0.0831053,0.0345249,0.13906,0.550962,1.40057,0.0035467,0.609811,0.0875608,0.387577,0.404151,0.119723,1.2198,0.762518,0.572272,0.657541,0.940046,0.313185,0.0471211,1.08077,-0.073751,-0.0444984,0.51154,0.363473,0.796778,0.474879,-0.314156,0.255598,-0.366853,-0.307821,-0.861962,-0.621103,-0.204579,-0.192232,0.402125,-0.888914,0.780269,-0.940273,0.155053
-3870.37,0.975436,0.00100828,12,4095,0,3970.37,-0.225299,0.518871,0.348174,-0.348674,-0.157418,0.190931,0.131391,0.340546,0.472027,0.31388,0.383694,0.0741426,0.194051,0.267195,0.342907,0.780509,0.77131,0.27551,0.470547,0.465827,0.313812,-0.0307738,0.805058,-0.0472963,0.718232,0.68053,0.539022,0.759601,0.943413,-0.262054,0.695424,0.104699,0.376401,0.27574,0.539497,0.556092,-0.331121,0.0146552,0.060954,0.987466,0.111071,0.765703,-0.0248223,0.412926,-0.103302,-0.171146,-1.0254,0.213119,0.30995,0.0387203,-0.399756,-0.309622,0.153999,0.143905,0.288918,0.00186002,-0.10844,0.197292,-0.231385,-0.444076,-0.324789,-0.236265,0.138953,0.368925,-0.712992,-0.158045,0.0895933,-0.820055,-0.501942,-0.130775,0.317237,0.119201,-0.590534,-0.685701,0.0626586,-0.199606,0.36822,-0.277522,0.379227,0.0560548,0.102308,-0.173307,0.111637,-0.94266,-0.0630502,-0.571548,-0.00188847,0.231342,0.332381,0.34152,0.0567063,0.0245399,-0.400272,0.402511,-0.0943794,-0.302926,-0.207076,0.220601,0.194231,0.583518,-0.221952,0.511372,0.0783424,-0.0564374,0.498053,0.342168,-0.214595,-0.00166279,-0.0377232,0.0104521,-0.201643,0.358725,-0.259351,0.0888486,-0.486584,-0.708638,-0.169293,-0.348276,0.414907,1.11497,0.261022,0.213965,0.256243,0.163104,3.05189,0.135663,0.818147,0.0761372,0.378378,0.00511527,0.0389226,0.298365,0.737382,0.00103342,0.0265157,0.016983,1.10101,0.48449,0.63119,0.352769,0.218281,0.628288,1.43506,0.0253696,0.0497096,0.173397,0.190826,0.296383,0.0724966,0.0957472,0.435914,0.0733284,0.650902,0.369738,0.0948252,0.116993,0.159781,1.26768,0.693421,0.961069,1.06472,0.8533,2.05499,1.37016,1.53629,1.4505,1.45291,0.867588,0.876213,1.89454,0.733835,0.726829,0.925697,1.08407,1.57332,1.14921,0.305948,1.11436,0.371265,0.373557,-0.279499,0.187837,0.853045,0.265346,1.01279,-0.178462,1.26772,-0.120024,0.671992
-3860.79,0.996853,0.00100828,12,4095,0,3954.46,-0.330736,0.318689,0.142661,-0.316162,-0.0509024,0.16416,-0.0615816,0.0171708,0.529442,0.524501,0.536701,-0.105047,-0.243582,0.513241,0.33163,0.879468,0.621737,0.57091,0.356989,0.394271,0.183097,-0.417787,0.438078,0.860316,0.554198,0.491417,0.768378,0.901828,1.18771,0.16007,0.742757,0.405811,0.31304,-0.121933,0.284194,0.539099,0.576919,1.06924,-0.140937,1.48959,-0.32303,0.521931,0.00998744,0.382464,-0.0302563,-0.0428139,-0.532883,0.451772,-0.169715,-0.210567,-0.791951,0.067962,0.44889,-0.389169,0.088787,-0.152618,0.15249,0.0353045,-0.2045,-0.210767,-0.183927,-0.257846,-0.128905,-0.00555131,-0.854542,-0.00264923,-0.0486423,-0.500726,-0.37259,-0.213507,0.648117,-0.0790395,-0.301979,-0.702769,-0.16146,-0.344472,-0.20258,-0.210441,0.507791,0.264201,-0.27864,-0.287569,0.494253,-1.09466,-0.0298832,-0.542064,0.137924,0.206849,0.234303,0.506427,0.0638929,0.468375,-0.391286,0.200972,0.0775183,-0.167218,-0.354511,-0.0363394,0.4515,0.222413,0.0799926,0.419398,0.0647167,0.247636,0.470942,0.689263,0.0495349,-0.0250813,0.0510663,-0.018477,-0.0722925,0.111046,-0.204394,-0.272252,-0.326427,-0.199184,-0.247911,-0.339229,0.460164,0.770516,0.181509,0.386167,-0.0712743,0.386314,5.3392,0.269274,0.167128,0.1175,0.0833008,0.0733956,0.0307978,0.0410345,0.135863,0.0940691,0.165859,0.0113958,0.153288,0.617372,0.275753,0.204908,0.154155,0.212312,0.156102,0.215986,0.0349333,0.0478391,0.104754,0.0991412,0.65903,0.0621711,0.173242,0.655908,0.0172127,0.0259372,0.224405,0.171905,0.276732,0.658042,0.293961,0.323107,0.504345,0.270887,1.62202,0.743484,0.853149,0.912642,0.936297,0.354356,0.188059,1.12505,0.316084,0.181028,0.26892,0.390243,0.895456,0.709314,-0.28609,0.498758,-0.155352,-0.319253,-1.03608,-0.43454,0.0109031,-0.284423,0.422499,-0.811002,1.03445,-1.04551,0.0186238
-3848.5,0.998271,0.00100828,12,4095,0,3949.29,-0.121678,0.020357,0.308503,-0.820852,-0.360252,-0.0930953,0.0402199,0.340474,0.395245,0.380523,0.186431,-0.143336,0.109741,-0.0673606,0.295667,0.966911,0.753096,0.594215,0.743461,0.86706,0.199265,0.669568,0.658135,-0.0930854,0.475132,0.655058,0.051037,0.4422,0.195619,-0.668532,0.367471,-0.162263,-0.148849,0.0775331,-0.0120152,0.754989,-0.351883,0.332597,-0.031085,0.380849,-0.468875,0.275879,-0.109317,0.322277,-0.157353,0.223678,-0.339386,0.037461,-0.109784,-0.00046309,-0.652837,0.181434,-0.312404,-0.311819,0.519067,-0.143726,0.0357741,0.265336,0.272078,-0.252514,-0.422416,0.17155,-0.221541,0.251942,-0.43809,0.115085,-0.0601651,-0.572534,-1.00628,-0.165774,0.165434,0.25947,-0.400997,-0.786043,-0.181707,-0.39897,0.337613,-0.196243,0.410525,-0.119361,0.268911,-0.335515,0.314978,-0.632017,-0.523333,-0.468613,-0.112443,0.135976,-0.551948,0.556155,0.202208,-0.146729,-0.116464,0.271805,-0.1043,-0.0588149,-0.538158,0.0435418,0.518001,0.0269354,-0.00249791,0.336365,-0.405545,0.179741,0.462905,0.141547,-0.247361,0.152497,0.0490981,0.285264,-0.1303,0.0485143,-0.272614,0.569295,0.183317,-0.558577,-0.0433897,-0.238648,0.249429,0.440128,0.131278,-0.0180172,-0.0549118,0.396646,8.34284,0.138501,0.0246364,0.379444,0.178791,0.0501171,0.256002,0.145169,0.175392,0.20165,0.0979013,0.0840912,0.109777,0.0226285,0.103565,0.193641,0.14391,0.0419869,0.0682765,0.00275627,0.0530125,0.100033,0.0642778,0.0604492,0.00626076,0.449798,0.071643,0.0423045,0.13204,0.0285613,0.225804,0.0341401,0.190649,0.43868,0.0278144,0.142129,0.49899,0.22604,1.40554,0.649665,0.878382,0.732925,0.85403,0.105546,0.172295,0.970229,0.149006,0.0988952,0.357276,0.301001,0.792131,0.292259,-0.337189,0.343109,-0.229769,-0.522316,-1.21418,-0.618335,-0.168112,-0.262195,0.340064,-0.870804,0.348566,-1.11724,0.0267849
-3838.83,0.996697,0.00100828,12,4095,0,3926.05,-0.0962586,0.327746,0.327901,-0.715102,-0.236081,-0.0648069,-0.255686,0.154518,0.0349607,0.306516,-0.286779,-0.432989,0.200721,-0.251455,-0.310722,0.916615,-0.00717118,-0.11883,0.309958,0.394016,-0.336714,0.297853,0.752605,0.127881,0.583476,0.513878,-0.0253074,0.607428,0.262718,-0.138843,0.330873,-0.0881605,-0.0938363,-0.176461,0.033256,0.260523,0.0115715,0.388864,-0.0848911,0.888126,-0.441141,0.391926,0.0579238,0.435951,0.287082,-0.216353,-0.909363,0.302381,0.209464,0.0105456,-0.440587,0.280147,0.630123,-0.19331,-0.135378,0.0581783,0.302937,0.401394,0.197597,-0.12831,-0.240971,-0.0127977,-0.188914,0.471681,-0.57138,-0.217977,-0.0282057,-0.619543,-0.449405,-0.0843386,0.346767,0.145622,-0.33814,-0.461969,-0.491654,-0.549183,0.121475,-0.414488,0.634066,0.555452,0.235666,-0.147923,0.501606,-1.21137,0.255394,-0.287761,0.0664202,0.279839,0.0771487,0.264786,0.0834519,0.493581,-0.364769,0.303348,-0.0168772,-0.393068,-0.284587,-0.209591,0.777551,0.261826,-0.547819,0.16694,0.233251,0.0284703,0.577795,0.480219,-0.447021,-0.108045,-0.169272,0.0253,-0.497571,-0.311517,-0.225407,0.231165,-0.255553,-0.524305,0.425031,-0.315442,0.510133,0.75942,0.340277,0.0515514,0.111571,0.225221,6.48258,0.0211946,0.0862586,0.0663015,0.0366917,0.197937,0.520326,0.0186784,0.00871168,0.00915261,0.119905,0.2265,0.322128,0.492268,0.0426272,0.117438,0.0556955,0.0559113,0.0340183,0.0906983,0.0183707,0.141571,0.102398,0.0421884,0.0647064,0.0390096,0.422618,0.279147,0.186294,0.025338,0.115256,0.128318,0.0690516,0.223815,-0.159261,0.202495,0.281186,-0.170372,1.07235,0.243515,0.503387,0.518055,0.722056,0.010273,-0.094075,0.931803,-0.291453,-0.150898,0.175214,0.0326318,0.432745,0.0734168,-0.597983,0.0662904,-0.491086,-0.625726,-1.17392,-0.782209,-0.25957,-0.482082,0.0128168,-0.956309,0.452347,-1.37456,-0.123109
