# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim4_nocor_model
# start_datetime = 2022-03-11 17:02:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpeIiCdf/standata-46107ef328bb.json
# init = 2 (Default)
# random
#   seed = 1501842373
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim4_nocor-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim4_nocor-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.000719495
# Diagonal elements of inverse mass matrix:
# 0.242477, 0.118449, 0.134871, 0.123714, 0.0126916, 0.0101021, 0.0241102, 0.0129776, 0.280912, 0.0824696, 0.336308, 0.356419, 0.313575, 0.350309, 0.340584, 0.380149, 0.35102, 0.335165, 0.337908, 0.333287, 0.326654, 0.335354, 0.370225, 0.342312, 0.353823, 0.333006, 0.325308, 0.335554, 0.347247, 0.407213, 0.329657, 0.378559, 0.346963, 0.376656, 0.355701, 0.359415, 0.372682, 0.340601, 0.360313, 0.367305, 0.401139, 0.325082, 0.00281386, 0.0133659, 0.040601, 0.0424922, 0.0457295, 0.04546, 0.0464314, 0.0396074, 0.0401953, 0.0410177, 0.0411312, 0.044121, 0.0440649, 0.0423533, 0.0407222, 0.0431101, 0.0392259, 0.0455541, 0.0497954, 0.0432842, 0.0413642, 0.0448033, 0.0393125, 0.0431011, 0.0387728, 0.0413688, 0.0405989, 0.0353206, 0.0404204, 0.0429639, 0.0404869, 0.0501971, 0.0409103, 0.048248, 0.0421645, 0.0441252, 0.0460449, 0.040808, 0.0419213, 0.0447037, 0.0484439, 0.0473463, 0.0412954, 0.0454212, 0.044996, 0.0430028, 0.0369499, 0.0448787, 0.0414325, 0.0435765, 0.0423567, 0.0474894, 0.0473193, 0.0479723, 0.041123, 0.0396414, 0.0458879, 0.038294, 0.0449982, 0.0412543, 0.0403763, 0.0429001, 0.0426055, 0.048131, 0.0384985, 0.0392701, 0.0437175, 0.0454507, 0.0483884, 0.0454073, 0.0484025, 0.0439478, 0.038455, 0.0450889, 0.0414137, 0.0447039, 0.0438553, 0.0498124, 0.0451707, 0.0389114, 0.0490256, 0.0411967, 0.19325, 1.31687, 1.60138, 1.4996, 1.29282, 1.5376, 1.6993, 1.68588, 1.45473, 1.65221, 1.72808, 1.58481, 1.50139, 1.31795, 1.75507, 1.46403, 1.56523, 1.77619, 1.53358, 1.53688, 1.63042, 1.44863, 1.37296, 1.46082, 1.46006, 1.52437, 1.62704, 1.75803, 1.77245, 1.40258, 1.53921, 1.71079, 1.55555, 0.762344, 0.765628, 0.764567, 0.762658, 0.765079, 0.768374, 0.775924, 0.763579, 0.763434, 0.76988, 0.767177, 0.770421, 0.773305, 0.763022, 0.777383, 0.756946, 0.757826, 0.762354, 0.755731, 0.764468, 0.768551, 0.766086, 0.760347, 0.765583, 0.762553, 0.768038, 0.764843, 0.755125, 0.770635, 0.759975, 0.765495, 0.7666
-3868.34,0.99939,0.000719495,12,8191,0,3969.43,-0.0563757,0.285597,0.335211,0.0253953,-0.236868,0.0756912,-0.0772531,0.0321081,-0.621633,0.443725,-0.945128,-1.30606,-0.974252,-0.529379,-0.820057,-0.233923,-0.0967098,-0.667535,-0.333393,-0.380364,-0.668719,-1.07671,0.418332,-0.422261,-0.841278,-0.249881,-0.495311,-0.283511,-0.448437,-1.18137,-0.282913,-0.883372,-0.931308,-0.825159,-1.05858,-0.558553,-0.997091,-0.0274867,-1.36499,-0.522104,-1.06112,-0.546057,-0.0225555,0.477495,0.0918735,0.118977,-0.964064,0.812313,0.157986,-0.0277826,-0.262988,0.267907,-0.00224577,-0.40999,-0.0756894,-0.223941,0.158071,0.105677,0.315402,-0.0523485,-0.442792,0.256405,0.324898,0.154215,-0.20209,-0.0856187,0.299342,-0.798294,-0.952045,-0.388153,0.621599,0.0620361,-0.227136,-0.990387,-0.569122,-0.557493,0.336045,-0.391793,0.18769,-0.30898,0.207614,-0.434195,0.524485,-1.23002,0.0181616,-0.263754,0.0792846,-0.102893,-0.0124076,0.9101,-0.0369152,0.0444185,-0.118625,0.156113,-0.261594,-0.200562,-0.439849,-0.174856,0.622236,0.263428,-0.177563,0.545357,-0.0535094,0.0982826,0.450801,0.810182,-0.130079,-0.0899558,-0.155784,0.282091,-0.268419,-0.287587,-0.408621,0.222251,-0.313455,-0.570497,0.0460235,-0.421096,-0.261626,0.656167,0.320143,0.0859349,-0.266093,0.0497619,6.98526,0.173874,0.300462,0.157146,0.410954,0.0566892,0.131582,0.120403,0.21203,0.0642928,0.0561308,0.043756,0.0585015,0.282353,0.256355,0.475772,0.00824363,0.014499,0.0967239,0.123615,0.0183482,0.0698118,0.597731,0.181356,0.0749974,0.209282,0.0807015,0.119153,0.16737,0.389215,0.28394,0.247908,0.187063,-0.0507679,-0.653633,-0.406664,-0.366044,-0.501647,0.712847,0.10064,0.227307,0.262494,0.193311,-0.24597,-0.619351,0.756954,-0.712061,-0.452752,-0.334143,-0.22132,0.0960996,-0.140325,-1.11155,-0.247459,-0.987859,-1.10271,-1.42347,-1.14426,-0.635113,-0.973141,-0.17678,-1.54151,-0.171393,-1.60814,-0.512521
-3873.55,0.998298,0.000719495,13,8191,0,3985.24,-0.835657,0.0474538,0.550763,-0.681366,-0.143362,0.144136,-0.102971,0.253132,-0.524546,0.603006,-0.31424,-0.991653,-0.433421,0.124747,-0.417349,-0.312628,0.734417,-0.36259,0.0195894,-0.0586103,-0.345657,-0.794623,0.329037,-0.483487,0.112826,-0.377874,-0.316347,-0.139777,-0.202806,-0.945488,-0.320855,-1.19115,-0.414294,-1.03768,-0.575959,0.472632,-0.83523,-0.105364,-0.505433,0.315756,-1.12069,-0.355543,-0.00655129,0.378525,0.284094,0.169099,-0.497586,0.0805724,-0.33238,-0.0710346,-0.608655,0.283532,0.444372,-0.265069,0.139752,-0.27206,-0.228784,-0.147262,0.417142,-0.36708,-0.61949,0.131255,-0.0215349,0.120718,-0.450505,-0.0125995,0.055294,-0.818356,-0.743363,-0.199641,0.769183,0.123006,-0.0775087,-0.892033,-0.557807,-0.525573,-0.0832994,-0.195971,0.419282,0.100903,-0.249177,-0.355594,0.032081,-0.855201,-0.366973,-0.424243,-0.206811,0.544244,-0.232249,0.300144,-0.12299,0.0629884,-0.431758,0.569224,-0.0643316,-0.408386,-0.486748,-0.435147,0.882715,0.163681,-0.312473,0.410428,-0.151555,-0.025763,0.424303,0.515494,0.157456,0.462698,-0.524563,0.0856749,-0.169359,-0.370894,-0.649924,0.431942,-0.125077,-0.390799,0.22082,-0.570402,0.218979,0.651858,0.142738,0.21913,-0.0862952,-0.250267,4.79688,0.11045,0.575319,0.0739247,0.0325683,0.344932,0.804629,0.113121,0.13232,0.0812977,0.0282863,0.00815594,0.120447,0.121579,0.220066,0.349719,0.156349,0.0142867,0.195077,0.0976659,0.0596613,0.00552197,0.485578,0.332247,0.252742,0.343597,0.05004,0.262757,0.0286594,0.0820484,0.044486,0.190012,0.304872,-0.528617,-1.09281,-0.776367,-0.530227,-1.15736,0.350916,-0.225202,-0.529564,-0.367785,-0.290295,-0.915327,-1.11915,-0.0419737,-0.906494,-0.948212,-0.879088,-0.672044,-0.280253,-0.507951,-1.53894,-0.843172,-1.33677,-1.72408,-2.26294,-1.84107,-1.06338,-1.37074,-0.787503,-1.79837,-0.518835,-2.25956,-1.06608
-3852.6,0.987017,0.000719495,12,4637,1,3949.41,-0.0089937,0.213475,-0.0756138,-0.849623,-0.143323,0.0278205,0.0633897,0.109547,-0.707165,0.535051,-0.973242,-1.2659,-0.806533,-0.916884,-0.29401,-0.140397,-0.376642,-0.885072,-0.210173,-0.467904,-0.907019,-0.989401,-0.0690829,-0.614237,-0.549732,-0.324425,-0.874606,-0.169474,-0.20343,-1.21866,-0.274654,-1.24563,-0.542416,-0.700485,-0.569225,-0.111809,-0.486244,0.109664,-0.624137,0.282317,-1.18402,-0.136707,-0.0642448,0.43551,-0.247674,-0.162791,-1.05696,0.506407,0.218418,-0.250116,-0.530174,0.321969,0.479904,-0.600009,0.00694056,0.0389158,0.0118739,0.155089,0.515714,-0.472085,-0.189481,-0.0118779,-0.166743,0.397103,-0.128706,-0.0965911,0.127894,-1.00422,-0.434895,-0.135699,0.195295,0.306077,-0.277896,-0.501443,-0.179286,-0.19505,0.188978,-0.672935,0.487162,-0.174211,-0.0629662,-0.203687,0.420784,-0.997209,0.169171,-0.311125,0.273939,-0.113852,0.0632341,0.591882,0.224568,-0.0979471,-0.428615,0.329833,-0.126065,-0.273597,-0.226769,0.29333,0.732895,0.0382366,-0.0967584,0.437345,-0.221557,0.0914823,0.514502,0.628917,-0.270314,0.120933,-0.108198,-0.304089,-0.494527,0.217075,-0.422086,0.0536189,-0.369851,-0.277944,0.386399,-0.211066,-0.185083,0.543787,0.202994,0.156324,-0.117023,0.312567,7.31225,0.08091,0.00309381,0.0578054,0.163702,0.305792,0.360519,0.0528571,0.0379745,0.12695,0.0645655,0.0235181,0.0109133,0.288842,0.120515,0.213683,0.207661,0.120814,0.186584,0.0875353,0.150179,0.0179471,0.104884,0.372296,0.308891,0.0586875,0.122613,0.0438099,0.0293705,0.103414,0.0333177,0.209384,0.0131951,-0.294185,-0.818617,-0.411415,-0.50303,-0.705569,0.564416,-0.0797488,-0.323701,0.0881874,-0.00152272,-0.610482,-0.718794,0.278909,-0.771741,-0.669841,-0.486974,-0.5902,0.0879067,-0.435031,-1.13316,-0.284571,-1.14474,-1.07395,-1.8062,-1.40407,-0.86379,-1.0056,-0.457371,-1.49848,-0.330543,-1.90652,-0.755774
-3875.32,0.994366,0.000719495,12,4095,0,3968.4,0.385705,-0.18836,0.0427475,-1.09853,-0.3317,-0.00186231,-0.0771028,0.0786,-0.420819,0.546729,-0.845773,-1.4991,-0.802291,-0.808993,-1.15661,0.148658,-0.342963,-1.19735,-1.03939,-0.26871,-0.707739,-1.14042,0.0998521,-1.05441,-0.317055,-0.27502,-0.266791,-0.583445,-0.492717,-1.56461,-0.558223,-1.18491,-0.863456,-0.537596,-0.836263,-0.38813,-0.602394,0.486798,-1.09035,0.654617,-0.951318,-0.0396994,-0.0296867,0.384809,-0.0300739,-0.424089,-0.792048,0.522699,-0.0846741,-0.40067,-0.689211,0.152451,-0.0913065,-0.726666,0.0643583,0.0971708,0.129849,-0.183499,0.0729749,-0.218754,-0.0740181,-0.286573,0.109394,0.43934,-0.116833,0.0965429,0.225802,-0.834257,-0.379619,-0.392973,0.463223,-0.116842,-0.539295,-0.446139,-0.420833,-0.459739,0.285396,-0.553247,0.627831,0.0424772,0.125744,-0.33086,0.194489,-0.801787,0.195724,-0.557046,0.348494,0.594029,-0.252378,0.722097,0.121908,0.237399,-0.0595505,0.429621,0.0497514,-0.267784,-0.410242,-0.048306,0.343476,-0.0774291,-0.18151,0.273761,0.0838843,0.461733,0.752293,0.341762,-0.256501,0.424402,-0.115916,0.303704,-0.729946,-0.047806,-0.412267,0.41463,-0.277294,-0.381246,0.110729,-0.260902,0.169519,0.453824,0.165125,0.0439526,-0.224307,0.105245,5.76849,0.181235,0.0181304,0.0638336,0.149298,0.177049,0.0339212,0.201537,0.00723893,0.229594,0.0423546,0.0645645,0.644542,0.275049,0.109345,0.0198512,0.352011,0.278512,0.114366,0.0645345,0.0901266,0.0768958,0.492885,0.233223,0.197149,0.21456,0.254359,0.201188,0.0248619,0.497242,0.1152,0.0270188,0.238236,-0.13052,-0.862239,-0.59766,-0.137177,-0.753595,0.665354,-0.192785,-0.265312,-0.0675841,0.196976,-0.437542,-0.797767,0.420338,-0.790871,-0.618485,-0.517901,-0.490475,-0.126294,-0.318519,-1.23285,-0.338601,-0.972783,-1.27784,-1.67426,-1.36387,-0.925504,-1.32896,-0.304192,-1.55337,0.0252146,-1.91772,-0.671311
-3872.18,0.999664,0.000719495,12,4095,0,3966.96,-1.05183,0.127782,0.530903,-0.227319,-0.185845,0.231615,-0.117149,0.192597,-0.0758679,0.420971,-0.0827457,-0.582264,-0.245175,-0.162587,-0.124093,0.169149,0.355059,0.257071,-0.0155382,-0.0018667,-0.384776,-0.270141,0.858427,0.0280195,0.36815,0.0889932,0.151941,-0.345662,0.172329,-0.457089,0.304668,-0.338643,0.0483769,-0.183684,-0.450565,0.498015,-0.581063,0.185173,-0.991848,0.239252,-0.505386,0.0673286,-0.0149421,0.46284,0.220818,0.119794,-0.709263,0.0681248,0.309746,0.138562,-0.460005,0.249606,0.455289,-0.118179,-0.578836,-0.26393,0.33631,0.566933,0.0625968,-0.639762,-0.583088,-0.0560069,-0.0641787,0.329188,-0.707847,-0.31408,-0.0932524,-0.920659,-0.725135,-0.460937,0.331327,0.111537,-0.537723,-1.13976,-0.276512,-0.52361,-0.0497926,-0.395232,0.352825,-0.234047,-0.216769,-0.201988,0.226253,-1.01486,-0.0414972,-0.288138,0.0909689,-0.286193,-0.10739,0.676245,-0.108882,0.131217,0.0915474,0.276944,-0.116919,-0.321525,-0.122166,0.479067,0.706981,0.501757,-0.00806426,0.666869,-0.390603,0.0386367,0.579486,0.713599,-0.217201,-0.146007,-0.297579,0.109522,0.27204,0.406458,-0.736924,-0.121467,0.0286608,-0.416725,-0.0907178,-0.35407,0.464067,1.07742,0.38738,-0.231959,0.00356917,0.384744,4.9177,0.406779,0.142332,0.221456,0.253306,0.0641236,0.0739021,0.246258,0.564128,0.0542809,0.0330366,0.0132416,0.351901,0.373375,0.0338564,0.108895,0.0805121,0.208655,0.307791,0.0507949,0.0887519,0.115335,0.308103,0.241103,0.323255,0.611125,0.0334085,0.0881345,0.0150372,0.124948,0.2309,0.320899,0.121147,-0.271681,-0.934614,-0.61082,-0.666975,-0.848305,0.379781,-0.362625,-0.211022,0.0498145,-0.024763,-1.00945,-0.777944,0.215309,-0.854443,-0.704097,-0.701085,-0.663669,-0.302607,-0.552877,-1.29427,-0.566082,-1.13459,-1.23263,-2.11871,-1.60826,-0.865655,-1.18558,-0.538348,-1.91675,-0.18072,-2.01107,-0.867481
-3852.14,0.974365,0.000719495,13,8191,0,3950.41,-0.0317926,0.270329,0.422448,-0.306315,-0.329244,0.105492,0.0538987,0.203712,-0.306166,0.372184,-0.485396,-0.93437,-0.643967,-0.536769,-0.354091,0.152164,0.490413,-0.568336,-0.0948717,0.176647,-0.453186,-0.610806,0.411647,-0.264481,0.0220827,0.290532,-0.369384,-0.261269,-0.0328027,-1.25519,-0.478204,-1.07663,-0.492471,-0.383715,-0.111046,-0.0872606,-0.534472,-0.280402,-0.367099,0.1563,-0.931466,-0.190474,-0.0489164,0.336454,0.261782,0.503191,-0.472196,0.0786237,0.349728,0.124434,-0.514443,0.0931703,0.436686,-0.337378,0.0223318,0.0278272,0.626742,0.352856,0.312271,-0.259273,-0.230186,0.102965,-0.0664581,0.185958,-1.03907,0.00944141,-0.153427,-0.7693,-0.337646,-0.436744,0.145733,0.280865,-0.450403,-0.893388,-0.251222,-0.52079,-0.0974624,-0.234587,0.925266,0.024372,0.0174161,0.0883144,0.412787,-0.857297,-9.08031e-05,-0.243904,-0.266427,0.290693,-0.111514,0.577075,0.0521468,-0.0109493,-0.334097,0.579292,0.0928231,-0.466473,-0.370563,-0.136009,0.663249,0.49724,-0.0713784,0.235236,-0.112404,0.200595,0.413417,0.373217,0.15178,-0.373048,-0.22478,0.21474,-0.00227305,-0.20452,-0.384491,0.127491,0.0726614,-0.540839,-0.020399,-0.201811,0.222928,0.751508,0.0902044,-0.0247064,0.167671,0.253382,5.15026,0.275219,0.0890049,0.137866,0.395614,0.124824,0.1042,0.0614178,0.0821116,0.450058,0.266055,0.124945,0.0902303,0.0333763,0.173099,0.0339605,0.123992,0.107345,0.0364246,0.0823956,0.00378718,0.25811,0.140354,0.0197868,0.0175375,0.608532,0.448852,0.150211,1.17524,0.00119481,0.0834976,0.0845446,0.0935688,0.141278,-0.0496019,-0.0957149,0.38796,-0.113454,1.21266,0.717681,0.589683,0.757278,0.772217,0.0486306,-0.0356706,0.950092,-0.134367,0.0442545,0.2227,0.0745508,0.419985,0.24364,-0.595065,0.0529469,-0.537164,-0.451929,-1.12231,-0.749181,-0.259352,-0.34268,0.0578405,-0.794556,0.289295,-1.29345,0.0247644
