# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim5_model
# start_datetime = 2022-03-14 08:02:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a0041a87d62.json
# init = 2 (Default)
# random
#   seed = 285389646
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0311875
# Diagonal elements of inverse mass matrix:
# 0.142449, 0.100232, 0.0867982, 0.0934292, 0.0117026, 0.0057447, 0.12578, 0.535647, 0.231437, 0.194275, 0.184559, 0.171585, 0.176422, 0.240818, 0.190594, 0.177415, 0.176495, 0.20387, 0.168624, 0.190331, 0.258662, 0.155403, 0.171535, 0.184574, 0.159797, 0.198944, 0.164156, 0.218615, 0.168392, 0.214356, 0.184953, 0.180597, 0.169418, 0.178319, 0.180059, 0.211375, 0.196442, 0.303064, 0.194875, 0.170552, 1.47232, 0.0180954, 0.0193633, 0.0167521, 0.0169549, 0.0164088, 0.027686, 0.0177402, 0.0223678, 0.0187831, 0.023004, 0.0174603, 0.0176195, 0.0258145, 0.018061, 0.0186888, 0.0181944, 0.0193651, 0.0220183, 0.019312, 0.0197583, 0.0194734, 0.0185385, 0.0205784, 0.0251553, 0.019032, 0.0179224, 0.018676, 0.0173273, 0.0228014, 0.0211677, 0.0226618, 0.01989
-4131.03,0.886888,0.0311875,7,127,0,4162.96,-0.385124,0.119859,0.142786,-0.398987,-0.207564,0.132721,0.212251,0.438743,-0.374873,-0.252299,-0.188438,0.328678,0.264364,0.769084,0.278418,-0.095003,0.346695,0.548693,-0.188419,-0.351811,0.990372,-0.0834714,0.129326,0.396856,-0.292441,0.420047,0.161346,-0.339776,0.533663,-0.429955,0.0234472,0.11098,-0.267479,0.361145,0.579992,0.664464,-0.117301,1.5648,-0.348022,0.535359,0.0710495,0.153562,-0.0531121,-0.0468484,0.427292,0.106859,1.42087,0.0132831,0.409223,0.625708,0.898445,-0.304005,-0.270782,0.984375,-0.104697,-0.00601836,0.100445,-0.395256,0.537895,-0.141577,-0.189159,0.416055,-0.6612,-0.401846,-0.916647,-0.938846,-0.539236,0.146559,0.259618,-1.05444,0.962804,-0.935397,0.00119407
-4138.37,0.619743,0.0311875,7,127,0,4168.56,-0.815197,0.231252,0.0391474,0.078561,-0.346157,0.334084,-0.00806001,0.406602,-0.844476,-0.428138,-0.334968,0.609733,0.440788,0.138535,0.66705,0.0502433,0.04877,0.0877008,-0.0665259,-0.602184,0.741085,0.0354248,0.20489,0.835416,0.196333,0.320795,0.367332,-0.637954,0.613678,-0.464785,-0.229378,0.0505242,-0.127743,0.548359,-0.283713,0.161534,-0.379086,0.521728,0.0878739,-0.188285,0.109245,0.159523,-0.0521877,0.100655,0.541947,0.207089,1.30137,0.113119,0.771136,0.676369,0.764697,-0.295834,-0.217908,0.83269,-0.099255,-0.0956829,-0.0310504,-0.241091,0.324548,-0.146841,-0.393115,0.338628,-0.944352,-0.524686,-0.99267,-0.820812,-0.274357,-0.075559,0.252051,-0.944052,0.625846,-0.630937,-0.192912
-4124.68,0.986542,0.0311875,7,127,0,4177.86,-0.48929,-0.356496,-0.043877,-0.255698,-0.388557,0.186418,0.336997,0.397364,-0.495609,-0.0887077,0.377621,0.723009,0.829985,0.814467,1.07315,0.198765,0.737135,0.895751,0.190837,0.161566,0.988856,0.455325,0.599141,0.748176,0.0834969,0.551695,0.113719,-0.515604,0.596424,-0.304928,-0.20761,-0.00501346,0.0110345,0.318169,0.400118,0.700844,-0.113747,1.11201,-0.0742761,0.104212,0.0744778,0.0337843,-0.105448,0.210177,0.450977,0.365074,1.21682,0.150869,0.542591,0.586537,0.909285,-0.317085,-0.144169,0.999653,0.106582,0.0725779,-0.0967892,-0.244739,0.661088,-0.341422,-0.28812,0.334741,-0.706666,-0.502692,-1.25124,-0.726696,-0.574482,-0.0687403,0.236618,-0.958359,0.758118,-0.895058,-0.25013
-4131.62,0.928603,0.0311875,7,127,0,4157.74,-0.226634,-0.25416,-0.0303751,-0.335637,-0.440664,0.142751,0.0537045,0.514493,-0.79891,-0.617052,0.0341904,0.355017,0.54927,0.590253,0.652775,-0.332968,0.407735,0.306825,-0.108211,-0.20184,0.826763,-0.0110204,0.125502,0.596097,-0.26275,0.579928,0.0680367,-0.708145,-0.246829,-0.399792,-0.376954,0.138156,-0.336163,0.324262,0.144015,0.544837,-0.280046,0.847148,-0.232577,0.0296887,0.0739731,0.0470568,-0.267004,-0.0745356,0.467767,0.281739,1.2533,0.28037,0.33057,0.644742,0.72496,-0.212883,-0.305058,0.986506,-0.0903413,-0.311094,-0.0258557,-0.173006,0.694189,-0.243665,-0.439408,-0.20461,-0.810511,-0.542023,-1.03065,-1.08639,-0.374825,-0.306206,0.159971,-1.10844,0.710657,-0.895339,-0.316119
-4142.67,0.939043,0.0311875,7,127,0,4173.12,0.33875,-0.297342,0.0219356,0.091293,-0.383043,-0.0054866,-0.171126,0.572145,-0.838942,-0.794938,-0.086278,-0.312615,0.117215,0.826781,0.0810428,-0.628932,0.181095,0.196067,-0.728232,-0.200065,0.356012,-0.113492,-0.0284339,0.126812,-0.444066,0.205048,-0.404309,-0.867753,-0.074046,-0.8621,-0.867682,-0.829703,-0.823478,-0.430614,-0.539858,0.304311,-0.897834,0.597438,-0.622461,-0.645288,0.0801159,0.0636259,-0.205851,0.0636667,0.39991,0.223402,1.31006,0.163564,0.33604,0.514182,0.600541,-0.485808,-0.1029,0.754753,0.0451922,-0.287994,0.0473429,0.0613756,0.757297,-0.212409,-0.356004,0.100522,-0.914611,-0.31022,-1.1643,-0.607549,0.0274003,-0.382384,0.164811,-1.20994,0.878425,-0.81861,-0.0701303
-4138.22,0.946006,0.0311875,7,127,0,4175.75,0.274512,-0.0545906,-0.228198,-0.373265,-0.270127,0.0485006,-0.0813649,0.400467,-0.593261,-0.262772,-0.498428,-0.19759,-0.0117324,0.480114,-0.0838447,-0.341361,0.150372,0.283604,-0.352825,-0.326065,0.673288,-0.0956774,0.0411346,0.0676976,-0.146738,0.230573,-0.641201,-0.397092,0.13184,-0.369765,-0.676081,-0.337889,-0.470841,-0.285062,0.0878637,0.472208,-0.311833,0.763457,-0.16298,-0.266211,0.0799883,0.435519,0.248561,-0.100775,0.464955,0.302612,1.28809,0.167982,0.660649,0.68829,0.774492,0.0107386,0.0181009,0.867305,-0.24334,-0.129504,-0.143878,-0.0455296,0.593625,-0.5271,-0.100692,0.132557,-0.523937,-0.618577,-0.885443,-0.648027,-0.359901,-0.0368014,0.24588,-0.865663,0.738016,-0.652268,-0.19302
