# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim5_model
# start_datetime = 2022-03-14 08:02:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a0041a87d62.json
# init = 2 (Default)
# random
#   seed = 285389646
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0516693
# Diagonal elements of inverse mass matrix:
# 0.164442, 0.0909997, 0.0798128, 0.0861493, 0.0137428, 0.00564965, 0.169296, 0.17072, 0.258775, 0.251003, 0.236798, 0.218759, 0.226739, 0.274466, 0.250656, 0.228225, 0.243718, 0.263892, 0.227074, 0.250172, 0.293154, 0.224125, 0.247955, 0.241087, 0.228653, 0.245947, 0.211771, 0.275444, 0.227443, 0.255581, 0.23465, 0.238818, 0.224093, 0.222383, 0.248869, 0.268103, 0.250377, 0.31823, 0.233818, 0.227728, 0.316817, 0.0193339, 0.0214389, 0.0177857, 0.0186598, 0.0199212, 0.0264687, 0.0191501, 0.0182934, 0.0203486, 0.0259258, 0.0192137, 0.0190692, 0.0208086, 0.0181397, 0.0189133, 0.0184052, 0.0188153, 0.0216414, 0.0205252, 0.0163437, 0.0172629, 0.0204521, 0.0213297, 0.0233899, 0.0206512, 0.0203793, 0.0187515, 0.0192359, 0.023099, 0.0199813, 0.0204465, 0.0227932
-4161.45,0.966185,0.0516693,6,63,0,4197.15,-0.685377,-0.459122,0.00672877,-0.50988,-0.375426,0.201519,0.625668,0.476073,0.133896,0.603375,0.0760768,0.884,1.10702,0.977643,1.23952,0.261491,0.527315,0.79942,0.708727,0.553211,0.827934,0.426381,0.278113,1.19971,0.454607,0.898428,0.530546,-0.130712,0.776368,-0.315905,0.119009,0.498531,0.455163,0.770048,0.435772,0.757179,0.889063,1.30217,0.318648,0.701411,0.206812,0.335338,-0.123971,-0.0906713,0.285392,0.267813,1.24623,0.197215,0.367813,0.61816,0.591452,-0.224755,-0.110478,0.932846,-0.0852724,-0.221594,0.172951,0.0852105,0.730848,-0.235149,-0.0579724,0.374858,-1.14231,-0.550808,-1.12618,-0.8062,-0.641006,-0.255599,0.212612,-0.764571,0.808094,-1.06289,-0.173071
-4164.34,0.94329,0.0516693,6,63,0,4195.32,-0.245063,-0.342836,-0.442464,-0.620864,-0.354727,0.200279,0.31563,0.310523,-0.363771,-0.579453,0.0836384,0.633835,0.605412,0.366149,1.15752,0.256554,0.303759,0.531793,0.10222,-0.220118,0.738989,0.339755,0.459865,0.919863,-0.108949,0.516315,0.337742,-0.299066,0.530693,0.0980728,-0.0553663,0.0625053,0.0204525,0.5209,0.092875,0.49989,0.115744,1.21206,-0.0641385,0.440849,0.177387,0.130516,0.0247961,-0.0945363,0.459214,0.174543,1.2965,0.517138,0.746383,0.624118,0.864227,-0.344218,-0.282201,0.690235,0.291318,-0.214358,0.235082,-0.296815,0.802206,-0.258401,-0.44249,0.199487,-0.610025,-0.710728,-1.04445,-0.701368,-0.386002,-0.117545,-0.0223608,-0.781139,1.01171,-0.727604,-0.0882172
-4157.19,0.996891,0.0516693,7,191,0,4190.26,-0.202671,0.0765811,0.0530676,-0.426239,-0.118496,0.186366,-0.129439,0.319298,-0.883316,0.0762399,-0.400358,0.161527,-0.265946,0.198254,0.0676161,-0.0776925,-0.0808889,-0.126935,-0.656198,-0.32429,0.0330847,0.0584271,-0.372222,0.208282,-0.166484,0.27016,-0.33297,-0.96859,-0.0400645,-0.617999,-0.389848,-0.0289832,-0.298679,0.41204,-0.00533749,-0.295653,-0.237323,0.412114,0.0613318,-0.152806,0.26276,0.0660134,-0.00582245,-0.0909313,0.413584,0.253265,1.16319,0.353522,0.481038,0.630635,0.80245,-0.217091,-0.222306,0.680356,0.0512957,-0.206159,0.0203569,-0.230124,0.721495,-0.33145,-0.209476,0.264857,-0.477492,-0.691728,-1.19709,-0.755954,-0.345144,-0.11094,0.0972225,-0.93227,0.770414,-0.782325,-0.257026
-4166.87,0.958735,0.0516693,6,63,0,4190.22,-0.235923,0.187003,0.156572,-0.177258,-0.0935549,0.124079,0.000571534,0.27737,-0.137075,0.0719341,-0.335232,-0.0436515,0.0833426,0.373618,0.14418,0.424506,-0.143083,0.371022,-0.234166,-0.422177,-0.0202846,0.0342099,0.0291531,0.411865,-0.194042,-0.18404,-0.361158,-0.511139,0.05068,-0.571662,-0.336739,0.437889,-0.252775,0.0455369,-0.0312323,-0.0146365,0.0611902,0.199719,0.19291,0.197776,0.413628,0.180887,-0.264143,-0.0728258,0.551846,0.264231,1.3193,0.262811,0.530388,0.717453,0.952191,-0.104777,-0.356794,1.00496,0.107301,-0.355343,0.175918,-0.197123,0.36762,-0.220668,-0.238882,0.216684,-0.829632,-0.478272,-1.19891,-0.81533,-0.486683,-0.23607,0.153157,-1.00377,0.68957,-1.15477,-0.172042
-4165.85,0.999723,0.0516693,6,63,0,4212.17,-0.127243,0.180002,0.390516,-0.187632,-0.270929,0.173385,-0.306282,0.247197,-0.769958,-0.177381,-0.648001,0.222204,-0.240869,-0.229771,-0.491285,-0.244102,-0.185807,-0.339652,-0.0265467,-0.491419,-0.0474697,-0.488361,-0.44598,-0.246822,-0.183832,-0.00489029,-0.317068,-0.678942,-0.0521946,-0.93291,-0.0435972,-0.515154,-0.185619,-0.436613,-0.327333,0.0259597,-0.799504,-0.160771,-0.67149,0.166089,0.367822,-0.0309756,-0.226317,-0.0916751,0.562254,0.0849881,1.34365,0.0646817,0.645963,0.346723,1.05304,-0.0702105,-0.242931,1.03876,0.119154,-0.275536,0.142146,-0.233666,0.548852,-0.235285,-0.476608,0.390078,-0.870946,-0.477034,-1.18922,-0.746703,-0.272287,-0.182885,0.134764,-1.1203,0.823476,-0.970107,0.121565
-4162.29,0.966426,0.0516693,7,191,0,4202.37,0.133972,0.0519783,-0.116519,-0.665989,-0.079201,0.186746,-0.166451,0.26557,-0.208133,-0.312315,-0.800717,-0.39195,-0.237896,0.0820828,0.0886366,-0.354936,0.0128694,-0.0529665,-0.344075,-0.203045,-0.0863379,-0.290379,-0.243071,-0.093194,-0.444327,-0.203624,-0.428034,-0.667534,-0.460375,-0.25633,-0.556935,0.0474137,-0.351792,0.145295,0.0634817,-0.244619,-0.332948,0.33931,-0.77305,-0.685874,0.364377,0.0338925,-0.146724,-0.0261148,0.0531226,0.271104,1.15728,0.246689,0.608445,0.844375,0.615342,-0.0480745,-0.0239608,0.772438,-0.162332,-0.179837,0.0442457,-0.0122294,0.661756,-0.360937,-0.269145,0.183629,-0.502196,-0.640517,-0.946526,-0.814549,-0.404949,-0.135949,0.212952,-0.932164,0.91275,-0.985002,-0.344243
