# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim5_re_model
# start_datetime = 2022-03-14 08:17:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a006ec390c.json
# init = 2 (Default)
# random
#   seed = 299183610
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0227352
# Diagonal elements of inverse mass matrix:
# 0.2052, 0.0925632, 0.0787721, 0.0851015, 0.0145289, 0.00746768, 0.171335, 0.0226848, 0.231291, 0.20952, 0.214984, 0.238328, 0.211952, 0.232842, 0.238786, 0.224875, 0.218754, 0.213818, 0.208159, 0.226994, 0.198446, 0.206387, 0.250228, 0.222032, 0.206009, 0.208136, 0.216133, 0.218254, 0.207323, 0.210869, 0.231562, 0.257391, 0.227245, 0.245602, 0.250329, 0.253123, 0.22969, 0.228392, 0.222331, 0.220262, 0.181824, 0.382532, 0.184955, 0.183463, 0.184654, 0.185185, 0.183579, 0.183951, 0.183629, 0.187377, 0.181721, 0.18111
-4167.85,0.995407,0.0227352,6,63,0,4184.39,-0.0814145,-0.378344,-0.362672,-0.407023,-0.327721,0.117694,-0.311231,0.425781,-0.792724,-0.843243,-0.717571,-0.112912,0.129105,0.302106,0.0206438,-0.526378,0.0219433,0.216333,-0.563366,-0.568795,0.817276,-0.204729,-0.184507,0.372506,-0.266781,0.24629,-0.432758,-0.876409,-0.112731,-0.585976,-0.874454,-0.681688,-0.636465,-0.456966,-0.512295,0.0930916,-0.429933,0.387596,-1.00871,-0.131682,0.504555,0.0238011,0.503823,0.479807,0.522961,0.502015,0.534418,0.522663,0.468168,0.466559,0.493722,0.52874,-0.217616,-0.639517,-0.7433,-0.104519,-0.158717,0.687813,-0.411576,-0.0289094,0.156437,0.390882,-0.757724,-0.714692,0.649469,-0.519407,-0.782049,-0.340257,-0.525579,0.171946,-0.878483,-0.859762,-0.400705,-1.07423,-1.05744,-1.67914,-1.1933,-1.03803,-0.822864,-0.310941,-1.17617,0.119556,-1.59473,-0.370545
-4178.79,0.992885,0.0227352,6,63,0,4203.14,-0.57758,-0.380768,-0.28137,-0.31167,-0.265035,0.171936,-0.0427344,0.498903,-0.528449,-0.570373,-0.468126,0.254972,0.483297,0.63298,0.400641,-0.221161,0.320206,0.558064,-0.146462,-0.317018,1.10666,-0.10596,-0.0738126,0.528653,-0.123475,0.474905,-0.355258,-0.800696,-0.0340495,-0.641468,-0.759136,-0.570604,-0.431233,-0.251878,-0.449485,0.180308,-0.290093,0.361202,-0.861678,-0.0524638,0.653386,0.0306216,0.618006,0.626325,0.645039,0.669787,0.709654,0.685242,0.583307,0.605088,0.689674,0.651706,-0.419614,-0.838637,-0.845203,-0.32477,-0.259248,0.665396,-0.535436,-0.251869,0.0727055,0.342958,-0.813421,-0.791277,0.624652,-0.706746,-0.826604,-0.470828,-0.755824,0.0684828,-1.13878,-1.05678,-0.61324,-1.38263,-1.3246,-1.79475,-1.29904,-1.21604,-0.887872,-0.333665,-1.23432,-0.119545,-1.67633,-0.586369
-4182.74,0.980569,0.0227352,6,63,0,4203.95,-0.838951,0.012588,-0.17893,-0.0234412,-0.277748,0.18509,-0.162707,0.520772,-0.694403,-0.69838,-0.482412,0.180472,0.441951,0.343745,0.413987,-0.406986,0.190243,0.617965,-0.368375,-0.430245,1.20104,0.130238,0.163563,0.776975,0.0572339,0.586656,-0.156858,-0.591988,0.19691,-0.47623,-0.695698,-0.368174,-0.360632,-0.209374,-0.408487,0.265797,-0.172509,0.50011,-0.858294,-0.028259,0.580722,0.0928984,0.576708,0.682165,0.542845,0.486663,0.526515,0.543056,0.782492,0.557939,0.557082,0.634955,-0.387674,-0.791744,-0.684901,-0.249126,-0.15335,0.575297,-0.389037,-0.251399,0.123546,0.585215,-0.884465,-0.734578,0.587991,-0.607283,-0.728346,-0.383271,-0.71827,0.0528227,-1.09079,-0.963364,-0.517979,-1.36086,-1.21387,-1.57662,-1.19565,-1.15027,-0.778762,-0.18369,-1.0827,0.0805366,-1.6327,-0.508448
-4187.52,1,0.0227352,6,63,0,4208.2,-0.727156,-0.194475,-0.296518,-0.0865114,-0.401366,0.153153,0.0705902,0.552081,-1.06026,-0.51337,-0.181537,-0.224741,0.266673,0.395953,0.471025,-0.482727,0.130954,0.180591,-0.182261,-0.480882,0.646851,0.278396,0.123972,0.722236,-0.0513384,0.617718,0.174126,-0.684809,0.437828,-0.284181,-0.796272,-0.201398,-0.608328,0.257457,-0.272882,0.0278916,-0.612489,0.801445,-0.462105,-0.218259,0.645123,0.100095,0.73662,0.559896,0.636891,0.625243,0.708491,0.727713,0.660296,0.493223,0.685158,0.623956,-0.687442,-0.604397,-0.544573,-0.573016,-0.435373,0.545823,-0.416879,-0.214001,-0.0358531,0.0628413,-0.769841,-0.991089,-0.0204378,-0.568769,-1.06061,-0.621482,-0.839075,0.0648961,-0.842544,-1.11718,-0.376632,-1.34393,-1.22683,-1.62945,-1.49675,-0.669655,-0.832668,-0.646361,-1.72387,0.284734,-1.37725,-0.708246
-4179.96,0.971287,0.0227352,6,63,0,4210.56,0.382632,-0.250965,-0.25168,-0.531558,-0.280349,0.0870532,-0.277603,0.44204,-1.10529,-0.709245,-0.411291,-0.268519,-0.0390285,0.299155,0.0162157,-0.495012,-0.0781725,0.238799,-0.421133,-0.470699,0.228924,-0.112502,-0.175267,0.154786,-0.357679,0.27448,-0.390472,-0.889531,0.0761089,-0.67122,-0.98554,-0.243194,-0.804578,-0.131555,-0.263066,0.369209,-0.679142,0.710074,-0.582902,-0.177005,-0.00825105,0.223193,0.0640101,0.12485,-0.120139,-0.121399,-0.0203455,0.0117618,0.301109,-0.173401,0.0163978,-0.0209422,-0.129233,-0.0372562,0.0507816,0.263629,0.226093,1.09956,0.17144,0.428259,0.520963,0.8722,-0.0760575,-0.111424,0.568962,0.101895,-0.216475,0.0422686,-0.0818502,0.694471,-0.274551,-0.40533,0.313349,-0.605308,-0.886793,-0.841183,-1.02564,-0.359721,-0.314348,0.237974,-1.07586,0.708802,-0.842556,-0.139689
-4173.64,0.98182,0.0227352,7,191,0,4206.76,0.35123,-0.237771,-0.0926993,-0.400632,-0.320449,0.0896671,-0.305199,0.433101,-0.979305,-0.793836,-0.526871,-0.10444,-0.0399624,0.222126,0.0813999,-0.431472,-0.191711,0.247665,-0.521312,-0.403815,0.707844,-0.389229,-0.124173,0.0555064,-0.501695,0.0136716,-0.492755,-0.990723,-0.190898,-0.672754,-0.837889,-0.368475,-0.87693,-0.219321,0.129362,0.24907,-0.569835,0.862287,-0.810532,-0.501298,-0.0753837,0.10231,-0.0816813,-0.0652245,-0.150887,-0.074701,-0.0880858,0.0306148,0.206767,-0.0786865,-0.055498,-0.00406363,0.0698092,-0.0824456,-0.0652613,0.466783,0.216202,1.06063,0.221786,0.567142,0.426567,0.90511,-0.173757,-0.0597063,1.18569,-0.0549939,-0.0919397,0.025906,-0.0874032,0.582909,-0.261242,-0.357929,0.169448,-0.508242,-0.614029,-0.941011,-1.01863,-0.359297,0.15222,0.180538,-0.922147,0.952145,-1.00618,-0.357495
