# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_C_sim5_re_model
# start_datetime = 2022-03-14 08:17:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a006ec390c.json
# init = 2 (Default)
# random
#   seed = 299183610
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5_re-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_C_sim5_re-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_C_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0150186
# Diagonal elements of inverse mass matrix:
# 0.188301, 0.0936661, 0.092281, 0.0868673, 0.012961, 0.00556553, 0.176504, 0.0215112, 0.234234, 0.203066, 0.215686, 0.204156, 0.206187, 0.251729, 0.210237, 0.224759, 0.221434, 0.226817, 0.200909, 0.222937, 0.219282, 0.219397, 0.252097, 0.222019, 0.208179, 0.22049, 0.213698, 0.24104, 0.214581, 0.224288, 0.207845, 0.219976, 0.199798, 0.20437, 0.243003, 0.244675, 0.217534, 0.221395, 0.2158, 0.194076, 0.176883, 0.609086, 0.179521, 0.179945, 0.178898, 0.179356, 0.17702, 0.180195, 0.179701, 0.180624, 0.180271, 0.180283
-4167.89,1,0.0150186,8,447,0,4192.26,-0.443141,0.327692,0.316278,-0.22139,-0.217467,0.172174,-0.236171,0.331613,-0.824785,-0.784904,-0.656219,-0.121308,0.194914,0.122089,0.250513,-0.165825,-0.326967,0.320533,-0.371604,-0.424739,0.665827,-0.229796,-0.334903,0.0288046,-0.282201,-0.133608,-0.373862,-0.874125,-0.229113,-0.949077,-0.177683,-0.268659,-0.358523,0.15791,-0.155899,0.48096,-0.438269,0.909189,-0.427629,0.105355,0.120227,0.0291387,0.107115,0.178482,0.126421,0.0861848,0.10989,0.0808285,0.127663,0.135992,0.08078,0.146651,0.0287033,-0.27193,-0.201432,0.0738971,0.287633,0.943971,0.153338,0.542069,0.23414,0.90822,-0.216865,-0.0496918,0.910446,-0.0826373,-0.28137,-0.182271,-0.192037,0.173031,-0.407738,-0.413032,-0.0642341,-0.917099,-0.545446,-1.17688,-0.974366,-0.568087,-0.326101,0.248739,-1.08572,0.673134,-0.968758,-0.205414
-4182.08,0.918063,0.0150186,9,511,0,4209.25,-0.830029,0.455526,0.455262,0.378697,-0.147966,0.308186,-0.0953959,0.698441,-0.829569,-0.417145,-0.679231,0.795019,0.298992,0.128872,0.671573,-0.320584,-0.0306195,0.190662,-0.215148,-0.553958,0.321624,-0.149562,-0.372712,0.498319,-0.0528368,0.514491,-0.0448369,-0.950469,0.144926,-0.70321,-0.77315,-0.46152,-0.375187,0.477214,-0.931074,-0.165168,-0.805264,0.243455,-0.845852,-0.368105,-0.049035,0.0647112,-0.0449299,-0.0242218,-0.0866381,-0.114941,-0.0220346,-0.044511,0.0105528,-0.0425676,-0.125608,-0.0209719,0.0283104,0.0180094,-0.0926292,0.631887,0.257165,1.15628,0.309504,0.247195,0.628323,0.867689,-0.214776,-0.0216115,0.581692,0.0441934,-0.051622,0.257292,-0.0888984,0.816757,-0.165296,-0.352074,0.350738,-0.587824,-0.831521,-0.887623,-0.602354,-0.0159392,-0.28191,0.441798,-0.862897,0.656774,-0.831145,-0.19666
-4172.56,0.998387,0.0150186,6,63,0,4197.96,0.102454,0.232639,0.0549435,-0.28017,-0.32839,0.235614,-0.515947,0.387263,-1.26761,-1.22083,-0.94868,-0.186571,-0.119356,-0.279488,-0.0888833,-0.778705,-0.566211,-0.069183,-0.760471,-1.11299,0.715866,-0.581026,-0.650824,-0.0230409,-0.431921,-0.0554272,-0.365294,-1.30404,-0.314581,-0.733645,-0.743547,-0.148202,-0.753851,-0.0199244,-0.664631,-0.0570178,-0.590185,0.464195,-0.797446,-0.348853,-0.156016,0.0545505,-0.159622,-0.128673,-0.189348,-0.23499,-0.0998417,-0.11285,-0.101561,-0.158999,-0.175455,-0.176655,0.457505,0.0144633,0.174366,0.617631,0.505704,1.37351,0.273805,0.75093,0.717385,1.25455,-0.0417565,-0.110357,1.38546,-0.0585987,-0.29416,-0.0171911,0.0288223,0.707826,-0.0918599,-0.33193,0.234604,-0.385148,-0.497505,-0.718292,-0.882426,-0.290459,-0.1934,0.320559,-0.79087,0.860363,-0.837579,-0.041127
-4179.2,0.964872,0.0150186,8,255,0,4205.11,-0.452486,0.134316,0.651634,0.158592,-0.422773,0.155007,-0.706627,0.364495,-1.34408,-1.18356,-0.60169,-0.294767,0.0387244,-0.193574,0.0202677,-0.790311,-0.424454,0.124748,-0.616353,-0.743955,0.170318,-0.852088,-0.476422,-0.269466,-0.955954,-0.406442,-0.853989,-1.76981,-0.644988,-1.0973,-0.97164,-0.229468,-0.926565,-0.388182,-0.52407,-0.240157,-0.571129,0.315308,-0.958521,-0.54768,0.337722,0.0430088,0.267446,0.356306,0.375972,0.351785,0.302606,0.289996,0.365341,0.315249,0.386828,0.433294,-0.317697,-0.639457,-0.350416,-0.00900135,-0.0544645,0.591646,-0.262377,0.132734,0.033514,0.634389,-0.58897,-0.647703,0.73223,-0.479647,-0.46571,-0.413747,-0.514601,0.276041,-0.653779,-0.966769,-0.238098,-0.948774,-0.868308,-1.17683,-1.30552,-0.801572,-0.575802,-0.41246,-1.19124,0.315264,-1.37194,-0.513261
-4171.18,0.976776,0.0150186,7,191,0,4198.23,-0.264672,0.190347,0.318814,0.0968203,-0.403795,0.163406,-0.624252,0.501839,-1.55856,-1.11677,-0.883752,-0.505876,-0.20486,-0.318629,-0.0282215,-0.925682,-0.604301,-0.291786,-0.745587,-0.864324,0.195116,-0.65318,-0.498763,0.197377,-0.673907,-0.487443,-0.641763,-1.13482,-0.239663,-1.00633,-1.35292,-0.585852,-0.927237,-0.45134,-0.705797,0.029023,-1.03852,0.323311,-0.759484,-0.672864,0.238695,0.0868822,0.25155,0.366537,0.292539,0.257472,0.328426,0.300793,0.353266,0.228817,0.317219,0.321225,-0.30262,-0.336812,-0.368124,-0.00337652,-0.048946,0.722333,-0.0686159,0.216204,0.108743,0.470611,-0.474514,-0.496759,0.626451,-0.402809,-0.578527,-0.0611363,-0.373075,0.0590515,-0.57125,-0.457821,0.0436095,-0.969829,-1.12602,-1.36248,-1.16097,-0.733322,-0.580928,0.0387332,-1.48723,0.482191,-1.01078,-0.496425
-4159.79,0.957,0.0150186,8,511,0,4190.85,0.077407,0.147566,0.116369,-0.232959,-0.298044,0.137735,-0.456619,0.398614,-1.34013,-1.18887,-0.89856,-0.406677,-0.0853462,0.134101,0.0225207,-0.634136,-0.124174,-0.228325,-0.773728,-0.936411,0.118001,-0.496499,-0.489886,0.0103898,-0.538615,-0.159195,-0.822479,-1.21758,-0.31762,-0.945951,-1.14273,-0.357189,-0.870179,-0.239899,-0.400409,0.0943261,-0.572197,0.59754,-0.987777,-0.555563,0.117633,0.0183971,0.125689,0.137483,0.13974,0.119546,0.143475,0.128202,0.120316,0.119677,0.139479,0.12598,-0.0819066,-0.2991,-0.186765,0.244055,0.326692,1.25077,0.272538,0.522779,0.733335,0.665612,-0.27669,-0.333902,0.624434,-0.123637,-0.343574,-0.00948247,-0.145631,0.432238,-0.599494,-0.512698,0.0795279,-0.730946,-0.989792,-0.944961,-1.05724,-0.479692,-0.271404,0.138331,-0.900805,0.734524,-1.17067,-0.422743
