# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim1_model
# start_datetime = 2022-03-10 13:52:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b3853602fa6.json
# init = 2 (Default)
# random
#   seed = 475988862
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.042294
# Diagonal elements of inverse mass matrix:
# 0.258503, 0.234, 0.760183, 0.64332, 0.657157, 0.520729, 0.459801, 0.407604, 0.453235, 0.519118, 0.458707, 0.420729, 0.411753, 0.660999, 0.611518, 0.789582, 0.428276, 0.451362, 0.457868, 0.424807, 0.511434, 0.430136, 0.506385, 0.45637, 0.618865, 0.487219, 0.40957, 0.40327, 0.489548, 0.448405, 0.624286, 0.501858, 0.883274, 0.41576, 0.444828, 0.00374442, 0.0105582, 0.217393, 0.22587, 0.212545, 0.198183, 0.215596, 0.213536, 0.217334, 0.220717, 0.214632, 0.229774, 0.211638, 0.199037, 0.218451, 0.21303, 0.191723, 0.195143, 0.220982, 0.213488, 0.21826, 0.209059, 0.189848, 0.228245, 0.205924, 0.251442, 0.231328, 0.235647, 0.224792, 0.229664, 0.213401, 0.244887, 0.216063, 0.209515, 0.211185, 0.22135, 0.263627, 0.200922, 0.224911, 0.222937, 0.216689, 0.279446, 0.186858, 0.196616, 0.204336, 0.213155, 0.203892, 0.236854, 0.207978, 0.242201, 0.217847, 0.21206, 0.226548, 0.206992, 0.215176, 0.231786, 0.227806, 0.207627, 0.21438, 0.198547, 0.230227, 0.206276, 0.22565, 0.224885, 0.204599, 0.216712, 0.214467, 0.231426, 0.213604, 0.232283, 0.192289, 0.191738, 0.216128, 0.207782, 0.200987, 0.212425, 0.237736, 0.258778, 0.200949, 0.206853, 0.209403, 0.228158, 0.389532, 0.450184, 0.451593, 0.453155, 0.442052, 0.452546, 0.444161, 0.445987, 0.44957, 0.449782, 0.450884, 0.449523, 0.454818, 0.450585, 0.447756, 0.453498, 0.447197, 0.447975, 0.448184, 0.45285, 0.449508, 0.441613, 0.447079, 0.444172, 0.446916, 0.446177, 0.449279, 0.445746, 0.443955, 0.454688, 0.447327, 0.454734, 0.440483
-3966.39,0.609409,0.042294,6,63,0,4034.29,-0.174609,-0.294282,0.543468,-1.88231,-1.25637,-1.43457,0.0632702,-0.0341051,0.605018,0.462695,-0.522944,0.233582,0.372991,-0.246056,-1.37941,1.137,-0.701543,0.0497916,0.328676,0.414378,0.978768,-0.426979,-0.138779,0.954895,-0.707695,0.227212,-0.271765,-0.339342,0.911621,0.233458,0.844684,-1.06164,2.16495,0.00384263,0.677351,0.108604,0.521973,1.02646,0.622168,-0.995891,-0.153825,-0.0216457,-0.215869,-1.16601,0.900082,0.375759,-0.861857,0.11895,-0.261234,0.137803,-0.077349,1.01912,-0.258912,-0.336905,-0.0615346,-0.833299,1.10271,-0.306941,0.675399,1.419,-1.61709,-0.624848,-0.928718,0.0976001,-1.37669,-0.518328,-1.59562,0.0252972,-1.54881,0.472407,-1.62904,1.29235,-0.818134,0.0700704,-0.552643,0.01127,-2.50628,0.58084,-0.899412,-0.385031,0.351522,-0.236716,1.18946,-1.33826,0.361777,-1.04963,0.00162686,-0.387343,-0.215113,-0.52367,0.532245,0.738527,0.684636,-1.54463,0.600981,-1.25551,0.961496,0.924719,1.15689,0.333626,-0.589579,-1.74362,-0.318934,-0.186238,-0.501819,-1.55484,1.35284,-0.456621,-0.377716,0.642978,-1.10383,1.03504,1.45613,0.254422,-0.431654,-0.482765,0.572229,0.281048,-1.3518,-1.30696,-0.967812,-0.5363,-0.416552,-0.124237,-0.127858,-0.512649,-0.361738,-0.436795,-1.05173,-1.35715,0.563352,-0.590198,-0.310966,0.0491617,-0.270935,0.163826,-0.677789,-0.841138,-0.136353,-1.21961,-0.299933,-0.684667,-0.541142,0.175069,-0.283754,0.291453,-0.904512,0.74995,-0.852861,0.0324964,-1.31726,-0.977081,-1.07393,-0.259896,-0.312817,0.034526,-0.0428219,-0.578485,-0.167338,-0.091573,-0.428005,-1.04395,0.323644,-0.675548,-0.267222,-0.115657,-0.0690807,0.237647,-0.526332,-0.369704,0.224673,-0.678891,-0.170799,-0.441977,-0.478703,0.201155,-0.167405,0.164777,-0.871249,0.882298,-0.292193,0.0738368,0.644387,0.433358,-0.411224,0.0283112,0.0973051,-0.00407428,-0.500021,0.578422,0.30474,-0.341262,0.170692,-0.0277535,0.180533,0.0682294,0.640554,-0.0265415,-0.0672517,0.0764842,-0.326356,0.684186,-0.0516112,0.461144,0.849281,-0.735475,-0.21755,-0.376162,0.159548,-0.609992,-0.16195,-0.724265,0.121808,-0.69983,0.355187,-0.74171,0.783177,-0.31844,0.145178,-0.179861,0.114486,-1.1996,0.411786,-0.360865,-0.0923721,0.292088,-0.0149558,0.729468,-0.589931,0.297441,-0.439276,0.109453,-0.0935791,-0.00367967,-0.164738,0.386421,0.494094,0.465965,-0.697651,0.422299,-0.546737,0.610478,0.591281,0.712469,0.282747,-0.19914,-0.801518,-0.0578712,0.0113925,-0.153332,-0.702978,0.814748,-0.12974,-0.088554,0.444221,-0.467563,0.648868,0.868665,0.241405,-0.116708,-0.143386,0.407292
-3984.2,0.938342,0.042294,7,127,0,4061.44,0.207894,-0.525436,0.417423,-2.49569,-1.1778,-2.03072,0.501074,-0.421521,0.780581,0.628321,-0.836595,0.319881,1.02526,0.0401657,-1.87907,1.21456,-1.06272,0.24916,-0.0713952,1.04033,1.12259,-0.70587,-0.116087,0.84854,-0.37675,0.420036,-0.184811,-0.454314,1.15072,0.29102,0.778335,-1.3198,1.96996,0.00560164,0.862731,0.115176,0.471345,0.602495,-0.536737,-0.430214,-0.413275,-0.163963,-0.222809,-1.56969,0.24582,0.570123,-0.562192,-0.267114,0.157698,0.787427,0.660913,-0.017966,-0.980453,-0.551057,-1.02076,-0.761782,0.720613,-0.76322,-0.059027,0.844594,-2.15402,-1.69449,-0.484454,-0.0461366,-0.772837,-1.87467,-1.16402,0.461349,-1.6677,1.29874,-1.09202,1.80579,-0.257335,0.288689,-1.52401,0.220361,-2.88675,0.232376,-0.340139,-0.0810336,1.06059,-0.379816,1.03852,-1.12382,0.974393,0.125877,0.312035,0.0307733,-0.444868,-0.0537964,0.139847,0.227699,0.879893,-1.1082,1.14711,-1.16787,0.589385,0.733919,1.53717,0.244611,-0.918314,-1.57722,0.627454,-0.664735,-0.626466,-1.32888,1.72945,-1.26074,-0.938424,0.555025,-0.932024,0.769624,1.91132,0.703769,-0.415074,-0.940976,0.541142,0.207049,-1.19169,-1.1951,-0.861693,-0.329009,-0.393824,-0.036082,-0.0224595,-0.643981,-0.545673,-0.33404,-0.884608,-0.928176,0.455428,-0.516776,-0.314006,-0.0609768,-0.384156,0.374864,-0.662796,-0.704963,-0.0405292,-1.05856,-0.0610059,-0.515898,-0.445766,-0.00159408,-0.0966751,0.380486,-0.920801,0.674108,-0.604281,-0.108585,-1.56719,-1.01708,-1.37311,-0.316276,-0.701389,-0.199604,-0.263161,-0.874651,-0.391911,-0.0974695,-0.50867,-1.3098,-0.0184498,-0.969041,-0.421431,-0.555239,-0.0911802,-0.0568423,-0.820083,-0.573894,-0.171236,-0.682701,-0.350104,-0.602581,-0.715078,-0.045101,-0.403958,-0.200541,-1.07635,0.296872,-0.523098,-0.165312,0.39916,-0.137812,-0.0876029,-0.0796187,0.0378932,0.0101566,-0.624691,0.231043,0.383901,-0.14981,-0.0107264,0.189507,0.486327,0.426695,0.106708,-0.346956,-0.144562,-0.365955,-0.243886,0.454834,-0.244564,0.0873543,0.513272,-0.90011,-0.683516,-0.113169,0.0934302,-0.249097,-0.768443,-0.433479,0.332631,-0.670886,0.727332,-0.399544,0.966327,-0.00611712,0.251249,-0.603157,0.219043,-1.24548,0.224706,-0.0451467,0.0769816,0.615079,-0.0638479,0.604676,-0.41453,0.574452,0.174508,0.262253,0.129681,-0.09451,0.0898197,0.181093,0.222501,0.52991,-0.407167,0.655862,-0.435295,0.39298,0.461106,0.839713,0.230473,-0.317667,-0.62824,0.410924,-0.198143,-0.180105,-0.511186,0.930344,-0.479067,-0.327145,0.376785,-0.324129,0.477935,1.01607,0.446895,-0.0804668,-0.328348,0.370241
-4002.91,0.997045,0.042294,7,127,0,4080.51,0.339006,-0.0138294,0.318647,-0.730456,-1.04709,-0.777744,0.33906,-0.701446,0.218843,2.34521,0.0819131,0.655226,1.10102,-0.963349,-0.503595,3.04216,-0.272985,-0.373262,1.61771,1.10045,1.14228,-0.371338,-0.472411,0.59778,-2.18069,0.449006,1.2176,0.551997,0.468807,1.70797,2.29835,1.05053,1.65159,-0.853443,0.594116,-0.0758694,0.452923,1.90673,-0.983158,0.102939,0.210204,0.439408,0.0211793,-1.33702,0.630895,1.11253,-0.359146,-0.311961,0.51277,0.788861,1.08179,0.353452,-0.412614,-0.827468,-0.806011,-0.610769,1.83821,-0.661732,0.81219,0.0819398,-1.8161,-1.154,-0.253079,0.86755,-1.14108,0.016669,-1.30049,0.0218688,-1.02323,1.72085,-1.00346,1.8189,0.579923,-0.600016,-0.749137,0.743916,-2.2264,1.0877,-0.534574,0.424187,0.63797,-0.462246,2.34193,0.579195,1.52374,-0.635448,1.19696,-0.179535,0.547536,-0.306333,0.504131,0.630824,1.54023,-1.31802,1.47592,-1.41894,1.38726,0.675983,1.80951,-0.206305,-0.599334,-1.13898,0.782961,-0.458775,-0.801641,-2.09718,1.48021,-0.851426,-0.383981,0.702432,-1.48539,1.24667,1.85047,0.0636415,-0.046134,-0.119236,-0.111213,0.27159,-0.434498,-0.267873,0.0299623,0.344615,0.386277,0.567994,0.748709,0.266952,0.308659,0.416699,-0.346186,-0.408161,1.30401,0.247623,0.627022,0.88538,0.423245,1.04822,0.150969,-0.039427,0.780058,-0.332038,0.654301,0.182098,0.340023,0.595705,0.663051,1.11591,0.0944716,1.33406,0.0152964,0.554441,-0.246587,-0.347481,-0.261655,0.094211,-0.237343,0.0559043,0.733465,0.012272,0.194956,0.337006,-0.320798,-0.174299,0.955546,-0.100815,-0.132768,0.50165,0.336824,0.350154,-0.132155,-0.164362,0.176651,-0.708698,0.129245,0.374156,0.162063,0.135555,0.530409,0.718533,0.32092,0.512445,-0.285777,0.175484,0.787732,-0.521165,-0.0292457,0.0193368,0.123149,-0.0662768,-0.681435,0.209878,0.428023,-0.238535,-0.217164,0.156376,0.281424,0.414097,0.0842172,-0.262752,-0.450649,-0.440931,-0.352501,0.756697,-0.375583,0.29199,-0.0387569,-0.898423,-0.598542,-0.190495,0.317064,-0.59269,-0.0683196,-0.66489,-0.0659645,-0.539314,0.703543,-0.530358,0.747954,0.186791,-0.347631,-0.415171,0.261067,-1.08426,0.416778,-0.31799,0.116255,0.213082,-0.285231,0.984847,0.186461,0.614267,-0.363678,0.466262,-0.157185,0.172123,-0.214615,0.152463,0.209846,0.621737,-0.672829,0.592609,-0.718542,0.552455,0.230299,0.7437,-0.16931,-0.347322,-0.591738,0.278752,-0.283659,-0.438951,-1.02573,0.594554,-0.4615,-0.249783,0.242278,-0.748636,0.488778,0.76225,-0.0470446,-0.0967645,-0.129874,-0.12624
-3987.53,0.892755,0.042294,7,127,0,4079.44,0.706522,0.577303,0.341768,-1.1699,-1.08688,0.513279,0.0323873,0.55478,0.534787,-0.179564,-0.489813,0.354606,0.497071,-0.372837,-0.579415,1.47911,0.0726674,1.15167,0.510411,1.21133,1.53485,-0.657802,-0.268865,0.2414,-0.864252,0.966265,0.107258,-0.629295,1.59735,1.21181,0.36049,-0.963777,1.43644,-0.557759,1.56053,0.141365,0.432174,1.20837,0.533613,-0.965375,-0.755711,0.156602,-0.145493,-1.52825,0.372981,0.0114721,-1.40626,-0.587377,0.0304328,0.512422,1.13742,0.525576,-0.206614,-0.281679,-0.986938,-0.993163,0.780447,-0.7753,0.220769,-0.304146,-2.13634,-0.546124,-1.6545,0.401677,0.156758,-0.421045,-1.40103,-0.903895,-1.10596,0.721664,-1.32507,1.25241,-0.00876129,-0.289323,-0.724857,0.497685,-3.93353,0.294562,-0.0779009,0.613356,1.18766,0.257051,1.23036,-1.10541,0.232857,-1.46867,0.285287,-0.103643,-0.511103,0.188147,0.492857,-0.0212017,0.35455,-0.644318,1.24112,-2.07393,0.116297,1.37388,1.56688,-0.680221,-0.584402,-1.64709,-0.715236,-0.221264,-1.19236,-1.86727,1.05484,-1.0297,-1.23283,0.731185,-1.52997,0.343896,1.3374,0.0884752,-0.157253,-0.139048,-0.474483,0.274997,0.568681,0.609478,0.947693,1.42634,1.41643,1.83554,1.7437,1.21286,1.2441,1.31915,0.785619,0.555709,2.41655,1.3382,1.55972,1.8284,1.34709,2.22295,1.09901,0.901383,1.76469,0.835326,1.7747,1.20175,1.2717,1.88209,1.70736,2.15171,0.987275,2.48603,0.830512,1.72113,0.17747,0.205842,0.752726,0.588372,0.76691,0.760077,0.515934,0.409901,0.698496,0.747187,0.44988,0.379278,1.08282,0.602139,0.970907,0.751746,0.991299,1.10187,0.352488,0.485414,0.659806,0.28193,0.907542,0.613961,0.36223,1.12323,0.991461,0.700507,0.247915,1.06823,0.386679,1.11064,0.663589,0.371978,-0.275845,-0.185234,0.209044,0.0784862,-0.519107,0.302557,0.146323,-0.466383,-0.112484,0.154517,0.36282,0.632927,0.368505,0.0520713,0.0196302,-0.285165,-0.287854,0.478654,-0.1937,0.236775,0.00992081,-0.781908,-0.0946561,-0.573668,0.314959,0.209112,-0.0405998,-0.464125,-0.249275,-0.336602,0.453249,-0.431297,0.682625,0.137578,0.0163267,-0.1719,0.356451,-1.5586,0.268667,0.107698,0.406441,0.654639,0.252456,0.673096,-0.336364,0.241999,-0.493358,0.264658,0.0965729,-0.0795208,0.222677,0.354365,0.132202,0.294592,-0.137093,0.677746,-0.754934,0.191625,0.735118,0.818529,-0.152609,-0.111199,-0.570465,-0.167742,0.0457403,-0.373941,-0.66562,0.597239,-0.303646,-0.391433,0.457364,-0.51985,0.289988,0.719353,0.179601,0.0734041,0.0812717,-0.0636944
-4004.28,0.991818,0.042294,7,127,0,4074.54,0.189247,0.329669,0.189198,-2.20045,-0.687273,-1.30516,-0.590702,1.3588,0.193892,-0.98135,-1.60616,0.939597,-1.17906,-0.485954,0.57468,0.95289,0.856125,1.83662,-1.36212,1.48614,1.96389,-1.32642,-0.509357,-0.998758,-1.41391,1.54517,-0.212105,-0.501898,0.781864,0.858677,-0.404167,-0.491662,1.18925,0.11531,1.12454,0.122952,0.394675,1.64488,0.727744,-1.04807,-0.873617,-0.0467006,-0.296571,-1.71753,0.619416,0.284744,-1.57891,-0.504839,0.0868732,0.696581,1.21107,0.486264,-0.371046,-0.168023,-1.10721,-0.873909,0.580473,-0.652301,0.192421,-0.0914195,-2.17922,-0.876643,-1.63234,0.464612,0.0540877,-0.500432,-1.55191,-0.78248,-1.00891,0.798517,-1.40205,1.57259,0.0499441,-0.272834,-0.715265,0.577672,-4.19854,0.65371,-0.245293,0.786978,1.25893,0.230125,1.54908,-1.00068,0.268015,-1.36418,0.342436,0.0254942,-0.388544,0.226736,0.586308,0.406845,0.547831,-0.392405,1.61257,-2.05709,0.702583,1.34227,1.99873,-0.573236,-0.522458,-1.79371,-0.753335,-0.178552,-1.43498,-1.7401,1.27065,-1.23142,-1.0664,1.11519,-1.9272,0.638549,1.76928,0.167546,0.0791637,-0.0510541,-0.47314,0.36361,-0.187183,-0.302192,0.0459552,0.597677,0.658913,0.998952,0.775851,0.414645,0.398574,0.644632,-0.102463,-0.0823946,1.56863,0.444617,0.636914,0.879839,0.592219,1.22729,0.181087,0.0916678,0.994827,-0.201357,0.772034,0.140668,0.401746,1.26283,0.794845,1.27719,0.265546,1.58133,0.218093,0.933896,-0.0866506,0.199639,0.0827368,0.21791,0.586752,0.366353,0.144,0.0257877,0.507439,0.106594,0.237728,0.438397,0.509954,0.491646,0.677154,0.0719586,0.610844,0.701232,0.0787131,0.2333,0.140707,0.0621599,0.622012,0.28954,0.234711,0.477596,0.492129,0.253202,0.236648,0.554673,0.351486,0.542431,0.772146,0.410175,-0.290694,-0.221843,0.104521,0.00590308,-0.554915,0.36742,0.235334,-0.500203,-0.0762955,0.157239,0.397876,0.600933,0.314868,-0.0234904,0.0566376,-0.314035,-0.221958,0.352051,-0.134495,0.198896,0.0868712,-0.737134,-0.223037,-0.521291,0.306323,0.144299,-0.0745559,-0.48955,-0.185873,-0.275239,0.438107,-0.430404,0.743616,0.142664,0.0152714,-0.159345,0.350945,-1.53411,0.380955,0.0261413,0.433553,0.619821,0.213777,0.734337,-0.27199,0.228731,-0.415457,0.258103,0.133014,-0.0303963,0.212439,0.354353,0.283524,0.339167,-0.0319203,0.759393,-0.68893,0.400244,0.652715,0.911803,-0.10329,-0.083249,-0.584979,-0.17437,0.0524821,-0.4434,-0.563823,0.624447,-0.363057,-0.297928,0.563089,-0.637665,0.374972,0.821242,0.189079,0.154196,0.102802,-0.0637843
-4002.89,0.980578,0.042294,7,127,0,4089.44,0.231509,0.16919,0.2158,1.26615,-2.26733,-0.923315,-1.74625,0.012879,0.834772,0.631449,-0.597524,0.910772,0.383007,-1.735,-2.56284,1.06904,0.920394,1.29381,0.763337,-0.304494,1.0384,0.29545,-2.04072,-0.566014,-0.386034,-0.292329,-0.929602,-0.692839,0.386352,1.05852,-1.26825,0.149935,0.620661,-0.265087,-0.637032,0.154817,0.511219,-0.0464162,0.217526,-0.74424,-0.15805,-0.420625,-0.286634,-0.590452,0.543181,-0.155404,-1.4786,-1.13575,0.955082,-0.0116546,0.634174,0.184078,-0.36702,-2.29707,0.604848,-0.68857,0.038741,-0.759127,0.00739766,0.797383,-1.94786,-1.06434,-0.976662,0.84202,-0.264424,-1.30482,-1.07692,0.107595,-0.853033,-0.493061,-1.37027,1.37113,-0.895358,-1.06969,-1.10792,0.0201752,-2.33975,0.783629,-0.162876,1.31133,-0.0275813,0.197,1.86177,-0.622006,1.0082,-0.638842,0.406804,0.145821,-0.746091,-0.458289,0.311236,-0.283422,0.726386,-0.613347,0.46607,-1.31587,0.129078,1.59071,1.47317,-1.03433,-0.229209,-1.36591,-0.734633,-0.361271,-1.31843,-1.6181,1.49925,-1.60174,-0.3789,0.33274,-1.61315,1.10424,1.51881,-0.994867,0.454052,0.0439852,-1.02317,0.388529,-0.231174,-0.436322,0.00334288,0.136898,0.40133,0.691527,0.787921,0.202312,0.46903,0.520562,-0.255666,-0.347239,1.53039,0.511073,0.4484,0.73559,0.498402,1.20818,0.261808,-0.153128,0.802916,-0.38492,0.630058,0.0276059,0.354574,1.08104,0.667848,1.12933,-0.16866,1.57707,0.230347,0.679561,0.442427,-0.320101,-0.0300614,-0.207651,0.17197,0.349334,0.305457,0.0402445,0.365735,0.251843,-0.205223,-0.38387,0.399889,0.367812,0.448396,0.333919,0.103481,0.393278,0.232949,-0.271197,0.0470444,0.0858841,0.106106,-0.031418,0.0196755,0.252565,0.39762,-0.104498,0.201546,0.303129,0.111984,0.0317186,0.131088,0.26602,-0.225652,0.0740191,-0.0602142,0.00828458,-0.147033,0.432502,0.0753718,-0.601073,-0.425799,0.643073,0.148859,0.479019,0.248921,-0.0328104,-1.01949,0.464027,-0.197193,0.174622,-0.233263,0.158599,0.562454,-0.840966,-0.389293,-0.344471,0.585273,0.0196388,-0.512234,-0.395724,0.209821,-0.281269,-0.0972448,-0.545692,0.855767,-0.302907,-0.392028,-0.411575,0.165131,-1.04131,0.555423,0.0715519,0.825195,0.140717,0.255527,1.10659,-0.163164,0.670225,-0.171771,0.362783,0.229364,-0.226598,-0.0794688,0.313927,0.00992646,0.526159,-0.158737,0.393081,-0.517879,0.220804,0.968018,0.907928,-0.373952,0.037641,-0.543462,-0.220741,-0.0298715,-0.519187,-0.672388,0.921259,-0.664024,-0.0388837,0.32492,-0.669854,0.719323,0.93126,-0.353777,0.386937,0.177303,-0.368247
