# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim1_model
# start_datetime = 2022-03-10 13:52:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b3853602fa6.json
# init = 2 (Default)
# random
#   seed = 475988862
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.0266392
# Diagonal elements of inverse mass matrix:
# 0.273296, 0.263445, 0.457665, 0.338472, 0.409102, 0.285589, 0.209054, 0.23742, 0.241336, 0.245028, 0.271317, 0.230256, 0.241302, 0.340654, 0.358575, 0.583648, 0.193149, 0.229404, 0.31568, 0.23741, 0.35546, 0.228046, 0.267596, 0.262647, 0.439551, 0.260094, 0.209186, 0.251296, 0.255987, 0.249279, 0.362456, 0.273206, 0.511712, 0.252011, 0.251133, 0.00390959, 0.0110425, 0.239158, 0.205388, 0.217654, 0.206264, 0.2225, 0.208777, 0.192196, 0.217768, 0.187558, 0.204593, 0.203454, 0.207511, 0.210932, 0.221529, 0.201459, 0.221601, 0.192259, 0.201041, 0.201341, 0.231934, 0.237474, 0.20619, 0.207634, 0.232454, 0.192079, 0.220572, 0.223452, 0.223226, 0.193433, 0.217494, 0.17629, 0.202497, 0.205827, 0.224975, 0.223511, 0.181196, 0.198756, 0.225386, 0.196558, 0.292668, 0.180637, 0.201931, 0.215742, 0.20099, 0.192328, 0.217035, 0.191444, 0.214699, 0.198204, 0.185836, 0.194001, 0.197423, 0.194999, 0.218575, 0.181661, 0.223776, 0.188112, 0.223627, 0.22435, 0.210678, 0.225029, 0.210988, 0.185823, 0.208901, 0.233578, 0.190547, 0.196058, 0.224852, 0.228218, 0.216933, 0.227308, 0.22611, 0.205432, 0.194522, 0.216224, 0.249507, 0.228418, 0.208694, 0.217579, 0.175838, 3.71471, 0.586196, 0.583697, 0.583624, 0.58129, 0.587534, 0.576256, 0.583266, 0.584134, 0.578682, 0.581746, 0.579199, 0.58885, 0.578688, 0.578276, 0.572848, 0.573654, 0.587009, 0.583232, 0.58148, 0.583055, 0.580764, 0.583237, 0.580975, 0.574019, 0.582429, 0.578167, 0.576753, 0.581776, 0.571486, 0.577929, 0.582487, 0.581324
-3928.72,0.968507,0.0266392,7,127,0,3998.93,-0.309078,0.592569,0.481479,-1.28415,-1.91589,-0.809667,0.547826,0.0316872,0.520488,0.939206,-0.0889433,-0.519365,0.234849,-0.761604,-1.42961,2.48943,-0.220875,0.538453,0.236136,-0.617662,1.28629,-0.198297,-1.70555,1.17196,-1.80796,0.747483,0.523858,0.0943182,1.21466,0.403254,0.822813,-1.05694,2.15875,-0.262917,0.521882,0.00877051,0.590721,0.25795,0.0603919,-1.05226,-0.178587,-0.266986,0.708195,-0.885161,0.848932,0.265978,-1.0214,-0.0602543,0.0165512,0.481172,1.08673,0.487957,0.620323,-1.32336,0.0767483,-0.283279,0.883442,-0.485512,-0.00605219,1.15601,-1.82006,-0.45779,-0.261731,0.678336,-0.464749,-0.633447,-0.691905,-0.174799,-0.802353,0.816896,-1.18011,1.53602,-0.286519,0.534757,-0.950183,0.792347,-2.46786,0.305193,0.281202,0.498289,0.539262,0.470095,2.06981,-0.334657,0.744779,-1.01303,0.0634441,0.258967,0.0106376,0.103637,0.107873,0.478562,0.909965,-0.432705,1.28266,-0.9803,1.58608,1.30253,0.98042,-0.237775,-0.0223357,-1.24876,-0.145339,-0.467224,-0.0972975,-1.00301,1.18278,-1.42261,-0.334567,0.542635,-0.295665,1.30755,2.3253,0.432084,0.265199,-0.473646,-0.814234,0.156875,-0.402802,-0.595213,-0.0242059,0.34828,0.305129,0.645183,0.724859,0.199453,0.0807475,0.401321,-0.313966,-0.508825,1.37179,0.260439,0.376907,0.759369,0.128227,0.966332,0.0316548,-0.164853,0.683506,-0.522694,0.618479,0.156946,0.201588,0.951577,0.57428,1.04348,-0.157131,1.3784,0.133192,0.496225,-0.0257241,-0.329891,0.202731,0.856336,0.607825,0.843173,1.04478,0.549744,0.342505,0.705644,0.225872,-0.0957608,1.79118,0.486222,0.851823,0.706263,0.295177,1.21189,0.497093,-0.228617,1.15685,-0.277926,0.952466,0.844795,0.637981,1.1774,0.786727,0.988736,0.0836734,1.63196,0.46598,0.843844,0.161147,0.0444453,-0.612822,-0.0967245,-0.148944,0.427116,-0.514112,0.510252,0.165889,-0.594589,-0.026823,0.0185476,0.293009,0.650722,0.297017,0.375208,-0.772967,0.0541073,-0.158568,0.530638,-0.278031,0.00519536,0.691649,-1.06638,-0.261655,-0.14584,0.409477,-0.265767,-0.36542,-0.399952,-0.0944868,-0.465196,0.491328,-0.688343,0.91613,-0.160482,0.324663,-0.552522,0.476827,-1.44905,0.189054,0.174882,0.30312,0.327323,0.286465,1.23145,-0.188919,0.448727,-0.589649,0.0462483,0.161748,0.0150543,0.0699908,0.0724934,0.291467,0.546306,-0.246837,0.766462,-0.570313,0.945698,0.778204,0.587925,-0.131688,-0.00442367,-0.728895,-0.0770841,-0.267229,-0.0487052,-0.583729,0.707461,-0.831595,-0.188865,0.329316,-0.165885,0.781166,1.38237,0.264012,0.165429,-0.271022,-0.472214
-3937.97,0.921592,0.0266392,7,127,0,4008.27,-0.536365,1.04514,0.513727,-1.2524,-1.8435,-0.350778,0.478928,0.313508,1.19359,1.48649,0.376113,0.947015,0.611108,-0.930559,-1.21373,2.7138,0.259926,0.434566,1.04983,0.162323,1.46511,-0.400011,-0.599873,1.43003,-1.73615,1.04696,-0.0838015,-0.266861,0.993001,0.871388,1.68609,-0.831008,2.43469,-0.5556,0.80289,0.0519342,0.562563,-0.303475,0.684441,-0.904888,-0.278308,-0.0569242,-0.248305,-0.962903,0.777769,0.670189,-0.355099,-0.661234,-0.64331,1.45287,0.400437,0.610715,0.0225641,-1.58933,0.199732,-1.1826,0.926898,-0.503587,-0.00434612,1.08923,-1.68142,-0.923257,-0.286222,0.978103,0.32959,-0.039276,-0.770017,0.33473,-0.982701,0.143135,-1.11455,1.46881,-0.139784,-0.0571222,-1.17105,0.444554,-2.62239,0.583579,0.0942974,0.39744,0.624028,-0.277114,0.463039,-0.452133,1.67335,-0.808483,-0.353379,0.554265,-0.392576,-0.432298,-0.0323948,1.04088,1.50265,-0.604478,0.672176,-1.09231,0.67915,1.25777,0.750789,0.00500577,0.545403,-0.615392,0.456191,-0.835786,-0.583951,-0.573796,1.51636,-1.07629,-0.266811,0.367802,-0.756993,0.800307,2.72896,0.478346,0.0728044,-0.353278,-0.6424,0.106882,-0.207463,-0.4076,0.315021,0.828462,0.747868,1.02533,1.14655,0.516209,0.857523,0.791299,0.0981005,-0.0795605,1.86132,0.595479,0.670283,0.988383,0.621203,1.25099,0.344903,0.210605,1.19602,-0.194054,0.894128,0.447353,0.509955,0.993216,0.965089,1.35154,0.123989,1.77174,0.405419,1.17295,0.40175,0.0980859,0.864939,1.29118,1.2062,1.65832,1.80879,1.23836,1.53165,1.35909,0.56709,0.421619,2.43929,1.17867,1.26839,1.58447,1.12853,1.79781,0.839646,0.736972,1.77979,0.153235,1.58299,1.00209,0.908049,1.55527,1.4928,1.91133,0.618231,2.29591,0.759716,1.45761,-0.11879,0.436976,-0.457123,-0.104632,0.0199107,-0.0877531,-0.48976,0.489478,0.428958,-0.147832,-0.320052,-0.309969,0.869267,0.277205,0.3955,0.0646279,-0.842165,0.164296,-0.613356,0.573373,-0.231365,0.0494892,0.664694,-0.893969,-0.467456,-0.109084,0.602179,0.237349,0.0298389,-0.381249,0.240241,-0.500898,0.132457,-0.575072,0.878232,-0.026703,0.0197993,-0.606854,0.302024,-1.42332,0.380234,0.104982,0.275519,0.40299,-0.10396,0.312423,-0.202419,0.9933,-0.402889,-0.146864,0.363743,-0.168915,-0.191261,0.03371,0.637498,0.89727,-0.288123,0.430076,-0.562558,0.433999,0.759508,0.474301,0.0547502,0.358758,-0.294263,0.30857,-0.418248,-0.276575,-0.270862,0.904984,-0.55355,-0.0981641,0.258846,-0.373922,0.502157,1.58715,0.321034,0.0928912,-0.146807,-0.309457
-3944.45,0.979105,0.0266392,7,127,0,4029.19,0.370872,0.302088,0.460934,-0.94965,-1.8173,-0.582168,-0.333915,-0.165036,0.853862,0.596146,0.0708401,-0.257492,0.566044,-1.39313,-1.53857,1.85436,0.339576,0.109187,0.603803,0.14594,1.22127,-0.654886,-1.02869,0.668424,-1.81483,0.623983,-0.465312,-0.291152,0.491386,0.614171,1.45769,-1.52592,1.51251,-1.10019,-0.0133173,0.148318,0.5088,0.691748,0.225406,-0.876619,0.537874,0.259895,-0.281507,-1.39351,0.69918,0.605565,-1.18833,-0.652416,0.308094,0.553397,0.657326,0.120293,-0.337682,-1.18618,-0.091148,-1.5619,0.858154,-0.62978,0.177662,0.0433195,-2.21617,-0.857896,-0.126338,1.16002,-0.871931,-0.257874,-1.28701,-0.486245,-0.442004,-1.00476,-1.51427,1.14545,-0.335314,-0.0512055,-0.846605,0.0166039,-3.01731,0.437412,0.0172569,0.330533,0.439584,1.06703,1.80244,-0.133745,0.860253,-1.27639,0.0950344,-0.53723,-0.148505,-0.399122,-0.285553,-0.227408,1.35363,-0.787784,0.841556,-1.32895,1.49726,0.592802,0.515053,-0.615781,0.00573358,-1.2785,-0.316883,-0.382564,-1.3342,-0.987765,0.993439,-0.870452,-0.914913,0.145468,-1.16466,0.5184,1.74729,1.13798,0.128307,-0.71252,0.0427482,0.16502,0.0816304,-0.323789,0.212031,0.556415,0.655782,1.07835,0.934742,0.585727,0.551095,0.689705,-0.118313,-0.21466,1.73795,0.700528,0.769783,1.00905,0.576204,1.24214,0.504847,0.198113,0.893676,-0.391643,0.779765,0.35545,0.543237,1.16499,0.841528,1.55854,0.135209,1.60065,0.332567,0.901716,-0.135638,-0.535566,0.0337471,0.148175,0.226017,0.695663,0.576873,0.334741,0.183401,0.562997,-0.340053,-0.40709,1.15683,0.458611,0.352416,0.580402,0.369357,0.865015,0.000228805,-0.172069,0.610188,-0.534431,0.589704,0.0876102,0.167886,0.528585,0.585181,0.973987,-0.401259,0.999256,-0.205026,0.29595,0.500279,0.263004,-0.297706,0.421988,0.280552,0.00508731,-0.560697,0.50406,0.456429,-0.456306,-0.183631,0.305076,0.429886,0.482765,0.209523,-0.0234948,-0.455212,0.101942,-0.646376,0.584946,-0.172114,0.238712,0.170359,-0.97927,-0.288179,0.084037,0.738535,-0.29532,0.0171116,-0.506513,-0.0990837,-0.0765737,-0.362902,-0.622144,0.731121,-0.02229,0.122264,-0.282435,0.156766,-1.38689,0.370873,0.157098,0.316493,0.371978,0.691221,1.0654,0.0802683,0.586014,-0.501109,0.196671,-0.125025,0.0727585,-0.0547551,0.00302834,0.0326129,0.837045,-0.252507,0.576501,-0.52785,0.910124,0.449935,0.410376,-0.164991,0.151235,-0.502184,-0.0129122,-0.0463304,-0.530524,-0.354256,0.653779,-0.294568,-0.31719,0.222332,-0.444261,0.41208,1.03734,0.727323,0.2136,-0.214212,0.170068
-3955.63,0.714722,0.0266392,7,127,0,4028.13,0.151018,0.137087,0.502592,-0.619121,-1.50977,-0.241464,0.434495,0.246002,0.74147,1.06416,0.460845,0.138272,0.401384,-1.14497,-1.34655,2.28464,0.202515,0.34194,1.05592,0.434412,1.72971,-0.344538,-0.544399,0.805788,-1.74649,0.82198,-0.300228,0.299883,0.735854,0.857278,1.78464,-1.18473,1.77396,-0.877095,0.942864,0.0175714,0.511048,0.663224,0.837362,-0.179725,-0.0814384,0.357411,0.220987,-1.53543,1.55461,0.929363,-0.387471,-0.905755,-0.443211,0.356233,0.651134,-0.18994,0.586288,-0.868387,0.127814,-0.771937,0.792484,-0.888258,0.192862,1.43451,-1.00579,-1.57355,-0.392467,0.596215,-0.528646,0.0121139,-1.05619,0.0124302,-1.25002,-0.0834544,-1.12527,2.35116,-0.709104,0.270847,-0.494598,0.385705,-2.47548,1.28746,-0.112871,-0.144766,0.487213,-0.258446,1.59523,0.439116,1.17134,-0.420507,-0.407547,-0.578052,-0.716533,0.119011,0.250341,0.834809,1.29013,-0.77409,0.549646,-0.568993,0.651907,2.32003,1.70575,-0.787065,0.461862,-1.0839,0.184139,0.389936,-1.69205,-0.679731,0.817582,-1.29332,-0.115245,0.388157,-0.658452,1.19966,1.49542,0.312571,-0.0350728,-0.306314,-0.751653,0.111153,-0.382817,-0.48663,0.0597376,0.533325,0.240017,0.545164,0.810706,0.308969,0.18678,0.35535,-0.218035,-0.590575,1.45956,0.186008,0.453567,1.01066,0.450762,1.25803,0.0500926,-0.0398467,0.751613,-0.456674,0.574491,0.147599,0.490456,0.676356,0.768512,1.07391,-0.140995,1.20096,-0.0496215,0.767126,-0.174078,-0.62171,0.0157292,0.355461,0.260726,0.509744,0.671925,0.368704,0.206581,0.338819,-0.438367,-0.539678,1.28533,0.238869,0.308943,0.667786,0.355419,1.00643,-0.0360751,-0.136524,0.54207,-0.740685,0.550208,-0.0138053,0.287806,0.506922,0.567948,1.03403,-0.45835,1.02866,-0.303734,0.610963,0.356511,0.445504,-0.0742768,-0.0240475,0.200226,0.130506,-0.767105,0.812051,0.492521,-0.180445,-0.445313,-0.208931,0.199624,0.350332,-0.079497,0.317193,-0.426216,0.0828903,-0.376926,0.422569,-0.436371,0.116133,0.750677,-0.496438,-0.786586,-0.182998,0.322266,-0.252592,0.0237622,-0.522191,0.0239239,-0.621249,-0.0250778,-0.557497,1.21913,-0.344815,0.155987,-0.235192,0.214686,-1.24752,0.675528,-0.0401111,-0.0564111,0.266561,-0.114507,0.832813,0.241981,0.616185,-0.197328,-0.190705,-0.277841,-0.348611,0.0783919,0.145508,0.444199,0.676888,-0.378026,0.298467,-0.273211,0.350728,1.20322,0.88929,-0.384657,0.253605,-0.536356,0.111675,0.216847,-0.847149,-0.329804,0.435395,-0.643379,-0.0413245,0.215939,-0.31893,0.630658,0.781803,0.17731,-0.00035247,-0.13897,-0.36656
-3951.46,0.947911,0.0266392,7,127,0,4026.01,0.0947992,0.352251,0.686171,-1.5986,-1.20839,-0.961537,-0.460238,0.19825,0.0884995,0.127116,-0.477324,-0.283612,-0.252589,-0.83405,-1.23997,1.44568,-0.143714,-0.00562415,0.420075,0.267098,0.470435,-0.940219,-0.913686,0.719791,-1.04894,-0.133203,-0.932203,-0.767897,0.426549,0.355448,0.811206,-0.980734,1.36097,-1.09268,-0.0223826,0.0242843,0.476255,0.811743,-0.108199,-1.41698,0.0915445,-0.0722364,0.0486571,-0.970869,0.767516,-0.126441,-1.06573,-0.0785158,0.467148,1.55977,1.26604,1.18691,-0.541724,-1.64612,-0.0460549,-0.587688,0.755969,-0.36344,-0.415528,0.145576,-3.26864,-0.257485,-0.750634,0.986726,0.0217528,-1.07022,-1.28177,-0.315036,-0.500524,0.927383,-1.55963,0.590497,0.532734,0.14952,-1.47488,0.239124,-2.69923,-0.228688,-0.0795359,0.522526,0.946229,0.534325,1.52192,0.146715,0.984098,-1.2756,0.606176,0.170603,0.431104,-0.566026,-0.0993665,0.0979624,1.12701,-0.223545,2.24598,-1.85159,0.953603,0.764329,1.72832,0.126444,-0.537393,-1.32717,-0.193146,-1.14405,0.337475,-1.31314,2.09014,-0.976185,-1.04636,1.95436,-0.469092,1.50177,2.26255,0.917677,-0.393542,0.403727,-0.792922,0.186832,-0.570398,-0.714002,-0.159764,0.213935,0.369387,0.71891,0.686572,0.0733407,0.275764,0.20151,-0.246192,-0.485316,1.34125,0.275574,0.271414,0.686968,0.365434,0.80268,-0.119525,-0.153755,0.666833,-0.556467,0.381236,-0.169944,0.113952,0.79783,0.614248,1.11232,-0.142754,1.42637,-0.0679626,0.596118,-0.744662,-0.476911,-0.307528,0.0364492,0.488285,0.412977,0.439474,0.0247251,0.157645,0.178932,-0.22005,-0.498579,1.34424,0.253639,0.348392,0.640494,0.535525,0.67505,-0.2929,-0.274694,0.84615,-0.367504,0.260851,-0.287399,-0.174658,0.644936,0.596149,0.908877,-0.3207,1.28611,-0.397517,0.336893,0.410881,-0.0272458,-0.65056,0.0678828,-0.0101186,0.0474575,-0.438097,0.389818,-0.0359338,-0.483275,-0.0131092,0.246766,0.767134,0.62724,0.589555,-0.233715,-0.759687,0.00235041,-0.255605,0.384318,-0.148806,-0.173613,0.0936154,-1.53242,-0.098344,-0.333209,0.494218,0.0346442,-0.485415,-0.586166,-0.125753,-0.214093,0.465955,-0.718497,0.305511,0.278001,0.095494,-0.678133,0.138168,-1.26124,-0.0846292,-0.0135951,0.27314,0.47493,0.278759,0.749108,0.0941579,0.492966,-0.583224,0.312979,0.105535,0.2296,-0.245288,-0.0230395,0.0709394,0.56103,-0.08218,1.09395,-0.857547,0.478442,0.3883,0.847404,0.084504,-0.231652,-0.607788,-0.0677026,-0.520577,0.185008,-0.601103,1.01972,-0.440629,-0.47405,0.955059,-0.199123,0.739511,1.10184,0.461332,-0.163142,0.216561,-0.353349
-3969.43,0.9849,0.0266392,7,127,0,4041.28,-0.478609,0.690019,0.46825,-2.34105,-2.01264,-1.89642,-0.0955397,0.361587,0.239165,0.294936,-0.459001,-0.402259,-0.571478,-1.3121,-1.25456,1.89867,-0.536014,-0.269601,0.699636,-0.195169,0.503561,-0.76812,-0.786584,0.911172,-1.57704,-0.0913595,-1.40957,-0.389762,-0.0428345,-0.527452,0.4179,-1.55385,1.80772,-1.58789,0.547705,-0.00859395,0.403392,1.28438,0.10797,0.157966,0.103995,-0.0339045,0.275784,-1.0157,1.54478,0.664332,-1.2464,-0.192239,0.716095,1.72526,1.03139,1.18249,-0.492509,-1.89755,-0.615488,-1.14966,0.981512,-0.672459,-0.503771,1.38764,-2.51268,-1.15185,0.679264,1.73008,0.434015,-0.332049,-0.913744,-0.349636,-0.656629,0.637205,-1.52188,1.34077,-0.624809,0.133513,-1.30695,-0.154202,-2.35416,0.312933,-0.393949,0.0346571,0.479058,0.10935,1.84596,-0.0106438,1.10599,-1.81723,0.652254,0.40717,-0.510049,-1.09903,-0.621722,0.506788,0.49097,-0.233527,1.39925,-1.79943,1.73968,1.39425,0.944195,-0.101331,0.220876,-0.842474,0.547283,-0.549552,-0.31513,-1.40535,2.4734,-0.92555,-0.598877,0.321624,0.0283792,1.14873,2.35623,1.24776,0.382657,-0.443889,0.284335,0.162319,-0.756174,-0.978185,-0.459473,-0.0126594,0.172798,0.465969,0.383839,-0.184826,-0.037293,-0.056429,-0.375595,-0.587928,1.02103,0.0546353,0.0408812,0.518788,0.156845,0.63831,-0.330272,-0.455965,0.392541,-0.890268,0.16459,-0.266032,-0.0310549,0.415125,0.191876,0.702713,-0.512115,1.01015,-0.396936,0.544003,-0.406177,-0.252398,-0.197978,0.645283,0.859332,0.802008,0.828123,0.475092,0.501661,0.422424,0.0756301,0.102573,1.57907,0.439031,0.563778,1.01762,0.598631,0.925811,0.330347,0.321701,1.11667,-0.0484307,0.64724,0.0299864,0.507513,0.669962,0.44304,0.885701,-0.0375692,1.53648,-0.0535097,0.946482,0.509513,0.03496,0.0551282,0.0333568,-0.0222708,0.102655,-0.41832,0.614558,0.259392,-0.511381,-0.0861417,0.280273,0.687361,0.407458,0.468412,-0.207268,-0.774051,-0.256876,-0.472356,0.38734,-0.279858,-0.211811,0.551169,-1.02219,-0.473241,0.265416,0.689306,0.166484,-0.14254,-0.377191,-0.149634,-0.273472,0.248449,-0.622506,0.53226,-0.260637,0.0452641,-0.535807,-0.0707979,-0.958241,0.117641,-0.16751,0.00538642,0.184654,0.035517,0.736052,-0.0128876,0.437554,-0.741651,0.25452,0.155655,-0.214344,-0.451932,-0.259391,0.19584,0.189459,-0.102797,0.555853,-0.734468,0.693177,0.553833,0.372286,-0.0494701,0.0805054,-0.348441,0.212175,-0.230279,-0.135715,-0.575501,0.989155,-0.381953,-0.250176,0.121146,0.00285398,0.454792,0.941889,0.494743,0.145766,-0.187655,0.106105
