# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim2_model
# start_datetime = 2022-03-10 16:31:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b385db5f28.json
# init = 2 (Default)
# random
#   seed = 475988862
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00928521
# Diagonal elements of inverse mass matrix:
# 0.238324, 0.1016, 0.0985589, 0.113639, 0.0158602, 0.00712422, 0.239285, 0.933945, 0.688499, 0.678833, 0.522576, 0.612435, 0.587282, 0.727299, 0.684812, 0.60464, 0.542004, 0.592497, 0.614942, 0.659631, 0.8945, 0.531665, 0.628605, 0.642211, 0.498258, 0.646051, 0.543405, 0.748494, 0.555235, 0.726532, 0.633176, 0.674043, 0.611924, 0.602259, 0.539349, 0.679253, 0.699956, 0.960477, 0.66952, 0.536441, 0.00381611, 0.00998283, 0.180766, 0.206611, 0.216614, 0.186269, 0.21741, 0.189967, 0.19169, 0.223819, 0.208985, 0.216115, 0.206845, 0.189478, 0.211608, 0.186373, 0.210788, 0.188633, 0.214903, 0.202096, 0.199959, 0.203948, 0.223983, 0.208874, 0.204417, 0.24037, 0.182234, 0.198347, 0.210897, 0.204304, 0.202821, 0.214565, 0.200984, 0.204468, 0.184544, 0.272561, 0.246671, 0.202279, 0.201349, 0.180854, 0.190137, 0.243329, 0.205414, 0.222816, 0.191819, 0.223461, 0.190908, 0.191411, 0.209876, 0.191291, 0.205259, 0.20037, 0.218205, 0.186494, 0.208164, 0.189127, 0.188149, 0.201314, 0.181568, 0.213565, 0.18464, 0.205758, 0.214935, 0.237485, 0.192401, 0.212378, 0.219715, 0.21988, 0.206084, 0.204182, 0.199025, 0.214401, 0.210883, 0.207025, 0.229146, 0.215366, 0.179531, 0.224373, 0.216777, 0.19577, 0.195322, 0.187857, 0.634751, 0.588947, 0.587107, 0.590057, 0.588563, 0.576174, 0.5922, 0.587207, 0.59032, 0.581348, 0.583279, 0.584922, 0.584998, 0.583151, 0.572441, 0.58445, 0.576405, 0.57987, 0.588739, 0.591342, 0.589688, 0.579784, 0.59554, 0.591205, 0.581572, 0.591082, 0.580007, 0.592661, 0.591662, 0.591591, 0.587714, 0.583067, 0.585202
-3809.57,0.999765,0.00928521,9,511,0,3889.07,0.746966,0.110024,0.496091,-0.102675,-0.293949,0.256214,0.630488,0.425121,-1.36952,-1.14932,-0.431513,1.94122,1.50155,1.35454,2.47809,0.257279,0.49003,1.3159,0.181537,-0.560828,1.83784,-0.535161,-0.464229,0.864502,-0.481095,1.2612,-0.751794,-1.83318,0.0700994,-1.92049,-0.2781,-0.0822235,0.225432,1.35998,0.3848,1.23371,-0.715257,2.50338,-0.97875,0.441858,0.0140918,0.466261,0.43999,-0.0115003,-0.928741,-0.0124512,-0.0643827,0.986941,-0.451191,-0.510273,2.00621,-1.07068,-0.39486,-0.531198,0.872786,1.49485,0.228873,0.166929,-1.87856,-0.466622,-1.36043,0.0883732,-0.886748,0.488002,-0.410632,-2.08568,-0.557348,-0.431751,1.69612,0.613734,-0.013082,-1.88562,-0.766774,-1.35033,0.310689,-0.85405,1.81931,-0.817594,0.330937,-0.531203,0.506614,-3.27034,-0.0174503,-0.720451,0.107199,1.25116,-0.141897,1.39643,-0.178555,0.146785,-1.09828,-0.387439,-0.12788,-0.140673,0.0227367,0.0560658,0.371352,2.06494,-0.580312,0.041795,-0.609351,0.937733,2.67618,1.4652,-0.0849178,0.560895,-0.86889,0.7293,-0.984512,-0.513248,-0.15587,0.558988,-0.790819,-0.916434,-0.17074,-0.241967,1.0799,1.96406,1.40868,0.459511,-0.681474,-0.790245,0.0825566,2.17528,1.92218,2.24389,2.59612,2.44386,3.49078,2.54139,2.77206,2.70901,3.16098,1.94823,1.8607,3.15894,2.03723,2.12965,2.22339,1.91766,3.0166,1.70526,1.91455,2.39618,1.31109,1.50192,0.884391,1.37712,1.91081,2.16165,2.54581,1.05201,2.95526,1.08138,2.06457,0.0482751,0.141887,0.447042,1.45574,1.26883,1.20633,1.68397,0.739862,0.838809,1.1899,0.707663,0.392068,1.41179,0.402979,0.433134,0.998005,0.425964,1.16665,0.310884,-0.148837,0.660288,-0.185955,0.512261,0.595533,0.726323,1.20864,0.794074,1.15496,0.326417,1.69473,0.214401,0.818331,0.219242,0.00872971,-0.418944,0.00828634,-0.0159273,0.474264,-0.196281,-0.223829,0.949511,-0.485124,-0.170016,-0.233585,0.421038,0.711082,0.120806,0.0919242,-0.861805,-0.203476,-0.620225,0.0552968,-0.399364,0.241628,-0.17737,-0.958378,-0.245778,-0.187217,0.804927,0.300252,0.0079922,-0.865101,-0.343425,-0.615517,0.158954,-0.384119,0.862363,-0.36712,0.168395,-0.233587,0.250306,-1.51074,0.00595544,-0.321827,0.0640747,0.597461,-0.0520694,0.665193,-0.0691613,0.0825318,-0.497995,-0.166556,-0.0455339,-0.0514983,0.024693,0.0402331,0.187239,0.976894,-0.256485,0.0335792,-0.270025,0.45132,1.26189,0.697256,-0.0255021,0.275615,-0.391038,0.354136,-0.444948,-0.225216,-0.0585841,0.274726,-0.354636,-0.413206,-0.0655174,-0.0987281,0.517608,0.929855,0.670906,0.228344,-0.303653,-0.354369
-3830.74,0.94789,0.00928521,9,511,0,3908.39,0.400305,0.0485735,0.204869,-0.409412,-0.11595,0.0942753,-0.162998,0.452433,-0.0175754,-0.44987,-0.0797312,0.656082,0.444458,2.15199,1.2096,-0.152361,1.16874,0.930557,-0.909872,-0.0423503,2.13102,-0.608009,-0.805578,0.276862,0.0688503,1.21551,-0.614562,-0.903043,-0.0276758,-2.02706,-0.384695,-1.11197,-0.590684,0.779703,0.817823,1.59268,-0.880342,2.66952,-1.15246,0.562283,-0.0918989,0.389131,0.00689081,0.94168,-0.161227,1.07012,0.331815,1.47904,-0.671499,0.250778,0.907587,-1.63251,0.466979,-1.23613,1.79258,1.51942,-0.752517,-0.408401,-0.376281,-0.936224,-1.29098,0.603379,-1.33863,0.0558533,0.427932,-1.31062,-0.990344,-0.607865,1.67261,-0.254053,-0.527833,-1.68687,-0.746678,-0.88528,0.12287,-1.85859,2.16145,-0.732295,-0.179654,-0.0454639,0.771375,-3.542,0.768645,-0.803934,-0.395902,0.598959,-0.520525,1.42899,-0.317171,1.06421,-1.73686,0.159101,-0.200563,-0.39051,-0.285652,-0.103358,1.61394,1.81234,-0.917458,0.860703,-0.127406,1.95625,1.75233,2.49853,0.44394,0.503881,-0.565463,1.48791,-0.531155,0.0649642,-0.680566,2.19202,-0.339802,-0.361039,0.631481,0.171208,1.27692,1.05901,1.22223,-1.31012,-0.853389,-0.765064,0.131609,0.591196,0.304215,0.575973,0.857377,0.701194,1.77266,0.811537,0.904402,1.19471,1.14124,0.224523,0.213955,1.69101,0.386235,0.325809,0.639227,0.528855,1.27278,0.214889,0.208019,0.660472,-0.503585,-0.165012,-0.851069,-0.456079,0.139223,0.411389,0.724367,-0.669242,1.18627,-0.529439,0.297633,-0.17095,-0.366534,-0.199071,0.133835,0.0380892,0.810632,0.384262,-0.231931,0.365777,0.258016,-0.574654,-0.182159,0.801144,-0.438081,-0.527468,-0.0377366,-0.131848,0.38694,-0.441046,-0.571565,-0.17552,-1.08011,-0.337047,-0.666088,-0.430243,0.189765,0.207012,0.557581,-0.561294,1.04478,-0.68441,0.0913971,-0.0892175,0.274538,-0.154637,0.324517,0.0372205,0.483642,-0.3532,0.00568646,0.261271,-0.727159,0.0898172,-0.572916,0.605648,0.499356,-0.384726,-0.25082,-0.238321,-0.456213,-0.594257,0.142895,-0.612801,-0.0701646,0.0746228,-0.601901,-0.477272,-0.328438,0.558964,-0.190759,-0.297295,-0.748311,-0.382454,-0.436389,-0.0440862,-0.815134,0.749186,-0.376857,-0.161808,-0.10959,0.208267,-1.4702,0.207204,-0.404734,-0.245957,0.141174,-0.294451,0.464164,-0.21532,0.322217,-0.767765,-0.0299877,-0.169944,-0.243858,-0.203055,-0.132119,0.536135,0.613338,-0.44891,0.243027,-0.141476,0.669336,0.589989,0.880358,0.080852,0.104177,-0.311938,0.487092,-0.298588,-0.0666193,-0.356728,0.761084,-0.224126,-0.23239,0.15383,-0.0252767,0.404988,0.320194,0.383709,-0.601706,-0.423979,-0.389609
-3818.27,0.995382,0.00928521,9,511,0,3897.55,-0.373567,0.0383697,0.218417,-0.347021,-0.267268,0.0998848,0.876755,0.390022,-1.80513,-1.68242,-0.953329,0.535935,-0.546941,1.84156,1.0609,-0.406478,0.458419,1.11815,-0.845215,-0.999177,1.67218,0.0360907,-0.626547,0.58431,-0.88678,0.751158,-1.34823,-1.95319,-0.010095,-2.89751,-1.06285,-1.05003,-0.944746,-0.0947914,0.273477,1.50423,-1.33469,2.33755,-0.833477,0.109086,-0.00637131,0.433492,0.0144032,0.116025,-0.769522,0.903315,-0.130189,0.443525,-0.852605,1.38046,0.905343,-1.22863,0.742841,0.186805,0.747098,1.46238,0.627973,0.578194,-0.719388,0.260045,-1.11903,0.930224,-1.34638,0.407269,0.661708,-2.79442,-1.44348,-0.319791,0.915144,0.343709,-1.5243,-2.24776,-0.0561581,-0.39623,-0.188805,-1.86823,2.20384,-0.648384,0.812681,-1.2405,1.28153,-2.69893,0.969053,-0.0929597,0.467235,0.598284,0.199536,1.32639,0.244301,0.787548,-2.27683,-0.354461,-0.164265,-1.14795,-0.949817,-0.416598,1.78039,1.28333,-0.21046,0.19013,-0.475823,0.95876,1.99091,0.989657,0.0803269,1.19743,-0.899721,0.64853,-1.04653,-0.13351,-0.674754,1.11238,-0.139059,-1.62964,0.0156348,-0.54353,0.498938,1.38741,1.21325,-0.233923,0.714889,-0.400323,0.107756,0.650034,0.349974,0.592735,1.11452,0.755384,1.8971,0.890327,1.09745,1.19222,1.43828,0.414708,0.33436,1.7103,0.533558,0.408077,0.805941,0.65231,1.2131,0.1464,0.275257,0.809163,-0.234277,-0.080753,-0.629286,-0.274016,0.138559,0.368494,0.804014,-0.628814,1.56358,-0.400785,0.446351,0.172715,0.220575,0.504936,1.08578,0.663436,1.595,1.29053,0.71822,1.05555,1.31286,0.547103,0.487054,1.52894,0.890832,0.632388,1.10465,0.530892,1.16972,0.350914,0.11497,0.872818,-0.253336,0.462221,0.46722,0.508284,0.839785,0.983417,1.46344,0.356196,1.78845,0.551681,0.919301,-0.000127617,0.0439244,-0.339953,0.385209,-0.0628074,0.185894,-0.375969,0.592048,0.386088,-0.538971,0.315644,0.0746072,0.31749,0.62756,0.26585,0.244272,-0.31822,0.106356,-0.491461,0.396874,-0.590015,0.170177,0.280474,-1.21773,-0.63211,-0.144998,0.390337,0.142624,-0.667143,-0.980759,-0.0307154,-0.178134,-0.088217,-0.816236,0.948979,-0.287441,0.34592,-0.544119,0.549162,-1.17634,0.413706,-0.0466687,0.196172,0.25298,0.0801259,0.568609,0.0995311,0.335025,-0.993359,-0.160027,-0.077579,-0.503999,-0.41811,-0.186963,0.765415,0.549942,-0.0976041,0.0760487,-0.212637,0.409244,0.856673,0.422637,0.0284498,0.512704,-0.396394,0.274761,-0.460033,-0.0642467,-0.298872,0.475836,-0.0666522,-0.712806,0.000406236,-0.241987,0.209915,0.595062,0.519562,-0.107775,0.303528,-0.179908
-3811.04,0.999789,0.00928521,9,511,0,3887.43,-0.135617,0.580993,0.146792,-0.324777,-0.0709582,0.158311,0.316118,0.411542,-1.10381,-1.35318,-1.04592,0.49936,0.194285,1.14968,0.60179,-0.161283,-0.169694,0.76388,-1.03681,-1.84539,2.05713,-0.966511,-0.25074,0.73325,0.193526,1.35654,-0.751436,-1.12485,-0.00744321,-1.7177,-0.0792342,-0.781497,-1.06083,1.22006,0.0293584,1.15887,-0.883228,3.20388,-1.70227,0.759597,-0.0254039,0.486085,-0.00759538,0.593558,-1.34327,1.08239,0.175589,0.473246,-0.612093,1.31163,1.35574,-0.965115,0.628926,0.163577,1.24053,2.13427,0.5823,0.610279,-0.796247,-0.275382,-1.12369,0.828746,-0.971756,0.589488,0.852281,-2.62539,-1.07713,0.184882,1.62003,0.224818,-0.318908,-1.66879,-0.276792,-0.8077,0.514554,-1.81663,2.10281,-0.345288,0.866076,-0.917313,1.16321,-3.47579,0.56753,-0.331039,0.160405,0.575938,0.0121001,1.05151,0.323043,0.206678,-2.14027,0.114283,-0.296281,-0.462105,-1.08902,0.159241,1.73637,1.41825,-0.210081,0.636557,-0.79412,1.25544,1.53352,1.22831,0.134308,0.692805,-1.25748,1.08955,-0.741678,-0.213895,-0.148118,1.55178,0.504195,-1.50962,0.428072,-0.760151,0.269564,1.35959,1.32804,0.00977569,0.502229,-0.066393,0.0919948,0.880204,0.513152,0.689241,1.19579,1.02304,1.91093,0.959031,1.08533,1.22968,1.57128,0.441016,0.43673,1.66104,0.402144,0.390584,0.806359,0.570335,1.22033,0.164481,0.537595,0.818092,-0.237383,-0.0376157,-0.58123,-0.408841,0.224761,0.488636,0.922135,-0.316706,1.67862,-0.443297,0.540622,-0.138146,-0.240773,-0.114323,0.521625,0.396074,0.789259,0.56378,0.249743,0.246282,0.630486,-0.110573,-0.443338,1.16271,-0.0816425,0.212928,0.617881,0.395762,0.874391,0.00687006,-0.146807,0.313054,-0.390787,0.283509,-0.00550144,-0.12046,0.818224,0.3282,0.793043,-0.0473681,1.63465,-0.384439,0.628724,-0.0290959,0.263116,-0.678346,0.50073,0.0599476,0.204634,-0.322933,0.61216,0.633602,-0.494532,0.280308,0.0541084,0.577598,1.01203,0.257644,0.271244,-0.412448,-0.159263,-0.571612,0.377438,-0.49776,0.261137,0.388877,-1.30157,-0.548979,0.0644646,0.762068,0.0838771,-0.18042,-0.836579,-0.159948,-0.418015,0.224713,-0.908442,0.996741,-0.193243,0.395583,-0.471296,0.540018,-1.71494,0.250464,-0.186317,0.0525664,0.254551,-0.0195222,0.485721,0.131623,0.0750591,-1.06576,0.0301475,-0.169422,-0.250026,-0.554758,0.0520008,0.818621,0.663987,-0.127521,0.284017,-0.411414,0.584846,0.720016,0.571659,0.0398814,0.311358,-0.636646,0.504209,-0.385923,-0.129375,-0.0974019,0.728894,0.219678,-0.759207,0.182676,-0.394902,0.105627,0.635475,0.620138,-0.020652,0.218722,-0.0576765
-3794.49,0.996054,0.00928521,9,511,0,3884.68,0.894095,0.330171,-0.25419,-0.51697,0.0537552,0.116576,0.310805,0.549273,-0.908516,-1.00791,-0.805973,0.447266,-0.524404,1.26465,-0.00590592,0.443251,0.26573,0.450459,-1.07608,-1.20284,1.9856,0.203321,-0.368879,0.542561,0.146261,1.39708,-0.110946,-0.0799261,0.546059,-1.4888,-0.304781,-1.60668,-0.684919,-0.0271732,-0.482834,1.08281,-1.35723,1.8568,-1.13572,0.160743,-0.130211,0.550577,0.66141,-0.0123032,-1.79985,0.729801,0.495269,0.473396,-0.898856,0.424759,1.10667,-0.179336,0.759263,-0.435811,1.22769,0.537766,0.594798,-0.0987574,-0.881544,-0.140872,-0.228058,1.62528,-1.32096,0.0663086,0.334167,-2.28311,-1.38717,-0.753209,1.55776,0.842053,-0.461676,-1.29099,0.76683,-0.617566,0.64561,-1.49614,1.34015,0.391414,0.422714,-0.777224,0.790969,-3.71422,0.844083,-1.20062,0.828966,1.09363,0.0501661,0.978104,0.364359,0.143351,-0.780715,0.636423,0.302554,-0.335037,-0.404754,0.693212,0.639383,1.57357,-0.507503,1.53608,-0.162226,1.44541,1.99739,2.4756,-0.401284,0.0297484,-0.905343,2.27123,-0.761199,-0.0333525,0.0203677,1.22463,-0.473228,-0.527381,-0.773129,-0.186186,1.22289,1.14933,0.457218,-0.0713247,-0.223702,-0.576179,0.0753497,1.40388,1.12535,1.43371,1.73273,1.5036,2.65955,1.4971,1.88779,1.83852,2.08789,1.08385,1.21182,2.28487,1.25753,1.20411,1.32087,1.16095,1.94437,1.06929,1.15667,1.49723,0.342183,0.669989,0.202227,0.371732,0.757643,1.01836,1.73828,0.32421,2.08459,0.315036,0.987201,-0.188218,-0.242815,-0.131894,0.556476,0.022764,1.00544,0.307561,0.55427,0.456763,0.558229,-0.280257,-0.349882,1.40144,0.422483,0.10819,0.608818,0.391142,1.07818,0.249865,0.266903,0.61074,-0.506953,0.143397,-0.571702,-0.0654025,0.295879,0.0455971,0.905564,-0.434687,1.33069,-0.313014,0.399096,0.233946,-0.136985,-1.12116,0.271601,0.142473,0.13043,-0.6251,0.103652,0.479095,-0.228949,0.287822,-0.370158,0.545726,0.165871,0.197271,-0.184584,-0.615568,-0.207772,-0.255774,0.764629,-0.857501,-0.0937027,0.0537736,-1.38724,-0.893953,-0.54491,0.727454,0.333404,-0.384399,-0.840997,0.291988,-0.470228,0.225247,-0.953954,0.607643,0.0852927,0.102526,-0.558132,0.305278,-2.17518,0.334522,-0.791242,0.326199,0.471916,-0.10259,0.408311,0.0703971,-0.0512851,-0.560055,0.220189,0.0363685,-0.314675,-0.353059,0.251456,0.221819,0.736163,-0.40963,0.715522,-0.219529,0.665596,0.969509,1.2328,-0.351148,-0.113832,-0.628672,1.12027,-0.549309,-0.148574,-0.118997,0.544044,-0.390759,-0.420575,-0.555878,-0.232721,0.543086,0.502584,0.121523,-0.16948,-0.253376,-0.447442
-3793.76,0.971082,0.00928521,9,511,0,3860.4,0.635074,0.358378,-0.117067,-0.401159,-0.107786,0.308379,-0.113075,0.682873,-1.44678,-1.4577,-1.0602,0.562605,-0.27272,-0.018141,0.274297,-0.120372,-0.503949,-0.110902,-0.743224,-1.32145,1.57604,-0.0284985,-0.562873,0.59367,0.0431781,0.942425,-0.00700964,-1.03211,0.452834,-1.27821,-0.170258,-0.8084,-0.275604,0.640486,-0.938843,0.0229613,-1.23101,1.43108,-1.17055,0.115568,-0.0846517,0.520942,0.932526,0.181046,-1.90166,0.809244,0.397302,0.249304,-0.542254,0.383044,0.72455,-0.447228,0.864698,-0.567884,1.28387,0.45803,0.563978,0.167372,-0.682508,0.149265,-0.233029,1.78651,-0.762079,0.0947546,0.200839,-2.27063,-1.40603,-0.422523,1.48925,0.699493,-0.00345811,-1.28522,0.734615,-0.749341,0.578677,-1.42844,1.33265,0.681552,0.429293,-0.847445,0.636769,-3.27745,0.843306,-1.27573,1.18929,0.59492,0.447958,1.3187,0.546103,0.533167,-0.725282,0.622006,0.249758,-0.401612,-0.402999,0.77773,0.782981,1.4649,-0.544977,1.14113,-0.670307,1.74353,1.99489,2.4416,-0.289614,0.102641,-1.20151,2.12987,-0.815572,-0.0760795,-0.0650604,1.46335,-0.487947,-0.307692,-0.446617,0.0527944,1.09212,1.00807,-0.135507,0.0649494,-0.510389,-0.472516,0.0920451,1.0494,0.707322,1.0321,1.48205,1.11221,2.30063,1.06523,1.55848,1.4061,1.79891,0.644075,0.747092,2.11908,0.907569,0.760209,1.02364,0.746974,1.76942,0.758611,0.531348,1.16849,0.0353728,0.368095,-0.284824,-0.0648278,0.521788,0.747906,1.22952,-0.221173,1.97235,-0.276956,0.688109,-1.10104,-1.1085,-0.837059,0.271113,-0.299308,-0.125463,0.0742345,-0.195274,-0.457209,-0.188808,-0.620603,-1.01546,0.963163,-0.132536,-0.497446,0.292326,-0.0835901,0.530481,-0.117862,-0.817873,0.196153,-0.985929,-0.22934,-0.66511,-0.301278,0.324296,-0.754186,-0.0973956,-0.953702,0.864172,-0.912411,-0.0341569,0.401141,0.00966288,-1.07531,0.336918,0.12232,0.0452213,-0.367135,0.114892,0.292797,-0.317632,0.365806,-0.380486,0.584173,0.153956,0.209149,0.00253934,-0.440199,-0.00689352,-0.206046,0.846019,-0.481651,-0.0352901,0.0199736,-1.26752,-0.817111,-0.304762,0.691161,0.279744,-0.0864532,-0.754178,0.298041,-0.475015,0.216806,-0.828787,0.609584,0.270398,0.138985,-0.526122,0.247068,-1.79201,0.354662,-0.749233,0.534901,0.225267,0.148709,0.602316,0.199836,0.193097,-0.462482,0.239378,0.0454577,-0.293868,-0.294591,0.320501,0.323236,0.678474,-0.368553,0.509811,-0.433843,0.823629,0.954572,1.18728,-0.235524,-0.0311818,-0.710569,1.02489,-0.509518,-0.124285,-0.118544,0.677669,-0.338844,-0.244941,-0.317314,-0.0571489,0.484278,0.440496,-0.155243,-0.0508169,-0.350535,-0.330806
