# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim2_model
# start_datetime = 2022-03-10 16:31:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmkgVm3/standata-1b385db5f28.json
# init = 2 (Default)
# random
#   seed = 475988862
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.0350479
# Diagonal elements of inverse mass matrix:
# 0.273018, 0.111791, 0.105011, 0.101012, 0.0156331, 0.00790461, 0.265798, 0.403543, 0.546381, 0.452085, 0.475494, 0.508744, 0.404789, 0.572362, 0.545713, 0.460102, 0.428525, 0.47294, 0.414655, 0.460225, 0.604245, 0.395555, 0.46737, 0.439816, 0.408055, 0.457683, 0.408613, 0.530276, 0.378982, 0.534813, 0.534076, 0.460745, 0.45662, 0.460684, 0.445411, 0.532738, 0.501965, 0.713229, 0.440278, 0.363524, 0.00400793, 0.0116847, 0.190165, 0.199352, 0.232684, 0.23162, 0.200709, 0.208683, 0.208112, 0.206388, 0.188868, 0.229501, 0.225444, 0.1942, 0.176727, 0.194817, 0.220394, 0.189018, 0.204223, 0.194711, 0.209795, 0.232066, 0.188556, 0.209751, 0.189165, 0.23101, 0.208646, 0.199635, 0.215348, 0.204828, 0.2129, 0.256539, 0.216501, 0.204703, 0.194687, 0.234262, 0.245503, 0.218234, 0.194116, 0.206966, 0.199528, 0.272469, 0.210951, 0.194753, 0.213399, 0.18645, 0.183801, 0.18123, 0.195319, 0.195025, 0.217311, 0.195634, 0.205541, 0.19032, 0.220426, 0.201162, 0.181191, 0.226403, 0.209092, 0.223782, 0.183502, 0.198731, 0.19539, 0.20237, 0.169586, 0.209627, 0.218815, 0.201422, 0.186776, 0.21323, 0.194399, 0.218473, 0.21845, 0.206828, 0.193354, 0.193392, 0.217463, 0.190389, 0.207816, 0.187478, 0.188349, 0.190586, 0.871671, 0.71892, 0.708207, 0.707439, 0.706593, 0.701418, 0.714003, 0.716145, 0.710516, 0.711675, 0.707725, 0.704673, 0.716238, 0.717558, 0.720996, 0.718264, 0.715703, 0.70416, 0.710537, 0.715205, 0.714591, 0.712379, 0.703996, 0.713599, 0.721646, 0.706271, 0.705185, 0.70753, 0.711462, 0.699793, 0.723777, 0.722982, 0.722276
-3856.75,0.961262,0.0350479,7,127,0,3935.31,-0.478597,0.486815,0.182874,-0.0621184,-0.120875,0.0720731,-0.0609141,0.356232,-0.274433,-2.08102,-0.922291,0.0934129,0.569659,1.12548,0.612469,-1.28215,1.15203,0.262974,-0.386676,-0.223308,0.11464,-0.183103,0.320869,-0.647894,-0.637136,1.01554,-1.65597,1.41486,-1.38596,-1.45687,-0.335627,0.0377399,0.424009,-1.55103,0.922904,0.285664,-0.526861,1.91986,-2.1528,-0.24072,0.0205627,0.536067,0.563548,0.209621,-0.634769,1.19836,-0.917484,0.924409,-1.26599,0.440201,1.20278,-0.547835,0.548576,-0.701103,0.528154,0.751985,0.827484,-0.448038,0.377799,-0.874012,-1.03978,1.71423,-1.21431,0.463332,0.625,-2.21823,-0.988981,-0.02794,1.67376,0.521923,-1.08299,-0.931448,-1.37662,-0.255439,-0.00724474,-1.34584,1.80376,0.479334,0.0231147,-0.559455,0.523165,-2.83524,0.268752,0.310194,0.136191,0.379582,-0.0739176,1.05175,0.135612,0.686543,-1.6738,-0.158867,0.780797,-0.980577,0.0806423,-0.941198,0.72537,1.21005,-0.163042,1.37645,-0.921574,0.448967,1.2439,1.12852,-1.35731,-0.134402,-1.27748,0.937986,-0.753888,-0.135766,-0.0770238,1.50011,-0.922545,-0.30254,-0.14286,0.160445,0.821123,0.919521,1.27344,-0.67197,-0.398862,0.127209,0.412254,0.0011406,-0.434865,0.0353646,0.166226,-0.108965,1.09916,0.194693,0.358366,0.421914,0.571994,-0.352052,-0.354237,0.805811,-0.428927,-0.339399,-0.148968,-0.352834,0.49973,-0.553817,-0.444758,-0.0481733,-1.03649,-0.879142,-1.22055,-0.975721,-0.626104,-0.435294,0.117038,-1.16867,0.782908,-1.14589,-0.498146,-0.158676,-0.802242,-0.389464,-0.0276374,0.142017,0.340017,0.157267,-0.517659,0.349478,0.0327657,-0.198661,-0.140464,-0.0200757,-0.126141,0.0533897,-0.291715,-0.287883,0.300853,-0.650826,0.443104,-0.554637,-0.579898,-0.180475,-0.0474699,0.0901318,-0.613442,0.267854,0.0408487,-0.248599,0.623003,-0.82781,-0.146667,0.322662,0.132933,-0.319716,0.662962,-0.471271,0.516108,-0.658093,0.25654,0.665335,-0.273114,0.314636,-0.355276,0.303689,0.423677,0.46415,-0.219616,0.223089,-0.447967,-0.536827,0.939503,-0.63039,0.26894,0.355605,-1.16856,-0.509598,0.00558494,0.91781,0.300348,-0.559995,-0.478756,-0.7174,-0.11637,0.016679,-0.700898,0.987499,0.277518,0.0329537,-0.279343,0.301014,-1.49932,0.164632,0.186848,0.0935702,0.224044,-0.0190621,0.584371,0.0932596,0.388596,-0.876707,-0.0646005,0.439122,-0.505093,0.0637924,-0.483983,0.40941,0.669233,-0.0668386,0.758435,-0.473463,0.261239,0.687378,0.625527,-0.707049,-0.0514857,-0.664252,0.523386,-0.383572,-0.0522171,-0.0207273,0.824722,-0.473984,-0.141619,-0.05602,0.106572,0.46074,0.513488,0.703213,-0.339658,-0.193254,0.0887551
-3874.43,0.992646,0.0350479,7,127,0,3947.86,0.467289,-0.023812,-0.452414,-0.345064,-0.235854,0.111534,-0.584905,0.384299,-0.252362,0.170828,0.840454,-0.106554,-0.436819,0.591531,-1.27523,0.547171,0.0486954,1.137,-0.236324,-3.19672,1.61464,0.28611,0.0661917,0.506833,-1.1503,0.4954,0.54589,-3.38853,0.237634,-1.9894,0.67377,-0.869826,-1.35583,0.148827,-0.540021,0.411974,-1.2949,1.47892,-1.3709,-0.376032,0.0842527,0.486872,0.517195,-0.65503,-1.98987,-0.0509528,-0.0516021,0.321063,-0.688439,0.964215,0.414293,-1.19438,-0.177223,-0.47882,1.58855,1.51133,-0.36457,0.386042,-1.84949,-0.133979,-0.268668,0.407151,-1.40829,0.538495,-0.541411,-2.66321,-2.26759,-0.775238,0.381162,0.184632,-1.12284,-2.62362,-0.924969,-1.3041,-0.0502758,-1.41433,1.6978,-1.85385,1.33502,-0.996857,0.837977,-3.75429,1.01012,-1.32911,-0.472936,0.786718,0.520297,0.53251,0.00639725,-0.217559,-1.29891,-0.0889938,-0.355518,0.252345,-1.16198,0.47135,0.961541,1.64703,-0.561788,-0.0402591,-0.615125,1.74706,1.10371,1.59316,-0.554037,0.692983,-0.690582,1.17455,-0.739967,-0.244099,-0.543232,1.04709,-0.70269,-0.91755,0.111361,-0.548819,0.925197,1.51054,-0.364384,-0.209142,-0.838629,-0.251853,0.39506,0.0167496,-0.326962,-0.0705917,0.315786,0.034933,1.06226,0.246982,0.62594,0.535884,0.668876,-0.386937,-0.49468,1.0302,-0.191214,-0.435722,-0.00618149,-0.192656,0.514169,-0.621843,-0.600977,-0.0770631,-1.04641,-0.975487,-1.4568,-0.945578,-0.307585,-0.419544,0.140368,-1.35078,0.801528,-0.94547,-0.490271,-0.681888,-0.519256,-0.261919,-0.625854,-0.752774,-0.35758,-1.07498,-0.374628,-0.566192,-0.147956,-0.675724,-1.8134,0.0355993,-0.474953,-0.559468,-0.39013,-1.02697,-0.394523,-0.37512,-1.88711,-0.493583,-1.34943,-0.325976,-0.919179,-1.10595,-0.527711,-0.792435,-0.426584,-1.08253,-0.0165558,-1.11174,-0.729414,0.33606,-0.234663,-0.884561,0.0594453,0.0591291,0.240569,-0.250929,0.553702,0.28596,-0.497258,-0.00203196,-0.148871,0.857675,0.820075,-0.0932463,0.272206,-0.816213,0.0190222,-0.0465539,0.282483,-0.601402,0.346431,-0.179345,-1.21239,-1.01977,-0.293189,0.26983,0.174145,-0.462425,-1.19311,-0.366088,-0.550678,0.0597749,-0.604346,0.910863,-0.818333,0.734236,-0.401089,0.49224,-1.7436,0.57605,-0.562852,-0.146006,0.467283,0.337571,0.343517,0.0873674,-0.0216707,-0.548151,0.0409241,-0.0888389,0.207113,-0.481484,0.31374,0.5524,0.886146,-0.189266,0.0646517,-0.215234,0.934846,0.621618,0.859917,-0.185492,0.421647,-0.251972,0.656107,-0.276016,-0.034592,-0.180232,0.594053,-0.257867,-0.362477,0.138471,-0.182952,0.534705,0.819692,-0.0931554,-0.0175726,-0.324052,-0.0383672
-3863.14,0.90816,0.0350479,7,127,0,3931.24,0.291328,0.680149,0.399868,0.0261039,-0.168886,0.153041,-0.0286382,0.282406,0.324463,-1.25423,0.0738149,0.181272,-0.0330125,0.169087,0.611731,0.206214,-0.076514,0.519031,-0.615262,-1.78503,0.655339,-1.39754,-0.293511,1.30306,0.179507,1.14248,-1.49342,-0.754138,0.282719,-0.484473,-0.369303,-1.59668,-0.260706,-0.279349,-0.619565,0.813207,-2.55052,0.317348,-1.079,-1.24226,-0.0494632,0.505012,-0.247386,0.198443,-1.85607,0.256776,0.145772,0.452726,-1.3931,0.831478,-0.180746,0.213038,0.935041,-0.8493,0.840359,1.03512,0.873011,-0.66473,-0.382146,0.0555255,0.225064,1.27596,-1.69868,0.775128,0.442556,-2.08058,-0.89892,-0.757495,1.3624,-0.523374,-1.53034,-1.09106,-0.631872,-1.07303,-0.178796,-1.18523,2.17985,1.18373,1.07376,-0.523709,1.5939,-2.3365,0.861587,-0.944962,0.103079,0.249251,-0.0952421,1.15174,0.754758,0.192108,-1.5926,-0.706256,0.90099,-0.390768,-0.278447,-0.0786534,0.190082,2.23227,-0.716414,0.343988,0.221839,1.12956,1.45873,1.53439,-0.375242,0.856012,-0.810824,1.67847,-0.663355,0.311225,-0.534305,1.15315,-0.186314,-0.0457402,0.430719,-0.132786,1.05355,1.4883,1.17821,0.0194537,-0.407277,-0.499974,0.391636,0.971763,0.63375,0.982479,1.12368,1.0554,2.05315,1.24314,1.48025,1.59802,1.69499,0.530826,0.623578,1.94236,0.700877,0.664592,0.914884,0.689515,1.55941,0.413413,0.479837,0.894275,-0.00803886,0.018923,-0.491379,-0.254632,0.571251,0.347392,1.04135,-0.535306,1.65543,-0.404674,0.331218,0.0629922,-0.382841,-0.00779245,0.022554,-0.0379611,0.0191131,0.144118,0.029598,-0.0502463,0.117939,-0.202392,-0.53274,0.156434,-0.423312,-0.111528,0.339355,0.0220556,0.294004,-0.45039,-0.241611,0.0512032,-0.165456,-0.132932,-0.479551,-0.102263,-0.107528,-0.203607,0.201016,-0.748922,0.0609828,-0.333353,-0.37946,-0.174396,0.050753,-0.986802,0.0802117,0.0241536,0.179169,-0.752997,0.370444,-0.140742,0.0581236,0.422744,-0.47837,0.374928,0.473285,0.391418,-0.38516,-0.242451,-0.0214222,0.0641969,0.594912,-0.907319,0.341986,0.174033,-1.10018,-0.503429,-0.432008,0.638566,-0.313773,-0.822304,-0.60046,-0.368566,-0.591356,-0.139757,-0.648017,1.05139,0.548335,0.492798,-0.313943,0.755478,-1.22942,0.385649,-0.52668,0.00259321,0.0764116,-0.0975616,0.532178,0.331699,0.0475536,-0.853746,-0.406131,0.405548,-0.246806,-0.190082,-0.0891841,0.0465306,1.07786,-0.411261,0.124255,0.0625681,0.52098,0.687215,0.725423,-0.238965,0.382833,-0.45894,0.798186,-0.384466,0.107709,-0.319294,0.532891,-0.143554,-0.0725626,0.168055,-0.116522,0.482594,0.702145,0.545545,-0.0396389,-0.255143,-0.301956
-3841.41,0.987736,0.0350479,7,127,0,3914.36,-0.484931,0.1665,0.244112,0.283965,-0.26539,0.142559,0.545159,0.458158,-1.01917,-0.0779894,-0.413248,0.319431,-0.727461,1.20213,1.36086,0.459714,-0.630586,0.625748,0.313042,-0.059315,1.33066,0.436345,-0.496338,1.66738,0.974106,-0.101006,-0.118177,-1.61433,1.31451,0.214093,-1.26471,-1.42142,-0.579358,1.79622,-0.325157,1.26134,-0.318382,2.28585,-0.096488,-0.105115,0.0885856,0.513687,0.441576,-0.415244,-1.99623,0.378315,-0.0200806,-0.58032,-0.832293,0.691435,-0.356967,-0.418469,0.310705,-0.0420935,0.650238,0.080936,0.400498,-0.779683,-1.21648,-0.390943,-1.1226,0.769563,-1.55645,-0.0333469,-0.0184415,-1.68293,-0.997415,-0.750607,0.183334,-0.370926,-1.27649,-1.72402,-0.76455,-1.3241,0.358109,-2.03382,1.70752,0.124468,-0.272043,-0.746493,0.500679,-2.65065,0.44044,-1.00129,0.0105458,0.538489,-0.310539,1.67608,-0.0169757,-0.467878,-0.562774,-0.255051,-0.156632,-0.237395,-0.578743,-0.226951,0.870376,0.951813,-0.840762,0.325099,-0.255419,1.22177,1.35041,1.02754,-0.47861,-0.148709,-1.39577,0.939413,-1.07032,-0.729727,-0.258496,0.514987,-1.34372,-1.31066,0.369516,-0.0622847,0.533399,1.27456,0.714393,-1.06304,-0.915602,-0.131507,0.553123,0.70197,0.712387,0.986668,1.12209,0.96513,1.93444,1.15025,1.36892,1.53662,1.67552,0.72524,0.502455,1.84888,0.770181,0.640501,0.986958,0.792413,1.36022,0.452862,0.459986,0.972628,-0.0509419,0.0693946,-0.432226,-0.0434311,0.419481,0.501216,1.21173,-0.37036,1.78962,-0.208708,0.546898,0.0782203,0.509428,0.355827,0.691509,0.211867,1.09593,1.16865,0.755781,0.256251,0.83185,0.688582,0.517984,1.15481,0.745074,0.317758,1.30908,0.991453,0.498882,0.491016,-0.19446,1.14741,0.643248,-0.0342796,-0.106076,0.279722,1.36811,0.396186,1.12305,0.39929,1.59244,0.500953,0.497,0.315418,-0.12472,-0.93685,0.282921,0.0782705,-0.209517,-0.338952,0.443766,-0.0947836,-0.126377,0.24819,0.0669627,0.422605,0.130161,0.294316,-0.311927,-0.536302,-0.112237,-0.488079,0.4839,-0.71094,0.0714557,0.0791124,-0.775911,-0.423774,-0.296991,0.182762,-0.101954,-0.567132,-0.797023,-0.304154,-0.591587,0.272542,-0.95616,0.965718,0.152523,-0.0511592,-0.294878,0.345778,-1.27302,0.314834,-0.425766,0.0940028,0.3652,-0.0709341,0.949567,0.0798654,-0.151757,-0.200504,-0.0424307,0.00812603,-0.0333609,-0.208707,-0.0279963,0.535686,0.577519,-0.343303,0.255585,-0.04262,0.716194,0.782273,0.616417,-0.15727,0.0121956,-0.628405,0.571149,-0.461223,-0.286266,-0.0442003,0.353127,-0.601667,-0.584684,0.278401,0.0565908,0.362585,0.743312,0.45556,-0.457486,-0.381747,0.021032
-3867.33,0.968582,0.0350479,7,127,0,3946.08,0.298729,0.255279,-0.0842789,0.150583,-0.270689,0.206388,-0.292601,0.30853,0.16804,-0.344159,-0.642016,1.20574,1.3136,0.375885,1.0197,-0.931603,-0.591154,0.476686,0.427242,-1.59156,1.10284,-1.01707,0.086461,1.21861,-1.17081,1.33749,-0.965987,0.0720152,0.412401,0.677207,-1.9861,-0.455283,0.781243,-1.99518,-2.52695,0.0296919,-0.639699,0.174597,-1.47474,-0.633934,0.0242709,0.459657,0.703538,-0.027563,-1.31196,0.240996,-0.500474,0.0559158,-0.79795,0.402046,0.328242,-0.925488,-0.361011,-0.600085,1.93161,0.708621,0.053415,-0.00121658,-0.749351,-0.124892,0.101755,0.42578,-0.776803,0.366898,0.195897,-3.05821,-1.48675,-1.40577,1.54167,0.180972,-0.871874,-1.80218,0.099414,-1.07337,-1.10128,-1.70075,2.17313,-0.97419,0.209851,-0.719584,0.689313,-2.0186,0.415429,-0.999969,-0.0186653,1.17944,-0.0294089,0.893914,0.684298,0.616545,-1.75982,0.997597,0.162889,-0.696029,-0.909398,-0.0561546,0.175213,1.23929,-0.402059,1.55296,-1.05701,1.43147,2.17184,1.31879,-1.49517,0.649399,-0.671204,0.883786,-0.0637036,0.308264,-0.157779,2.04661,-0.333466,-0.362662,-0.160664,-0.689003,0.874325,1.09013,-0.0707937,-0.283735,0.140728,-1.07776,0.393726,0.848784,0.541071,0.750219,1.18042,0.744833,1.84718,1.06838,1.08588,1.18226,1.6116,0.471454,0.402548,1.81197,0.52292,0.549698,0.789205,0.493252,1.37339,0.267183,0.124394,0.769326,-0.281547,-0.263143,-0.697204,-0.295633,0.166226,0.263653,0.892237,-0.603956,1.50965,-0.438296,0.263414,-0.240756,-0.398785,-0.490682,0.0794047,0.112684,-0.17663,0.0220066,-0.580029,-0.47499,-0.14553,-0.160785,-0.783645,0.0476575,-0.606398,-0.265926,0.0833769,-0.653831,0.120053,-0.590637,-0.270382,-0.165363,-0.0836627,-0.905374,-0.43307,-0.0515646,-0.908173,-1.07224,-0.28344,-0.489968,-0.238733,-0.747604,-0.488189,0.347657,0.0116013,-0.578779,0.135047,-0.205775,0.049973,-0.342513,0.209074,0.17515,-0.401136,-0.14167,-0.251562,0.912149,0.349994,0.0488235,0.0237117,-0.320174,-0.0331366,0.0710433,0.219984,-0.332792,0.192918,0.114317,-1.38146,-0.659125,-0.621903,0.732909,0.107456,-0.376493,-0.804113,0.0699673,-0.469112,-0.481941,-0.757489,1.02316,-0.423523,0.12073,-0.306491,0.341119,-0.903591,0.215226,-0.435372,0.0156913,0.566409,0.0107529,0.435165,0.338813,0.30767,-0.784644,0.482824,0.0991442,-0.295664,-0.393741,-0.00154097,0.104809,0.59392,-0.160539,0.738101,-0.461591,0.682255,1.02257,0.63046,-0.662993,0.322772,-0.284253,0.43051,-0.00501091,0.165967,-0.0482533,0.965011,-0.129009,-0.142429,-0.0495793,-0.292435,0.426161,0.525358,-0.00826996,-0.10615,0.0889575,-0.471128
-3860.43,0.977823,0.0350479,7,127,0,3934.69,-0.172708,-0.0124878,0.182538,0.156452,-0.5161,0.136003,0.244026,0.391351,-1.38274,-1.59177,0.953418,0.408759,0.382236,1.11806,2.05915,0.33319,-0.502023,2.26786,-0.269444,0.0395942,0.381579,-0.194869,1.49405,1.71819,0.164424,1.18029,0.0235934,-1.93117,0.18889,-0.0804545,-1.54782,0.308642,-1.45903,1.57454,0.740437,1.111,0.117024,1.93179,-0.703173,-0.688014,-0.0192082,0.449275,0.604436,0.307056,-1.88878,1.15813,0.292311,-0.397112,-1.5066,0.679514,1.31828,-1.29082,1.05528,-0.66516,1.7992,0.67446,0.755813,-0.32484,-0.715532,-0.134405,-1.6203,1.09751,-1.57458,0.462148,-0.159798,-2.0074,-0.5644,0.629354,0.803735,0.589313,-1.59124,-2.15792,-0.631899,-0.434673,0.139448,-1.12384,3.09916,0.126513,1.0741,-0.360674,1.06047,-2.54852,1.4214,-0.853055,0.423421,0.323297,0.223227,0.594532,-0.212776,1.1187,-1.14077,0.642028,1.11728,-0.320844,-2.02742,0.412562,0.496057,1.42323,-0.450796,0.65174,-0.103141,1.18492,1.82919,2.17413,-0.25717,-0.27442,-1.11795,2.4725,-0.607554,0.230672,-0.483168,-0.0599233,-0.370523,-0.965057,-0.203494,-0.606529,1.40103,1.12359,1.33733,-0.850902,-1.66491,-0.693622,0.277079,0.811053,0.543854,0.86752,1.15001,0.830278,1.97932,1.27143,1.14339,1.307,1.63014,0.545521,0.454383,1.67525,0.558822,0.609373,0.858101,0.589842,1.3876,0.351656,0.111661,0.744094,-0.362457,-0.151504,-0.436249,-0.239867,0.485032,0.451801,0.887241,-0.394191,1.58932,-0.389383,0.39828,-0.297111,-0.378916,0.617148,0.403995,0.393615,0.681579,1.04988,0.374421,0.0475589,1.13156,0.138579,0.259522,0.393358,0.167764,0.828725,0.916442,0.308374,0.705936,0.25326,-0.511741,0.317949,0.21254,-0.361714,0.364814,-0.326969,0.860226,0.533797,0.678816,0.289824,1.00004,-0.0311616,-0.0252289,0.25235,0.118745,-0.867788,0.50111,0.11212,-0.197621,-0.696084,0.286081,0.573063,-0.599142,0.454904,-0.318048,0.789127,0.28381,0.32036,-0.165151,-0.340679,-0.0795931,-0.747167,0.473874,-0.72663,0.188424,-0.0910014,-0.921083,-0.272779,0.263545,0.34189,0.245556,-0.734112,-0.988708,-0.303105,-0.214496,0.0434421,-0.524121,1.37317,0.0376308,0.463357,-0.18125,0.457235,-1.16419,0.619393,-0.402465,0.171024,0.126041,0.081082,0.2479,-0.114803,0.483398,-0.531728,0.269239,0.482756,-0.163356,-0.930078,0.166146,0.203658,0.620214,-0.22174,0.273602,-0.0655467,0.513147,0.8026,0.957576,-0.134748,-0.142498,-0.521473,1.09162,-0.292167,0.0844267,-0.236283,-0.0461303,-0.185675,-0.452784,-0.110633,-0.291707,0.61024,0.485593,0.58162,-0.401497,-0.767212,-0.330836
