# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim2_re_model
# start_datetime = 2022-03-11 09:50:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpIt8rtp/standata-3d743d772be3.json
# init = 2 (Default)
# random
#   seed = 2145659743
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10
# Adaptation terminated
# Step size = 0.0446615
# Diagonal elements of inverse mass matrix:
# 0.237611, 0.120138, 0.110716, 0.108066, 0.0163544, 0.00675137, 0.249797, 0.0173332, 0.238071, 0.151427, 0.157933, 0.227563, 0.16122, 0.21895, 0.264898, 0.206063, 0.135799, 0.146889, 0.151344, 0.184667, 0.182997, 0.134378, 0.22828, 0.199624, 0.161506, 0.174971, 0.147538, 0.202377, 0.130822, 0.173788, 0.239842, 0.234564, 0.149361, 0.224856, 0.22253, 0.249893, 0.172896, 0.225395, 0.149046, 0.14439, 0.123363, 0.0101056, 0.23316, 0.200162, 0.218754, 0.229696, 0.195907, 0.201293, 0.218858, 0.205344, 0.20291, 0.202601, 0.218, 0.200091, 0.19532, 0.236639, 0.187122, 0.195611, 0.205465, 0.226295, 0.211284, 0.201884, 0.202363, 0.201867, 0.189845, 0.215237, 0.209938, 0.20735, 0.212356, 0.213649, 0.211937, 0.232065, 0.199293, 0.215177, 0.202667, 0.232556, 0.240272, 0.193961, 0.201459, 0.200757, 0.185764, 0.283503, 0.202652, 0.212526, 0.214631, 0.192451, 0.231935, 0.213963, 0.197433, 0.188119, 0.200534, 0.179098, 0.190275, 0.188165, 0.209104, 0.197651, 0.204227, 0.213376, 0.198356, 0.173881, 0.225589, 0.221211, 0.213153, 0.208141, 0.197696, 0.22897, 0.215087, 0.223924, 0.207541, 0.226873, 0.20759, 0.203826, 0.228069, 0.214174, 0.208087, 0.200054, 0.209198, 0.208158, 0.232017, 0.214827, 0.183299, 0.196521, 0.122192, 1.12169, 0.769932, 0.792192, 0.803811, 0.859799, 0.803653, 0.809586, 0.835813, 0.842915, 0.815275, 0.776158
-3896.14,0.983836,0.0446615,7,127,0,3956.41,0.0781605,-0.417208,-0.577063,-0.750101,-0.10274,0.27555,0.295389,0.522194,-1.33499,-1.21821,-0.772943,1.55443,-0.0363197,0.912596,1.44367,0.767697,0.432987,1.1529,-0.204014,-1.39006,1.79214,0.0487273,-0.613362,0.751368,0.252586,1.43288,-0.0367454,-1.5005,0.192315,-1.51226,-1.04825,-1.66438,-1.36673,0.594889,-0.86244,-0.00444701,-1.34022,2.0455,-1.75775,0.0299615,0.0886003,0.497669,1.87557,0.0472181,-1.27608,1.76323,-0.0385745,0.0783264,-0.425006,0.381913,1.11904,-1.04397,0.840957,-0.642965,1.09269,0.345554,0.558973,-0.176938,-1.36494,0.340693,-0.811224,1.90616,-0.380622,0.556717,-0.102494,-2.23354,-1.50678,0.0547477,1.46697,1.18293,-0.973339,-2.18434,-1.61921,-1.13829,0.353727,-2.1094,1.82218,-0.680417,0.260232,-0.153003,0.266065,-3.06897,-0.116069,-1.00357,0.200611,1.29162,-0.403724,1.35107,1.01653,0.931697,-0.934435,0.39012,0.682486,-0.573767,-0.551813,0.560929,1.38933,1.56694,0.340676,1.10751,-0.00147171,2.5142,0.810692,1.30418,-0.374914,0.167588,-0.811901,1.95802,-0.408457,-0.368926,-0.00926557,1.17736,-1.25903,-0.73109,-0.0569694,-1.58042,0.922117,1.18354,0.764071,0.422127,-0.330876,0.398267,-0.150352,0.0346344,0.409585,-0.889002,-0.361484,-0.3465,1.88074,2.67281,2.22886,-0.956516,0.938638,2.03001,0.299607,0.00551057,0.404743,0.914822,0.229931,1.65256,0.718852,1.13463,1.0847,1.47319,0.171663,0.0448145,1.29625,0.339807,0.144043,0.343269,0.225127,1.13795,0.0154379,-0.126669,0.42316,-0.529746,-0.589526,-1.16661,-0.87304,-0.094943,0.183462,0.6022,-0.679918,1.47665,-0.847723,0.194642,-0.401736,-0.340751,-0.108237,1.1071,0.276423,0.771941,1.04927,0.696276,0.521492,0.897426,0.188854,-0.430493,1.23123,0.320834,-0.0249052,0.687749,0.427288,1.04363,0.276201,-0.488165,0.395815,-0.494304,-0.251999,-0.573743,-0.41831,0.606036,-0.154972,0.293067,-0.404464,1.36354,-0.622499,0.311035,1.02201,0.112099,-0.546463,0.966106,0.069403,0.127581,-0.122912,0.278666,0.645512,-0.430949,0.507118,-0.231383,0.632397,0.260572,0.366784,0.000543586,-0.590688,0.258153,-0.31512,1.03724,-0.100824,0.365661,0.0375921,-1.02296,-0.661277,0.115847,0.818665,0.677309,-0.3958,-0.998477,-0.717232,-0.47789,0.264639,-0.961184,0.995442,-0.250022,0.21811,0.0124555,0.221012,-1.43873,0.0308362,-0.410847,0.188438,0.7314,-0.11232,0.760986,0.594494,0.552277,-0.376439,0.282751,0.428252,-0.196946,-0.18602,0.367757,0.780028,0.868418,0.258144,0.639774,0.0878679,1.33984,0.492057,0.73765,-0.0979828,0.172003,-0.315457,1.06304,-0.114676,-0.0950026,0.0839891,0.674534,-0.53798,-0.27524,0.0602484,-0.697924,0.547509,0.67761,0.468855,0.29868,-0.0760663,0.286806,-0.136167,-0.181143,-0.162872,-0.162353,-0.0852143,-0.0577812,-0.0731573,-0.183481,-0.117843,-0.0800442
-3898.59,0.900283,0.0446615,7,127,0,3977.66,0.120807,-0.421626,-0.148742,-0.36434,-0.343496,0.181608,0.310091,0.483787,-1.37907,-0.836296,0.260448,1.00702,0.438504,1.38426,1.70053,0.328177,0.619481,1.45656,0.228162,-0.265431,1.18206,-0.176487,0.232168,0.990773,-0.329435,1.23729,-0.605644,-1.5392,0.0616751,-1.11621,-1.31606,-0.834667,-1.27633,0.262124,0.00793633,0.935372,-0.920799,2.46417,-1.85302,0.200462,0.662947,0.420053,1.58352,-0.0110675,-1.25086,1.5539,0.00619449,-0.0039921,-0.561099,0.303675,1.04321,-1.05973,0.762653,-0.659183,0.999119,-0.136729,0.596824,-0.105619,-1.35042,0.242508,-0.571899,1.97522,-0.331208,0.499702,-0.0205492,-2.17099,-1.79099,0.0541653,1.27146,1.09349,-1.06101,-2.24586,-1.63001,-1.31597,0.231601,-1.97418,1.86063,-0.721763,0.13587,-0.139004,0.197503,-2.92015,-0.0743234,-1.12871,0.160674,1.29053,-0.155942,1.24355,1.07691,0.925636,-0.934025,0.20933,0.677351,-0.612422,-0.37798,0.607184,1.39698,1.73438,0.435526,0.792407,-0.198027,2.5673,0.837194,1.24815,-0.397105,0.11722,-0.90383,1.77305,-0.479807,-0.524619,-0.04483,1.23538,-1.19444,-0.730636,-0.103197,-1.72527,0.946166,0.926152,0.650293,0.462533,-0.270567,0.525491,-0.757195,0.045845,-0.133615,-1.31368,-0.73026,-0.91933,1.46189,2.51926,1.89978,-1.19731,0.586325,1.2209,0.601524,0.416605,0.764942,0.987142,0.459877,1.79812,0.860831,1.28784,1.10657,1.55353,0.456079,0.384576,1.2601,0.448908,0.408379,0.538117,0.375236,1.38478,0.0456846,0.195169,0.592117,-0.187647,-0.191725,-0.812509,-0.564357,0.0962824,0.489823,0.840542,-0.532624,1.66444,-0.815683,0.541625,-0.357086,-0.0944975,0.436093,0.797273,0.522234,0.97978,1.13279,0.468859,0.609788,1.01476,0.420473,0.181679,0.881956,0.224709,0.422411,0.789415,0.150715,0.908674,0.0170887,-0.434553,0.339929,-0.229916,-0.3266,-0.0937094,-0.307381,0.436904,0.313931,0.762612,-0.135379,1.50222,-0.586374,0.407072,1.32811,0.658298,0.137519,1.31567,0.665549,0.66127,0.427255,0.790506,1.10115,0.217804,0.983301,0.386055,1.08263,0.605513,0.913644,0.618581,0.0956984,0.764813,0.422719,1.49264,0.523822,0.872848,0.654315,-0.248985,-0.0893625,0.685699,1.19703,1.12227,0.217266,-0.280434,-0.0217422,0.11017,0.760231,-0.166314,1.44451,0.359768,0.720019,0.604557,0.745908,-0.56367,0.631727,0.188829,0.730438,1.20504,0.597443,1.1853,1.1153,1.05176,0.270607,0.750876,0.94747,0.405697,0.504175,0.917996,1.24975,1.39148,0.84589,0.995799,0.579765,1.74135,1.01461,1.18724,0.496141,0.712185,0.28329,1.40772,0.461402,0.442579,0.644116,1.18187,0.161219,0.356041,0.619598,-0.0617592,1.06039,1.05198,0.936104,0.857235,0.549294,0.88368,-0.763321,-0.817421,-0.790674,-0.799342,-0.690175,-0.6417,-0.6701,-0.812086,-0.730315,-0.701223
-3877.44,0.765431,0.0446615,6,127,0,3948.65,-0.0410491,-0.00171548,0.030429,-0.232178,-0.301022,0.125542,0.0306961,0.513769,-1.51882,-1.05899,-0.23345,0.0862842,0.0492368,2.24888,0.647996,-0.340379,0.672152,0.689966,-0.465123,-0.53506,1.96218,-0.342332,0.266578,0.603119,-0.224781,0.947286,-0.390185,-1.24222,0.51223,-1.19326,-1.11049,-0.780873,-0.89848,0.118106,-0.106111,0.849654,-1.13218,2.04758,-0.627362,-0.126687,-0.274685,0.506037,-0.00905266,0.664762,0.044659,0.345561,0.798576,0.125623,-0.570822,0.911788,1.88107,-0.337231,0.162065,-0.151425,1.22765,0.667418,0.483874,-0.264447,-0.58915,-0.133298,-0.799841,1.61443,-0.735712,0.706105,-0.741801,-1.60945,-1.3453,-0.58268,0.971455,0.215486,-0.161964,-2.02247,-0.154596,-0.525315,0.416858,-1.57194,2.10507,0.357061,-0.0375501,-0.730186,0.781161,-3.81706,1.09314,-0.468093,1.01201,0.882795,-0.760955,1.06123,-0.261554,0.394564,-0.900563,-0.138528,0.250051,0.460662,-0.0983304,-0.398935,0.502868,0.946963,-0.33116,1.03588,-0.940945,0.669482,1.28467,0.755239,-0.509276,0.815023,-0.859304,0.910201,-0.429003,0.0610341,-0.706476,1.79705,-0.600144,-0.427084,-0.356051,-0.278979,1.2383,0.981737,0.975058,-0.501709,-0.397655,-0.320494,0.300772,0.0124172,0.992897,0.654298,0.625932,0.600011,-0.461838,0.0551184,-1.56351,0.80423,0.596517,0.481345,0.210476,0.0881615,0.31897,0.462275,0.188593,1.98967,0.346147,0.727173,0.931411,0.977356,0.0101802,0.0536345,1.31683,-0.00206637,0.0683889,0.100587,0.09222,0.881255,-0.164458,-0.142631,0.461509,-0.598679,-0.515059,-1.09383,-0.749533,-0.266935,-0.0639247,0.341269,-1.02614,1.0642,-0.619604,-0.0435037,-0.749626,-0.513379,-0.0892433,0.0750262,0.0559924,1.1861,0.363617,-0.14418,0.376027,0.385179,-0.20827,-0.244201,1.0388,-0.145183,0.167656,0.34056,-0.0847896,0.517383,-0.169769,-0.607518,0.293864,-0.582362,-0.53984,-0.370492,-0.430915,0.0913753,-0.0238203,0.467222,-0.550985,1.08268,-0.291623,-0.0343917,-0.279266,0.0617094,-0.252086,-0.0998184,0.129424,-0.211115,-0.563542,0.186714,0.677205,-0.445336,-0.192674,-0.351311,0.34655,0.0630534,-0.0298265,-0.408505,-0.572816,-0.342139,-0.679434,0.542278,-0.646982,0.0826305,-0.650063,-1.08913,-0.955458,-0.569542,0.216907,-0.165641,-0.356644,-1.29813,-0.352916,-0.540513,-0.0637391,-1.07015,0.79056,-0.0939986,-0.293686,-0.644186,0.120611,-2.20626,0.278485,-0.511557,0.237432,0.172042,-0.659756,0.262335,-0.407041,-0.0750206,-0.730403,-0.344785,-0.14815,-0.0415728,-0.324444,-0.476561,-0.0202148,0.204513,-0.442264,0.249508,-0.750838,0.0640976,0.375406,0.107494,-0.532397,0.137747,-0.709524,0.18591,-0.491776,-0.243799,-0.632187,0.634691,-0.57838,-0.490805,-0.45486,-0.415859,0.351939,0.222111,0.218731,-0.528568,-0.475913,-0.436866,0.313101,0.308896,0.308544,0.308222,0.295037,0.301456,0.281357,0.310758,0.308179,0.306749
-3880.55,0.86657,0.0446615,7,127,0,3953.05,-0.182538,0.199329,0.0923205,-0.200374,-0.276387,0.0177481,-0.415651,0.472836,-1.59637,-2.2233,-0.0976798,-0.0853085,-0.0957696,1.52964,0.518561,-0.259932,0.349662,1.09433,-1.30394,-0.914982,1.56472,0.0860251,0.902341,1.08347,-0.34668,1.32985,-0.863593,-1.141,0.45609,-1.62781,-1.14523,-0.946107,-0.950096,0.236716,0.842165,2.05488,-0.951394,2.74419,-1.26798,0.303717,0.678614,0.501926,0.349684,0.361417,0.013836,0.665431,0.450464,-0.419989,-0.985631,1.26681,1.98338,-0.222889,0.422948,-0.266906,0.803644,0.773271,0.582056,-0.612217,-1.08591,0.0445177,-0.825167,1.73866,-0.440243,0.928158,-0.292958,-1.66145,-1.56495,-0.290175,1.04676,-0.0499246,-0.0809433,-1.84057,-0.31449,-0.335847,0.921607,-1.47244,2.04284,0.540654,-0.00447725,-0.516063,0.810663,-3.91849,0.905078,-0.632397,1.31344,0.892405,-0.77334,0.828946,-0.248664,0.675702,-1.10829,0.178363,-0.478375,0.616629,0.0110867,-0.267075,0.904051,0.686697,-0.443193,1.10986,-1.038,0.96548,1.34829,1.18092,-0.672983,0.760536,-0.560515,0.844762,-0.734647,0.224157,-0.680126,1.60988,-0.564624,-0.489663,-0.80273,-0.208615,1.02178,1.4234,0.841914,-0.650322,-0.279697,-0.545903,-0.823734,0.149004,-0.164134,0.822325,0.0273207,-0.589983,-0.692615,-0.292544,0.434149,-0.0865191,0.242141,0.51551,-0.525447,-1.05358,-0.323535,-0.0443753,-0.380649,0.711401,-0.130441,0.122502,0.0231101,0.408999,-0.873093,-0.81133,0.303967,-0.519077,-0.45316,-0.301666,-0.595037,0.271738,-0.997099,-0.901344,-0.321576,-1.47582,-1.16397,-1.75671,-1.387,-0.764754,-0.576392,-0.0818017,-1.62885,0.440331,-1.64342,-0.607494,-1.17047,-1.46691,-0.461837,-0.455988,-0.460934,0.30762,-0.170457,-0.538556,-0.250318,0.101789,-1.0322,-0.848287,0.324203,-0.374975,0.0110084,0.0966543,-0.579574,0.213151,-0.823989,-0.955159,-0.199995,-1.18534,-0.957157,-0.863004,-0.86489,-0.303723,-0.0174453,0.555969,-0.865504,0.8819,-1.0152,-0.272042,0.854129,0.860019,0.685559,1.01261,0.904714,0.467811,0.183901,1.31446,1.67412,0.566741,0.890903,0.544647,1.08198,1.06674,0.970763,0.371327,0.133568,0.700959,0.264442,1.55129,0.457645,1.14448,0.531571,-0.155309,-0.106873,0.532968,1.20401,0.653556,0.637987,-0.245214,0.520764,0.510044,1.14119,-0.0604418,1.70397,0.949982,0.676367,0.419589,1.08551,-1.28817,1.1329,0.361198,1.33786,1.12654,0.290455,1.09468,0.553804,1.01777,0.122335,0.768139,0.438506,0.988116,0.684179,0.544563,1.13238,1.02328,0.456164,1.23568,0.157613,1.16321,1.35535,1.27135,0.340827,1.06035,0.397277,1.10262,0.309876,0.791124,0.337241,1.48665,0.395215,0.43284,0.275703,0.573905,1.19147,1.39305,1.10119,0.352201,0.538227,0.404611,-0.848191,-0.701204,-0.819664,-0.911644,-0.926937,-0.867325,-0.759044,-0.836626,-0.787654,-0.746921
-3872.37,0.862268,0.0446615,6,127,0,3931.47,0.418654,0.184939,0.212461,-0.297845,-0.0657679,0.243271,0.172843,0.564575,-1.02394,-0.140501,-0.644127,0.980711,0.521278,1.04415,1.01828,0.247286,0.63294,0.716442,-0.31109,-0.920401,1.92179,-0.393841,-0.752454,0.383203,0.0689866,0.923431,-0.239759,-1.2697,0.157982,-1.45248,-0.256902,-0.69308,-0.192007,1.2061,-0.294304,0.123889,-0.871267,2.10092,-0.906224,0.320752,-0.225229,0.54912,-0.326513,-0.267678,-1.4724,0.662381,0.0908531,0.950336,-0.530925,0.835382,0.169463,-0.548759,-0.078773,-0.366231,1.91814,0.719118,-0.0382354,0.056444,-0.322856,0.0644624,-0.580066,0.776249,-0.900953,0.496049,0.104688,-1.68804,-1.10817,0.0938479,1.94398,0.76561,-0.315895,-2.01242,0.243591,-0.730291,0.230979,-1.51445,0.982929,0.253809,-0.332363,-0.595117,1.2601,-2.9995,0.102039,-0.477156,0.766864,0.757104,0.609266,1.71036,-0.44073,0.855615,-0.790391,-0.429435,-0.062115,-0.0424209,-0.809901,0.92273,1.86807,0.250779,-0.618401,0.778995,-0.864566,1.03937,1.071,1.42755,-0.415726,0.454831,-0.801763,1.0475,-0.456922,-0.282688,0.36512,0.932657,-1.09535,-1.43572,-0.117506,-0.363407,0.915726,1.6936,0.547684,-0.82281,-0.191673,-0.114327,0.158821,0.0206904,-0.913021,1.03663,0.0220245,-0.893917,0.170445,1.64892,-0.671755,-0.512868,0.523885,-0.726308,1.06498,1.26957,1.15884,1.42407,1.32489,2.41422,1.35686,1.54745,1.91199,1.96717,0.873715,0.978744,2.3837,1.04688,1.0073,1.18604,1.09974,1.83881,0.887919,0.838535,1.36378,0.414366,0.429564,0.0198593,0.391176,0.955998,1.0418,1.25914,0.189326,2.18297,0.201744,0.964131,-0.405249,0.0935196,-0.190815,0.726527,0.467143,0.762346,0.747736,0.312454,0.530184,0.577327,-0.00279084,-0.346792,1.25783,-0.0495099,-0.251974,0.389189,0.211791,0.694189,0.0374809,-0.543998,0.262035,-0.647189,0.0278025,-0.218453,0.0644407,0.853777,0.00668605,0.242787,-0.319052,1.35897,-0.338788,0.353931,-0.404524,-0.372217,-1.03375,0.138497,-0.17534,0.296619,-0.516771,0.233496,-0.132174,-0.526564,-0.268485,-0.426334,0.828059,0.169653,-0.246225,-0.194235,-0.402516,-0.189832,-0.543756,0.201024,-0.719961,0.0471611,-0.167743,-1.15217,-0.83375,-0.173696,0.842251,0.195182,-0.398694,-1.33029,-0.0914687,-0.626247,-0.098394,-1.05684,0.314516,-0.0858578,-0.407737,-0.55202,0.466715,-1.87231,-0.169198,-0.487245,0.195871,0.190511,0.109331,0.713965,-0.467243,0.244606,-0.659249,-0.461041,-0.259338,-0.248524,-0.669962,0.28146,0.800565,-0.0875218,-0.564806,0.202533,-0.69998,0.34551,0.362876,0.558669,-0.453513,0.0245274,-0.665493,0.349972,-0.476135,-0.380459,-0.0247347,0.286912,-0.826706,-1.01361,-0.289754,-0.424784,0.277614,0.704759,0.0755148,-0.677051,-0.330481,-0.288008,0.13993,0.18027,0.159277,0.140326,0.162348,0.192938,0.144922,0.14821,0.169661,0.143794
-3880.76,0.999798,0.0446615,7,127,0,3956.34,-0.155379,-0.231115,-0.283422,-0.383046,-0.292541,0.340179,0.248545,0.499787,-1.43871,-1.25284,-0.707716,1.50323,0.85636,0.455986,1.85981,-0.15609,0.226915,0.525958,-0.264777,-0.861075,1.89874,-0.126414,0.0906081,1.96887,0.22082,1.29799,-0.0144859,-1.47306,0.447277,-1.25244,-0.689484,-0.360327,-0.346053,0.814956,-1.19981,0.470758,-1.00711,1.43941,-1.22611,-0.104624,0.107395,0.490929,0.248149,-0.433407,-1.8355,-0.14559,-0.17075,0.0593151,-1.46918,0.547884,-0.0677942,-0.303267,-0.391307,-1.23994,1.9497,1.02844,-0.210298,0.118109,-0.969594,-0.945485,-0.342919,0.815637,-1.07509,0.310137,-1.07015,-2.02813,-1.19125,0.299428,1.72907,0.654835,-1.21814,-2.1827,-0.203306,-1.28227,-0.805946,-2.11343,1.45581,-0.10562,-0.433024,-0.523798,1.45867,-2.75088,-0.713965,-1.37652,0.18248,0.695867,0.350241,1.0987,-0.382868,0.173997,-0.847272,-0.156761,-0.14109,-0.530967,-1.15371,1.1953,1.70125,0.496411,-0.770475,0.384806,-0.121334,1.06226,0.979851,1.01886,-0.745449,0.457557,-1.32454,1.28877,-1.1217,0.142172,0.0749455,0.505994,-1.19107,-1.65618,0.636817,-0.580794,0.298446,1.37268,0.436021,-0.705851,-0.128498,0.354633,-0.0242851,0.0230325,-1.50496,1.02263,0.434944,-0.279017,-0.634796,1.96235,-0.904999,0.844875,-0.0128015,-0.830734,0.772135,0.298394,0.601137,1.03125,0.678647,1.78513,0.816141,1.10875,1.21128,1.39649,0.201748,0.417222,1.47557,0.332317,0.423402,0.789041,0.320624,1.25875,0.0361598,0.190156,0.642878,-0.385396,-0.126691,-0.689219,-0.288771,0.0347388,0.209719,0.961218,-0.553108,1.33161,-0.519538,0.350851,-0.470503,-0.377611,-0.105162,0.999842,0.676543,0.476441,1.17805,0.170533,0.361954,0.511412,0.116213,-0.181809,1.19751,0.185365,0.29383,1.23256,0.358908,0.897263,0.241305,-0.487674,0.472088,-0.377406,-0.0960503,0.0684582,0.075592,0.65585,-0.351106,0.483824,-0.254795,0.967945,-0.364249,0.196255,0.229219,-0.105378,-0.793706,0.0359202,0.0235685,0.136514,-0.613869,0.376367,0.0741126,-0.0414878,-0.0847093,-0.501327,1.06456,0.612286,0.00415317,0.165378,-0.368607,-0.356772,-0.0609544,0.507815,-0.420397,0.25965,-0.417973,-0.888275,-0.477426,0.254393,0.956246,0.428873,-0.490627,-0.964155,0.00758597,-0.522111,-0.288268,-0.930152,0.822094,0.0555426,-0.10519,-0.149753,0.8235,-1.24309,-0.243112,-0.568381,0.196979,0.449016,0.279339,0.646779,-0.0805663,0.192815,-0.308556,0.0304364,0.0381296,-0.153272,-0.458995,0.694203,0.94259,0.351097,-0.270854,0.296307,0.0478285,0.628888,0.588432,0.607583,-0.258568,0.332023,-0.542859,0.74009,-0.443279,0.177191,0.144188,0.355802,-0.477337,-0.705671,0.420027,-0.177734,0.253911,0.781284,0.32145,-0.239128,0.0443112,0.281494,-0.0589481,-0.000731395,-0.0142673,-0.0307116,-0.0389061,0.0209125,-0.0451295,-0.00482558,-0.02458,-0.043419
