# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim2_re_model
# start_datetime = 2022-03-11 09:50:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpIt8rtp/standata-3d743d772be3.json
# init = 2 (Default)
# random
#   seed = 2145659743
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2_re-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim2_re-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10
# Adaptation terminated
# Step size = 0.0502388
# Diagonal elements of inverse mass matrix:
# 0.251334, 0.116079, 0.116155, 0.108251, 0.0150318, 0.00749379, 0.267945, 0.0210422, 0.241955, 0.151147, 0.153683, 0.23291, 0.179024, 0.223215, 0.283252, 0.199271, 0.146086, 0.149453, 0.15558, 0.191526, 0.195287, 0.135661, 0.263054, 0.20818, 0.151298, 0.173523, 0.160443, 0.220707, 0.138935, 0.189426, 0.201681, 0.243607, 0.146445, 0.231821, 0.202869, 0.24263, 0.178089, 0.230085, 0.14022, 0.133737, 0.131815, 0.0103884, 0.201259, 0.203435, 0.227349, 0.220619, 0.217149, 0.177651, 0.196948, 0.207831, 0.211597, 0.206829, 0.232996, 0.198119, 0.189581, 0.206586, 0.195672, 0.201632, 0.177794, 0.210396, 0.217784, 0.215027, 0.22505, 0.211107, 0.205928, 0.222667, 0.216532, 0.202864, 0.206054, 0.181822, 0.221022, 0.207267, 0.222767, 0.225257, 0.188987, 0.249787, 0.223784, 0.20602, 0.229332, 0.214147, 0.224034, 0.309813, 0.202268, 0.201676, 0.22894, 0.238719, 0.186657, 0.195468, 0.193128, 0.222535, 0.201933, 0.204329, 0.235828, 0.227537, 0.217144, 0.201659, 0.207054, 0.20424, 0.182669, 0.23395, 0.215703, 0.193736, 0.230549, 0.241388, 0.195951, 0.192366, 0.21122, 0.201466, 0.202579, 0.227261, 0.228966, 0.218922, 0.205013, 0.20652, 0.204852, 0.199877, 0.229988, 0.22497, 0.227249, 0.21844, 0.209096, 0.214642, 0.13268, 1.14531, 0.840029, 0.727129, 0.765271, 0.800406, 0.807308, 0.832552, 0.9204, 0.838614, 0.751725, 0.767487
-3859.7,0.756592,0.0502388,6,63,0,3918.71,-0.319177,0.492355,0.0856706,-0.0147752,-0.196951,0.288096,-0.179521,0.548124,-1.78877,-1.51491,-0.656293,1.01168,0.451286,0.661958,1.23194,0.08214,-0.215683,0.540476,-0.238808,-1.61436,2.45087,0.440494,0.1166,1.85866,0.726573,1.76368,0.159131,-0.721961,0.654062,-1.04939,-0.505732,-0.529222,-0.41011,0.905984,-0.274555,0.6421,-0.714864,2.09155,-1.08064,-0.0481113,-0.259682,0.563352,0.926697,-0.285396,-1.07855,0.912855,-0.409142,0.0316825,-0.664605,0.325942,0.852346,-0.672282,0.412088,0.0298422,1.66378,0.186624,-0.00180426,0.151608,-0.721885,-0.162044,-0.532266,0.524982,-0.424642,0.208492,-0.608514,-1.21994,-1.20839,0.27562,0.776842,0.131019,-1.15725,-1.95833,0.253616,-0.319381,-0.723197,-1.75259,1.51135,-0.0499143,-0.199181,-0.268241,0.727645,-3.60364,0.435244,-0.230967,0.580786,1.01538,-0.249067,0.996155,0.582329,0.523367,-0.621212,0.966958,-0.181262,-0.101961,-0.727424,0.245304,1.0629,1.54416,-0.161011,0.523299,-0.262527,0.982851,1.76601,1.55217,-0.52771,0.641421,-1.29687,1.17872,-0.882665,0.360613,0.355161,0.91557,-0.344951,-0.324418,-0.411937,-0.513633,1.49541,1.21581,0.517548,0.317759,-0.36958,0.428679,0.263678,0.0453259,0.908102,0.827836,-1.53676,-1.02481,0.35678,0.597904,0.924391,-0.576842,0.751919,-0.481938,0.287211,-0.00323419,0.546861,0.829528,0.561712,1.73405,0.685463,1.04868,0.88466,1.3232,0.239623,-0.0504962,1.53112,0.340919,0.210756,0.661648,0.313944,1.21063,-0.109423,0.120232,0.474029,-0.580039,-0.389742,-0.89209,-0.562005,-0.0725489,0.312392,0.758664,-0.625507,1.41751,-0.729706,0.0448739,-1.15999,-1.00988,-0.539252,0.375003,0.06784,0.183314,0.495736,-0.134498,-0.297743,0.116727,-0.310418,-1.06439,1.16386,0.0619246,-0.11561,0.839257,0.218731,0.787196,-0.0922974,-0.575246,0.178986,-0.754719,-0.456725,-0.469601,-0.404312,0.317071,-0.330011,0.17243,-0.571356,0.966911,-0.771844,-0.205892,0.262374,-0.42046,-0.867283,0.254576,-0.490173,-0.241833,-0.634088,-0.0760618,0.220488,-0.638413,-0.0275314,-0.24287,0.677611,-0.154547,-0.260698,-0.174273,-0.666357,-0.350969,-0.559535,0.0360674,-0.498905,-0.142228,-0.602489,-0.946937,-0.940432,-0.104411,0.177953,-0.185872,-0.911621,-1.36291,-0.116807,-0.439606,-0.667096,-1.24701,0.591742,-0.287801,-0.371891,-0.410796,0.150238,-2.2898,-0.0144862,-0.389797,0.0675051,0.312335,-0.399994,0.301504,0.0683741,0.0351575,-0.609643,0.285055,-0.361796,-0.317122,-0.669478,-0.12149,0.339105,0.610226,-0.350388,0.0351194,-0.407577,0.294009,0.735201,0.614738,-0.556968,0.101664,-0.990274,0.404352,-0.756932,-0.0565299,-0.0596014,0.256106,-0.45401,-0.442443,-0.491747,-0.549038,0.582761,0.425249,0.0318799,-0.0806718,-0.467885,-0.0181852,0.304839,0.301201,0.194023,0.217228,0.27985,0.290779,0.305577,0.237532,0.29776,0.241834
-3856.73,0.894312,0.0502388,6,127,0,3918.76,0.484153,0.474885,0.337785,0.134372,-0.175597,0.28725,0.362536,0.57869,-1.24624,-0.95274,-0.962809,0.994514,0.542355,0.468053,1.11596,-0.00508392,0.191468,0.672284,-0.493366,-1.3246,1.70545,-0.249455,-0.200568,0.90592,0.227586,1.38212,-0.099512,-1.56506,0.214187,-1.29731,-0.440942,-0.886733,-0.661976,0.911896,-0.7092,0.547941,-0.866131,1.63549,-1.29193,-0.31196,0.312246,0.492966,0.917724,0.0127248,-1.14101,1.02605,-0.0380738,1.35516,-0.506954,0.770199,0.808564,-1.00804,0.273769,0.0822638,1.27953,0.404617,0.480142,0.75614,-0.838892,-1.22282,-0.629043,0.95174,-1.8373,-0.726712,0.157483,-1.66771,-1.30189,-0.426424,1.1573,-0.0298759,-1.11393,-2.17912,-0.153298,-0.669398,0.445277,-1.22623,1.58484,0.0423479,0.242654,-0.974602,0.303038,-3.13761,1.12236,-1.04654,-0.0880265,1.1164,0.210878,1.48619,0.660743,0.18732,-1.59862,0.317175,-0.172727,-0.357761,-0.580224,-0.0503622,0.900915,1.41597,-0.235003,0.247036,-0.869167,0.968616,1.41913,1.48441,-0.138544,0.222413,-1.28049,1.76237,-0.802546,-0.111199,-0.121932,0.376935,-0.748638,-1.46336,-0.178403,0.111782,1.33884,0.270637,0.62272,0.169285,0.216267,-0.661068,-0.309261,0.0400129,-1.10478,-0.630788,-0.444863,0.62023,0.813644,0.646547,0.220006,-1.82726,-0.332466,-0.461071,1.82745,1.57411,1.66953,2.14793,1.95174,2.94219,1.98213,2.2799,2.42335,2.72305,1.40246,1.39578,2.76781,1.55783,1.65875,1.78895,1.63964,2.63078,1.3502,1.19822,1.84044,0.858442,1.11375,0.41937,0.785521,1.45913,1.56271,2.24013,0.790084,2.71816,0.62953,1.38263,-0.358649,-0.188805,-0.194632,0.938052,0.676391,0.633393,1.00833,0.359594,0.473337,0.75158,0.0770303,-0.403995,1.34946,0.218179,0.246469,0.886783,0.494238,1.16236,0.304949,-0.543147,0.486484,-0.388206,0.107367,-0.150607,-0.0205428,0.890241,-0.0478707,0.679624,-0.138685,1.30898,-0.385088,0.182008,0.764653,0.318519,-0.250234,0.818053,0.293477,0.980292,0.0623352,0.691928,0.71084,-0.184682,0.447205,0.3528,0.943011,0.511708,0.54894,0.684997,-0.101299,-0.290564,0.00214968,0.781422,-0.59348,-0.0459978,0.38988,-0.509878,-0.32954,0.102034,0.882754,0.297518,-0.236884,-0.761984,0.236676,-0.0177437,0.531753,-0.292242,1.09352,0.333122,0.431866,-0.168199,0.461633,-1.23449,0.865531,-0.203663,0.268852,0.862592,0.416202,1.04488,0.63797,0.404589,-0.47582,0.468603,0.227098,0.135882,0.0262156,0.287419,0.756366,1.01027,0.196398,0.434026,-0.116223,0.789741,1.01183,1.04401,0.243949,0.421888,-0.318992,1.18104,-0.0833811,0.257429,0.252138,0.498062,-0.0568065,-0.409138,0.2243,0.367351,0.972246,0.445661,0.619226,0.395698,0.418858,-0.0136375,-0.353466,-0.334501,-0.327061,-0.284444,-0.276705,-0.283391,-0.300458,-0.382375,-0.322564,-0.32771
-3874.71,0.850392,0.0502388,6,127,0,3958.28,-0.533357,0.422283,0.273062,-0.430991,-0.075405,0.0434178,-0.135758,0.489043,-0.522073,-1.26525,-0.418268,0.50296,-0.12923,1.84015,0.449434,0.230752,0.652122,1.30837,-0.566858,-0.897892,1.63184,-0.312272,-0.43111,0.680967,-0.0252953,1.3545,-0.662365,-1.01732,0.115989,-1.68419,-0.242553,-1.18819,-0.334736,0.792165,0.60918,2.0203,-0.236201,2.93581,-0.628638,0.790785,-0.0662978,0.446758,0.292543,0.734024,-0.411768,1.01668,0.495454,0.0860975,-0.794035,0.375127,0.958561,-0.347675,0.607521,-0.2845,1.05447,1.33422,0.324861,-1.05186,-0.35613,0.687695,-0.787419,1.41621,-0.560259,1.57837,0.721847,-2.66958,-0.392456,-0.0761349,2.09189,0.511526,-0.313786,-1.43002,-0.914107,-0.752631,0.206428,-1.40529,3.03174,-1.26949,0.0847483,0.199144,1.61745,-3.02251,0.0385332,-0.842965,0.378231,0.591454,0.299402,1.21318,-0.485354,0.462192,-0.784795,-0.207285,1.48941,-0.712613,-0.377559,0.534551,1.19274,1.02466,-0.266567,1.51314,-0.134414,1.28341,1.56718,1.79723,-0.416973,0.0390885,-0.680865,1.45282,-0.640804,-0.145372,-0.382713,1.69143,-0.714798,-0.399311,-0.380437,-0.637968,0.6102,2.29581,0.600278,-0.461367,-0.339528,0.0758598,-0.0522522,0.0150107,0.509938,1.40312,0.291899,-2.24887,-0.40153,-0.629008,0.143966,-0.148668,-0.951794,-1.04065,-0.215024,-0.680257,-0.302506,0.106853,-0.254133,0.912964,-0.020704,0.118938,0.257827,0.587977,-0.446647,-0.564711,0.498232,-0.486317,-0.593181,-0.108514,-0.349454,0.384106,-0.704018,-0.738544,-0.270735,-1.19718,-1.13211,-1.78196,-1.26321,-0.734017,-0.695915,-0.027322,-1.24226,0.435355,-1.39731,-0.623279,-0.391074,-0.754518,-0.340309,0.110211,-0.198957,0.764156,0.0840345,-0.0229102,0.183158,0.504092,-0.412976,-0.574865,0.662284,-0.288472,-0.346589,0.197264,-0.148128,0.526652,-0.459682,-0.633271,-0.0790344,-0.959398,-0.254376,-0.716834,-0.299458,0.251645,0.162157,0.852255,-0.25127,1.29998,-0.443189,0.25097,0.0643979,0.261633,-0.250259,0.387911,0.15505,-0.0278331,-0.421039,0.101293,0.361947,-0.221624,0.205117,-0.1934,0.404793,0.529777,0.0788363,-0.536225,-0.225402,0.240935,-0.418083,0.566406,-0.316598,0.63885,0.256193,-1.25896,-0.241631,-0.100312,0.868269,0.16223,-0.206484,-0.705173,-0.474682,-0.402541,0.0259255,-0.694123,1.28815,-0.633451,-0.0284358,0.0226715,0.656311,-1.41663,-0.0490828,-0.442899,0.10268,0.197939,0.0674623,0.475699,-0.283133,0.14019,-0.416911,-0.158904,0.599109,-0.384663,-0.234975,0.172517,0.466568,0.391479,-0.185389,0.609708,-0.126348,0.507076,0.633851,0.73663,-0.252584,-0.0488347,-0.370479,0.58276,-0.352582,-0.131244,-0.237278,0.689363,-0.385639,-0.244693,-0.236261,-0.351315,0.206314,0.959371,0.201881,-0.272417,-0.217985,-0.0324069,-0.0445977,-0.0311905,-0.0478706,-0.0860094,-0.0582795,-0.0616941,-0.0500912,-0.0544838,-0.0665393,-0.0678731
-3866.48,0.955807,0.0502388,6,63,0,3926.22,0.221023,0.788335,0.340887,-0.0341452,-0.0707091,0.0310891,-0.626574,0.547705,-0.653142,-1.00341,-0.430106,0.227991,-0.0948551,1.82582,0.253501,0.219641,0.538123,0.767455,-0.913275,-0.867848,2.01231,-0.0522147,0.531141,0.557839,-0.0248453,1.5975,-0.098359,-0.269887,0.494021,-1.18401,-0.389439,-0.727179,-0.493786,0.714843,0.902893,1.54234,-1.1397,2.83885,-0.89626,0.263889,-0.22866,0.539983,0.472884,0.196623,-1.4811,0.788318,0.027974,1.14607,-1.3226,0.524193,0.195609,-0.973421,0.8862,-0.390494,1.87754,1.41122,-0.152882,0.587037,-1.33612,-1.30948,-0.700902,1.70752,-1.0148,-0.109038,-0.225326,-1.72336,-1.58179,0.0307846,0.69739,-0.149335,-1.27813,-2.13163,-0.605497,-0.695972,0.520803,-1.89421,1.75792,0.31616,1.29647,-0.223414,0.683158,-3.43833,0.0302592,-0.872936,0.320756,1.55634,-0.0746647,0.824877,-0.0124392,0.696771,-1.4438,-0.566092,-0.0800602,-0.148029,-0.558834,0.419337,1.21131,1.15558,-0.233847,0.610981,-1.04944,0.165622,0.887114,1.16555,-0.162701,0.516516,-1.10111,2.02229,-0.593858,0.0603875,-0.756937,1.41178,-0.643648,-1.2132,0.799854,-0.198002,0.309453,0.813898,1.13998,-0.322476,-0.0164901,-0.636728,0.182616,0.0592874,-0.753818,1.90575,-1.10568,0.613855,-0.484949,0.867479,0.124011,-1.15629,0.773322,1.20988,0.265425,-0.0122455,0.257945,0.608665,0.373624,1.58799,0.52757,0.721005,0.822819,0.957068,-0.0544629,-0.00773535,1.10849,-0.0539498,0.210222,0.188593,-0.0325979,0.901464,-0.113193,-0.0959877,0.250988,-0.71129,-0.581393,-0.942105,-0.719207,-0.0681583,0.115982,0.446045,-1.10815,1.17979,-0.940244,-0.229924,-0.984303,-1.17615,-0.862145,-0.501702,-0.678527,0.373436,-0.48773,-0.506275,-0.331841,-0.206235,-1.12678,-1.1019,0.47558,-0.655172,-0.335665,-0.321043,-0.640182,0.248386,-0.680446,-0.774393,-0.355996,-1.27506,-0.839872,-1.02485,-0.897023,-0.235051,-0.132055,0.218174,-1.25079,0.928276,-1.11746,-0.482041,0.0266894,-0.122487,-1.02843,0.197018,-0.213555,0.390198,-0.94284,0.0543952,-0.123035,-0.754291,0.249873,-0.43952,0.785178,0.533377,-0.311214,0.0883299,-0.950143,-0.93576,-0.607135,0.69337,-0.776637,-0.287539,-0.350332,-1.15924,-1.0828,-0.212037,0.147919,-0.309298,-0.918828,-1.3797,-0.555618,-0.604473,0.0525648,-1.2515,0.72059,-0.0579393,0.471412,-0.3493,0.140234,-2.0853,-0.212321,-0.700031,-0.0554573,0.611739,-0.268978,0.21676,-0.235377,0.147585,-1.00829,-0.53434,-0.271891,-0.308593,-0.530421,-0.00222515,0.425429,0.395336,-0.354934,0.10126,-0.795342,-0.139227,0.250367,0.400716,-0.316516,0.0502501,-0.82324,0.863345,-0.549333,-0.196052,-0.637393,0.533678,-0.576219,-0.883765,0.203247,-0.335578,-0.0615607,0.210831,0.386911,-0.402792,-0.237565,-0.572483,0.137924,0.295602,0.117063,0.21901,0.153864,0.234046,0.189968,0.114062,0.228464,0.254346
-3886.29,0.995816,0.0502388,6,63,0,3944.12,0.0697792,0.312935,-0.00209058,-0.540249,-0.0252696,0.144033,0.475149,0.467611,-0.742032,-0.931705,-0.658804,1.06792,0.264519,1.60598,0.985693,0.577035,0.466446,0.983253,-0.816579,-1.14853,2.14204,-0.285328,-0.0220325,0.520108,0.204001,1.91515,0.0193294,-0.597458,0.427815,-1.61371,-0.0484086,-0.76407,-0.0418303,1.49816,0.396051,1.21223,-1.20779,2.93112,-0.990726,0.457971,-0.319922,0.476689,0.667472,-0.0581484,-0.860719,0.769314,-0.158788,0.520041,-0.474385,-0.282554,0.21864,-0.564899,0.0768996,-0.922051,1.83024,1.28602,0.00775165,-0.370647,-0.869003,-0.787672,-1.45654,0.203531,-1.3338,0.126638,0.310382,-1.99828,-1.64504,-0.80055,0.213902,0.832729,-0.871441,-2.01061,-0.250959,-1.69432,0.594584,-1.87428,3.03763,-0.00751154,0.567055,0.555315,1.11506,-3.40698,1.08312,-1.98778,-0.117808,0.875158,0.390935,1.25332,-0.0814585,0.690406,-2.14779,-0.606067,1.22669,0.0434263,-1.41206,0.542743,1.17119,0.654037,-0.375548,1.11945,-0.0720825,0.314127,1.09462,1.69864,-0.930586,0.492504,-1.15093,0.659497,-0.0873152,-0.444025,-0.927426,1.07417,-0.214931,0.384613,-0.702418,0.623148,0.21639,1.29709,1.12848,-0.536307,0.143458,-0.315481,0.277908,0.0484231,-0.948818,2.01142,-0.259938,0.424306,1.43401,-0.123748,0.658814,-0.597589,-1.57839,-0.450871,0.995552,0.743264,0.988141,1.39333,1.12977,2.21386,1.32091,1.47142,1.52667,1.77143,0.631445,0.749873,1.8357,0.68931,0.925578,0.900287,0.787476,1.73681,0.686708,0.703861,1.02484,0.0547606,0.140554,-0.256898,0.114803,0.698094,0.743425,1.11787,-0.310056,1.79717,-0.196202,0.507992,0.128167,0.0394742,0.167085,0.974522,0.598841,1.22612,0.93607,0.744977,0.693264,0.934929,0.0933083,-0.0619169,1.47679,0.341727,0.464847,0.718357,0.570542,1.37069,0.484188,0.195772,0.6752,-0.279439,0.452513,0.117862,0.455589,1.17571,0.660347,1.042,-0.0896241,1.84577,0.0118749,0.689302,-0.00174529,-0.34764,-0.730217,0.0468016,-0.395614,-0.0720239,-0.546056,-0.454612,-0.215699,-0.589203,-0.283265,-0.759453,0.552533,0.29311,-0.316227,-0.496605,-0.734166,-0.695396,-1.01424,-0.222901,-0.955727,-0.259555,-0.171966,-1.27248,-1.10409,-0.701535,-0.217957,0.0770311,-0.735328,-1.27836,-0.439551,-1.12759,-0.0364901,-1.21337,1.12808,-0.323502,-0.0496129,-0.0552091,0.211613,-1.94399,0.19639,-1.26748,-0.37608,0.0972567,-0.133567,0.27752,-0.358752,0.00918738,-1.34375,-0.608827,0.264826,-0.299221,-0.993035,-0.0612021,0.23837,-0.00814965,-0.498941,0.213707,-0.354283,-0.170181,0.201871,0.489799,-0.763522,-0.0851503,-0.868559,-0.00554663,-0.361544,-0.531584,-0.762016,0.192123,-0.422377,-0.136581,-0.654756,-0.0228738,-0.216771,0.298386,0.218012,-0.575573,-0.251537,-0.470308,0.231963,0.375307,0.265321,0.298454,0.347347,0.271915,0.309809,0.24897,0.201477,0.256075
-3871.82,0.977411,0.0502388,6,63,0,3949.83,-0.550212,-0.105395,-0.13083,-0.571413,-0.33039,0.0999405,-0.0494009,0.490748,-1.69542,-1.18639,-0.355842,0.312343,0.242528,1.11964,0.946591,-0.136794,0.630773,1.1149,-0.555584,-0.508558,2.12178,0.125367,0.727658,1.52645,-0.169419,1.37146,-0.136916,-1.54264,0.893103,-0.662798,-0.399754,0.337782,-0.0718274,0.477869,0.909468,1.99691,0.013536,2.74774,-0.326934,0.285361,0.166573,0.469528,0.333592,0.129102,-1.90655,0.705752,-0.0183213,-0.26414,-1.62147,-0.337461,1.18361,-0.924912,0.342951,-0.538849,1.07379,0.778295,0.657157,-0.448776,-1.23329,-0.0405914,-1.68498,0.658049,-0.758136,0.555372,-0.846646,-1.77037,-0.86406,0.051326,1.24845,-0.691718,-1.01161,-1.66412,-1.00602,-0.31314,-0.405517,-1.59245,1.72828,-0.33703,-0.325353,-0.658664,1.00945,-3.27504,0.0385684,-0.0852488,0.615259,0.31515,-0.134029,0.608659,0.113856,-0.140318,-1.163,0.199263,0.386942,-0.250335,-0.421208,0.649136,1.1689,1.22978,-0.555046,-0.0191029,-0.513623,1.20851,0.894098,2.0809,-0.790555,0.945217,-0.987222,0.878022,-0.739077,0.80024,-0.775098,0.981918,-0.381484,-2.48081,-0.112484,-0.744,1.14474,1.27361,0.151541,-0.382992,-0.611439,-0.581679,-0.100181,0.0631031,-0.0168137,0.233743,-0.966391,-0.68007,0.829889,-0.145646,1.07479,-1.12143,0.475093,0.0261257,-0.549875,-0.655762,-0.49821,-0.0797613,-0.431364,0.621954,-0.212708,0.15546,0.147497,0.425463,-0.72881,-0.694301,0.55192,-0.575883,-0.58419,-0.270917,-0.6455,0.277926,-0.817999,-1.07914,-0.172197,-1.13766,-1.07797,-1.53713,-1.29394,-1.0299,-0.620239,-0.180806,-1.46171,0.343476,-1.46726,-0.816803,-0.881426,-0.631619,-0.224029,0.103881,0.069619,0.500059,0.415137,-0.116532,0.260149,0.497733,-0.322053,-0.298975,0.991859,0.0121224,0.307696,0.699703,-0.132543,0.623639,-0.116592,-0.80645,0.388887,-0.374668,-0.245579,0.116365,-0.08465,0.185112,0.396918,0.930576,-0.0427582,1.29905,-0.209843,0.0906396,0.323203,0.22719,-0.728607,0.497943,0.15797,0.0425516,-0.59475,0.00812511,0.722312,-0.267699,0.327598,-0.0864321,0.670748,0.532003,0.475126,-0.0441401,-0.412492,0.147514,-0.62457,0.475545,-0.189393,0.427335,-0.230951,-0.664666,-0.239127,0.190672,0.752756,-0.158208,-0.308404,-0.614778,-0.305784,0.0195445,-0.0238289,-0.581127,0.978046,0.00832747,0.0138104,-0.142688,0.640535,-1.37115,0.184681,0.126546,0.455454,0.314544,0.103642,0.452354,0.220031,0.100689,-0.37949,0.260132,0.348252,0.0490333,-0.0311963,0.47136,0.715404,0.74399,-0.0940367,0.157603,-0.0745874,0.733999,0.586376,1.14361,-0.204615,0.610378,-0.296955,0.578828,-0.180445,0.542307,-0.197357,0.62761,-0.0125448,-0.998237,0.113758,-0.182756,0.704058,0.764568,0.237725,-0.0132527,-0.120515,-0.106542,-0.101242,-0.0854314,-0.161164,-0.143096,-0.0478127,-0.109372,-0.0323587,-0.170947,-0.0702014,-0.0985327
