# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim5_model
# start_datetime = 2022-03-14 08:08:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a00203f7ff5.json
# init = 2 (Default)
# random
#   seed = 1174660460
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.00380267
# Diagonal elements of inverse mass matrix:
# 0.16708, 0.0858279, 0.0837311, 0.0808852, 0.0142271, 0.00521879, 0.160576, 0.529744, 0.621344, 0.503864, 0.488771, 0.516079, 0.542364, 0.679033, 0.544668, 0.442664, 0.478087, 0.511129, 0.515086, 0.521476, 0.715184, 0.407922, 0.446624, 0.565948, 0.52235, 0.552115, 0.442226, 0.67811, 0.500297, 0.650577, 0.512961, 0.452689, 0.482614, 0.582217, 0.493453, 0.559151, 0.599886, 0.847034, 0.586965, 0.407915, 0.738803, 0.0182756, 0.0180771, 0.0207954, 0.0185121, 0.0174121, 0.0281494, 0.0171788, 0.0209085, 0.0196841, 0.0229453, 0.0180347, 0.0196038, 0.02483, 0.0193471, 0.0183413, 0.0192453, 0.0194686, 0.0210709, 0.0194633, 0.0219547, 0.0202494, 0.021236, 0.0208382, 0.0207411, 0.0195736, 0.0185618, 0.0202094, 0.0190242, 0.0204064, 0.0202861, 0.0224307, 0.0203979
-4105.77,0.886518,0.00380267,10,1023,0,4154.86,-0.183972,0.209951,0.25539,-0.15459,-0.287493,0.21901,-0.28908,0.424474,-2.55864,-1.71361,-0.988222,0.556269,0.804764,1.24739,1.32934,-0.118906,-0.690133,0.507289,-0.962287,-1.23509,1.8928,-0.296245,-0.370486,1.16442,-0.312517,0.547182,-0.449464,-1.74272,-0.0480052,-1.3012,-0.35319,0.0570533,-0.153203,0.649655,-0.484078,1.45828,-1.23259,1.6569,-1.06077,0.336907,0.015512,-0.0774481,-0.173616,0.0459238,0.382547,0.34625,1.48818,0.307171,0.734084,0.318192,0.840634,-0.338941,-0.128791,1.05696,-0.00174768,-0.147826,0.160424,-0.0833594,0.565934,-0.310794,-0.200787,0.145712,-0.574982,-0.370984,-0.957932,-0.6184,-0.434981,-0.209544,0.520685,-1.16214,0.626105,-0.936016,-0.0232385,-1.37515,-1.01646,-0.708554,-0.0529588,0.0525206,0.240404,0.275189,-0.339553,-0.582024,-0.0737496,-0.697546,-0.813341,0.514364,-0.414829,-0.446342,0.205185,-0.421735,-0.0568158,-0.479866,-1.02882,-0.309457,-0.841405,-0.439,-0.264863,-0.354111,-0.013319,-0.494559,0.32992,-0.81228,0.414232,-0.739349,-0.146072
-4108.97,0.959449,0.00380267,10,1023,0,4146.01,-0.536343,0.304771,-0.16907,-0.27093,-0.0874713,0.211302,0.240209,0.375402,-2.19984,-2.24235,-1.34918,0.68343,0.07055,0.778934,0.552634,-0.607304,-0.270763,0.0999979,-1.12323,-2.15434,2.18121,0.465985,-0.774042,0.9744,0.233286,1.27373,-0.0652551,-1.54202,0.563513,-1.20436,-0.178079,-1.43914,-1.15681,0.5459,-1.06799,0.269172,-1.24327,1.58846,-1.66994,0.342897,0.0188312,0.0107564,-0.324148,0.168818,0.391524,0.275214,1.25869,0.214505,0.403708,0.622879,0.776466,-0.162583,-0.184695,0.785986,0.0935967,-0.2553,0.0114269,-0.154991,0.483262,-0.314973,-0.375686,0.12194,-0.583092,-0.384246,-1.03641,-0.845076,-0.397441,-0.181602,0.265511,-0.752164,0.634715,-0.838661,0.0118399,-0.585617,-0.601573,-0.266276,0.49677,0.266693,0.532622,0.447669,0.0122256,0.138564,0.277748,-0.181455,-0.568534,1.05904,0.415141,-0.0503683,0.606001,0.327785,0.718368,0.215712,-0.338669,0.451753,-0.211911,0.173358,-0.300048,-0.194062,0.445141,-0.160719,0.341257,-0.226517,0.83652,-0.386692,0.368933
-4114.58,0.990936,0.00380267,10,1023,0,4147.34,-0.364181,0.257526,-0.0194692,-0.461381,-0.0131757,0.190101,-0.00467607,0.471662,-0.657947,-0.423169,-1.11101,0.665467,0.950996,0.896396,1.16378,0.495478,-0.106736,0.990942,-0.916821,-1.87227,1.94751,-0.567937,-0.14876,0.283913,-0.15353,1.31469,-0.186571,-1.1485,0.180841,-1.20654,-0.667812,-0.695482,-0.410681,0.859796,-0.0282089,0.164794,-1.55789,1.77367,-0.649789,0.666939,0.017623,0.171919,0.0822489,-0.0641265,0.224997,0.521252,1.08493,0.454688,0.538843,0.419167,0.913519,-0.369883,-0.432573,0.934532,-0.276176,0.0991977,-0.0654916,-0.239022,0.611827,-0.319088,-0.32377,0.0607584,-0.605299,-0.966453,-1.01929,-0.821847,-0.4268,-0.109085,0.0228318,-1.23084,0.609994,-0.76641,-0.147768,-0.315005,-0.204269,-0.528698,0.309199,0.443872,0.41812,0.544232,0.229022,-0.0550193,0.462713,-0.437105,-0.887755,0.913888,-0.27255,-0.0748405,0.129235,-0.0770905,0.615411,-0.0926744,-0.54638,0.0806198,-0.573755,-0.319657,-0.332708,-0.198379,0.400857,-0.0179811,0.0730509,-0.739474,0.831895,-0.311157,0.309894
-4115.4,0.875354,0.00380267,10,1023,0,4144.64,0.177544,-0.0517345,-0.0924535,-0.562942,-0.183694,0.176343,-0.328595,0.509915,-1.08129,-0.870608,-0.840522,0.108196,1.22785,0.712541,1.38372,-0.135761,0.160719,0.424885,-1.00984,-1.45353,1.64804,-0.3338,0.157692,0.663679,-0.312821,0.734793,-0.587421,-1.2341,-0.0647126,-1.52578,-0.985164,-0.3387,-0.16469,0.829323,0.0806005,0.617398,-1.04855,1.61013,-0.852993,0.448679,0.0203066,0.168112,-0.0679691,-0.0847545,0.134356,0.629015,1.09338,0.520346,0.437949,0.539296,0.701947,-0.449247,-0.439974,0.963991,-0.125948,0.0782988,0.0681308,-0.233676,0.562259,-0.44337,-0.257567,0.0299813,-0.831542,-0.95545,-1.08578,-0.743652,-0.34182,-0.134336,0.0489518,-1.19426,0.574769,-0.969355,-0.124543,-0.879961,-0.77253,-0.757189,-0.273424,0.297506,0.0347404,0.376982,-0.397821,-0.246642,-0.11194,-0.843526,-1.06977,0.511767,-0.498804,-0.248185,0.00982477,-0.488107,0.046087,-0.628129,-0.95788,-0.361593,-1.10661,-0.830944,-0.501303,-0.412572,0.0942892,-0.287495,-0.0137742,-0.863265,0.492434,-0.763548,-0.0998069
-4116.21,0.789785,0.00380267,10,1023,0,4153.09,-0.510368,0.458783,0.561859,0.0936958,-0.156784,0.141649,-0.0823644,0.606621,-1.08474,-0.637297,-0.837666,0.0426402,0.680726,0.633459,0.613276,-0.333564,0.435121,0.584831,-0.630649,-1.18023,1.23703,-0.800643,-0.445477,0.147825,-0.681887,0.43722,-0.636563,-1.22159,-0.0886169,-1.50268,-1.02803,-0.503508,-0.291134,0.311052,0.118138,0.180375,-1.13374,1.3505,-1.21167,-0.223792,0.0283042,-0.0529317,-0.0490276,-0.18206,0.122884,0.476949,0.977265,0.265307,0.313891,0.647121,0.803782,-0.299603,-0.452422,1.03928,-0.264382,-0.159535,0.0290152,-0.19106,0.587595,-0.32165,-0.274645,0.184701,-0.781219,-0.888183,-0.943601,-0.63847,-0.372663,-0.0201993,0.0314097,-1.11031,0.692297,-1.10681,-0.324186,-0.740391,-0.468962,-0.59051,-0.056498,0.330578,0.301905,0.289661,-0.284711,0.181589,0.272406,-0.464929,-0.798315,0.668045,-0.568051,-0.3526,0.00730919,-0.496011,0.182862,-0.468517,-0.823406,-0.136121,-0.99392,-0.705986,-0.387803,-0.258972,0.106326,-0.0106997,0.0270546,-0.770115,0.736874,-0.817389,-0.218121
-4106.13,0.978821,0.00380267,10,1023,0,4145.48,-0.229118,-0.242413,-0.0495003,-0.0841585,-0.28794,0.324057,-0.299519,0.546849,-1.19452,-0.653568,-0.64459,1.16087,1.12974,1.11127,1.64824,0.254199,0.36884,1.04605,0.000211078,-0.526864,1.1348,-0.146356,0.278019,1.45056,-0.192602,1.20705,-0.0873475,-1.43555,0.226346,-1.03559,-1.04383,-0.433993,-0.357748,0.845217,-0.742769,-0.215864,-0.400369,1.27011,-1.13508,-0.278241,0.0189272,0.138078,-0.11478,-0.0861495,0.272517,0.217181,1.487,0.130289,0.654622,0.594359,1.03802,-0.310776,-0.127351,0.741483,-0.0910774,0.080573,0.221937,-0.303875,0.86017,-0.44264,-0.325429,0.120115,-0.735531,-0.719918,-1.08835,-0.678513,-0.210272,-0.00375771,0.238042,-0.605198,0.907869,-0.880073,-0.104671,-0.952739,-0.656922,-0.652013,0.3353,0.31828,0.308176,0.601818,-0.16051,-0.0978191,0.272513,-0.299404,-0.587634,0.321046,-0.379554,-0.147485,0.493719,-0.404843,0.360556,-0.347285,-1.08455,-0.175742,-0.865828,-0.870335,-0.536847,-0.495153,0.162687,-0.705701,-0.417564,-0.518461,0.395037,-0.920236,-0.451675
