# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim5_model
# start_datetime = 2022-03-14 08:08:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a00203f7ff5.json
# init = 2 (Default)
# random
#   seed = 1174660460
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.0719158
# Diagonal elements of inverse mass matrix:
# 0.165388, 0.0924485, 0.0800395, 0.0872456, 0.0129656, 0.00595663, 0.156308, 0.682473, 0.733176, 0.739566, 0.638115, 0.662501, 0.748163, 0.732789, 0.70271, 0.581623, 0.634461, 0.722372, 0.625383, 0.616106, 0.727366, 0.590291, 0.614787, 0.612184, 0.567731, 0.662211, 0.542695, 0.768638, 0.571936, 0.812439, 0.665185, 0.737425, 0.655802, 0.693166, 0.654092, 0.674448, 0.67636, 0.903785, 0.664398, 0.539001, 0.25579, 0.0198326, 0.0191594, 0.017407, 0.0179284, 0.0206094, 0.026915, 0.0230128, 0.0189244, 0.0204442, 0.022087, 0.0180003, 0.0208475, 0.0226598, 0.0181672, 0.0200005, 0.020801, 0.0190546, 0.019238, 0.0206965, 0.0197972, 0.0178185, 0.0213681, 0.0199868, 0.0237395, 0.0222373, 0.0190859, 0.0194669, 0.0201153, 0.0221672, 0.0196536, 0.0235307, 0.0172192
-4203.15,0.998279,0.0719158,6,63,0,4234.06,-0.852251,0.0944645,0.0836139,-0.00931657,-0.139061,0.178081,0.350051,0.311133,0.787482,-0.685261,-0.252294,0.845612,0.908526,1.11045,1.01161,-0.105619,0.475274,1.15015,-0.548941,0.680061,0.875461,0.0144842,-0.920349,0.531538,1.47173,0.982683,-0.397236,-1.20168,0.318522,-0.79388,-0.0687137,-0.305694,0.467775,-0.479666,-0.158997,0.298294,-0.527585,-0.130954,-1.64503,0.323283,0.4255,-0.0785547,-0.19408,0.171681,0.493862,0.235958,0.935128,0.258498,0.448178,0.582506,1.24479,-0.133347,-0.126173,0.631908,-0.0672349,-0.186114,0.113455,0.0893687,0.684323,-0.306964,-0.576847,0.153208,-0.691549,-0.685917,-1.10026,-0.967343,-0.174172,-0.00499908,0.16476,-0.686155,0.795119,-1.10136,-0.311784,0.595063,0.136844,0.271554,0.613149,0.632723,0.695547,0.664797,0.31719,0.497924,0.7079,0.179257,0.56164,0.622436,0.354558,0.0637002,0.51543,0.807953,0.655796,0.226458,-0.0238308,0.449154,0.103049,0.328672,0.25494,0.495591,0.200811,0.300582,0.44286,0.185902,0.309307,-0.161771,0.450635
-4199.34,0.99871,0.0719158,6,63,0,4240.39,-0.612626,-0.00125302,-0.109689,-0.32608,-0.117952,0.138472,0.399383,0.486235,-1.46949,-0.121902,0.466449,0.630776,-0.0468263,-0.133732,0.526951,0.625483,1.0512,1.13431,-0.859048,-0.856437,1.15466,0.556978,0.619585,0.539453,0.120026,0.972312,0.212182,-0.0384171,0.224556,-0.768643,-0.743304,-0.675245,-1.2465,1.42247,-0.011983,0.622065,0.174573,2.20813,-0.737005,0.358138,0.265409,-0.132777,-0.00943555,0.0984131,0.411065,0.534551,1.02409,0.473873,0.558611,0.619072,0.996666,-0.555082,-0.1114,1.10861,0.0819328,0.0733311,0.112344,0.0054775,0.60015,-0.370144,-0.375024,0.164986,-0.405473,-0.665511,-0.978745,-0.878054,-0.235699,-0.312758,0.469926,-0.718282,0.548734,-0.953767,-0.059127,-0.315135,0.34011,0.626187,0.706089,0.376615,0.334358,0.655605,0.703515,0.910512,0.950924,-0.018316,-0.0170464,0.960819,0.670205,0.700647,0.661684,0.457744,0.872155,0.502553,0.380703,0.50857,0.0256423,0.0379628,0.0710555,-0.20671,1.09104,0.393557,0.701853,0.484267,1.47305,0.0410255,0.573523
-4195.7,0.979339,0.0719158,6,63,0,4230.46,-0.249319,-0.169058,-0.0442859,-0.324865,-0.270306,0.0581596,0.342243,0.244333,-1.21661,-0.289119,-0.236435,-0.683172,0.76006,1.17869,0.179089,-0.439256,0.0444806,0.149014,-1.20693,-0.970851,1.56982,-0.474565,1.67856,-0.45372,-1.44661,0.705723,-1.0278,-0.57791,0.294322,-0.310821,-0.46345,0.0661188,-0.664612,-0.615495,0.0862819,1.4065,0.0772808,-0.186519,-1.29956,-0.0297791,0.33681,-0.20104,-0.0796671,0.0945686,0.301786,0.291215,1.03652,0.14792,0.543017,0.626572,0.893547,-0.165493,-0.282135,1.09093,-0.0395688,0.214984,0.00527602,-0.134044,0.488894,-0.341203,-0.215548,0.277742,-0.726067,-0.565484,-1.06947,-0.791723,-0.41876,-0.304579,0.129039,-0.888338,0.810917,-0.846018,-0.0572865,0.0449845,0.271602,0.284475,0.175322,0.527951,0.630236,0.386001,0.234919,0.353112,0.378653,0.0473515,0.105033,0.725802,0.226291,0.75237,0.231385,-0.0112109,0.514675,0.0911175,0.201041,0.414156,0.2663,0.229007,0.358398,0.179857,0.191858,0.363325,0.685897,0.361126,0.296671,0.0247183,0.334967
-4210.1,0.999284,0.0719158,6,63,0,4240.94,0.475286,-0.175744,0.198958,-0.360828,-0.211203,0.234886,-0.840498,0.248957,-1.46556,-0.685,0.433017,1.8025,-0.564381,0.172995,0.730488,0.747451,0.501378,2.43991,1.29954,-1.0371,0.246848,-0.540133,-2.26498,0.343477,-0.424748,-0.507373,-0.802537,-0.712106,0.185072,-0.993435,0.396928,-0.124419,-1.26688,0.575539,-1.23576,-0.604274,-0.789433,2.57167,0.318909,0.822131,0.401801,0.399524,0.0288195,-0.117433,0.496011,-0.000602787,1.22214,0.338271,0.429556,0.56523,0.909119,-0.384038,-0.22152,0.941917,-0.176177,-0.383799,0.156677,-0.281456,0.725131,-0.364449,-0.146201,0.355391,-0.606618,-0.486151,-0.918848,-0.948194,-0.271322,-0.225126,0.217279,-0.841083,0.786907,-1.03742,-0.200594,-1.20536,-1.01103,-0.732696,-0.391753,-0.981005,-0.79743,-0.658638,-0.654416,-0.715677,-0.233066,-0.516969,-1.09869,-0.779044,-0.974968,-1.40438,-0.754987,-0.946242,-0.966812,-1.0403,-1.01778,-0.794424,-1.08782,-0.74168,-0.871473,-1.1559,-0.697214,-1.14815,-0.990936,-1.03703,-0.200264,-0.761104,-0.635823
-4218.84,0.994861,0.0719158,6,63,0,4255.88,-0.572035,0.171533,-0.469911,-0.914548,0.0367665,0.298793,0.505796,0.215949,-0.495223,-1.05825,-1.53103,-0.689106,-0.277568,-0.84047,-1.13804,-1.26691,-1.51762,1.31119,0.182419,-2.03408,0.993573,0.973213,-0.960967,1.68627,0.528326,1.43241,0.220091,-0.320206,0.180248,-1.71235,-1.25905,0.847872,-0.821568,0.674346,-0.553639,-1.60906,-1.33775,0.356173,-0.207017,-0.390617,0.370015,0.244183,-0.329027,-0.0391179,0.154793,0.219771,1.36561,0.170322,0.297759,0.362748,0.759829,-0.162678,-0.111926,0.958536,0.100051,-0.0905321,0.332138,-0.330063,0.655058,-0.063877,-0.481102,0.416245,-0.729272,-0.743518,-0.814079,-0.79452,-0.38485,-0.0445278,0.186497,-0.977298,0.758999,-0.67668,-0.363383,0.398852,0.277267,0.175171,0.356984,0.445855,0.324297,0.260036,0.232207,0.178067,0.788947,0.545189,0.0665361,0.720357,0.715961,0.298275,0.869945,0.619887,0.815125,0.553324,0.436647,0.54472,0.136015,0.233904,0.688893,0.328379,0.65142,0.386238,0.15832,0.21691,0.582711,0.46109,0.421442
-4217.79,0.998183,0.0719158,6,63,0,4260.72,-0.698021,0.725745,0.329151,-0.254732,0.0455673,0.250536,0.0103831,0.139723,0.0308907,-0.445202,-1.31449,-0.805788,-0.650699,-1.31888,-1.3647,-0.494326,-1.60949,1.79818,0.683177,-1.68355,0.716733,0.775395,-0.663116,0.962723,0.367044,1.31625,-0.346774,0.00460895,0.341406,-1.22389,-0.874102,1.77939,-0.0904254,1.06376,0.0943441,-1.41849,-0.846209,-0.16114,0.523696,-0.685692,0.424394,0.139043,-0.406498,-0.018133,0.203712,0.145732,1.30381,0.245595,0.32524,0.415361,0.763919,-0.196344,-0.165784,0.839416,0.183201,-0.150152,0.330082,-0.397675,0.590863,-0.245464,-0.473009,0.474014,-0.669117,-0.735026,-0.880537,-0.746541,-0.448862,0.00252354,0.13699,-0.959296,0.766794,-0.747735,-0.382046,0.0146993,-0.0518219,-0.173282,-0.102204,-0.0805347,-0.173895,-0.180297,-0.0586857,-0.214501,0.261631,0.105839,-0.224848,0.110528,0.118724,-0.0822696,0.144898,0.0616678,0.194294,-0.0380693,0.0110271,0.0580856,-0.160623,-0.111749,0.259005,-0.00225141,0.159016,0.0235652,-0.187813,-0.107852,-0.0121318,0.0835557,-0.0854241
