# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim5_re_model
# start_datetime = 2022-03-14 08:21:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a006a3f462d.json
# init = 2 (Default)
# random
#   seed = 648544908
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0232316
# Diagonal elements of inverse mass matrix:
# 0.160518, 0.0979252, 0.0959819, 0.0910325, 0.013337, 0.00620392, 0.196873, 0.0236604, 0.285864, 0.176354, 0.195549, 0.290481, 0.222444, 0.26357, 0.292798, 0.245067, 0.171954, 0.199184, 0.190838, 0.227616, 0.224148, 0.1668, 0.289546, 0.229641, 0.192825, 0.208299, 0.185187, 0.27001, 0.164365, 0.217697, 0.258573, 0.265071, 0.197768, 0.259866, 0.257229, 0.267755, 0.20896, 0.249116, 0.206329, 0.180096, 0.169953, 1.21486, 0.811087, 0.781917, 0.824609, 0.761543, 0.715499, 0.847655, 0.83344, 0.791841, 0.807828, 0.79565
-4226.97,0.997289,0.0232316,7,255,0,4253.13,0.0347198,-0.507744,-0.186132,-0.663547,-0.291422,0.0249705,-0.084824,0.595498,-0.761055,-0.190389,0.021382,0.182888,0.8026,1.82588,0.502667,-0.133475,0.778172,1.80722,-0.0159338,0.227287,1.36905,-0.403808,0.362214,1.01772,-0.367183,1.31652,-0.432582,-1.1874,0.0686816,-1.27254,-0.906446,0.0383783,-0.543896,0.699155,0.638163,1.40387,-0.240727,2.50922,-0.242657,0.458119,0.262859,0.0480239,-0.0072616,0.00151857,-1.00342,0.27907,0.267009,-0.244786,0.689136,2.06678,0.389145,-0.665734,-0.53803,-0.1982,-0.072091,0.0240855,0.393123,1.00248,0.214513,-0.164308,0.378576,0.99137,-0.0943125,0.0505251,0.730442,-0.325291,0.130874,0.521224,-0.303481,0.699158,-0.342425,-0.79192,-0.0439242,-0.842618,-0.62461,-0.0619698,-0.408713,0.331521,0.2952,0.751177,-0.228176,1.40941,-0.229326,0.187985,0.26251,0.262932,0.214671,0.276261,0.275682,0.251104,0.295954,0.362114,0.281547,0.230888,-0.329875,-0.240603,-0.398223,-0.0326397,-0.00669649,0.962531,-0.234023,0.0544957,0.19492,0.843334,-0.41102,-0.382464,0.665332,-0.521004,-0.39606,0.0512061,-0.369815,0.71716,-0.574982,-0.772694,-0.215891,-1.19268,-1.0615,-1.22312,-1.17805,-0.379676,-0.49421,-0.121345,-1.24562,0.737506,-1.1043,-0.378287
-4224.13,0.990862,0.0232316,7,127,0,4246.08,0.411751,-0.107456,-0.0248217,-0.204989,-0.11145,0.0565897,-0.465292,0.577316,-0.242957,-0.520425,-0.281878,0.785542,0.908504,1.49181,1.01065,0.401228,1.16879,0.938167,-0.531979,-0.301659,1.45275,-0.208111,0.133078,0.389582,-0.187912,0.62251,-0.160955,-0.795051,0.0980249,-1.2484,-1.01585,-0.795118,-1.43687,-0.707508,-0.0600789,0.733493,-1.53292,1.57503,-1.10919,0.0568042,0.0288414,0.0324824,0.509774,-0.308543,-1.9217,0.53763,-1.25743,-0.188681,0.451218,-2.16704,0.892616,0.699719,-0.605555,-0.765741,-0.628024,-0.0117862,0.0592021,0.395954,0.118171,-0.233657,0.209468,0.0763268,-0.772411,-0.639444,0.373403,-0.585437,-0.388464,-0.24038,-0.573776,-0.105907,-0.558214,-0.924287,-0.4087,-1.18601,-1.05176,-0.924326,-1.29482,-0.873747,-0.499976,-0.0418349,-1.35027,0.443998,-1.10564,-0.432498,0.0454001,0.0188192,-0.0335801,0.0463049,-0.0120029,0.0227126,0.0434981,-0.0415493,0.0578357,0.05157,0.100367,-0.202682,-0.126432,0.451716,0.438533,1.05403,0.431832,0.429298,0.765548,0.646029,-0.361295,-0.178718,0.887418,-0.12137,-0.00402703,0.0717437,-0.10727,0.439893,-0.155277,-0.330979,0.0644482,-0.780972,-0.724551,-0.874102,-1.09475,-0.698486,-0.166466,0.25989,-1.19805,0.775407,-0.898933,-0.107732
-4227.88,0.976192,0.0232316,7,127,0,4251.66,-0.208945,-0.0430704,-0.119989,-0.31264,-0.0621903,0.168118,-0.630889,0.491869,-0.531367,-0.349586,-0.933723,1.35506,1.28035,1.40134,0.96472,0.811205,1.02525,1.02627,-0.466255,-1.27902,1.82286,0.193177,-0.428119,1.08054,0.315651,1.00571,-0.0566534,-0.602587,0.412491,-1.31107,-0.576696,-1.06619,-1.01053,0.367199,0.11437,0.611163,-1.25546,2.70907,-1.26957,0.412797,0.531065,0.0513323,1.19179,-0.0357595,-0.900636,-0.402333,0.110148,0.817706,0.236189,-0.644808,1.51706,1.54925,-0.892253,-0.80284,-1.09016,0.035624,-0.00112395,0.0583864,-0.156373,-0.231883,-0.126602,-0.126097,-0.860226,-1.26,0.26572,-0.535871,-0.841468,-0.0994032,-0.475631,-0.136211,-0.658755,-0.927284,-0.427998,-1.27576,-0.914548,-1.15531,-1.12794,-0.450276,-0.574634,-0.330277,-1.24841,0.701621,-1.25535,-0.427847,0.592242,0.529229,0.484833,0.510412,0.536719,0.573039,0.543189,0.497965,0.608939,0.610591,-0.510534,-0.637381,-0.822459,-0.127551,-0.0747276,0.549947,-0.403162,-0.010681,0.171503,0.179609,-0.916093,-1.0151,0.280782,-0.548681,-0.762172,-0.333539,-0.623619,-0.103413,-0.842216,-0.731435,-0.435739,-1.32151,-1.23238,-1.62771,-1.51672,-0.989438,-0.479331,-0.25271,-1.52735,0.659211,-1.50388,-0.610504
-4229.12,0.996487,0.0232316,7,255,0,4253.24,-0.140575,-0.276134,-0.349057,-0.499592,-0.211222,0.170714,-0.890951,0.538623,-1.07379,-0.947007,-1.11472,0.28117,0.884866,0.40908,1.05232,-0.150928,0.354067,0.53355,-0.465109,-0.665395,1.30241,-0.023676,0.487041,1.63946,-0.143442,0.561526,-0.0915722,-1.00192,0.082381,-0.957144,-0.962718,-0.606314,-0.826441,0.262554,0.039523,0.765834,-0.860213,1.8964,-0.863231,-0.026364,1.05967,0.0555543,0.999681,-0.323451,-1.1348,-0.729372,-1.07414,0.344572,-0.290929,0.0909386,-0.326356,0.178675,-1.46932,-1.40103,-1.49137,-0.739507,-0.414342,-0.670612,-0.324148,-0.972245,-0.700243,-0.603569,-1.14147,-1.24935,-0.189441,-0.903704,-0.62862,-0.00789757,-0.968213,-0.588501,-0.940274,-1.43061,-0.846579,-1.40649,-1.40949,-1.21753,-1.33609,-0.749534,-0.869663,-0.478455,-1.35428,0.130494,-1.35591,-0.905152,1.11521,1.0417,0.996628,1.01915,0.999998,1.07881,1.04351,1.06472,1.04154,1.0696,-0.934463,-1.2004,-1.34376,-0.854483,-0.625378,-0.162971,-0.723109,-0.582287,-0.449372,-0.326882,-1.29227,-1.1792,-0.31129,-1.12021,-0.932584,-0.575839,-1.24356,-0.650111,-1.3361,-1.33871,-1.04588,-1.73487,-1.75793,-2.0909,-1.92549,-1.4494,-1.01576,-0.684791,-1.97089,-0.0830498,-1.86925,-1.19475
-4226.52,0.997803,0.0232316,7,127,0,4256.81,-0.306173,-0.139491,-0.131374,-0.38187,-0.282528,0.176423,-0.525197,0.474927,-1.07715,-1.19787,-0.573204,0.463374,1.18282,1.0233,0.878153,-0.413533,-0.235934,0.719703,-0.378992,0.00698886,1.31672,-0.0274484,0.535841,1.21386,-0.322935,0.636263,-0.173143,-1.07591,-0.0109346,-1.03725,-0.883594,-0.616163,-0.857524,0.6293,-0.159412,0.632867,-0.334639,1.53435,-1.05225,0.0844052,0.680352,0.0402242,0.237411,0.338855,-1.42959,-0.834019,-1.38526,0.804594,0.447476,-1.78351,-0.651244,1.1609,-1.03677,-1.0941,-0.797427,-0.305129,0.0365559,-0.0392036,-0.108139,-0.721595,-0.637249,-0.183391,-0.705191,-0.521878,0.100149,-0.538233,-0.270712,0.0512979,-0.678568,-0.223019,-0.607428,-1.03618,-0.530391,-1.01782,-0.94484,-0.81783,-0.932458,-0.226326,-0.600907,-0.224632,-0.684127,0.203505,-1.02494,-0.485111,0.689901,0.693982,0.622847,0.646804,0.624631,0.712716,0.698351,0.608611,0.654156,0.727048,-0.365394,-0.817851,-0.644037,-0.347198,-0.185922,0.543845,-0.530062,-0.192115,-0.345731,0.142659,-0.847094,-0.472085,0.0507004,-0.7143,-0.615677,-0.542917,-0.881419,-0.191893,-0.971428,-0.851649,-0.683436,-1.34352,-1.29459,-1.86973,-1.60451,-0.994224,-0.835772,-0.540073,-1.4445,-0.0696558,-1.64718,-0.808077
-4233.05,0.980848,0.0232316,7,127,0,4260.28,0.0752619,-0.359974,-0.00200829,-0.249973,-0.4707,0.0710327,-0.41806,0.511168,-1.67927,-1.3395,0.525501,-0.112535,0.657675,1.69902,0.699093,-0.547212,0.18068,0.935005,0.292472,0.161717,1.16922,-0.0847259,0.938713,0.829799,-0.675237,0.750247,-0.0382008,-1.52215,0.516406,-0.4805,-1.58114,0.545846,-0.824651,0.0540265,0.636893,1.37127,0.202685,2.04947,-0.779892,-0.171606,0.299724,0.064645,0.173447,1.96829,-0.506997,-2.00347,1.66062,1.40894,-0.171086,-1.5622,1.19076,-0.261929,-1.27645,-1.10277,-0.149441,-0.475584,-0.0818783,0.450425,-0.0607066,-0.697778,-0.325702,0.0598841,-0.268558,-0.335396,0.179606,-0.461369,0.0617795,0.00610612,-0.76322,-0.0345585,-0.437587,-1.19613,-0.15409,-0.663676,-1.22629,-0.139042,-0.839595,-0.390444,-0.092501,0.282887,-0.314454,0.62956,-0.816716,-0.50578,0.310937,0.426965,0.266949,0.17021,0.407075,0.390806,0.288664,0.198736,0.376701,0.282792,-0.36883,-0.630549,-0.104794,-0.0878969,-0.21765,0.988003,-0.305866,0.196342,-0.0509285,0.392189,-0.27009,-0.463343,0.453655,-0.398269,-0.379403,-0.404547,-0.521849,0.373731,-0.464697,-0.755166,-0.0526355,-0.849879,-1.06029,-1.14285,-1.21056,-0.698197,-0.403781,-0.162633,-1.05546,0.477374,-1.32759,-0.51805
