# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = CJD_NC_sim5_re_model
# start_datetime = 2022-03-14 08:21:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyMdfRF/standata-a006a3f462d.json
# init = 2 (Default)
# random
#   seed = 648544908
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5_re-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/CJD_NC_sim5_re-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=CJD_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0281971
# Diagonal elements of inverse mass matrix:
# 0.173403, 0.0985882, 0.087199, 0.0968259, 0.0122198, 0.00595689, 0.173382, 0.0196547, 0.256392, 0.175421, 0.204152, 0.286367, 0.217937, 0.257364, 0.308464, 0.266064, 0.186887, 0.185051, 0.196786, 0.230481, 0.233956, 0.16846, 0.254569, 0.215853, 0.203923, 0.221259, 0.18467, 0.244558, 0.16809, 0.198598, 0.252876, 0.280959, 0.192466, 0.264681, 0.273777, 0.28421, 0.227378, 0.26075, 0.182938, 0.180554, 0.171695, 1.12438, 0.913935, 0.761135, 0.870512, 0.837374, 0.737835, 0.833193, 0.893369, 0.838043, 0.822758, 0.807018
-4228.2,1,0.0281971,7,127,0,4256.56,0.104338,-0.285402,0.00465229,-0.218034,-0.275483,0.162166,-0.351696,0.427966,-0.719053,-1.03093,-0.20837,1.38846,0.630615,1.55679,1.33504,-0.178265,0.718348,1.81396,-0.640196,-0.514748,1.17902,-0.397818,-0.0791757,0.97535,-0.407677,0.784768,-0.593638,-1.20835,-0.155245,-1.63037,-1.10503,-0.994257,-1.37661,0.309988,-0.404671,0.401081,-1.49675,1.87543,-0.944104,0.13489,0.0918621,0.0845281,-0.421689,2.23271,-1.78196,-0.0900298,0.9754,-0.488403,2.47424,-1.17425,0.423257,-0.00439135,-0.659426,-0.792898,-0.440871,0.24252,-0.0818137,0.314557,0.219657,-0.427987,-0.0442667,0.424617,-0.625678,-0.57199,0.152887,-0.521948,-0.38558,0.0657213,-0.526168,-0.0158412,-0.605753,-0.868828,-0.418135,-1.04944,-0.824612,-0.777204,-0.940839,-0.219031,-0.524881,-0.180046,-0.992256,0.450926,-0.755741,-0.293967,0.0562175,0.280589,-0.0587636,0.084252,0.174311,0.0505783,0.301005,-0.00739467,0.127639,0.0914909,0.219118,-0.289771,-0.0673931,0.454987,-0.0551149,1.09712,0.0617422,0.322062,0.463896,0.96645,-0.520413,-0.299526,0.620583,-0.177714,-0.21589,0.0120927,-0.198191,0.53042,-0.434908,-0.182848,-0.0514532,-0.851111,-0.618309,-1.25555,-1.0488,-0.410591,-0.236133,0.0301363,-1.19619,0.712193,-0.824995,-0.0714058
-4233.6,0.991376,0.0281971,7,127,0,4258.12,0.107186,-0.13412,-0.46421,-0.691039,-0.159394,0.174105,0.472322,0.444134,-1.57019,-1.35671,-1.14627,0.148554,0.523339,1.52298,0.218124,-0.104014,0.0688237,0.990404,-1.13355,-2.08337,1.69442,-0.224671,-0.0626629,1.12578,0.0400887,1.19686,-0.882413,-0.6533,0.00101884,-1.8773,-0.91903,-0.86319,-0.416637,0.804946,-0.603811,0.525678,-0.953128,2.43317,-1.53206,0.257594,-0.428778,0.0355256,-1.01724,-1.20154,-0.62373,-0.408342,0.120026,0.538365,-0.940263,-0.167787,-0.372766,1.7594,-0.225051,-0.130238,-0.0367755,0.5383,0.704755,1.14873,0.569198,0.426126,0.502889,0.912194,-0.0311261,-0.452972,1.22487,0.372538,0.444492,0.972321,0.490127,1.00389,0.0804124,0.182169,0.472775,-0.36145,0.0641496,0.0889502,0.287279,0.829826,0.204149,0.705794,0.0490057,1.55297,-0.208116,0.586729,-0.464916,-0.471464,-0.450937,-0.443285,-0.424514,-0.409653,-0.462182,-0.434739,-0.442021,-0.366275,0.601932,0.399253,0.497977,0.739063,0.878309,2.00046,0.555659,1.09849,1.11557,1.54436,0.187886,0.023334,1.23595,0.31218,0.363418,0.601482,0.340085,1.06042,-0.160546,0.39982,0.425404,-0.506231,-0.254276,-0.62561,-0.212979,0.200921,0.174255,0.630442,-0.426509,1.4269,-0.605703,0.357986
-4232.98,0.966517,0.0281971,7,127,0,4261.31,-0.274719,0.739611,0.656415,0.319037,-0.12288,0.139489,-0.585441,0.379052,-1.19382,-0.728697,-0.877276,1.17683,0.711913,1.86804,1.36447,0.528227,0.690582,1.50445,-0.748251,-1.78636,2.00526,-0.163969,0.0921527,1.10793,0.0923224,1.01238,-0.731508,-0.648035,0.207823,-1.84763,-0.627969,-0.474265,-0.11013,1.25199,-0.656925,0.251605,-0.724064,2.2126,-1.45008,0.408459,-0.0740385,0.0790437,-0.857352,1.47473,0.45531,-0.0214681,0.420156,-0.0243612,1.31912,-1.28718,-0.0332805,0.886119,-1.03796,-0.861654,-0.917973,-0.139363,-0.315589,0.122643,-0.0682364,-0.385215,-0.323674,-0.0151774,-0.869066,-1.26256,0.174655,-0.647593,-0.55051,-0.165476,-0.550446,-0.201697,-0.86272,-0.831079,-0.506665,-1.28579,-0.823473,-0.765211,-0.627186,-0.11087,-0.834449,-0.490069,-0.859898,0.253251,-1.1351,-0.430614,-0.141807,0.0425295,-0.0380491,-0.0757354,-0.0408278,-0.0759641,0.0302296,-0.175782,-0.0766691,-0.00399634,0.101036,0.0427313,-0.00426346,0.501063,0.30913,1.28598,0.406981,0.62931,0.650111,0.973628,-0.209303,-0.393909,0.850662,-0.0266568,0.0597257,0.210838,-0.00391587,0.509354,-0.386279,0.0094478,0.124284,-0.729933,-0.569264,-0.816389,-0.513154,-0.101284,-0.342001,-0.0326655,-0.721523,0.666285,-0.936646,-0.101998
-4226.58,0.92966,0.0281971,7,127,0,4250.48,-0.222131,0.527564,0.374547,0.435519,-0.226402,0.159591,-0.991629,0.362993,-1.85381,-1.03303,-0.635422,0.744426,0.268144,1.04992,1.3133,-0.187925,0.231815,1.41855,-0.0606166,-0.998468,2.25871,0.308738,0.79349,1.13143,0.178678,1.73296,-0.258113,-1.25319,0.91704,-0.776177,-1.25708,-0.475764,-1.11088,0.116223,-0.421893,0.385449,-2.08433,2.15003,-1.32051,-0.492141,0.453316,0.115741,-0.117577,0.882196,-0.666825,-0.47128,0.544963,0.282967,1.05654,-0.448052,-0.304408,-0.0975384,-1.66455,-1.36661,-1.22228,-0.721407,-0.894294,-0.610514,-0.51491,-1.05984,-0.907481,-0.476705,-1.01363,-1.35407,-0.171731,-0.879559,-0.703597,-0.580925,-0.92677,-0.362575,-1.08532,-1.44653,-0.658749,-1.27338,-1.44794,-1.16433,-1.39487,-0.94944,-1.14477,-0.851713,-1.74822,-0.211181,-1.47096,-1.17027,0.439707,0.555422,0.376137,0.398769,0.51639,0.486066,0.5756,0.401458,0.418083,0.442026,-0.409342,-0.446252,-0.382158,-0.0925573,-0.391799,0.59213,-0.190453,0.0634437,0.0433315,0.50178,-0.446568,-0.596957,0.328114,-0.481177,-0.422346,-0.535839,-0.568066,0.201839,-0.855755,-0.740972,-0.24192,-0.994907,-0.94525,-1.2243,-1.15045,-0.800044,-0.495375,-0.266883,-1.55637,0.389315,-1.16842,-0.627903
-4235.35,0.999984,0.0281971,8,255,0,4254.48,0.125427,-0.349265,0.137008,-0.442031,-0.415655,0.153316,0.0957605,0.546576,-1.53688,-1.70552,-1.12046,-0.2265,0.491733,0.614779,0.783116,-1.00697,0.156863,0.949007,-1.07564,-0.387469,0.503281,-1.24332,-0.725591,0.320313,-0.959802,-0.780627,-0.799813,-2.1829,-0.250965,-1.51562,-1.26758,-0.0953884,-1.19201,0.255445,0.083712,0.596613,0.224586,1.39412,-1.09074,-0.366635,-0.101345,0.0399933,0.444712,1.69978,1.46239,0.901967,1.14922,1.75842,0.906081,-0.478815,-0.348191,-1.30565,-0.744262,-0.836437,-0.516655,-0.0280387,0.36453,0.431784,0.523793,-0.454627,0.181498,0.614465,-0.492156,-0.116021,0.370842,-0.583808,-0.30083,0.270836,-0.428844,-0.330911,-0.341398,-1.09736,-0.0414108,-0.73264,-0.597065,0.0436236,-0.555764,0.235381,0.141515,0.421855,0.218514,0.857754,-0.500409,-0.104633,-0.0835599,-0.0333657,-0.0428594,-0.0652727,-0.0553841,-0.0310203,-0.0651082,-0.120495,-0.115271,-0.153563,0.356567,-0.21068,-0.17788,0.34189,0.362804,1.29643,0.334882,0.54369,0.723488,1.20726,-0.37534,0.0703437,0.991771,-0.149159,-0.220901,0.196544,0.0726378,0.408559,-0.0769994,-0.238442,0.427107,-0.51814,-0.522212,-0.914529,-0.955078,-0.198707,0.0666741,0.228472,-0.416977,0.832811,-0.932686,-0.0966125
-4236.49,0.987037,0.0281971,7,127,0,4258.32,-0.609189,-0.286283,-0.125092,-0.667598,-0.181002,0.249615,-0.0333494,0.446062,-1.70306,-1.67716,-1.3766,1.1344,0.835973,0.806531,1.02134,0.154995,0.113769,0.828866,-0.997274,-0.840275,1.53915,-1.30282,-0.96377,0.456858,-0.0609369,0.33038,-0.255658,-2.31429,-0.0245246,-1.9128,-0.955639,-0.175061,-1.23618,1.02433,-0.345197,0.0465487,-0.249733,1.9028,-1.60351,0.0500728,0.587978,0.0320756,0.34804,-2.46662,-1.25169,0.965071,1.03249,0.0667121,0.326911,-0.823415,-0.225018,-0.204007,-0.793019,-0.781465,-0.647396,0.472664,0.339546,0.326413,0.422232,0.0357879,0.0173987,0.336376,-0.478195,-0.408164,0.653208,-0.614489,-0.46325,0.170437,-0.0605311,0.11402,-0.147389,-1.06567,-0.0442889,-0.886576,-0.459623,-0.111437,-0.58476,0.423565,-0.187329,-0.0125858,-0.144746,0.815418,-0.748614,-0.0110139,0.599142,0.50886,0.54783,0.618934,0.621096,0.590118,0.598464,0.561567,0.580761,0.581435,-0.563096,-0.941268,-0.749317,-0.164246,-0.276354,0.636342,-0.458031,0.03822,0.00396942,0.34507,-1.04247,-0.576454,0.44074,-0.908075,-0.728451,-0.527624,-0.507865,-0.0468272,-0.697963,-0.991648,-0.323126,-1.27603,-1.38309,-1.48474,-1.71471,-0.904381,-0.627431,-0.504309,-1.19469,0.214193,-1.71007,-0.780736
