# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = E_NC_sim2_model
# start_datetime = 2022-05-13 18:47:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmSGtHv/standata-620c14e070e9.json
# init = 2 (Default)
# random
#   seed = 2129235941
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/E_sim2_power2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/E_NC_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --name=E_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,aHS.3,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,z_re.51,z_re.52,z_re.53,z_re.54,z_re.55,z_re.56,z_re.57,z_re.58,z_re.59,z_re.60,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,re_i.51,re_i.52,re_i.53,re_i.54,re_i.55,re_i.56,re_i.57,re_i.58,re_i.59,re_i.60,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,SI.51,SI.52,SI.53,SI.54,SI.55,SI.56,SI.57,SI.58,SI.59,SI.60,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50,Ht.51,Ht.52,Ht.53,Ht.54,Ht.55,Ht.56,Ht.57,Ht.58,Ht.59,Ht.60
# Adaptation terminated
# Step size = 0.0700873
# Diagonal elements of inverse mass matrix:
# 0.0237235, 0.00796492, 0.0376686, 0.0305722, 0.0404898, 0.0025862, 0.0272339, 0.0127264, 0.23366, 0.13886, 0.165332, 0.156015, 0.140905, 0.163186, 0.148971, 0.156607, 0.160576, 0.130856, 0.177231, 0.146581, 0.183379, 0.141728, 0.130112, 0.154896, 0.138848, 0.141067, 0.181937, 0.141424, 0.133062, 0.178977, 0.21767, 0.18234, 0.142426, 0.197375, 0.180143, 0.144402, 0.194977, 0.150243, 0.159782, 0.161113, 0.152215, 0.154286, 0.178731, 0.169961, 0.19128, 0.146627, 0.151707, 0.13448, 0.175801, 0.137727, 0.203766, 0.163875, 0.205026, 0.194604, 0.137144, 0.187598, 0.217635, 0.158215, 0.160001, 0.222479, 0.155652, 0.186293, 0.199, 0.217412, 0.168864, 0.16187, 0.205122, 0.1951, 0.00150851
571.942,0.99557,0.0700873,7,127,0,-539.632,-0.0730221,-0.168819,0.15673,0.0190248,0.0176793,0.12634,0.00996453,0.401029,3.00602,1.16674,0.821541,-0.0777609,0.577198,0.336321,-0.15573,-0.784564,-0.974686,1.689,-1.14156,1.08772,0.19357,1.07471,1.08985,1.49034,0.309093,0.218912,-0.617372,1.24953,-0.504977,1.43052,-0.845366,-0.382172,-0.842448,-0.489564,-1.43299,-0.446277,-2.19222,1.51671,1.26628,-1.21576,0.649766,-0.461117,-0.933287,2.3873,1.19829,0.454611,-0.753653,0.542617,-0.891483,-0.606086,0.762052,-1.06327,-0.195051,-0.290829,-0.698965,-1.61607,0.910877,-1.32889,-0.367256,0.986477,-0.821761,-0.30418,-0.683867,1.06254,1.69553,-0.898867,-0.312356,1.21613,8.97369,1.21547,0.477859,0.339426,-0.0212198,0.241437,0.144839,-0.0524878,-0.304668,-0.380912,0.687303,-0.447835,0.446173,0.0875915,0.440954,0.447027,0.607634,0.13392,0.0977545,-0.237619,0.51106,-0.192546,0.583644,-0.329052,-0.143297,-0.327881,-0.186365,-0.564705,-0.169005,-0.869178,0.618209,0.517781,-0.47759,0.270539,-0.174956,-0.36431,0.967339,0.490512,0.192277,-0.292272,0.22757,-0.347545,-0.233093,0.315569,-0.416437,-0.0682565,-0.106666,-0.27034,-0.638125,0.375252,-0.522959,-0.137315,0.40557,-0.319585,-0.11202,-0.264286,0.436075,0.68992,-0.350507,-0.115299,0.497666,1.91484,0.986161,0.941698,0.355347,0.836056,0.602328,0.385681,-0.0814148,0.237544,1.21718,0.249285,0.889737,0.862498,0.927677,0.858222,1.12133,0.636826,0.508949,0.416342,1.19965,-0.086295,0.71461,-0.357671,0.323529,-0.038207,-0.0940394,-0.175665,0.236219,-0.555666,0.897094,0.629426,-0.427546,0.360606,-0.0979387,-0.301218,1.00659,0.456498,0.285479,0.123742,0.350005,-0.275009,-0.117398,0.6655,-0.206772,-0.262325,0.19697,-0.351118,-0.473877,0.565597,-0.455818,-0.131776,0.703811,-0.335625,-0.405454,-0.487587,0.658789,0.794825,-0.566154,0.166758,0.561672,0.128438,0.271671,0.280557,0.412086,0.302366,0.353811,0.404757,0.520342,0.440892,0.228432,0.437999,0.291164,0.296818,0.283396,0.297711,0.245765,0.345964,0.37544,0.397392,0.231538,0.52156,0.328581,0.588477,0.419816,0.509551,0.523493,0.543804,0.441218,0.635449,0.289648,0.347641,0.605288,0.410813,0.524465,0.57474,0.267647,0.387817,0.429111,0.469104,0.413381,0.568322,0.529316,0.339505,0.55151,0.565208,0.450916,0.586889,0.616301,0.362253,0.612022,0.532896,0.330968,0.583127,0.599997,0.619538,0.341012,0.311134,0.637875,0.458407,0.363161
565.53,0.991413,0.0700873,6,63,0,-531.413,-0.0741206,-0.0109779,0.563066,-0.0782047,-0.0672149,0.0854864,0.0597288,0.407714,2.45602,0.333119,0.915715,-0.41659,0.330164,0.138583,-0.865825,-1.48139,-1.35525,0.271466,-0.866428,0.495134,-0.592368,0.995839,0.0707247,0.771833,-0.61817,-0.658487,-0.704591,1.3615,0.247534,0.994189,-0.345391,0.152883,-0.631189,0.234587,-0.546648,1.37014,-1.89498,1.45924,0.802155,-0.525547,0.204523,0.707779,-1.96825,1.19236,1.83118,0.892955,-0.36822,0.553824,-0.621703,-0.74949,1.5714,-0.92372,-0.579577,-0.366958,0.0490237,-1.493,0.23226,-1.302,-0.379804,0.584148,-1.70833,0.127818,-1.57496,1.59242,1.55983,-0.479354,-0.966829,0.492597,9.04155,1.06108,0.195546,0.433078,-0.110121,0.194341,0.116231,-0.29328,-0.544253,-0.492826,0.170409,-0.293526,0.261602,-0.181788,0.465746,0.0885643,0.374416,-0.192308,-0.208745,-0.227542,0.614832,0.160652,0.465073,-0.0810919,0.122061,-0.197615,0.155373,-0.163147,0.618353,-0.712881,0.654682,0.386779,-0.154544,0.143116,0.3483,-0.742752,0.54587,0.806325,0.423799,-0.0903994,0.28553,-0.193748,-0.245848,0.700412,-0.316885,-0.176573,-0.0898851,0.0797164,-0.548988,0.154424,-0.471113,-0.0951226,0.297894,-0.636781,0.111842,-0.582404,0.708981,0.695692,-0.13571,-0.334461,0.260567,1.82187,0.866643,1.18756,0.475139,0.871052,0.706753,0.373257,-0.0462335,0.262705,0.84291,0.38985,0.92849,0.583917,1.13544,0.753347,1.04586,0.478439,0.456038,0.453027,1.37492,0.173289,0.402047,-0.0772253,0.312687,-0.173051,0.244375,-0.0548501,0.727702,-0.609495,0.678545,0.399766,-0.222833,0.1547,0.281765,-0.732921,0.476879,0.809841,0.358316,0.0196516,0.29922,-0.172226,-0.22152,0.817243,-0.209175,-0.249658,0.101206,0.0139978,-0.521503,0.338149,-0.449942,-0.155228,0.488634,-0.69829,-0.0449762,-0.734661,0.89481,0.719319,-0.210199,-0.144772,0.358805,0.139209,0.295953,0.233696,0.383401,0.295036,0.330317,0.407754,0.511556,0.434699,0.300922,0.403753,0.283231,0.358032,0.243159,0.320092,0.26002,0.382621,0.387926,0.388641,0.201825,0.456786,0.400821,0.519297,0.422459,0.543155,0.439208,0.513709,0.325699,0.647826,0.336586,0.401368,0.555479,0.461402,0.430021,0.675446,0.382989,0.307924,0.411367,0.495087,0.425748,0.54295,0.555155,0.306349,0.552104,0.562092,0.47472,0.496501,0.627499,0.416259,0.610625,0.538729,0.380215,0.667809,0.511242,0.675827,0.290118,0.327543,0.552357,0.53613,0.411249
558.487,0.995065,0.0700873,6,63,0,-526.433,0.192963,-0.0847279,0.24994,-0.3616,-0.232721,0.0898654,0.0762593,0.363415,2.03435,0.536059,0.216198,-0.999825,0.0147004,-0.20713,-1.24847,-1.52455,-2.3133,0.489711,-1.7934,-0.00177863,-0.63548,-0.10922,0.0377051,0.759888,-0.722969,-0.855928,-1.53533,0.4247,-0.046307,1.56495,-1.13429,0.482198,-0.351309,-0.409215,-0.544651,0.0927968,-1.92507,2.09665,1.81228,-1.25549,0.823172,-0.350514,-0.543606,2.35761,0.509198,1.00311,0.181856,0.935199,-1.4495,-1.53586,0.570752,-0.97913,-0.323292,-0.428903,-0.370739,-1.75086,1.19807,-1.49653,-0.606337,1.85015,-1.43314,-0.0582309,-0.558185,0.443547,1.6757,-1.04739,-0.663181,1.41822,8.74366,0.81557,0.271071,0.154829,-0.287092,0.0816016,0.000985247,-0.377452,-0.477783,-0.764428,0.254227,-0.575487,0.0756129,-0.154683,0.0365671,0.0899619,0.352414,-0.186478,-0.234798,-0.481704,0.230602,0.0594307,0.644986,-0.335959,0.251497,-0.0514116,-0.0724554,-0.121675,0.109983,-0.623341,0.838214,0.734868,-0.380005,0.375412,-0.0511227,-0.121295,0.93305,0.261309,0.440803,0.142348,0.416124,-0.450509,-0.481896,0.283679,-0.279571,-0.0412298,-0.0796104,-0.0584727,-0.56003,0.511656,-0.467601,-0.144092,0.748631,-0.444564,0.0550974,-0.126593,0.237451,0.685232,-0.304379,-0.16475,0.59166,1.64684,0.979987,0.937364,0.329251,0.833839,0.657942,0.296266,0.0351566,0.0262301,0.973973,0.228194,0.752038,0.714495,0.734653,0.750141,1.06404,0.51973,0.425382,0.300317,1.05646,0.0241341,0.595637,-0.438945,0.450083,0.00534988,-0.0882839,0.0114142,0.251195,-0.528158,0.88956,0.702279,-0.469969,0.331993,-0.127548,-0.178252,0.837671,0.155615,0.372501,0.288975,0.38895,-0.373172,-0.382899,0.526694,-0.106953,-0.124156,0.166627,-0.0845391,-0.436664,0.701034,-0.392971,-0.126837,0.992161,-0.438139,-0.104156,-0.250648,0.443074,0.778814,-0.398135,0.0706566,0.691173,0.161536,0.272894,0.281433,0.418423,0.302834,0.341202,0.426471,0.491212,0.493443,0.274089,0.443198,0.320377,0.328606,0.324175,0.320791,0.256539,0.372915,0.39523,0.42548,0.257987,0.493967,0.355343,0.608008,0.389341,0.498663,0.522057,0.497146,0.437529,0.629053,0.291201,0.331307,0.615376,0.417756,0.531844,0.544445,0.302025,0.461174,0.407937,0.428255,0.40397,0.592225,0.594572,0.371288,0.526713,0.530999,0.458439,0.521122,0.607464,0.331583,0.596998,0.531667,0.270485,0.607816,0.526015,0.562336,0.391009,0.314575,0.598239,0.482343,0.333772
563.118,0.980099,0.0700873,6,63,0,-519.428,0.0713613,0.00221326,0.409822,-0.265312,-0.291736,0.0687839,0.147335,0.401484,2.64842,0.640187,0.454597,-0.574902,0.562429,0.0898074,-0.607726,-1.71257,-2.20316,0.845077,-1.64484,0.0874605,-0.101111,0.357382,-0.396324,0.656269,-0.897711,-1.37594,-0.692978,0.920207,-0.938731,1.51978,-0.457741,0.489444,-0.0789448,-0.0925592,-0.479661,1.07368,-1.98233,1.83374,1.21822,-1.02418,0.723501,0.567464,-1.85836,1.96766,1.18049,0.648179,-0.474538,1.36339,-0.0630546,-0.560962,1.59583,-0.812857,-1.10619,-0.544034,-0.630881,-1.29153,0.951462,-1.72453,-0.115719,0.852207,-0.99798,-0.354549,-1.56392,1.06553,1.66771,-0.718114,-0.423032,0.810308,8.8936,1.21063,0.404359,0.329848,-0.0834794,0.37314,0.183391,-0.0966576,-0.540233,-0.737197,0.486619,-0.513041,0.182448,0.10674,0.290818,-0.0117832,0.410816,-0.213082,-0.405083,-0.130885,0.516783,-0.229551,0.757501,-0.036441,0.343838,0.115639,0.110173,-0.0452415,0.578398,-0.64854,0.88355,0.636431,-0.263856,0.437808,0.375162,-0.598768,0.937319,0.621284,0.407568,-0.0431847,0.694712,0.122019,-0.0778827,0.788033,-0.179014,-0.296783,-0.0710861,-0.105954,-0.371193,0.529331,-0.545037,0.100875,0.489482,-0.253338,0.0049888,-0.480556,0.575128,0.816893,-0.140976,-0.0225057,0.47266,1.89507,1.02086,1.01555,0.464305,0.988506,0.730114,0.52076,-0.0608786,-0.0517038,1.10283,0.100982,0.799795,0.790183,0.907598,0.605988,1.02724,0.403487,0.212687,0.483703,1.20136,-0.284722,0.631566,-0.089844,0.42482,0.0580635,0.125625,-0.0336799,0.589748,-0.635988,0.826116,0.581189,-0.388731,0.382849,0.249934,-0.653373,0.812586,0.567952,0.282127,-0.0319767,0.639328,0.0408482,-0.159619,0.773666,-0.191543,-0.444898,-0.0144063,-0.255555,-0.453566,0.587496,-0.626137,-0.0498575,0.546232,-0.403788,-0.212265,-0.698728,0.632869,0.735298,-0.288809,0.034457,0.462041,0.130668,0.264861,0.265894,0.385965,0.271207,0.32517,0.372675,0.515215,0.512923,0.249209,0.474776,0.310069,0.312129,0.287492,0.352975,0.263619,0.400475,0.447028,0.381378,0.231234,0.570704,0.347156,0.522446,0.395364,0.485488,0.468635,0.508419,0.356693,0.653846,0.304467,0.358659,0.595977,0.40544,0.43784,0.65777,0.30734,0.36171,0.429932,0.507993,0.345398,0.489789,0.53982,0.315687,0.54774,0.609426,0.503602,0.563543,0.611487,0.35721,0.651613,0.512462,0.366739,0.599597,0.552868,0.667906,0.34686,0.324033,0.571705,0.491387,0.386502
564.95,0.984905,0.0700873,6,63,0,-529.489,-0.0879484,-0.00699934,0.474744,-0.0989526,-0.15064,0.1415,0.0418765,0.367114,2.07244,-0.0752902,0.697897,-0.32961,0.305005,0.361175,-1.14014,-1.90258,-1.80999,0.654765,-0.983575,0.528231,-1.28694,1.18671,0.584056,0.931225,-0.0058836,-0.857267,-1.36844,0.862651,-0.37267,1.47609,-1.41235,0.131594,-0.71055,-1.03714,-0.350809,0.175115,-2.45357,1.66868,1.77484,-1.13795,0.427023,0.380648,-1.78547,1.55969,0.710017,0.87594,-0.635877,0.532513,-0.935626,-1.66464,1.84749,-1.42967,0.213954,-0.267169,0.120572,-1.2085,0.39572,-0.873392,-0.616155,1.68958,-1.37331,0.0564959,-0.660484,0.737426,1.76945,-1.08707,-0.849683,1.38064,9.57404,0.802698,0.0142364,0.298084,-0.0791282,0.153848,0.174469,-0.376686,-0.656589,-0.622598,0.28225,-0.319208,0.235798,-0.430578,0.477534,0.256292,0.383742,0.0397165,-0.272838,-0.460496,0.358568,-0.0949359,0.58377,-0.476617,0.0901867,-0.218977,-0.338874,-0.0869104,0.106164,-0.858866,0.654473,0.693447,-0.375882,0.198643,0.181618,-0.613593,0.614462,0.302534,0.363446,-0.191563,0.23737,-0.301605,-0.569237,0.720115,-0.482976,0.120422,-0.0562052,0.08614,-0.401783,0.187151,-0.278758,-0.184323,0.662145,-0.462287,0.0626169,-0.200597,0.312596,0.691468,-0.357201,-0.270054,0.548728,1.62381,0.69116,1.11517,0.456072,0.83435,0.713024,0.297329,-0.264007,0.195154,0.960068,0.365544,0.910037,0.39366,1.15356,0.929189,1.06089,0.716416,0.400059,0.222466,1.17923,-0.00266956,0.540799,-0.389943,0.469926,-0.119105,-0.110923,0.153342,0.347087,-0.621745,0.753897,0.785937,-0.422208,0.290238,0.13641,-0.523116,0.567689,0.388985,0.31891,0.049808,0.330307,-0.262369,-0.528212,0.907114,-0.301792,0.0123433,0.265136,-0.0172417,-0.358744,0.503795,-0.239746,-0.284126,0.983263,-0.562985,-0.185843,-0.446149,0.630582,0.732047,-0.466175,0.0503922,0.723872,0.164681,0.333775,0.246909,0.387918,0.302726,0.328931,0.426211,0.565621,0.451366,0.276865,0.409618,0.286992,0.402836,0.239839,0.283089,0.25714,0.328183,0.401298,0.444612,0.235191,0.500667,0.368002,0.596269,0.384634,0.529741,0.527702,0.461739,0.414089,0.650615,0.319973,0.313042,0.604011,0.427946,0.46595,0.627876,0.36177,0.403962,0.420941,0.487551,0.418166,0.565219,0.629066,0.287591,0.574881,0.496914,0.434102,0.50431,0.588736,0.376649,0.559651,0.570557,0.272245,0.637143,0.546328,0.609723,0.347379,0.324746,0.614478,0.487405,0.326541
561.06,0.898401,0.0700873,6,63,0,-525.104,0.187006,-0.142657,0.306759,-0.214608,-0.254198,0.108257,0.0534993,0.410859,2.29965,0.432644,0.532179,-0.681459,0.251364,-0.519669,-1.23742,-1.48136,-1.87254,0.0709589,-1.85664,-0.103746,-0.169869,-0.33719,-0.731965,0.132252,-1.3952,-0.881198,-1.32912,0.358544,-0.51231,0.799104,-0.807195,-0.688888,-0.763103,-0.0961825,-1.54452,0.186207,-2.03169,1.36196,0.024783,-1.30971,0.647525,-0.0850042,-1.64689,1.62737,0.990371,-0.0513347,-0.9098,0.375942,-0.415762,-0.539152,0.869591,-0.388292,-0.788478,-0.356698,-0.869431,-1.83154,1.13079,-1.61074,0.112243,0.845825,-1.28429,0.159887,-1.16315,1.21025,2.14123,0.0722627,-0.612097,0.88803,8.70925,0.998329,0.231255,0.272149,-0.226484,0.156774,-0.160011,-0.454906,-0.55513,-0.71585,0.0826534,-0.709315,0.0108743,-0.0162927,-0.0850382,-0.247235,0.107836,-0.519732,-0.308549,-0.49258,0.20081,-0.156988,0.381818,-0.278144,-0.229536,-0.260028,0.0139819,-0.581078,0.130004,-0.78124,0.613074,0.0636816,-0.484605,0.319541,0.0185746,-0.62314,0.722119,0.460402,0.032408,-0.3203,0.207958,-0.11732,-0.168016,0.410778,-0.106034,-0.270454,-0.0930533,-0.303714,-0.699004,0.518093,-0.608287,0.0996153,0.401014,-0.474163,0.11919,-0.42439,0.550743,0.933241,0.083189,-0.197986,0.418354,2.01684,1.08681,1.20861,0.516253,1.08527,0.651108,0.341382,0.0565557,0.234283,0.956441,0.305795,0.811721,1.06605,0.752279,0.52626,0.967947,0.331262,0.464946,0.486061,1.21021,-0.0461828,0.512012,-0.281309,0.188959,0.00577576,0.114515,-0.229811,0.494947,-0.493796,0.869761,0.179045,-0.422793,0.416669,0.103181,-0.548806,0.774813,0.452678,0.130691,0.0537612,0.33244,-0.0734587,-0.0876842,0.690543,0.0552022,-0.453378,0.149087,-0.390903,-0.577643,0.664499,-0.568984,0.0853665,0.638595,-0.506647,-0.149197,-0.633513,0.724501,1.00446,-0.11797,0.025919,0.456503,0.117446,0.25222,0.229948,0.373729,0.25251,0.34274,0.415474,0.485865,0.441696,0.277591,0.424141,0.307524,0.256156,0.320325,0.37139,0.27529,0.417934,0.385813,0.380822,0.229664,0.511544,0.374722,0.569867,0.4529,0.498556,0.471402,0.557201,0.378729,0.621,0.295304,0.455358,0.604151,0.397314,0.474228,0.633858,0.315439,0.388724,0.467374,0.486563,0.417647,0.518356,0.521907,0.333912,0.486203,0.611442,0.462797,0.5965,0.640525,0.33973,0.638529,0.478671,0.345564,0.62402,0.53723,0.653285,0.326403,0.268066,0.529458,0.493521,0.387816
