# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = E_NC_sim2_model
# start_datetime = 2022-05-13 18:48:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpmSGtHv/standata-620c14e070e9.json
# init = 2 (Default)
# random
#   seed = 2129235941
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/E_sim2_power2-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/E_NC_sim2-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --name=E_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,aHS.3,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,z_re.51,z_re.52,z_re.53,z_re.54,z_re.55,z_re.56,z_re.57,z_re.58,z_re.59,z_re.60,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,re_i.51,re_i.52,re_i.53,re_i.54,re_i.55,re_i.56,re_i.57,re_i.58,re_i.59,re_i.60,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,SI.51,SI.52,SI.53,SI.54,SI.55,SI.56,SI.57,SI.58,SI.59,SI.60,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50,Ht.51,Ht.52,Ht.53,Ht.54,Ht.55,Ht.56,Ht.57,Ht.58,Ht.59,Ht.60
# Adaptation terminated
# Step size = 0.0673868
# Diagonal elements of inverse mass matrix:
# 0.0272114, 0.0105658, 0.0417327, 0.0331062, 0.0445428, 0.00277267, 0.0314412, 0.0115731, 0.20952, 0.148705, 0.173878, 0.155424, 0.184295, 0.174642, 0.145184, 0.220477, 0.147676, 0.149423, 0.198337, 0.155994, 0.180414, 0.163569, 0.147894, 0.156006, 0.152494, 0.148152, 0.174085, 0.173852, 0.13673, 0.184587, 0.170993, 0.187556, 0.17605, 0.223733, 0.159337, 0.174448, 0.168091, 0.190971, 0.158375, 0.146031, 0.136994, 0.136412, 0.15924, 0.168628, 0.199305, 0.179972, 0.189197, 0.144865, 0.166511, 0.148971, 0.18885, 0.15442, 0.17262, 0.197973, 0.147581, 0.161162, 0.197979, 0.161474, 0.183589, 0.213047, 0.173273, 0.207445, 0.194997, 0.216949, 0.190465, 0.172964, 0.174325, 0.204296, 0.00155469
566.946,0.719989,0.0673868,6,63,0,-543.902,-0.0829889,-0.117011,0.386167,-0.124487,-0.0411692,0.152298,0.0816562,0.513767,1.57801,0.403831,0.0276679,-0.762636,0.329438,-0.0208175,-0.772231,-0.736799,-1.39248,0.173457,-1.36026,0.6651,-0.930174,1.1562,0.504627,0.803173,-0.5822,-0.292263,-1.13584,0.814361,0.253511,0.895823,-0.350674,-0.409386,-0.790736,-0.0297258,-0.424824,-0.283194,-2.08226,0.808902,0.873235,-0.558035,0.904036,0.724083,-0.801776,0.725457,0.854269,0.627851,-1.0563,0.263744,-1.43637,-0.872924,0.970251,-1.12791,-0.450536,-0.995951,-0.130166,-1.99081,0.545529,-1.37119,-0.902718,0.985945,-1.43143,0.103241,-0.813631,0.0604523,1.44321,-0.254857,-1.26971,0.872014,8.74412,0.892386,0.289132,0.0958711,-0.310161,0.25091,0.0709609,-0.31509,-0.296887,-0.633754,0.170772,-0.617199,0.423363,-0.396236,0.675671,0.340917,0.4943,-0.217459,-0.0684987,-0.501902,0.500048,0.211902,0.5419,-0.0985087,-0.128673,-0.324598,0.0663841,-0.136604,-0.0638393,-0.988142,0.497243,0.530296,-0.205044,0.54612,0.453666,-0.33027,0.454372,0.520552,0.404226,-0.461033,0.217159,-0.656304,-0.366824,0.580139,-0.497828,-0.149814,-0.43003,0.0147813,-0.941158,0.361931,-0.622813,-0.382131,0.588202,-0.653765,0.134698,-0.33636,0.112715,0.823131,-0.049281,-0.570678,0.529668,1.81649,1.01606,0.952665,0.260734,1.03767,0.697944,0.363231,0.103014,0.234258,0.912661,0.240607,1.10542,0.580214,1.38765,1.00054,1.22497,0.505734,0.591127,0.325989,1.41667,0.244956,0.527355,-0.158936,0.283762,-0.164409,0.154516,0.157186,0.241169,-0.746701,0.649953,0.567089,-0.275677,0.567956,0.401729,-0.327129,0.37626,0.456385,0.363506,-0.148547,0.261431,-0.562367,-0.242973,0.931073,-0.244114,-0.305396,-0.0464546,-0.0622762,-0.783654,0.666983,-0.532616,-0.39936,0.968039,-0.685951,-0.154485,-0.576934,0.440202,0.939504,-0.21982,-0.202059,0.682422,0.139856,0.265795,0.278349,0.435183,0.2616,0.332268,0.410178,0.474269,0.441702,0.286456,0.440137,0.248725,0.358883,0.199784,0.268835,0.227063,0.376194,0.356376,0.419217,0.195184,0.439065,0.371134,0.53965,0.429532,0.54101,0.461448,0.460784,0.439998,0.67846,0.343,0.361909,0.568486,0.361709,0.400897,0.581061,0.407029,0.387844,0.410111,0.537069,0.435012,0.637,0.560446,0.282707,0.560727,0.575761,0.511612,0.515564,0.686467,0.339173,0.630093,0.598534,0.275272,0.665066,0.538545,0.640362,0.391693,0.281001,0.554735,0.550344,0.335721
561.715,0.920118,0.0673868,6,63,0,-527.791,0.183548,-0.192928,0.0942326,-0.254675,0.0146688,0.143221,-0.103847,0.489908,2.13171,0.284358,1.3644,0.405499,-0.256154,-0.12337,-0.426802,-1.05003,-1.54197,0.964654,-1.62375,0.113302,-0.67155,0.278488,0.792087,0.48433,-0.338952,-0.328315,-1.24036,0.552388,-0.195638,0.98143,-0.124265,-0.129647,-0.833081,0.399458,-1.46035,0.241274,-1.67039,1.60994,1.47603,-0.930085,0.620414,-0.100251,-1.20027,2.61363,2.0171,0.491486,-0.610115,1.01487,-0.475455,-1.28648,-0.25517,-1.32975,0.102375,-0.429933,-0.195544,-1.92144,0.510413,-1.20785,-0.517608,0.314112,-1.37177,0.424014,-0.882406,1.22127,1.19826,-0.342744,-0.72216,0.830486,9.17701,0.940495,0.0354623,0.564586,0.0948102,-0.229339,-0.164287,-0.312941,-0.618263,-0.859272,0.368745,-0.899334,-0.0483397,-0.432845,0.0325866,0.284203,0.13343,-0.269902,-0.264691,-0.711512,0.166772,-0.199692,0.376963,-0.164725,-0.167362,-0.51198,0.0918505,-0.819283,0.0143552,-0.922187,0.684878,0.61927,-0.559503,0.200099,-0.152961,-0.69187,1.17659,0.884347,0.136936,-0.402748,0.393347,-0.336776,-0.734105,-0.228857,-0.755304,-0.0536925,-0.314475,-0.199646,-1.04518,0.146209,-0.695585,-0.357428,0.050039,-0.775887,0.103881,-0.536145,0.494461,0.483192,-0.27176,-0.457639,0.303015,1.91839,0.796151,1.4315,0.706113,0.629995,0.539495,0.3676,-0.181008,0.0261424,1.15409,0.0771397,0.638366,0.631362,0.768614,0.933917,0.900284,0.484621,0.385023,0.21564,1.13234,-0.0900084,0.516053,-0.209174,0.352069,-0.192678,0.184458,-0.387586,0.464548,-0.576804,0.99185,0.735118,-0.512893,0.291286,-0.0755238,-0.631509,1.21087,0.833733,0.232869,0.0597762,0.521526,0.00525871,-0.342748,0.429027,-0.257717,-0.0151755,0.289341,-0.0316579,-0.598333,0.620554,-0.359715,-0.0907954,0.64769,-0.533916,0.0300034,-0.529874,1.0058,0.862219,-0.257904,0.121516,0.634139,0.128041,0.310849,0.192864,0.330458,0.347512,0.368305,0.409121,0.545129,0.493465,0.239742,0.480725,0.345616,0.347202,0.316779,0.282131,0.288992,0.381161,0.404916,0.446298,0.24373,0.522487,0.373776,0.552104,0.412881,0.548021,0.454016,0.595701,0.385907,0.640332,0.270547,0.324073,0.625484,0.427689,0.518872,0.652832,0.229547,0.302856,0.442044,0.48506,0.372495,0.498685,0.584858,0.394359,0.564075,0.503794,0.428165,0.507914,0.645275,0.349655,0.588971,0.522683,0.34351,0.630396,0.4925,0.629454,0.267803,0.296876,0.564121,0.469658,0.346573
567.487,0.99639,0.0673868,6,63,0,-526.773,-0.105135,-0.131887,0.190382,-0.0960369,-0.301023,0.145507,0.155399,0.420925,2.15738,0.484744,0.653613,-0.443562,-0.502973,-0.0990125,-1.07775,-1.24918,-2.03112,0.563145,-1.35271,0.540095,-0.875299,1.37519,-0.0468054,1.19978,-0.715005,-0.188462,-1.27284,0.72044,-0.394078,1.1962,-0.391138,-0.90378,-0.724832,-0.728597,-1.50642,-0.198258,-2.32587,1.65742,0.793131,-0.985351,0.01247,-0.133473,-1.51765,1.41897,0.835362,0.969125,-0.461253,0.170775,-0.294669,-0.320882,1.01431,-0.296193,0.565805,-0.394534,0.206974,-1.32699,0.0991502,-0.430294,0.240972,0.870624,-0.924349,1.00876,-0.335136,1.38125,1.87417,-0.0474084,-0.0417902,1.30181,8.97966,1.06349,0.35944,0.430522,-0.0313073,-0.0563149,0.113722,-0.298254,-0.37041,-0.699551,0.392441,-0.413989,0.382739,-0.213036,0.734253,0.135698,0.660418,-0.145565,0.0760708,-0.380373,0.458651,-0.0104784,0.658909,-0.00924081,-0.225025,-0.149701,-0.151286,-0.478692,0.0719474,-0.82362,0.853051,0.489248,-0.25936,0.160648,0.0992169,-0.483418,0.75268,0.507024,0.563329,-0.0387538,0.227283,0.0313656,0.0203317,0.582347,0.0307242,0.393561,-0.0106704,0.24252,-0.403165,0.197134,-0.0257223,0.25683,0.521867,-0.233683,0.580013,0.014332,0.736802,0.944285,0.135444,0.137809,0.703365,1.77014,0.870007,1.06131,0.329538,0.521687,0.537787,0.157523,-0.176145,-0.0561208,0.919867,0.24409,0.842731,0.552619,1.22796,0.570402,1.1752,0.360788,0.510775,0.24399,1.15687,0.00715319,0.649042,-0.096975,0.167914,0.0112281,-0.0977272,-0.193329,0.369954,-0.597262,1.00555,0.511094,-0.332446,0.165636,0.0472045,-0.499504,0.671166,0.415075,0.52396,0.267682,0.257558,-0.181277,-0.158594,0.633221,-0.027982,-0.0741696,0.0508429,-0.136703,-0.544159,0.17014,-0.24258,-0.0549588,0.579166,-0.56233,-0.0121514,-0.523042,0.735096,0.75693,-0.349145,0.182463,0.530864,0.145524,0.295253,0.257059,0.418353,0.372458,0.368702,0.4607,0.543923,0.514027,0.284985,0.439279,0.30096,0.365257,0.226538,0.361144,0.235916,0.410769,0.375012,0.439303,0.239236,0.498212,0.343205,0.524225,0.45812,0.497193,0.524412,0.548182,0.408552,0.64503,0.267852,0.374937,0.582354,0.458685,0.488201,0.622343,0.338236,0.397696,0.371927,0.433476,0.435964,0.545196,0.539566,0.346781,0.506995,0.518534,0.487292,0.534123,0.632779,0.457567,0.560349,0.513736,0.359125,0.636992,0.503038,0.627859,0.324078,0.319313,0.58641,0.45451,0.370315
565.72,0.897027,0.0673868,6,63,0,-534.066,0.0990501,-0.21137,0.340813,-0.107124,-0.0902661,0.157377,-0.18431,0.491788,2.11752,0.436705,0.826142,-0.178388,-0.276638,0.209829,-0.53943,-1.11746,-0.578214,0.202185,-1.48517,0.674874,-1.05889,0.35211,0.422004,0.745778,-0.42522,-0.200498,-1.25291,0.368356,0.499511,1.04577,0.156738,-0.405688,-0.331235,0.0864584,-1.60067,0.330076,-2.14256,1.5319,0.998788,-0.355111,0.713083,-0.0265744,-0.640998,1.60261,1.32109,0.675759,-0.231185,-0.0979204,-0.243122,-0.627564,0.784322,-0.221,0.705726,0.0198735,0.0831924,-1.83614,0.797074,-0.561235,-0.137553,0.985466,-0.410397,0.656824,-0.713765,1.35422,1.27068,0.11442,-0.201467,1.48518,8.92432,0.85706,0.0304561,0.221977,-0.27204,-0.320358,-0.0811187,-0.449596,-0.733866,-0.468669,-0.0848782,-0.914698,0.147585,-0.705058,-0.0111465,0.0232266,0.182454,-0.393429,-0.282913,-0.800477,-0.003157,0.0613433,0.329986,-0.107228,-0.383823,-0.347208,-0.141791,-0.971501,-0.0219826,-1.238,0.56906,0.306882,-0.35895,0.166376,-0.197379,-0.499546,0.603837,0.465384,0.14802,-0.298004,-0.232466,-0.303875,-0.492939,0.20141,-0.292996,0.162758,-0.174537,-0.143397,-1.0873,0.207681,-0.460319,-0.251957,0.300331,-0.386139,0.138708,-0.535331,0.481679,0.440595,-0.12804,-0.283389,0.546085,2.06536,1.00032,1.30869,0.533693,0.75758,0.825933,0.432459,-0.119284,0.638308,0.912004,0.291577,1.03639,0.597803,0.931699,0.871508,1.15907,0.569681,0.565369,0.351761,1.19163,0.252295,0.552689,-0.0851412,0.256976,0.0734002,0.0309186,-0.427288,0.542494,-0.788349,0.976159,0.504589,-0.237566,0.337064,-0.0422222,-0.362631,0.711712,0.480717,0.323441,0.279981,-0.0212508,-0.136592,-0.27162,0.715199,0.0451733,-0.00295673,0.280482,-0.167265,-0.805194,0.520854,-0.299791,-0.167752,0.748595,-0.328951,-0.150611,-0.736841,0.835379,0.648405,-0.320773,0.144611,0.70188,0.11251,0.268878,0.212706,0.369656,0.319172,0.304506,0.393539,0.529786,0.345629,0.28659,0.427618,0.261846,0.354846,0.28258,0.294941,0.238836,0.36131,0.362306,0.412955,0.232967,0.437259,0.365241,0.521272,0.436107,0.481658,0.492271,0.605226,0.367608,0.687477,0.273655,0.376463,0.559114,0.416523,0.510554,0.589677,0.329221,0.382083,0.419837,0.430458,0.505313,0.534095,0.56749,0.328451,0.488709,0.500739,0.430336,0.541719,0.691084,0.372653,0.574391,0.54184,0.321128,0.581504,0.537582,0.676305,0.302509,0.343349,0.579513,0.46391,0.331395
568.237,0.970981,0.0673868,6,127,0,-524.557,0.262228,-0.142735,0.339271,-0.33649,-0.201353,0.0569842,-0.0829241,0.501532,1.65839,0.411095,0.428885,-0.494924,0.412534,-0.490635,-0.819797,-1.23486,-1.87056,0.499313,-1.32726,-0.00279329,-0.184804,0.766861,0.549444,0.378412,-0.524616,-0.288001,-1.11712,1.03535,-0.0944232,0.966458,-0.337024,0.812992,-0.750879,0.601487,0.492399,0.298717,-0.920477,1.22405,1.57521,-0.851186,1.17293,0.588831,-0.924949,1.62324,1.63033,0.597316,-0.656174,1.68635,-0.60912,-0.426312,1.24443,-0.731597,-0.283822,0.0535087,0.222451,-0.727084,1.66047,-0.925648,-0.498895,1.63684,-1.32706,0.379728,-0.420447,1.37034,1.97874,-0.029821,-0.205206,1.2565,8.9727,0.748811,0.123253,0.132175,-0.331144,0.123975,-0.328993,-0.494078,-0.702247,-1.02107,0.167497,-0.748589,-0.0843251,-0.175609,0.301681,0.19264,0.106862,-0.346036,-0.227366,-0.643194,0.436335,-0.13028,0.401785,-0.251952,0.324817,-0.459514,0.218741,0.16403,0.0668919,-0.544573,0.530975,0.707096,-0.509821,0.505338,0.212393,-0.546816,0.731183,0.73474,0.216649,-0.412016,0.762834,-0.388417,-0.296733,0.541195,-0.449843,-0.22527,-0.0560878,0.0286424,-0.44758,0.749857,-0.547166,-0.333136,0.738001,-0.748486,0.107521,-0.293792,0.604345,0.909476,-0.0978803,-0.185841,0.547253,1.72135,0.984073,1.02261,0.468131,1.05778,0.538701,0.307445,0.0172377,-0.116948,1.04656,0.271876,0.72176,0.860788,1.14426,0.971357,0.972243,0.510223,0.551352,0.340781,1.39975,-0.168723,0.434074,-0.404427,0.491568,-0.342874,0.118689,0.314848,0.231394,-0.457613,0.638493,0.673214,-0.545952,0.453211,0.199069,-0.621749,0.68593,0.577704,0.217008,-0.238392,0.738075,-0.319091,-0.190917,0.795221,-0.31441,-0.331521,0.108962,0.018178,-0.300712,0.81912,-0.482401,-0.27062,0.898489,-0.704216,-0.0329075,-0.374924,0.700975,1.00617,-0.222377,-0.0390371,0.559531,0.151697,0.272084,0.264519,0.385059,0.257735,0.36849,0.423738,0.495691,0.529204,0.259886,0.432447,0.327006,0.297175,0.24154,0.27461,0.274434,0.375141,0.365551,0.41562,0.197855,0.542081,0.393154,0.599751,0.379524,0.584888,0.470363,0.421932,0.442408,0.612448,0.345587,0.337777,0.633196,0.388598,0.450396,0.650616,0.334939,0.359461,0.44596,0.559317,0.323425,0.579103,0.547585,0.311049,0.577961,0.582129,0.472787,0.495456,0.574617,0.305951,0.618315,0.567245,0.289361,0.669122,0.508226,0.592648,0.331596,0.26773,0.555366,0.509758,0.363656
568.294,0.991761,0.0673868,6,127,0,-537.6,0.0309659,-0.153114,0.578011,-0.180202,-0.0604372,0.0717433,-0.0136097,0.497374,2.19035,0.365671,0.551811,-0.698931,-0.652318,-0.0708704,-0.698439,-1.66961,-1.00216,0.159606,-1.72415,0.117148,-1.29161,0.222694,0.235005,0.321633,-0.944952,-0.848146,-1.64157,0.568754,0.732967,1.4136,-0.0123636,0.0354026,-0.118552,0.205507,-1.00279,0.823349,-1.87677,1.9161,1.0929,-0.477378,0.815009,0.336623,-0.755287,1.7659,1.32785,0.771415,0.353989,0.28196,-0.390214,-0.663217,1.38412,-0.10842,0.317128,0.243028,-0.0111572,-1.95908,0.817044,-0.60819,-0.0312509,1.38063,-0.530125,0.242507,-1.0286,1.43395,1.4461,-0.0529376,-0.0418624,1.55494,8.85944,1.07582,0.168266,0.260847,-0.36124,-0.338056,-0.0488587,-0.360995,-0.84403,-0.512058,0.0657744,-0.871155,0.0446566,-0.656021,0.0971527,0.103276,0.146362,-0.483604,-0.435456,-0.830084,0.269274,0.350949,0.689479,-0.019759,0.00399867,-0.0725744,0.0886044,-0.512372,0.395903,-0.947069,0.939408,0.52997,-0.251045,0.391754,0.153818,-0.38927,0.864703,0.646829,0.370072,0.162455,0.12663,-0.207692,-0.343477,0.674818,-0.067535,0.144122,0.107266,-0.019159,-0.988006,0.392767,-0.316108,-0.029153,0.673082,-0.27728,0.107007,-0.525209,0.699602,0.705643,-0.0399394,-0.034431,0.759776,2.11466,1.07665,1.21162,0.47051,0.648617,0.856285,0.483782,-0.108489,0.453392,0.993732,0.208484,0.894327,0.451325,0.985967,0.923588,1.05964,0.419889,0.384857,0.210411,1.29833,0.261367,0.665156,-0.231665,0.155762,0.00420336,-0.0564512,-0.388316,0.534638,-0.891514,1.0064,0.445281,-0.348762,0.287493,0.0805652,-0.517996,0.7572,0.43003,0.311498,0.310976,0.0517263,-0.206867,-0.303508,0.884389,0.0148192,-0.0540129,0.232006,-0.114542,-0.904001,0.414755,-0.320175,-0.0462488,0.792929,-0.313947,-0.138406,-0.707014,0.750948,0.735826,-0.257646,0.0707371,0.710021,0.10768,0.25414,0.229415,0.384496,0.343301,0.298116,0.381359,0.527096,0.388555,0.270176,0.448067,0.290218,0.389046,0.271709,0.284227,0.257378,0.396543,0.404956,0.44759,0.214446,0.435028,0.339582,0.557659,0.461138,0.498949,0.514109,0.595877,0.369436,0.709202,0.267685,0.390483,0.586317,0.428618,0.47987,0.626679,0.319254,0.394119,0.422749,0.422876,0.487071,0.551533,0.5753,0.292269,0.496295,0.5135,0.442257,0.528604,0.711771,0.397773,0.579367,0.51156,0.31154,0.577848,0.534546,0.669741,0.320615,0.323918,0.564058,0.482323,0.329594
