# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim1_model
# start_datetime = 2022-03-05 08:02:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c5f895be9.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.0133712
# Diagonal elements of inverse mass matrix:
# 0.162852, 0.185054, 0.188307, 0.388688, 0.388548, 0.305536, 0.250195, 0.264062, 0.305993, 0.271455, 0.271443, 0.263714, 0.261263, 0.320552, 0.403397, 0.420963, 0.269955, 0.257023, 0.295526, 0.25813, 0.347871, 0.263562, 0.300742, 0.254289, 0.434992, 0.282559, 0.279891, 0.261542, 0.283266, 0.268098, 0.315469, 0.299421, 0.430386, 0.286103, 0.266678, 0.107601, 0.00524481, 0.109213, 0.108962, 0.109403, 0.108899, 0.108199, 0.108473, 0.108731, 0.108391, 0.109005, 0.109132, 0.108954, 0.10843, 0.108428, 0.108073, 0.108316, 0.108532, 0.108834, 0.108853, 0.109048, 0.10909, 0.10923, 0.108945, 0.108935, 0.108713, 0.108785, 0.108099, 0.10878, 0.109022, 0.109425, 0.109428, 0.10886, 0.108536, 0.109222, 0.109065, 0.108513, 0.108493, 0.108493, 0.108516, 0.10839, 0.108212, 0.108547, 0.108791, 0.108138, 0.10866, 0.108009, 0.108883, 0.109014, 0.108335, 0.108303, 0.108925, 0.108134, 0.10812, 0.107637, 0.108244, 0.108471, 0.108608, 0.10848, 0.108393, 0.108939, 0.108991, 0.108531, 0.109419, 0.109069, 0.108583, 0.108585, 0.108748, 0.108858, 0.108644, 0.108783, 0.109138, 0.108532, 0.108218, 0.10833, 0.109428, 0.109042, 0.108299, 0.108538, 0.109621, 0.108937, 0.108731, 0.949778, 0.108154, 0.108352, 0.109012, 0.107883, 0.108418, 0.108132, 0.108801, 0.108652, 0.108228, 0.108384, 0.108159, 0.108526, 0.108034, 0.108785, 0.108492, 0.108077, 0.10843, 0.108391, 0.108127, 0.108022, 0.108536, 0.108713, 0.108384, 0.10826, 0.108486, 0.10874, 0.108092, 0.108357, 0.108293, 0.108361, 0.10851, 0.108304, 8.45833e-05
7123.82,0.857815,0.0133712,7,127,0,-7040.49,-0.0207072,-0.13244,0.77768,-0.35931,-1.43384,-0.810697,0.174625,-0.0311656,1.09171,0.254012,-0.291521,-0.479215,-0.556542,-0.349388,-0.975671,1.45768,-0.334286,-0.00488291,0.801165,0.0585121,0.607462,-0.406808,-0.38897,0.412247,-1.15986,0.254385,-0.600038,-0.546461,0.24217,0.495209,1.03285,-0.674487,1.14983,-0.545087,0.423479,0.0674837,0.660202,0.409178,-0.0505434,-0.897303,0.665377,-0.174578,0.387119,-0.633183,0.58649,0.177557,-0.315616,0.0391771,-0.213455,0.67945,0.924675,0.595925,-0.0939355,-0.530269,-0.143618,-0.440929,0.51329,-0.581529,0.300197,-0.326606,-1.09387,-0.604488,-0.47498,1.15835,-0.0853709,-0.290955,-1.52205,-0.496472,-0.637851,-0.259828,-0.970356,1.52322,0.344691,0.435077,0.0533898,0.426038,-1.81466,0.35766,-0.0627615,0.204196,0.605646,0.41985,1.06403,0.329069,0.422231,-0.719679,-0.0144626,0.534507,-0.0517481,-0.502906,0.231635,0.84138,1.19601,-0.404201,0.934576,-0.433402,0.42594,1.36674,1.13796,-0.133268,0.0108301,-0.635397,0.122074,0.0326068,-0.140228,-0.659915,0.843908,-0.852685,-0.446983,-0.0439252,-0.678875,0.813917,1.0751,0.941457,0.0612282,-0.0566166,-0.41563,0.233332,-1.16006,-1.14175,-0.710267,0.126794,-0.344647,0.810163,0.329296,-0.229328,-0.229281,-0.124101,-0.855842,-1.15798,1.50324,-0.234182,-0.0339728,0.549153,0.0620188,1.04111,-0.275526,-0.672938,0.402255,-1.42062,0.164548,-0.514175,-0.271148,0.533675,0.409,0.892568,-0.561891,1.4935,-0.499454,0.392812,0.198186
7123.99,0.999648,0.0133712,8,511,0,-7061.86,0.20859,-0.0314477,0.620058,-0.571989,-1.35576,-0.372897,0.180495,-0.0676024,0.529503,-0.525099,0.0282373,-0.862024,-0.16326,-0.799961,-0.641366,1.13816,-0.249347,-0.938859,0.34971,-0.442191,0.54308,-0.791617,-0.767807,0.566661,-0.437322,-0.224235,-0.940958,-0.744502,0.0998181,0.609255,0.894313,-0.199163,0.556453,-0.957634,-0.291399,0.06604,0.611472,0.381958,-0.0838384,-0.967577,0.620679,-0.197032,0.323031,-0.704192,0.531223,0.12931,-0.402982,0.0387873,-0.247745,0.644562,0.891152,0.545297,-0.131382,-0.576846,-0.131349,-0.452122,0.451679,-0.672926,0.254796,-0.361993,-1.15661,-0.667994,-0.504679,1.11441,-0.155488,-0.349109,-1.52554,-0.56158,-0.725902,-0.2667,-1.02321,1.53867,0.336578,0.358705,0.0458356,0.35398,-1.87648,0.320709,-0.116885,0.163491,0.54969,0.367222,0.978883,0.281212,0.332866,-0.754721,-0.0908334,0.46942,-0.137021,-0.563844,0.182901,0.820217,1.09763,-0.461279,0.859163,-0.475372,0.430291,1.32952,1.08595,-0.17429,-0.0172205,-0.719155,0.0404077,-0.00357486,-0.218974,-0.711986,0.817038,-0.930083,-0.472493,-0.110414,-0.718399,0.728801,1.05947,0.845871,-0.0240864,-0.105713,-0.477662,0.471278,-1.10055,-1.11004,-0.6605,0.184292,-0.294016,0.857856,0.391701,-0.191378,-0.178299,-0.0800688,-0.793942,-1.10132,1.56235,-0.186021,-0.000698703,0.615217,0.120396,1.08976,-0.241736,-0.616873,0.439194,-1.36059,0.207521,-0.474737,-0.224211,0.594392,0.466959,0.939722,-0.512591,1.54461,-0.443844,0.446571,0.20026
7132.58,0.978705,0.0133712,9,767,0,-7062.18,-0.62862,0.54738,0.45329,0.423174,0.436427,0.37801,0.360259,0.752486,0.839689,0.713267,0.144483,0.699492,0.455891,-0.366848,-0.225594,0.702027,0.385762,0.409081,1.11899,0.619036,0.615677,0.717066,0.0955093,0.968539,-0.473785,0.690075,0.0698994,0.725624,1.13053,0.82076,0.577519,-0.295286,1.05328,0.251812,1.36019,0.145256,0.610212,0.55577,0.0833663,-0.739318,0.773821,-0.0502326,0.470722,-0.479596,0.74114,0.272306,-0.245864,0.154262,-0.096218,0.775152,1.08028,0.742578,0.0293425,-0.374031,-0.0127619,-0.334316,0.667882,-0.474775,0.393017,-0.195006,-0.951614,-0.516712,-0.316414,1.32759,0.0798553,-0.180114,-1.32811,-0.380201,-0.51775,-0.106964,-0.837825,1.67986,0.509519,0.542222,0.219118,0.559575,-1.70318,0.501712,0.100354,0.307659,0.735763,0.550659,1.17144,0.511779,0.534021,-0.58677,0.13378,0.624393,0.0361667,-0.34642,0.376007,1.03118,1.33548,-0.311751,1.03843,-0.246571,0.634465,1.49196,1.26319,-0.0933302,0.18727,-0.527584,0.258637,0.169597,-0.0276477,-0.508292,1.01224,-0.710974,-0.301341,0.03343,-0.530617,0.906625,1.23203,1.01522,0.203557,0.031859,-0.283572,0.515616,-1.252,-1.26515,-0.835886,-0.0448983,-0.466232,0.663216,0.204565,-0.367717,-0.351654,-0.236487,-0.980534,-1.2905,1.36515,-0.363034,-0.191351,0.411744,-0.074333,0.939886,-0.403724,-0.809978,0.261924,-1.54576,0.00366902,-0.640071,-0.381347,0.419813,0.280883,0.746949,-0.695243,1.35788,-0.641455,0.276017,0.199619
7111.65,0.789285,0.0133712,8,255,0,-7030.24,0.380114,-0.936871,0.468592,-1.26849,-1.1136,-1.10375,-0.832762,-1.19222,-0.847546,-1.2179,-1.04092,-0.464756,-0.694657,-1.40451,-0.606855,-0.414237,-1.27107,-1.04748,-0.667846,-0.904632,-1.32545,-1.24529,-0.988337,-0.44463,-0.719928,-0.721938,-1.55353,-0.556178,-0.212107,-0.441649,-1.0765,-1.85666,-0.875035,-1.2683,-0.665654,0.819231,0.66043,1.09722,0.582874,-0.256668,1.29368,0.497312,0.982281,0.0381451,1.24233,0.806435,0.297982,0.707845,0.49036,1.31596,1.56871,1.27384,0.545967,0.147636,0.536458,0.202821,1.18836,0.0775003,0.951036,0.328054,-0.401303,0.0117396,0.171918,1.86239,0.605676,0.333741,-0.813921,0.174455,0.0208147,0.438639,-0.308391,2.23759,1.00832,1.05491,0.746616,1.07071,-1.1511,0.991478,0.569912,0.877305,1.26412,1.08699,1.70726,1.01156,1.09735,-0.00309443,0.609663,1.18348,0.529718,0.154184,0.903125,1.48564,1.82947,0.249083,1.56411,0.257094,1.14186,1.99754,1.82532,0.462592,0.66836,0.0294493,0.726311,0.691873,0.525914,0.00884136,1.53499,-0.215763,0.27574,0.578432,-0.00444924,1.47403,1.74379,1.5523,0.725834,0.561208,0.31435,0.758523,-1.79961,-1.79896,-1.36095,-0.569073,-0.986277,0.143654,-0.323685,-0.887589,-0.88559,-0.75134,-1.52412,-1.8122,0.835408,-0.888326,-0.721995,-0.118059,-0.590038,0.41518,-0.939643,-1.3391,-0.276238,-2.07256,-0.521772,-1.165,-0.914599,-0.110204,-0.25128,0.227114,-1.22031,0.837747,-1.16712,-0.240259,0.200254
7103.58,0.982867,0.0133712,8,255,0,-7029.63,0.392001,-0.991065,0.477296,-1.2303,-1.59756,-1.70846,-0.89258,-1.44979,-0.412421,-1.18163,-1.21583,-0.563332,-0.989816,-1.80476,-1.20283,-0.215627,-1.56386,-1.18641,-0.458511,-1.05367,-1.26851,-1.52935,-1.66741,-0.38735,-1.62459,-0.527037,-1.86959,-0.911297,-0.472475,-0.444295,-0.574092,-1.80731,-0.572866,-1.53754,-0.621531,0.600886,0.607124,1.06771,0.522056,-0.302511,1.26468,0.472596,0.931756,-0.00308826,1.19543,0.777098,0.219027,0.666108,0.431214,1.25542,1.50804,1.19874,0.503474,0.0779392,0.499069,0.174937,1.13116,0.0054838,0.896556,0.244645,-0.44949,-0.0347942,0.12329,1.78988,0.568655,0.314446,-0.837611,0.114926,-0.0579265,0.395889,-0.390161,2.19498,0.95938,1.01903,0.700439,1.03585,-1.20497,0.969825,0.481682,0.810681,1.2201,1.02582,1.71753,0.952467,1.03082,-0.0926086,0.548314,1.13329,0.478512,0.141458,0.855374,1.43707,1.79828,0.145288,1.50469,0.188806,1.07593,1.9713,1.76764,0.414543,0.55937,-0.0460851,0.670587,0.641807,0.442525,-0.0613322,1.45878,-0.274163,0.235661,0.488873,-0.0629629,1.39496,1.70089,1.52222,0.666453,0.534254,0.218788,0.407064,-1.74532,-1.75337,-1.31359,-0.532496,-0.936319,0.198261,-0.271706,-0.850885,-0.825784,-0.698171,-1.47333,-1.77086,0.881016,-0.841679,-0.682638,-0.0562315,-0.55205,0.480913,-0.88262,-1.27623,-0.228201,-2.01224,-0.482655,-1.11829,-0.878391,-0.0648972,-0.200279,0.26774,-1.17194,0.896806,-1.1229,-0.192091,0.197627
7128.92,0.911731,0.0133712,7,255,0,-7057.4,0.183798,-1.01189,0.569675,-1.80964,-1.95095,-1.28187,-0.633447,-1.37854,-0.229239,-0.042747,-0.920035,-1.21022,-0.808484,-1.33815,-1.4957,0.374949,-0.627438,-1.10303,-0.24675,-0.960738,-0.238585,-1.76008,-1.04613,-0.592056,-2.02446,-0.475286,-1.26878,-0.995557,-0.551816,-0.746653,-0.390963,-1.04627,0.400547,-1.55503,-0.735732,0.678659,0.56152,1.02882,0.59703,-0.269131,1.27922,0.466832,0.998565,0.0248404,1.23334,0.814496,0.216114,0.674083,0.421282,1.2847,1.53212,1.25533,0.512148,0.127284,0.484797,0.160176,1.13848,0.0287926,0.941875,0.256431,-0.454423,0.00234504,0.18283,1.80779,0.559598,0.327259,-0.860107,0.0925894,-0.0528161,0.390086,-0.373987,2.18206,1.01422,1.05132,0.717384,1.05416,-1.1912,1.01629,0.554301,0.831937,1.18795,1.0566,1.65594,0.959899,1.03912,-0.104324,0.591015,1.10474,0.524874,0.0765298,0.854207,1.48496,1.7632,0.231224,1.52483,0.225415,1.08436,2.02151,1.75238,0.44308,0.642855,-0.0589334,0.716448,0.640774,0.481229,-0.0344579,1.44432,-0.25052,0.199805,0.543764,-0.0876003,1.44153,1.71209,1.52468,0.647853,0.54078,0.182568,0.283744,-1.76283,-1.76608,-1.36124,-0.530651,-0.940649,0.173419,-0.284333,-0.855056,-0.847551,-0.744727,-1.50322,-1.75224,0.881718,-0.826565,-0.703337,-0.0920879,-0.577289,0.407643,-0.917413,-1.25961,-0.210115,-2.04294,-0.484127,-1.11333,-0.903103,-0.0718777,-0.201679,0.241342,-1.1875,0.891675,-1.13238,-0.181696,0.200209
