# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim1_model
# start_datetime = 2022-03-05 08:02:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c5f895be9.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00933968
# Diagonal elements of inverse mass matrix:
# 0.137813, 0.235873, 0.174741, 0.385632, 0.412727, 0.317131, 0.285878, 0.290372, 0.353433, 0.309253, 0.294849, 0.289038, 0.276936, 0.343669, 0.404547, 0.509977, 0.298998, 0.288813, 0.314827, 0.294422, 0.388569, 0.29631, 0.315045, 0.295277, 0.451416, 0.284385, 0.299335, 0.29167, 0.326445, 0.312028, 0.376735, 0.297007, 0.51653, 0.305681, 0.302109, 0.256362, 0.00662475, 0.265478, 0.2671, 0.266844, 0.265326, 0.265187, 0.266235, 0.267365, 0.264946, 0.266111, 0.264704, 0.265066, 0.265694, 0.266034, 0.26538, 0.266498, 0.266627, 0.266646, 0.266293, 0.264449, 0.266202, 0.26574, 0.265539, 0.265145, 0.266971, 0.265673, 0.26415, 0.264898, 0.265509, 0.266147, 0.265667, 0.265049, 0.265968, 0.26651, 0.265256, 0.267002, 0.266088, 0.266308, 0.265268, 0.266651, 0.26639, 0.264894, 0.266181, 0.26586, 0.266412, 0.266066, 0.266912, 0.264542, 0.266231, 0.265537, 0.265038, 0.265344, 0.264795, 0.266309, 0.266328, 0.266453, 0.266391, 0.26622, 0.266074, 0.266869, 0.265525, 0.266696, 0.266818, 0.266196, 0.265446, 0.266711, 0.265462, 0.265662, 0.265667, 0.265862, 0.265581, 0.265965, 0.266429, 0.264762, 0.265278, 0.266472, 0.266767, 0.265443, 0.265903, 0.266791, 0.266008, 1.31962, 0.265607, 0.265952, 0.265355, 0.265482, 0.26489, 0.265407, 0.265663, 0.265116, 0.265486, 0.264462, 0.265098, 0.265181, 0.265619, 0.265238, 0.26558, 0.265567, 0.265473, 0.265211, 0.26655, 0.265172, 0.265181, 0.26558, 0.26592, 0.265775, 0.265932, 0.265022, 0.265656, 0.265212, 0.265074, 0.265267, 0.265771, 0.265206, 8.39392e-05
7106.05,0.962994,0.00933968,8,255,0,-7023.14,0.0883923,0.380152,0.87363,-0.881824,-0.584333,-0.0678383,0.626552,-0.0722947,0.513464,0.504949,0.038176,-0.0573223,0.0458392,0.181111,-0.165191,1.79549,0.0557101,0.196651,1.33606,0.720117,0.895843,0.443498,-0.389861,1.34267,-0.0133669,0.571525,-0.458167,-0.51172,0.827419,1.16515,1.28986,0.355275,2.18374,-0.186828,1.43706,-0.573355,0.606924,-0.158933,-0.615905,-1.50563,0.116159,-0.763724,-0.200138,-1.21704,0.0404372,-0.420788,-0.917014,-0.555171,-0.789305,0.107148,0.331621,-0.0130394,-0.710901,-1.12699,-0.673075,-1.01159,-0.0204201,-1.20175,-0.277821,-0.908158,-1.67979,-1.1636,-1.05783,0.576752,-0.653403,-0.904921,-2.03442,-1.04628,-1.26148,-0.810969,-1.54596,0.971408,-0.213802,-0.137532,-0.542277,-0.162616,-2.36157,-0.210806,-0.624558,-0.366236,0.0368847,-0.158459,0.436605,-0.240788,-0.192176,-1.28622,-0.58672,-0.0706405,-0.661372,-1.0504,-0.279072,0.282224,0.566838,-0.997006,0.330453,-0.976818,-0.111831,0.818203,0.536157,-0.744984,-0.579181,-1.24636,-0.501001,-0.558438,-0.719149,-1.24477,0.260532,-1.45149,-0.978082,-0.629348,-1.23677,0.180682,0.57167,0.334706,-0.516054,-0.692856,-0.9808,0.320683,-0.547495,-0.587091,-0.141742,0.697458,0.272471,1.3537,0.897726,0.369242,0.328667,0.462803,-0.255163,-0.575083,2.07493,0.321969,0.527983,1.12174,0.64985,1.60117,0.267148,-0.0708527,0.961671,-0.83256,0.70586,0.0569159,0.324563,1.11931,0.990688,1.43879,0.0370293,2.07787,0.056844,0.99708,0.198856
7112.8,0.931693,0.00933968,8,255,0,-7032.01,0.21854,0.0867404,0.750387,-0.585412,-0.334759,-0.346255,0.278203,-0.307619,0.87311,0.760247,0.320803,0.213294,0.767767,-0.226157,-0.353117,2.20235,0.282118,0.233569,1.15544,-0.107245,1.03857,-0.0817581,-0.049943,0.227858,-1.06029,0.253161,0.0647527,0.201783,0.929804,0.644079,1.32143,0.122181,1.73252,-0.329105,1.01585,-0.504092,0.6792,-0.129821,-0.56626,-1.46443,0.0870391,-0.675119,-0.170325,-1.14439,0.069899,-0.382278,-0.896139,-0.522546,-0.753746,0.179995,0.413987,0.0228315,-0.690774,-1.0725,-0.669778,-0.983617,0.003541,-1.17597,-0.252836,-0.868796,-1.60827,-1.15611,-0.999306,0.669707,-0.666092,-0.87023,-2.01385,-1.008,-1.20917,-0.781427,-1.53671,1.02655,-0.183506,-0.108201,-0.448959,-0.122119,-2.38828,-0.160229,-0.606952,-0.35415,0.092515,-0.124104,0.493299,-0.157217,-0.129611,-1.24226,-0.519961,-0.0310395,-0.594132,-1.02959,-0.273887,0.327934,0.626029,-1.0501,0.332494,-0.901415,-0.0570618,0.879754,0.581296,-0.743445,-0.527965,-1.16655,-0.465057,-0.53195,-0.687012,-1.19646,0.246455,-1.36704,-0.952356,-0.665313,-1.2159,0.226313,0.612042,0.345413,-0.462487,-0.604018,-0.976316,0.328418,-0.577154,-0.613271,-0.151346,0.642732,0.197742,1.33478,0.895856,0.287433,0.31445,0.423273,-0.304933,-0.606957,2.05053,0.344232,0.470281,1.07364,0.608843,1.60382,0.284125,-0.14489,0.918556,-0.897408,0.680476,0.0214316,0.283053,1.08398,0.968081,1.44296,-0.0162086,2.08028,0.0392181,0.948132,0.197996
7141.32,0.956947,0.00933968,8,511,0,-7055.1,-0.0727349,0.444737,0.710709,-0.542919,-0.674145,-0.230697,0.435085,0.403249,1.2866,0.777288,0.537937,0.418477,0.756651,-0.138659,-0.532105,1.87948,0.350169,0.631181,1.16014,0.658397,1.74723,0.262376,-0.00153458,0.867664,-0.72862,0.698835,0.103663,0.230837,1.46437,1.02341,1.59214,0.0919444,1.91197,-0.0219452,0.889687,-0.50725,0.595295,-0.135068,-0.597927,-1.4528,0.0876768,-0.755936,-0.194977,-1.19359,0.0381714,-0.456585,-0.968941,-0.486281,-0.766286,0.0880263,0.344063,0.0529503,-0.619631,-1.08406,-0.69498,-0.968853,-0.0390319,-1.2003,-0.259496,-0.900145,-1.68798,-1.20924,-1.04774,0.603595,-0.62421,-0.868354,-2.05183,-1.08297,-1.25076,-0.795984,-1.51723,1.00224,-0.17516,-0.164235,-0.499974,-0.158522,-2.36302,-0.203155,-0.673399,-0.380637,-0.00806043,-0.137997,0.461413,-0.242022,-0.195578,-1.26809,-0.63588,-0.0473281,-0.666985,-1.07806,-0.305665,0.290256,0.594875,-0.909328,0.321363,-0.997094,-0.0930005,0.797864,0.558574,-0.714864,-0.58072,-1.19421,-0.440853,-0.512386,-0.761066,-1.24749,0.303313,-1.43431,-0.946703,-0.64996,-1.28864,0.214442,0.512234,0.344797,-0.506932,-0.666329,-1.00573,0.143526,-0.551813,-0.568349,-0.126358,0.666869,0.239808,1.33498,0.933928,0.328629,0.339807,0.437267,-0.270484,-0.560556,2.05659,0.34501,0.506749,1.11332,0.647268,1.62369,0.31097,-0.102848,0.957969,-0.874771,0.71686,0.0547896,0.298014,1.10864,0.998135,1.45449,0.0133643,2.09959,0.0651065,0.949998,0.20402
7160.29,0.952196,0.00933968,8,255,0,-7073.91,-0.0798044,0.328199,0.721649,-0.584974,-0.57229,-0.346939,0.459525,0.341278,1.24825,0.768295,0.354916,0.423319,0.575487,-0.265694,-0.614875,2.03066,0.325799,0.458403,1.06078,0.488946,1.45101,0.265392,0.0653919,0.714732,-0.747704,0.633896,0.0319106,0.214077,1.22127,1.06784,1.47717,0.0661259,2.00702,0.0264853,0.81573,-0.456286,0.613269,-0.0375465,-0.520086,-1.36413,0.174707,-0.668711,-0.122626,-1.11083,0.120184,-0.380936,-0.888736,-0.403067,-0.676952,0.173246,0.414664,0.126123,-0.540158,-1.00601,-0.616013,-0.893137,0.0334037,-1.11578,-0.185123,-0.815645,-1.6044,-1.13024,-0.967267,0.671101,-0.54302,-0.79529,-1.96519,-0.998695,-1.16256,-0.714209,-1.4363,1.07688,-0.0982459,-0.0820709,-0.417654,-0.0704632,-2.29478,-0.118869,-0.591612,-0.305445,0.0783997,-0.0639289,0.552363,-0.156127,-0.103576,-1.1856,-0.548626,0.0383537,-0.592067,-1.0015,-0.231817,0.376697,0.68161,-0.832539,0.394661,-0.914277,-0.0150036,0.879517,0.635245,-0.641615,-0.504854,-1.11854,-0.360716,-0.438576,-0.672435,-1.17005,0.380317,-1.35283,-0.866156,-0.557777,-1.21001,0.293743,0.599528,0.424479,-0.429048,-0.589815,-0.908159,0.112171,-0.634337,-0.630925,-0.206145,0.590198,0.166616,1.31091,0.804565,0.249543,0.269377,0.353617,-0.36187,-0.655836,1.99532,0.258674,0.414602,1.03911,0.563528,1.50612,0.20578,-0.185804,0.870652,-0.930869,0.615573,-0.00954747,0.201087,1.03048,0.905432,1.37569,-0.0727377,2.01409,-0.0101512,0.905,0.199514
7160.51,0.960007,0.00933968,7,127,0,-7076.45,-0.0540719,0.308661,0.959114,-0.542423,-0.54943,-0.0845275,0.632639,0.176265,1.21788,0.851837,0.186082,0.23592,0.301917,-0.245675,-0.473739,2.1897,0.325463,0.506961,1.07597,0.704632,1.54304,0.230364,-0.204904,1.03859,-0.991718,0.645287,0.2734,0.449115,1.01334,0.770945,1.15658,-0.171002,2.13753,-0.147983,1.16651,-0.375629,0.627065,-0.0818544,-0.513893,-1.39495,0.201064,-0.661403,-0.0687482,-1.07751,0.121487,-0.275594,-0.812702,-0.400565,-0.648217,0.191069,0.449596,0.12294,-0.601697,-0.980265,-0.625009,-0.893222,0.0294656,-1.06373,-0.162701,-0.822329,-1.57674,-1.08298,-0.933713,0.732575,-0.54071,-0.820585,-1.95571,-0.997517,-1.17018,-0.710332,-1.47317,1.06608,-0.0764149,-0.0300635,-0.365367,-0.0239569,-2.30426,-0.0983266,-0.547303,-0.263043,0.121196,-0.0704384,0.540812,-0.162523,-0.0641476,-1.166,-0.457891,0.0463856,-0.573134,-0.967472,-0.242125,0.39126,0.67541,-0.924388,0.430309,-0.842852,-0.0218551,0.874823,0.63884,-0.679323,-0.463921,-1.10857,-0.388573,-0.377308,-0.645363,-1.18279,0.384473,-1.34495,-0.900193,-0.581357,-1.16007,0.31055,0.633246,0.448353,-0.445025,-0.558082,-0.882248,0.103596,-0.644094,-0.669676,-0.247717,0.579435,0.156862,1.24475,0.825567,0.246395,0.241351,0.374613,-0.38477,-0.685832,1.98847,0.247722,0.421566,1.00833,0.523331,1.53308,0.207972,-0.181671,0.859731,-0.90885,0.621193,-0.027867,0.250977,1.03426,0.895151,1.35771,-0.0754195,1.99996,-0.0438792,0.888384,0.198291
7170.25,0.916752,0.00933968,6,127,0,-7087.01,0.0244457,0.413114,0.771337,-0.617966,-0.829217,-0.287224,0.694549,0.316001,1.36357,0.737333,0.12472,0.159412,0.242309,-0.394667,-0.761445,1.7954,0.250545,0.397856,0.973873,0.470572,1.46892,0.0848459,-0.223348,0.862586,-0.981875,0.542296,-0.049009,0.169138,1.12633,0.817923,1.30492,-0.185394,2.13418,-0.168814,0.952062,-0.420655,0.608992,-0.0521416,-0.489407,-1.36417,0.155373,-0.59849,-0.157825,-1.10056,0.104698,-0.363419,-0.865562,-0.439373,-0.686666,0.218127,0.471507,0.126918,-0.554344,-1.01186,-0.595208,-0.920703,0.0642733,-1.11858,-0.203727,-0.815523,-1.59075,-1.11826,-0.951691,0.708859,-0.553114,-0.748011,-1.95019,-0.962868,-1.13087,-0.706919,-1.42469,1.12639,-0.107141,-0.0845414,-0.415839,-0.0688863,-2.28384,-0.0954616,-0.533927,-0.274143,0.146982,-0.0565586,0.588903,-0.108527,-0.0867684,-1.20177,-0.518531,0.0504321,-0.544735,-0.96757,-0.22526,0.397348,0.696177,-0.870752,0.415662,-0.881113,0.0276108,0.930435,0.668939,-0.643401,-0.468527,-1.13224,-0.3555,-0.501624,-0.626612,-1.10907,0.368304,-1.33808,-0.856575,-0.565173,-1.16801,0.288989,0.609573,0.426453,-0.401449,-0.542352,-0.893346,0.0901744,-0.651253,-0.659822,-0.23472,0.577636,0.146459,1.2704,0.830654,0.242509,0.23489,0.350368,-0.370142,-0.700004,1.99025,0.228753,0.422488,1.02196,0.516216,1.51355,0.20738,-0.1925,0.853203,-0.938553,0.583845,-0.0089309,0.194318,1.04237,0.887313,1.33286,-0.0567869,1.99946,-0.0361601,0.863071,0.197209
