# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim1_model
# start_datetime = 2022-02-28 16:17:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df4452a6de1.json
# init = 2 (Default)
# random
#   seed = 712750551
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00928486
# Diagonal elements of inverse mass matrix:
# 0.16152, 0.126647, 0.0246352, 0.167692, 0.144686, 0.157187, 0.169791, 0.159808, 0.187319, 0.159719, 0.146831, 0.157647, 0.167218, 0.155562, 0.166736, 0.145563, 0.149689, 0.150286, 0.149577, 0.151805, 0.139019, 0.143499, 0.162211, 0.1529, 0.14734, 0.143997, 0.159176, 0.142457, 0.160665, 0.194174, 0.187416, 0.14862, 0.152605, 0.151587, 0.153475, 0.102203, 0.0058964, 0.102326, 0.100934, 0.101892, 0.101704, 0.102009, 0.102247, 0.102597, 0.10185, 0.101204, 0.101427, 0.102108, 0.101946, 0.102484, 0.101797, 0.101662, 0.101492, 0.102197, 0.102254, 0.101962, 0.102143, 0.102051, 0.101099, 0.102014, 0.102238, 0.101874, 0.10222, 0.101922, 0.101568, 0.101804, 0.102341, 0.101837, 0.102148, 0.102345, 0.101759, 0.102323, 0.102163, 0.102332, 0.101905, 0.101641, 0.102546, 0.101469, 0.10166, 0.101444, 0.102155, 0.102503, 0.102329, 0.102362, 0.102427, 0.101378, 0.102113, 0.102525, 0.101721, 0.101976, 0.102215, 0.101957, 0.101636, 0.102201, 0.102598, 0.101869, 0.101384, 0.10259, 0.10265, 0.101707, 0.102098, 0.102141, 0.101987, 0.101917, 0.102412, 0.101448, 0.102457, 0.100852, 0.102258, 0.102177, 0.102308, 0.102158, 0.101474, 0.101758, 0.101692, 0.10194, 0.101496, 1.24596, 0.101736, 0.101782, 0.101604, 0.101477, 0.101817, 0.101509, 0.101729, 0.101597, 0.102082, 0.101692, 0.101649, 0.101437, 0.102075, 0.101579, 0.10177, 0.101615, 0.101741, 0.10189, 0.102138, 0.101956, 0.101735, 0.10221, 0.101671, 0.102065, 0.101463, 0.101345, 0.101159, 0.10202, 0.101856, 0.101067, 0.101306, 0.10166, 8.62583e-05
7318.94,0.986089,0.00928486,5,63,0,-7246.58,0.378272,0.200707,0.796256,0.959294,0.0414421,0.667107,-1.15851,-0.645169,1.50341,-0.923184,0.254745,0.69868,0.935119,-0.401384,1.06846,-0.0952518,0.171528,0.599862,-0.229871,-0.489178,0.259392,-0.233226,0.788959,0.205825,0.0686824,-0.250285,-0.845861,-0.177355,-0.954927,1.71147,1.48688,0.249495,0.865462,0.350463,0.226514,-0.58901,0.663856,-0.253699,-0.67184,-1.5141,0.0172157,-0.714738,-0.273891,-1.21726,-0.0891482,-0.471669,-1.04858,-0.554269,-0.821348,0.0142245,0.269945,-0.0644617,-0.719653,-1.10815,-0.751908,-1.14582,-0.0806317,-1.29326,-0.320909,-0.987908,-1.72621,-1.30825,-1.01428,0.517039,-0.688251,-0.954258,-2.12381,-1.10702,-1.33006,-0.881263,-1.58906,0.96107,-0.257355,-0.234866,-0.547414,-0.156926,-2.47196,-0.250429,-0.675115,-0.395171,-0.0939941,-0.199828,0.403322,-0.346528,-0.205314,-1.34922,-0.62964,-0.103897,-0.721202,-1.13545,-0.409089,0.224916,0.526835,-1.06414,0.257957,-1.04605,-0.108394,0.710878,0.517086,-0.882163,-0.633723,-1.33483,-0.557042,-0.613743,-0.799657,-1.38842,0.149423,-1.52572,-1.04,-0.725102,-1.31901,0.0639117,0.454754,0.208821,-0.611897,-0.637726,-1.02355,0.0565577,1.3287,0.302205,1.04757,-0.712522,-0.253583,1.94052,-0.572852,0.635765,1.13831,1.37483,-0.0243843,1.35753,0.252093,0.529702,0.930347,0.134061,-0.133286,0.654729,0.132271,1.20362,0.539542,0.522976,0.126972,-0.399327,0.125744,-0.563883,2.11036,1.8504,0.674929,1.24282,0.788741,0.624144,0.195669
7338.69,0.996329,0.00928486,8,319,0,-7280.32,0.320813,0.271923,0.750238,1.07813,0.0566793,0.768502,-1.07211,-0.578283,1.55245,-0.908109,0.2796,0.804964,1.0479,-0.487508,1.1223,0.00727739,0.184156,0.689374,-0.0672045,-0.454534,0.299143,-0.13994,0.80205,0.215678,0.148428,-0.130665,-0.680517,-0.195535,-0.863277,1.83508,1.47899,0.289422,0.987339,0.378594,0.287101,-0.577296,0.707651,-0.26971,-0.731727,-1.50106,0.00956932,-0.775183,-0.314355,-1.26074,-0.13978,-0.502242,-1.03805,-0.617097,-0.786108,-0.0179736,0.283411,-0.0913363,-0.763044,-1.15206,-0.771308,-1.11028,-0.101356,-1.27614,-0.378051,-0.953562,-1.77591,-1.29525,-1.08547,0.518886,-0.726312,-0.988864,-2.0891,-1.1231,-1.34044,-0.936796,-1.56051,0.923736,-0.268364,-0.195423,-0.568201,-0.220955,-2.45323,-0.254213,-0.695009,-0.418383,-0.0954256,-0.213185,0.382179,-0.323935,-0.278589,-1.37625,-0.657185,-0.0926367,-0.75497,-1.10673,-0.378789,0.277505,0.465749,-1.05739,0.241884,-1.08266,-0.162147,0.680434,0.495905,-0.825054,-0.642113,-1.29452,-0.593483,-0.63288,-0.778427,-1.33314,0.15683,-1.50683,-1.09971,-0.72346,-1.3536,0.130016,0.416544,0.21785,-0.623738,-0.657362,-1.01905,0.0580944,1.33761,0.297103,1.06395,-0.709246,-0.248814,1.93686,-0.575307,0.627133,1.14032,1.37804,-0.0230824,1.37024,0.266049,0.527643,0.932201,0.140362,-0.11226,0.669024,0.134381,1.21251,0.537351,0.533159,0.142873,-0.388628,0.142894,-0.555677,2.11533,1.85935,0.684177,1.24347,0.77643,0.632333,0.192071
7319.26,0.963108,0.00928486,7,127,0,-7255.34,0.27692,0.405885,0.765582,0.970048,-0.0334129,0.722555,-0.936617,-0.618676,1.63035,-0.913887,0.447023,0.819716,1.13827,-0.0912018,1.01726,-0.00297547,0.286769,0.712089,-0.171713,-0.342074,0.423548,-0.0748444,0.996569,0.329604,0.355159,-0.197729,-0.680212,-0.0405929,-0.852349,1.73413,1.62483,0.52871,0.981609,0.532692,0.367498,-0.614212,0.665313,-0.285978,-0.751436,-1.49507,-0.0142021,-0.817729,-0.362226,-1.27586,-0.130312,-0.557951,-1.09029,-0.639104,-0.837895,-0.053697,0.197122,-0.12029,-0.75093,-1.14069,-0.788904,-1.16165,-0.163415,-1.34025,-0.375526,-1.02696,-1.79468,-1.2792,-1.09981,0.49104,-0.788582,-1.00836,-2.19245,-1.15343,-1.36111,-0.957742,-1.59471,0.871074,-0.325909,-0.233285,-0.596343,-0.197474,-2.44051,-0.28284,-0.706853,-0.432606,-0.112138,-0.209938,0.365737,-0.323572,-0.267279,-1.37718,-0.722885,-0.164248,-0.776078,-1.14656,-0.416507,0.163783,0.424375,-1.05789,0.228972,-1.0272,-0.17975,0.652757,0.490922,-0.855682,-0.699865,-1.33371,-0.563347,-0.695333,-0.758122,-1.40656,0.134885,-1.52381,-1.09205,-0.803845,-1.34884,0.106451,0.384005,0.171958,-0.661723,-0.708295,-1.07889,0.072234,1.42232,0.30744,1.08554,-0.678565,-0.220578,1.91009,-0.563109,0.646609,1.1842,1.42393,0.014744,1.44057,0.301757,0.564665,0.969116,0.149689,-0.103065,0.692322,0.176189,1.24262,0.566129,0.518257,0.134984,-0.349228,0.181554,-0.525987,2.16239,1.90214,0.709776,1.28511,0.821052,0.695604,0.19434
7344.2,1,0.00928486,6,127,0,-7268.34,0.33406,0.178806,0.731764,0.935268,-0.0995112,0.721695,-0.980851,-0.602936,1.56525,-0.975535,0.370146,0.83998,1.0507,-0.24324,1.03089,-0.0349515,0.227169,0.633372,-0.218758,-0.409481,0.393881,-0.102023,0.943213,0.284312,0.269363,-0.205616,-0.726656,-0.0792413,-0.879775,1.74553,1.54767,0.437877,0.963596,0.480798,0.342679,-0.589244,0.619833,-0.276492,-0.653258,-1.5312,0.0189531,-0.750667,-0.312532,-1.29691,-0.15509,-0.512151,-1.04969,-0.625784,-0.789635,-0.0249949,0.270319,-0.0690709,-0.786651,-1.21233,-0.826995,-1.06441,-0.123236,-1.31435,-0.368969,-1.01257,-1.71493,-1.33369,-1.09906,0.491693,-0.71421,-1.00959,-2.1347,-1.15027,-1.3376,-0.917582,-1.64596,0.909366,-0.274175,-0.255176,-0.619364,-0.214674,-2.48407,-0.284595,-0.659674,-0.436716,-0.122599,-0.255154,0.376789,-0.344803,-0.244398,-1.42778,-0.677329,-0.138388,-0.746625,-1.16482,-0.365511,0.220863,0.433343,-1.08025,0.245772,-1.0642,-0.167182,0.664353,0.461372,-0.846485,-0.645881,-1.34121,-0.5977,-0.650549,-0.809628,-1.34331,0.148082,-1.53657,-1.11243,-0.751726,-1.35451,0.0595692,0.383096,0.211265,-0.641657,-0.713093,-1.05516,0.0447904,1.35804,0.3054,1.0766,-0.674512,-0.226825,1.9429,-0.565791,0.645692,1.18487,1.40358,0.0261044,1.41753,0.306289,0.561407,0.964098,0.149837,-0.113579,0.666775,0.17607,1.23621,0.574581,0.547082,0.153917,-0.39486,0.155583,-0.548833,2.14677,1.86229,0.707407,1.25729,0.795962,0.666897,0.193427
7330.28,0.978692,0.00928486,7,255,0,-7266.48,0.325574,0.174705,0.844595,1.22054,-0.0235695,0.701064,-1.09868,-0.554953,1.67231,-0.735391,0.263645,0.81161,1.09868,-0.452032,1.1014,-0.028666,0.090401,0.632689,-0.0631677,-0.418309,0.283422,-0.10236,0.874273,0.200812,0.141147,-0.0927799,-0.718199,-0.25588,-0.828997,1.85648,1.5953,0.307456,0.945742,0.357809,0.455123,-0.590846,0.621189,-0.297718,-0.682549,-1.5362,0.00745537,-0.760294,-0.286863,-1.25405,-0.0968921,-0.486361,-1.08172,-0.588357,-0.800141,-0.0199206,0.281149,-0.0737497,-0.756383,-1.14933,-0.782022,-1.09281,-0.129492,-1.28184,-0.40428,-1.0424,-1.72411,-1.28304,-1.12075,0.486841,-0.734277,-0.998988,-2.12683,-1.14393,-1.37298,-0.939759,-1.64736,0.901749,-0.246171,-0.255459,-0.601996,-0.220363,-2.45185,-0.2512,-0.684429,-0.420835,-0.12972,-0.267612,0.408583,-0.311712,-0.261284,-1.37762,-0.692022,-0.147948,-0.755242,-1.12811,-0.377151,0.200761,0.442322,-1.07437,0.227761,-1.02757,-0.184827,0.659747,0.461897,-0.839964,-0.676117,-1.3399,-0.576559,-0.707987,-0.78306,-1.3598,0.170641,-1.5154,-1.08224,-0.733946,-1.31484,0.0489529,0.404705,0.226871,-0.60503,-0.696659,-1.04813,0.0790393,1.39023,0.311366,1.06641,-0.702823,-0.25349,1.94414,-0.5704,0.640748,1.19052,1.4086,0.022406,1.40596,0.292061,0.547063,0.94919,0.144809,-0.100603,0.680003,0.169475,1.21823,0.554088,0.547349,0.153096,-0.397589,0.134524,-0.534469,2.14725,1.86684,0.671345,1.25399,0.798096,0.666248,0.194125
7326.81,0.983355,0.00928486,9,639,0,-7246.96,0.507843,-0.00025645,0.757044,0.822015,-0.36989,0.380239,-1.3112,-0.815256,1.33578,-1.01012,0.0327421,0.489617,0.730594,-0.705507,0.740466,-0.344063,-0.165165,0.347059,-0.402246,-0.72071,0.0750068,-0.44634,0.576604,-0.093165,-0.170718,-0.381284,-0.986456,-0.512367,-1.08959,1.74637,1.19627,0.00603559,0.648312,0.0205525,0.135705,-0.555998,0.657956,-0.161534,-0.585469,-1.38425,0.143074,-0.672946,-0.191793,-1.11566,0.0474735,-0.36854,-0.930662,-0.470201,-0.679068,0.111876,0.378282,0.0391884,-0.636237,-1.04059,-0.676422,-0.956635,-0.00258813,-1.18761,-0.210093,-0.865204,-1.61508,-1.13946,-0.971794,0.624888,-0.605273,-0.835676,-2.01839,-1.0347,-1.225,-0.793292,-1.44569,1.02227,-0.122946,-0.116402,-0.445683,-0.0453053,-2.36554,-0.107957,-0.56232,-0.352953,0.0243983,-0.123597,0.507868,-0.210571,-0.119515,-1.29175,-0.591542,0.0254274,-0.646128,-1.00501,-0.248115,0.298032,0.554333,-0.938809,0.346056,-0.911305,-0.0503244,0.764309,0.585465,-0.702091,-0.564905,-1.21507,-0.414176,-0.505652,-0.614211,-1.23658,0.267685,-1.38442,-0.958523,-0.63307,-1.15209,0.212107,0.528613,0.322626,-0.468772,-0.556831,-0.938457,0.0824888,1.24515,0.176705,0.927991,-0.818929,-0.37545,1.80538,-0.69901,0.504804,1.0409,1.2711,-0.139641,1.27551,0.155651,0.411849,0.821082,-0.00979989,-0.223395,0.564861,0.0420868,1.09778,0.421599,0.412164,0.0246601,-0.519924,0.00543307,-0.660905,2.02869,1.74138,0.561723,1.13211,0.64437,0.540608,0.197217
