# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim1_model
# start_datetime = 2022-03-09 15:22:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc3e7a1138.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.0554108
# Diagonal elements of inverse mass matrix:
# 0.146918, 0.150179, 0.105788, 0.259879, 0.259492, 0.220466, 0.198452, 0.189252, 0.263098, 0.197485, 0.190712, 0.194407, 0.184251, 0.22446, 0.255463, 0.4114, 0.186757, 0.186938, 0.225991, 0.185554, 0.296948, 0.184503, 0.190456, 0.216332, 0.301833, 0.191971, 0.192915, 0.178368, 0.225588, 0.219868, 0.274188, 0.201704, 0.404558, 0.193171, 0.205393, 0.00932528, 0.00549933, 0.005058, 0.00508117, 0.00502891, 0.00504521, 0.00505952, 0.00510562, 0.00512255, 0.00511095, 0.00502367, 0.0049454, 0.00511417, 0.00513851, 0.00496546, 0.00497163, 0.00495868, 0.00512012, 0.0050953, 0.00496825, 0.00505417, 0.00492513, 0.00505573, 0.00514271, 0.00499736, 0.00512063, 0.0050118, 0.00518236, 0.00500306, 0.00500246, 0.00505608, 0.00503528, 0.00501933, 0.00503503, 0.00520828, 0.00507139, 0.00509051, 0.00506676, 0.00501115, 0.00500751, 0.00507378, 0.00507097, 0.00497018, 0.00516034, 0.00503465, 0.00515386, 0.00523672, 0.00492778, 0.00510157, 0.00493488, 0.00506281, 0.00487607, 0.00506043, 0.00508464, 0.00514002, 0.00494704, 0.00517604, 0.00502204, 0.00515474, 0.00497129, 0.00505126, 0.00502014, 0.00505424, 0.00506438, 0.00491729, 0.00514449, 0.00484235, 0.00512224, 0.00500188, 0.0050416, 0.00503706, 0.00503388, 0.00502228, 0.0049923, 0.00504607, 0.00496226, 0.00504016, 0.00504246, 0.00503709, 0.0049744, 0.00493685, 0.00522236, 1.60456, 0.00479531, 0.00484473, 0.00479263, 0.00476409, 0.0046981, 0.0047407, 0.00470805, 0.00477743, 0.00472727, 0.00473045, 0.00478368, 0.0046642, 0.00476704, 0.0047937, 0.00475478, 0.00463031, 0.00476014, 0.00479425, 0.00475471, 0.00473725, 0.00474659, 0.00476263, 0.00472969, 0.00473245, 0.00470395, 0.00477089, 0.0047773, 0.00469527, 0.00474276, 0.00474848, 0.00472933, 0.00475174, 8.05587e-05
7108.87,0.922711,0.0554108,5,31,0,-7043.83,-0.64077,-0.790321,0.84311,-1.6229,-2.54516,-1.03865,-0.887733,-0.857446,0.413221,-0.631305,-1.00004,-1.09051,-0.153318,-1.6801,-1.25087,0.743543,-1.5433,-0.147508,-0.359004,0.252742,0.628174,-0.838315,-1.35486,-0.262926,-2.0974,-0.881461,-0.680005,-0.866257,-0.426637,-0.320529,0.269095,-1.35654,0.915559,-0.951759,-0.296931,1.22156,0.606559,1.63595,1.20987,0.336122,1.89694,1.06262,1.60822,0.669911,1.87153,1.42081,0.900388,1.33484,1.05201,1.90347,2.17503,1.86892,1.07933,0.767977,1.10491,0.84021,1.7705,0.652216,1.51814,0.903725,0.158435,0.668356,0.823349,2.44848,1.18375,0.928054,-0.242844,0.777302,0.566114,0.987356,0.254694,2.80148,1.65646,1.62937,1.3278,1.67592,-0.605763,1.59889,1.18225,1.48289,1.85181,1.66092,2.29348,1.59316,1.64064,0.548565,1.25818,1.77255,1.23665,0.759427,1.48381,2.11243,2.40802,0.850053,2.17074,0.82928,1.73845,2.64997,2.36769,1.06826,1.23521,0.558031,1.37437,1.26868,1.06703,0.59448,2.08395,0.382487,0.863247,1.14593,0.583415,2.04368,2.34183,2.13887,1.2932,1.17918,0.829419,0.341237,-2.38578,-2.39194,-1.97016,-1.17193,-1.57753,-0.483926,-0.915131,-1.48661,-1.49076,-1.36467,-2.08438,-2.39109,0.262999,-1.4836,-1.33357,-0.707773,-1.19379,-0.191942,-1.53803,-1.91958,-0.849212,-2.66819,-1.14461,-1.75431,-1.49612,-0.693089,-0.830489,-0.363089,-1.81632,0.25612,-1.74598,-0.836254,0.198206
7098.44,0.940299,0.0554108,6,63,0,-7035.18,-0.498289,-0.729123,0.550219,-1.56419,-1.27015,-1.46905,-0.468037,-1.58398,-0.645923,-0.1778,-1.08538,0.0644046,-0.676497,-1.33065,-1.80493,0.0331185,-0.935987,-0.926764,-0.15541,-1.25564,0.129317,-1.40434,-1.61679,-0.633377,-1.45066,-0.221203,-1.47164,-0.89732,0.446815,-0.46115,-0.323485,-1.26336,0.206993,-0.565302,-0.704963,1.28849,0.629304,1.62216,1.20847,0.377268,1.88256,1.11277,1.62463,0.600739,1.8445,1.34038,0.881015,1.27727,1.04069,1.86736,2.18613,1.82819,1.15293,0.7368,1.10979,0.838851,1.77889,0.672056,1.52295,0.916631,0.131783,0.625842,0.785172,2.43938,1.13499,0.95898,-0.175134,0.72786,0.596533,0.983526,0.26324,2.8046,1.56224,1.6507,1.37254,1.67596,-0.566522,1.62582,1.15853,1.42155,1.83431,1.69451,2.26808,1.60465,1.6484,0.535994,1.24238,1.73996,1.17005,0.730855,1.47252,2.08599,2.41594,0.820653,2.13892,0.83081,1.73017,2.61742,2.40162,1.11401,1.24249,0.584098,1.39283,1.30631,1.08277,0.594786,2.09789,0.397973,0.827558,1.15107,0.578043,2.03483,2.30775,2.1688,1.28487,1.14606,0.804894,0.411216,-2.36347,-2.40233,-1.96102,-1.1313,-1.59118,-0.491505,-0.903058,-1.47595,-1.48496,-1.35351,-2.10241,-2.39029,0.254428,-1.45703,-1.27959,-0.679426,-1.19745,-0.184161,-1.5379,-1.90963,-0.844308,-2.68999,-1.12024,-1.74009,-1.47158,-0.706443,-0.819728,-0.352057,-1.82404,0.269669,-1.76033,-0.84585,0.199108
7119.04,0.937757,0.0554108,6,63,0,-7025.36,-0.463582,-0.810609,0.618355,-1.93337,-2.1788,-0.990018,-0.85407,-0.925614,-0.38774,-0.663475,-0.567553,-0.843007,-1.01961,-1.5322,-0.660591,0.973262,-0.066086,-0.595183,-0.487285,-0.710001,0.0229979,-0.726426,-1.54558,-0.72738,-1.53147,-0.644678,-1.21855,-1.41347,-0.787586,-0.106385,0.33295,-0.995852,0.387595,-1.92185,-0.210043,1.22038,0.581512,1.61627,1.2431,0.290551,1.90422,1.09525,1.59618,0.639999,1.83525,1.37363,0.875741,1.30597,1.06732,1.90188,2.14686,1.82653,1.1127,0.743094,1.1346,0.818527,1.80771,0.657368,1.56397,0.878814,0.151065,0.617656,0.767062,2.47803,1.15764,0.953705,-0.277218,0.743272,0.577796,0.984596,0.272557,2.82609,1.62603,1.6909,1.33785,1.66763,-0.56993,1.62707,1.17084,1.46137,1.84093,1.65372,2.2873,1.61457,1.61325,0.534602,1.2311,1.78283,1.16274,0.774335,1.47705,2.12755,2.43062,0.818899,2.12739,0.853028,1.72831,2.61384,2.38457,1.0823,1.20369,0.603316,1.34732,1.28061,1.07197,0.595117,2.05771,0.361745,0.873979,1.13369,0.561342,2.02569,2.36109,2.17884,1.26974,1.15171,0.83304,0.359313,-2.38365,-2.4029,-1.95076,-1.13426,-1.56545,-0.464251,-0.896006,-1.49074,-1.46871,-1.34015,-2.11099,-2.39189,0.264936,-1.46262,-1.29667,-0.727298,-1.18613,-0.216421,-1.53284,-1.9096,-0.87659,-2.62115,-1.09862,-1.74181,-1.52372,-0.703369,-0.832256,-0.343501,-1.79882,0.264772,-1.74591,-0.833577,0.199211
7114.13,0.869418,0.0554108,6,63,0,-7030.09,-0.637199,-0.665163,0.739601,-1.66879,-1.46117,-0.764556,-1.73945,-0.728834,0.821674,-0.460531,-0.925881,-1.13872,-1.29055,-1.37681,-1.17902,0.674811,-0.0704875,-0.829747,-0.970107,-0.147005,0.703182,-0.22329,-1.23568,-0.5606,-1.67762,0.0294306,-0.892259,-1.34878,0.360825,-0.00609685,0.0434674,-0.935576,0.904217,-1.61081,-0.128454,1.15634,0.669307,1.67212,1.22233,0.326375,1.8813,1.08012,1.59966,0.665378,1.83458,1.3678,0.87339,1.30445,1.03506,1.93943,2.18374,1.86535,1.17618,0.751401,1.12764,0.803373,1.77834,0.622169,1.49811,0.895125,0.150492,0.609507,0.769182,2.46404,1.18346,0.93002,-0.251419,0.721352,0.560372,1.02833,0.261333,2.80935,1.65916,1.63126,1.31911,1.66149,-0.57278,1.60161,1.19808,1.44501,1.85042,1.63324,2.28255,1.59384,1.67544,0.509844,1.22345,1.76896,1.1593,0.722924,1.49348,2.07519,2.40337,0.81022,2.17346,0.854594,1.72981,2.62921,2.3591,1.05097,1.25078,0.566112,1.34802,1.2817,1.05312,0.557551,2.14674,0.361642,0.877543,1.15946,0.54222,2.01818,2.33968,2.13171,1.31972,1.15628,0.833399,0.45817,-2.36215,-2.39102,-1.95737,-1.12878,-1.57089,-0.450882,-0.937458,-1.4845,-1.4586,-1.33499,-2.0962,-2.40133,0.254007,-1.45896,-1.32003,-0.702197,-1.18056,-0.210038,-1.563,-1.88916,-0.860822,-2.64081,-1.09452,-1.75159,-1.47677,-0.692599,-0.810116,-0.342871,-1.79553,0.280765,-1.77283,-0.845177,0.197499
7114.46,0.948659,0.0554108,6,63,0,-7046.14,-0.361726,-0.850045,0.477947,-0.335548,-0.988544,-1.09586,0.187342,-1.13058,-0.636454,-1.03864,-1.0647,-0.328228,-0.558075,-1.59267,-1.64067,-0.801828,-1.92945,-0.188287,-0.318999,-0.912032,-1.46268,-1.28803,-1.20302,-0.325468,-1.08811,-1.30635,-1.27772,-0.504286,-0.949371,-1.35549,-0.655816,-0.935972,-0.570066,-1.03142,-1.18082,1.2739,0.75083,1.70013,1.26264,0.355467,1.9078,1.10606,1.62399,0.668903,1.87737,1.37383,0.906067,1.31671,1.05837,1.96226,2.1829,1.87703,1.15859,0.776039,1.13939,0.828316,1.80668,0.660302,1.54458,0.921254,0.177886,0.649662,0.822094,2.48979,1.20957,0.955399,-0.217092,0.752133,0.54913,1.04548,0.297886,2.82923,1.66591,1.69096,1.34375,1.68687,-0.555858,1.61245,1.22978,1.47091,1.88601,1.64422,2.32062,1.62484,1.72469,0.548813,1.25534,1.81604,1.20058,0.7725,1.55095,2.11111,2.41473,0.85405,2.18675,0.877801,1.7648,2.65207,2.39218,1.11025,1.27974,0.588455,1.37666,1.31898,1.10814,0.602831,2.1488,0.375665,0.890294,1.17833,0.591166,2.03154,2.37452,2.15661,1.36151,1.19578,0.873434,0.88057,-2.39754,-2.41298,-1.97185,-1.1671,-1.58999,-0.486303,-0.954152,-1.52246,-1.50362,-1.39239,-2.12657,-2.42373,0.231995,-1.4866,-1.3409,-0.73144,-1.22046,-0.22986,-1.57648,-1.92155,-0.913241,-2.68458,-1.13201,-1.78991,-1.52789,-0.731775,-0.870714,-0.366181,-1.80881,0.262585,-1.79448,-0.869866,0.200545
7105.48,0.929434,0.0554108,6,63,0,-7016.58,-0.469225,-0.80023,0.640415,-0.934535,-1.79759,-1.22565,-0.249139,-1.35343,0.239171,-0.852556,-1.51851,-1.15843,-1.85413,-1.81836,-1.77196,0.068573,-0.902885,-0.968298,-0.124832,-0.963727,-0.212475,-0.922261,-1.45769,0.0401693,-1.75731,-0.935792,-1.46716,-0.726878,-0.442714,-0.0911859,-0.0185338,-1.50188,0.375956,-0.100109,-0.221692,1.27451,0.690812,1.69566,1.29562,0.362213,1.89083,1.12467,1.6533,0.693898,1.80845,1.39261,0.894628,1.3236,1.07731,1.97561,2.21967,1.8937,1.16652,0.76202,1.1557,0.866357,1.79416,0.68732,1.55408,0.931916,0.200826,0.632568,0.796338,2.52629,1.22015,0.951479,-0.199301,0.746649,0.568542,1.03913,0.29434,2.87364,1.65675,1.72212,1.33768,1.73996,-0.552756,1.63594,1.2325,1.52019,1.88655,1.68726,2.33764,1.59382,1.71337,0.553869,1.27417,1.79501,1.1983,0.760094,1.52215,2.11964,2.41348,0.857617,2.17244,0.91162,1.76975,2.65984,2.39098,1.11521,1.26737,0.590342,1.40995,1.30937,1.12547,0.595061,2.12629,0.368087,0.908618,1.19338,0.614821,2.04381,2.37283,2.18091,1.33273,1.19068,0.845973,0.374435,-2.38518,-2.41593,-1.97722,-1.16259,-1.60761,-0.478168,-0.944162,-1.52862,-1.5125,-1.38429,-2.14457,-2.4324,0.247798,-1.48923,-1.36991,-0.738462,-1.23298,-0.237138,-1.56556,-1.97095,-0.924925,-2.70438,-1.13849,-1.77363,-1.54966,-0.746325,-0.840593,-0.42563,-1.8453,0.218041,-1.78095,-0.856472,0.197587
