# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_model
# start_datetime = 2022-03-05 08:16:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c48bb4fe8.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00987191
# Diagonal elements of inverse mass matrix:
# 0.173364, 0.112244, 0.1008, 0.105698, 0.0196683, 0.0113509, 0.192394, 0.362667, 0.366036, 0.33969, 0.292867, 0.293602, 0.279989, 0.460638, 0.329327, 0.292231, 0.298319, 0.295584, 0.285251, 0.342904, 0.491246, 0.282408, 0.29386, 0.299677, 0.272706, 0.351461, 0.262366, 0.333533, 0.268099, 0.409341, 0.306065, 0.316446, 0.291769, 0.282166, 0.342593, 0.346574, 0.32173, 0.442063, 0.329463, 0.292725, 0.193151, 0.00632894, 0.194354, 0.194152, 0.195581, 0.194579, 0.195628, 0.194968, 0.195, 0.194582, 0.194412, 0.194689, 0.194716, 0.195687, 0.194808, 0.194768, 0.195149, 0.193793, 0.193535, 0.196065, 0.195687, 0.195094, 0.195177, 0.194444, 0.195069, 0.195416, 0.194939, 0.194427, 0.195539, 0.195415, 0.194776, 0.195268, 0.194652, 0.194745, 0.195368, 0.194631, 0.19415, 0.19418, 0.195002, 0.195288, 0.195086, 0.195197, 0.195549, 0.193792, 0.194983, 0.195106, 0.195856, 0.194709, 0.194346, 0.19457, 0.194691, 0.19473, 0.194931, 0.195226, 0.195082, 0.195623, 0.195944, 0.196089, 0.195214, 0.195505, 0.195001, 0.196166, 0.194736, 0.194896, 0.194212, 0.195365, 0.195683, 0.195821, 0.194978, 0.195037, 0.195317, 0.195564, 0.195108, 0.194907, 0.19641, 0.195116, 0.19514, 0.194847, 0.195277, 0.194302, 0.196219, 0.194466, 0.359732, 0.194998, 0.19494, 0.194244, 0.194882, 0.194168, 0.194794, 0.195177, 0.194364, 0.194659, 0.194653, 0.195018, 0.193784, 0.193575, 0.194799, 0.194847, 0.194341, 0.194642, 0.19493, 0.194292, 0.194832, 0.194814, 0.19503, 0.194393, 0.193758, 0.195144, 0.194322, 0.19559, 0.195193, 0.194916, 0.194567, 0.194627, 0.194916, 8.06097e-05
6964.03,0.913744,0.00987191,8,255,0,-6880.88,-0.570678,-0.30816,-0.472886,-0.487228,-0.392859,0.131939,0.0737147,0.257487,0.171256,-0.404194,0.23391,-0.624591,0.310271,0.0184575,-0.330404,-0.356249,-0.0905876,-0.142074,0.339308,0.14272,0.382398,0.0269119,0.0494397,0.149358,-0.251323,-0.0369588,0.293868,0.120843,0.529426,-0.683549,-0.410527,-0.0690364,-0.113431,0.164472,0.224587,0.185046,0.600774,-0.0193268,-0.0370315,0.0115147,0.666805,0.57475,0.939004,0.499283,-0.212896,1.23859,0.417891,0.914834,0.0564358,1.13372,0.747614,0.289685,0.598068,0.378823,1.23239,1.532,1.16383,0.507414,0.0654159,0.489449,0.167189,1.0635,0.112458,0.850984,0.300132,-0.321824,0.0489455,0.146312,1.78223,0.500971,0.300372,-0.586562,0.137105,-0.0111372,0.413068,-0.127257,2.24851,0.943043,0.985421,0.634244,0.956669,-0.782572,0.921827,0.537734,0.745547,1.17957,0.941811,1.59541,0.841557,0.986672,-0.0126684,0.538133,1.08596,0.523697,0.150493,0.783906,1.40071,1.68412,0.249088,1.3997,0.209949,1.08423,1.92926,1.6934,0.423888,0.597283,0.0271677,0.665197,0.604088,0.455999,0.0679623,1.38099,-0.0740312,0.242528,0.493913,0.0411717,1.34457,1.60608,1.43773,0.669534,0.509541,0.237011,0.63585,-0.662034,-0.985956,-0.486369,-0.164582,-0.512336,1.31343,-0.112761,0.0486775,0.0771728,0.183823,-1.01762,-0.992276,0.945719,-1.05996,-0.85739,-0.533663,-0.816613,0.421701,-1.16143,-1.07896,-0.509329,-1.91466,-1.37736,-1.85858,-1.67104,-1.21754,-0.808736,-0.377527,-1.85341,0.414731,-1.71488,-0.948692,0.203381
6963.88,0.978489,0.00987191,8,255,0,-6904.16,-0.342568,-0.481681,-0.848918,-0.880426,-0.361888,0.070814,0.211057,0.43565,-0.398264,-0.18429,-0.00533172,-0.194888,0.277645,1.04727,0.301907,-0.690524,0.280782,0.0820253,0.410133,0.37416,1.01399,-0.197337,-0.103739,-0.0792043,-0.121444,0.972502,-0.0210917,-0.501319,0.648977,0.108751,-0.104999,0.277453,0.247752,0.539636,0.772259,-0.0201152,0.19541,0.604527,0.111951,0.29863,0.558789,0.578911,0.999058,0.65599,-0.0992228,1.30436,0.55062,1.00556,0.159278,1.19162,0.786276,0.347021,0.700556,0.498487,1.31312,1.53311,1.20264,0.551305,0.174074,0.532844,0.310089,1.14631,0.100732,0.917387,0.353091,-0.290024,0.115852,0.209392,1.79256,0.595976,0.366262,-0.575133,0.233979,0.0985039,0.367333,-0.102844,2.28332,0.986947,1.04211,0.728935,1.0548,-0.72635,1.01087,0.601334,0.812614,1.22378,1.00434,1.66929,0.996,0.98813,0.0343109,0.664547,1.09999,0.573345,0.253481,0.898306,1.49344,1.76682,0.308643,1.52447,0.339694,1.07651,1.96426,1.74499,0.495643,0.66166,0.0878464,0.758374,0.675887,0.478493,0.0576683,1.4743,-0.038296,0.288419,0.528487,0.0408799,1.41832,1.70629,1.54309,0.681511,0.564969,0.263326,0.564333,-0.755156,-1.03313,-0.544135,-0.225674,-0.572587,1.27208,-0.168548,0.0287162,0.00238559,0.118863,-1.07867,-1.07054,0.890054,-1.13688,-0.957325,-0.616874,-0.869545,0.37591,-1.25986,-1.12193,-0.559113,-1.97064,-1.43006,-1.92988,-1.74907,-1.27634,-0.857288,-0.443645,-1.89763,0.352677,-1.76661,-1.01226,0.203367
6972.7,0.90051,0.00987191,8,255,0,-6884.06,-0.411362,-0.231168,-0.888882,-1.05963,-0.0776048,0.0331202,0.365212,0.542647,-0.145401,-0.00492873,-0.582699,0.393935,-0.175454,0.915877,0.56576,0.902594,0.706524,0.532437,0.131498,0.0453842,1.4281,0.0487157,0.460871,1.16631,0.480751,1.02861,0.278328,-0.058813,0.708878,-0.175845,0.155952,0.133973,-0.0968097,0.488185,-0.0295254,0.843377,0.235539,0.92048,0.128,0.473467,0.651492,0.594339,0.948054,0.600148,-0.150574,1.24647,0.491735,0.953302,0.103356,1.12643,0.737705,0.285861,0.649419,0.4553,1.27401,1.47333,1.15352,0.50007,0.116144,0.479516,0.264385,1.09069,0.0493048,0.872313,0.296873,-0.336777,0.0723222,0.162517,1.75859,0.548422,0.316729,-0.619557,0.182146,0.0404782,0.315461,-0.149528,2.23388,0.946428,0.997517,0.679451,1.01958,-0.776198,0.961541,0.555678,0.764283,1.18715,0.950879,1.62458,0.942487,0.952342,-0.0181848,0.622085,1.04734,0.528018,0.196691,0.836865,1.44076,1.71267,0.244012,1.46611,0.286631,1.03935,1.90958,1.69671,0.450521,0.596421,0.0355998,0.702746,0.611254,0.42314,0.000183853,1.4361,-0.082043,0.238773,0.492195,-0.0076554,1.35891,1.65133,1.48883,0.627489,0.526734,0.226683,0.375185,-0.677579,-1.00587,-0.49012,-0.143794,-0.557753,1.31241,-0.113305,0.00786812,0.0308026,0.202977,-0.970949,-0.989379,0.924251,-1.06549,-0.908105,-0.51501,-0.837587,0.388751,-1.16196,-1.08099,-0.540349,-1.93126,-1.41011,-1.90628,-1.71894,-1.23519,-0.847444,-0.401473,-1.86095,0.409046,-1.6971,-0.957981,0.204022
6973.15,0.899425,0.00987191,8,255,0,-6902.46,-0.460636,-0.379308,-0.864481,-0.91197,-0.0688265,0.121273,0.251179,0.423271,0.54033,0.185865,-0.676836,0.271019,0.0689218,0.993582,0.675026,0.102931,0.554841,0.548351,-0.581423,0.114543,0.983833,-0.151856,0.0942025,1.17334,-0.0249316,0.659185,0.17684,0.301175,0.88101,-0.172078,0.376813,0.157678,-0.171544,0.606565,0.331304,0.226095,0.380145,0.518143,0.107646,0.23221,0.6812,0.568946,0.928821,0.524932,-0.202328,1.27523,0.451075,0.906311,0.0594899,1.09885,0.741018,0.293457,0.594543,0.384341,1.19241,1.53562,1.17766,0.487578,0.087521,0.462854,0.226036,1.02265,0.0910095,0.868932,0.305759,-0.332177,0.024482,0.153785,1.79728,0.477136,0.302875,-0.602036,0.140116,0.0222615,0.366295,-0.153907,2.19915,0.935107,0.966275,0.618014,0.961264,-0.797372,0.932466,0.534292,0.772537,1.18778,0.950977,1.60416,0.875986,0.95822,0.0255691,0.554575,1.09217,0.530816,0.152778,0.810765,1.41203,1.6885,0.232322,1.42555,0.205934,1.07354,1.95192,1.66953,0.410352,0.565952,0.0323653,0.661403,0.637771,0.431854,0.0619386,1.4087,-0.118963,0.23935,0.448754,0.0193334,1.36727,1.66156,1.43478,0.647097,0.523802,0.24553,0.451397,-0.688399,-0.971703,-0.474739,-0.164956,-0.551245,1.32603,-0.10528,0.0644432,0.0414861,0.201996,-0.979911,-0.981692,0.956333,-1.07835,-0.878385,-0.501554,-0.813799,0.410177,-1.16538,-1.05485,-0.506448,-1.917,-1.36838,-1.86751,-1.67597,-1.21637,-0.834155,-0.373003,-1.82834,0.413175,-1.68957,-0.936009,0.20408
6953.77,0.924006,0.00987191,8,255,0,-6882.89,-0.343809,-0.229265,-0.588965,-0.635622,-0.0548872,0.01181,0.220917,0.51778,0.159682,-0.613733,0.127111,-0.26553,-0.059601,0.913106,0.14269,0.659183,0.579542,0.442222,-0.258906,-0.262667,0.913364,0.0465632,0.386611,0.000856618,1.08369,1.20049,-0.0425857,0.0832586,0.732691,-0.844898,-0.0655736,0.393052,-0.34661,-0.488159,-0.51915,0.549548,-0.567744,0.735443,0.199845,0.764321,0.52845,0.566128,0.931844,0.52467,-0.22791,1.21905,0.453226,0.882804,0.0450007,1.09396,0.688171,0.187647,0.594918,0.330747,1.18108,1.4882,1.09663,0.458864,0.034159,0.429136,0.174954,1.01617,0.0407952,0.84076,0.233774,-0.395038,0.0502607,0.116815,1.71589,0.503823,0.304868,-0.64064,0.124623,0.00627359,0.355426,-0.208137,2.18241,0.949247,0.988287,0.614266,0.963613,-0.804372,0.926204,0.490381,0.768671,1.13956,0.959915,1.59796,0.926766,0.919434,-0.0360343,0.467655,1.04405,0.485891,0.154763,0.782819,1.372,1.65428,0.164089,1.3921,0.249291,1.02178,1.92102,1.62402,0.393988,0.573886,0.0208881,0.63642,0.575555,0.440191,-0.00394161,1.3392,-0.150997,0.200356,0.457467,-0.0282875,1.27763,1.60827,1.43119,0.585784,0.497328,0.189948,0.417806,-0.660513,-0.948841,-0.443711,-0.138596,-0.524111,1.35125,-0.0797884,0.0952897,0.0714692,0.221475,-0.9442,-0.958638,0.983526,-1.05764,-0.848919,-0.473665,-0.791867,0.431564,-1.13509,-1.0186,-0.476603,-1.88679,-1.34403,-1.8399,-1.65161,-1.18754,-0.807361,-0.342242,-1.79092,0.441249,-1.66327,-0.913049,0.206521
6961.29,0.937256,0.00987191,8,255,0,-6875.98,-0.401271,-0.43476,-0.413696,-0.921357,-0.103427,0.124413,0.125783,0.750404,-0.0436147,-0.493831,0.00014803,0.405729,0.537608,1.18402,0.392836,0.0561472,0.431651,0.969845,-0.169873,-0.382065,1.1861,-0.690469,-0.0354972,0.315091,-0.436507,1.42601,-0.0825469,-0.654262,-0.0174563,-0.822063,-0.238114,-0.508738,-0.496408,0.458506,0.263263,0.421599,-0.391886,1.49062,-0.95736,-0.209305,0.596267,0.724838,0.912529,0.482649,-0.293358,1.16003,0.428101,0.809142,-0.0217097,1.03805,0.683044,0.178733,0.575181,0.318032,1.19414,1.43739,1.05286,0.439175,0.0177743,0.352591,0.11024,0.949925,-0.020084,0.796209,0.189306,-0.407348,0.00209418,0.0557625,1.65899,0.4457,0.255249,-0.670972,0.0836403,-0.0838023,0.289006,-0.255588,2.16454,0.861658,0.968134,0.58693,0.925384,-0.850476,0.868336,0.426957,0.682042,1.07386,0.910155,1.50563,0.859178,0.906337,-0.0943836,0.499543,1.03073,0.430571,0.121182,0.748301,1.28105,1.60127,0.122995,1.33939,0.213937,0.989459,1.8871,1.6114,0.31377,0.52447,-0.0439604,0.574396,0.549349,0.385018,-0.0479128,1.31979,-0.19962,0.140344,0.428525,-0.0311219,1.23167,1.5632,1.36831,0.52935,0.459829,0.171428,0.287337,-0.601165,-0.891948,-0.418958,-0.0892213,-0.473776,1.39671,-0.0354492,0.120037,0.104438,0.286898,-0.88488,-0.92662,1.0315,-0.979089,-0.796932,-0.444146,-0.733394,0.499376,-1.09898,-0.991713,-0.430234,-1.83417,-1.30066,-1.79695,-1.58908,-1.12051,-0.743107,-0.303383,-1.76223,0.489325,-1.63332,-0.85288,0.200907
