# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_model
# start_datetime = 2022-03-05 08:16:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c48bb4fe8.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.0100085
# Diagonal elements of inverse mass matrix:
# 0.162257, 0.0881447, 0.0935546, 0.100195, 0.020405, 0.0104277, 0.21918, 0.0869374, 0.339687, 0.286905, 0.276223, 0.289999, 0.259377, 0.465867, 0.323557, 0.296283, 0.273881, 0.300609, 0.254214, 0.279527, 0.43837, 0.281654, 0.302728, 0.308737, 0.280886, 0.355782, 0.263511, 0.322606, 0.278284, 0.323691, 0.313918, 0.311205, 0.286281, 0.302739, 0.372273, 0.38601, 0.303468, 0.440423, 0.300159, 0.306208, 0.263637, 0.00649534, 0.267331, 0.267275, 0.266755, 0.266931, 0.267375, 0.26647, 0.26712, 0.266677, 0.267632, 0.267227, 0.26691, 0.267735, 0.267853, 0.267401, 0.266473, 0.267187, 0.266723, 0.267191, 0.266506, 0.266297, 0.265256, 0.26706, 0.2659, 0.266665, 0.266213, 0.266972, 0.267599, 0.267089, 0.266236, 0.267629, 0.267179, 0.267393, 0.268025, 0.26637, 0.266203, 0.265443, 0.266275, 0.266898, 0.267725, 0.266364, 0.267087, 0.267293, 0.267588, 0.266602, 0.265807, 0.266119, 0.266822, 0.267296, 0.267395, 0.268384, 0.268123, 0.267497, 0.267929, 0.26779, 0.267369, 0.267042, 0.266714, 0.267819, 0.267023, 0.267653, 0.266192, 0.26631, 0.267417, 0.266283, 0.266055, 0.267186, 0.266815, 0.26708, 0.266855, 0.267001, 0.267022, 0.267275, 0.268079, 0.265869, 0.266711, 0.265421, 0.266202, 0.268664, 0.266883, 0.267834, 1.74384, 0.266755, 0.266417, 0.266618, 0.266292, 0.266308, 0.267037, 0.266912, 0.265797, 0.267015, 0.266217, 0.266999, 0.267043, 0.266671, 0.265493, 0.266403, 0.2662, 0.266954, 0.266419, 0.26574, 0.266572, 0.266547, 0.265751, 0.266469, 0.266873, 0.266352, 0.267544, 0.267076, 0.266891, 0.2661, 0.266895, 0.267081, 0.266021, 8.31092e-05
6987.86,0.949294,0.0100085,9,1023,0,-6913.1,0.707174,0.273479,-0.166109,-1.03175,-0.133254,0.354362,-0.243703,0.755051,-1.39773,-1.41876,-1.19123,0.135894,-0.188924,0.28812,0.357312,-0.747195,-0.60176,-0.453396,-0.971413,-1.50759,1.12205,-0.896001,-0.952502,0.215789,-0.105773,0.634656,-0.765538,-1.24981,-0.281971,-1.64548,0.131163,-0.368651,-0.166978,0.637338,-0.148953,-0.0481673,-0.464889,1.30357,-0.419755,0.185459,-0.825446,0.57673,-0.519799,-0.917107,-1.65185,-0.220866,-0.952905,-0.562512,-1.39858,-0.308971,-0.71297,-1.24206,-0.856776,-1.0572,-0.230856,0.0342947,-0.309304,-0.975035,-1.35498,-0.951482,-1.21244,-0.366754,-1.41803,-0.622205,-1.19641,-1.80616,-1.42162,-1.31605,0.288378,-0.94698,-1.18492,-2.13395,-1.28166,-1.45552,-1.10813,-1.58447,0.780928,-0.564294,-0.454605,-0.794469,-0.474901,-2.27982,-0.513738,-0.972476,-0.685028,-0.317589,-0.507386,0.121854,-0.597385,-0.541364,-1.52814,-0.862813,-0.381525,-0.93333,-1.27598,-0.670288,-0.0741099,0.222646,-1.28575,-0.00670173,-1.24186,-0.415597,0.498199,0.194333,-1.0464,-0.858235,-1.43511,-0.810686,-0.861156,-1.02073,-1.43699,-0.0341752,-1.57269,-1.21943,-0.978436,-1.45015,-0.155617,0.165262,-0.0191655,-0.852661,-0.959035,-1.23433,0.101807,0.778675,0.477889,1.0124,1.32834,0.944235,2.81679,1.3924,1.50655,1.51249,1.68232,0.468349,0.48641,2.41332,0.408224,0.579511,0.943258,0.672598,1.905,0.2794,0.401347,0.971503,-0.440905,0.081169,-0.420366,-0.216921,0.230069,0.642279,1.0763,-0.410752,1.87387,-0.214219,0.515633,0.203431
6966.97,0.801701,0.0100085,7,127,0,-6890.87,0.731063,0.345939,-0.339946,-0.922341,-0.0709148,0.267673,-0.323177,0.716585,-1.07786,-1.47606,-0.808474,0.0852148,-0.437587,0.446132,0.416333,-0.395121,-0.458842,-0.390143,-1.22279,-1.35074,1.37362,-0.419129,-0.497476,0.403203,-0.0227412,0.941114,-0.467033,-0.780652,-0.212184,-1.43069,0.0715768,-0.298119,-0.199052,0.474287,0.119062,0.225957,-0.323788,1.16619,-0.691311,0.0383518,-0.746914,0.561919,-0.526773,-0.907671,-1.66811,-0.258813,-1.04517,-0.51587,-1.46082,-0.398158,-0.76639,-1.15805,-0.848801,-1.06194,-0.269413,0.0403993,-0.355412,-0.974691,-1.37904,-1.00055,-1.23504,-0.383498,-1.37278,-0.602782,-1.18656,-1.81654,-1.40694,-1.38026,0.261249,-0.9578,-1.1691,-2.10799,-1.32087,-1.47062,-1.10672,-1.71406,0.713581,-0.51311,-0.467487,-0.853649,-0.498232,-2.27026,-0.530843,-0.982218,-0.678379,-0.278758,-0.532968,0.131284,-0.558681,-0.495154,-1.50896,-0.879878,-0.393245,-0.932486,-1.33605,-0.671085,-0.0465457,0.222966,-1.21996,-0.054959,-1.21466,-0.424081,0.466299,0.232086,-1.07363,-0.863517,-1.45496,-0.778959,-0.843242,-1.01415,-1.44787,-0.0693334,-1.57187,-1.22653,-0.979389,-1.44448,-0.0725278,0.167524,0.0192194,-0.88137,-0.950301,-1.26625,0.129834,0.817976,0.50617,0.978429,1.31935,0.97816,2.81098,1.33733,1.53728,1.54796,1.68686,0.498547,0.445186,2.40793,0.387677,0.560169,0.925839,0.637568,1.8794,0.280659,0.424385,0.946861,-0.421568,0.104583,-0.411578,-0.227873,0.295627,0.703303,1.11318,-0.320484,1.89105,-0.221807,0.513812,0.204106
7004.29,0.993789,0.0100085,7,191,0,-6926.43,0.227801,-0.166313,-0.426389,-0.592045,-0.179687,0.302556,0.135155,0.582053,-0.708412,-0.57109,0.00394693,0.872436,0.4699,1.18124,1.13143,0.29179,0.307174,0.339458,-0.24517,-0.531037,1.79647,0.0585635,-0.0987787,0.978891,0.497238,1.24925,0.126368,-0.564529,0.309434,-0.727839,-0.00745877,-0.0667812,-0.161216,0.714918,-0.0562967,0.238822,-0.460246,1.43774,-0.596951,0.123915,-0.620806,0.633678,-0.43553,-0.783787,-1.52329,-0.10613,-0.899026,-0.442741,-1.27141,-0.199281,-0.618794,-1.09201,-0.71777,-0.957074,-0.0742111,0.165355,-0.207981,-0.853556,-1.23272,-0.93444,-1.13508,-0.293395,-1.27322,-0.484684,-1.0353,-1.67186,-1.32239,-1.17115,0.434166,-0.843395,-1.055,-1.99043,-1.19198,-1.32371,-0.980775,-1.4401,0.907206,-0.416347,-0.394702,-0.680394,-0.355436,-2.11757,-0.389652,-0.832939,-0.615977,-0.20808,-0.399874,0.247805,-0.434715,-0.380571,-1.36279,-0.80529,-0.278848,-0.854572,-1.17393,-0.552677,0.0859237,0.345724,-1.11888,0.10552,-1.118,-0.296446,0.620244,0.320395,-0.944055,-0.736677,-1.29946,-0.668487,-0.740708,-0.863201,-1.31672,0.0609891,-1.47023,-1.10406,-0.86632,-1.32827,-0.0418796,0.27827,0.0796144,-0.689445,-0.849888,-1.11841,0.0955164,0.683257,0.379627,0.840431,1.20299,0.832387,2.665,1.23367,1.38496,1.40113,1.52808,0.385701,0.359736,2.31173,0.260796,0.429087,0.810684,0.528379,1.77032,0.162476,0.260858,0.840775,-0.559727,-0.00745291,-0.515152,-0.355049,0.157197,0.560336,0.993847,-0.485962,1.78482,-0.32932,0.386244,0.205673
7005.76,0.847598,0.0100085,11,2559,0,-6932.74,-0.315655,-0.427522,0.299125,0.00346158,-0.544996,0.219525,-0.444074,0.537193,-1.30129,-1.09265,-0.523983,-0.108212,0.107034,0.579211,0.705998,-0.718233,-0.127444,-0.0831647,-0.498192,-0.669797,0.591516,-1.16455,-0.553727,0.191692,-1.03031,-0.0784608,-0.914358,-1.72757,-0.422664,-1.62077,-1.43901,-0.555332,-1.11308,-0.499361,-0.590162,-0.194794,-0.93939,0.540996,-1.29924,-0.943889,0.378932,0.557769,0.697242,0.34044,-0.397096,1.05068,0.254181,0.727522,-0.17381,0.890699,0.51593,0.056528,0.424155,0.181408,1.0166,1.33958,0.936076,0.291465,-0.0970597,0.263609,-0.00859254,0.872786,-0.105596,0.629324,0.102469,-0.536219,-0.134016,-0.0191703,1.52874,0.3281,0.070225,-0.812569,-0.0326912,-0.218338,0.147488,-0.391083,2.04254,0.753469,0.817323,0.446165,0.764888,-1.00111,0.723777,0.288178,0.535338,0.918878,0.775173,1.38515,0.655801,0.748955,-0.225089,0.371689,0.84598,0.297114,-0.0210741,0.63122,1.22188,1.4861,0.0219707,1.2045,0.0562877,0.845397,1.72716,1.49943,0.213796,0.409835,-0.167278,0.462943,0.411917,0.227519,-0.215487,1.17985,-0.285677,0.039445,0.248092,-0.178991,1.14643,1.39634,1.28589,0.419124,0.312192,0.0337355,0.115106,-0.477287,-0.779923,-0.278653,0.0808139,-0.326092,1.56088,0.12373,0.266358,0.280387,0.413338,-0.77945,-0.766896,1.17204,-0.854229,-0.681133,-0.322862,-0.636629,0.601275,-0.955999,-0.838869,-0.318662,-1.71951,-1.15268,-1.68383,-1.47352,-1.01206,-0.56928,-0.174619,-1.60145,0.61488,-1.48914,-0.717318,0.203156
7000.64,0.924432,0.0100085,10,1471,0,-6929.1,-0.194698,0.351819,0.154822,-0.0442127,-0.105926,0.212141,-0.364422,0.628012,-0.891852,-0.570911,-0.471006,0.392196,-0.101585,0.727502,0.802535,0.337027,0.0881697,0.255985,-0.452672,-0.745533,1.47017,-0.399325,-0.382703,0.258897,-0.120468,0.863451,-0.528325,-0.61858,0.253003,-1.22187,-0.252529,-0.76786,-0.782254,-0.0451664,-0.40382,0.0832033,-0.935465,0.853289,-0.939332,-0.326184,-0.24557,0.598614,0.029623,-0.350179,-1.06523,0.326866,-0.444084,0.0110892,-0.861368,0.191949,-0.206505,-0.624881,-0.257989,-0.491944,0.347245,0.619384,0.247563,-0.400376,-0.810715,-0.440541,-0.675623,0.167939,-0.81802,-0.0503809,-0.62559,-1.22918,-0.837643,-0.719366,0.857594,-0.368937,-0.60072,-1.51628,-0.724448,-0.935103,-0.546384,-1.10803,1.345,0.038417,0.112754,-0.227487,0.0640979,-1.6526,0.0448777,-0.373421,-0.140151,0.283615,0.0517306,0.705272,-0.0283984,0.0738321,-0.883281,-0.33508,0.168903,-0.42359,-0.682922,-0.0664462,0.50957,0.782985,-0.663939,0.505056,-0.636639,0.15776,1.0487,0.835276,-0.469981,-0.287101,-0.856856,-0.242924,-0.289093,-0.469738,-0.881039,0.49638,-0.952257,-0.668696,-0.43279,-0.875376,0.442039,0.753611,0.623527,-0.253491,-0.354636,-0.683112,0.122879,0.22709,-0.0730102,0.433066,0.72667,0.372896,2.22247,0.768083,0.951895,0.942848,1.10842,-0.0891388,-0.103617,1.83885,-0.156101,0.0244467,0.36982,0.0752949,1.36373,-0.30569,-0.177913,0.402672,-1.00984,-0.514166,-0.978925,-0.799319,-0.310819,0.0795047,0.527696,-0.955961,1.32234,-0.779767,-0.0688216,0.203526
7004.21,0.90865,0.0100085,8,255,0,-6917.84,0.16279,-0.400766,-0.574901,-0.874557,-0.321323,0.237722,-0.31657,0.631502,-1.16314,-1.13437,-0.743218,0.0439056,-0.112676,0.597182,0.447977,-0.161652,-0.162927,-0.140996,-0.69937,-0.858015,1.38084,-0.425557,-0.389253,0.391427,-0.315596,0.699487,-0.76584,-1.05379,0.0380124,-1.18457,-0.77148,-0.382705,-0.538146,0.307574,-0.348525,0.193525,-0.509166,0.963248,-0.636742,-0.463452,0.215703,0.569555,0.474914,0.0624732,-0.6212,0.735317,-0.00155175,0.480169,-0.431331,0.664067,0.265341,-0.179266,0.135308,-0.0533089,0.740399,1.00317,0.695443,0.0403896,-0.337824,0.0250911,-0.252018,0.591276,-0.377991,0.386541,-0.163559,-0.784178,-0.379749,-0.320831,1.2622,0.0400787,-0.188772,-1.09293,-0.284205,-0.468492,-0.106021,-0.624207,1.78069,0.476223,0.516711,0.210712,0.496549,-1.24342,0.489666,0.0463607,0.279543,0.730203,0.469716,1.14469,0.443811,0.494154,-0.493845,0.159223,0.573772,0.0559986,-0.265542,0.311972,0.94391,1.22935,-0.223061,0.956133,-0.247538,0.595515,1.48024,1.26056,-0.0275872,0.117976,-0.401447,0.196535,0.164673,-0.024356,-0.404906,0.922396,-0.523973,-0.205937,0.0508282,-0.422278,0.870503,1.16186,1.00155,0.177632,0.0763157,-0.218098,0.135184,-0.224652,-0.51014,-0.0404053,0.320232,-0.0734243,1.78969,0.374484,0.538424,0.526049,0.64865,-0.520469,-0.534503,1.43427,-0.596779,-0.425204,-0.0604062,-0.36003,0.851888,-0.704631,-0.585547,-0.0427959,-1.45458,-0.894579,-1.40754,-1.24199,-0.735302,-0.349828,0.0919503,-1.36465,0.864033,-1.23791,-0.484058,0.201215
