# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_model
# start_datetime = 2022-03-09 15:35:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bccc5f22aa.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.0108502
# Diagonal elements of inverse mass matrix:
# 0.182295, 0.140086, 0.0996825, 0.143469, 0.0192703, 0.00804376, 0.153865, 0.130968, 0.278387, 0.244614, 0.243545, 0.302351, 0.262071, 0.442774, 0.361767, 0.271284, 0.266067, 0.267067, 0.231905, 0.252383, 0.443252, 0.20428, 0.241805, 0.268413, 0.207308, 0.313961, 0.208114, 0.24032, 0.221024, 0.274459, 0.248356, 0.257945, 0.22775, 0.262515, 0.248454, 0.293522, 0.234237, 0.410648, 0.229567, 0.243327, 0.15858, 0.00628092, 0.1622, 0.163286, 0.161553, 0.162512, 0.161141, 0.160835, 0.161415, 0.162029, 0.162409, 0.162952, 0.16254, 0.161907, 0.161366, 0.162495, 0.162019, 0.162975, 0.161479, 0.161809, 0.161726, 0.162012, 0.161318, 0.161518, 0.161611, 0.162602, 0.16255, 0.161393, 0.162932, 0.162246, 0.162637, 0.161942, 0.161367, 0.162131, 0.162632, 0.162309, 0.163399, 0.162466, 0.163245, 0.162293, 0.161355, 0.162416, 0.162739, 0.161985, 0.162473, 0.162421, 0.162155, 0.161777, 0.161292, 0.162302, 0.161686, 0.162272, 0.161466, 0.162217, 0.161538, 0.162417, 0.161843, 0.161888, 0.161633, 0.162279, 0.16206, 0.162193, 0.162114, 0.162127, 0.161841, 0.162621, 0.161961, 0.161971, 0.163108, 0.162707, 0.162502, 0.162311, 0.162215, 0.162981, 0.162202, 0.161169, 0.161276, 0.163319, 0.162533, 0.162836, 0.161467, 0.162012, 1.72048, 0.162493, 0.162363, 0.162112, 0.161619, 0.161847, 0.161406, 0.161815, 0.161828, 0.161799, 0.161458, 0.161865, 0.162049, 0.161578, 0.161509, 0.161968, 0.162205, 0.161701, 0.161478, 0.161412, 0.162245, 0.161913, 0.161636, 0.160873, 0.161438, 0.161631, 0.162152, 0.161751, 0.162267, 0.161737, 0.16211, 0.161421, 0.161677, 7.00762e-05
6996.21,0.978524,0.0108502,7,127,0,-6920.77,-0.0946889,-0.169502,0.175977,-0.111369,-0.563313,0.250993,-0.135055,0.179339,-0.487677,-0.00795606,-0.0732221,-0.0994267,0.0839334,-0.0601261,-0.0608091,-0.376475,-0.469491,-0.0225519,-0.0894863,-0.242871,-0.166025,-0.0759763,0.0323353,-0.0394792,-0.162729,0.158696,-0.151552,-0.187719,0.0106497,-0.448663,-0.409537,0.0130671,-0.13106,-0.560724,-0.0506509,-0.245119,-0.0535437,0.378722,0.124544,-0.234547,-0.156065,0.649252,0.0480898,-0.330966,-1.0819,0.337224,-0.434578,0.0169597,-0.794624,0.240944,-0.156779,-0.607196,-0.273359,-0.488868,0.334117,0.618256,0.252708,-0.435605,-0.793831,-0.420837,-0.623048,0.146929,-0.791012,-0.0694368,-0.57489,-1.19533,-0.823105,-0.747425,0.86353,-0.328439,-0.572059,-1.49283,-0.746647,-0.84641,-0.491353,-1.04363,1.34212,0.0675313,0.0852269,-0.232532,0.0578751,-1.66149,0.0555004,-0.353834,-0.109627,0.294277,0.0577676,0.704391,0.0359906,0.0705509,-0.885808,-0.325753,0.161447,-0.399939,-0.735582,-0.0921607,0.532371,0.792538,-0.659448,0.587195,-0.632333,0.169474,1.03519,0.817152,-0.483159,-0.258727,-0.848705,-0.228449,-0.259078,-0.432054,-0.856297,0.579086,-0.975822,-0.652557,-0.422874,-0.855049,0.471987,0.730622,0.570987,-0.236844,-0.361806,-0.623957,0.618077,0.231071,-0.0941957,0.422776,0.754772,0.342756,2.22258,0.78722,0.945458,0.935829,1.09727,-0.0977867,-0.106354,1.82032,-0.174337,0.0161305,0.359294,0.0784737,1.30736,-0.289945,-0.184296,0.409724,-1.03865,-0.481722,-1.00161,-0.821613,-0.339858,0.069848,0.488277,-0.967346,1.31694,-0.819143,-0.0494492,0.203179
6989.56,0.980324,0.0108502,8,511,0,-6927.84,-0.627704,0.281181,-0.0769624,-0.381578,-0.0796362,0.382532,0.244816,0.186973,0.472827,0.386198,0.0230371,0.178349,0.276911,0.415271,0.353349,0.442487,0.524269,0.205226,0.221915,0.244194,0.140854,0.22331,0.0155017,-0.0029892,0.191268,0.250117,0.195791,0.094094,0.0371629,0.215051,0.387313,0.0756688,0.579525,0.46862,0.323977,0.334832,0.0699986,0.709386,-0.0444542,0.0342214,-0.259829,0.539175,-0.0179771,-0.37791,-1.09632,0.266296,-0.443353,-0.00298419,-0.87743,0.172543,-0.207558,-0.653916,-0.303187,-0.518337,0.324845,0.575737,0.21992,-0.407619,-0.838343,-0.493668,-0.684139,0.160511,-0.837216,-0.0935615,-0.614385,-1.25862,-0.899695,-0.772049,0.804259,-0.386454,-0.626559,-1.55726,-0.737761,-0.851563,-0.548779,-1.10584,1.27632,-0.00509587,0.0699407,-0.267696,0.0533072,-1.70603,0.0132908,-0.437861,-0.184578,0.233876,-0.00929147,0.669615,-0.01078,0.0298492,-0.910478,-0.355397,0.139152,-0.407401,-0.771953,-0.155974,0.472624,0.773546,-0.699715,0.508356,-0.673568,0.124346,0.991856,0.766073,-0.48517,-0.314479,-0.906749,-0.235867,-0.334352,-0.535504,-0.901484,0.458723,-1.03951,-0.698106,-0.451917,-0.944761,0.430189,0.722879,0.517573,-0.320388,-0.396506,-0.733103,0.706053,0.256137,-0.0645903,0.436057,0.784987,0.413163,2.27559,0.836482,0.973188,1.00014,1.13989,-0.068766,-0.0466218,1.87764,-0.129971,0.0320958,0.388366,0.121992,1.36472,-0.221619,-0.0948644,0.385262,-0.98295,-0.408442,-0.956532,-0.748947,-0.287864,0.127676,0.553395,-0.933195,1.34313,-0.754087,-0.0247352,0.202699
6971.64,0.992175,0.0108502,7,127,0,-6890.81,0.241218,0.24437,-0.25541,-0.19556,-0.222482,-0.0126373,0.125683,0.209304,0.363949,0.273894,0.596759,0.0989486,0.249164,0.605707,0.107088,-0.0647872,0.398726,0.0496371,0.455043,-0.126954,0.199283,-0.0220811,-0.0828136,0.181501,0.058482,0.324147,0.00110929,0.274932,0.181894,0.122697,0.0962905,0.138628,0.332868,0.046488,0.181062,0.275343,-0.307309,0.399865,-0.309028,0.279538,-0.224313,0.699012,0.0111931,-0.340919,-1.1093,0.353007,-0.420194,-0.00681954,-0.829918,0.220337,-0.196592,-0.657812,-0.27097,-0.516225,0.365601,0.58496,0.221671,-0.394259,-0.816787,-0.420731,-0.705675,0.117071,-0.850087,-0.140925,-0.569425,-1.19197,-0.83929,-0.739866,0.851035,-0.393269,-0.634133,-1.51348,-0.750122,-0.914046,-0.511808,-1.04582,1.32574,0.0362543,0.0744759,-0.29839,0.111587,-1.66004,0.0462357,-0.39328,-0.144763,0.268341,0.0243983,0.68857,0.0019775,0.0551664,-0.955883,-0.324812,0.15511,-0.387581,-0.723315,-0.102441,0.514826,0.80941,-0.702679,0.56183,-0.650926,0.194585,1.075,0.770587,-0.4916,-0.306931,-0.880871,-0.203444,-0.31807,-0.479748,-0.907361,0.486326,-0.973646,-0.680661,-0.421576,-0.872507,0.428544,0.739601,0.536455,-0.24533,-0.366187,-0.683405,0.656563,0.237761,-0.0881607,0.432395,0.741138,0.391736,2.20288,0.770116,0.9607,0.95097,1.11356,-0.061905,-0.0779486,1.84828,-0.147867,0.000134159,0.363628,0.0945492,1.30909,-0.278423,-0.151033,0.411887,-1.00411,-0.498576,-0.964615,-0.752407,-0.281135,0.0873284,0.533208,-0.945369,1.33438,-0.788335,-0.0424753,0.20345
6969.88,0.998898,0.0108502,8,255,0,-6898.51,-0.122864,-0.419844,0.204374,-0.217354,-0.37849,-0.00714651,0.610339,0.275546,0.519962,0.738591,0.246799,0.720864,0.405312,0.982428,0.842282,0.81887,0.69167,1.06224,0.447886,0.734805,0.644191,0.592419,0.459485,0.730105,0.347606,0.339661,0.71613,0.510795,0.722308,0.494341,0.659023,0.364494,0.176797,0.399687,0.420429,0.578766,1.13434,0.281036,0.890448,0.191393,-0.13607,0.675395,0.0808889,-0.331531,-1.03239,0.348522,-0.434771,0.0615772,-0.834484,0.255275,-0.136163,-0.575845,-0.239765,-0.426801,0.363236,0.672114,0.280232,-0.367925,-0.790963,-0.392342,-0.639186,0.23754,-0.7414,0.0540214,-0.589106,-1.21045,-0.809337,-0.732385,0.881974,-0.338259,-0.529839,-1.48301,-0.701571,-0.798916,-0.535731,-1.05476,1.33007,0.0696829,0.163768,-0.161025,0.124584,-1.671,0.080107,-0.341846,-0.110758,0.286958,0.0914911,0.72356,-0.00271072,0.107659,-0.84195,-0.253868,0.204893,-0.359014,-0.680756,-0.049582,0.542212,0.808358,-0.614801,0.536277,-0.618018,0.156884,1.03388,0.841694,-0.437098,-0.266127,-0.829396,-0.176664,-0.217092,-0.408911,-0.815353,0.549055,-0.982632,-0.618111,-0.371614,-0.846168,0.484904,0.727499,0.585421,-0.259019,-0.333156,-0.637317,0.844172,0.203162,-0.11961,0.390571,0.696763,0.333141,2.17774,0.724264,0.927762,0.913633,1.06871,-0.116988,-0.137673,1.80584,-0.18695,-0.0442336,0.345683,0.0258857,1.27217,-0.308718,-0.196907,0.374827,-1.0379,-0.540566,-1.00054,-0.808426,-0.339548,0.0473941,0.493631,-0.990725,1.29319,-0.840595,-0.0827769,0.203065
6979.86,0.993428,0.0108502,7,127,0,-6910.94,-0.549372,-0.138197,0.312144,-0.320343,-0.388229,0.175931,0.399851,0.212641,0.405495,0.248358,0.741794,0.436817,0.333952,0.626285,0.322856,0.214855,0.413918,0.52675,0.0296123,0.36219,0.907494,0.238815,0.240441,0.370454,0.518056,0.130828,0.832281,0.208411,0.418417,0.44347,0.53135,0.405198,0.20064,0.415507,0.288792,0.300332,0.220367,0.526024,0.260257,0.391793,-0.176586,0.70251,0.124762,-0.286376,-0.952291,0.435849,-0.308655,0.0370587,-0.733476,0.287986,-0.118113,-0.526179,-0.202408,-0.400379,0.420757,0.669276,0.334073,-0.315403,-0.711246,-0.369795,-0.60377,0.229935,-0.777902,-0.0161259,-0.518528,-1.18402,-0.751223,-0.671372,0.930525,-0.291807,-0.499999,-1.43363,-0.634669,-0.832519,-0.453127,-0.987525,1.39428,0.126451,0.161004,-0.202335,0.161452,-1.55812,0.129674,-0.272244,-0.0660335,0.311935,0.144044,0.788555,0.122311,0.168796,-0.820401,-0.258609,0.227952,-0.293987,-0.671301,-0.0306961,0.618309,0.916648,-0.590243,0.650407,-0.544125,0.207205,1.14056,0.845412,-0.37073,-0.206667,-0.834128,-0.142162,-0.194219,-0.391114,-0.802621,0.542948,-0.929915,-0.54039,-0.339046,-0.781391,0.528902,0.790481,0.677863,-0.198586,-0.322793,-0.586827,0.704219,0.135146,-0.146811,0.335827,0.657979,0.291106,2.15985,0.725191,0.883529,0.882473,1.0111,-0.145221,-0.166826,1.76757,-0.232115,-0.0752652,0.271185,-0.0257267,1.26033,-0.334072,-0.233112,0.310051,-1.1058,-0.57855,-1.06849,-0.88224,-0.401112,-0.0086215,0.426557,-1.02609,1.24979,-0.878177,-0.107239,0.201422
6969.75,0.940732,0.0108502,8,255,0,-6895.91,-0.173056,-0.115104,0.159926,-0.474929,-0.189509,0.0616946,0.448555,0.281102,0.206991,0.635374,0.00500858,0.55057,0.215758,0.361292,0.475684,-0.056765,0.408001,0.557936,0.248269,0.229372,0.807212,0.226808,0.399813,0.525882,0.0299112,0.673966,-0.161054,0.505063,0.599003,-0.0874376,0.299308,0.687883,0.63051,0.88498,0.462843,0.739556,0.20013,0.837163,0.746696,0.542761,0.0309544,0.690656,0.110652,-0.226478,-0.98377,0.452552,-0.336525,0.114202,-0.715651,0.252398,-0.0858407,-0.481401,-0.173134,-0.386802,0.391901,0.690997,0.37363,-0.295577,-0.682548,-0.354619,-0.614473,0.270586,-0.69867,0.034548,-0.493256,-1.14285,-0.739605,-0.682337,1.00034,-0.294976,-0.519461,-1.41054,-0.615742,-0.771512,-0.449894,-0.957474,1.44648,0.160548,0.172987,-0.147022,0.2089,-1.53019,0.138288,-0.236874,-0.0565344,0.322909,0.129657,0.793691,0.109746,0.172532,-0.773492,-0.273233,0.237577,-0.293183,-0.653371,-0.0340242,0.616761,0.903837,-0.553032,0.671593,-0.535583,0.239032,1.14383,0.866171,-0.355222,-0.20596,-0.784287,-0.109147,-0.186915,-0.377552,-0.813113,0.602609,-0.894703,-0.559994,-0.331653,-0.777841,0.551511,0.799703,0.657647,-0.197313,-0.292801,-0.561814,0.568738,0.130167,-0.172343,0.31261,0.644637,0.267405,2.11381,0.697257,0.855491,0.841387,1.00714,-0.205925,-0.173088,1.76509,-0.256701,-0.0825062,0.274658,-0.0112449,1.23271,-0.357862,-0.26464,0.301853,-1.09213,-0.585441,-1.08001,-0.89538,-0.409088,0.0370981,0.418573,-1.04294,1.22373,-0.896815,-0.125541,0.200692
