# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_model
# start_datetime = 2022-02-28 16:27:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df4ad06ca6.json
# init = 2 (Default)
# random
#   seed = 712750551
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.0108694
# Diagonal elements of inverse mass matrix:
# 0.172609, 0.11395, 0.103694, 0.120908, 0.0227756, 0.0124995, 0.180126, 0.538555, 0.339516, 0.251323, 0.272209, 0.311169, 0.304596, 0.38923, 0.312391, 0.237474, 0.267408, 0.30869, 0.235116, 0.415173, 0.224659, 0.26372, 0.245535, 0.25701, 0.248767, 0.253605, 0.259054, 0.292438, 0.278715, 0.267607, 0.216968, 0.275543, 0.22797, 0.32547, 0.422907, 0.373435, 0.234405, 0.23149, 0.24736, 0.304953, 0.158306, 0.00751466, 0.162064, 0.163121, 0.163093, 0.162119, 0.16267, 0.162603, 0.163628, 0.161894, 0.162761, 0.162618, 0.163721, 0.16337, 0.16315, 0.162199, 0.163078, 0.163757, 0.163125, 0.16293, 0.162187, 0.163013, 0.162717, 0.162544, 0.162787, 0.163096, 0.163575, 0.162556, 0.163561, 0.162038, 0.162653, 0.163496, 0.163045, 0.16251, 0.16271, 0.163296, 0.162946, 0.162288, 0.162186, 0.162636, 0.163125, 0.162092, 0.161932, 0.162301, 0.16338, 0.16189, 0.163684, 0.163195, 0.163454, 0.161701, 0.163333, 0.161863, 0.16227, 0.163162, 0.161495, 0.162769, 0.162996, 0.161763, 0.162187, 0.162943, 0.161817, 0.163032, 0.163041, 0.162788, 0.162322, 0.163097, 0.162236, 0.163273, 0.162733, 0.162552, 0.162459, 0.162311, 0.16239, 0.163473, 0.163279, 0.16228, 0.162604, 0.162508, 0.163226, 0.162431, 0.162743, 0.161821, 1.38514, 0.162639, 0.162276, 0.162639, 0.162785, 0.162159, 0.162563, 0.162495, 0.162743, 0.162555, 0.162286, 0.162061, 0.16275, 0.163188, 0.162928, 0.162119, 0.163034, 0.161733, 0.162561, 0.1623, 0.162657, 0.162027, 0.162508, 0.162584, 0.162914, 0.16248, 0.16239, 0.1623, 0.162091, 0.16256, 0.162419, 0.162111, 0.162429, 7.83998e-05
7474.7,0.962038,0.0108694,9,511,0,-7396.98,0.934547,-0.0740181,0.137944,-0.146398,-0.570503,-0.0206771,-0.382615,0.689018,0.278464,-0.417088,0.231134,-1.15465,-1.42876,0.566506,-1.31755,-0.776886,-0.0619134,0.479503,-1.05849,0.700857,-1.22064,-0.511523,-0.528965,-0.803026,-0.815205,-1.5504,-1.06708,-0.61533,-0.554546,-0.438065,-1.34865,-1.92503,-1.12919,-0.640996,0.857909,0.304443,-0.645468,-0.37079,-0.69114,0.171024,-0.249064,0.558742,-0.0643402,-0.415919,-1.03819,0.184638,-0.48434,-0.120504,-0.834823,0.0507544,-0.25902,-0.674769,-0.285139,-0.510628,0.214685,0.434523,0.1015,-0.439504,-0.805575,-0.494118,-0.741814,0.0789333,-0.842137,-0.179266,-0.64675,-1.23288,-0.871982,-0.751181,0.608829,-0.443378,-0.637561,-1.49964,-0.742008,-0.921209,-0.592554,-1.05635,1.03844,-0.050472,-0.0114317,-0.349274,0.00276369,-1.65455,-0.0465522,-0.448167,-0.189248,0.0970826,-0.0136353,0.534321,-0.100418,-0.0435028,-0.920734,-0.427023,0.0682579,-0.424515,-0.707974,-0.115424,0.340221,0.596003,-0.676553,0.380596,-0.673982,0.0574624,0.857109,0.626216,-0.525675,-0.393871,-0.905123,-0.30232,-0.365469,-0.427482,-0.887584,0.342106,-1.03101,-0.679103,-0.444733,-0.905805,0.268753,0.571527,0.391971,-0.330739,-0.434708,-0.668794,0.0616947,1.8528,0.74658,1.26686,-0.328832,0.42233,1.75774,-0.0550642,1.01708,1.43671,1.32072,0.362199,1.9749,-0.0476471,0.233327,0.235323,-0.0764706,-0.647285,0.26085,-0.161097,0.785461,0.261095,0.0462228,-0.805461,-1.12843,-1.05455,-1.00115,0.928792,0.953663,-0.365104,0.125526,-0.0683389,-0.33652,0.189645
7450.76,0.814129,0.0108694,9,511,0,-7375.33,0.0824274,-0.290081,-0.692033,-0.657043,-0.326538,-0.0462874,0.115335,0.667703,0.966694,0.192805,0.455486,-0.703412,-0.720158,0.940708,-0.674219,0.00986875,0.503735,0.824,-0.359552,1.25119,-0.125253,0.503588,0.1107,0.0270264,-0.282534,-0.234809,-0.142212,0.43676,0.334367,0.432619,-0.640516,-1.46803,-0.755065,-0.397025,1.07576,0.824539,-0.335698,0.156179,0.188446,0.434964,0.482253,0.532559,0.714803,0.381256,-0.252697,0.982253,0.339205,0.697059,-0.0487579,0.90113,0.520374,0.117768,0.44907,0.303334,0.984076,1.21895,0.892777,0.385323,0.00869507,0.317242,0.036984,0.875853,0.000934923,0.63933,0.207149,-0.418966,-0.0356151,0.0815188,1.46167,0.347788,0.16993,-0.73373,0.0240524,-0.125814,0.233198,-0.233223,1.88812,0.759293,0.772855,0.501994,0.779221,-0.868415,0.727126,0.402227,0.581074,0.935547,0.774602,1.33459,0.69867,0.793994,-0.143578,0.378212,0.892887,0.369969,0.0795649,0.647684,1.14211,1.41223,0.141464,1.1647,0.150888,0.840305,1.68708,1.44657,0.208515,0.394093,-0.112401,0.492683,0.420027,0.341598,-0.11511,1.11371,-0.21329,0.0878594,0.349277,-0.0638846,1.08309,1.35656,1.20699,0.452036,0.402363,0.10004,0.113005,1.11491,-0.0705223,0.489904,-1.15714,-0.40339,0.948379,-0.837298,0.223162,0.648087,0.530186,-0.437528,1.15796,-0.865434,-0.511521,-0.571252,-0.911945,-1.4198,-0.550267,-0.956161,0.0167674,-0.549424,-0.761468,-1.58701,-1.9323,-1.84606,-1.81839,0.135173,0.1438,-1.13684,-0.686156,-0.905481,-1.11646,0.190891
7451.8,0.846332,0.0108694,8,255,0,-7372.86,-0.293495,1.03303,0.324663,0.381361,-0.174223,0.0697377,-0.702726,0.455943,0.0572567,-1.0105,-0.20256,-1.76646,-1.16748,0.419607,-1.78238,-0.591945,-0.137698,0.0303567,-1.0615,0.325975,-0.627279,-0.4174,-0.353605,-0.880298,-0.887574,-0.663729,-0.922185,-0.0386329,-0.385978,-0.528004,-0.970263,-1.65511,-1.28173,-1.54818,0.460772,0.304035,-1.30496,-0.366881,-0.767312,-0.856908,0.125135,0.5176,0.419705,0.0979635,-0.582943,0.700331,0.00127534,0.356562,-0.364617,0.529653,0.246312,-0.182118,0.15634,-0.00520583,0.667052,0.89473,0.663569,0.0432849,-0.305186,0.00454474,-0.249233,0.582284,-0.339027,0.353146,-0.126372,-0.731125,-0.363329,-0.231151,1.13563,0.032957,-0.19085,-1.0245,-0.278762,-0.390475,-0.0905398,-0.604208,1.51748,0.434744,0.494313,0.134834,0.481184,-1.13424,0.455985,0.05171,0.28856,0.561954,0.453598,1.05174,0.370007,0.479998,-0.439962,0.0923254,0.534858,0.0243793,-0.21152,0.317414,0.860493,1.07157,-0.199151,0.846977,-0.219429,0.53718,1.30599,1.17211,-0.0208031,0.0970153,-0.403891,0.197064,0.107367,0.0255035,-0.423201,0.802682,-0.506265,-0.161565,0.0350922,-0.386952,0.791655,1.0212,0.876005,0.165852,0.0944426,-0.196405,0.129907,1.37955,0.266709,0.799095,-0.837572,-0.106289,1.24985,-0.515454,0.529692,0.93688,0.84334,-0.142537,1.47536,-0.55923,-0.224375,-0.254787,-0.599425,-1.12596,-0.231819,-0.65455,0.310903,-0.258911,-0.455222,-1.27812,-1.61669,-1.56155,-1.48779,0.466569,0.461567,-0.860504,-0.382941,-0.587555,-0.808918,0.189506
7446.54,0.950477,0.0108694,9,1023,0,-7360.54,0.444912,0.773568,-0.0110717,-0.0807014,-0.179465,0.0954198,-0.826937,0.628282,-0.256375,-1.16386,-0.659227,-2.01258,-1.99506,0.0533417,-1.77623,-0.857598,-0.510744,-0.387278,-1.52529,-0.147406,-1.17925,-0.792032,-0.866203,-1.14293,-1.39765,-1.05039,-1.31342,-0.358876,-0.773045,-1.05923,-1.6597,-1.85048,-1.68333,-1.71733,0.173387,-0.15158,-1.11589,-0.802264,-1.02158,-0.943288,0.12236,0.541763,0.322699,0.0236145,-0.619711,0.592801,-0.0476391,0.335142,-0.440722,0.485698,0.196835,-0.248911,0.0582724,-0.143268,0.581152,0.822402,0.474393,-0.0119886,-0.411678,-0.0530874,-0.335854,0.483768,-0.414943,0.28963,-0.245165,-0.76963,-0.474082,-0.309374,1.05199,-0.033003,-0.205675,-1.09456,-0.342815,-0.486627,-0.155882,-0.613842,1.45172,0.352653,0.352664,0.110803,0.414299,-1.25309,0.36794,0.0460324,0.230057,0.558772,0.406867,0.944965,0.319673,0.361957,-0.532694,0.00650911,0.500557,-0.0264831,-0.365251,0.285676,0.763716,1.03649,-0.242062,0.81286,-0.244642,0.45142,1.30347,1.00002,-0.157454,0.0442053,-0.485436,0.107067,0.0270484,-0.0240304,-0.485741,0.754533,-0.635189,-0.315975,-0.0049867,-0.485163,0.687275,0.978275,0.796208,0.0902141,-0.0166796,-0.269991,0.142262,1.45554,0.346843,0.877669,-0.739891,-0.0114994,1.32128,-0.439975,0.586992,1.03987,0.938243,-0.0731794,1.56572,-0.487569,-0.156821,-0.176673,-0.513008,-1.06151,-0.141362,-0.586213,0.388536,-0.160291,-0.392052,-1.19097,-1.553,-1.47221,-1.41487,0.532423,0.530538,-0.776419,-0.308625,-0.515919,-0.730591,0.190758
7433.01,0.961886,0.0108694,8,319,0,-7371.76,-0.391107,0.731485,-0.0146972,-0.206381,-0.251676,0.0994431,-0.00330933,0.503089,0.331192,-0.323924,0.224811,-1.07269,-1.30408,0.820618,-1.1948,-0.114749,0.375136,0.618249,-0.865613,0.412042,-0.217997,0.116896,0.209959,-0.120648,-0.381911,0.00197945,-0.2898,0.513567,0.166913,-0.0120007,-0.519769,-0.820962,-0.636109,-0.819383,1.05428,0.910731,-0.309138,0.15255,-0.178835,-0.0662232,0.148742,0.572181,0.331435,-0.00326935,-0.69364,0.592511,-0.0961595,0.268299,-0.463446,0.449608,0.113619,-0.286541,0.0730117,-0.0856221,0.555222,0.766433,0.536518,-0.0630252,-0.386256,-0.109451,-0.369255,0.454901,-0.470905,0.265613,-0.258362,-0.858874,-0.494715,-0.355884,1.05264,-0.0622029,-0.262457,-1.11573,-0.367489,-0.502544,-0.190575,-0.709756,1.39382,0.338313,0.395303,0.0561504,0.374617,-1.25753,0.340315,-0.0683788,0.201383,0.505776,0.335059,0.966349,0.259272,0.374721,-0.575539,-0.0533457,0.387659,-0.0615948,-0.286198,0.226919,0.768998,0.948704,-0.269284,0.744604,-0.285881,0.418434,1.21352,1.05522,-0.143357,0.0144098,-0.499917,0.120106,0.00787638,-0.0915795,-0.502448,0.687885,-0.620773,-0.279449,-0.155343,-0.477045,0.672256,0.922786,0.78674,0.00961972,0.0194138,-0.304434,0.117745,1.47228,0.38753,0.885561,-0.714545,0.0344762,1.35695,-0.408144,0.63603,1.05206,0.9317,0.00473984,1.58742,-0.438541,-0.113821,-0.15877,-0.487964,-1.04906,-0.119551,-0.543069,0.441628,-0.164997,-0.325039,-1.17194,-1.4873,-1.43997,-1.39059,0.569525,0.56278,-0.746513,-0.267282,-0.485476,-0.694837,0.190125
7472.48,0.987204,0.0108694,9,511,0,-7398.98,0.249532,0.266216,-0.344033,-0.86534,-0.296237,0.0883705,-0.26637,0.632023,0.0468793,-0.703653,-0.0806707,-1.57126,-1.52284,0.40059,-1.54692,-0.594211,0.109835,0.33421,-0.877185,0.249695,-0.589231,-0.234158,-0.0765649,-0.457094,-0.834687,-0.41376,-0.595813,-0.0357592,-0.433809,-0.279687,-0.716699,-0.979954,-0.666196,-0.659001,0.975086,0.662498,-0.170786,0.169214,-0.225837,0.0120308,0.278297,0.615044,0.41716,0.14202,-0.518803,0.708783,0.0497827,0.401539,-0.354835,0.551822,0.230376,-0.146644,0.18125,0.00288383,0.718499,0.9289,0.601223,0.0687581,-0.291846,0.0195585,-0.219229,0.580969,-0.300889,0.39236,-0.144305,-0.686881,-0.352631,-0.205654,1.15039,0.0758375,-0.111352,-1.0139,-0.23334,-0.380754,-0.0783978,-0.53511,1.57503,0.452392,0.525439,0.199456,0.533361,-1.16052,0.467394,0.0851054,0.328985,0.623358,0.497744,1.05935,0.429738,0.477235,-0.434514,0.11876,0.555588,0.0789741,-0.220926,0.381276,0.880414,1.11885,-0.172052,0.9126,-0.159486,0.528966,1.3872,1.14995,-0.0363485,0.156836,-0.363943,0.231525,0.14322,0.0434556,-0.40714,0.828129,-0.493617,-0.172678,0.0691715,-0.380791,0.809838,1.06356,0.910597,0.174029,0.0895107,-0.145553,0.121873,1.35111,0.2303,0.775906,-0.861519,-0.104401,1.23857,-0.564726,0.508843,0.946793,0.815287,-0.181596,1.42621,-0.574885,-0.252213,-0.28501,-0.615061,-1.14111,-0.274674,-0.689839,0.273994,-0.234568,-0.470201,-1.32191,-1.63229,-1.55276,-1.5131,0.396688,0.431189,-0.858158,-0.398284,-0.622174,-0.845561,0.188961
