# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_re_model
# start_datetime = 2022-03-09 15:54:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc150d3088.json
# init = 2 (Default)
# random
#   seed = 1750050239
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,s_HJ,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00448148
# Diagonal elements of inverse mass matrix:
# 0.174131, 0.132317, 0.0936473, 0.0939228, 0.0303716, 0.00926545, 0.210269, 0.0194666, 0.322383, 0.267631, 0.294636, 0.290286, 0.283243, 0.31745, 0.308837, 0.312716, 0.281676, 0.280738, 0.272511, 0.312666, 0.276341, 0.275543, 0.358982, 0.301824, 0.271129, 0.284102, 0.270291, 0.307404, 0.274869, 0.290156, 0.241241, 0.309651, 0.225593, 0.232922, 0.313571, 0.327209, 0.279314, 0.257407, 0.250002, 0.233051, 0.16714, 0.00570606, 0.175933, 0.176364, 0.175711, 0.175057, 0.17607, 0.176154, 0.176231, 0.175483, 0.175105, 0.175421, 0.174649, 0.176243, 0.175837, 0.175418, 0.17615, 0.175962, 0.175354, 0.175368, 0.176673, 0.175834, 0.176051, 0.175771, 0.176311, 0.175632, 0.176052, 0.176117, 0.175219, 0.175924, 0.175326, 0.175624, 0.175226, 0.176434, 0.175728, 0.17602, 0.176169, 0.176487, 0.176006, 0.174378, 0.175346, 0.175559, 0.176239, 0.175059, 0.176277, 0.176108, 0.175694, 0.175508, 0.175087, 0.175181, 0.176196, 0.176439, 0.176361, 0.175161, 0.176528, 0.175493, 0.175011, 0.175725, 0.176197, 0.175596, 0.175528, 0.176012, 0.175613, 0.175446, 0.175796, 0.175898, 0.175299, 0.175689, 0.174725, 0.176258, 0.176142, 0.176214, 0.176459, 0.175512, 0.175793, 0.175236, 0.175772, 0.176356, 0.175979, 0.175068, 0.175703, 0.175261, 0.169239, 0.0871576, 0.169586, 0.169018, 0.169219, 0.169029, 0.169062, 0.169343, 0.169133, 0.169103, 0.169044, 0.168936, 7.88746e-05
7003.18,0.99762,0.00448148,7,191,0,-6929.4,0.425208,0.547616,0.209965,0.0746657,-0.210626,0.0141676,-0.196494,0.595426,-0.725063,-0.866503,-0.166111,-0.0356604,-0.165816,1.46517,0.31413,-0.0135226,0.276124,0.355199,-0.677681,-0.589905,1.63132,-0.254005,0.15501,0.462998,-0.102653,1.03866,-0.377931,-0.411708,0.265773,-1.00994,-0.626782,-0.60023,-0.688513,-0.291547,0.207924,0.709309,-0.668096,1.34377,-0.592706,-0.0921464,-0.0451778,0.551659,0.353808,0.0246026,-0.749169,0.684251,-0.110876,0.348014,-0.501329,0.547404,0.139825,-0.302394,0.0517335,-0.158889,0.642824,0.935492,0.557796,-0.075588,-0.464134,-0.120015,-0.333304,0.523691,-0.512227,0.26628,-0.313002,-0.933125,-0.513023,-0.433928,1.12425,-0.053102,-0.26435,-1.24581,-0.377055,-0.592743,-0.243983,-0.760697,1.63241,0.363524,0.398858,0.0890619,0.391347,-1.33217,0.346309,-0.0437288,0.205423,0.611653,0.357278,1.0162,0.33986,0.359373,-0.598403,0.0052859,0.495863,-0.0513262,-0.38474,0.202058,0.83847,1.11085,-0.363983,0.840879,-0.347783,0.482514,1.34474,1.12499,-0.133923,-0.0207991,-0.530721,0.113046,0.0116907,-0.128072,-0.558035,0.798736,-0.701797,-0.358192,-0.13277,-0.512908,0.771828,1.05983,0.882524,0.013995,-0.0262211,-0.406429,-0.795264,0.0310917,-0.821396,-0.800696,-0.79258,-0.814399,-0.801075,-0.8202,-0.774751,-0.833422,-0.811174,-0.783821,0.201904,0.728446,0.409794,0.90124,1.23804,0.856037,2.73548,1.30465,1.45156,1.44645,1.55127,0.404241,0.400214,2.32111,0.34139,0.507134,0.864018,0.590131,1.78851,0.194715,0.335155,0.87833,-0.526102,0.00793358,-0.488973,-0.294074,0.148795,0.576216,1.01753,-0.456859,1.80087,-0.278493,0.44518
7001.28,0.974763,0.00448148,10,1023,0,-6946.4,0.162724,-0.822101,-0.464027,-0.506975,-0.333681,0.388277,0.197819,0.702122,-0.80636,-0.467643,-0.00919928,1.09385,0.764646,1.1236,1.59839,0.254738,0.385552,0.475711,0.223231,-0.38913,1.50096,-0.364221,-0.182213,0.835318,0.104425,0.855137,-0.0785585,-1.00156,0.180779,-1.05358,-0.546555,-0.212819,-0.473551,0.285158,-0.663926,-0.143525,-0.713877,0.75463,-0.739931,-0.330818,-0.0385855,0.574382,0.30414,-0.09694,-0.800003,0.626912,-0.18043,0.265521,-0.543741,0.500269,0.12,-0.368074,-0.0129984,-0.194433,0.640563,0.890749,0.52749,-0.0833137,-0.527087,-0.176106,-0.360581,0.462895,-0.506618,0.255863,-0.266483,-0.918807,-0.57048,-0.478741,1.16395,-0.113477,-0.304252,-1.2177,-0.471673,-0.529906,-0.242072,-0.784576,1.58123,0.332854,0.382434,0.10567,0.382039,-1.39461,0.33671,-0.0704121,0.116612,0.564166,0.352258,0.97915,0.29442,0.372567,-0.590526,-0.0377402,0.514714,-0.106716,-0.4265,0.186841,0.803516,1.09536,-0.390244,0.812215,-0.402772,0.428508,1.33489,1.0597,-0.210353,-0.00867365,-0.590756,0.0966665,-0.00967887,-0.161437,-0.563171,0.802781,-0.70329,-0.331584,-0.137875,-0.587206,0.706144,1.05995,0.873386,0.0324493,-0.0989139,-0.400483,-0.445745,0.0117776,-0.46004,-0.461703,-0.46441,-0.459511,-0.454414,-0.457202,-0.416691,-0.476442,-0.434347,-0.426293,0.204607,0.393277,0.0854167,0.578673,0.911142,0.548775,2.39883,0.967051,1.10688,1.13656,1.26751,0.102523,0.076389,2.01785,0.00312053,0.165563,0.528892,0.260222,1.46718,-0.113088,-0.0284233,0.575311,-0.862972,-0.311352,-0.806898,-0.619002,-0.153407,0.246696,0.671934,-0.783731,1.44011,-0.646647,0.11593
7010.44,0.992289,0.00448148,6,127,0,-6932.49,0.257908,-0.910658,-0.513201,-0.547871,-0.341021,0.330545,0.177991,0.703006,-0.694074,-0.381092,0.151184,1.03939,0.774921,1.32002,1.54746,0.326008,0.4816,0.620653,0.204546,-0.261277,1.54126,-0.30477,-0.0658464,0.8355,0.0916447,0.927223,-0.0498981,-0.839396,0.195593,-0.980098,-0.586619,-0.228607,-0.49498,0.215149,-0.483201,0.0338969,-0.673689,0.896501,-0.684372,-0.282664,0.107054,0.582137,0.328648,-0.0677509,-0.783869,0.613371,-0.137135,0.274406,-0.53732,0.530048,0.116315,-0.324327,0.00300198,-0.216054,0.641013,0.902435,0.526676,-0.0623752,-0.504813,-0.187312,-0.384489,0.4955,-0.510784,0.279154,-0.266293,-0.932681,-0.529846,-0.454052,1.1742,-0.0911874,-0.28426,-1.19419,-0.445377,-0.53168,-0.212225,-0.779158,1.59075,0.357666,0.394225,0.064944,0.408538,-1.40048,0.387326,-0.0340119,0.163027,0.557809,0.337078,0.992468,0.308812,0.387065,-0.545052,-0.0365579,0.4733,-0.111502,-0.439727,0.178042,0.807167,1.11315,-0.386212,0.816998,-0.358782,0.459805,1.32868,1.06622,-0.187892,0.0136166,-0.581265,0.111877,0.000194172,-0.161427,-0.535933,0.779524,-0.675705,-0.344518,-0.136205,-0.597844,0.722003,1.0529,0.891219,0.0446838,-0.0739673,-0.366555,-0.441844,0.0127753,-0.461283,-0.449452,-0.43439,-0.450893,-0.435998,-0.460358,-0.420835,-0.471437,-0.448475,-0.420028,0.204782,0.354262,0.0727172,0.574299,0.87379,0.509159,2.37935,0.92337,1.08548,1.07144,1.25218,0.0360411,0.0367937,1.98961,-0.00925574,0.143399,0.5087,0.237234,1.47283,-0.0988225,0.00896377,0.518895,-0.865203,-0.350655,-0.840166,-0.648042,-0.171202,0.24422,0.664061,-0.815765,1.4601,-0.659722,0.103225
7012.07,0.717139,0.00448148,6,127,0,-6932.94,0.182587,-0.567148,-0.288116,-0.579425,-0.312467,0.255466,0.198807,0.748545,-0.714623,-0.505155,0.0403174,0.804347,0.547315,1.34832,1.25378,0.256448,0.445693,0.557233,-0.0115007,-0.328161,1.51723,-0.366317,-0.0629468,0.688956,-0.0120576,0.864227,-0.197293,-0.801982,0.16535,-1.02822,-0.409215,-0.128864,-0.403785,0.268391,-0.147991,0.373991,-0.49508,1.19587,-0.489667,-0.0711304,0.160803,0.591896,0.436799,0.0701239,-0.67747,0.746542,-0.06273,0.414898,-0.44209,0.601598,0.230412,-0.222394,0.116289,-0.0696678,0.729451,1.01141,0.66795,-0.0308815,-0.378179,0.000835831,-0.280241,0.528974,-0.413034,0.316979,-0.251074,-0.838667,-0.471294,-0.371683,1.22927,0.0350447,-0.203681,-1.15472,-0.344863,-0.530022,-0.158187,-0.646647,1.75857,0.430028,0.482426,0.14494,0.43649,-1.28136,0.399774,-0.0239192,0.249178,0.685627,0.450207,1.08797,0.368615,0.455839,-0.564271,0.072888,0.553588,0.0353375,-0.323476,0.334858,0.91659,1.20042,-0.24339,0.946456,-0.248947,0.506579,1.46976,1.19862,-0.0907152,0.0635474,-0.494083,0.149278,0.13161,-0.0573418,-0.494027,0.902584,-0.596072,-0.274691,0.00598682,-0.464916,0.846008,1.12524,0.932547,0.126797,0.0230777,-0.316327,-0.493771,0.0139735,-0.517833,-0.509879,-0.509713,-0.511177,-0.504644,-0.512988,-0.466778,-0.526926,-0.498291,-0.473191,0.200234,0.317265,0.029388,0.499334,0.866149,0.469938,2.34288,0.895479,1.07106,1.05748,1.20721,0.000235796,0.0162815,1.96163,-0.0619615,0.114961,0.470506,0.202328,1.39773,-0.161134,-0.0384724,0.495167,-0.889357,-0.371563,-0.867772,-0.722587,-0.216764,0.197762,0.63063,-0.851217,1.43893,-0.693038,0.0564911
6989.91,0.927063,0.00448148,6,63,0,-6909.95,0.0513776,-0.47884,-0.193957,-0.539739,-0.322338,0.274576,0.161923,0.747035,-0.763493,-0.537278,0.0234445,0.811624,0.564481,1.28798,1.29181,0.201096,0.411174,0.52856,0.00544169,-0.34581,1.50103,-0.373971,-0.0521712,0.715358,-0.0127117,0.838238,-0.186785,-0.845366,0.156227,-1.02347,-0.376687,-0.0316634,-0.310932,0.336419,-0.114807,0.392949,-0.431979,1.21788,-0.441525,-0.0342268,0.232183,0.595288,0.457475,0.0581116,-0.695357,0.701989,-0.0633361,0.458487,-0.40364,0.58766,0.240212,-0.230672,0.107606,-0.0617105,0.721033,0.98417,0.63744,-0.0118032,-0.432629,-0.0412553,-0.318637,0.566563,-0.446348,0.290204,-0.199775,-0.845822,-0.461901,-0.355155,1.27868,0.00499714,-0.242643,-1.15139,-0.354085,-0.469243,-0.157875,-0.709152,1.73792,0.417982,0.493709,0.166359,0.462139,-1.29592,0.40042,-0.0292803,0.210508,0.691812,0.456119,1.06435,0.427151,0.462382,-0.477979,0.0173701,0.554575,0.0393661,-0.293355,0.32697,0.887834,1.17836,-0.2901,0.951246,-0.264374,0.547268,1.45753,1.17339,-0.0276913,0.0892115,-0.494603,0.179821,0.0924808,-0.0180171,-0.463695,0.923872,-0.576816,-0.293953,0.0335254,-0.446816,0.848534,1.13501,0.961166,0.135673,-0.00943789,-0.275765,-0.488819,0.01501,-0.495092,-0.478113,-0.464451,-0.493201,-0.489594,-0.50806,-0.449104,-0.516236,-0.488145,-0.462266,0.200311,0.303356,0.00547607,0.499325,0.844624,0.464946,2.32736,0.891432,1.03277,1.04465,1.20143,-0.00216568,0.0118773,1.94782,-0.0716392,0.130758,0.467329,0.185769,1.37696,-0.172161,-0.0583359,0.484824,-0.891863,-0.405795,-0.861862,-0.707753,-0.24305,0.207037,0.622865,-0.856276,1.42274,-0.70823,0.0405167
6993.01,0.999901,0.00448148,6,63,0,-6928.06,0.0542543,-0.490531,-0.228091,-0.552033,-0.289697,0.284063,0.109103,0.765004,-0.713803,-0.509739,0.0159172,0.84951,0.577654,1.30919,1.30057,0.24693,0.43382,0.55325,0.0383735,-0.360704,1.52791,-0.353261,-0.0970774,0.679527,0.00955009,0.913698,-0.187029,-0.837031,0.152516,-1.06304,-0.340226,-0.102516,-0.296203,0.342796,-0.184097,0.332873,-0.479464,1.16795,-0.451984,-0.00212913,0.166459,0.593772,0.435502,0.0549032,-0.676015,0.778723,-0.0426637,0.361425,-0.442304,0.590292,0.191663,-0.200336,0.0999424,-0.108244,0.761183,1.01968,0.665014,-0.0061906,-0.391535,-0.0851865,-0.243549,0.570194,-0.400256,0.387741,-0.205084,-0.797413,-0.42924,-0.363757,1.25744,0.0367822,-0.168571,-1.06987,-0.333991,-0.495213,-0.0833068,-0.628149,1.69936,0.454604,0.434486,0.114369,0.474929,-1.28678,0.458578,0.0294678,0.242027,0.646442,0.479062,1.10894,0.40944,0.444443,-0.491587,0.0914433,0.538996,-0.0045212,-0.342223,0.278351,0.911698,1.21098,-0.221408,0.922217,-0.274584,0.526164,1.42147,1.19739,-0.140605,0.102865,-0.48116,0.192029,0.15554,-0.103738,-0.497714,0.882962,-0.594075,-0.258014,-0.028571,-0.520855,0.847804,1.13683,0.982612,0.117044,0.0626595,-0.262289,-0.495744,0.0154825,-0.516611,-0.49168,-0.489492,-0.510608,-0.487759,-0.518262,-0.473944,-0.528496,-0.491282,-0.478615,0.200047,0.304789,0.000537043,0.503384,0.827068,0.473389,2.34038,0.888638,1.01687,1.06292,1.21776,0.016728,0.0205369,1.95834,-0.0526572,0.133506,0.44821,0.179528,1.42675,-0.18229,-0.0635195,0.476725,-0.915871,-0.387965,-0.870226,-0.67442,-0.236865,0.195453,0.629803,-0.845082,1.40507,-0.675969,0.0807584
