# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim2_re_model
# start_datetime = 2022-03-09 15:54:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc150d3088.json
# init = 2 (Default)
# random
#   seed = 1750050239
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2_re-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim2_re-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,s_HJ,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00358699
# Diagonal elements of inverse mass matrix:
# 0.268642, 0.0983762, 0.089303, 0.105079, 0.0242737, 0.00752973, 0.176189, 0.0151356, 0.229494, 0.198963, 0.212539, 0.243362, 0.218181, 0.219099, 0.243714, 0.236652, 0.201802, 0.200019, 0.210297, 0.229625, 0.204339, 0.207981, 0.283154, 0.242354, 0.210036, 0.207299, 0.212184, 0.215477, 0.206855, 0.224317, 0.250209, 0.285392, 0.230294, 0.256396, 0.252666, 0.264649, 0.253318, 0.222523, 0.23029, 0.220628, 0.206048, 0.00615591, 0.209675, 0.207899, 0.209739, 0.209486, 0.208825, 0.208959, 0.209483, 0.210019, 0.208996, 0.209138, 0.208607, 0.209207, 0.209892, 0.209176, 0.208935, 0.209491, 0.209779, 0.208352, 0.208867, 0.209112, 0.209284, 0.209499, 0.209714, 0.210106, 0.208906, 0.210505, 0.20867, 0.208504, 0.208803, 0.209339, 0.209336, 0.208715, 0.209606, 0.208963, 0.208122, 0.209038, 0.209729, 0.209643, 0.208596, 0.209231, 0.209197, 0.208383, 0.208525, 0.209125, 0.208388, 0.209144, 0.208679, 0.209299, 0.209401, 0.208784, 0.20784, 0.209067, 0.209669, 0.209095, 0.209357, 0.209917, 0.208942, 0.209575, 0.209093, 0.208988, 0.208435, 0.209343, 0.209275, 0.209615, 0.20919, 0.209403, 0.209589, 0.209234, 0.209772, 0.208211, 0.209092, 0.209165, 0.208367, 0.208455, 0.208961, 0.209539, 0.20821, 0.20992, 0.209186, 0.209145, 0.239242, 0.107863, 0.239141, 0.238909, 0.238973, 0.238984, 0.239049, 0.238768, 0.238676, 0.238732, 0.239259, 0.239165, 9.76296e-05
6995.66,0.998926,0.00358699,6,63,0,-6924.98,-0.610129,-0.0190887,0.484876,-0.616464,-0.378147,0.365825,-0.0562911,0.783254,-1.25187,-0.877827,-0.370626,0.604443,0.362363,0.743238,1.16967,-0.200311,-0.00130738,0.12014,-0.200266,-0.752093,0.992114,-0.850295,-0.611155,0.363532,-0.473552,0.336345,-0.598072,-1.4864,-0.364117,-1.52241,-0.080933,0.353394,0.0616158,0.7754,-0.0464777,0.48709,-0.135084,1.40412,-0.139943,0.190339,0.126086,0.560588,0.377772,0.0476914,-0.717747,0.694796,-0.058279,0.397676,-0.472693,0.597212,0.250571,-0.259726,0.0895909,-0.162823,0.698487,0.98927,0.60196,-0.012503,-0.440164,-0.0423155,-0.292634,0.533343,-0.386929,0.301371,-0.194816,-0.857665,-0.460688,-0.3848,1.24868,0.0350112,-0.210806,-1.13716,-0.334181,-0.4516,-0.115723,-0.676835,1.68694,0.421106,0.458044,0.121368,0.481059,-1.32035,0.406273,0.00876656,0.263067,0.643035,0.438094,1.06538,0.383986,0.431941,-0.49644,0.0853392,0.544404,0.0208205,-0.328037,0.334794,0.94848,1.16067,-0.236494,0.922046,-0.2718,0.515882,1.41939,1.12444,-0.104848,0.0564695,-0.49908,0.206431,0.0747317,-0.0692679,-0.505613,0.890882,-0.602767,-0.309677,-0.0276107,-0.495314,0.864122,1.1655,0.958237,0.133003,-0.0368951,-0.311044,-0.167262,0.0302801,-0.173489,-0.160039,-0.157924,-0.16758,-0.166348,-0.188588,-0.117174,-0.19027,-0.158979,-0.12761,0.205538,0.00307587,-0.281427,0.191032,0.515412,0.161559,2.00966,0.572228,0.73503,0.745228,0.912895,-0.293225,-0.329092,1.64569,-0.366187,-0.223413,0.158281,-0.154985,1.09777,-0.495195,-0.389964,0.150805,-1.23858,-0.725049,-1.23051,-1.01388,-0.558075,-0.147749,0.277974,-1.1991,1.12191,-1.01908,-0.288235
6993.16,0.996724,0.00358699,6,63,0,-6930.71,-0.565679,-0.0411443,0.510792,-0.612748,-0.370633,0.354152,-0.144945,0.7937,-1.22069,-0.878988,-0.32895,0.611355,0.349791,0.787164,1.15963,-0.182815,0.0035017,0.102063,-0.224989,-0.711464,0.95254,-0.862146,-0.600094,0.284968,-0.478089,0.290894,-0.626427,-1.47943,-0.373988,-1.56569,-0.0799384,0.361523,0.0453312,0.758791,-0.0309288,0.524233,-0.0978364,1.39664,-0.151979,0.213534,0.192516,0.559249,0.438365,0.0677015,-0.71713,0.720394,-0.0906965,0.376519,-0.461043,0.580214,0.187738,-0.243397,0.128534,-0.085446,0.713131,1.0309,0.652502,-0.0466442,-0.406584,-0.0859866,-0.304612,0.523311,-0.463248,0.344547,-0.23086,-0.832521,-0.494417,-0.386524,1.21086,0.00660974,-0.235758,-1.16538,-0.332875,-0.530122,-0.159125,-0.707856,1.74285,0.443446,0.482844,0.162348,0.479191,-1.30188,0.467551,-0.0362444,0.263645,0.609341,0.415131,1.05245,0.40154,0.431004,-0.577054,0.078324,0.558469,-0.0157783,-0.300729,0.265528,0.84162,1.1897,-0.306071,0.902223,-0.262198,0.526228,1.4118,1.19881,-0.0835496,0.0976705,-0.475256,0.150874,0.135551,-0.0533138,-0.447674,0.844314,-0.595416,-0.289037,0.0261976,-0.496167,0.820718,1.11327,0.900854,0.094189,0.0251718,-0.322287,-0.170884,0.0310869,-0.194488,-0.177677,-0.169327,-0.182451,-0.170522,-0.19824,-0.126523,-0.199502,-0.176441,-0.144867,0.205654,0.0060016,-0.293354,0.218229,0.533985,0.158464,2.0207,0.583948,0.735025,0.731884,0.875746,-0.310614,-0.300188,1.6522,-0.328587,-0.16539,0.147269,-0.102378,1.09626,-0.46212,-0.350115,0.189772,-1.22844,-0.691866,-1.17152,-0.989404,-0.524395,-0.124009,0.325451,-1.12573,1.13061,-0.998665,-0.240545
7003.97,0.857772,0.00358699,10,1279,0,-6908.33,0.158495,-0.484789,-0.202522,-0.69977,-0.402692,0.242943,-0.37749,0.817083,-1.53764,-1.28335,-0.594057,0.0023799,-0.100596,0.617394,0.557467,-0.595783,-0.24946,-0.154768,-0.681072,-0.941586,0.849241,-0.996504,-0.587807,0.146951,-0.714396,0.222011,-0.846757,-1.50988,-0.478657,-1.67117,-0.955899,-0.426677,-0.759961,-0.194394,-0.468263,0.0279228,-0.815728,0.779896,-0.851257,-0.52878,0.322618,0.56073,0.564542,0.150839,-0.568511,0.910177,0.113761,0.537218,-0.274862,0.74057,0.344224,-0.108976,0.282376,0.051174,0.910151,1.17028,0.792265,0.109047,-0.237892,0.0910184,-0.124123,0.708646,-0.280834,0.50734,-0.0860589,-0.67307,-0.34283,-0.213504,1.3953,0.145164,-0.0223827,-0.947972,-0.174863,-0.332298,-0.0251238,-0.482803,1.88044,0.616459,0.630508,0.289108,0.611653,-1.15734,0.577963,0.156298,0.359112,0.823762,0.612278,1.22908,0.544579,0.605365,-0.394266,0.276994,0.726127,0.131011,-0.198637,0.460487,1.04443,1.33774,-0.158504,1.07727,-0.10923,0.701488,1.60062,1.28716,0.0680743,0.230949,-0.371216,0.31047,0.248239,0.0451227,-0.346978,1.05371,-0.458838,-0.153211,0.0921822,-0.34327,0.990192,1.28248,1.07391,0.24741,0.17667,-0.125509,-0.0257675,0.0169064,-0.0290887,-0.016479,-0.0259492,-0.0353475,-0.0294528,-0.0418231,0.00236598,-0.0497482,-0.0289644,0.00567974,0.202277,-0.29735,-0.597726,-0.0920593,0.251334,-0.117297,1.72328,0.265011,0.450779,0.449415,0.593326,-0.582928,-0.587246,1.34134,-0.684871,-0.525422,-0.128893,-0.432423,0.82896,-0.794473,-0.692799,-0.134211,-1.57282,-1.02352,-1.49508,-1.28696,-0.849489,-0.397682,-0.0163403,-1.47713,0.804412,-1.31578,-0.566737
7000.32,0.728762,0.00358699,8,511,0,-6926.77,0.0632106,-0.0907519,-0.122385,-0.697881,-0.211612,0.24199,-0.37604,0.644003,-1.43973,-1.30785,-0.866091,-0.0267399,-0.407673,0.534012,0.268952,-0.484189,-0.431487,-0.288312,-0.945227,-1.2887,0.882429,-1.02848,-0.837021,-0.0677895,-0.677002,0.276164,-0.890456,-1.43022,-0.51252,-1.7557,-0.726022,-0.706804,-0.780732,-0.126281,-0.567622,-0.105618,-1.02856,0.789818,-0.955301,-0.415873,0.228835,0.564831,0.60033,0.216183,-0.52641,0.913138,0.107819,0.564128,-0.275147,0.780572,0.38106,-0.0101032,0.245704,0.0555131,0.853792,1.16778,0.794453,0.102801,-0.281229,0.115477,-0.119392,0.700388,-0.258374,0.495202,-0.0364581,-0.675278,-0.281854,-0.198796,1.3868,0.146121,-0.0829233,-0.970754,-0.190371,-0.327662,0.0493028,-0.525833,1.838,0.57854,0.628,0.311232,0.652967,-1.15217,0.606232,0.154705,0.438771,0.850263,0.599443,1.26433,0.550724,0.586842,-0.354086,0.190986,0.709637,0.200298,-0.163466,0.445854,1.03934,1.31755,-0.0860307,1.09971,-0.0802672,0.643758,1.56702,1.35538,0.0591233,0.247586,-0.308411,0.348148,0.277025,0.11924,-0.319683,1.06744,-0.392119,-0.105079,0.183422,-0.31229,0.992312,1.28788,1.09801,0.313846,0.189037,-0.182089,-0.0293149,0.0243254,-0.0374957,-0.0138296,-0.0253409,-0.0278868,-0.0339212,-0.0397408,-0.0109147,-0.0659888,-0.0305343,0.0118115,0.198619,-0.301068,-0.574986,-0.115395,0.248009,-0.1582,1.71637,0.259192,0.438346,0.422665,0.591705,-0.635404,-0.615603,1.33364,-0.672108,-0.497303,-0.134458,-0.450541,0.787722,-0.784695,-0.693915,-0.138905,-1.51141,-0.997463,-1.50415,-1.29357,-0.820763,-0.423468,-0.0218131,-1.4977,0.795441,-1.32099,-0.557404
7014.49,0.947645,0.00358699,6,63,0,-6959.25,0.0333406,-0.04089,-0.130642,-0.648376,-0.215296,0.235766,-0.480379,0.659658,-1.46576,-1.37195,-0.848893,-0.0711708,-0.408535,0.530411,0.267575,-0.50221,-0.412474,-0.293525,-0.948814,-1.2783,0.935791,-0.991483,-0.779301,-0.0391168,-0.640852,0.342163,-0.867877,-1.35978,-0.447045,-1.73932,-0.767951,-0.711927,-0.814437,-0.148472,-0.576389,-0.0868512,-1.00454,0.788189,-0.951916,-0.440421,0.218361,0.556234,0.604879,0.191402,-0.538694,0.901146,0.117872,0.552219,-0.287429,0.770923,0.356867,-0.0173226,0.230457,0.0338385,0.828284,1.16889,0.799333,0.119109,-0.300246,0.120552,-0.117519,0.731036,-0.260961,0.488277,-0.0179456,-0.666403,-0.309918,-0.199126,1.38906,0.153885,-0.0960075,-0.973912,-0.198392,-0.313921,0.0476561,-0.514493,1.85112,0.584614,0.611445,0.291626,0.650677,-1.16349,0.591168,0.170841,0.41307,0.837297,0.575933,1.24248,0.538949,0.575689,-0.348405,0.217768,0.709939,0.18409,-0.197181,0.434016,1.03553,1.32622,-0.100481,1.0865,-0.110466,0.67809,1.57755,1.3249,0.0501261,0.23256,-0.311332,0.333591,0.275664,0.110409,-0.329018,1.04545,-0.396454,-0.110314,0.151946,-0.325333,0.977057,1.29966,1.08156,0.303706,0.169601,-0.193806,-0.028215,0.0257869,-0.0345426,-0.0307165,-0.0304716,-0.0243665,-0.0160041,-0.0177958,0.0124965,-0.0514544,-0.00812061,0.0158107,0.198834,-0.318109,-0.626731,-0.0959664,0.228832,-0.144684,1.71208,0.278117,0.435985,0.445711,0.590975,-0.623562,-0.604314,1.33688,-0.686877,-0.502075,-0.154479,-0.457981,0.804657,-0.807807,-0.67906,-0.124895,-1.54875,-1.02387,-1.50291,-1.31596,-0.82436,-0.440786,-0.0126491,-1.47205,0.793285,-1.31416,-0.574604
7003.17,0.98396,0.00358699,6,63,0,-6940.1,-0.293532,0.390385,0.103521,-0.644543,0.0879571,0.223723,-0.399448,0.69884,-0.872468,-1.03279,-0.872516,0.244757,-0.474576,0.829137,0.17495,0.0705132,-0.290614,-0.122493,-0.894953,-1.38599,1.08116,-0.963058,-1.14775,-0.307907,-0.460382,0.553402,-0.869761,-1.16685,-0.449584,-1.88075,-0.277345,-0.969702,-0.676473,0.0864184,-0.486586,-0.0770816,-1.1334,1.02516,-0.954393,-0.0879225,0.40735,0.525418,0.6485,0.21447,-0.507624,0.946722,0.177476,0.603265,-0.250014,0.820239,0.404436,0.0367502,0.264335,0.0907705,0.880668,1.21533,0.853401,0.161196,-0.249668,0.156148,-0.0757159,0.76639,-0.21468,0.531544,0.0144089,-0.624747,-0.23778,-0.14889,1.44262,0.183279,-0.0582857,-0.942266,-0.138811,-0.269069,0.112325,-0.467704,1.89329,0.632334,0.665516,0.345143,0.676655,-1.11334,0.634391,0.232061,0.456781,0.860008,0.616536,1.28992,0.572678,0.625502,-0.299646,0.276972,0.750972,0.224743,-0.164251,0.476805,1.09483,1.37961,-0.0607258,1.14223,-0.0725684,0.714286,1.61365,1.37948,0.0893355,0.288846,-0.26079,0.376921,0.308203,0.152335,-0.291674,1.09056,-0.365647,-0.0494062,0.190809,-0.286074,1.02094,1.34711,1.12889,0.348146,0.219089,-0.127694,-0.0561784,0.0134843,-0.077039,-0.068946,-0.0592345,-0.0523087,-0.0489214,-0.0487135,-0.0201506,-0.0737274,-0.0534221,-0.0362215,0.200712,-0.287429,-0.603391,-0.126219,0.215962,-0.168558,1.72032,0.264412,0.421078,0.412681,0.570051,-0.61402,-0.60744,1.32762,-0.677179,-0.53064,-0.170497,-0.444811,0.774778,-0.804021,-0.714587,-0.170871,-1.54829,-1.04209,-1.51585,-1.34088,-0.826795,-0.451154,-0.0165653,-1.49166,0.793862,-1.35566,-0.582358
