# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_mod_model
# start_datetime = 2022-03-01 01:06:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df44f317eaa.json
# init = 2 (Default)
# random
#   seed = 1560600622
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3_mod-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3_mod-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_mod_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,re_k.11,re_k.12,re_k.13,re_k.14,re_k.15,re_k.16,re_k.17,re_k.18,re_k.19,re_k.20,re_k.21,re_k.22,re_k.23,re_k.24,re_k.25,re_k.26,re_k.27,re_k.28,re_k.29,re_k.30,re_k.31,re_k.32,re_k.33,re_k.34,re_k.35,re_k.36,re_k.37,re_k.38,re_k.39,re_k.40,re_k.41,re_k.42,re_k.43,re_k.44,re_k.45,re_k.46,re_k.47,re_k.48,re_k.49,re_k.50,re_k.51,re_k.52,re_k.53,re_k.54,re_k.55,re_k.56,re_k.57,re_k.58,re_k.59,re_k.60,re_k.61,re_k.62,re_k.63,re_k.64,re_k.65,re_k.66,re_k.67,re_k.68,re_k.69,re_k.70,re_k.71,re_k.72,re_k.73,re_k.74,re_k.75,re_k.76,re_k.77,re_k.78,re_k.79,re_k.80,s_HJ,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00326189
# Diagonal elements of inverse mass matrix:
# 0.195078, 0.13314, 0.107542, 0.116969, 0.0207186, 0.010126, 0.167489, 0.0188057, 0.23393, 0.20254, 0.183104, 0.184334, 0.244757, 0.204186, 0.203826, 0.21726, 0.197727, 0.192009, 0.188442, 0.248602, 0.194145, 0.203905, 0.188985, 0.201914, 0.210024, 0.237987, 0.204431, 0.207553, 0.20184, 0.206018, 0.196477, 0.229438, 0.222697, 0.256857, 0.194593, 0.228406, 0.211774, 0.199087, 0.225393, 0.269323, 0.187636, 0.00561616, 0.191986, 0.192026, 0.191958, 0.191856, 0.192547, 0.192415, 0.192145, 0.192122, 0.192511, 0.192494, 0.191825, 0.191917, 0.192397, 0.192386, 0.191824, 0.192031, 0.191892, 0.191462, 0.191966, 0.193093, 0.192422, 0.191862, 0.192011, 0.191686, 0.191516, 0.191575, 0.190945, 0.192063, 0.191541, 0.192277, 0.192644, 0.192219, 0.191563, 0.19116, 0.192335, 0.191466, 0.191672, 0.191707, 0.191545, 0.192029, 0.192253, 0.192044, 0.191835, 0.191829, 0.191794, 0.19162, 0.192077, 0.192077, 0.191116, 0.191621, 0.191717, 0.190974, 0.192547, 0.192261, 0.19216, 0.192587, 0.19177, 0.192511, 0.19205, 0.190807, 0.192277, 0.192536, 0.192521, 0.190985, 0.191511, 0.191446, 0.192016, 0.19188, 0.191279, 0.191427, 0.192334, 0.191255, 0.190931, 0.191683, 0.1921, 0.192092, 0.19153, 0.191525, 0.191468, 0.192343, 0.14061, 0.0694172, 0.14082, 0.140636, 0.140651, 0.140951, 0.140691, 0.140799, 0.141083, 0.140721, 0.140731, 0.141209, 0.141215, 0.140592, 0.140684, 0.141616, 0.141109, 0.141825, 0.141257, 0.140362, 0.141022, 0.141632, 0.141263, 0.141314, 0.14127, 0.141403, 0.142355, 0.141543, 0.140986, 0.140594, 0.140937, 0.14148, 0.140664, 0.141493, 0.140321, 0.140953, 0.142502, 0.140644, 0.141833, 0.140712, 0.140721, 0.14132, 0.140721, 0.141629, 0.141421, 0.141495, 0.141461, 0.140904, 0.140792, 0.141743, 0.14113, 0.142201, 0.140731, 0.140975, 0.140842, 0.140142, 0.141344, 0.140826, 0.142053, 0.141562, 0.141383, 0.141391, 0.140908, 0.141357, 0.140684, 0.140929, 0.140987, 0.14106, 0.14127, 0.141974, 0.141156, 0.141015, 0.141009, 0.141016, 0.14108, 0.141457, 0.140677, 0.141381, 0.141354, 0.141077, 0.140503, 0.141152, 8.18199e-05
7630.83,0.999087,0.00326189,7,127,0,-7530.62,0.604304,0.569722,0.422378,0.125094,-0.344109,0.0678416,-0.235608,0.530583,0.479771,-0.264043,0.326215,-1.18069,-1.02144,0.899369,-1.10964,-0.348378,0.225862,0.655112,-0.719406,0.74836,-0.771369,-0.342407,-0.187095,-0.606684,-0.732169,-0.764129,-0.77451,-0.0385525,-0.285954,-0.342472,-0.868172,-1.35601,-0.791385,-0.891697,0.985195,0.610809,-0.459083,-0.0802062,-0.377675,-0.0520323,-0.316059,0.524152,-0.171349,-0.509865,-1.19418,0.102758,-0.577352,-0.235753,-0.931432,0.0309897,-0.371424,-0.784292,-0.427272,-0.612577,0.0845364,0.303508,0.03211,-0.500413,-0.889622,-0.561725,-0.864502,-0.0251627,-0.941355,-0.30252,-0.75773,-1.32878,-1.00001,-0.826215,0.482905,-0.527135,-0.7251,-1.59733,-0.875468,-1.01352,-0.634808,-1.15641,0.92498,-0.178858,-0.114659,-0.441385,-0.0891926,-1.71428,-0.155612,-0.51425,-0.309828,-0.0402885,-0.160369,0.411115,-0.163593,-0.155131,-1.03029,-0.477511,-0.0679315,-0.586662,-0.823485,-0.196286,0.279139,0.508091,-0.798188,0.265603,-0.769636,-0.0611148,0.778779,0.572931,-0.657679,-0.476853,-0.976134,-0.385776,-0.49883,-0.594797,-0.997548,0.22896,-1.12569,-0.805141,-0.522466,-0.985426,0.184674,0.453073,0.285659,-0.439601,-0.486878,-0.780207,-0.405846,0.0373329,-0.457222,-0.444938,-0.418924,-0.428222,-0.43317,-0.456789,-0.40138,-0.47005,-0.424353,-0.422374,-0.467529,-0.470959,-0.389293,-0.445754,-0.355284,-0.381816,-0.379421,-0.452202,-0.358125,-0.408703,-0.346608,-0.515876,-0.430342,-0.381102,-0.367311,-0.410319,-0.459633,-0.342365,-0.365961,-0.459141,-0.35958,-0.393963,-0.415659,-0.399135,-0.363402,-0.434024,-0.39129,-0.443913,-0.384772,-0.419157,-0.452303,-0.424977,-0.373138,-0.404654,-0.367036,-0.388944,-0.398127,-0.442292,-0.449665,-0.37844,-0.319482,-0.43203,-0.392013,-0.293799,-0.446137,-0.332673,-0.335552,-0.365509,-0.476628,-0.376273,-0.43177,-0.356064,-0.367387,-0.413253,-0.431684,-0.391802,-0.442743,-0.362982,-0.353572,-0.371744,-0.438121,-0.433988,-0.371863,-0.388925,-0.402829,-0.384387,-0.374056,-0.442743,-0.405664,-0.409488,0.1909,2.40578,1.27876,1.81395,0.192086,0.968433,2.30252,0.497035,1.56088,1.98184,1.87063,0.921614,2.47397,0.479612,0.797587,0.740576,0.431123,-0.0855129,0.806187,0.391031,1.34016,0.802947,0.542055,-0.250557,-0.576314,-0.522628,-0.49208,1.4535,1.49184,0.16648,0.64357,0.465037,0.207077
7657.11,0.979847,0.00326189,9,639,0,-7525.43,0.899525,0.520908,0.0959472,-0.293349,-0.13581,0.0489821,-0.431223,0.610072,0.580771,-0.384741,0.156806,-1.36965,-0.908165,0.749949,-1.21133,-0.25178,0.254537,0.328879,-0.827461,0.743156,-0.701212,-0.362558,-0.259184,-0.640301,-0.982012,-0.503798,-0.769033,0.117466,-0.347212,-0.477007,-0.890969,-1.26775,-0.965889,-1.07304,0.891861,0.719323,-0.508951,-0.0527277,-0.301562,-0.324511,-0.425478,0.605154,-0.269515,-0.549528,-1.19693,0.00856243,-0.644499,-0.220856,-1.03279,-0.11773,-0.405185,-0.870087,-0.545027,-0.65356,-0.0175718,0.232069,-0.0553723,-0.612701,-0.981139,-0.670816,-0.916945,-0.0941436,-1.00231,-0.264402,-0.815229,-1.35608,-1.04986,-0.88726,0.465495,-0.630217,-0.823838,-1.70567,-0.934891,-1.02915,-0.765859,-1.24287,0.868908,-0.211386,-0.18038,-0.494798,-0.174458,-1.83433,-0.204932,-0.575517,-0.353497,-0.0182227,-0.193947,0.388547,-0.289246,-0.182636,-1.1272,-0.600915,-0.112615,-0.585211,-0.875068,-0.358853,0.18787,0.405153,-0.818466,0.243461,-0.857713,-0.122167,0.645699,0.442765,-0.675085,-0.546632,-1.06967,-0.45755,-0.515366,-0.651509,-1.09452,0.124383,-1.17725,-0.890287,-0.650417,-1.06994,0.123919,0.380808,0.243845,-0.50719,-0.577131,-0.883631,-0.34414,0.0333901,-0.348167,-0.323253,-0.309441,-0.328195,-0.317704,-0.329895,-0.29099,-0.364001,-0.324266,-0.309199,-0.353709,-0.331536,-0.344173,-0.421801,-0.322603,-0.33284,-0.35313,-0.298076,-0.283235,-0.333861,-0.322523,-0.361451,-0.37061,-0.366176,-0.326028,-0.363232,-0.324152,-0.345183,-0.304632,-0.335858,-0.330259,-0.328567,-0.379342,-0.345883,-0.35797,-0.316447,-0.310404,-0.304293,-0.333487,-0.364165,-0.330581,-0.404339,-0.406664,-0.353965,-0.318466,-0.300709,-0.362844,-0.288845,-0.326199,-0.37129,-0.350195,-0.324448,-0.360871,-0.39752,-0.3037,-0.336974,-0.419682,-0.301557,-0.344982,-0.367179,-0.265204,-0.37164,-0.369538,-0.34088,-0.348313,-0.345965,-0.340791,-0.317886,-0.350529,-0.373032,-0.347622,-0.282585,-0.348449,-0.336141,-0.304225,-0.338577,-0.271088,-0.314323,-0.427051,-0.32023,0.191667,2.36461,1.24786,1.74547,0.173635,0.900882,2.26081,0.44648,1.50324,1.94906,1.7879,0.821695,2.47011,0.427198,0.744256,0.719418,0.426182,-0.114319,0.750645,0.347863,1.29629,0.739437,0.528981,-0.306704,-0.641722,-0.541515,-0.508189,1.43941,1.45197,0.122865,0.595643,0.415956,0.184883
7664.17,0.999257,0.00326189,9,767,0,-7559.69,0.787214,0.534711,0.0281981,-0.399168,-0.181279,0.115188,-0.390115,0.625605,0.382398,-0.508023,0.120037,-1.44311,-1.10486,0.785027,-1.32961,-0.337152,0.155384,0.388253,-0.900259,0.505413,-0.657921,-0.366518,-0.128787,-0.669469,-0.858923,-0.50931,-0.802296,0.111871,-0.334853,-0.435441,-0.710203,-1.05733,-0.714678,-1.06634,1.01795,0.734928,-0.434627,0.0376005,-0.270015,-0.299993,-0.50882,0.588713,-0.218355,-0.510018,-1.1941,0.0265423,-0.607237,-0.241227,-1.00169,-0.111829,-0.356095,-0.828091,-0.491649,-0.624988,-0.00635163,0.221465,-0.0389892,-0.587022,-0.915109,-0.631985,-0.871132,-0.0459551,-1.03913,-0.276747,-0.807888,-1.33017,-1.02121,-0.851026,0.475766,-0.585116,-0.766368,-1.67514,-0.847566,-1.0188,-0.759188,-1.19499,0.888289,-0.186463,-0.17326,-0.452013,-0.146701,-1.77429,-0.194569,-0.587108,-0.316733,0.00232459,-0.165053,0.41379,-0.239471,-0.189747,-1.10323,-0.568066,-0.071963,-0.573308,-0.834322,-0.26307,0.204058,0.488449,-0.782377,0.240255,-0.823858,-0.0994424,0.67465,0.462883,-0.653952,-0.501263,-1.00219,-0.466935,-0.498607,-0.627494,-1.03104,0.149536,-1.12188,-0.84886,-0.602489,-1.06276,0.163428,0.417244,0.240603,-0.486579,-0.552999,-0.859692,-0.34307,0.0338133,-0.367558,-0.340014,-0.336622,-0.345116,-0.338967,-0.341363,-0.305793,-0.383422,-0.342685,-0.325315,-0.319724,-0.354223,-0.308062,-0.304546,-0.321829,-0.332994,-0.313868,-0.353739,-0.378834,-0.373112,-0.297512,-0.278671,-0.306529,-0.304369,-0.367877,-0.317046,-0.348111,-0.356252,-0.318998,-0.320812,-0.354298,-0.335519,-0.304208,-0.304404,-0.326212,-0.366543,-0.334818,-0.390231,-0.34286,-0.291061,-0.3563,-0.297352,-0.318386,-0.351158,-0.317807,-0.370349,-0.308302,-0.363982,-0.355984,-0.312064,-0.340163,-0.39016,-0.321114,-0.266103,-0.347297,-0.322697,-0.286992,-0.377538,-0.356968,-0.312849,-0.396574,-0.328825,-0.278358,-0.365288,-0.322543,-0.32478,-0.312391,-0.335941,-0.332355,-0.30291,-0.343666,-0.396575,-0.304796,-0.350775,-0.403338,-0.319743,-0.40705,-0.355919,-0.266467,-0.350143,0.192691,2.33882,1.24652,1.76613,0.142412,0.88521,2.22766,0.458586,1.531,1.94278,1.81149,0.82658,2.43571,0.434551,0.746935,0.713914,0.390151,-0.164263,0.75139,0.324616,1.27163,0.751684,0.54343,-0.301597,-0.642786,-0.569301,-0.534226,1.42735,1.4412,0.137065,0.581583,0.416072,0.158097
7667.16,0.97631,0.00326189,8,511,0,-7576.15,0.844894,0.440262,-0.083853,-0.373369,-0.17892,0.110475,-0.328751,0.630522,0.462732,-0.474619,0.174169,-1.39454,-1.05368,0.84861,-1.28764,-0.286817,0.19754,0.436896,-0.842421,0.559186,-0.573385,-0.28699,-0.056984,-0.583464,-0.804791,-0.466791,-0.718974,0.199916,-0.266379,-0.386829,-0.802881,-1.0976,-0.812434,-1.13233,0.920771,0.656254,-0.493605,-0.000822844,-0.350263,-0.357308,-0.325577,0.579609,-0.254084,-0.53918,-1.19803,0.0324447,-0.653041,-0.258977,-0.992337,-0.134948,-0.394555,-0.82853,-0.497343,-0.665143,0.053827,0.23722,-0.0300099,-0.559692,-0.915681,-0.616101,-0.857707,-0.0416737,-0.998954,-0.335034,-0.784314,-1.42374,-1.02141,-0.850376,0.519903,-0.588916,-0.80736,-1.6767,-0.914577,-1.06208,-0.762952,-1.20712,0.92635,-0.199538,-0.175485,-0.471181,-0.138435,-1.79194,-0.173712,-0.570059,-0.359712,-0.0389762,-0.20675,0.436101,-0.259613,-0.1861,-1.1103,-0.557618,-0.0730048,-0.631966,-0.90936,-0.268609,0.207769,0.45096,-0.841358,0.222781,-0.833108,-0.121552,0.687056,0.493168,-0.681997,-0.537905,-1.04021,-0.425617,-0.508542,-0.620725,-1.05824,0.185228,-1.19211,-0.859917,-0.605179,-1.04254,0.16491,0.396067,0.22163,-0.499325,-0.574756,-0.841919,-0.358831,0.0373309,-0.36139,-0.334929,-0.333146,-0.341838,-0.334467,-0.33608,-0.307048,-0.369096,-0.347166,-0.325187,-0.374363,-0.321238,-0.35046,-0.391372,-0.346111,-0.295698,-0.323061,-0.283869,-0.296549,-0.297989,-0.347225,-0.384133,-0.35081,-0.315988,-0.367511,-0.373031,-0.393085,-0.411257,-0.309641,-0.332125,-0.340837,-0.3826,-0.371898,-0.326064,-0.36756,-0.297645,-0.412697,-0.385101,-0.340226,-0.357418,-0.383457,-0.350659,-0.387237,-0.351468,-0.335721,-0.391839,-0.317147,-0.403736,-0.352108,-0.371634,-0.283505,-0.359564,-0.362897,-0.367146,-0.370323,-0.307051,-0.333175,-0.391433,-0.296157,-0.277279,-0.365579,-0.355522,-0.350723,-0.275103,-0.363291,-0.348104,-0.306328,-0.345877,-0.365139,-0.354209,-0.353355,-0.325037,-0.381004,-0.282904,-0.344105,-0.373632,-0.368283,-0.359562,-0.328966,-0.389,0.191724,2.36449,1.22789,1.77284,0.144356,0.881281,2.2529,0.448074,1.53103,1.93569,1.81883,0.835951,2.43194,0.454683,0.758572,0.727778,0.408965,-0.166143,0.727315,0.339871,1.2944,0.752617,0.525902,-0.314277,-0.599926,-0.580419,-0.531473,1.40694,1.43222,0.149535,0.618181,0.405783,0.170496
7655.96,0.969847,0.00326189,8,511,0,-7563.7,0.818663,0.534335,-0.221817,-0.473492,-0.159455,0.137329,-0.261486,0.69053,0.371043,-0.572937,0.0887148,-1.47454,-1.14536,0.791059,-1.40586,-0.353802,0.126264,0.346418,-0.935962,0.428864,-0.453393,-0.184674,0.0917359,-0.515823,-0.666867,-0.329351,-0.635508,0.325965,-0.162565,-0.309302,-0.67039,-0.97088,-0.697822,-1.11201,0.98461,0.725691,-0.449057,0.0566379,-0.293959,-0.342087,-0.353705,0.584114,-0.247796,-0.573886,-1.2204,0.0511079,-0.633,-0.290462,-1.01438,-0.107054,-0.404629,-0.854952,-0.492741,-0.664921,0.0183506,0.246402,-0.0851114,-0.583602,-0.970989,-0.638967,-0.946654,-0.114571,-0.998327,-0.279358,-0.822093,-1.33405,-1.0636,-0.88389,0.451262,-0.588107,-0.814175,-1.67264,-0.908516,-1.05089,-0.726938,-1.22931,0.85062,-0.251635,-0.209472,-0.502403,-0.205644,-1.84416,-0.181047,-0.567949,-0.35905,-0.0576563,-0.198535,0.372163,-0.242441,-0.214764,-1.07975,-0.572933,-0.117363,-0.596889,-0.882288,-0.299603,0.15985,0.424513,-0.847396,0.201404,-0.810876,-0.11646,0.697957,0.477856,-0.679845,-0.53307,-1.05822,-0.492554,-0.540073,-0.647859,-1.05999,0.153117,-1.15703,-0.845988,-0.597911,-1.04306,0.0947842,0.399142,0.251727,-0.494698,-0.541625,-0.856377,-0.320642,0.0415201,-0.355025,-0.359421,-0.333539,-0.330267,-0.342633,-0.34924,-0.309134,-0.382535,-0.332798,-0.299078,-0.27682,-0.301136,-0.291521,-0.325572,-0.302327,-0.232058,-0.285757,-0.367402,-0.275742,-0.417896,-0.399941,-0.381657,-0.307879,-0.241229,-0.340834,-0.316102,-0.332854,-0.372073,-0.357916,-0.296823,-0.297362,-0.369747,-0.338806,-0.350074,-0.360805,-0.29673,-0.399678,-0.316746,-0.340684,-0.349524,-0.33556,-0.342914,-0.288956,-0.333493,-0.349788,-0.330891,-0.318642,-0.335146,-0.26616,-0.440483,-0.345439,-0.322377,-0.348302,-0.343418,-0.349456,-0.337269,-0.3501,-0.27654,-0.29902,-0.366278,-0.295953,-0.2439,-0.37384,-0.318976,-0.313015,-0.332587,-0.278942,-0.311,-0.335874,-0.304119,-0.343497,-0.302815,-0.324166,-0.360337,-0.27898,-0.365554,-0.308718,-0.354505,-0.258872,-0.40438,0.190898,2.39017,1.26862,1.79887,0.18234,0.90337,2.25023,0.465296,1.55168,1.96071,1.82454,0.845218,2.46103,0.459173,0.782355,0.748593,0.403855,-0.140227,0.73119,0.343359,1.29772,0.780788,0.539347,-0.271125,-0.602403,-0.566104,-0.496082,1.42058,1.4588,0.165676,0.610988,0.421396,0.208728
7651.42,0.981484,0.00326189,7,127,0,-7531.38,0.858799,0.528931,-0.225409,-0.46187,-0.147976,0.132509,-0.238358,0.692744,0.354758,-0.620581,0.0331325,-1.53881,-1.16556,0.779421,-1.40601,-0.401917,0.0889829,0.321362,-0.940466,0.38805,-0.502181,-0.23986,0.0423851,-0.528602,-0.705434,-0.338335,-0.644014,0.325688,-0.221282,-0.330595,-0.782694,-1.02857,-0.772064,-1.19614,0.943486,0.681132,-0.511583,0.0227825,-0.341328,-0.42772,-0.541071,0.585644,-0.234451,-0.524687,-1.13862,0.0630928,-0.634021,-0.247225,-0.971939,-0.108491,-0.400818,-0.840482,-0.499096,-0.688592,0.0136343,0.278492,-0.0539013,-0.558058,-0.945528,-0.593462,-0.900307,-0.0469403,-0.987757,-0.268584,-0.78557,-1.38124,-1.01232,-0.896943,0.506229,-0.563251,-0.798031,-1.67756,-0.885917,-1.07516,-0.720617,-1.19257,0.878608,-0.198747,-0.12433,-0.483054,-0.192444,-1.80928,-0.164427,-0.564961,-0.331506,-0.0755903,-0.199418,0.421381,-0.218597,-0.169387,-1.06424,-0.540459,-0.0992827,-0.620977,-0.844871,-0.325686,0.174851,0.427305,-0.826975,0.212286,-0.787645,-0.126867,0.689023,0.491861,-0.674489,-0.545721,-1.04208,-0.396767,-0.546761,-0.6124,-1.06299,0.187397,-1.18478,-0.849517,-0.56995,-1.03386,0.155135,0.390604,0.254375,-0.529627,-0.526414,-0.834415,-0.362511,0.0408974,-0.37058,-0.357,-0.34113,-0.337635,-0.353901,-0.347253,-0.319873,-0.374319,-0.354163,-0.313403,-0.361412,-0.364106,-0.345651,-0.390678,-0.380475,-0.408824,-0.281409,-0.374304,-0.324362,-0.28763,-0.333138,-0.363668,-0.375367,-0.414038,-0.31866,-0.374204,-0.339618,-0.317382,-0.357773,-0.347371,-0.405285,-0.320438,-0.34182,-0.384371,-0.343854,-0.415185,-0.322243,-0.350492,-0.444751,-0.2728,-0.320154,-0.339142,-0.315689,-0.338114,-0.364643,-0.358614,-0.328582,-0.351292,-0.363173,-0.318391,-0.387862,-0.388946,-0.36971,-0.429067,-0.344861,-0.293421,-0.343679,-0.436103,-0.35391,-0.337906,-0.382852,-0.383621,-0.344424,-0.368732,-0.327463,-0.383917,-0.36928,-0.378131,-0.374933,-0.317388,-0.302552,-0.365879,-0.400002,-0.359251,-0.367412,-0.308882,-0.418515,-0.375835,-0.443495,-0.335653,0.189851,2.37587,1.23574,1.76244,0.141058,0.883017,2.26568,0.477772,1.50865,1.93364,1.83027,0.854754,2.42632,0.434334,0.752264,0.736533,0.41958,-0.132129,0.735503,0.359096,1.31713,0.748871,0.551671,-0.330501,-0.610012,-0.573224,-0.527687,1.43481,1.45327,0.150701,0.623964,0.414335,0.180314
