# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-03-09 16:33:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc4ba654d3.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00213458
# Diagonal elements of inverse mass matrix:
# 0.186237, 0.111966, 0.0972846, 0.111541, 0.0184528, 0.00974201, 0.160857, 0.0700129, 0.350733, 0.350843, 0.256151, 0.233427, 0.23969, 0.361533, 0.271677, 0.257883, 0.252038, 0.253069, 0.252548, 0.28936, 0.470146, 0.264301, 0.295165, 0.270786, 0.230819, 0.277853, 0.237963, 0.325182, 0.229392, 0.397936, 0.278441, 0.259026, 0.273545, 0.227406, 0.318665, 0.318631, 0.278464, 0.385385, 0.28289, 0.238032, 0.153539, 0.00631955, 0.156545, 0.159224, 0.157372, 0.159792, 0.161744, 0.15969, 0.158305, 0.160025, 0.159254, 0.158699, 0.158817, 0.158514, 0.157584, 0.161518, 0.160765, 0.160824, 0.158403, 0.159946, 0.158734, 0.158739, 0.159493, 0.160789, 0.160298, 0.159129, 0.160276, 0.1593, 0.159472, 0.157935, 0.159023, 0.159073, 0.160034, 0.157754, 0.159908, 0.161052, 0.158152, 0.158241, 0.159882, 0.161343, 0.15649, 0.158663, 0.15918, 0.159191, 0.16074, 0.158377, 0.157625, 0.158357, 0.157561, 0.160297, 0.160264, 0.158146, 0.159558, 0.159206, 0.159237, 0.158659, 0.160081, 0.158409, 0.160933, 0.156613, 0.161899, 0.161031, 0.15907, 0.159585, 0.158894, 0.158481, 0.159587, 0.157777, 0.158548, 0.157847, 0.159669, 0.15797, 0.159152, 0.160124, 0.157553, 0.159927, 0.157434, 0.157298, 0.158771, 0.159746, 0.158646, 0.158099, 0.209677, 1.4595, 1.43595, 1.36188, 1.59347, 1.43288, 1.48444, 1.53813, 1.53363, 1.45841, 1.56391, 1.39541, 1.51315, 1.49692, 1.44415, 1.36832, 1.77856, 1.42038, 1.47319, 1.62369, 1.84178, 1.47335, 1.61657, 1.67271, 1.55067, 1.42225, 1.40597, 1.43487, 1.57179, 1.32106, 1.3062, 1.42403, 1.39097, 0.158596, 0.156906, 0.156256, 0.156972, 0.158204, 0.15752, 0.158151, 0.15798, 0.156886, 0.158222, 0.158825, 0.15645, 0.157637, 0.157734, 0.157565, 0.157408, 0.158213, 0.158356, 0.15619, 0.158183, 0.157667, 0.156988, 0.157825, 0.157502, 0.158379, 0.15809, 0.157409, 0.157841, 0.158353, 0.156161, 0.157334, 0.158534, 8.40269e-05
1794.09,0.996065,0.00213458,10,1023,0,-1705.58,-0.561932,0.603852,0.635402,0.195271,-0.203808,0.113516,-0.123056,0.391941,-0.0906156,-0.18445,-0.488784,0.289176,-0.278021,-0.463644,0.533594,0.0173447,0.18732,0.441378,-0.463887,-0.571304,0.417805,-0.0517744,-0.278374,0.241757,-0.525661,0.305213,-0.540402,-0.371347,-0.187657,-1.08505,-0.40854,-0.23852,-0.36873,0.0183563,-0.445242,0.592932,-0.136753,0.507535,-0.750715,-0.00349496,-0.0715404,0.462674,0.142306,-0.171475,-0.707434,0.312274,-0.404244,0.0929191,-0.660872,0.169201,-0.111239,-0.472213,-0.0835987,-0.376171,0.294162,0.624846,0.297832,-0.284697,-0.705237,-0.285607,-0.432982,0.181797,-0.648618,0.0117845,-0.508256,-1.02931,-0.669245,-0.578833,0.888336,-0.339938,-0.445515,-1.29163,-0.559231,-0.813,-0.458519,-0.842373,1.22402,0.226846,0.162719,-0.271189,0.178505,-1.49108,0.184107,-0.303789,-0.0611871,0.20834,0.103229,0.795299,0.081831,0.139261,-0.705841,-0.179699,0.271859,-0.234623,-0.523097,-0.0223433,0.550111,0.874864,-0.560659,0.424302,-0.466523,0.182917,0.940175,0.740657,-0.328595,-0.26233,-0.717418,-0.189714,-0.20874,-0.272477,-0.630857,0.441142,-0.819125,-0.58567,-0.327838,-0.793957,0.460308,0.685237,0.742287,-0.0915292,-0.180357,-0.52641,4.05628,0.516071,0.483726,0.255373,0.015775,0.112092,1.4481,0.135877,0.397816,0.0983992,0.260168,0.00678149,0.00392151,0.465749,0.282737,0.268274,0.0403745,0.17288,0.137606,0.176594,0.265675,0.380486,0.101492,0.21137,0.0725377,0.0228322,0.0175992,0.251046,0.305751,0.133402,0.709393,0.168928,0.230788,0.151412,-0.377971,0.18355,0.640425,0.164964,1.94877,0.585672,0.822105,0.802396,0.822193,-0.219155,-0.208421,1.58589,-0.253037,-0.0317772,0.227368,0.0403416,1.09713,-0.194852,-0.261519,0.228259,-0.992536,-0.507077,-1.03054,-0.740361,-0.385756,0.0585389,0.520274,-0.906021,1.21517,-0.828797,0.0705641,0.460659
1807.15,0.980912,0.00213458,10,2047,0,-1706.67,-0.293365,0.0790292,0.133732,0.194321,-0.435596,0.212577,-0.126832,0.507526,-1.14218,-0.548459,-0.561556,-0.275965,0.117415,0.0797128,0.828826,-0.437763,0.0531585,-0.404918,-0.444519,-0.557618,0.438784,-0.366691,0.0984832,0.343728,-0.168661,0.885394,-0.114055,-0.8088,0.106759,-0.672813,-0.796513,-0.286735,-0.514045,-0.458292,-0.181314,0.577175,-0.403515,0.0368733,-0.267957,-0.261782,-0.175674,0.519255,0.067722,-0.223402,-0.880608,0.387905,-0.356236,0.0977876,-0.700339,0.233423,-0.16907,-0.414095,-0.131827,-0.420446,0.409977,0.554031,0.304587,-0.369986,-0.651823,-0.349148,-0.544724,0.178147,-0.650094,0.0678379,-0.413214,-1.01689,-0.626619,-0.533057,0.821573,-0.177772,-0.402967,-1.23495,-0.574697,-0.868112,-0.410821,-0.849508,1.22033,0.220217,0.1152,-0.264119,0.173284,-1.47733,0.152131,-0.202295,-0.170843,0.216035,0.11008,0.738186,0.129197,0.242213,-0.811977,-0.22708,0.308595,-0.174108,-0.527777,-0.0820977,0.506923,0.965819,-0.529412,0.403984,-0.576935,0.213121,0.966118,0.735623,-0.328355,-0.102316,-0.635258,-0.102624,-0.210343,-0.25486,-0.710807,0.554038,-0.78678,-0.452803,-0.312716,-0.690012,0.517082,0.721239,0.677056,-0.154583,-0.161295,-0.527783,3.64271,0.512723,0.258611,0.449031,0.424341,0.57055,0.678563,0.243124,0.0979283,0.189782,0.536863,0.00157116,0.0730953,0.663041,0.362177,0.121383,0.254926,0.0359867,0.128836,0.0739727,0.0800341,0.030053,0.403122,0.280995,0.0256127,0.313022,0.445537,0.353824,0.229527,0.199687,0.55144,0.457925,0.22509,0.129682,-0.33693,0.243628,0.529291,0.157879,1.89899,0.635105,0.837907,0.861892,0.780343,-0.24984,-0.170715,1.67348,-0.222436,-0.108371,0.256895,-0.0443162,1.16075,-0.181177,-0.14364,0.243191,-1.01658,-0.480558,-1.03265,-0.819564,-0.382476,0.0348063,0.556873,-0.946368,1.21721,-0.793955,0.0916715,0.45359
1783.96,0.996059,0.00213458,12,6143,0,-1686.67,0.223374,0.0112755,-0.0133017,-0.271465,-0.260096,0.108243,-0.385807,0.359391,-0.483165,0.159289,-0.41237,-0.696833,0.202536,-0.248959,-0.205675,-0.868382,-0.664999,-0.175321,-0.81171,-0.875486,-0.0167104,0.23472,-0.223989,0.107006,-0.393882,-0.0276012,-0.26197,-0.27193,-0.163126,-1.13883,-0.733004,0.116139,-0.131698,-0.634033,-0.168454,0.372292,-1.00641,0.486981,-0.741287,-0.521097,-0.130933,0.58806,0.181469,-0.142714,-0.759636,0.375974,-0.299317,0.159735,-0.570319,0.281996,-0.120472,-0.261988,-0.0968837,-0.373069,0.428944,0.781975,0.369216,-0.341411,-0.449485,-0.233299,-0.447843,0.231844,-0.574845,0.191419,-0.451192,-0.952088,-0.625199,-0.482132,0.887715,-0.166327,-0.386845,-1.15269,-0.526848,-0.72833,-0.305059,-0.921836,1.33648,0.231653,0.209074,-0.10405,0.299372,-1.39209,0.254394,-0.214922,-0.0486516,0.265276,0.171433,0.736482,0.198908,0.247505,-0.660906,-0.121289,0.372991,-0.162374,-0.487259,0.0693955,0.641646,0.976457,-0.446726,0.532988,-0.460717,0.347071,1.07001,0.805987,-0.328783,-0.0606687,-0.64504,-0.0532281,-0.0144936,-0.219776,-0.637975,0.488503,-0.800842,-0.423646,-0.229676,-0.634466,0.635431,0.787985,0.795172,0.0621217,-0.189718,-0.483612,1.97335,0.37651,1.24138,0.14857,0.383763,0.476346,1.03322,0.5156,0.453951,0.664465,0.394014,0.0131254,0.0982921,0.790062,0.664167,0.14828,0.0350355,0.0560496,0.852338,0.412783,0.366137,0.00423443,0.412222,0.350185,0.65669,0.341077,0.310504,0.0995986,0.188904,0.241957,0.27277,0.122561,1.28046,0.0658167,-0.418058,0.178132,0.453022,0.0708028,1.82068,0.52314,0.786615,0.766571,0.684502,-0.366152,-0.290708,1.57544,-0.278342,-0.111997,0.157309,-0.0294074,1.05294,-0.304873,-0.248536,0.195667,-1.10337,-0.578326,-1.04928,-0.922454,-0.430003,-0.0546397,0.492769,-1.00624,1.13548,-0.911175,0.038771,0.459462
1794.97,0.980438,0.00213458,10,1023,0,-1676.07,-0.122183,-0.13992,-0.00368342,-0.455865,-0.246649,0.212936,0.116101,0.633568,-0.905915,-0.794269,-0.188261,0.604049,0.40444,1.00368,0.870582,0.273412,0.0174374,0.266655,-0.0253816,-0.377533,0.774481,-0.286318,0.0801007,0.499594,-0.0942181,1.23559,-0.346636,0.0532337,0.125889,-1.1817,-0.23539,-0.215265,-0.342241,0.858985,-0.0243768,0.254825,-0.433886,0.583739,-0.455693,0.204816,-0.195041,0.474131,0.109084,-0.150777,-0.775975,0.339556,-0.344008,0.0262144,-0.757348,0.16031,-0.0749377,-0.428075,-0.0919014,-0.410626,0.395121,0.570476,0.39,-0.384408,-0.617729,-0.416161,-0.538732,0.203959,-0.723411,0.0120077,-0.438112,-1.02793,-0.61144,-0.646662,0.847312,-0.380678,-0.443375,-1.31102,-0.43546,-0.840851,-0.461064,-0.938867,1.13726,0.127717,0.157158,-0.282735,0.176146,-1.50919,0.108924,-0.209396,-0.101048,0.217235,0.047114,0.772498,0.00226404,0.251702,-0.790747,-0.236484,0.236849,-0.238583,-0.551957,-0.0195724,0.513108,0.893387,-0.599774,0.555811,-0.418652,0.20769,0.974906,0.825052,-0.293975,0.010803,-0.649863,-0.118557,-0.083659,-0.244703,-0.711714,0.499945,-0.927359,-0.531584,-0.330722,-0.735685,0.550646,0.717171,0.715678,-0.125728,-0.115641,-0.66383,2.62393,0.20191,0.554809,0.0473134,0.0749653,0.400198,0.37696,0.0577091,0.108426,0.247409,0.0417007,0.787195,0.834953,0.729237,0.268558,0.150336,0.131832,0.380952,0.255995,0.375717,1.04631,0.179995,0.155202,0.0508501,0.426848,0.0247223,0.65798,0.337154,0.344065,0.00372022,0.477647,0.112985,0.00669347,0.0618869,-0.439854,0.219534,0.612251,0.152037,1.90502,0.669151,0.833478,0.890305,0.81187,-0.26488,-0.174289,1.58389,-0.234518,-0.0694493,0.219185,-0.0094958,1.14612,-0.255457,-0.186451,0.270992,-1.02588,-0.474714,-0.956374,-0.828155,-0.392063,0.0321602,0.661319,-0.954578,1.19486,-0.82322,0.064208,0.460945
1788.18,0.999108,0.00213458,11,2047,0,-1687.57,-0.326855,-0.144036,0.0754574,-0.345118,-0.236997,0.272561,0.0926294,0.570036,-0.361084,-0.310555,-0.222332,0.138436,0.230001,1.1123,0.883379,0.356949,-0.15409,0.0133114,-0.222679,-0.415576,0.245392,-0.523147,-0.0471437,0.428801,-0.516555,0.728588,0.0739658,-0.751675,-0.222076,-1.00463,0.138952,-0.128364,-0.258155,0.374075,-0.688044,0.453131,-0.462315,0.4032,-0.244379,0.237505,-0.133252,0.524226,0.172767,-0.171012,-0.726775,0.303142,-0.367428,0.173712,-0.57453,0.23933,-0.0672803,-0.340127,-0.240852,-0.446568,0.395056,0.672963,0.395248,-0.380547,-0.709359,-0.373365,-0.592238,0.129969,-0.55565,0.161928,-0.445756,-1.01552,-0.688378,-0.603977,0.872346,-0.102888,-0.402739,-1.20508,-0.609936,-0.690582,-0.373389,-0.78622,1.27371,0.282831,0.143335,-0.115724,0.235404,-1.46218,0.174685,-0.285016,0.00478685,0.324948,0.204244,0.715699,0.0318044,0.175231,-0.729964,-0.179856,0.374649,-0.247028,-0.488687,-0.0109851,0.551474,0.768171,-0.509316,0.434709,-0.516605,0.20212,1.06552,0.801655,-0.253053,-0.181018,-0.72354,-0.148652,-0.0928393,-0.316878,-0.762702,0.486971,-0.817462,-0.442977,-0.19716,-0.67644,0.544086,0.701224,0.667269,-0.0859063,-0.177748,-0.471674,2.4506,0.445916,1.19327,0.0767065,0.688302,0.0724907,0.0574629,0.10395,0.392551,0.579518,0.324362,0.044793,0.103094,0.991042,0.105086,0.338779,0.110076,0.315237,0.203933,0.252102,0.57068,0.22328,0.231005,0.622836,0.0323209,0.0321272,0.334329,0.355341,0.0356792,0.0253253,0.933578,0.22634,0.634733,0.0136864,-0.458883,0.158927,0.595153,0.106489,1.97837,0.586308,0.827727,0.841645,0.795678,-0.324803,-0.192096,1.57065,-0.329807,-0.0803378,0.183261,-0.0803736,1.08745,-0.282426,-0.217675,0.206239,-1.05451,-0.523497,-1.01349,-0.816516,-0.414282,0.00350738,0.604912,-0.942083,1.19499,-0.869632,-0.00709834,0.463599
1802.47,0.998985,0.00213458,12,5119,0,-1722.34,0.222405,-0.506214,-0.478351,-0.66758,-0.273483,0.140818,0.103492,0.478071,0.42375,-0.679882,0.242698,0.6172,0.0870331,-0.353844,0.148349,0.229744,0.654677,0.569371,-0.16529,-0.152069,0.442856,-0.192893,0.0827454,0.74079,-0.490987,1.04118,0.0881291,-0.210041,0.363707,0.294462,-0.210985,-0.10559,-0.309143,0.175676,0.159886,0.902886,0.145776,0.304105,-0.484647,0.258161,-0.256422,0.546893,0.063751,-0.318208,-0.795332,0.163164,-0.410174,0.0279093,-0.694944,0.127049,-0.225208,-0.508784,-0.329956,-0.348519,0.236353,0.511622,0.281453,-0.460552,-0.656806,-0.368762,-0.635057,0.0602773,-0.726722,-0.052585,-0.600557,-1.13609,-0.804903,-0.636656,0.737281,-0.376805,-0.560306,-1.39607,-0.55231,-0.842273,-0.414682,-0.904144,1.12082,0.0994668,0.0758101,-0.280372,0.151013,-1.54615,0.0447202,-0.294649,-0.152071,0.226721,0.0207114,0.568412,0.0198142,0.129498,-0.845288,-0.27062,0.141099,-0.312608,-0.701723,-0.0861813,0.369201,0.677419,-0.601261,0.277585,-0.544141,0.164434,0.977525,0.610359,-0.37224,-0.284026,-0.748534,-0.252785,-0.216825,-0.342619,-0.844432,0.452575,-0.873934,-0.494297,-0.388099,-0.818898,0.422552,0.703737,0.586823,-0.207438,-0.265898,-0.68835,2.69245,0.916563,0.289793,0.359834,0.0324492,0.270131,0.967579,0.440703,0.0546663,0.0587945,0.165954,0.46562,0.0245704,0.875808,0.132343,0.181282,0.253914,0.860116,0.156428,0.0429647,0.224495,0.0151364,0.982169,0.224477,0.0382405,0.0191425,0.0757087,0.119752,0.0410246,0.273664,0.540783,0.253987,0.00712222,0.203781,-0.338581,0.309002,0.754108,0.225952,1.98303,0.761066,0.81752,0.933661,0.888202,-0.127193,-0.0603197,1.71904,-0.152008,-0.0384616,0.321622,0.0854294,1.19397,-0.123332,-0.0551874,0.306006,-0.95175,-0.397835,-0.932693,-0.782832,-0.368021,0.130496,0.686585,-0.815668,1.21654,-0.763517,0.104963,0.452478
