# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-02-24 11:53:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-53606c8179de.json
# init = 2 (Default)
# random
#   seed = 1661923731
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00237082
# Diagonal elements of inverse mass matrix:
# 0.16036, 0.102654, 0.0992445, 0.104635, 0.0183688, 0.00789997, 0.156389, 0.0156231, 0.210642, 0.184879, 0.172205, 0.171316, 0.213809, 0.186068, 0.185457, 0.19597, 0.179777, 0.176487, 0.17431, 0.222817, 0.185933, 0.192339, 0.175351, 0.191421, 0.189397, 0.22548, 0.192756, 0.197988, 0.191323, 0.196174, 0.178543, 0.208831, 0.189482, 0.247462, 0.18094, 0.20938, 0.199051, 0.18441, 0.209197, 0.261373, 0.106408, 0.00693703, 0.106857, 0.107433, 0.107143, 0.107345, 0.107056, 0.106835, 0.107096, 0.106984, 0.106848, 0.107357, 0.107254, 0.107519, 0.10722, 0.106983, 0.107477, 0.106775, 0.107198, 0.107827, 0.107329, 0.107093, 0.106869, 0.107104, 0.107262, 0.107149, 0.106852, 0.10746, 0.106893, 0.107638, 0.106901, 0.106631, 0.107517, 0.106928, 0.107573, 0.107632, 0.107466, 0.10714, 0.107136, 0.107112, 0.107677, 0.107465, 0.107321, 0.106956, 0.106829, 0.107411, 0.107238, 0.106773, 0.107161, 0.107323, 0.10717, 0.107447, 0.107133, 0.107193, 0.107178, 0.107195, 0.107643, 0.107505, 0.107442, 0.107472, 0.107266, 0.107083, 0.107227, 0.107066, 0.106977, 0.107024, 0.107271, 0.107409, 0.107185, 0.107298, 0.107421, 0.106876, 0.107457, 0.107317, 0.106781, 0.107101, 0.107403, 0.10659, 0.107027, 0.107054, 0.106663, 0.107144, 0.0290056, 0.00240341, 0.0062021, 0.0024097, 0.00252023, 0.00373153, 0.00273151, 0.00281672, 0.005374, 0.00223387, 0.00339507, 0.00259378, 0.0025413, 0.00269438, 0.00233087, 0.00270878, 0.00232006, 0.00253332, 0.00250721, 0.00313515, 0.00262626, 0.00277052, 0.00524837, 0.0028277, 0.00251006, 0.00246923, 0.0023665, 0.00229627, 0.00235661, 0.00290835, 0.00271955, 0.00248406, 0.00302847
6462.83,0.982068,0.00237082,11,2047,0,-6381.01,0.860321,0.334584,-0.428108,-0.250897,-0.392608,0.0194616,-1.13971,0.523287,-0.827387,-1.07442,-0.906125,-2.05489,-1.94741,-0.126745,-1.94741,-1.33779,-0.753152,-0.241993,-1.85136,-0.347852,-1.0531,-0.62524,-0.482449,-0.816156,-0.80026,-1.05544,-1.04102,-0.294744,-0.509212,-0.493748,-1.61678,-2.24455,-1.57638,-1.43452,0.281339,-0.0260115,-1.09694,-0.811164,-1.10455,-0.602377,0.193335,0.62077,0.402284,0.0453576,-0.699129,0.69875,-0.0564632,0.399558,-0.414827,0.563561,0.230548,-0.246348,0.114641,-0.0763769,0.718657,0.914371,0.607111,9.33659e-05,-0.384366,-0.0519777,-0.315101,0.571048,-0.430272,0.38608,-0.226606,-0.830838,-0.48899,-0.305639,1.16642,0.0169153,-0.237489,-1.18289,-0.35217,-0.506447,-0.14355,-0.671864,1.62121,0.384609,0.491858,0.155889,0.474339,-1.29238,0.411978,0.00950403,0.289051,0.631073,0.44774,1.07899,0.388419,0.393783,-0.543653,0.0475886,0.534428,-0.0116169,-0.327822,0.370217,0.900047,1.1605,-0.19229,0.883393,-0.233347,0.523946,1.34668,1.14992,-0.0775956,0.088208,-0.485573,0.197333,0.11493,-0.0353574,-0.502521,0.86511,-0.651234,-0.2638,-0.00949461,-0.522534,0.808788,1.11858,0.925193,0.120711,0.0586853,-0.257971,2.68836,0.77934,0.0566265,0.528648,0.139054,0.0552832,0.118435,0.274628,0.0574005,0.184535,0.0811989,0.323288,1.05419,0.326948,0.207161,0.348791,0.199451,0.584379,0.339488,0.114359,0.194715,0.208783,0.0507646,0.227904,0.37575,0.307649,0.310456,0.222993,0.529563,0.180994,0.190758,0.345423,0.150496,1.05166,0.367418,0.530824,-0.749103,0.00450907,1.32958,-0.432708,0.580086,0.989844,0.942316,-0.239525,1.24461,-0.480857,-0.237569,-0.221143,-0.545075,-0.859575,-0.118856,-0.624204,0.423234,-0.179836,-0.397551,-1.19284,-1.57774,-1.49252,-1.43313,0.476992,0.582592,-0.77981,-0.324037,-0.539666,-0.761291
6465.49,0.832669,0.00237082,11,2047,0,-6386.14,0.506988,0.106733,-0.436971,-0.898456,-0.0317158,0.230602,-0.608323,0.599743,-0.397786,-0.912724,-0.517905,-1.81406,-1.32741,0.719908,-1.69764,-0.519789,-0.145054,0.128603,-1.25149,-0.212589,-0.92772,-0.952177,-0.46145,-1.24292,-1.1016,-0.68637,-1.34618,-0.111688,-0.898871,-1.10461,-1.00964,-1.20567,-1.05989,-1.8374,0.511416,0.288285,-0.992835,-0.347437,-0.810829,-1.18965,0.0748855,0.539199,0.362951,0.0288143,-0.767717,0.705045,-0.0914396,0.351311,-0.504583,0.58389,0.192594,-0.272757,0.0851031,-0.111892,0.656968,0.858139,0.566154,-0.0118346,-0.407034,-0.0570238,-0.299236,0.556105,-0.488536,0.284299,-0.264166,-0.870497,-0.498667,-0.359774,1.15174,0.0154141,-0.240542,-1.25734,-0.412556,-0.534688,-0.16983,-0.743972,1.56155,0.395356,0.467166,0.113047,0.429789,-1.35711,0.373187,0.00791855,0.276775,0.587227,0.434332,1.0376,0.376545,0.393985,-0.557535,0.0228964,0.485422,-0.00991886,-0.37919,0.311818,0.856693,1.14149,-0.270091,0.849143,-0.276073,0.50394,1.35949,1.13512,-0.11049,0.065544,-0.506206,0.167615,0.0899266,-0.101394,-0.551354,0.830815,-0.704406,-0.307824,-0.0634538,-0.559913,0.732365,1.05985,0.893712,0.113476,-0.0047983,-0.30362,3.05045,0.75473,0.0468104,0.515355,0.150125,0.0498066,0.120306,0.288351,0.0496316,0.1787,0.0739523,0.348773,1.00773,0.325088,0.237699,0.367788,0.189868,0.612342,0.348281,0.12045,0.184879,0.216968,0.0587622,0.233553,0.365018,0.332474,0.30799,0.234639,0.536631,0.188902,0.197124,0.348078,0.156215,0.958292,0.408035,0.573429,-0.733324,0.0345581,1.35475,-0.370994,0.610396,0.971003,0.970498,-0.146033,1.34937,-0.388331,-0.198668,-0.17621,-0.498834,-0.842259,-0.117548,-0.590316,0.439474,-0.150072,-0.374643,-1.18706,-1.5925,-1.49382,-1.36186,0.544583,0.583841,-0.720825,-0.290724,-0.518805,-0.727066
6482.72,0.9632,0.00237082,11,2047,0,-6393.85,0.485987,0.415227,-0.221358,-0.1712,-0.0546488,0.134306,-0.678729,0.713142,-0.0490425,-0.646207,-0.351396,-1.63926,-1.09497,0.690446,-1.49335,-0.383977,0.0386097,0.222542,-1.17559,-0.0209354,-0.719576,-0.564271,-0.266477,-0.865571,-0.837591,-0.42545,-0.965787,0.153044,-0.506516,-0.713157,-1.3204,-1.58576,-1.37279,-1.90949,0.286882,0.178086,-1.14454,-0.582999,-0.911158,-1.16504,-0.134634,0.614772,0.109872,-0.248111,-1.01676,0.433916,-0.382,0.0928381,-0.765857,0.281094,-0.0790663,-0.529107,-0.181661,-0.391121,0.389139,0.599462,0.293829,-0.280024,-0.68743,-0.348715,-0.616375,0.272879,-0.724824,0.0700766,-0.529781,-1.1704,-0.790875,-0.607737,0.848441,-0.27526,-0.487674,-1.49835,-0.656853,-0.828391,-0.469309,-1.00836,1.29155,0.116741,0.169008,-0.150599,0.194908,-1.6299,0.100419,-0.282164,-0.00957927,0.305038,0.112487,0.756824,0.104264,0.117008,-0.803255,-0.252992,0.215949,-0.296748,-0.653182,0.0620197,0.605836,0.85221,-0.535666,0.576618,-0.543446,0.251053,1.07005,0.871151,-0.37602,-0.221287,-0.785679,-0.0994435,-0.190351,-0.3433,-0.804713,0.554163,-0.975935,-0.58594,-0.309248,-0.843629,0.468331,0.82663,0.619961,-0.170349,-0.236701,-0.571541,2.89495,0.786818,0.0505823,0.513013,0.146494,0.0475902,0.130143,0.267494,0.053564,0.172607,0.0718169,0.321192,0.907399,0.339316,0.202379,0.346132,0.193779,0.571617,0.332736,0.11509,0.187987,0.213167,0.0582432,0.222716,0.415596,0.329644,0.287483,0.252727,0.486338,0.180999,0.191331,0.355998,0.15122,1.34219,0.684171,0.846704,-0.459413,0.306404,1.62805,-0.152829,0.881066,1.27931,1.25388,0.046856,1.46201,-0.172262,0.0889492,0.10596,-0.228579,-0.509783,0.172579,-0.308509,0.720644,0.138591,-0.100508,-0.899837,-1.26298,-1.13116,-1.15295,0.807268,0.887551,-0.475645,-0.0220408,-0.207779,-0.430811
6484.38,0.999897,0.00237082,12,6143,0,-6402.35,0.0773314,0.434593,0.0511925,-0.0202115,-0.4535,-0.0274351,-0.430296,0.578369,-0.154982,-0.338515,-0.249605,-1.37848,-1.29929,0.442469,-1.23261,-0.732257,-0.14825,0.424737,-1.17607,0.442592,-0.754178,-0.211888,-0.197703,-0.388149,-0.412001,-0.813149,-0.650059,-0.0117584,-0.106176,-0.058105,-1.1066,-1.76962,-1.02445,-0.685269,0.977615,0.616503,-0.404495,-0.208417,-0.443003,0.229144,0.285892,0.565525,0.471806,0.113686,-0.643214,0.775616,-0.0101958,0.448164,-0.369852,0.647842,0.276012,-0.18976,0.18868,-0.0247194,0.765088,0.974863,0.676822,0.0775024,-0.29228,0.0261458,-0.204942,0.640824,-0.340286,0.435152,-0.159016,-0.751794,-0.397361,-0.24794,1.24442,0.104745,-0.159723,-1.12172,-0.275781,-0.430776,-0.0768255,-0.628802,1.66032,0.479081,0.540777,0.197088,0.56486,-1.23087,0.478251,0.0835999,0.358266,0.69329,0.501817,1.12924,0.474613,0.489502,-0.467806,0.103929,0.586482,0.0821583,-0.254757,0.404994,0.9563,1.22553,-0.149156,0.945025,-0.152792,0.610025,1.44786,1.25107,-0.0259572,0.151798,-0.421806,0.25176,0.18647,0.0289345,-0.437761,0.924122,-0.596473,-0.189461,0.0232482,-0.464185,0.81432,1.14563,0.990573,0.19147,0.109665,-0.180005,2.97904,0.768853,0.0537664,0.539631,0.155015,0.046788,0.110303,0.256131,0.0630019,0.190452,0.0785574,0.315465,0.968364,0.355551,0.253545,0.404899,0.188616,0.610598,0.325518,0.114352,0.193453,0.23055,0.0556042,0.231805,0.412674,0.37144,0.326358,0.215941,0.585812,0.192998,0.198523,0.363919,0.147895,0.997447,0.308895,0.442074,-0.838312,-0.0626898,1.25635,-0.501031,0.514944,0.896943,0.874507,-0.282383,1.21407,-0.563738,-0.28456,-0.316509,-0.595493,-0.901154,-0.201859,-0.689063,0.347021,-0.246183,-0.467456,-1.31364,-1.64622,-1.5744,-1.53014,0.456958,0.522929,-0.834748,-0.392394,-0.587078,-0.8009
6470.59,0.986573,0.00237082,11,2047,0,-6396.05,0.384654,0.155938,-0.486055,-0.916632,0.186009,0.0697542,-0.4473,0.786906,0.424231,-0.426626,-0.138213,-1.57224,-0.555322,0.765224,-1.17436,0.0811561,0.40687,0.16551,-0.883616,0.342601,-0.595756,-0.542054,-0.423634,-0.883742,-1.2492,-0.0974292,-0.914887,0.352493,-0.479496,-0.835882,-1.00689,-1.15503,-1.30825,-1.64622,0.567723,0.727325,-0.779989,-0.144748,-0.39545,-1.02672,0.356735,0.587243,0.531985,0.182476,-0.511417,0.871634,0.0737324,0.527803,-0.271995,0.716309,0.377091,-0.0642612,0.233901,0.0805451,0.825281,1.07446,0.747572,0.119868,-0.264951,0.085413,-0.152022,0.695308,-0.258816,0.462752,-0.0841984,-0.692884,-0.329504,-0.150546,1.31161,0.167377,-0.0549435,-1.03497,-0.237729,-0.362851,0.00406863,-0.536828,1.76749,0.545524,0.63226,0.247739,0.59938,-1.14277,0.544119,0.137044,0.410249,0.761562,0.602249,1.18941,0.522147,0.559216,-0.369744,0.173161,0.650867,0.133153,-0.202076,0.484233,1.05404,1.29544,-0.0725025,1.01752,-0.0728564,0.682844,1.52267,1.32524,0.095214,0.239394,-0.310137,0.322143,0.241389,0.114101,-0.340487,0.983052,-0.498982,-0.12909,0.13937,-0.370832,0.93706,1.24362,1.04896,0.283461,0.186079,-0.105138,3.03541,0.817575,0.0634296,0.533047,0.145473,0.0528759,0.131872,0.264169,0.0635161,0.173988,0.0846599,0.324378,0.878124,0.33211,0.213102,0.347667,0.18719,0.593224,0.336624,0.100968,0.186157,0.206621,0.0493565,0.221768,0.402421,0.314546,0.269319,0.243468,0.500916,0.189413,0.185439,0.330571,0.145518,0.877615,0.233899,0.445653,-0.926234,-0.136461,1.18196,-0.548357,0.437167,0.845738,0.790098,-0.382606,1.01074,-0.605549,-0.385427,-0.365088,-0.671878,-1.03875,-0.27984,-0.77207,0.273652,-0.29525,-0.541162,-1.37202,-1.71419,-1.59123,-1.57423,0.389731,0.43266,-0.93656,-0.460834,-0.6694,-0.878772
6467.21,0.927126,0.00237082,11,2047,0,-6405.62,0.0825792,0.404762,-0.531803,-0.526015,-0.186507,0.0718497,-0.465775,0.871138,-0.195545,-0.651257,-0.431984,-1.67479,-1.27901,0.474533,-1.51136,-0.615443,-0.124689,0.159909,-1.29395,-0.0932452,-0.483154,-0.181011,-0.0065965,-0.454377,-0.452796,-0.262916,-0.607983,0.372485,-0.0840853,-0.215091,-0.985635,-1.4073,-1.03099,-1.21655,0.762777,0.542323,-0.617035,-0.17463,-0.476059,-0.425486,0.527037,0.569261,0.641269,0.292077,-0.456859,0.956451,0.16066,0.639312,-0.20946,0.844925,0.48514,-0.0362108,0.355541,0.158689,0.942038,1.18975,0.856705,0.259551,-0.159041,0.173431,-0.0756317,0.822998,-0.188751,0.53461,0.0101045,-0.607842,-0.228726,-0.0704748,1.41901,0.246247,0.0467252,-0.962961,-0.133004,-0.269316,0.101324,-0.472759,1.84638,0.650126,0.751684,0.367681,0.697726,-1.06263,0.65042,0.245899,0.537257,0.870713,0.681985,1.33063,0.621665,0.664979,-0.285152,0.288308,0.748929,0.244926,-0.086862,0.58316,1.16175,1.39862,-0.0153132,1.12426,-0.00572147,0.772488,1.62379,1.44148,0.164589,0.334917,-0.245407,0.440916,0.345998,0.183303,-0.294521,1.08469,-0.45583,-0.0170162,0.226595,-0.272395,1.02689,1.37189,1.15164,0.345102,0.29034,-0.00853334,2.51354,0.82979,0.0483685,0.536221,0.164417,0.051676,0.121386,0.266573,0.0557748,0.179418,0.0761372,0.318544,0.859241,0.352134,0.206192,0.36213,0.193683,0.587296,0.339093,0.109935,0.193742,0.222988,0.05719,0.229025,0.40916,0.32177,0.301022,0.24813,0.501467,0.185319,0.197809,0.339391,0.16574,0.804608,0.141201,0.295548,-1.00956,-0.24424,1.08606,-0.684282,0.340554,0.748229,0.70482,-0.483335,0.833372,-0.740649,-0.46358,-0.474405,-0.792332,-1.07291,-0.347331,-0.876706,0.184221,-0.394348,-0.636124,-1.45458,-1.82348,-1.7241,-1.6984,0.24799,0.286311,-1.01151,-0.550954,-0.75284,-0.983499
